REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	01_0EWN_0229Kronos_MM1S-No-Treatment-1_H3K18Ac_hs-dm_i02.bam	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
4_MACS_peak_18645_lociStitched	chr22	26974783	27015783	4	28568	64247.0	7211.9
5_MACS_peak_4236_lociStitched	chr10	112146737	112187688	5	40040	58318.31909999999	7346.6094
6_MACS_peak_6154_lociStitched	chr12	7045282	7085849	6	29147	67710.3797	8373.0288
7_MACS_peak_8933_lociStitched	chr14	95945715	95986137	7	22872	29196.8106	3803.7102
6_MACS_peak_10465_lociStitched	chr16	11761390	11801436	6	29211	57962.5804	8858.1752
5_MACS_peak_2499_lociStitched	chr1	206271562	206311308	5	25870	53911.4744	9543.0146
3_MACS_peak_11855_lociStitched	chr17	32688371	32727809	3	38913	90490.49100000001	8983.9764
4_MACS_peak_19643_lociStitched	chr3	46421227	46460521	4	27352	36028.668600000005	7257.6018
6_MACS_peak_16638_lociStitched	chr2	197074464	197113734	6	23097	29181.537	6067.215
5_MACS_peak_28538_lociStitched	chr8	81045819	81084750	5	27900	44762.8638	6641.6286
6_MACS_peak_9808_lociStitched	chr15	74657891	74696744	6	20713	38728.6704	6208.7094
7_MACS_peak_9088_lociStitched	chr15	21967063	22005784	7	25707	28676.7726	5568.0798
5_MACS_peak_29741_lociStitched	chr9	93670639	93709170	5	30586	51700.895800000006	7340.1555
6_MACS_peak_3700_lociStitched	chr10	72235637	72274141	6	22445	39632.1672	6414.7663999999995
2_MACS_peak_12450_lociStitched	chr17	62149281	62187570	2	37870	63758.8428	8714.5764
8_MACS_peak_30091_lociStitched	chr9	123630114	123668348	8	28865	51030.9198	6752.124400000001
6_MACS_peak_9770_lociStitched	chr15	70767777	70805947	6	25563	41864.856	6569.057
7_MACS_peak_13855_lociStitched	chr19	12880473	12918555	7	16374	27339.0678	5784.6558
6_MACS_peak_21102_lociStitched	chr3	193786991	193825012	6	27236	68943.47929999999	9805.6159
6_MACS_peak_28886_lociStitched	chr8	126284992	126322864	6	25119	40227.6384	7047.9792
7_MACS_peak_6004_lociStitched	chr11	130668164	130705905	7	28635	48089.5822	6253.6837
4_MACS_peak_26750_lociStitched	chr7	55569011	55606317	4	27341	67001.576	7043.3728
7_MACS_peak_17664_lociStitched	chr20	37486919	37523579	7	24182	61665.786	6510.816000000001
7_MACS_peak_12648_lociStitched	chr17	74476183	74512695	7	19010	35150.1024	6002.5728
4_MACS_peak_2185_lociStitched	chr1	181094934	181131361	4	27695	47034.5424	8968.3274
1_MACS_peak_24429_lociStitched	chr6	7886244	7922480	1	36237	148991.5612	9446.725199999999
4_MACS_peak_28819_lociStitched	chr8	120914396	120950570	4	35380	52039.9164	7289.061000000001
2_MACS_peak_11907_lociStitched	chr17	34508251	34544290	2	34420	101377.70700000001	10599.069899999999
3_MACS_peak_14863_lociStitched	chr2	20390601	20426544	3	26183	60635.841	6786.0383999999995
7_MACS_peak_709_lociStitched	chr1	42333073	42368899	7	16215	18826.563	5219.848199999999
5_MACS_peak_1820_lociStitched	chr1	156065109	156100669	5	25223	41630.092000000004	7720.075999999999
6_MACS_peak_18905_lociStitched	chr22	39630938	39666079	6	21827	33608.8524	5323.8615
5_MACS_peak_30219_lociStitched	chr9	130531907	130566852	5	18926	40564.156	6000.0565
5_MACS_peak_19190_lociStitched	chr3	5222366	5257228	5	28730	64299.4728	7268.727
4_MACS_peak_9043_lociStitched	chr14	106023350	106058027	4	34156	99054.8505	6158.635200000001
3_MACS_peak_3159_lociStitched	chr10	11278350	11313014	3	26920	50034.0176	7061.056799999999
7_MACS_peak_11010_lociStitched	chr16	67184180	67218626	7	14750	22779.1398	5821.374000000001
4_MACS_peak_24189_lociStitched	chr5	173309948	173344090	4	26052	29983.504399999998	6114.832200000001
5_MACS_peak_28077_lociStitched	chr8	27208496	27242184	5	25732	36396.5152	6592.7416
4_MACS_peak_4254_lociStitched	chr10	112599743	112633348	4	23389	46791.602000000006	5995.1320000000005
5_MACS_peak_20459_lociStitched	chr3	133179216	133212643	5	27290	49655.8085	6809.0799
6_MACS_peak_29889_lociStitched	chr9	101996412	102029792	6	15018	26587.17	5614.516
3_MACS_peak_20972_lociStitched	chr3	183227693	183260959	3	30558	66106.1952	9983.1266
4_MACS_peak_22571_lociStitched	chr4	185317362	185350264	4	23396	37238.4836	6142.8034
4_MACS_peak_4374_lociStitched	chr10	125821995	125854844	4	28501	47102.1811	6119.7687
6_MACS_peak_11025_lociStitched	chr16	67554732	67587466	6	15844	27283.789	5731.7234
4_MACS_peak_22605_lociStitched	chr4	186252516	186285040	4	17146	23732.7628	5311.1692
5_MACS_peak_21848_lociStitched	chr4	82409655	82442072	5	22217	29019.6984	5459.0228
2_MACS_peak_7551_lociStitched	chr12	123354897	123387301	2	26558	44108.3248	3953.288
5_MACS_peak_11901_lociStitched	chr17	34442117	34474215	5	17712	21534.5482	8178.5704000000005
5_MACS_peak_10213_lociStitched	chr15	101660475	101692558	5	22054	36468.746100000004	5858.3558
3_MACS_peak_9049_lociStitched	chr14	106145119	106177185	3	31085	65712.8538	3674.7635999999998
5_MACS_peak_27723_lociStitched	chr7	150053052	150085091	5	27437	72885.5211	8583.2481
5_MACS_peak_25407_lociStitched	chr6	90054675	90086523	5	22876	46246.4808	6038.3808
4_MACS_peak_10626_lociStitched	chr16	23333957	23365775	4	18503	39091.5948	5599.968
3_MACS_peak_11608_lociStitched	chr17	16863911	16895651	3	26625	72868.692	6389.262000000001
4_MACS_peak_1630_lociStitched	chr1	149802705	149834412	4	18174	65617.63650000001	8792.3511
4_MACS_peak_4174_lociStitched	chr10	105244550	105276240	4	27009	56205.384000000005	5983.072
5_MACS_peak_13567_lociStitched	chr19	2031339	2063008	5	14774	35782.8031	6564.983700000001
4_MACS_peak_1720_lociStitched	chr1	153747548	153779145	4	15288	26778.4575	6768.0774
7_MACS_peak_18257_lociStitched	chr21	36577581	36609009	7	17538	20230.2036	7470.4356
3_MACS_peak_1549_lociStitched	chr1	145426679	145458053	3	19372	53169.5178	8427.0564
5_MACS_peak_23484_lociStitched	chr5	109251459	109282823	5	16753	24702.286399999997	5949.7508
6_MACS_peak_19029_lociStitched	chr22	45629444	45660749	6	14974	24853.039500000003	4914.885
5_MACS_peak_1762_lociStitched	chr1	154829970	154861066	5	17765	36516.03279999999	7870.397599999999
4_MACS_peak_9729_lociStitched	chr15	68568623	68599596	4	27433	39574.2021	6200.794599999999
5_MACS_peak_19749_lociStitched	chr3	50373147	50404045	5	10835	19614.0504	4959.129
5_MACS_peak_26058_lociStitched	chr6	157976656	158007501	5	19255	28065.8655	2797.6415
3_MACS_peak_4634_lociStitched	chr11	10314489	10345190	3	22324	49244.404	5891.5219
5_MACS_peak_10067_lociStitched	chr15	89646495	89676874	5	22955	44930.541000000005	6264.1498
3_MACS_peak_1541_lociStitched	chr1	145182587	145212839	3	24610	42537.337199999994	13852.3908
7_MACS_peak_22741_lociStitched	chr5	6708344	6738577	7	13826	20310.5294	4525.8801
4_MACS_peak_12919_lociStitched	chr18	9054805	9084940	4	20026	51337.986	6415.7415
5_MACS_peak_10740_lociStitched	chr16	30193787	30223891	5	16061	22454.5736	6376.0271999999995
2_MACS_peak_1837_lociStitched	chr1	156449866	156479965	2	27142	72761.3226	8689.5813
5_MACS_peak_15700_lociStitched	chr2	88898795	88928714	5	22401	31088.832899999998	5609.8125
6_MACS_peak_13779_lociStitched	chr19	10513252	10543104	6	20405	32559.5764	5030.062
5_MACS_peak_20407_lociStitched	chr3	129025497	129055327	5	20118	47179.128	5679.6320000000005
4_MACS_peak_2223_lociStitched	chr1	183856340	183886005	4	22629	36671.873	6392.8075
3_MACS_peak_10471_lociStitched	chr16	11808412	11837987	3	25754	43285.97	6080.62
4_MACS_peak_27190_lociStitched	chr7	102063850	102093357	4	22752	61150.3068	5765.6678
4_MACS_peak_1939_lociStitched	chr1	161144139	161173611	4	20925	51192.864	7724.6112
5_MACS_peak_6125_lociStitched	chr12	6551504	6580945	5	15483	36553.9456	5523.1316
6_MACS_peak_9078_lociStitched	chr15	20968709	20998061	6	22371	25550.916	4303.0032
4_MACS_peak_5312_lociStitched	chr11	67760259	67789596	4	19100	33018.7935	5063.5662
3_MACS_peak_13941_lociStitched	chr19	16244010	16273298	3	24581	47051.172	6074.3312
2_MACS_peak_6742_lociStitched	chr12	53845681	53874860	2	29003	35863.9089	6031.2993
5_MACS_peak_17721_lociStitched	chr20	42564847	42593917	5	22993	35395.632	5122.134
6_MACS_peak_9903_lociStitched	chr15	78348191	78377257	6	11071	11010.2008	4359.9
4_MACS_peak_9320_lociStitched	chr15	40833572	40862599	4	18654	32521.8508	5747.3460000000005
5_MACS_peak_2475_lociStitched	chr1	205242223	205271223	5	18591	48821.5	7426.9
5_MACS_peak_9299_lociStitched	chr15	40329773	40358623	5	23552	32874.575	5322.825
4_MACS_peak_15230_lociStitched	chr2	47522683	47551533	4	20100	47247.645	5086.255
4_MACS_peak_7350_lociStitched	chr12	109007371	109036211	4	24434	73337.236	6341.916
4_MACS_peak_23975_lociStitched	chr5	150590255	150619085	4	15760	21856.023	5174.985
4_MACS_peak_18398_lociStitched	chr21	45552477	45581292	4	21160	77757.2775	7635.975
4_MACS_peak_768_lociStitched	chr1	45177962	45206700	4	10759	17228.431	4531.9826
3_MACS_peak_6191_lociStitched	chr12	9573363	9602040	3	16236	24759.7218	4906.6347
3_MACS_peak_21714_lociStitched	chr4	71526781	71555437	3	19376	30911.2272	5006.2032
5_MACS_peak_31232_lociStitched	chrX	128892849	128921384	5	19669	27793.09	2876.328
3_MACS_peak_1504_lociStitched	chr1	143441431	143469936	3	20125	47155.821500000005	11020.033
3_MACS_peak_28207_lociStitched	chr8	37736455	37764770	3	23591	42115.731	5269.4214999999995
3_MACS_peak_12923_lociStitched	chr18	9094520	9122826	3	22844	48527.8064	5250.763
6_MACS_peak_4058_lociStitched	chr10	99159126	99187416	6	11860	19890.698999999997	4382.121
7_MACS_peak_16601_lociStitched	chr2	192475609	192503825	7	14703	14254.7232	4449.6632
5_MACS_peak_25383_lociStitched	chr6	88612540	88640604	5	22973	32082.7648	4989.7792
2_MACS_peak_1767_lociStitched	chr1	154907689	154935556	2	25112	101126.5563	9123.6558
3_MACS_peak_17023_lociStitched	chr2	232687206	232715057	3	25946	28310.5415	3871.289
6_MACS_peak_5268_lociStitched	chr11	66861546	66889380	6	12840	17927.8794	4144.4826
5_MACS_peak_24446_lociStitched	chr6	10403466	10431260	5	10848	15642.463199999998	3513.1616000000004
4_MACS_peak_9407_lociStitched	chr15	45001765	45029470	4	15400	29990.662500000002	4654.4400000000005
4_MACS_peak_2510_lociStitched	chr1	206727276	206754845	4	22361	47881.839199999995	7713.8062
5_MACS_peak_4390_lociStitched	chr10	126406444	126433934	5	16231	21343.236	3735.8909999999996
4_MACS_peak_17729_lociStitched	chr20	42683691	42710800	4	18378	46323.859200000006	4161.2315
6_MACS_peak_5150_lociStitched	chr11	63992679	64019707	6	13430	21444.0152	4489.3508
4_MACS_peak_12139_lociStitched	chr17	43504744	43531739	4	18657	26941.01	4340.796
2_MACS_peak_4782_lociStitched	chr11	22676792	22703728	2	22967	47967.6288	4444.4400000000005
5_MACS_peak_12238_lociStitched	chr17	47815795	47842718	5	17163	27302.6143	4641.5252
4_MACS_peak_5506_lociStitched	chr11	82763373	82790291	4	16829	33846.6932	5275.928
5_MACS_peak_4231_lociStitched	chr10	112103568	112130427	5	19841	59479.25550000001	5524.896299999999
4_MACS_peak_20095_lociStitched	chr3	101487188	101514026	4	13422	24057.5832	4659.0768
3_MACS_peak_13146_lociStitched	chr18	42287372	42314190	3	24681	28301.035399999997	4119.2447999999995
3_MACS_peak_19625_lociStitched	chr3	46126932	46153746	3	19144	31873.8018	5306.4906
5_MACS_peak_10947_lociStitched	chr16	57824614	57851373	5	11414	17674.319499999998	3906.814
4_MACS_peak_25748_lociStitched	chr6	129992980	130019724	4	15109	29193.750399999997	4535.7824
3_MACS_peak_2458_lociStitched	chr1	204474512	204501224	3	20751	60793.8408	7476.6888
3_MACS_peak_12368_lociStitched	chr17	56404640	56431269	3	21130	65193.1178	6300.4214
6_MACS_peak_25681_lociStitched	chr6	119762251	119788870	6	16514	19525.036500000002	4413.4302
6_MACS_peak_6813_lociStitched	chr12	57093445	57120051	6	17434	22561.888	4706.6014000000005
4_MACS_peak_19264_lociStitched	chr3	13035433	13062012	4	22006	63319.151699999995	5517.8004
6_MACS_peak_23670_lociStitched	chr5	131418329	131444867	6	17209	41760.196800000005	4912.1838
5_MACS_peak_1475_lociStitched	chr1	120610561	120637085	5	17953	25468.344800000003	8158.782399999999
2_MACS_peak_20826_lociStitched	chr3	171800683	171827150	2	25930	57923.0295	7431.9336
4_MACS_peak_15381_lociStitched	chr2	64485988	64512396	4	16178	21332.3824	5160.1232
4_MACS_peak_30312_lociStitched	chr9	134126921	134153269	4	17262	29833.8404	4658.3264
4_MACS_peak_10715_lociStitched	chr16	29740414	29766729	4	11690	21601.9835	4073.562
5_MACS_peak_13052_lociStitched	chr18	23745892	23772093	5	14778	19878.6987	3859.4073
5_MACS_peak_15376_lociStitched	chr2	64430345	64456526	5	18628	26633.931300000004	4550.2578
2_MACS_peak_20329_lociStitched	chr3	124486978	124513076	2	24752	42738.0848	4538.4422
6_MACS_peak_15485_lociStitched	chr2	70334770	70360854	6	13927	28541.112800000003	4186.482
1_MACS_peak_11900_lociStitched	chr17	34408588	34434656	1	26069	60691.51759999999	6402.3008
2_MACS_peak_21948_lociStitched	chr4	90204354	90230369	2	24873	68156.6985	5785.736
4_MACS_peak_14587_lociStitched	chr19	55460303	55486144	4	12115	18354.8623	3281.8070000000002
3_MACS_peak_5391_lociStitched	chr11	72976713	73002505	3	16175	25425.7536	4503.2832
5_MACS_peak_25123_lociStitched	chr6	52148161	52173890	5	17251	27025.7416	4173.2438
4_MACS_peak_12467_lociStitched	chr17	62960914	62986598	4	14942	33656.3136	4381.6904
5_MACS_peak_9752_lociStitched	chr15	70305375	70331012	5	22267	38752.8892	5045.3616
6_MACS_peak_12618_lociStitched	chr17	73850201	73875823	6	17666	41312.9128	4645.268599999999
1_MACS_peak_25522_lociStitched	chr6	106530406	106555961	1	25556	54327.374500000005	6253.3085
5_MACS_peak_10342_lociStitched	chr16	3199505	3225051	5	9509	13097.434200000002	3645.4141999999997
4_MACS_peak_23970_lociStitched	chr5	150512741	150538278	4	18423	25074.7803	4688.5932
5_MACS_peak_11521_lociStitched	chr17	7736804	7762314	5	14844	30816.079999999998	4163.232
1_MACS_peak_5969_lociStitched	chr11	128584944	128610429	1	25486	53556.7275	5512.4055
2_MACS_peak_5198_lociStitched	chr11	65253500	65278859	2	23169	55865.87699999999	5743.8135
4_MACS_peak_11484_lociStitched	chr17	6914856	6940188	4	12294	31994.316	4248.176399999999
6_MACS_peak_18547_lociStitched	chr22	22549092	22574420	6	14058	23869.107200000002	4267.768
4_MACS_peak_8810_lociStitched	chr14	81930674	81955978	4	17223	21455.261599999998	2682.2239999999997
4_MACS_peak_13587_lociStitched	chr19	2455110	2480356	4	13705	23976.1262	5210.7744
5_MACS_peak_13548_lociStitched	chr19	1647751	1672956	5	13153	25661.2105	5008.233499999999
4_MACS_peak_8246_lociStitched	chr13	115023556	115048737	4	20388	41813.050500000005	4467.1094
4_MACS_peak_24694_lociStitched	chr6	27098375	27123542	4	12131	24308.8053	4499.8596
3_MACS_peak_19602_lociStitched	chr3	45592851	45617946	3	14918	26021.0055	4687.746
2_MACS_peak_12926_lociStitched	chr18	9132525	9157597	2	23700	37023.8224	4931.6624
4_MACS_peak_6614_lociStitched	chr12	48195998	48221057	4	19953	38109.7272	4909.0581
3_MACS_peak_20674_lociStitched	chr3	156381298	156406306	3	17242	24062.697600000003	6171.9744
3_MACS_peak_12249_lociStitched	chr17	48225056	48250019	3	14954	21203.572200000002	4173.8135999999995
3_MACS_peak_16634_lociStitched	chr2	197023816	197048757	3	21030	35787.8409	5534.407899999999
6_MACS_peak_26571_lociStitched	chr7	38383679	38408595	6	15028	15759.369999999999	5503.9444
4_MACS_peak_3130_lociStitched	chr10	7511317	7536192	4	17873	22511.875	3803.3875000000003
5_MACS_peak_5395_lociStitched	chr11	73069809	73094680	5	12124	16539.215	3892.3115
5_MACS_peak_5451_lociStitched	chr11	77146723	77171554	5	16913	22089.6576	4360.3236
5_MACS_peak_24870_lociStitched	chr6	33536765	33561542	5	12210	21838.447799999998	4514.3694
3_MACS_peak_18884_lociStitched	chr22	39361750	39386526	3	14925	29022.6064	4244.1288
5_MACS_peak_10610_lociStitched	chr16	22194983	22219675	5	19078	34862.6348	5118.6516
4_MACS_peak_10220_lociStitched	chr15	101782292	101806978	4	12080	19240.2684	4162.0596
4_MACS_peak_15457_lociStitched	chr2	68941121	68965786	4	15762	22134.371	4308.9755
3_MACS_peak_15069_lociStitched	chr2	37600487	37625121	3	19300	42860.6966	5276.6028
2_MACS_peak_18373_lociStitched	chr21	44723154	44747743	2	24153	46517.470199999996	5699.7302
5_MACS_peak_30131_lociStitched	chr9	126082613	126107163	5	15816	42913.4	4492.65
4_MACS_peak_5499_lociStitched	chr11	82666305	82690827	4	17950	26844.2334	4244.7582
4_MACS_peak_19317_lociStitched	chr3	15834755	15859274	4	17844	27095.9469	3851.9348999999997
4_MACS_peak_2846_lociStitched	chr1	230627749	230652234	4	13306	18265.81	5117.365
3_MACS_peak_24639_lociStitched	chr6	25365917	25390389	3	19960	33578.031200000005	4544.4504
4_MACS_peak_22490_lociStitched	chr4	173896344	173920757	4	13091	14249.8681	3918.2865
3_MACS_peak_1745_lociStitched	chr1	154370309	154394640	3	19826	50674.1737	7296.8669
4_MACS_peak_16754_lociStitched	chr2	204716466	204740753	4	15799	15941.986799999999	3798.4868
3_MACS_peak_9120_lociStitched	chr15	23658566	23682786	3	20085	31926.804	3853.4019999999996
4_MACS_peak_696_lociStitched	chr1	42126603	42150671	4	17207	16313.2904	4125.2552
4_MACS_peak_24656_lociStitched	chr6	26183508	26207532	4	16165	35466.631199999996	4636.6320000000005
2_MACS_peak_20056_lociStitched	chr3	98472560	98496574	2	18252	32118.725	4538.646
5_MACS_peak_11111_lociStitched	chr16	70826572	70850565	5	15874	28033.421200000004	4383.5211
4_MACS_peak_12576_lociStitched	chr17	72733060	72757048	4	19981	24438.9744	4624.8864
3_MACS_peak_15421_lociStitched	chr2	65601214	65625169	3	17082	24649.695	3823.218
3_MACS_peak_13962_lociStitched	chr19	16693339	16717292	3	20663	63281.430700000004	4888.8073
2_MACS_peak_27825_lociStitched	chr8	2027282	2051159	2	19750	57402.695700000004	4823.154
3_MACS_peak_2300_lociStitched	chr1	192497531	192521396	3	20718	37816.479	6324.225
2_MACS_peak_14246_lociStitched	chr19	39880477	39904273	2	19590	61150.96079999999	4899.5964
4_MACS_peak_25564_lociStitched	chr6	109066918	109090702	4	16212	19138.9848	4162.2
2_MACS_peak_23683_lociStitched	chr5	131744667	131768439	2	21304	64617.0504	5836.026
4_MACS_peak_19425_lociStitched	chr3	30680213	30703978	4	20003	26295.9725	4410.784
4_MACS_peak_24235_lociStitched	chr5	176717067	176740742	4	15699	30242.445000000003	4358.5675
6_MACS_peak_28619_lociStitched	chr8	95986806	96010473	6	12606	11878.4673	2272.032
4_MACS_peak_8913_lociStitched	chr14	94423928	94447571	4	15476	22344.9993	2749.6809
2_MACS_peak_18600_lociStitched	chr22	24177393	24200961	2	17588	54614.1264	4539.1968
3_MACS_peak_15739_lociStitched	chr2	96889821	96913362	3	13631	23016.0357	3705.3534000000004
4_MACS_peak_18919_lociStitched	chr22	39822861	39846378	4	18295	42173.0361	4202.4879
4_MACS_peak_7398_lociStitched	chr12	111042940	111066449	4	6820	7156.1396	1897.1762999999999
5_MACS_peak_4485_lociStitched	chr11	554310	577815	5	7620	10739.4345	2884.0635
4_MACS_peak_5166_lociStitched	chr11	64611199	64634686	4	16414	31207.1769	4110.224999999999
4_MACS_peak_17332_lociStitched	chr20	11954125	11977605	4	11538	16330.34	3505.564
4_MACS_peak_27653_lociStitched	chr7	142407981	142431424	4	10877	9084.1625	5187.9358999999995
5_MACS_peak_16087_lociStitched	chr2	129123998	129147438	5	15340	22589.128	3501.936
4_MACS_peak_4725_lociStitched	chr11	16966786	16990217	4	15620	24452.591600000003	4020.7596
2_MACS_peak_21801_lociStitched	chr4	77601972	77625382	2	19301	28054.543999999998	4459.6050000000005
3_MACS_peak_24471_lociStitched	chr6	11713175	11736559	3	16492	26905.630400000002	4008.0176
4_MACS_peak_627_lociStitched	chr1	39648694	39672065	4	10455	12814.319300000001	3601.4710999999998
5_MACS_peak_7211_lociStitched	chr12	96878403	96901765	5	11727	17236.4836	3630.4548000000004
4_MACS_peak_23653_lociStitched	chr5	130587619	130610953	4	10474	14002.7334	3810.4422
3_MACS_peak_27045_lociStitched	chr7	92346593	92369914	3	16211	21630.2275	4106.8281
4_MACS_peak_8777_lociStitched	chr14	77487583	77510887	4	18457	25214.928	2237.184
4_MACS_peak_14619_lociStitched	chr19	56328877	56352042	4	15899	36197.629	4095.572
3_MACS_peak_6584_lociStitched	chr12	46776138	46799300	3	14571	25026.541	4210.8516
5_MACS_peak_16102_lociStitched	chr2	131128663	131151823	5	11037	16561.716	3341.9880000000003
4_MACS_peak_15706_lociStitched	chr2	89043232	89066310	4	16600	39774.933	4345.587399999999
4_MACS_peak_6620_lociStitched	chr12	48276260	48299276	4	14659	20044.6344	3802.2432000000003
4_MACS_peak_6506_lociStitched	chr12	33037675	33060677	4	18039	19784.0202	4119.6582
3_MACS_peak_2589_lociStitched	chr1	210850084	210873079	3	13804	16519.608	5185.3725
4_MACS_peak_24955_lociStitched	chr6	37121480	37144449	4	12537	25824.046700000003	3909.3237999999997
2_MACS_peak_15751_lociStitched	chr2	97190278	97213187	2	21010	54697.528399999996	4888.7806
3_MACS_peak_24413_lociStitched	chr6	7134894	7157795	3	17030	30652.9885	3961.8729999999996
5_MACS_peak_25618_lociStitched	chr6	113946389	113969247	5	15327	20457.91	3668.7090000000003
3_MACS_peak_14911_lociStitched	chr2	25623270	25646117	3	13720	34441.8525	4324.9371
2_MACS_peak_10922_lociStitched	chr16	56963101	56985941	2	18792	44389.54	5716.852000000001
5_MACS_peak_23883_lociStitched	chr5	142952477	142975289	5	15099	20291.273999999998	3852.9467999999997
5_MACS_peak_24814_lociStitched	chr6	31782625	31805437	5	15978	20033.4984	4354.810799999999
2_MACS_peak_489_lociStitched	chr1	31213894	31236696	2	22654	57547.6876	5422.3156
2_MACS_peak_16889_lociStitched	chr2	219740874	219763588	2	20150	55951.396199999996	4501.9148
4_MACS_peak_26531_lociStitched	chr7	34773802	34796489	4	9244	9905.1442	3089.9693999999995
5_MACS_peak_1789_lociStitched	chr1	155210337	155233022	5	8672	12973.5515	5496.5755
3_MACS_peak_9305_lociStitched	chr15	40386887	40409563	3	21206	49499.4404	4997.7904
4_MACS_peak_14473_lociStitched	chr19	48879779	48902454	4	12210	26178.287500000002	4188.0725
3_MACS_peak_24477_lociStitched	chr6	11826595	11849243	3	17876	50471.068	4357.4752
4_MACS_peak_4886_lociStitched	chr11	35126933	35149570	4	15342	16414.0887	4076.9237000000003
4_MACS_peak_14613_lociStitched	chr19	56145307	56167906	4	11739	26379.8127	3484.7658
4_MACS_peak_10746_lociStitched	chr16	30345337	30367912	4	8506	12007.642500000002	3219.195
4_MACS_peak_26412_lociStitched	chr7	23562615	23585177	4	8251	12551.240600000001	3129.3493999999996
1_MACS_peak_3155_lociStitched	chr10	11201898	11224442	1	22545	90744.1088	5933.5808
3_MACS_peak_22737_lociStitched	chr5	6475667	6498171	3	14767	41189.0712	4111.4808
4_MACS_peak_11771_lociStitched	chr17	27464762	27487233	4	8353	10222.0579	4044.7799999999997
4_MACS_peak_9632_lociStitched	chr15	63758398	63780867	4	16018	25212.464900000003	3804.0017000000003
3_MACS_peak_19640_lociStitched	chr3	46389504	46411896	3	12242	21348.5328	4243.284
4_MACS_peak_5222_lociStitched	chr11	65655081	65677466	4	11605	15356.11	3919.6135
5_MACS_peak_9402_lociStitched	chr15	44954428	44976813	5	14374	18554.926499999998	3953.1910000000003
