REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X01_0EWN_0229Kronos_MM1S.No.Treatment.1_H3K18Ac_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
3_MACS_peak_11855_lociStitched	chr17	32688371	32727809	3	38913	90490.491	8983.9764	19	CCL1	CCL8,CCL13	CCL1	19	1
1_MACS_peak_5193_lociStitched	chr11	65183309	65200157	1	16849	82371.5568	5155.488	20	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	20	1
6_MACS_peak_27219_lociStitched	chr7	104562966	104606986	6	33305	81194.89	8038.052	21	LOC723809	MLL5,LOC100216545	LOC723809	21	1
8_MACS_peak_23685_lociStitched	chr5	131789694	131842804	8	40986	81035.238	10696.354	22	C5orf56,IRF1	RAD50,IL5	IRF1	22	1
4_MACS_peak_18398_lociStitched	chr21	45552477	45581292	4	21160	77757.2775	7635.975	23	C21orf33	PWP2	C21orf33	23	1
2_MACS_peak_13572_lociStitched	chr19	2081376	2098481	2	15736	75888.043	6024.381	24	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	24	1
5_MACS_peak_2838_lociStitched	chr1	230238128	230287869	5	35603	81421.0429	12529.7579	25	GALNT2		GALNT2	25	1
4_MACS_peak_7350_lociStitched	chr12	109007371	109036211	4	24434	73337.236	6341.916	26	SELPLG	TMEM119	SELPLG	26	1
3_MACS_peak_11608_lociStitched	chr17	16863911	16895651	3	26625	72868.692	6389.262	27	TNFRSF13B		TNFRSF13B	27	1
5_MACS_peak_17475_lociStitched	chr20	25261367	25302649	5	26653	72511.833	7405.9908	28	PYGB,ABHD12		PYGB	28	1
10_MACS_peak_12200_lociStitched	chr17	46506463	46571503	10	48233	77404.104	12734.832	29	SKAP1	HOXB1	SKAP1	29	1
5_MACS_peak_27723_lociStitched	chr7	150053052	150085091	5	27437	72885.5211	8583.2481	30	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	30	1
2_MACS_peak_1837_lociStitched	chr1	156449866	156479965	2	27142	72761.3226	8689.5813	31	MEF2D		MEF2D	31	1
2_MACS_peak_21948_lociStitched	chr4	90204354	90230369	2	24873	68156.6985	5785.736	32	GPRIN3		GPRIN3	32	1
3_MACS_peak_9049_lociStitched	chr14	106145119	106177185	3	31085	65712.8538	3674.7636	33			TMEM121	33	1
2_MACS_peak_1825_lociStitched	chr1	156115108	156136838	2	21261	68471.23	7405.584	34	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	34	1
7_MACS_peak_25136_lociStitched	chr6	52392407	52443001	7	41675	71180.6986	10361.6512	35	TRAM2		TRAM2	35	1
4_MACS_peak_26750_lociStitched	chr7	55569011	55606317	4	27341	67001.576	7043.3728	36	VOPP1		VOPP1	36	1
6_MACS_peak_6154_lociStitched	chr12	7045282	7085849	6	29147	67710.3797	8373.0288	37	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	37	1
6_MACS_peak_21102_lociStitched	chr3	193786991	193825012	6	27236	68943.4793	9805.6159	38		HES1	HES1	38	1
3_MACS_peak_12368_lociStitched	chr17	56404640	56431269	3	21130	65193.1178	6300.4214	39	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	39	1
2_MACS_peak_23683_lociStitched	chr5	131744667	131768439	2	21304	64617.0504	5836.026	40	C5orf56	SLC22A5,MIR3936	C5orf56	40	1
3_MACS_peak_13962_lociStitched	chr19	16693339	16717292	3	20663	63281.4307	4888.8073	41	MED26	CHERP,SLC35E1	SLC35E1	41	1
4_MACS_peak_19264_lociStitched	chr3	13035433	13062012	4	22006	63319.1517	5517.8004	42	IQSEC1	IQSEC1	IQSEC1	42	1
4_MACS_peak_18645_lociStitched	chr22	26974783	27015783	4	28568	64247.0	7211.9	43	TPST2,CRYBB1	CRYBA4,MIAT,MIR548J,TPST2	TPST2	43	1
5_MACS_peak_19190_lociStitched	chr3	5222366	5257228	5	28730	64299.4728	7268.727	44	ARL8B,EDEM1		EDEM1	44	1
4_MACS_peak_1630_lociStitched	chr1	149802705	149834412	4	18174	65617.6365	8792.3511	45	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	45	1
2_MACS_peak_14246_lociStitched	chr19	39880477	39904273	2	19590	61150.9608	4899.5964	46	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	46	1
3_MACS_peak_20972_lociStitched	chr3	183227693	183260959	3	30558	66106.1952	9983.1266	47	KLHL6		KLHL6	47	1
2_MACS_peak_6726_lociStitched	chr12	53583083	53603988	2	20399	61563.1345	5475.0195	48	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	48	1
4_MACS_peak_27190_lociStitched	chr7	102063850	102093357	4	22752	61150.3068	5765.6678	49	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	49	1
1_MACS_peak_6266_lociStitched	chr12	12865951	12881735	1	15785	59107.9232	3912.8536	50	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	50	1
7_MACS_peak_17664_lociStitched	chr20	37486919	37523579	7	24182	61665.786	6510.816	51	PPP1R16B	FAM83D	FAM83D	51	1
2_MACS_peak_12450_lociStitched	chr17	62149281	62187570	2	37870	63758.8428	8714.5764	52	ERN1	SNORD104,SNORA76	ERN1	52	1
1_MACS_peak_11900_lociStitched	chr17	34408588	34434656	1	26069	60691.5176	6402.3008	53	CCL4,CCL3	CCL18	CCL3	53	1
2_MACS_peak_2899_lociStitched	chr1	234733261	234750454	2	13590	59073.4287	5020.356	54	IRF2BP2	NCRNA00184	IRF2BP2	54	1
5_MACS_peak_4231_lociStitched	chr10	112103568	112130427	5	19841	59479.2555	5524.8963	55		SMNDC1	SMNDC1	55	1
3_MACS_peak_14863_lociStitched	chr2	20390601	20426544	3	26183	60635.841	6786.0384	56	SDC1		SDC1	56	1
3_MACS_peak_2458_lociStitched	chr1	204474512	204501224	3	20751	60793.8408	7476.6888	57	MDM4	PIK3C2B	MDM4	57	1
2_MACS_peak_24642_lociStitched	chr6	25402465	25420978	2	17390	57231.0882	4472.7408	58	LRRC16A		LRRC16A	58	1
2_MACS_peak_27825_lociStitched	chr8	2027282	2051159	2	19750	57402.6957	4823.154	59	MYOM2		MYOM2	59	1
2_MACS_peak_489_lociStitched	chr1	31213894	31236696	2	22654	57547.6876	5422.3156	60	LAPTM5	LOC100129196,MATN1	LAPTM5	60	1
2_MACS_peak_16889_lociStitched	chr2	219740874	219763588	2	20150	55951.3962	4501.9148	61	WNT10A	WNT6,PRKAG3	WNT10A	61	1
1_MACS_peak_16702_lociStitched	chr2	201979890	201995090	1	15201	55425.28	4028.0	62	CFLAR	NDUFB3,FAM126B	CFLAR	62	1
5_MACS_peak_4236_lociStitched	chr10	112146737	112187688	5	40040	58318.3191	7346.6094	63			DUSP5	63	1
1_MACS_peak_12002_lociStitched	chr17	38464855	38484243	1	19389	54712.936	4110.256	64	RARA	CDC6,RARA,GJD3	RARA	64	1
2_MACS_peak_20826_lociStitched	chr3	171800683	171827150	2	25930	57923.0295	7431.9336	65	FNDC3B		FNDC3B	65	1
4_MACS_peak_4174_lociStitched	chr10	105244550	105276240	4	27009	56205.384	5983.072	66	NEURL	CALHM2,CALHM1,CALHM3	NEURL	66	1
2_MACS_peak_5198_lociStitched	chr11	65253500	65278859	2	23169	55865.877	5743.8135	67	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	67	1
2_MACS_peak_18600_lociStitched	chr22	24177393	24200961	2	17588	54614.1264	4539.1968	68	SLC2A11,DERL3	SMARCB1,MIF	DERL3	68	1
2_MACS_peak_15751_lociStitched	chr2	97190278	97213187	2	21010	54697.5284	4888.7806	69	ARID5A	NEURL3	ARID5A	69	1
6_MACS_peak_9194_lociStitched	chr15	31616596	31660545	6	35583	57498.4767	7998.718	70	KLF13		KLF13	70	1
6_MACS_peak_10465_lociStitched	chr16	11761390	11801436	6	29211	57962.5804	8858.1752	71	SNN,TXNDC11		SNN	71	1
1_MACS_peak_14800_lociStitched	chr2	11883140	11898655	1	15516	52263.829	3585.5165	72	LPIN1		LPIN1	72	1
1_MACS_peak_25522_lociStitched	chr6	106530406	106555961	1	25556	54327.3745	6253.3085	73	PRDM1		PRDM1	73	1
1_MACS_peak_5969_lociStitched	chr11	128584944	128610429	1	25486	53556.7275	5512.4055	74	FLI1		FLI1	74	1
2_MACS_peak_1654_lociStitched	chr1	150531597	150553502	2	18402	53860.014	7403.89	75	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	75	1
3_MACS_peak_20687_lociStitched	chr3	156804274	156825959	3	19287	52900.5575	6635.61	76	LOC100498859,LOC339894		LOC100498859	76	1
1_MACS_peak_21548_lociStitched	chr4	40190750	40209893	1	19144	50744.2644	4504.3479	77	RHOH		RHOH	77	1
7_MACS_peak_16743_lociStitched	chr2	204536640	204585855	7	33859	55110.957	8902.9935	78	CD28		CD28	78	1
3_MACS_peak_24477_lociStitched	chr6	11826595	11849243	3	17876	50471.068	4357.4752	79		C6orf105	C6orf105	79	1
2_MACS_peak_10996_lociStitched	chr16	66548856	66561693	2	12591	48864.0405	3196.413	80	TK2	CKLF,CMTM1	TK2	80	1
4_MACS_peak_12919_lociStitched	chr18	9054805	9084940	4	20026	51337.986	6415.7415	81		NDUFV2	NDUFV2	81	1
4_MACS_peak_28819_lociStitched	chr8	120914396	120950570	4	35380	52039.9164	7289.061	82	DEPDC6	DSCC1	DEPDC6	82	1
3_MACS_peak_1549_lociStitched	chr1	145426679	145458053	3	19372	53169.5178	8427.0564	83	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	83	1
3_MACS_peak_9305_lociStitched	chr15	40386887	40409563	3	21206	49499.4404	4997.7904	84	BMF	BUB1B	BMF	84	1
5_MACS_peak_2499_lociStitched	chr1	206271562	206311308	5	25870	53911.4744	9543.0146	85	C1orf186	AVPR1B,CTSE	C1orf186	85	1
5_MACS_peak_29741_lociStitched	chr9	93670639	93709170	5	30586	51700.8958	7340.1555	86			SYK	86	1
8_MACS_peak_30091_lociStitched	chr9	123630114	123668348	8	28865	51030.9198	6752.1244	87	PHF19,TRAF1	LOC253039,PSMD5	PHF19	87	1
1_MACS_peak_22693_lociStitched	chr5	1311093	1320612	1	9520	46662.138	2837.6139	88	CLPTM1L	TERT	TERT	88	1
2_MACS_peak_15949_lociStitched	chr2	112455314	112468933	2	13513	46801.6935	3058.8274	89			ANAPC1	89	1
2_MACS_peak_14165_lociStitched	chr19	35693647	35708373	2	14194	47099.6384	3432.6306	90		FXYD5,LSR,FAM187B	FAM187B	90	1
2_MACS_peak_4782_lociStitched	chr11	22676792	22703728	2	22967	47967.6288	4444.44	91	GAS2	FANCF	GAS2	91	1
4_MACS_peak_1939_lociStitched	chr1	161144139	161173611	4	20925	51192.864	7724.6112	92	NDUFS2,B4GALT3,ADAMTS4	UFC1,USP21,PPOX,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	ADAMTS4	92	1
3_MACS_peak_1745_lociStitched	chr1	154370309	154394640	3	19826	50674.1737	7296.8669	93	IL6R		IL6R	93	1
3_MACS_peak_4634_lociStitched	chr11	10314489	10345190	3	22324	49244.404	5891.5219	94	ADM,SBF2		ADM	94	1
3_MACS_peak_12923_lociStitched	chr18	9094520	9122826	3	22844	48527.8064	5250.763	95	NDUFV2	ANKRD12	NDUFV2	95	1
5_MACS_peak_14308_lociStitched	chr19	42027054	42070618	5	27760	51353.2432	8190.032	96		CEACAM21	CEACAM21	96	1
3_MACS_peak_3159_lociStitched	chr10	11278350	11313014	3	26920	50034.0176	7061.0568	97	CELF2		CELF2	97	1
5_MACS_peak_20459_lociStitched	chr3	133179216	133212643	5	27290	49655.8085	6809.0799	98	BFSP2		BFSP2	98	1
3_MACS_peak_9191_lociStitched	chr15	31546263	31565367	3	16282	46418.8992	3824.6208	99			KLF13	99	1
8_MACS_peak_11049_lociStitched	chr16	68269789	68320751	8	33279	51904.797	9703.1648	100	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	100	1
4_MACS_peak_17729_lociStitched	chr20	42683691	42710800	4	18378	46323.8592	4161.2315	101	TOX2		JPH2	101	1
4_MACS_peak_15230_lociStitched	chr2	47522683	47551533	4	20100	47247.645	5086.255	102		EPCAM	EPCAM	102	1
2_MACS_peak_6090_lociStitched	chr12	4216300	4232443	2	10402	45500.6598	3577.2888	103			CCND2	103	1
7_MACS_peak_6004_lociStitched	chr11	130668164	130705905	7	28635	48089.5822	6253.6837	104			SNX19	104	1
1_MACS_peak_13376_lociStitched	chr18	60821355	60831875	1	10521	44510.12	2840.4	105	BCL2		BCL2	105	1
8_MACS_peak_13203_lociStitched	chr18	46439251	46483113	8	37886	49682.4874	8162.7182	106	SMAD7		SMAD7	106	1
5_MACS_peak_20407_lociStitched	chr3	129025497	129055327	5	20118	47179.128	5679.632	107	C3orf47,H1FX	C3orf37	H1FX	107	1
5_MACS_peak_2475_lociStitched	chr1	205242223	205271223	5	18591	48821.5	7426.9	108	TMCC2,NUAK2		NUAK2	108	1
4_MACS_peak_4374_lociStitched	chr10	125821995	125854844	4	28501	47102.1811	6119.7687	109	CHST15		CHST15	109	1
3_MACS_peak_13941_lociStitched	chr19	16244010	16273298	3	24581	47051.172	6074.3312	110	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	110	1
2_MACS_peak_18373_lociStitched	chr21	44723154	44747743	2	24153	46517.4702	5699.7302	111			SIK1	111	1
4_MACS_peak_4254_lociStitched	chr10	112599743	112633348	4	23389	46791.602	5995.132	112	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	112	1
6_MACS_peak_25880_lociStitched	chr6	138244835	138298287	6	36103	50303.6772	9824.4776	113			TNFAIP3	113	1
5_MACS_peak_25407_lociStitched	chr6	90054675	90086523	5	22876	46246.4808	6038.3808	114	UBE2J1,RRAGD	GABRR2	UBE2J1	114	1
4_MACS_peak_2510_lociStitched	chr1	206727276	206754845	4	22361	47881.8392	7713.8062	115	RASSF5	LGTN	RASSF5	115	1
2_MACS_peak_7551_lociStitched	chr12	123354897	123387301	2	26558	44108.3248	3953.288	116	VPS37B	HIP1R	VPS37B	116	1
2_MACS_peak_5382_lociStitched	chr11	72851118	72871745	2	20354	44279.9809	4249.162	117	FCHSD2		FCHSD2	117	1
1_MACS_peak_18664_lociStitched	chr22	29185686	29199838	1	14153	42985.2848	2970.5048	118	XBP1	HSCB,CCDC117,CHEK2	XBP1	118	1
7_MACS_peak_15932_lociStitched	chr2	112185209	112241962	7	40245	48262.7512	8739.962	119	LOC541471		LOC541471	119	1
8_MACS_peak_2523_lociStitched	chr1	206955374	207008163	8	39488	52192.4843	12727.4279	120	IL19	IL20,IL10	IL19	120	1
2_MACS_peak_24808_lociStitched	chr6	31693555	31709577	2	13301	43177.6878	3734.7282	121	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	121	1
2_MACS_peak_10922_lociStitched	chr16	56963101	56985941	2	18792	44389.54	5716.852	122	HERPUD1	CETP,NLRC5	HERPUD1	122	1
5_MACS_peak_10067_lociStitched	chr15	89646495	89676874	5	22955	44930.541	6264.1498	123	ABHD2		ABHD2	123	1
2_MACS_peak_7347_lociStitched	chr12	108952713	108973621	2	20601	43570.1812	4957.2868	124	ISCU,SART3	FICD,TMEM119	ISCU	124	1
5_MACS_peak_30131_lociStitched	chr9	126082613	126107163	5	15816	42913.4	4492.65	125		CRB2	CRB2	125	1
2_MACS_peak_18369_lociStitched	chr21	44579914	44598451	2	14082	43252.3821	4832.5959	126	CRYAA		CRYAA	126	1
4_MACS_peak_12668_lociStitched	chr17	75128852	75147184	4	17796	42156.2672	3763.5596	127	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	127	1
6_MACS_peak_22635_lociStitched	chr4	187733545	187776258	6	24371	44878.5491	6496.6473	128			FAT1	128	1
3_MACS_peak_10919_lociStitched	chr16	56937749	56955189	3	15400	41784.496	3493.232	129	SLC12A3	MIR138-2,HERPUD1,CETP	HERPUD1	129	1
2_MACS_peak_20329_lociStitched	chr3	124486978	124513076	2	24752	42738.0848	4538.4422	130	ITGB5	UMPS	UMPS	130	1
5_MACS_peak_28538_lociStitched	chr8	81045819	81084750	5	27900	44762.8638	6641.6286	131	TPD52		TPD52	131	1
4_MACS_peak_2185_lociStitched	chr1	181094934	181131361	4	27695	47034.5424	8968.3274	132		IER5	IER5	132	1
1_MACS_peak_8233_lociStitched	chr13	114828828	114835200	1	6373	39575.8548	1555.4052	133	RASA3		RASA3	133	1
4_MACS_peak_18919_lociStitched	chr22	39822861	39846378	4	18295	42173.0361	4202.4879	134	TAB1	MGAT3	MGAT3	134	1
3_MACS_peak_249_lociStitched	chr1	17220643	17241612	3	13953	44506.7025	6577.9753	135		CROCC	CROCC	135	1
2_MACS_peak_4156_lociStitched	chr10	104529823	104546621	2	15680	41360.0356	3598.1316	136	C10orf26		C10orf26	136	1
3_MACS_peak_15069_lociStitched	chr2	37600487	37625121	3	19300	42860.6966	5276.6028	137		QPCT	QPCT	137	1
2_MACS_peak_21048_lociStitched	chr3	186703134	186720379	2	14596	42695.171	5171.7755	138	ST6GAL1	ST6GAL1	ST6GAL1	138	1
4_MACS_peak_8246_lociStitched	chr13	115023556	115048737	4	20388	41813.0505	4467.1094	139	CDC16,UPF3A	ZNF828	UPF3A	139	1
3_MACS_peak_13892_lociStitched	chr19	13943848	13962447	3	14867	40184.9994	2864.246	140	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	140	1
3_MACS_peak_10471_lociStitched	chr16	11808412	11837987	3	25754	43285.97	6080.62	141	TXNDC11	SNN	TXNDC11	141	1
3_MACS_peak_22737_lociStitched	chr5	6475667	6498171	3	14767	41189.0712	4111.4808	142	UBE2QL1		UBE2QL1	142	1
6_MACS_peak_23670_lociStitched	chr5	131418329	131444867	6	17209	41760.1968	4912.1838	143		IL3,CSF2	CSF2	143	1
3_MACS_peak_28207_lociStitched	chr8	37736455	37764770	3	23591	42115.731	5269.4215	144	RAB11FIP1	BRF2,GOT1L1	RAB11FIP1	144	1
2_MACS_peak_18619_lociStitched	chr22	24819524	24833923	2	14082	39392.7842	2658.0554	145	ADORA2A,C22orf45		ADORA2A	145	1
1_MACS_peak_18344_lociStitched	chr21	43479075	43486792	1	7718	39799.6558	3129.2435	146	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	146	1
6_MACS_peak_12618_lociStitched	chr17	73850201	73875823	6	17666	41312.9128	4645.2686	147	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	WBP2	147	1
1_MACS_peak_26446_lociStitched	chr7	26002099	26012327	1	10229	39389.0508	2741.104	148		MIR148A	MIR148A	148	1
1_MACS_peak_26969_lociStitched	chr7	78113660	78128582	1	14923	39579.1128	3209.7222	149	MAGI2		RPL13AP17	149	1
3_MACS_peak_15408_lociStitched	chr2	65157421	65178703	3	19806	41106.183	4777.809	150	LOC400958	SLC1A4	LOC400958	150	1
3_MACS_peak_20887_lociStitched	chr3	177062408	177080782	3	14032	40782.9304	4532.8658	151			TBL1XR1	151	1
3_MACS_peak_1504_lociStitched	chr1	143441431	143469936	3	20125	47155.8215	11020.033	152			LOC100130000	152	1
2_MACS_peak_21052_lociStitched	chr3	186779516	186792382	2	10759	40029.9858	4050.2168	153	ST6GAL1		ST6GAL1	153	1
1_MACS_peak_23346_lociStitched	chr5	88111066	88130956	1	19891	40317.03	4349.943	154	MEF2C		MEF2C	154	1
3_MACS_peak_17701_lociStitched	chr20	40706562	40727654	3	16937	39488.4424	3566.6572	155	PTPRT		CHD6	155	1
1_MACS_peak_2789_lociStitched	chr1	226837572	226852791	1	15220	40379.0508	4625.0541	156	ITPKB		ITPKB	156	1
3_MACS_peak_5714_lociStitched	chr11	111230350	111252126	3	20508	40172.3648	4468.4352	157	POU2AF1		POU2AF1	157	1
4_MACS_peak_15706_lociStitched	chr2	89043232	89066310	4	16600	39774.933	4345.5874	158	RPIA,ANKRD36BP2		ANKRD36BP2	158	1
6_MACS_peak_9770_lociStitched	chr15	70767777	70805947	6	25563	41864.856	6569.057	159			UACA	159	1
1_MACS_peak_23788_lociStitched	chr5	138719469	138730670	1	11202	37791.0539	2593.0315	160	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	160	1
2_MACS_peak_673_lociStitched	chr1	40838930	40859505	2	16231	38857.945	3886.6175	161	SMAP2	SMAP2	SMAP2	161	1
1_MACS_peak_27226_lociStitched	chr7	104650879	104658699	1	7821	36842.366	1936.232	162	MLL5,LOC100216545		MLL5	162	1
7_MACS_peak_19633_lociStitched	chr3	46317784	46365443	7	33993	43560.326	8859.8081	163		CCR3,CCR2,CCR5	CCR2	163	1
5_MACS_peak_30219_lociStitched	chr9	130531907	130566852	5	18926	40564.156	6000.0565	164	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C	CDK9	164	1
2_MACS_peak_18017_lociStitched	chr20	61272699	61291262	2	15367	37313.4863	3033.1942	165	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	165	1
1_MACS_peak_24846_lociStitched	chr6	32934721	32942063	1	7343	36191.6548	1917.7304	166	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	166	1
1_MACS_peak_6383_lociStitched	chr12	26265331	26280696	1	15366	37857.8235	3595.41	167	BHLHE41		BHLHE41	167	1
2_MACS_peak_26646_lociStitched	chr7	44661682	44680674	2	15744	38483.4896	4263.704	168	OGDH	DDX56,TMED4	OGDH	168	1
1_MACS_peak_4242_lociStitched	chr10	112214433	112226656	1	12224	36797.3415	2623.0558	169		DUSP5	DUSP5	169	1
2_MACS_peak_5355_lociStitched	chr11	71411951	71427930	2	15975	37833.4783	3807.7957	170			FAM86C	170	1
1_MACS_peak_16711_lociStitched	chr2	202115861	202129086	1	13226	36585.64	2637.065	171	CASP8		CASP8	171	1
5_MACS_peak_1820_lociStitched	chr1	156065109	156100669	5	25223	41630.092	7720.076	172	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	172	1
1_MACS_peak_10096_lociStitched	chr15	90637135	90646783	1	9649	36468.4752	2668.6368	173	IDH2		IDH2	173	1
5_MACS_peak_9752_lociStitched	chr15	70305375	70331012	5	22267	38752.8892	5045.3616	174		MIR629	MIR629	174	1
4_MACS_peak_13531_lociStitched	chr19	1258434	1277506	4	12237	38569.3056	4964.4416	175	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	175	1
2_MACS_peak_5758_lociStitched	chr11	115088270	115102664	2	13795	36693.1848	3103.3464	176	CADM1		CADM1	176	1
4_MACS_peak_10626_lociStitched	chr16	23333957	23365775	4	18503	39091.5948	5599.968	177	SCNN1B		SCNN1B	177	1
4_MACS_peak_9729_lociStitched	chr15	68568623	68599596	4	27433	39574.2021	6200.7946	178	FEM1B,ITGA11	CLN6	FEM1B	178	1
6_MACS_peak_3700_lociStitched	chr10	72235637	72274141	6	22445	39632.1672	6414.7664	179	KIAA1274	NODAL	KIAA1274	179	1
4_MACS_peak_6614_lociStitched	chr12	48195998	48221057	4	19953	38109.7272	4909.0581	180	HDAC7	SLC48A1,RAPGEF3	HDAC7	180	1
6_MACS_peak_28886_lociStitched	chr8	126284992	126322864	6	25119	40227.6384	7047.9792	181	NSMCE2		TRIB1	181	1
3_MACS_peak_4761_lociStitched	chr11	19449719	19469080	3	18291	37362.8578	4205.2092	182	NAV2		FLJ13439	182	1
2_MACS_peak_18350_lociStitched	chr21	43638506	43658122	2	14740	37843.1872	4778.4576	183	ABCG1		ABCG1	183	1
2_MACS_peak_29763_lociStitched	chr9	94180295	94196133	2	15749	36343.4586	3392.4996	184	NFIL3		NFIL3	184	1
1_MACS_peak_15154_lociStitched	chr2	43444126	43457062	1	12937	35953.0248	3039.96	185	LOC100129726,ZFP36L2		ZFP36L2	185	1
3_MACS_peak_28170_lociStitched	chr8	33409756	33428164	3	14239	35950.824	3044.6832	186	RNF122	C8orf41,DUSP26	RNF122	186	1
2_MACS_peak_9826_lociStitched	chr15	75062722	75083510	2	20452	37193.8896	4429.9228	187	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	187	1
