REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X01_0EWN_0229Kronos_MM1S.No.Treatment.1_H3K18Ac_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
8_MACS_peak_13203_lociStitched	chr18	46439251	46483113	8	37886	49682.4874	8162.7182	20	SMAD7		SMAD7	20	1
2_MACS_peak_12450_lociStitched	chr17	62149281	62187570	2	37870	63758.8428	8714.5764	21	ERN1	SNORD104,SNORA76	ERN1	21	1
1_MACS_peak_24429_lociStitched	chr6	7886244	7922480	1	36237	148991.5612	9446.7252	22	MUTED-TXNDC5,TXNDC5		TXNDC5	22	1
6_MACS_peak_25880_lociStitched	chr6	138244835	138298287	6	36103	50303.6772	9824.4776	23			TNFAIP3	23	1
5_MACS_peak_2838_lociStitched	chr1	230238128	230287869	5	35603	81421.0429	12529.7579	24	GALNT2		GALNT2	24	1
6_MACS_peak_9194_lociStitched	chr15	31616596	31660545	6	35583	57498.4767	7998.718	25	KLF13		KLF13	25	1
4_MACS_peak_28819_lociStitched	chr8	120914396	120950570	4	35380	52039.9164	7289.061	26	DEPDC6	DSCC1	DEPDC6	26	1
2_MACS_peak_11907_lociStitched	chr17	34508251	34544290	2	34420	101377.707	10599.0699	27	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	27	1
4_MACS_peak_9043_lociStitched	chr14	106023350	106058027	4	34156	99054.8505	6158.6352	28		TMEM121	TMEM121	28	1
7_MACS_peak_19633_lociStitched	chr3	46317784	46365443	7	33993	43560.326	8859.8081	29		CCR3,CCR2,CCR5	CCR2	29	1
7_MACS_peak_16743_lociStitched	chr2	204536640	204585855	7	33859	55110.957	8902.9935	30	CD28		CD28	30	1
6_MACS_peak_27219_lociStitched	chr7	104562966	104606986	6	33305	81194.89	8038.052	31	LOC723809	MLL5,LOC100216545	LOC723809	31	1
8_MACS_peak_11049_lociStitched	chr16	68269789	68320751	8	33279	51904.797	9703.1648	32	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	32	1
3_MACS_peak_9049_lociStitched	chr14	106145119	106177185	3	31085	65712.8538	3674.7636	33			TMEM121	33	1
5_MACS_peak_29741_lociStitched	chr9	93670639	93709170	5	30586	51700.8958	7340.1555	34			SYK	34	1
3_MACS_peak_20972_lociStitched	chr3	183227693	183260959	3	30558	66106.1952	9983.1266	35	KLHL6		KLHL6	35	1
6_MACS_peak_10465_lociStitched	chr16	11761390	11801436	6	29211	57962.5804	8858.1752	36	SNN,TXNDC11		SNN	36	1
6_MACS_peak_6154_lociStitched	chr12	7045282	7085849	6	29147	67710.3797	8373.0288	37	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	37	1
2_MACS_peak_6742_lociStitched	chr12	53845681	53874860	2	29003	35863.9089	6031.2993	38	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	38	1
8_MACS_peak_30091_lociStitched	chr9	123630114	123668348	8	28865	51030.9198	6752.1244	39	PHF19,TRAF1	LOC253039,PSMD5	PHF19	39	1
5_MACS_peak_19190_lociStitched	chr3	5222366	5257228	5	28730	64299.4728	7268.727	40	ARL8B,EDEM1		EDEM1	40	1
9_MACS_peak_9700_lociStitched	chr15	67357099	67409997	9	28682	34992.027	8495.4188	41	SMAD3	SMAD3	SMAD3	41	1
6_MACS_peak_13595_lociStitched	chr19	2594495	2638050	6	28666	95093.6315	11555.1415	42	GNG7		GNG7	42	1
7_MACS_peak_6004_lociStitched	chr11	130668164	130705905	7	28635	48089.5822	6253.6837	43			SNX19	43	1
4_MACS_peak_18645_lociStitched	chr22	26974783	27015783	4	28568	64247	7211.9	44	TPST2,CRYBB1	CRYBA4,MIAT,MIR548J,TPST2	TPST2	44	1
4_MACS_peak_4374_lociStitched	chr10	125821995	125854844	4	28501	47102.1811	6119.7687	45	CHST15		CHST15	45	1
5_MACS_peak_28538_lociStitched	chr8	81045819	81084750	5	27900	44762.8638	6641.6286	46	TPD52		TPD52	46	1
5_MACS_peak_14308_lociStitched	chr19	42027054	42070618	5	27760	51353.2432	8190.032	47		CEACAM21	CEACAM21	47	1
4_MACS_peak_2185_lociStitched	chr1	181094934	181131361	4	27695	47034.5424	8968.3274	48		IER5	IER5	48	1
5_MACS_peak_27723_lociStitched	chr7	150053052	150085091	5	27437	72885.5211	8583.2481	49	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	49	1
4_MACS_peak_9729_lociStitched	chr15	68568623	68599596	4	27433	39574.2021	6200.7946	50	FEM1B,ITGA11	CLN6	FEM1B	50	1
4_MACS_peak_19643_lociStitched	chr3	46421227	46460521	4	27352	36028.6686	7257.6018	51	CCRL2	CCR2,CCR5,LTF	CCRL2	51	1
4_MACS_peak_26750_lociStitched	chr7	55569011	55606317	4	27341	67001.576	7043.3728	52	VOPP1		VOPP1	52	1
5_MACS_peak_20459_lociStitched	chr3	133179216	133212643	5	27290	49655.8085	6809.0799	53	BFSP2		BFSP2	53	1
6_MACS_peak_21102_lociStitched	chr3	193786991	193825012	6	27236	68943.4793	9805.6159	54		HES1	HES1	54	1
2_MACS_peak_1837_lociStitched	chr1	156449866	156479965	2	27142	72761.3226	8689.5813	55	MEF2D		MEF2D	55	1
4_MACS_peak_4174_lociStitched	chr10	105244550	105276240	4	27009	56205.384	5983.072	56	NEURL	CALHM2,CALHM1,CALHM3	NEURL	56	1
3_MACS_peak_3159_lociStitched	chr10	11278350	11313014	3	26920	50034.0176	7061.0568	57	CELF2		CELF2	57	1
5_MACS_peak_17475_lociStitched	chr20	25261367	25302649	5	26653	72511.833	7405.9908	58	PYGB,ABHD12		PYGB	58	1
3_MACS_peak_11608_lociStitched	chr17	16863911	16895651	3	26625	72868.692	6389.262	59	TNFRSF13B		TNFRSF13B	59	1
2_MACS_peak_7551_lociStitched	chr12	123354897	123387301	2	26558	44108.3248	3953.288	60	VPS37B	HIP1R	VPS37B	60	1
3_MACS_peak_14863_lociStitched	chr2	20390601	20426544	3	26183	60635.841	6786.0384	61	SDC1		SDC1	61	1
1_MACS_peak_11900_lociStitched	chr17	34408588	34434656	1	26069	60691.5176	6402.3008	62	CCL4,CCL3	CCL18	CCL3	62	1
4_MACS_peak_24189_lociStitched	chr5	173309948	173344090	4	26052	29983.5044	6114.8322	63	CPEB4		CPEB4	63	1
3_MACS_peak_17023_lociStitched	chr2	232687206	232715057	3	25946	28310.5415	3871.289	64		COPS7B,PDE6D,MIR1471	COPS7B	64	1
2_MACS_peak_20826_lociStitched	chr3	171800683	171827150	2	25930	57923.0295	7431.9336	65	FNDC3B		FNDC3B	65	1
5_MACS_peak_2499_lociStitched	chr1	206271562	206311308	5	25870	53911.4744	9543.0146	66	C1orf186	AVPR1B,CTSE	C1orf186	66	1
3_MACS_peak_10471_lociStitched	chr16	11808412	11837987	3	25754	43285.97	6080.62	67	TXNDC11	SNN	TXNDC11	67	1
5_MACS_peak_28077_lociStitched	chr8	27208496	27242184	5	25732	36396.5152	6592.7416	68	PTK2B	TRIM35	PTK2B	68	1
7_MACS_peak_9088_lociStitched	chr15	21967063	22005784	7	25707	28676.7726	5568.0798	69		LOC646214,CXADRP2	CXADRP2	69	1
10_MACS_peak_17915_lociStitched	chr20	52531005	52584491	10	25667	37814.602	8135.2206	70	BCAS1	SUMO1P1	SUMO1P1	70	1
6_MACS_peak_9770_lociStitched	chr15	70767777	70805947	6	25563	41864.856	6569.057	71			UACA	71	1
1_MACS_peak_25522_lociStitched	chr6	106530406	106555961	1	25556	54327.3745	6253.3085	72	PRDM1		PRDM1	72	1
1_MACS_peak_5969_lociStitched	chr11	128584944	128610429	1	25486	53556.7275	5512.4055	73	FLI1		FLI1	73	1
5_MACS_peak_1820_lociStitched	chr1	156065109	156100669	5	25223	41630.092	7720.076	74	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	74	1
6_MACS_peak_28886_lociStitched	chr8	126284992	126322864	6	25119	40227.6384	7047.9792	75	NSMCE2		TRIB1	75	1
2_MACS_peak_1767_lociStitched	chr1	154907689	154935556	2	25112	101126.5563	9123.6558	76	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	76	1
2_MACS_peak_21948_lociStitched	chr4	90204354	90230369	2	24873	68156.6985	5785.736	77	GPRIN3		GPRIN3	77	1
2_MACS_peak_20329_lociStitched	chr3	124486978	124513076	2	24752	42738.0848	4538.4422	78	ITGB5	UMPS	UMPS	78	1
6_MACS_peak_638_lociStitched	chr1	40029802	40072759	6	24731	35993.6703	7229.6631	79	PABPC4,SNORA55	PPIEL,HEYL	PABPC4	79	1
3_MACS_peak_13146_lociStitched	chr18	42287372	42314190	3	24681	28301.0354	4119.2448	80	SETBP1		SETBP1	80	1
3_MACS_peak_1541_lociStitched	chr1	145182587	145212839	3	24610	42537.3372	13852.3908	81	NOTCH2NL		NOTCH2NL	81	1
3_MACS_peak_13941_lociStitched	chr19	16244010	16273298	3	24581	47051.172	6074.3312	82	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	82	1
4_MACS_peak_7350_lociStitched	chr12	109007371	109036211	4	24434	73337.236	6341.916	83	SELPLG	TMEM119	SELPLG	83	1
6_MACS_peak_22635_lociStitched	chr4	187733545	187776258	6	24371	44878.5491	6496.6473	84			FAT1	84	1
7_MACS_peak_17664_lociStitched	chr20	37486919	37523579	7	24182	61665.786	6510.816	85	PPP1R16B	FAM83D	FAM83D	85	1
2_MACS_peak_18373_lociStitched	chr21	44723154	44747743	2	24153	46517.4702	5699.7302	86			SIK1	86	1
2_MACS_peak_12926_lociStitched	chr18	9132525	9157597	2	23700	37023.8224	4931.6624	87	NDUFV2,ANKRD12		ANKRD12	87	1
3_MACS_peak_28207_lociStitched	chr8	37736455	37764770	3	23591	42115.731	5269.4215	88	RAB11FIP1	BRF2,GOT1L1	RAB11FIP1	88	1
5_MACS_peak_9299_lociStitched	chr15	40329773	40358623	5	23552	32874.575	5322.825	89	SRP14	BMF	SRP14	89	1
4_MACS_peak_22571_lociStitched	chr4	185317362	185350264	4	23396	37238.4836	6142.8034	90	IRF2		IRF2	90	1
4_MACS_peak_4254_lociStitched	chr10	112599743	112633348	4	23389	46791.602	5995.132	91	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	91	1
2_MACS_peak_5198_lociStitched	chr11	65253500	65278859	2	23169	55865.877	5743.8135	92	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	92	1
6_MACS_peak_16638_lociStitched	chr2	197074464	197113734	6	23097	29181.537	6067.215	93	HECW2	STK17B	STK17B	93	1
5_MACS_peak_17721_lociStitched	chr20	42564847	42593917	5	22993	35395.632	5122.134	94	TOX2		TOX2	94	1
5_MACS_peak_25383_lociStitched	chr6	88612540	88640604	5	22973	32082.7648	4989.7792	95			SPACA1	95	1
2_MACS_peak_4782_lociStitched	chr11	22676792	22703728	2	22967	47967.6288	4444.44	96	GAS2	FANCF	GAS2	96	1
5_MACS_peak_10067_lociStitched	chr15	89646495	89676874	5	22955	44930.541	6264.1498	97	ABHD2		ABHD2	97	1
5_MACS_peak_25407_lociStitched	chr6	90054675	90086523	5	22876	46246.4808	6038.3808	98	UBE2J1,RRAGD	GABRR2	UBE2J1	98	1
7_MACS_peak_8933_lociStitched	chr14	95945715	95986137	7	22872	29196.8106	3803.7102	99		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	99	1
3_MACS_peak_12923_lociStitched	chr18	9094520	9122826	3	22844	48527.8064	5250.763	100	NDUFV2	ANKRD12	NDUFV2	100	1
4_MACS_peak_27190_lociStitched	chr7	102063850	102093357	4	22752	61150.3068	5765.6678	101	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	101	1
2_MACS_peak_489_lociStitched	chr1	31213894	31236696	2	22654	57547.6876	5422.3156	102	LAPTM5	LOC100129196,MATN1	LAPTM5	102	1
4_MACS_peak_2223_lociStitched	chr1	183856340	183886005	4	22629	36671.873	6392.8075	103	RGL1		GLT25D2	103	1
1_MACS_peak_3155_lociStitched	chr10	11201898	11224442	1	22545	90744.1088	5933.5808	104	CELF2		CELF2	104	1
6_MACS_peak_3700_lociStitched	chr10	72235637	72274141	6	22445	39632.1672	6414.7664	105	KIAA1274	NODAL	KIAA1274	105	1
5_MACS_peak_15700_lociStitched	chr2	88898795	88928714	5	22401	31088.8329	5609.8125	106	EIF2AK3		EIF2AK3	106	1
6_MACS_peak_9078_lociStitched	chr15	20968709	20998061	6	22371	25550.916	4303.0032	107		BCL8	BCL8	107	1
4_MACS_peak_2510_lociStitched	chr1	206727276	206754845	4	22361	47881.8392	7713.8062	108	RASSF5	LGTN	RASSF5	108	1
3_MACS_peak_4634_lociStitched	chr11	10314489	10345190	3	22324	49244.404	5891.5219	109	ADM,SBF2		ADM	109	1
5_MACS_peak_9752_lociStitched	chr15	70305375	70331012	5	22267	38752.8892	5045.3616	110		MIR629	MIR629	110	1
5_MACS_peak_21848_lociStitched	chr4	82409655	82442072	5	22217	29019.6984	5459.0228	111		RASGEF1B	RASGEF1B	111	1
5_MACS_peak_10213_lociStitched	chr15	101660475	101692558	5	22054	36468.7461	5858.3558	112			CHSY1	112	1
4_MACS_peak_19264_lociStitched	chr3	13035433	13062012	4	22006	63319.1517	5517.8004	113	IQSEC1	IQSEC1	IQSEC1	113	1
6_MACS_peak_18905_lociStitched	chr22	39630938	39666079	6	21827	33608.8524	5323.8615	114	PDGFB	SNORD83B,SNORD83A,RNU86,SNORD43,RPL3	PDGFB	114	1
2_MACS_peak_23683_lociStitched	chr5	131744667	131768439	2	21304	64617.0504	5836.026	115	C5orf56	SLC22A5,MIR3936	C5orf56	115	1
2_MACS_peak_1825_lociStitched	chr1	156115108	156136838	2	21261	68471.23	7405.584	116	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	116	1
3_MACS_peak_9305_lociStitched	chr15	40386887	40409563	3	21206	49499.4404	4997.7904	117	BMF	BUB1B	BMF	117	1
2_MACS_peak_29988_lociStitched	chr9	112903974	112925334	2	21174	30059.928	4726.968	118	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	118	1
4_MACS_peak_18398_lociStitched	chr21	45552477	45581292	4	21160	77757.2775	7635.975	119	C21orf33	PWP2	C21orf33	119	1
3_MACS_peak_12368_lociStitched	chr17	56404640	56431269	3	21130	65193.1178	6300.4214	120	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	120	1
3_MACS_peak_16634_lociStitched	chr2	197023816	197048757	3	21030	35787.8409	5534.4079	121	STK17B		STK17B	121	1
2_MACS_peak_15751_lociStitched	chr2	97190278	97213187	2	21010	54697.5284	4888.7806	122	ARID5A	NEURL3	ARID5A	122	1
4_MACS_peak_1939_lociStitched	chr1	161144139	161173611	4	20925	51192.864	7724.6112	123	NDUFS2,B4GALT3,ADAMTS4	UFC1,USP21,PPOX,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	ADAMTS4	123	1
3_MACS_peak_2458_lociStitched	chr1	204474512	204501224	3	20751	60793.8408	7476.6888	124	MDM4	PIK3C2B	MDM4	124	1
2_MACS_peak_17896_lociStitched	chr20	52194749	52216007	2	20744	33287.9022	3711.6468	125	ZNF217		ZNF217	125	1
3_MACS_peak_2300_lociStitched	chr1	192497531	192521396	3	20718	37816.479	6324.225	126		RGS1	RGS1	126	1
6_MACS_peak_9808_lociStitched	chr15	74657891	74696744	6	20713	38728.6704	6208.7094	127	CYP11A1	CCDC33,SEMA7A	CYP11A1	127	1
3_MACS_peak_22856_lociStitched	chr5	32275302	32296875	3	20708	25220.9943	4282.2405	128	MTMR12		MTMR12	128	1
3_MACS_peak_13962_lociStitched	chr19	16693339	16717292	3	20663	63281.4307	4888.8073	129	MED26	CHERP,SLC35E1	SLC35E1	129	1
2_MACS_peak_7347_lociStitched	chr12	108952713	108973621	2	20601	43570.1812	4957.2868	130	ISCU,SART3	FICD,TMEM119	ISCU	130	1
3_MACS_peak_5714_lociStitched	chr11	111230350	111252126	3	20508	40172.3648	4468.4352	131	POU2AF1		POU2AF1	131	1
2_MACS_peak_9826_lociStitched	chr15	75062722	75083510	2	20452	37193.8896	4429.9228	132	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	132	1
6_MACS_peak_13779_lociStitched	chr19	10513252	10543104	6	20405	32559.5764	5030.062	133	PDE4A,CDC37,MIR1181	PDE4A,TYK2	PDE4A	133	1
2_MACS_peak_6726_lociStitched	chr12	53583083	53603988	2	20399	61563.1345	5475.0195	134	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	134	1
4_MACS_peak_8246_lociStitched	chr13	115023556	115048737	4	20388	41813.0505	4467.1094	135	CDC16,UPF3A	ZNF828	UPF3A	135	1
2_MACS_peak_5382_lociStitched	chr11	72851118	72871745	2	20354	44279.9809	4249.162	136	FCHSD2		FCHSD2	136	1
4_MACS_peak_15875_lociStitched	chr2	109822821	109844398	4	20267	31884.3329	4237.7228	137	SH3RF3		MIR4265	137	1
2_MACS_peak_16889_lociStitched	chr2	219740874	219763588	2	20150	55951.3962	4501.9148	138	WNT10A	WNT6,PRKAG3	WNT10A	138	1
3_MACS_peak_1504_lociStitched	chr1	143441431	143469936	3	20125	47155.8215	11020.033	139			LOC100130000	139	1
5_MACS_peak_20407_lociStitched	chr3	129025497	129055327	5	20118	47179.128	5679.632	140	C3orf47,H1FX	C3orf37	H1FX	140	1
4_MACS_peak_15230_lociStitched	chr2	47522683	47551533	4	20100	47247.645	5086.255	141		EPCAM	EPCAM	141	1
3_MACS_peak_9120_lociStitched	chr15	23658566	23682786	3	20085	31926.804	3853.402	142			MKRN3	142	1
7_MACS_peak_10144_lociStitched	chr15	93346128	93389192	7	20079	39033.2096	7234.752	143		ASB9P1,LOC100507217	ASB9P1	143	1
4_MACS_peak_12919_lociStitched	chr18	9054805	9084940	4	20026	51337.986	6415.7415	144		NDUFV2	NDUFV2	144	1
4_MACS_peak_19425_lociStitched	chr3	30680213	30703978	4	20003	26295.9725	4410.784	145	TGFBR2		TGFBR2	145	1
4_MACS_peak_12576_lociStitched	chr17	72733060	72757048	4	19981	24438.9744	4624.8864	146	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	146	1
3_MACS_peak_24639_lociStitched	chr6	25365917	25390389	3	19960	33578.0312	4544.4504	147	LRRC16A		LRRC16A	147	1
4_MACS_peak_6614_lociStitched	chr12	48195998	48221057	4	19953	38109.7272	4909.0581	148	HDAC7	SLC48A1,RAPGEF3	HDAC7	148	1
1_MACS_peak_23346_lociStitched	chr5	88111066	88130956	1	19891	40317.03	4349.943	149	MEF2C		MEF2C	149	1
5_MACS_peak_4231_lociStitched	chr10	112103568	112130427	5	19841	59479.2555	5524.8963	150		SMNDC1	SMNDC1	150	1
3_MACS_peak_1745_lociStitched	chr1	154370309	154394640	3	19826	50674.1737	7296.8669	151	IL6R		IL6R	151	1
3_MACS_peak_15408_lociStitched	chr2	65157421	65178703	3	19806	41106.183	4777.809	152	LOC400958	SLC1A4	LOC400958	152	1
2_MACS_peak_27825_lociStitched	chr8	2027282	2051159	2	19750	57402.6957	4823.154	153	MYOM2		MYOM2	153	1
5_MACS_peak_31232_lociStitched	chrX	128892849	128921384	5	19669	27793.09	2876.328	154	XPNPEP2,SASH3		SASH3	154	1
2_MACS_peak_14246_lociStitched	chr19	39880477	39904273	2	19590	61150.9608	4899.5964	155	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	155	1
7_MACS_peak_317_lociStitched	chr1	23918135	23962441	7	19456	27132.9944	7053.5152	156	MDS2	ID3	MDS2	156	1
1_MACS_peak_12002_lociStitched	chr17	38464855	38484243	1	19389	54712.936	4110.256	157	RARA	CDC6,RARA,GJD3	RARA	157	1
3_MACS_peak_21714_lociStitched	chr4	71526781	71555437	3	19376	30911.2272	5006.2032	158	UTP3,IGJ	ENAM,RUFY3	IGJ	158	1
3_MACS_peak_1549_lociStitched	chr1	145426679	145458053	3	19372	53169.5178	8427.0564	159	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	159	1
2_MACS_peak_21801_lociStitched	chr4	77601972	77625382	2	19301	28054.544	4459.605	160	SHROOM3		ANKRD56	160	1
3_MACS_peak_15069_lociStitched	chr2	37600487	37625121	3	19300	42860.6966	5276.6028	161		QPCT	QPCT	161	1
3_MACS_peak_20687_lociStitched	chr3	156804274	156825959	3	19287	52900.5575	6635.61	162	LOC100498859,LOC339894		LOC100498859	162	1
5_MACS_peak_26058_lociStitched	chr6	157976656	158007501	5	19255	28065.8655	2797.6415	163	ZDHHC14	MIR3692	MIR3692	163	1
1_MACS_peak_21548_lociStitched	chr4	40190750	40209893	1	19144	50744.2644	4504.3479	164	RHOH		RHOH	164	1
3_MACS_peak_19625_lociStitched	chr3	46126932	46153746	3	19144	31873.8018	5306.4906	165			XCR1	165	1
4_MACS_peak_5312_lociStitched	chr11	67760259	67789596	4	19100	33018.7935	5063.5662	166	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	ALDH3B1	166	1
5_MACS_peak_10610_lociStitched	chr16	22194983	22219675	5	19078	34862.6348	5118.6516	167	EEF2K		EEF2K	167	1
7_MACS_peak_12648_lociStitched	chr17	74476183	74512695	7	19010	35150.1024	6002.5728	168	RHBDF2	AANAT,PRCD,SNORD1C,SNORD1B,SNORD1A,UBE2O,CYGB	RHBDF2	168	1
5_MACS_peak_30219_lociStitched	chr9	130531907	130566852	5	18926	40564.156	6000.0565	169	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C	CDK9	169	1
2_MACS_peak_10922_lociStitched	chr16	56963101	56985941	2	18792	44389.54	5716.852	170	HERPUD1	CETP,NLRC5	HERPUD1	170	1
4_MACS_peak_12139_lociStitched	chr17	43504744	43531739	4	18657	26941.01	4340.796	171	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	171	1
4_MACS_peak_9320_lociStitched	chr15	40833572	40862599	4	18654	32521.8508	5747.346	172	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	172	1
5_MACS_peak_15376_lociStitched	chr2	64430345	64456526	5	18628	26633.9313	4550.2578	173	LOC150992		LOC150992	173	1
5_MACS_peak_2475_lociStitched	chr1	205242223	205271223	5	18591	48821.5	7426.9	174	TMCC2,NUAK2		NUAK2	174	1
4_MACS_peak_10626_lociStitched	chr16	23333957	23365775	4	18503	39091.5948	5599.968	175	SCNN1B		SCNN1B	175	1
4_MACS_peak_8777_lociStitched	chr14	77487583	77510887	4	18457	25214.928	2237.184	176	C14orf4		C14orf4	176	1
4_MACS_peak_23970_lociStitched	chr5	150512741	150538278	4	18423	25074.7803	4688.5932	177	ANXA6		ANXA6	177	1
2_MACS_peak_1654_lociStitched	chr1	150531597	150553502	2	18402	53860.014	7403.89	178	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	178	1
4_MACS_peak_17729_lociStitched	chr20	42683691	42710800	4	18378	46323.8592	4161.2315	179	TOX2		JPH2	179	1
2_MACS_peak_1539_lociStitched	chr1	145152535	145174913	2	18355	27289.971	7883.7694	180		NOTCH2NL	NOTCH2NL	180	1
4_MACS_peak_18919_lociStitched	chr22	39822861	39846378	4	18295	42173.0361	4202.4879	181	TAB1	MGAT3	MGAT3	181	1
3_MACS_peak_4761_lociStitched	chr11	19449719	19469080	3	18291	37362.8578	4205.2092	182	NAV2		FLJ13439	182	1
3_MACS_peak_17263_lociStitched	chr20	5570609	5592581	3	18266	23547.3924	4187.8632	183	GPCPD1		GPCPD1	183	1
2_MACS_peak_20056_lociStitched	chr3	98472560	98496574	2	18252	32118.725	4538.646	184	ST3GAL6		ST3GAL6	184	1
4_MACS_peak_1630_lociStitched	chr1	149802705	149834412	4	18174	65617.6365	8792.3511	185	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	185	1
4_MACS_peak_22865_lociStitched	chr5	32570893	32592435	4	18099	33816.6316	3797.8546	186	SUB1		SUB1	186	1
4_MACS_peak_6506_lociStitched	chr12	33037675	33060677	4	18039	19784.0202	4119.6582	187	PKP2		PKP2	187	1
5_MACS_peak_1475_lociStitched	chr1	120610561	120637085	5	17953	25468.3448	8158.7824	188	NOTCH2		NOTCH2	188	1
