REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X01_0EWN_0229Kronos_MM1S.No.Treatment.1_H3K18Ac_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
6_MACS_peak_13595_lociStitched	chr19	2594495	2638050	6	28666	95093.6315	11555.1415	24	GNG7		GNG7	GNG7	0.4881	24	1
2_MACS_peak_12450_lociStitched	chr17	62149281	62187570	2	37870	63758.8428	8714.5764	25	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.8698999999999999	25	1
7_MACS_peak_15932_lociStitched	chr2	112185209	112241962	7	40245	48262.7512	8739.962	26	LOC541471		LOC541471	LOC541471	0.36429999999999996	26	1
8_MACS_peak_2523_lociStitched	chr1	206955374	207008163	8	39488	52192.4843	12727.4279	27	IL19	IL20,IL10	IL19	IL10	0.5206999999999999	27	1
8_MACS_peak_13203_lociStitched	chr18	46439251	46483113	8	37886	49682.4874	8162.7182	28	SMAD7		SMAD7	SMAD7	0.9484000000000001	28	1
1_MACS_peak_3155_lociStitched	chr10	11201898	11224442	1	22545	90744.1088	5933.5808	29	CELF2		CELF2	CELF2	0.40459999999999996	29	1
6_MACS_peak_9194_lociStitched	chr15	31616596	31660545	6	35583	57498.4767	7998.718	30	KLF13		KLF13	KLF13	0.8160000000000001	30	1
3_MACS_peak_9049_lociStitched	chr14	106145119	106177185	3	31085	65712.8538	3674.7636	31			TMEM121	TMEM121	0.077	31	1
4_MACS_peak_28819_lociStitched	chr8	120914396	120950570	4	35380	52039.9164	7289.061	32	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.3275	32	1
6_MACS_peak_25880_lociStitched	chr6	138244835	138298287	6	36103	50303.6772	9824.4776	33			TNFAIP3	TNFAIP3	NONE	33	1
7_MACS_peak_16743_lociStitched	chr2	204536640	204585855	7	33859	55110.957	8902.9935	34	CD28		CD28	CD28	0.7426	34	1
3_MACS_peak_20972_lociStitched	chr3	183227693	183260959	3	30558	66106.1952	9983.1266	35	KLHL6		KLHL6	KLHL6	1.0464	35	1
3_MACS_peak_11608_lociStitched	chr17	16863911	16895651	3	26625	72868.692	6389.262	36	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.8598000000000001	36	1
5_MACS_peak_27723_lociStitched	chr7	150053052	150085091	5	27437	72885.5211	8583.2481	37	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	2.5047	37	1
6_MACS_peak_6154_lociStitched	chr12	7045282	7085849	6	29147	67710.3797	8373.0288	38	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	1.9144999999999999	38	1
2_MACS_peak_1837_lociStitched	chr1	156449866	156479965	2	27142	72761.3226	8689.5813	39	MEF2D		MEF2D	MEF2D	1.2598	39	1
5_MACS_peak_17475_lociStitched	chr20	25261367	25302649	5	26653	72511.833	7405.9908	40	PYGB,ABHD12		PYGB	PYGB	0.6737	40	1
8_MACS_peak_11049_lociStitched	chr16	68269789	68320751	8	33279	51904.797	9703.1648	41	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.43450000000000005	41	1
5_MACS_peak_19190_lociStitched	chr3	5222366	5257228	5	28730	64299.4728	7268.727	42	ARL8B,EDEM1		EDEM1	EDEM1	1.2738999999999998	42	1
4_MACS_peak_18645_lociStitched	chr22	26974783	27015783	4	28568	64247	7211.9	43	TPST2,CRYBB1	CRYBA4,MIAT,MIR548J,TPST2	TPST2	MIAT	0.4415	43	1
7_MACS_peak_19633_lociStitched	chr3	46317784	46365443	7	33993	43560.326	8859.8081	44		CCR3,CCR2,CCR5	CCR2	CCR2	0.8887	44	1
4_MACS_peak_26750_lociStitched	chr7	55569011	55606317	4	27341	67001.576	7043.3728	45	VOPP1		VOPP1	VOPP1	0.9636999999999999	45	1
4_MACS_peak_7350_lociStitched	chr12	109007371	109036211	4	24434	73337.236	6341.916	46	SELPLG	TMEM119	SELPLG	SELPLG	2.7449000000000003	46	1
6_MACS_peak_21102_lociStitched	chr3	193786991	193825012	6	27236	68943.4793	9805.6159	47		HES1	HES1	HES1	1.3535	47	1
1_MACS_peak_5193_lociStitched	chr11	65183309	65200157	1	16849	82371.5568	5155.488	48	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	4.9967	48	1
4_MACS_peak_18398_lociStitched	chr21	45552477	45581292	4	21160	77757.2775	7635.975	49	C21orf33	PWP2	C21orf33	C21orf33	1.1862	49	1
2_MACS_peak_21948_lociStitched	chr4	90204354	90230369	2	24873	68156.6985	5785.736	50	GPRIN3		GPRIN3	GPRIN3	0.8774	50	1
5_MACS_peak_29741_lociStitched	chr9	93670639	93709170	5	30586	51700.8958	7340.1555	51			SYK	SYK	NONE	51	1
6_MACS_peak_10465_lociStitched	chr16	11761390	11801436	6	29211	57962.5804	8858.1752	52	SNN,TXNDC11		SNN	SNN	1.1898	52	1
1_MACS_peak_11900_lociStitched	chr17	34408588	34434656	1	26069	60691.5176	6402.3008	53	CCL4,CCL3	CCL18	CCL3	CCL3	2.4701	53	1
3_MACS_peak_14863_lociStitched	chr2	20390601	20426544	3	26183	60635.841	6786.0384	54	SDC1		SDC1	SDC1	1.5382	54	1
8_MACS_peak_30091_lociStitched	chr9	123630114	123668348	8	28865	51030.9198	6752.1244	55	PHF19,TRAF1	LOC253039,PSMD5	PHF19	PHF19	0.5476	55	1
4_MACS_peak_4174_lociStitched	chr10	105244550	105276240	4	27009	56205.384	5983.072	56	NEURL	CALHM2,CALHM1,CALHM3	NEURL	CALHM3	0.8	56	1
7_MACS_peak_6004_lociStitched	chr11	130668164	130705905	7	28635	48089.5822	6253.6837	57			SNX19	SNX19	NONE	57	1
2_MACS_peak_20826_lociStitched	chr3	171800683	171827150	2	25930	57923.0295	7431.9336	58	FNDC3B		FNDC3B	FNDC3B	0.182	58	1
7_MACS_peak_17664_lociStitched	chr20	37486919	37523579	7	24182	61665.786	6510.816	59	PPP1R16B	FAM83D	FAM83D	NONE	NONE	59	1
4_MACS_peak_4374_lociStitched	chr10	125821995	125854844	4	28501	47102.1811	6119.7687	60	CHST15		CHST15	CHST15	0.44499999999999995	60	1
5_MACS_peak_14308_lociStitched	chr19	42027054	42070618	5	27760	51353.2432	8190.032	61		CEACAM21	CEACAM21	NONE	NONE	61	1
2_MACS_peak_1825_lociStitched	chr1	156115108	156136838	2	21261	68471.23	7405.584	62	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	1.6169	62	1
2_MACS_peak_13572_lociStitched	chr19	2081376	2098481	2	15736	75888.043	6024.381	63	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	1.9775000000000003	63	1
5_MACS_peak_20459_lociStitched	chr3	133179216	133212643	5	27290	49655.8085	6809.0799	64	BFSP2		BFSP2	BFSP2	0.5690999999999999	64	1
4_MACS_peak_19264_lociStitched	chr3	13035433	13062012	4	22006	63319.1517	5517.8004	65	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.3369	65	1
1_MACS_peak_25522_lociStitched	chr6	106530406	106555961	1	25556	54327.3745	6253.3085	66	PRDM1		PRDM1	PRDM1	1.4431	66	1
1_MACS_peak_5969_lociStitched	chr11	128584944	128610429	1	25486	53556.7275	5512.4055	67	FLI1		FLI1	FLI1	0.5021	67	1
3_MACS_peak_3159_lociStitched	chr10	11278350	11313014	3	26920	50034.0176	7061.0568	68	CELF2		CELF2	CELF2	0.40459999999999996	68	1
2_MACS_peak_23683_lociStitched	chr5	131744667	131768439	2	21304	64617.0504	5836.026	69	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.5911	69	1
4_MACS_peak_27190_lociStitched	chr7	102063850	102093357	4	22752	61150.3068	5765.6678	70	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	0.9672	70	1
3_MACS_peak_12368_lociStitched	chr17	56404640	56431269	3	21130	65193.1178	6300.4214	71	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	2.1862	71	1
5_MACS_peak_28538_lociStitched	chr8	81045819	81084750	5	27900	44762.8638	6641.6286	72	TPD52		TPD52	TPD52	0.3625	72	1
4_MACS_peak_2185_lociStitched	chr1	181094934	181131361	4	27695	47034.5424	8968.3274	73		IER5	IER5	IER5	0.4069	73	1
5_MACS_peak_2499_lociStitched	chr1	206271562	206311308	5	25870	53911.4744	9543.0146	74	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	0.5428999999999999	74	1
3_MACS_peak_13962_lociStitched	chr19	16693339	16717292	3	20663	63281.4307	4888.8073	75	MED26	CHERP,SLC35E1	SLC35E1	SLC35E1	0.059300000000000005	75	1
2_MACS_peak_6742_lociStitched	chr12	53845681	53874860	2	29003	35863.9089	6031.2993	76	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	0.7694000000000001	76	1
2_MACS_peak_7551_lociStitched	chr12	123354897	123387301	2	26558	44108.3248	3953.288	77	VPS37B	HIP1R	VPS37B	VPS37B	0.9481999999999999	77	1
2_MACS_peak_489_lociStitched	chr1	31213894	31236696	2	22654	57547.6876	5422.3156	78	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	1.4764000000000002	78	1
2_MACS_peak_5198_lociStitched	chr11	65253500	65278859	2	23169	55865.877	5743.8135	79	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	2.1128	79	1
2_MACS_peak_6726_lociStitched	chr12	53583083	53603988	2	20399	61563.1345	5475.0195	80	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	ITGB7	2.1759	80	1
9_MACS_peak_9700_lociStitched	chr15	67357099	67409997	9	28682	34992.027	8495.4188	81	SMAD3	SMAD3	SMAD3	SMAD3	0.23329999999999998	81	1
4_MACS_peak_9729_lociStitched	chr15	68568623	68599596	4	27433	39574.2021	6200.7946	82	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	0.9242000000000001	82	1
2_MACS_peak_14246_lociStitched	chr19	39880477	39904273	2	19590	61150.9608	4899.5964	83	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	3.1704000000000003	83	1
3_MACS_peak_2458_lociStitched	chr1	204474512	204501224	3	20751	60793.8408	7476.6888	84	MDM4	PIK3C2B	MDM4	MDM4	0.9593	84	1
3_MACS_peak_10471_lociStitched	chr16	11808412	11837987	3	25754	43285.97	6080.62	85	TXNDC11	SNN	TXNDC11	SNN	1.1898	85	1
4_MACS_peak_19643_lociStitched	chr3	46421227	46460521	4	27352	36028.6686	7257.6018	86	CCRL2	CCR2,CCR5,LTF	CCRL2	CCR2	0.8887	86	1
3_MACS_peak_13941_lociStitched	chr19	16244010	16273298	3	24581	47051.172	6074.3312	87	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.1857	87	1
5_MACS_peak_4231_lociStitched	chr10	112103568	112130427	5	19841	59479.2555	5524.8963	88		SMNDC1	SMNDC1	SMNDC1	0.0783	88	1
4_MACS_peak_1630_lociStitched	chr1	149802705	149834412	4	18174	65617.6365	8792.3511	89	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	2.5489	89	1
2_MACS_peak_18373_lociStitched	chr21	44723154	44747743	2	24153	46517.4702	5699.7302	90			SIK1	SIK1	1.056	90	1
6_MACS_peak_9770_lociStitched	chr15	70767777	70805947	6	25563	41864.856	6569.057	91			UACA	UACA	NONE	91	1
2_MACS_peak_15751_lociStitched	chr2	97190278	97213187	2	21010	54697.5284	4888.7806	92	ARID5A	NEURL3	ARID5A	ARID5A	1.2159	92	1
2_MACS_peak_20329_lociStitched	chr3	124486978	124513076	2	24752	42738.0848	4538.4422	93	ITGB5	UMPS	UMPS	UMPS	0.05450000000000001	93	1
2_MACS_peak_27825_lociStitched	chr8	2027282	2051159	2	19750	57402.6957	4823.154	94	MYOM2		MYOM2	MYOM2	0.6556	94	1
2_MACS_peak_16889_lociStitched	chr2	219740874	219763588	2	20150	55951.3962	4501.9148	95	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	2.1976999999999998	95	1
2_MACS_peak_4782_lociStitched	chr11	22676792	22703728	2	22967	47967.6288	4444.44	96	GAS2	FANCF	GAS2	FANCF	0.362	96	1
6_MACS_peak_22635_lociStitched	chr4	187733545	187776258	6	24371	44878.5491	6496.6473	97			FAT1	FAT1	NONE	97	1
3_MACS_peak_12923_lociStitched	chr18	9094520	9122826	3	22844	48527.8064	5250.763	98	NDUFV2	ANKRD12	NDUFV2	NDUFV2	1.3760000000000001	98	1
5_MACS_peak_1820_lociStitched	chr1	156065109	156100669	5	25223	41630.092	7720.076	99	LMNA	ROBLD3,RAB25,SEMA4A,UBQLN4,MEX3A	LMNA	SEMA4A	1.6169	99	1
4_MACS_peak_4254_lociStitched	chr10	112599743	112633348	4	23389	46791.602	5995.132	100	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	1.1288	100	1
6_MACS_peak_28886_lociStitched	chr8	126284992	126322864	6	25119	40227.6384	7047.9792	101	NSMCE2		TRIB1	TRIB1	1.153	101	1
3_MACS_peak_4634_lociStitched	chr11	10314489	10345190	3	22324	49244.404	5891.5219	102	ADM,SBF2		ADM	ADM	2.1341	102	1
5_MACS_peak_28077_lociStitched	chr8	27208496	27242184	5	25732	36396.5152	6592.7416	103	PTK2B	TRIM35	PTK2B	PTK2B	0.35339999999999994	103	1
10_MACS_peak_17915_lociStitched	chr20	52531005	52584491	10	25667	37814.602	8135.2206	104	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	0.42479999999999996	104	1
1_MACS_peak_12002_lociStitched	chr17	38464855	38484243	1	19389	54712.936	4110.256	105	RARA	CDC6,RARA,GJD3	RARA	RARA	0.8822	105	1
5_MACS_peak_25407_lociStitched	chr6	90054675	90086523	5	22876	46246.4808	6038.3808	106	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	0.7743	106	1
3_MACS_peak_28207_lociStitched	chr8	37736455	37764770	3	23591	42115.731	5269.4215	107	RAB11FIP1	BRF2,GOT1L1	RAB11FIP1	RAB11FIP1	0.6894	107	1
3_MACS_peak_9305_lociStitched	chr15	40386887	40409563	3	21206	49499.4404	4997.7904	108	BMF	BUB1B	BMF	BMF	1.4548	108	1
5_MACS_peak_10067_lociStitched	chr15	89646495	89676874	5	22955	44930.541	6264.1498	109	ABHD2		ABHD2	ABHD2	0.34440000000000004	109	1
4_MACS_peak_24189_lociStitched	chr5	173309948	173344090	4	26052	29983.5044	6114.8322	110	CPEB4		CPEB4	CPEB4	0.31470000000000004	110	1
3_MACS_peak_17023_lociStitched	chr2	232687206	232715057	3	25946	28310.5415	3871.289	111		COPS7B,PDE6D,MIR1471	COPS7B	PDE6D	0.037099999999999994	111	1
4_MACS_peak_2510_lociStitched	chr1	206727276	206754845	4	22361	47881.8392	7713.8062	112	RASSF5	LGTN	RASSF5	RASSF5	0.49789999999999995	112	1
2_MACS_peak_24642_lociStitched	chr6	25402465	25420978	2	17390	57231.0882	4472.7408	113	LRRC16A		LRRC16A	LRRC16A	0.25339999999999996	113	1
1_MACS_peak_6266_lociStitched	chr12	12865951	12881735	1	15785	59107.9232	3912.8536	114	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	3.6548999999999996	114	1
4_MACS_peak_1939_lociStitched	chr1	161144139	161173611	4	20925	51192.864	7724.6112	115	NDUFS2,B4GALT3,ADAMTS4	UFC1,USP21,PPOX,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	ADAMTS4	ADAMTS4	1.1098000000000001	115	1
7_MACS_peak_9088_lociStitched	chr15	21967063	22005784	7	25707	28676.7726	5568.0798	116		LOC646214,CXADRP2	CXADRP2	LOC646214	0.07840000000000003	116	1
6_MACS_peak_638_lociStitched	chr1	40029802	40072759	6	24731	35993.6703	7229.6631	117	PABPC4,SNORA55	PPIEL,HEYL	PABPC4	PABPC4	0.6047	117	1
3_MACS_peak_1541_lociStitched	chr1	145182587	145212839	3	24610	42537.3372	13852.3908	118	NOTCH2NL		NOTCH2NL	NOTCH2NL	0.07589999999999997	118	1
4_MACS_peak_12919_lociStitched	chr18	9054805	9084940	4	20026	51337.986	6415.7415	119		NDUFV2	NDUFV2	NDUFV2	1.3760000000000001	119	1
2_MACS_peak_12926_lociStitched	chr18	9132525	9157597	2	23700	37023.8224	4931.6624	120	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.1764	120	1
3_MACS_peak_20687_lociStitched	chr3	156804274	156825959	3	19287	52900.5575	6635.61	121	LOC100498859,LOC339894		LOC100498859	LOC100498859	2.1068	121	1
2_MACS_peak_18600_lociStitched	chr22	24177393	24200961	2	17588	54614.1264	4539.1968	122	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	0.8841000000000001	122	1
1_MACS_peak_21548_lociStitched	chr4	40190750	40209893	1	19144	50744.2644	4504.3479	123	RHOH		RHOH	RHOH	0.7686	123	1
3_MACS_peak_1549_lociStitched	chr1	145426679	145458053	3	19372	53169.5178	8427.0564	124	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	1.0717999999999999	124	1
4_MACS_peak_22571_lociStitched	chr4	185317362	185350264	4	23396	37238.4836	6142.8034	125	IRF2		IRF2	IRF2	0.791	125	1
3_MACS_peak_1745_lociStitched	chr1	154370309	154394640	3	19826	50674.1737	7296.8669	126	IL6R		IL6R	IL6R	0.5778000000000001	126	1
3_MACS_peak_13146_lociStitched	chr18	42287372	42314190	3	24681	28301.0354	4119.2448	127	SETBP1		SETBP1	SETBP1	0.3531	127	1
4_MACS_peak_15230_lociStitched	chr2	47522683	47551533	4	20100	47247.645	5086.255	128		EPCAM	EPCAM	NONE	NONE	128	1
2_MACS_peak_1654_lociStitched	chr1	150531597	150553502	2	18402	53860.014	7403.89	129	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.6496	129	1
5_MACS_peak_20407_lociStitched	chr3	129025497	129055327	5	20118	47179.128	5679.632	130	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.7916	130	1
6_MACS_peak_3700_lociStitched	chr10	72235637	72274141	6	22445	39632.1672	6414.7664	131	KIAA1274	NODAL	KIAA1274	KIAA1274	0.34719999999999995	131	1
5_MACS_peak_9752_lociStitched	chr15	70305375	70331012	5	22267	38752.8892	5045.3616	132		MIR629	MIR629	MIR629	0.00520000000000001	132	1
2_MACS_peak_5382_lociStitched	chr11	72851118	72871745	2	20354	44279.9809	4249.162	133	FCHSD2		FCHSD2	NONE	NONE	133	1
5_MACS_peak_17721_lociStitched	chr20	42564847	42593917	5	22993	35395.632	5122.134	134	TOX2		TOX2	TOX2	0.5338999999999999	134	1
5_MACS_peak_9299_lociStitched	chr15	40329773	40358623	5	23552	32874.575	5322.825	135	SRP14	BMF	SRP14	BMF	1.4548	135	1
3_MACS_peak_24477_lociStitched	chr6	11826595	11849243	3	17876	50471.068	4357.4752	136		C6orf105	C6orf105	C6orf105	0.36210000000000003	136	1
2_MACS_peak_2899_lociStitched	chr1	234733261	234750454	2	13590	59073.4287	5020.356	137	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	3.4690000000000003	137	1
2_MACS_peak_7347_lociStitched	chr12	108952713	108973621	2	20601	43570.1812	4957.2868	138	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	2.1033	138	1
1_MACS_peak_16702_lociStitched	chr2	201979890	201995090	1	15201	55425.28	4028	139	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.9223999999999999	139	1
4_MACS_peak_2223_lociStitched	chr1	183856340	183886005	4	22629	36671.873	6392.8075	140	RGL1		GLT25D2	GLT25D2	NONE	140	1
5_MACS_peak_25383_lociStitched	chr6	88612540	88640604	5	22973	32082.7648	4989.7792	141			SPACA1	SPACA1	NONE	141	1
4_MACS_peak_8246_lociStitched	chr13	115023556	115048737	4	20388	41813.0505	4467.1094	142	CDC16,UPF3A	ZNF828	UPF3A	UPF3A	0.6009	142	1
5_MACS_peak_10213_lociStitched	chr15	101660475	101692558	5	22054	36468.7461	5858.3558	143			CHSY1	CHSY1	0.27070000000000005	143	1
1_MACS_peak_14800_lociStitched	chr2	11883140	11898655	1	15516	52263.829	3585.5165	144	LPIN1		LPIN1	LPIN1	0.508	144	1
4_MACS_peak_17729_lociStitched	chr20	42683691	42710800	4	18378	46323.8592	4161.2315	145	TOX2		JPH2	JPH2	NONE	145	1
3_MACS_peak_5714_lociStitched	chr11	111230350	111252126	3	20508	40172.3648	4468.4352	146	POU2AF1		POU2AF1	POU2AF1	0.9635	146	1
5_MACS_peak_2475_lociStitched	chr1	205242223	205271223	5	18591	48821.5	7426.9	147	TMCC2,NUAK2		NUAK2	NUAK2	0.4055	147	1
7_MACS_peak_8933_lociStitched	chr14	95945715	95986137	7	22872	29196.8106	3803.7102	148		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	SCARNA13	0.2465	148	1
3_MACS_peak_1504_lociStitched	chr1	143441431	143469936	3	20125	47155.8215	11020.033	149			LOC100130000	LOC100130000	NONE	149	1
6_MACS_peak_16638_lociStitched	chr2	197074464	197113734	6	23097	29181.537	6067.215	150	HECW2	STK17B	STK17B	STK17B	0.3821	150	1
3_MACS_peak_15408_lociStitched	chr2	65157421	65178703	3	19806	41106.183	4777.809	151	LOC400958	SLC1A4	LOC400958	LOC400958	0.6189	151	1
1_MACS_peak_23346_lociStitched	chr5	88111066	88130956	1	19891	40317.03	4349.943	152	MEF2C		MEF2C	MEF2C	0.344	152	1
5_MACS_peak_15700_lociStitched	chr2	88898795	88928714	5	22401	31088.8329	5609.8125	153	EIF2AK3		EIF2AK3	EIF2AK3	0.2993	153	1
6_MACS_peak_18905_lociStitched	chr22	39630938	39666079	6	21827	33608.8524	5323.8615	154	PDGFB	SNORD83B,SNORD83A,RNU86,SNORD43,RPL3	PDGFB	SNORD43	0.8572	154	1
3_MACS_peak_15069_lociStitched	chr2	37600487	37625121	3	19300	42860.6966	5276.6028	155		QPCT	QPCT	QPCT	1.7241	155	1
6_MACS_peak_9808_lociStitched	chr15	74657891	74696744	6	20713	38728.6704	6208.7094	156	CYP11A1	CCDC33,SEMA7A	CYP11A1	SEMA7A	0.12129999999999999	156	1
2_MACS_peak_10922_lociStitched	chr16	56963101	56985941	2	18792	44389.54	5716.852	157	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	1.6953	157	1
2_MACS_peak_9826_lociStitched	chr15	75062722	75083510	2	20452	37193.8896	4429.9228	158	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	CSK	0.957	158	1
3_MACS_peak_16634_lociStitched	chr2	197023816	197048757	3	21030	35787.8409	5534.4079	159	STK17B		STK17B	STK17B	0.3821	159	1
3_MACS_peak_2300_lociStitched	chr1	192497531	192521396	3	20718	37816.479	6324.225	160		RGS1	RGS1	RGS1	1.0908	160	1
