REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	EJM.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
4_MACS_peak_12281_lociStitched	chr17	76710428	76722871	4	12226	37526.8437	26	1	CYTH1		CYTH1	26	1
6_MACS_peak_6061_lociStitched	chr12	53590801	53603523	6	12202	32450.0054	27	1	ITGB7	ZNF740,MFSD5,CSAD,RARG	ITGB7	27	1
4_MACS_peak_27607_lociStitched	chr8	95951940	95964760	4	11969	45745.606	28	1	TP53INP1	CCNE2	TP53INP1	28	1
7_MACS_peak_12530_lociStitched	chr18	9134752	9147838	7	11941	42372.468	29	1	ANKRD12	NDUFV2	ANKRD12	29	1
5_MACS_peak_14829_lociStitched	chr2	11884117	11896200	5	11850	53654.5615	30	1	LPIN1		LPIN1	30	1
2_MACS_peak_3095_lociStitched	chr10	15826417	15838008	2	11556	35259.822	31	1	FAM188A		FAM188A	31	1
3_MACS_peak_12513_lociStitched	chr18	9060391	9072182	3	11545	65131.1258	32	1		NDUFV2	NDUFV2	32	1
1_MACS_peak_9823_lociStitched	chr16	11773840	11785228	1	11389	36289.0008	33	1	TXNDC11	SNN	SNN	33	1
5_MACS_peak_17947_lociStitched	chr21	34600847	34613070	5	11352	35923.397	34	1	IFNAR2	IL10RB	IFNAR2	34	1
7_MACS_peak_9345_lociStitched	chr15	81583841	81596234	7	11263	26031.4965	35	1	IL16	STARD5	IL16	35	1
4_MACS_peak_9834_lociStitched	chr16	11826152	11837820	4	11165	35921.1048	36	1	TXNDC11		TXNDC11	36	1
3_MACS_peak_4535_lociStitched	chr11	62223401	62234799	3	11157	106166.671	37	1	AHNAK	SCGB1A1	SCGB1A1	37	1
3_MACS_peak_15428_lociStitched	chr2	65157459	65168722	3	10840	47140.1602	38	1	LOC400958	SLC1A4	LOC400958	38	1
1_MACS_peak_11610_lociStitched	chr17	43386533	43397102	1	10570	173131.8459	39	1	MAP3K14	LOC100133991,C17orf46	MAP3K14	39	1
2_MACS_peak_6868_lociStitched	chr12	123370643	123381598	2	10520	53091.2165	40	1	VPS37B		VPS37B	40	1
3_MACS_peak_18979_lociStitched	chr3	13050962	13061710	3	10510	31349.7664	41	1	IQSEC1	IQSEC1	IQSEC1	41	1
12_MACS_peak_24713_lociStitched	chr6	88626346	88637599	12	10471	21672.1527	42	1			SPACA1	42	1
4_MACS_peak_6828_lociStitched	chr12	122233899	122244744	4	10466	45785.421	43	1	SETD1B,LOC338799	RHOF	LOC338799	43	1
1_MACS_peak_11831_lociStitched	chr17	56407557	56417863	1	10307	60368.4256	44	1	MIR142	MPO,BZRAP1,SUPT4H1	MIR142	44	1
2_MACS_peak_1880_lociStitched	chr1	154908061	154918834	2	10303	45272.4552	45	1	PMVK,PBXIP1	CKS1B,MIR4258,FLAD1,LENEP,PYGO2,SHC1	PMVK	45	1
3_MACS_peak_2446_lociStitched	chr1	203288212	203298453	3	10212	40414.0583	46	1		BTG2,LOC730227,FMOD	BTG2	46	1
1_MACS_peak_17255_lociStitched	chr20	30291937	30302098	1	10162	37895.4495	47	1	BCL2L1	TPX2	BCL2L1	47	1
2_MACS_peak_2511_lociStitched	chr1	206728278	206738412	2	10109	34147.5264	48	1	RASSF5	LGTN	RASSF5	48	1
3_MACS_peak_17553_lociStitched	chr20	45976895	45987186	3	10021	44094.8768	49	1	ZMYND8	LOC100131496	ZMYND8	49	1
4_MACS_peak_23998_lociStitched	chr6	27093944	27104329	4	9921	47389.8705	50	1	HIST1H2AG,HIST1H2BJ	HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BK	HIST1H2BJ	50	1
8_MACS_peak_512_lociStitched	chr1	27018597	27029304	8	9913	33692.7876	51	1	ARID1A		ARID1A	51	1
4_MACS_peak_28732_lociStitched	chr9	93698320	93708763	4	9862	37674.1668	52	1			SYK	52	1
4_MACS_peak_6591_lociStitched	chr12	109021275	109031352	4	9837	29915.5899	53	1	SELPLG	TMEM119	SELPLG	53	1
1_MACS_peak_4540_lociStitched	chr11	62305329	62315133	1	9805	41689.5492	54	1	AHNAK	EEF1G,TUT1	AHNAK	54	1
3_MACS_peak_23799_lociStitched	chr6	11827056	11836879	3	9662	38773.3456	55	1		C6orf105	C6orf105	55	1
5_MACS_peak_24002_lociStitched	chr6	27105699	27115979	5	9661	34564.444	56	1	HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BK	HIST1H2AG,HIST1H2BJ	HIST1H4I	56	1
2_MACS_peak_13609_lociStitched	chr19	16475231	16484831	2	9594	39682.56	57	1	EPS15L1	KLF2	KLF2	57	1
2_MACS_peak_1762_lociStitched	chr1	150532217	150541762	2	9541	35871.0645	58	1	ADAMTSL4	MIR4257,MCL1	MIR4257	58	1
2_MACS_peak_18089_lociStitched	chr21	44725861	44735527	2	9539	48986.3214	59	1			SIK1	59	1
3_MACS_peak_21907_lociStitched	chr5	1312104	1321613	3	9483	43060.5556	60	1	CLPTM1L	TERT	TERT	60	1
3_MACS_peak_13064_lociStitched	chr19	2081750	2091260	3	9453	28318.878	61	1	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	61	1
3_MACS_peak_17659_lociStitched	chr20	52203621	52213621	3	9349	29326	62	1		ZNF217	ZNF217	62	1
2_MACS_peak_4935_lociStitched	chr11	72861643	72871005	2	9338	34244.3236	63	1		FCHSD2	FCHSD2	63	1
7_MACS_peak_2811_lociStitched	chr1	234739453	234749369	7	9313	31403.972	64	1	IRF2BP2	NCRNA00184	IRF2BP2	64	1
3_MACS_peak_14795_lociStitched	chr2	10463278	10472857	3	9223	27923.7429	65	1	HPCAL1		HPCAL1	65	1
2_MACS_peak_11270_lociStitched	chr17	32712453	32721656	2	9191	40819.9065	66	1		CCL13,CCL1	CCL1	66	1
2_MACS_peak_1460_lociStitched	chr1	111173252	111182447	2	9185	37557.897	67	1		KCNA2,KCNA3	KCNA2	67	1
3_MACS_peak_23792_lociStitched	chr6	11727273	11736569	3	9136	30444.4	68	1	C6orf105		C6orf105	68	1
3_MACS_peak_12208_lociStitched	chr17	75135677	75145038	3	9089	35802.0806	69	1	SEC14L1	SEC14L1	SEC14L1	69	1
2_MACS_peak_1660_lociStitched	chr1	145448094	145457212	2	9065	31237.3562	70	1	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L	TXNIP	70	1
2_MACS_peak_12868_lociStitched	chr18	60821562	60830652	2	9026	34943.778	71	1	BCL2		BCL2	71	1
5_MACS_peak_27851_lociStitched	chr8	124045884	124055300	5	8941	24410.0384	72	1	DERL1	WDR67	DERL1	72	1
3_MACS_peak_27824_lociStitched	chr8	120914997	120923948	3	8925	24617.9353	73	1	DEPDC6	DSCC1	DEPDC6	73	1
6_MACS_peak_5508_lociStitched	chr12	4377425	4387123	6	8846	25736.5524	74	1	CCND2	C12orf5	CCND2	74	1
4_MACS_peak_23422_lociStitched	chr5	173213396	173223083	4	8842	32727.5295	75	1			CPEB4	75	1
8_MACS_peak_23307_lociStitched	chr5	158768223	158778506	8	8807	20876.5466	76	1		IL12B	IL12B	76	1
5_MACS_peak_6156_lociStitched	chr12	57021674	57031395	5	8779	35363.0538	77	1	BAZ2A	SNORD59B,SNORD59A,ATP5B	BAZ2A	77	1
2_MACS_peak_18330_lociStitched	chr22	23241753	23250487	2	8722	34060.8532	78	1		IGLL5	IGLL5	78	1
8_MACS_peak_27994_lociStitched	chr8	134508806	134518532	8	8710	27206.5398	79	1	ST3GAL1		ST3GAL1	79	1
2_MACS_peak_17440_lociStitched	chr20	37498595	37507295	2	8672	50963.73	80	1	PPP1R16B	FAM83D	FAM83D	80	1
1_MACS_peak_9849_lociStitched	chr16	12056555	12065205	1	8651	24167.235	81	1	TNFRSF17	RUNDC2A,GSPT1	TNFRSF17	81	1
1_MACS_peak_25899_lociStitched	chr7	50343688	50352293	1	8606	25870.072	82	1	IKZF1		IKZF1	82	1
1_MACS_peak_25868_lociStitched	chr7	47513606	47522120	1	8515	35506.7856	83	1	TNS3		TNS3	83	1
2_MACS_peak_26347_lociStitched	chr7	102080498	102088958	2	8435	55053.45	84	1	ORAI2	PRKRIP1,LRWD1,ALKBH4,POLR2J	ORAI2	84	1
4_MACS_peak_15758_lociStitched	chr2	99075514	99084107	4	8411	23128.9188	85	1	INPP4A		INPP4A	85	1
2_MACS_peak_407_lociStitched	chr1	23850277	23858650	2	8315	44998.1766	86	1	E2F2	ASAP3,ID3	E2F2	86	1
2_MACS_peak_12524_lociStitched	chr18	9101440	9109679	2	8204	32562.9997	87	1	NDUFV2	ANKRD12	NDUFV2	87	1
4_MACS_peak_18104_lociStitched	chr21	44836440	44844776	4	8202	21064.2384	88	1	SIK1	C21orf125	SIK1	88	1
2_MACS_peak_4533_lociStitched	chr11	62210797	62219032	2	8199	42152.4945	89	1	AHNAK	SCGB1A1	SCGB1A1	89	1
1_MACS_peak_19001_lociStitched	chr3	14159422	14167589	1	8168	32177.98	90	1	TMEM43,CHCHD4		CHCHD4	90	1
1_MACS_peak_6923_lociStitched	chr12	125398288	125406445	1	8158	32829.4779	91	1	UBC	SCARB1	UBC	91	1
3_MACS_peak_53_lociStitched	chr1	1706934	1715157	3	8126	32109.9927	92	1	NADK	SLC35E2,NADK	NADK	92	1
2_MACS_peak_19504_lociStitched	chr3	55515066	55523214	2	8083	19725.4932	93	1	WNT5A		WNT5A	93	1
4_MACS_peak_26185_lociStitched	chr7	92437429	92445703	4	8048	24002.874	94	1	CDK6		CDK6	94	1
3_MACS_peak_2673_lociStitched	chr1	226308908	226317035	3	8038	29518.8894	95	1			ACBD3	95	1
1_MACS_peak_11603_lociStitched	chr17	43299679	43307708	1	8030	22843.3079	96	1	FMNL1	LOC100133991,C17orf46	FMNL1	96	1
1_MACS_peak_15056_lociStitched	chr2	31473452	31481476	1	8025	24915.3224	97	1	EHD3	CAPN14	EHD3	97	1
2_MACS_peak_14884_lociStitched	chr2	20349531	20357834	2	8003	24005.6336	98	1			SDC1	98	1
2_MACS_peak_5959_lociStitched	chr12	48201210	48209220	2	7958	21028.653	99	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	99	1
2_MACS_peak_26869_lociStitched	chr7	155532992	155540979	2	7885	20867.6349	100	1	RBM33		SHH	100	1
2_MACS_peak_26527_lociStitched	chr7	121943608	121951486	2	7869	35874.8364	101	1	LOC154860,FEZF1		FEZF1	101	1
1_MACS_peak_14565_lociStitched	chr19	55764199	55772040	1	7842	22451.1353	102	1	PPP6R1	BRSK1,PTPRH,TMEM86B,HSPBP1	PPP6R1	102	1
2_MACS_peak_15690_lociStitched	chr2	89048977	89056908	2	7835	37103.5973	103	1	RPIA	ANKRD36BP2	ANKRD36BP2	103	1
4_MACS_peak_4541_lociStitched	chr11	62317983	62326111	4	7797	23289.1584	104	1		AHNAK,EEF1G,TUT1,MTA2	AHNAK	104	1
6_MACS_peak_12827_lociStitched	chr18	52983757	52992171	6	7795	19046.7718	105	1	TCF4		TCF4	105	1
5_MACS_peak_9229_lociStitched	chr15	75074839	75083231	5	7731	15161.8264	106	1	CSK	CYP1A2,LMAN1L,CPLX3	CSK	106	1
2_MACS_peak_23041_lociStitched	chr5	140886531	140894483	2	7716	21263.648	107	1	PCDHGB3,PCDHGB1,PCDHGA2,PCDHGA3,PCDHGA1,PCDHGB4,PCDHGB2,PCDHGA7,PCDHGA5,PCDHGA4,PCDHGA6,PCDHGA8,PCDHGB5,PCDHGA11,PCDHGA12,PCDHGA9,PCDHGC5,PCDHGA10,PCDHGC3,PCDHGB6,PCDHGC4,PCDHGB7	PCDHGC4,PCDHGC5	PCDHGC5	107	1
1_MACS_peak_6773_lociStitched	chr12	120971203	120978874	1	7672	45547.3296	108	1	RNF10	DYNLL1,COQ5,POP5	RNF10	108	1
3_MACS_peak_15114_lociStitched	chr2	37570687	37578695	3	7631	26311.0848	109	1	QPCT	PRKD3	QPCT	109	1
3_MACS_peak_5693_lociStitched	chr12	12866166	12874061	3	7627	22961.0285	110	1	CDKN1B	APOLD1,MIR613,GPR19	CDKN1B	110	1
4_MACS_peak_20502_lociStitched	chr3	186711685	186719486	4	7598	20535.3524	111	1	ST6GAL1	ST6GAL1	ST6GAL1	111	1
2_MACS_peak_23986_lociStitched	chr6	26532237	26539865	2	7592	30691.258	112	1	HMGN4	BTN1A1,HCG11	HMGN4	112	1
6_MACS_peak_19276_lociStitched	chr3	46145739	46154345	6	7541	20868.6894	113	1			XCR1	113	1
3_MACS_peak_15886_lociStitched	chr2	112458122	112465732	3	7534	27692.029	114	1			ANAPC1	114	1
2_MACS_peak_27611_lociStitched	chr8	95969541	95977263	2	7526	25610.7852	115	1		TP53INP1	TP53INP1	115	1
2_MACS_peak_14538_lociStitched	chr19	54879658	54887390	2	7507	21480.2692	116	1		TTYH1,LILRA4,LAIR1	LAIR1	116	1
2_MACS_peak_16936_lociStitched	chr2	238599637	238607296	2	7489	24638.2371	117	1	LRRFIP1		LRRFIP1	117	1
5_MACS_peak_822_lociStitched	chr1	40845233	40853519	5	7485	19490.3292	118	1	SMAP2	SMAP2	SMAP2	118	1
8_MACS_peak_22651_lociStitched	chr5	95258976	95267247	8	7453	15446.0925	119	1	ELL2		ELL2	119	1
6_MACS_peak_2977_lociStitched	chr10	5930398	5938807	6	7448	19434.0399	120	1	FBXO18,ANKRD16		FBXO18	120	1
2_MACS_peak_8816_lociStitched	chr15	45015860	45023380	2	7429	30680.096	121	1		B2M,TRIM69,PATL2	TRIM69	121	1
2_MACS_peak_23504_lociStitched	chr5	176852169	176859816	2	7405	31678.4622	122	1	GRK6	SLC34A1,PRR7,PFN3,F12,DBN1	GRK6	122	1
5_MACS_peak_8667_lociStitched	chr15	38850011	38857714	5	7399	21542.2098	123	1	RASGRP1		RASGRP1	123	1
1_MACS_peak_24328_lociStitched	chr6	36719677	36727071	1	7395	22767.6048	124	1	CPNE5		CDKN1A	124	1
1_MACS_peak_24153_lociStitched	chr6	31701912	31709299	1	7388	41837.7519	125	1	MSH5,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,BAT5,LY6G6E,LY6G6C,DDAH2,C6orf27	CLIC1	125	1
1_MACS_peak_17220_lociStitched	chr20	25274473	25281837	1	7365	26758.5668	126	1	PYGB,ABHD12		PYGB	126	1
3_MACS_peak_17570_lociStitched	chr20	46385738	46393188	3	7352	30212.73	127	1	SULF2		SULF2	127	1
5_MACS_peak_15769_lociStitched	chr2	99098126	99106095	5	7352	18870.592	128	1	INPP4A		INPP4A	128	1
6_MACS_peak_20080_lociStitched	chr3	141085288	141093009	6	7341	21266.7224	129	1	ZBTB38		ZBTB38	129	1
1_MACS_peak_4495_lociStitched	chr11	60604822	60612111	1	7290	24914.5309	130	1	CCDC86	ZP1,GPR44	CCDC86	130	1
2_MACS_peak_20232_lociStitched	chr3	156804622	156811880	2	7255	29542.9632	131	1	LOC100498859,LOC339894		LOC100498859	131	1
3_MACS_peak_28743_lociStitched	chr9	93731025	93738784	3	7255	33988.2995	132	1			LOC100129316	132	1
4_MACS_peak_27603_lociStitched	chr8	95902122	95909581	4	7245	21189.5272	133	1	CCNE2		CCNE2	133	1
3_MACS_peak_12212_lociStitched	chr17	75203459	75210802	3	7236	35891.1154	134	1	SEC14L1		SEC14L1	134	1
2_MACS_peak_26189_lociStitched	chr7	92459647	92466866	2	7210	29787.7597	135	1	CDK6		CDK6	135	1
2_MACS_peak_25929_lociStitched	chr7	55597914	55605293	2	7190	30893.6593	136	1	VOPP1		VOPP1	136	1
2_MACS_peak_975_lociStitched	chr1	51441098	51448351	2	7185	26247.8817	137	1		CDKN2C,FAF1	CDKN2C	137	1
3_MACS_peak_17256_lociStitched	chr20	30304579	30311872	3	7183	20686.5945	138	1	BCL2L1	TPX2	BCL2L1	138	1
3_MACS_peak_20009_lociStitched	chr3	130566850	130574043	3	7178	22522.7216	139	1	ATP2C1	ATP2C1	ATP2C1	139	1
6_MACS_peak_2544_lociStitched	chr1	209276118	209283675	6	7123	21159.6	140	1			LOC642587	140	1
5_MACS_peak_22734_lociStitched	chr5	109024447	109032555	5	7092	19509.4696	141	1	MAN2A1		MAN2A1	141	1
2_MACS_peak_26333_lociStitched	chr7	101945238	101952602	2	7066	32871.4232	142	1	SH2B2	MIR4285,SPDYE6	MIR4285	142	1
3_MACS_peak_23600_lociStitched	chr6	291072	298364	3	7065	35318.802	143	1	DUSP22		DUSP22	143	1
3_MACS_peak_24037_lociStitched	chr6	27857128	27864305	3	7061	35363.2321	144	1	HIST1H2BO,HIST1H3J,HIST1H2AM	HIST1H2AL,HIST1H1B,HIST1H3I,HIST1H4L,OR2B2	HIST1H2AM	144	1
1_MACS_peak_169_lociStitched	chr1	9374220	9381276	1	7057	30088.1952	145	1	SPSB1		SPSB1	145	1
1_MACS_peak_8339_lociStitched	chr14	95980120	95987166	1	7047	45939.92	146	1		GLRX5,C14orf49,SCARNA13,SNHG10	SCARNA13	146	1
3_MACS_peak_1636_lociStitched	chr1	144927500	144935144	3	7047	21978.7932	147	1	PDE4DIP		PDE4DIP	147	1
3_MACS_peak_6163_lociStitched	chr12	57076707	57084095	3	7021	33169.1648	148	1	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	148	1
2_MACS_peak_13625_lociStitched	chr19	16694223	16701245	2	6984	39274.046	149	1	MED26	CHERP,SLC35E1	SLC35E1	149	1
3_MACS_peak_11365_lociStitched	chr17	36856360	36863469	3	6981	34622.9627	150	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	150	1
5_MACS_peak_14150_lociStitched	chr19	42051928	42059795	5	6963	17601.6258	151	1		CEACAM21	CEACAM21	151	1
2_MACS_peak_29307_lociStitched	chr9	134548547	134555523	2	6956	26932.9408	152	1	RAPGEF1		RAPGEF1	152	1
4_MACS_peak_23105_lociStitched	chr5	142778241	142785696	4	6952	25373.838	153	1	NR3C1		NR3C1	153	1
3_MACS_peak_16198_lociStitched	chr2	153921995	153929402	3	6943	17365.7115	154	1			ARL6IP6	154	1
3_MACS_peak_29267_lociStitched	chr9	132646439	132653437	3	6917	20682.589	155	1	FNBP1	USP20,C9orf78	USP20	155	1
1_MACS_peak_22993_lociStitched	chr5	138723148	138730050	1	6903	24397.8798	156	1	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	156	1
3_MACS_peak_26390_lociStitched	chr7	104580074	104587152	3	6903	30421.244	157	1		LOC723809	LOC723809	157	1
2_MACS_peak_21776_lociStitched	chr4	185184527	185191682	2	6892	22909.5945	158	1		ENPP6	ENPP6	158	1
3_MACS_peak_29017_lociStitched	chr9	117210431	117217449	3	6888	25417.7924	159	1	DFNB31		DFNB31	159	1
4_MACS_peak_23133_lociStitched	chr5	148208327	148215639	4	6877	16958.7216	160	1		ADRB2	ADRB2	160	1
3_MACS_peak_24200_lociStitched	chr6	32935489	32942713	3	6834	54971.7504	161	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	161	1
2_MACS_peak_24108_lociStitched	chr6	30683625	30690476	2	6823	28219.9541	162	1	TUBB,MDC1	DHX16,KIAA1949,NRM,FLOT1,IER3	TUBB	162	1
6_MACS_peak_24848_lociStitched	chr6	106548302	106555548	6	6820	15778.165	163	1	PRDM1		PRDM1	163	1
5_MACS_peak_1939_lociStitched	chr1	155946406	155953719	5	6805	16835.2573	164	1	ARHGEF2	RXFP4,KIAA0907,SSR2	ARHGEF2	164	1
1_MACS_peak_13474_lociStitched	chr19	12898878	12905676	1	6799	33961.4484	165	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	165	1
3_MACS_peak_2535_lociStitched	chr1	207993727	208000747	3	6795	20681.622	166	1	LOC148696	MIR29C,MIR29B2	LOC148696	166	1
5_MACS_peak_8044_lociStitched	chr14	72982828	72989959	5	6779	12737.3922	167	1	RGS6		DPF3	167	1
5_MACS_peak_22289_lociStitched	chr5	55314492	55321962	5	6728	18137.907	168	1		IL6ST	IL6ST	168	1
1_MACS_peak_24105_lociStitched	chr6	30649209	30655934	1	6726	21008.9	169	1	KIAA1949,NRM	C6orf136,TUBB,DHX16,MDC1	KIAA1949	169	1
2_MACS_peak_17212_lociStitched	chr20	25033008	25039762	2	6712	20411.2634	170	1	ACSS1	VSX1	ACSS1	170	1
3_MACS_peak_1341_lociStitched	chr1	93421283	93428161	3	6700	21782.626	171	1	FAM69A		FAM69A	171	1
2_MACS_peak_17496_lociStitched	chr20	43270277	43276993	2	6670	21755.8104	172	1	ADA	LOC79015	ADA	172	1
2_MACS_peak_1883_lociStitched	chr1	154922618	154929535	2	6655	18450.4058	173	1	PBXIP1,PYGO2	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B,PMVK,SHC1	PBXIP1	173	1
4_MACS_peak_16673_lociStitched	chr2	204568801	204575987	4	6645	20015.1658	174	1	CD28		CD28	174	1
3_MACS_peak_23807_lociStitched	chr6	12007088	12014065	3	6639	35604.3287	175	1	HIVEP1		HIVEP1	175	1
2_MACS_peak_12866_lociStitched	chr18	60803765	60810407	2	6627	23104.8612	176	1	BCL2		BCL2	176	1
3_MACS_peak_25630_lociStitched	chr7	26003069	26009752	3	6623	21079.5186	177	1		MIR148A	MIR148A	177	1
1_MACS_peak_23288_lociStitched	chr5	157284399	157291000	1	6602	24988.7456	178	1	CLINT1		CLINT1	178	1
2_MACS_peak_26342_lociStitched	chr7	102063619	102070411	2	6601	57382.8912	179	1	PRKRIP1	ORAI2,LRWD1,ALKBH4,POLR2J	ORAI2	179	1
3_MACS_peak_27905_lociStitched	chr8	126441208	126447941	3	6578	19796.3666	180	1	TRIB1		TRIB1	180	1
2_MACS_peak_29407_lociStitched	chr9	139791530	139798146	2	6570	26339.6192	181	1	TRAF2	PHPT1,MAMDC4,C8G,LCN12,EDF1,FBXW5	TRAF2	181	1
5_MACS_peak_27465_lociStitched	chr8	81010570	81017317	5	6570	16008.6069	182	1	TPD52	TPD52	TPD52	182	1
2_MACS_peak_16214_lociStitched	chr2	158295464	158302032	2	6567	19506.3032	183	1	CYTIP		CYTIP	183	1
3_MACS_peak_13500_lociStitched	chr19	13260325	13267072	3	6549	28101.9297	184	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	184	1
3_MACS_peak_23760_lociStitched	chr6	10590965	10597795	3	6518	15726.758	185	1	GCNT2		GCNT2	185	1
3_MACS_peak_5439_lociStitched	chr11	132225433	132232397	3	6514	24224.274	186	1			NTM	186	1
3_MACS_peak_18988_lociStitched	chr3	13363843	13370793	3	6508	16199.755	187	1	NUP210		NUP210	187	1
5_MACS_peak_12799_lociStitched	chr18	49917811	49924441	5	6500	15147.561	188	1	DCC		DCC	188	1
6_MACS_peak_11943_lociStitched	chr17	62166808	62173760	6	6499	15708.7392	189	1	ERN1	SNORD104,SNORA76	ERN1	189	1
4_MACS_peak_22181_lociStitched	chr5	37834198	37840892	4	6474	14801.7728	190	1	GDNF		GDNF	190	1
4_MACS_peak_23089_lociStitched	chr5	142543902	142550550	4	6473	14886.8664	191	1	ARHGAP26		NR3C1	191	1
1_MACS_peak_6119_lociStitched	chr12	56320019	56326487	1	6469	33955.0596	192	1	DGKA,WIBG	CDK2,RAB5B,SILV	WIBG	192	1
2_MACS_peak_8260_lociStitched	chr14	91871895	91878415	2	6458	18340.108	193	1	CCDC88C		CCDC88C	193	1
1_MACS_peak_12000_lociStitched	chr17	65642512	65648940	1	6429	21512.5876	194	1	PITPNC1		NOL11	194	1
5_MACS_peak_12912_lociStitched	chr18	72162761	72169484	5	6415	15306.2541	195	1	CNDP2	CNDP1,FAM69C	CNDP2	195	1
1_MACS_peak_17472_lociStitched	chr20	41822732	41829140	1	6409	19122.7536	196	1		PTPRT	PTPRT	196	1
4_MACS_peak_453_lociStitched	chr1	25070168	25076877	4	6392	18053.919	197	1	CLIC4		CLIC4	197	1
2_MACS_peak_28003_lociStitched	chr8	134579227	134585670	2	6385	27848.5789	198	1	ST3GAL1		ST3GAL1	198	1
2_MACS_peak_25157_lociStitched	chr6	138187170	138193757	2	6381	22257.473	199	1	TNFAIP3		TNFAIP3	199	1
2_MACS_peak_2436_lociStitched	chr1	203255010	203261383	2	6371	29333.0071	200	1		BTG2,LOC730227	LOC730227	200	1
