GENE_ID	locusLine	H3k27me3_23_DMSO_compare_signal
MACS_peak_122_1	chr1(.):1383629-1384067	1.0639
MACS_peak_122_2	chr1(.):1384068-1384921	0.8594
MACS_peak_123_1	chr1(.):1384953-1386067	1.1425
MACS_peak_123_2	chr1(.):1386068-1392092	1.5932
MACS_peak_123_1	chr1(.):1384953-1386067	1.1425
MACS_peak_123_2	chr1(.):1386068-1392092	1.5932
MACS_peak_123_1	chr1(.):1384953-1386067	1.1425
MACS_peak_123_2	chr1(.):1386068-1392092	1.5932
MACS_peak_124	chr1(.):1392227-1396334	1.1516
MACS_peak_124	chr1(.):1392227-1396334	1.1516
MACS_peak_128	chr1(.):1422285-1422619	0.5555
MACS_peak_129	chr1(.):1459284-1460069	0.8488
MACS_peak_130	chr1(.):1462018-1462559	0.5898
MACS_peak_131	chr1(.):1512302-1515972	1.4458
MACS_peak_132	chr1(.):1516045-1517988	0.8293
MACS_peak_132	chr1(.):1516045-1517988	0.8293
MACS_peak_132	chr1(.):1516045-1517988	0.8293
MACS_peak_133	chr1(.):1518078-1524561	1.089
MACS_peak_133	chr1(.):1518078-1524561	1.089
MACS_peak_133	chr1(.):1518078-1524561	1.089
MACS_peak_133	chr1(.):1518078-1524561	1.089
MACS_peak_134	chr1(.):1524621-1527416	1.4852
MACS_peak_134	chr1(.):1524621-1527416	1.4852
MACS_peak_135	chr1(.):1527669-1528566	0.4969
MACS_peak_136	chr1(.):1528607-1532836	1.2946
MACS_peak_137	chr1(.):1532868-1535123	1.3173
MACS_peak_137	chr1(.):1532868-1535123	1.3173
MACS_peak_138	chr1(.):1535677-1537637	1.0356
MACS_peak_139	chr1(.):1538544-1539001	0.4751
MACS_peak_140_1	chr1(.):1566109-1566558	1.4218
MACS_peak_140_2	chr1(.):1566559-1566993	1.8521
MACS_peak_141_1	chr1(.):1567012-1567157	0.4504
MACS_peak_141_2	chr1(.):1567158-1568558	1.7027
MACS_peak_141_3	chr1(.):1568559-1568705	0.6606
MACS_peak_143	chr1(.):1630950-1632492	0.9283
MACS_peak_147	chr1(.):1842489-1843782	0.6325
MACS_peak_148_1	chr1(.):1845280-1847264	1.399
MACS_peak_148_2	chr1(.):1847265-1849614	0.9807
MACS_peak_148_1	chr1(.):1845280-1847264	1.399
MACS_peak_148_2	chr1(.):1847265-1849614	0.9807
MACS_peak_149_1	chr1(.):1849751-1850184	0.6497
MACS_peak_150_1	chr1(.):1851071-1851739	1.3316
MACS_peak_150_2	chr1(.):1851740-1855474	1.2854
MACS_peak_150_1	chr1(.):1851071-1851739	1.3316
MACS_peak_150_2	chr1(.):1851740-1855474	1.2854
MACS_peak_151	chr1(.):1855813-1860769	1.6141
MACS_peak_152	chr1(.):1860873-1862072	0.8061
MACS_peak_152	chr1(.):1860873-1862072	0.8061
MACS_peak_153	chr1(.):1863767-1864095	0.5497
MACS_peak_155	chr1(.):1867097-1868095	0.6396
MACS_peak_156	chr1(.):1868113-1879870	1.5715
MACS_peak_156	chr1(.):1868113-1879870	1.5715
MACS_peak_156	chr1(.):1868113-1879870	1.5715
MACS_peak_156	chr1(.):1868113-1879870	1.5715
MACS_peak_156	chr1(.):1868113-1879870	1.5715
MACS_peak_156	chr1(.):1868113-1879870	1.5715
MACS_peak_158	chr1(.):1880918-1882129	1.0667
MACS_peak_159	chr1(.):1882247-1883081	0.8023
MACS_peak_160	chr1(.):1883123-1883731	0.8886
MACS_peak_162	chr1(.):1885415-1885954	1.0361
MACS_peak_163	chr1(.):1886586-1890731	1.3669
MACS_peak_163	chr1(.):1886586-1890731	1.3669
MACS_peak_163	chr1(.):1886586-1890731	1.3669
MACS_peak_164	chr1(.):1890824-1899612	1.4801
MACS_peak_165	chr1(.):1899619-1900669	1.165
MACS_peak_167	chr1(.):1902475-1909091	1.3429
MACS_peak_167	chr1(.):1902475-1909091	1.3429
MACS_peak_167	chr1(.):1902475-1909091	1.3429
MACS_peak_167	chr1(.):1902475-1909091	1.3429
MACS_peak_168	chr1(.):1909200-1910954	0.7716
MACS_peak_170	chr1(.):1915444-1920160	1.3786
MACS_peak_170	chr1(.):1915444-1920160	1.3786
MACS_peak_171	chr1(.):1920512-1921569	1.0972
MACS_peak_172	chr1(.):1922718-1923272	0.7152
MACS_peak_173	chr1(.):1923346-1924516	0.8052
MACS_peak_174	chr1(.):1924749-1925369	0.643
MACS_peak_175	chr1(.):1925441-1925971	0.6228
MACS_peak_176	chr1(.):1926023-1927235	0.9245
MACS_peak_177	chr1(.):1927268-1929042	0.8114
MACS_peak_177	chr1(.):1927268-1929042	0.8114
MACS_peak_178	chr1(.):1929044-1930123	0.9447
MACS_peak_179	chr1(.):1930542-1931864	0.8804
MACS_peak_179	chr1(.):1930542-1931864	0.8804
MACS_peak_180	chr1(.):1931947-1933718	0.9358
MACS_peak_180	chr1(.):1931947-1933718	0.9358
MACS_peak_181_1	chr1(.):1934764-1936275	0.9491
MACS_peak_181_2	chr1(.):1936276-1937395	1.1927
MACS_peak_181_1	chr1(.):1934764-1936275	0.9491
MACS_peak_181_2	chr1(.):1936276-1937395	1.1927
MACS_peak_181_1	chr1(.):1934764-1936275	0.9491
MACS_peak_181_2	chr1(.):1936276-1937395	1.1927
MACS_peak_182	chr1(.):1937399-1937882	0.8536
MACS_peak_182	chr1(.):1937399-1937882	0.8536
MACS_peak_183	chr1(.):1938147-1943733	1.1811
MACS_peak_183	chr1(.):1938147-1943733	1.1811
MACS_peak_184_1	chr1(.):1944137-1949766	1.4638
MACS_peak_184_2	chr1(.):1949767-1950656	1.1313
MACS_peak_184_1	chr1(.):1944137-1949766	1.4638
MACS_peak_184_2	chr1(.):1949767-1950656	1.1313
MACS_peak_185_1	chr1(.):1950903-1951766	1.2844
MACS_peak_185_2	chr1(.):1951767-1958192	1.5499
MACS_peak_185_1	chr1(.):1950903-1951766	1.2844
MACS_peak_185_2	chr1(.):1951767-1958192	1.5499
MACS_peak_185_1	chr1(.):1950903-1951766	1.2844
MACS_peak_185_2	chr1(.):1951767-1958192	1.5499
MACS_peak_186	chr1(.):1958222-1975389	1.5455
MACS_peak_186	chr1(.):1958222-1975389	1.5455
MACS_peak_186	chr1(.):1958222-1975389	1.5455
MACS_peak_186	chr1(.):1958222-1975389	1.5455
MACS_peak_186	chr1(.):1958222-1975389	1.5455
MACS_peak_186	chr1(.):1958222-1975389	1.5455
MACS_peak_186	chr1(.):1958222-1975389	1.5455
MACS_peak_186	chr1(.):1958222-1975389	1.5455
MACS_peak_187	chr1(.):1976073-1976550	0.8097
MACS_peak_188_1	chr1(.):1976802-1980907	1.5619
MACS_peak_188_2	chr1(.):1980908-1981858	1.1873
MACS_peak_188_1	chr1(.):1976802-1980907	1.5619
MACS_peak_188_2	chr1(.):1980908-1981858	1.1873
MACS_peak_188_1	chr1(.):1976802-1980907	1.5619
MACS_peak_188_2	chr1(.):1980908-1981858	1.1873
MACS_peak_189_1	chr1(.):1982525-1982907	0.4898
MACS_peak_189_2	chr1(.):1982908-1985380	1.0834
MACS_peak_193	chr1(.):1988339-1989833	0.7829
MACS_peak_193	chr1(.):1988339-1989833	0.7829
MACS_peak_194	chr1(.):1990524-1993918	1.1522
MACS_peak_195	chr1(.):1993946-1994301	0.4789
MACS_peak_196	chr1(.):1994515-1995719	0.6226
MACS_peak_196	chr1(.):1994515-1995719	0.6226
MACS_peak_196	chr1(.):1994515-1995719	0.6226
MACS_peak_200	chr1(.):1997891-1998615	0.6582
MACS_peak_201	chr1(.):1998684-2002002	1.1334
MACS_peak_201	chr1(.):1998684-2002002	1.1334
MACS_peak_202_1	chr1(.):2002025-2004084	1.0561
MACS_peak_202_2	chr1(.):2004085-2006084	1.3325
MACS_peak_202_3	chr1(.):2006085-2010198	1.0581
MACS_peak_202_1	chr1(.):2002025-2004084	1.0561
MACS_peak_202_2	chr1(.):2004085-2006084	1.3325
MACS_peak_202_3	chr1(.):2006085-2010198	1.0581
MACS_peak_202_1	chr1(.):2002025-2004084	1.0561
MACS_peak_202_2	chr1(.):2004085-2006084	1.3325
MACS_peak_202_3	chr1(.):2006085-2010198	1.0581
MACS_peak_202_1	chr1(.):2002025-2004084	1.0561
MACS_peak_202_2	chr1(.):2004085-2006084	1.3325
MACS_peak_202_3	chr1(.):2006085-2010198	1.0581
MACS_peak_203	chr1(.):2013218-2014895	0.9335
MACS_peak_204	chr1(.):2015104-2023593	1.4269
MACS_peak_204	chr1(.):2015104-2023593	1.4269
MACS_peak_204	chr1(.):2015104-2023593	1.4269
MACS_peak_205	chr1(.):2023826-2025567	1.0944
MACS_peak_205	chr1(.):2023826-2025567	1.0944
MACS_peak_206	chr1(.):2027722-2029002	0.801
MACS_peak_207	chr1(.):2029264-2029621	0.4983
MACS_peak_207	chr1(.):2029264-2029621	0.4983
MACS_peak_208	chr1(.):2029631-2030134	1.115
MACS_peak_208	chr1(.):2029631-2030134	1.115
MACS_peak_209	chr1(.):2030273-2032000	0.9419
MACS_peak_209	chr1(.):2030273-2032000	0.9419
MACS_peak_210	chr1(.):2032053-2032364	1.0332
MACS_peak_211_1	chr1(.):2032437-2035153	0.9664
MACS_peak_211_2	chr1(.):2035154-2037153	1.0924
MACS_peak_211_3	chr1(.):2037154-2038012	0.7662
MACS_peak_211_1	chr1(.):2032437-2035153	0.9664
MACS_peak_211_2	chr1(.):2035154-2037153	1.0924
MACS_peak_211_3	chr1(.):2037154-2038012	0.7662
MACS_peak_211_1	chr1(.):2032437-2035153	0.9664
MACS_peak_211_2	chr1(.):2035154-2037153	1.0924
MACS_peak_211_3	chr1(.):2037154-2038012	0.7662
MACS_peak_211_1	chr1(.):2032437-2035153	0.9664
MACS_peak_211_2	chr1(.):2035154-2037153	1.0924
MACS_peak_211_3	chr1(.):2037154-2038012	0.7662
MACS_peak_211_1	chr1(.):2032437-2035153	0.9664
MACS_peak_211_2	chr1(.):2035154-2037153	1.0924
MACS_peak_211_3	chr1(.):2037154-2038012	0.7662
MACS_peak_211_1	chr1(.):2032437-2035153	0.9664
MACS_peak_211_2	chr1(.):2035154-2037153	1.0924
MACS_peak_211_3	chr1(.):2037154-2038012	0.7662
MACS_peak_212	chr1(.):2038145-2041418	1.097
MACS_peak_213	chr1(.):2041583-2042033	0.7469
MACS_peak_214	chr1(.):2042215-2043881	0.863
MACS_peak_215	chr1(.):2046326-2047888	0.8761
MACS_peak_216	chr1(.):2048273-2048855	0.8068
MACS_peak_216	chr1(.):2048273-2048855	0.8068
MACS_peak_217	chr1(.):2057044-2058790	0.6778
MACS_peak_218	chr1(.):2058822-2060430	1.0748
MACS_peak_218	chr1(.):2058822-2060430	1.0748
MACS_peak_219	chr1(.):2060472-2062231	0.6521
MACS_peak_220	chr1(.):2062765-2063463	0.6362
MACS_peak_220	chr1(.):2062765-2063463	0.6362
MACS_peak_221	chr1(.):2063596-2064217	0.3122
MACS_peak_224	chr1(.):2066754-2070463	1.2604
MACS_peak_225	chr1(.):2070529-2071151	0.6707
MACS_peak_226	chr1(.):2071768-2072771	1.0159
MACS_peak_227	chr1(.):2072802-2075751	0.8629
MACS_peak_227	chr1(.):2072802-2075751	0.8629
MACS_peak_227	chr1(.):2072802-2075751	0.8629
MACS_peak_228	chr1(.):2075921-2076438	0.7072
MACS_peak_230	chr1(.):2080444-2080777	0.5479
MACS_peak_231	chr1(.):2081084-2081806	0.5709
MACS_peak_231	chr1(.):2081084-2081806	0.5709
MACS_peak_232	chr1(.):2081994-2083339	0.8536
MACS_peak_232	chr1(.):2081994-2083339	0.8536
MACS_peak_233	chr1(.):2083739-2084351	0.9692
MACS_peak_234	chr1(.):2084657-2085922	1.1034
MACS_peak_235	chr1(.):2087255-2088090	0.6335
MACS_peak_236	chr1(.):2088218-2088855	1.0115
MACS_peak_237	chr1(.):2088972-2093105	0.9798
MACS_peak_237	chr1(.):2088972-2093105	0.9798
MACS_peak_237	chr1(.):2088972-2093105	0.9798
MACS_peak_238	chr1(.):2093744-2095084	0.7802
MACS_peak_239	chr1(.):2095723-2099219	1.2289
MACS_peak_240	chr1(.):2099647-2100998	1.0121
MACS_peak_241	chr1(.):2101251-2105796	1.2945
MACS_peak_241	chr1(.):2101251-2105796	1.2945
MACS_peak_241	chr1(.):2101251-2105796	1.2945
MACS_peak_241	chr1(.):2101251-2105796	1.2945
MACS_peak_242	chr1(.):2105920-2106787	0.839
MACS_peak_242	chr1(.):2105920-2106787	0.839
MACS_peak_243	chr1(.):2106989-2112075	1.6811
MACS_peak_244	chr1(.):2112676-2113255	0.9105
MACS_peak_245	chr1(.):2113267-2115914	1.1274
MACS_peak_245	chr1(.):2113267-2115914	1.1274
MACS_peak_245	chr1(.):2113267-2115914	1.1274
MACS_peak_246	chr1(.):2129708-2136275	1.1286
MACS_peak_246	chr1(.):2129708-2136275	1.1286
MACS_peak_247_1	chr1(.):2136742-2138171	1.1498
MACS_peak_247_2	chr1(.):2138172-2140171	1.9806
MACS_peak_247_3	chr1(.):2140172-2142698	1.7869
MACS_peak_247_1	chr1(.):2136742-2138171	1.1498
MACS_peak_247_2	chr1(.):2138172-2140171	1.9806
MACS_peak_247_3	chr1(.):2140172-2142698	1.7869
MACS_peak_248	chr1(.):2143170-2149239	1.4973
MACS_peak_248	chr1(.):2143170-2149239	1.4973
MACS_peak_249	chr1(.):2149618-2153376	1.047
MACS_peak_249	chr1(.):2149618-2153376	1.047
MACS_peak_249	chr1(.):2149618-2153376	1.047
MACS_peak_250	chr1(.):2153731-2155547	0.8192
MACS_peak_250	chr1(.):2153731-2155547	0.8192
MACS_peak_251	chr1(.):2155590-2156830	1.1129
MACS_peak_252	chr1(.):2156911-2158667	1.2599
MACS_peak_254	chr1(.):2244758-2246240	1.0185
MACS_peak_254	chr1(.):2244758-2246240	1.0185
MACS_peak_255	chr1(.):2246619-2256627	2.2433
MACS_peak_256	chr1(.):2256633-2263296	1.9506
MACS_peak_256	chr1(.):2256633-2263296	1.9506
MACS_peak_256	chr1(.):2256633-2263296	1.9506
MACS_peak_257	chr1(.):2263341-2274295	2.1066
MACS_peak_257	chr1(.):2263341-2274295	2.1066
MACS_peak_258_1	chr1(.):2274350-2283099	1.6905
MACS_peak_258_2	chr1(.):2283100-2285099	1.9814
MACS_peak_258_3	chr1(.):2285100-2293967	1.6619
MACS_peak_258_1	chr1(.):2274350-2283099	1.6905
MACS_peak_258_2	chr1(.):2283100-2285099	1.9814
MACS_peak_258_3	chr1(.):2285100-2293967	1.6619
MACS_peak_258_1	chr1(.):2274350-2283099	1.6905
MACS_peak_258_2	chr1(.):2283100-2285099	1.9814
MACS_peak_258_3	chr1(.):2285100-2293967	1.6619
MACS_peak_258_1	chr1(.):2274350-2283099	1.6905
MACS_peak_258_2	chr1(.):2283100-2285099	1.9814
MACS_peak_258_3	chr1(.):2285100-2293967	1.6619
MACS_peak_258_1	chr1(.):2274350-2283099	1.6905
MACS_peak_258_2	chr1(.):2283100-2285099	1.9814
MACS_peak_258_3	chr1(.):2285100-2293967	1.6619
MACS_peak_259	chr1(.):2298843-2299486	0.7374
MACS_peak_260	chr1(.):2299688-2300822	1.1047
MACS_peak_261	chr1(.):2301974-2315842	1.8686
MACS_peak_262	chr1(.):2315945-2316377	0.6776
MACS_peak_263	chr1(.):2347832-2351285	1.4315
MACS_peak_264	chr1(.):2351305-2352305	0.9996
MACS_peak_264	chr1(.):2351305-2352305	0.9996
MACS_peak_265	chr1(.):2352352-2354267	1.1685
MACS_peak_265	chr1(.):2352352-2354267	1.1685
MACS_peak_266	chr1(.):2354310-2367557	1.6856
MACS_peak_266	chr1(.):2354310-2367557	1.6856
MACS_peak_267	chr1(.):2368008-2371023	0.8787
MACS_peak_267	chr1(.):2368008-2371023	0.8787
MACS_peak_268	chr1(.):2371422-2374991	1.3363
MACS_peak_268	chr1(.):2371422-2374991	1.3363
MACS_peak_268	chr1(.):2371422-2374991	1.3363
MACS_peak_269	chr1(.):2375335-2381989	1.6988
MACS_peak_269	chr1(.):2375335-2381989	1.6988
MACS_peak_269	chr1(.):2375335-2381989	1.6988
MACS_peak_270	chr1(.):2382169-2393571	1.5426
MACS_peak_270	chr1(.):2382169-2393571	1.5426
MACS_peak_270	chr1(.):2382169-2393571	1.5426
MACS_peak_270	chr1(.):2382169-2393571	1.5426
MACS_peak_271	chr1(.):2393607-2399960	1.506
MACS_peak_271	chr1(.):2393607-2399960	1.506
MACS_peak_271	chr1(.):2393607-2399960	1.506
MACS_peak_272_1	chr1(.):2399961-2406752	1.8357
MACS_peak_272_2	chr1(.):2406753-2408752	1.7287
