GENE_ID	locusLine	bin_1_JJN3_jia.bam
1_MACS_peak_71_lociStitched	chr1(.):3540601-3542374	1.3233
1_MACS_peak_72_lociStitched	chr1(.):3565924-3566849	0.9648
1_MACS_peak_73_lociStitched	chr1(.):3712042-3713604	1.2846
1_MACS_peak_74_lociStitched	chr1(.):3772724-3774909	2.435
1_MACS_peak_75_lociStitched	chr1(.):3815993-3818165	6.6523
1_MACS_peak_76_lociStitched	chr1(.):4404167-4404759	0.4909
1_MACS_peak_77_lociStitched	chr1(.):4714201-4717268	1.6326
1_MACS_peak_78_lociStitched	chr1(.):4734355-4737134	0.8169
1_MACS_peak_79_lociStitched	chr1(.):5185497-5186218	0.4193
1_MACS_peak_80_lociStitched	chr1(.):5281222-5281681	0.301
1_MACS_peak_81_lociStitched	chr1(.):6051174-6055606	3.07
1_MACS_peak_82_lociStitched	chr1(.):6084016-6089266	4.4088
2_MACS_peak_83_lociStitched	chr1(.):6257816-6267534	2.6215
1_MACS_peak_85_lociStitched	chr1(.):6294433-6296835	2.2839
1_MACS_peak_86_lociStitched	chr1(.):6418642-6420580	1.149
1_MACS_peak_87_lociStitched	chr1(.):6452459-6454793	3.6495
1_MACS_peak_88_lociStitched	chr1(.):6549965-6551530	2.2547
1_MACS_peak_89_lociStitched	chr1(.):6613460-6615377	2.6182
1_MACS_peak_90_lociStitched	chr1(.):6639309-6640992	2.3159
1_MACS_peak_91_lociStitched	chr1(.):6658971-6664731	6.5667
1_MACS_peak_92_lociStitched	chr1(.):6672270-6675867	4.0725
1_MACS_peak_93_lociStitched	chr1(.):6684735-6686480	2.6142
1_MACS_peak_94_lociStitched	chr1(.):6760922-6762409	2.4608
1_MACS_peak_95_lociStitched	chr1(.):6843116-6846905	5.1514
1_MACS_peak_96_lociStitched	chr1(.):6880374-6885943	0.8886
1_MACS_peak_97_lociStitched	chr1(.):6931002-6933882	0.6608
1_MACS_peak_98_lociStitched	chr1(.):6976630-6984790	3.8636
2_MACS_peak_99_lociStitched	chr1(.):7021618-7026265	0.492
1_MACS_peak_101_lociStitched	chr1(.):7307413-7309649	0.9856
1_MACS_peak_102_lociStitched	chr1(.):7322266-7328963	2.1762
1_MACS_peak_103_lociStitched	chr1(.):7393907-7395779	0.9937
1_MACS_peak_104_lociStitched	chr1(.):7427144-7427669	0.2972
1_MACS_peak_105_lociStitched	chr1(.):7465655-7469430	1.0545
1_MACS_peak_106_lociStitched	chr1(.):7515439-7516179	0.4486
1_MACS_peak_107_lociStitched	chr1(.):7830800-7832146	1.168
1_MACS_peak_108_lociStitched	chr1(.):7843317-7844710	0.5452
1_MACS_peak_109_lociStitched	chr1(.):8013629-8014971	2.0468
1_MACS_peak_110_lociStitched	chr1(.):8020688-8023036	4.0008
1_MACS_peak_111_lociStitched	chr1(.):8483258-8484373	0.4157
1_MACS_peak_112_lociStitched	chr1(.):8614734-8616055	0.5231
1_MACS_peak_113_lociStitched	chr1(.):8662337-8665089	0.7147
1_MACS_peak_114_lociStitched	chr1(.):8688995-8690211	0.6002
1_MACS_peak_115_lociStitched	chr1(.):8703228-8704107	0.3674
1_MACS_peak_116_lociStitched	chr1(.):8760396-8764061	1.1084
1_MACS_peak_117_lociStitched	chr1(.):8876334-8878650	3.5643
1_MACS_peak_118_lociStitched	chr1(.):8935047-8941158	4.8602
1_MACS_peak_119_lociStitched	chr1(.):9179430-9180851	0.5744
1_MACS_peak_120_lociStitched	chr1(.):9186817-9190132	2.3923
1_MACS_peak_121_lociStitched	chr1(.):9194861-9196143	0.7314
1_MACS_peak_122_lociStitched	chr1(.):9221365-9226037	7.4555
1_MACS_peak_123_lociStitched	chr1(.):9240665-9243442	2.0311
3_MACS_peak_124_lociStitched	chr1(.):9291106-9300406	1.3413
1_MACS_peak_127_lociStitched	chr1(.):9335322-9336400	0.5287
1_MACS_peak_128_lociStitched	chr1(.):9352314-9355812	2.8307
1_MACS_peak_129_lociStitched	chr1(.):9373471-9378696	2.0798
1_MACS_peak_130_lociStitched	chr1(.):9465752-9466868	0.6564
1_MACS_peak_131_lociStitched	chr1(.):9471679-9474753	2.5844
2_MACS_peak_132_lociStitched	chr1(.):9485172-9490047	1.5808
1_MACS_peak_134_lociStitched	chr1(.):9501997-9503438	0.489
1_MACS_peak_135_lociStitched	chr1(.):9535896-9537802	1.4501
1_MACS_peak_136_lociStitched	chr1(.):9598828-9600786	2.7004
1_MACS_peak_137_lociStitched	chr1(.):9648211-9650388	2.097
2_MACS_peak_138_lociStitched	chr1(.):9711707-9716102	0.4133
1_MACS_peak_140_lociStitched	chr1(.):9747119-9748325	0.5008
1_MACS_peak_141_lociStitched	chr1(.):9883071-9884807	1.2086
1_MACS_peak_142_lociStitched	chr1(.):9969391-9971923	1.1147
1_MACS_peak_143_lociStitched	chr1(.):10002369-10004250	3.6271
1_MACS_peak_144_lociStitched	chr1(.):10092295-10094187	2.8994
1_MACS_peak_145_lociStitched	chr1(.):10229319-10231363	0.8024
1_MACS_peak_146_lociStitched	chr1(.):10269637-10271928	2.6784
1_MACS_peak_147_lociStitched	chr1(.):10458283-10460475	2.3001
1_MACS_peak_148_lociStitched	chr1(.):10489957-10491611	2.3761
2_MACS_peak_149_lociStitched	chr1(.):10531774-10536095	1.7944
1_MACS_peak_151_lociStitched	chr1(.):10554699-10555809	0.4688
1_MACS_peak_152_lociStitched	chr1(.):10999519-11000978	0.8715
1_MACS_peak_153_lociStitched	chr1(.):11071804-11073695	5.6013
1_MACS_peak_154_lociStitched	chr1(.):11118430-11123877	2.3868
1_MACS_peak_155_lociStitched	chr1(.):11158893-11160512	3.2265
1_MACS_peak_156_lociStitched	chr1(.):11287009-11288158	0.3444
1_MACS_peak_157_lociStitched	chr1(.):11321706-11323405	2.4227
1_MACS_peak_158_lociStitched	chr1(.):11332706-11334686	3.2041
1_MACS_peak_159_lociStitched	chr1(.):11538542-11539814	1.4578
2_MACS_peak_160_lociStitched	chr1(.):11710259-11715669	0.5638
1_MACS_peak_162_lociStitched	chr1(.):11723902-11725172	0.8346
1_MACS_peak_163_lociStitched	chr1(.):11730843-11731424	0.3854
1_MACS_peak_164_lociStitched	chr1(.):11740115-11742333	3.4973
1_MACS_peak_165_lociStitched	chr1(.):11795719-11797896	2.0892
1_MACS_peak_166_lociStitched	chr1(.):11864500-11867877	6.3156
1_MACS_peak_167_lociStitched	chr1(.):11901482-11903258	1.4623
1_MACS_peak_168_lociStitched	chr1(.):11967673-11970591	6.4301
3_MACS_peak_169_lociStitched	chr1(.):11984450-11995617	1.5511
1_MACS_peak_172_lociStitched	chr1(.):12039528-12041542	5.4326
1_MACS_peak_173_lociStitched	chr1(.):12078611-12080521	2.6537
2_MACS_peak_174_lociStitched	chr1(.):12106628-12113417	1.2859
6_MACS_peak_176_lociStitched	chr1(.):12202770-12228946	1.2517
1_MACS_peak_182_lociStitched	chr1(.):12280412-12281745	0.4731
1_MACS_peak_183_lociStitched	chr1(.):12289574-12291545	2.6763
2_MACS_peak_184_lociStitched	chr1(.):12493378-12496741	0.571
1_MACS_peak_186_lociStitched	chr1(.):14013523-14014504	0.3992
2_MACS_peak_187_lociStitched	chr1(.):14025878-14030070	2.7094
1_MACS_peak_189_lociStitched	chr1(.):14056551-14058325	1.1115
1_MACS_peak_190_lociStitched	chr1(.):14074757-14077318	3.9956
1_MACS_peak_191_lociStitched	chr1(.):14440123-14441281	0.6076
2_MACS_peak_192_lociStitched	chr1(.):14507250-14510026	0.4767
2_MACS_peak_194_lociStitched	chr1(.):14645977-14650973	0.5251
1_MACS_peak_196_lociStitched	chr1(.):14660498-14661804	0.4748
1_MACS_peak_197_lociStitched	chr1(.):14687038-14688487	1.2191
1_MACS_peak_198_lociStitched	chr1(.):14694130-14697932	2.1421
1_MACS_peak_199_lociStitched	chr1(.):14924325-14926315	1.1136
1_MACS_peak_200_lociStitched	chr1(.):15482238-15483656	0.639
1_MACS_peak_201_lociStitched	chr1(.):15533234-15534941	0.5679
1_MACS_peak_202_lociStitched	chr1(.):15735912-15737465	1.0251
1_MACS_peak_203_lociStitched	chr1(.):15850024-15854228	2.6429
2_MACS_peak_204_lociStitched	chr1(.):15905629-15912006	0.4944
1_MACS_peak_206_lociStitched	chr1(.):15929485-15930821	1.3327
1_MACS_peak_207_lociStitched	chr1(.):15943060-15945517	2.207
1_MACS_peak_208_lociStitched	chr1(.):16009870-16012116	7.0519
1_MACS_peak_209_lociStitched	chr1(.):16023065-16024628	1.0485
1_MACS_peak_210_lociStitched	chr1(.):16159187-16163559	8.8789
1_MACS_peak_211_lociStitched	chr1(.):16173051-16179811	3.5573
1_MACS_peak_212_lociStitched	chr1(.):16219500-16220506	0.4124
1_MACS_peak_213_lociStitched	chr1(.):16292220-16293515	0.7131
1_MACS_peak_214_lociStitched	chr1(.):16301386-16303216	1.7718
1_MACS_peak_215_lociStitched	chr1(.):16338950-16343589	0.6997
1_MACS_peak_216_lociStitched	chr1(.):16399598-16400622	0.4412
1_MACS_peak_217_lociStitched	chr1(.):16532358-16534329	1.8187
1_MACS_peak_218_lociStitched	chr1(.):16543368-16544521	0.5591
1_MACS_peak_219_lociStitched	chr1(.):16562713-16564556	1.7597
1_MACS_peak_220_lociStitched	chr1(.):16574513-16575706	0.8001
1_MACS_peak_221_lociStitched	chr1(.):16677502-16679871	3.6001
1_MACS_peak_222_lociStitched	chr1(.):16693038-16695673	6.2628
1_MACS_peak_223_lociStitched	chr1(.):16717559-16718731	0.4703
1_MACS_peak_224_lociStitched	chr1(.):16766601-16771875	3.0974
1_MACS_peak_225_lociStitched	chr1(.):16777953-16778750	0.2892
1_MACS_peak_226_lociStitched	chr1(.):16824833-16826575	1.3641
1_MACS_peak_228_lociStitched	chr1(.):16938908-16940849	1.1326
1_MACS_peak_229_lociStitched	chr1(.):16970046-16972306	6.7753
1_MACS_peak_230_lociStitched	chr1(.):16992139-16994445	6.9688
1_MACS_peak_231_lociStitched	chr1(.):17012363-17012816	0.7145
1_MACS_peak_232_lociStitched	chr1(.):17065935-17068326	6.8617
1_MACS_peak_233_lociStitched	chr1(.):17098063-17100599	1.0521
1_MACS_peak_234_lociStitched	chr1(.):17221449-17224151	4.4117
1_MACS_peak_235_lociStitched	chr1(.):17229237-17233044	6.8379
1_MACS_peak_236_lociStitched	chr1(.):17239854-17241567	1.4408
1_MACS_peak_237_lociStitched	chr1(.):17287197-17287844	0.5385
1_MACS_peak_238_lociStitched	chr1(.):17337719-17338675	1.5631
1_MACS_peak_239_lociStitched	chr1(.):17356112-17357743	0.4654
1_MACS_peak_240_lociStitched	chr1(.):17379417-17381180	2.2118
1_MACS_peak_241_lociStitched	chr1(.):17763399-17769595	6.4856
1_MACS_peak_242_lociStitched	chr1(.):17787404-17788163	0.484
1_MACS_peak_243_lociStitched	chr1(.):17803118-17804762	0.6758
1_MACS_peak_244_lociStitched	chr1(.):19228556-19229937	2.1789
1_MACS_peak_245_lociStitched	chr1(.):19252554-19254866	1.0653
2_MACS_peak_246_lociStitched	chr1(.):19276783-19283862	0.3682
1_MACS_peak_248_lociStitched	chr1(.):19535481-19537895	3.2105
1_MACS_peak_249_lociStitched	chr1(.):19577274-19579546	4.4047
1_MACS_peak_250_lociStitched	chr1(.):19637667-19639696	2.8837
1_MACS_peak_251_lociStitched	chr1(.):19810436-19813469	3.9826
1_MACS_peak_252_lociStitched	chr1(.):19922399-19924696	3.4567
1_MACS_peak_253_lociStitched	chr1(.):19970212-19971450	0.4985
2_MACS_peak_254_lociStitched	chr1(.):20112931-20117252	0.4794
1_MACS_peak_256_lociStitched	chr1(.):20125404-20127540	2.7535
1_MACS_peak_257_lociStitched	chr1(.):20208673-20209979	2.7496
1_MACS_peak_258_lociStitched	chr1(.):20452707-20453301	0.3725
1_MACS_peak_259_lociStitched	chr1(.):20833938-20835109	1.1555
1_MACS_peak_260_lociStitched	chr1(.):20959673-20960765	0.9571
1_MACS_peak_261_lociStitched	chr1(.):20987006-20988798	1.714
1_MACS_peak_262_lociStitched	chr1(.):21022873-21023860	1.1847
1_MACS_peak_263_lociStitched	chr1(.):21058777-21060432	0.4949
1_MACS_peak_264_lociStitched	chr1(.):21111724-21115038	4.8849
2_MACS_peak_265_lociStitched	chr1(.):21348016-21350951	0.7815
1_MACS_peak_267_lociStitched	chr1(.):21501985-21504049	2.7698
2_MACS_peak_268_lociStitched	chr1(.):21615715-21622254	2.3092
1_MACS_peak_270_lociStitched	chr1(.):21660398-21661784	0.7262
1_MACS_peak_271_lociStitched	chr1(.):21671145-21673055	1.4782
1_MACS_peak_272_lociStitched	chr1(.):21754332-21754994	0.7155
1_MACS_peak_273_lociStitched	chr1(.):22107255-22110597	3.9974
1_MACS_peak_274_lociStitched	chr1(.):22118328-22118920	0.3831
1_MACS_peak_275_lociStitched	chr1(.):22350650-22353524	3.9831
1_MACS_peak_276_lociStitched	chr1(.):22365869-22367492	1.446
1_MACS_peak_277_lociStitched	chr1(.):22378377-22380622	5.4758
1_MACS_peak_278_lociStitched	chr1(.):22777702-22779550	1.6463
1_MACS_peak_279_lociStitched	chr1(.):23036854-23038145	0.5734
1_MACS_peak_280_lociStitched	chr1(.):23345091-23347253	2.1711
1_MACS_peak_281_lociStitched	chr1(.):23494148-23495518	0.5341
1_MACS_peak_282_lociStitched	chr1(.):23668135-23672090	6.2949
1_MACS_peak_283_lociStitched	chr1(.):23693866-23696823	4.2053
3_MACS_peak_284_lociStitched	chr1(.):23848736-23866625	3.8749
2_MACS_peak_287_lociStitched	chr1(.):23880522-23886579	0.7604
1_MACS_peak_289_lociStitched	chr1(.):24017826-24019890	1.9769
3_MACS_peak_290_lociStitched	chr1(.):24045336-24048022	0.6022
1_MACS_peak_293_lociStitched	chr1(.):24069165-24071812	3.2307
1_MACS_peak_294_lociStitched	chr1(.):24104018-24105696	1.9184
1_MACS_peak_295_lociStitched	chr1(.):24117014-24119096	1.558
1_MACS_peak_296_lociStitched	chr1(.):24125974-24128197	2.6274
1_MACS_peak_297_lociStitched	chr1(.):24151193-24152907	2.0296
1_MACS_peak_298_lociStitched	chr1(.):24194071-24195543	0.7078
2_MACS_peak_299_lociStitched	chr1(.):24284690-24291824	3.0046
1_MACS_peak_301_lociStitched	chr1(.):24305047-24307750	4.1779
1_MACS_peak_302_lociStitched	chr1(.):24357731-24358079	0.5261
2_MACS_peak_303_lociStitched	chr1(.):24513298-24519363	0.9076
1_MACS_peak_305_lociStitched	chr1(.):24647817-24649490	1.007
1_MACS_peak_306_lociStitched	chr1(.):24717541-24719397	0.862
1_MACS_peak_307_lociStitched	chr1(.):24741458-24743457	0.8314
1_MACS_peak_308_lociStitched	chr1(.):24828709-24829691	0.4919
1_MACS_peak_309_lociStitched	chr1(.):24884012-24885084	0.4876
1_MACS_peak_310_lociStitched	chr1(.):24967950-24971074	4.2109
2_MACS_peak_311_lociStitched	chr1(.):25053499-25054757	0.4338
1_MACS_peak_313_lociStitched	chr1(.):25070681-25076131	3.6904
1_MACS_peak_314_lociStitched	chr1(.):25174176-25175614	1.8601
2_MACS_peak_315_lociStitched	chr1(.):25247182-25259519	4.7668
1_MACS_peak_317_lociStitched	chr1(.):25289773-25292965	2.1385
3_MACS_peak_318_lociStitched	chr1(.):25344473-25364543	3.9206
3_MACS_peak_321_lociStitched	chr1(.):25558163-25567552	1.5538
1_MACS_peak_324_lociStitched	chr1(.):25572180-25574914	4.3595
1_MACS_peak_325_lociStitched	chr1(.):25592532-25595066	4.7487
1_MACS_peak_326_lociStitched	chr1(.):25662930-25666807	5.9452
2_MACS_peak_327_lociStitched	chr1(.):25756108-25762880	0.9407
2_MACS_peak_329_lociStitched	chr1(.):25773385-25774788	0.483
4_MACS_peak_331_lociStitched	chr1(.):25869623-25889760	1.4913
1_MACS_peak_335_lociStitched	chr1(.):25942419-25944664	0.9048
1_MACS_peak_336_lociStitched	chr1(.):26056409-26057909	0.8438
1_MACS_peak_337_lociStitched	chr1(.):26126284-26127146	0.494
1_MACS_peak_338_lociStitched	chr1(.):26145494-26148209	3.4503
1_MACS_peak_339_lociStitched	chr1(.):26184908-26186955	1.5863
1_MACS_peak_340_lociStitched	chr1(.):26201366-26202613	0.5291
1_MACS_peak_341_lociStitched	chr1(.):26231158-26233521	3.2934
1_MACS_peak_342_lociStitched	chr1(.):26259367-26261272	0.9693
1_MACS_peak_343_lociStitched	chr1(.):26323335-26325444	1.4615
1_MACS_peak_344_lociStitched	chr1(.):26436440-26439697	4.9862
1_MACS_peak_345_lociStitched	chr1(.):26445719-26447408	0.7917
1_MACS_peak_346_lociStitched	chr1(.):26451962-26454100	0.8207
1_MACS_peak_347_lociStitched	chr1(.):26495989-26497439	1.7402
1_MACS_peak_348_lociStitched	chr1(.):26559807-26562061	3.4333
1_MACS_peak_349_lociStitched	chr1(.):26605252-26607204	2.3187
1_MACS_peak_350_lociStitched	chr1(.):26632398-26634176	1.1728
1_MACS_peak_351_lociStitched	chr1(.):26757897-26759635	1.4363
1_MACS_peak_352_lociStitched	chr1(.):26774057-26774688	0.5582
1_MACS_peak_353_lociStitched	chr1(.):26797666-26800807	7.4524
1_MACS_peak_354_lociStitched	chr1(.):26826293-26828743	7.8087
1_MACS_peak_355_lociStitched	chr1(.):26855807-26857051	0.6152
1_MACS_peak_356_lociStitched	chr1(.):26945924-26948469	6.2475
1_MACS_peak_357_lociStitched	chr1(.):26963043-26963905	0.4387
1_MACS_peak_358_lociStitched	chr1(.):27018386-27031277	6.8064
1_MACS_peak_359_lociStitched	chr1(.):27049182-27050529	0.7006
1_MACS_peak_360_lociStitched	chr1(.):27069970-27071586	0.9183
1_MACS_peak_361_lociStitched	chr1(.):27113038-27116056	6.3685
3_MACS_peak_362_lociStitched	chr1(.):27152358-27167170	1.4497
1_MACS_peak_365_lociStitched	chr1(.):27190330-27192838	3.3088
1_MACS_peak_366_lociStitched	chr1(.):27215925-27217514	1.8472
1_MACS_peak_367_lociStitched	chr1(.):27226176-27227611	1.4707
1_MACS_peak_368_lociStitched	chr1(.):27247517-27249182	2.0204
1_MACS_peak_369_lociStitched	chr1(.):27480906-27482190	1.8218
1_MACS_peak_370_lociStitched	chr1(.):27560366-27562839	1.7979
1_MACS_peak_371_lociStitched	chr1(.):27648058-27649752	2.6883
1_MACS_peak_372_lociStitched	chr1(.):27692054-27693644	0.4361
1_MACS_peak_373_lociStitched	chr1(.):27718459-27719677	0.535
1_MACS_peak_374_lociStitched	chr1(.):27815324-27817659	4.0712
1_MACS_peak_375_lociStitched	chr1(.):27901885-27902668	0.4922
1_MACS_peak_376_lociStitched	chr1(.):27929594-27931144	0.7205
1_MACS_peak_377_lociStitched	chr1(.):27985048-27987702	1.5118
1_MACS_peak_378_lociStitched	chr1(.):28051388-28053648	2.4019
1_MACS_peak_379_lociStitched	chr1(.):28098557-28101106	1.6709
1_MACS_peak_380_lociStitched	chr1(.):28156534-28158429	2.8334
3_MACS_peak_381_lociStitched	chr1(.):28195616-28203155	0.4312
1_MACS_peak_384_lociStitched	chr1(.):28213496-28214461	0.4275
1_MACS_peak_385_lociStitched	chr1(.):28240227-28241815	2.3681
1_MACS_peak_386_lociStitched	chr1(.):28413903-28415965	1.6563
2_MACS_peak_387_lociStitched	chr1(.):28558622-28563883	2.1436
1_MACS_peak_389_lociStitched	chr1(.):28572630-28577309	3.5142
1_MACS_peak_390_lociStitched	chr1(.):28584450-28588112	4.4497
1_MACS_peak_391_lociStitched	chr1(.):28654681-28656571	2.9001
1_MACS_peak_392_lociStitched	chr1(.):28695487-28697328	4.7966
1_MACS_peak_393_lociStitched	chr1(.):28831331-28835765	3.3437
1_MACS_peak_394_lociStitched	chr1(.):28844094-28846113	3.3512
1_MACS_peak_395_lociStitched	chr1(.):28878716-28880725	2.9067
1_MACS_peak_396_lociStitched	chr1(.):28906091-28909949	3.0946
1_MACS_peak_397_lociStitched	chr1(.):28918718-28919584	0.468
2_MACS_peak_398_lociStitched	chr1(.):28925080-28929475	0.6915
2_MACS_peak_400_lociStitched	chr1(.):28968355-28976112	2.0117
1_MACS_peak_402_lociStitched	chr1(.):28994246-28996658	6.4068
1_MACS_peak_403_lociStitched	chr1(.):29062540-29065334	3.091
1_MACS_peak_404_lociStitched	chr1(.):29210776-29215020	3.4457
1_MACS_peak_405_lociStitched	chr1(.):29240223-29242296	1.2218
1_MACS_peak_406_lociStitched	chr1(.):29253162-29254927	0.4854
1_MACS_peak_407_lociStitched	chr1(.):29506611-29509555	5.6384
1_MACS_peak_408_lociStitched	chr1(.):29556741-29557943	1.403
1_MACS_peak_409_lociStitched	chr1(.):31191420-31192402	1.081
1_MACS_peak_410_lociStitched	chr1(.):31536658-31539311	3.0977
1_MACS_peak_411_lociStitched	chr1(.):31768790-31770591	2.5724
1_MACS_peak_412_lociStitched	chr1(.):31949513-31951303	0.7539
1_MACS_peak_413_lociStitched	chr1(.):32109503-32111404	4.1614
1_MACS_peak_414_lociStitched	chr1(.):32253671-32255112	0.8134
1_MACS_peak_415_lociStitched	chr1(.):32402041-32405056	5.0908
1_MACS_peak_416_lociStitched	chr1(.):32420092-32422682	1.4031
1_MACS_peak_417_lociStitched	chr1(.):32450225-32452014	1.143
1_MACS_peak_418_lociStitched	chr1(.):32472676-32473534	0.4545
1_MACS_peak_419_lociStitched	chr1(.):32478312-32481045	4.3955
1_MACS_peak_420_lociStitched	chr1(.):32537661-32539641	3.9024
1_MACS_peak_421_lociStitched	chr1(.):32572875-32575112	2.3305
1_MACS_peak_422_lociStitched	chr1(.):32644037-32647571	3.8752
2_MACS_peak_423_lociStitched	chr1(.):32665057-32672186	1.5227
1_MACS_peak_425_lociStitched	chr1(.):32687263-32688945	2.3526
1_MACS_peak_426_lociStitched	chr1(.):32756663-32758691	3.4087
2_MACS_peak_427_lociStitched	chr1(.):32800345-32803750	1.1952
1_MACS_peak_429_lociStitched	chr1(.):32816185-32818293	3.9036
1_MACS_peak_430_lociStitched	chr1(.):32859072-32861146	2.2434
1_MACS_peak_431_lociStitched	chr1(.):32897147-32898436	0.7176
1_MACS_peak_432_lociStitched	chr1(.):32965507-32966896	3.2131
1_MACS_peak_433_lociStitched	chr1(.):32986146-32986916	0.5013
1_MACS_peak_434_lociStitched	chr1(.):33004522-33006051	2.9153
2_MACS_peak_435_lociStitched	chr1(.):33088289-33095223	1.0316
1_MACS_peak_437_lociStitched	chr1(.):33114815-33118307	5.706
1_MACS_peak_438_lociStitched	chr1(.):33206988-33207632	0.448
1_MACS_peak_439_lociStitched	chr1(.):33281166-33285544	6.9701
1_MACS_peak_440_lociStitched	chr1(.):33428545-33431341	3.03
4_MACS_peak_441_lociStitched	chr1(.):33445292-33459983	1.2485
1_MACS_peak_445_lociStitched	chr1(.):33501075-33503206	1.9776
1_MACS_peak_446_lociStitched	chr1(.):33516519-33516916	0.4061
1_MACS_peak_447_lociStitched	chr1(.):33564264-33566138	1.4305
1_MACS_peak_448_lociStitched	chr1(.):33592078-33593777	1.5144
1_MACS_peak_449_lociStitched	chr1(.):33647194-33647862	0.608
1_MACS_peak_450_lociStitched	chr1(.):33721308-33723753	1.5073
1_MACS_peak_451_lociStitched	chr1(.):33807375-33808229	0.568
1_MACS_peak_452_lociStitched	chr1(.):33814128-33816532	3.5167
1_MACS_peak_453_lociStitched	chr1(.):34558047-34558500	0.2781
1_MACS_peak_454_lociStitched	chr1(.):35324290-35326107	2.1801
1_MACS_peak_455_lociStitched	chr1(.):35330827-35332864	4.278
1_MACS_peak_456_lociStitched	chr1(.):35450033-35451499	1.8778
1_MACS_peak_457_lociStitched	chr1(.):35496171-35497747	3.1561
1_MACS_peak_458_lociStitched	chr1(.):35544479-35545889	1.9499
1_MACS_peak_459_lociStitched	chr1(.):35656834-35659742	6.0955
1_MACS_peak_460_lociStitched	chr1(.):35733623-35735432	4.5659
