GENE_ID	locusLine	bin_1_42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
NM_006015	chr1(.):27017521-27113601	0.1426
NM_032283	chr1(.):27148200-27187211	0.1289
NM_006762	chr1(.):31200314-31235683	0.1719
NM_022756	chr1(.):37953175-37985364	0.1092
NM_025079	chr1(.):37935118-37954978	0.1518
NR_003929	chr1(.):39982951-40030370	0.1181
NM_001198979	chr1(.):40854016-40893998	0.131
NM_001198978	chr1(.):40835304-40893998	0.1407
NM_001198980	chr1(.):40857471-40893998	0.1231
NM_022733	chr1(.):40834377-40893998	0.1404
NM_006004	chr1(.):46764379-46787447	0.1284
NM_006369	chr1(.):46739071-46774038	0.1315
NM_199044	chr1(.):46801389-46835690	0.1107
NM_015696	chr1(.):53063042-53079723	0.103
NM_001042693	chr1(.):53094065-53127737	0.1232
NM_001037339	chr1(.):66792792-66845262	0.1544
NM_001001933	chr1(.):75589118-75632218	0.1065
NM_006769	chr1(.):87789150-87819607	0.1228
NM_004974	chr1(.):111140775-111153345	0.0577
NM_002232	chr1(.):111209309-111222655	0.0752
NR_034126	chr1(.):112136628-112155940	0.0797
NM_007158	chr1(.):115254536-115305624	0.0682
NM_002524	chr1(.):115242077-115264515	0.0809
NM_001172626	chr1(.):115210719-115243239	0.0804
NM_001130523	chr1(.):115254537-115305671	0.0682
NM_017709	chr1(.):118143603-118176011	0.1194
NM_001123068	chr1(.):143762143-143772881	0.1629
NR_027469	chr1(.):143713512-143749587	0.1649
NR_027468	chr1(.):143713512-143749457	0.1652
NM_032305	chr1(.):145451235-145475387	0.2394
NM_202004	chr1(.):145408190-145422545	0.1667
NM_006472	chr1(.):145433461-145447628	0.2558
NM_001039888	chr1(.):145465507-145480647	0.2476
NM_005105	chr1(.):145502637-145516444	0.2364
NR_027468	chr1(.):147901021-147936980	0.151
NM_001161334	chr1(.):149749244-149788928	0.1501
NM_001034077	chr1(.):149799220-149809616	0.2341
NM_001005464	chr1(.):149807258-149817765	0.2637
NM_001040874	chr1(.):149808784-149819318	0.2643
NM_001123375	chr1(.):149779779-149790236	0.196
NM_000566	chr1(.):149749249-149769074	0.1321
NM_005850	chr1(.):149890210-149904702	0.2176
NM_016074	chr1(.):149866154-149877348	0.1924
NM_003528	chr1(.):149851009-149863232	0.2688
NM_003517	chr1(.):149853524-149863961	0.2826
NM_175065	chr1(.):149854018-149864466	0.2758
NM_014849	chr1(.):149869871-149894434	0.166
NM_181873	chr1(.):149895542-149913266	0.213
NM_001145862	chr1(.):149895542-149913791	0.2106
NR_036461	chr1(.):149816758-149827340	0.2466
NM_001040874	chr1(.):149817627-149828161	0.2515
NM_001005464	chr1(.):149819180-149829687	0.2484
NM_001034077	chr1(.):149827329-149837725	0.2042
NM_004698	chr1(.):150288927-150330704	0.1568
NM_019032	chr1(.):150516897-150538412	0.2211
NM_207046	chr1(.):150589598-150606609	0.2182
NR_036211	chr1(.):150519404-150529490	0.1523
NM_001197320	chr1(.):150542026-150557214	0.2304
NM_020239	chr1(.):151018446-151037125	0.2111
NM_138278	chr1(.):151004028-151025076	0.1541
NM_006818	chr1(.):151027150-151045973	0.2105
NM_017860	chr1(.):151015258-151028871	0.1822
NM_144618	chr1(.):151038079-151096007	0.1439
NM_014437	chr1(.):153926587-153945188	0.2335
NM_130898	chr1(.):153935396-153951832	0.2487
NM_181715	chr1(.):153915151-153936043	0.2183
NM_006694	chr1(.):153941744-153955451	0.2022
NM_002870	chr1(.):153949127-153963806	0.2027
NM_014856	chr1(.):153896976-153924154	0.1639
NM_001030	chr1(.):153958238-153969631	0.2021
NM_020452	chr1(.):154295275-154328780	0.1968
NM_001005855	chr1(.):154293035-154315322	0.1981
NM_080429	chr1(.):154288591-154302801	0.2042
NM_006556	chr1(.):154892207-154914484	0.1976
NM_001130041	chr1(.):154929773-154951959	0.2315
NM_001130040	chr1(.):154929773-154948223	0.2324
NM_201398	chr1(.):154950769-154970587	0.179
NM_015872	chr1(.):154970111-154995999	0.176
NM_207196	chr1(.):155018761-155040252	0.1921
NM_001184892	chr1(.):154950769-154966488	0.1903
NM_018655	chr1(.):154961061-154971791	0.155
NM_001143687	chr1(.):155001281-155028406	0.1739
NR_024163	chr1(.):154942117-154956725	0.2726
NM_144622	chr1(.):154986002-155011257	0.1666
NM_138300	chr1(.):154924501-154939258	0.2638
NR_036212	chr1(.):154943168-154953259	0.2896
NM_006912	chr1(.):155862600-155886177	0.1621
NM_001162384	chr1(.):155911629-155953336	0.2054
NM_181885	chr1(.):155906479-155917625	0.228
NM_004723	chr1(.):155911629-155952966	0.2062
NM_014949	chr1(.):155877835-155909188	0.2003
NR_002974	chr1(.):155884699-155894833	0.1762
NR_003005	chr1(.):155890748-155900877	0.2003
NM_003145	chr1(.):155973838-155995758	0.2126
NM_014655	chr1(.):156158729-156187587	0.2247
NM_007221	chr1(.):156177783-156214833	0.2182
NM_022367	chr1(.):156118321-156152542	0.2285
NM_001193302	chr1(.):156118368-156152542	0.2282
NM_001193301	chr1(.):156114734-156152542	0.231
NM_005920	chr1(.):156428518-156475529	0.2064
NM_198427	chr1(.):156606739-156628264	0.1667
NM_021817	chr1(.):156584085-156600517	0.1678
NM_021948	chr1(.):156606739-156634320	0.1873
NM_004494	chr1(.):156706898-156726543	0.2164
NM_001126051	chr1(.):156706898-156727024	0.2134
NM_001126050	chr1(.):156706898-156727240	0.2112
NM_030980	chr1(.):156687412-156702705	0.2151
NM_001878	chr1(.):156664407-156680375	0.1377
NM_001142560	chr1(.):156693262-156711752	0.2276
NM_145729	chr1(.):156702093-156715923	0.1921
NM_006617	chr1(.):156633555-156652189	0.1536
NM_004833	chr1(.):159027274-159051647	0.2259
NM_001778	chr1(.):160643535-160686585	0.2483
NM_003037	chr1(.):160574890-160622081	0.1851
NM_021181	chr1(.):160704076-160729601	0.226
NM_152366	chr1(.):161063180-161075138	0.2351
NM_030916	chr1(.):161035780-161064385	0.1767
NM_007122	chr1(.):161004040-161020757	0.2378
NM_001113205	chr1(.):161002421-161013774	0.2052
NR_033385	chr1(.):161063150-161075138	0.2349
NM_181720	chr1(.):161011731-161044760	0.2292
NM_016946	chr1(.):160960000-160996133	0.1819
NM_001039711	chr1(.):161085768-161107478	0.213
NM_016406	chr1(.):161118533-161133646	0.1836
NM_004550	chr1(.):161164104-161189184	0.2101
NM_000309	chr1(.):161131180-161146010	0.2161
NM_001643	chr1(.):161187082-161198418	0.2289
NM_001185094	chr1(.):161082907-161095984	0.2
NM_003779	chr1(.):161136100-161152314	0.2554
NM_012475	chr1(.):161124253-161140516	0.2153
NM_001039712	chr1(.):161085768-161107256	0.2138
NM_005600	chr1(.):161082861-161095984	0.1998
NM_001185093	chr1(.):161082906-161095984	0.2
NM_032174	chr1(.):161190832-161205407	0.1994
NM_001166159	chr1(.):161166936-161189184	0.2136
NM_005099	chr1(.):161154537-161173845	0.2243
NM_004106	chr1(.):161180086-161194038	0.2003
NM_181093	chr1(.):169816803-169868076	0.1732
NM_022100	chr1(.):174977093-174997591	0.1753
NR_033186	chr1(.):178506930-178523024	0.1654
NM_022371	chr1(.):179046111-179070129	0.2017
NM_015602	chr1(.):179846419-179894211	0.1678
NM_016545	chr1(.):181052637-181064979	0.2182
NM_002922	chr1(.):192539856-192554159	0.2495
NM_001195216	chr1(.):197698138-197749623	0.1913
NM_005298	chr1(.):200837165-200848251	0.1397
NM_018265	chr1(.):200855638-200889864	0.1847
NM_001142569	chr1(.):200858998-200889864	0.1802
NM_017596	chr1(.):200933519-200997828	0.1777
NR_034150	chr1(.):203262885-203279453	0.2831
NM_003465	chr1(.):203180206-203203860	0.1536
NM_006763	chr1(.):203269663-203283729	0.267
NM_002023	chr1(.):203304751-203325289	0.1929
NR_003019	chr1(.):203693708-203703833	0.1501
NM_001136190	chr1(.):203729283-203750480	0.2029
NM_001174108	chr1(.):203761650-203774590	0.1839
NM_002646	chr1(.):204386757-204464474	0.1631
NM_002393	chr1(.):204480510-204532248	0.2015
NM_030952	chr1(.):205266190-205295883	0.2019
NM_001007544	chr1(.):206233871-206293647	0.1907
NM_148964	chr1(.):206312458-206337104	0.1382
NM_006893	chr1(.):206759973-206790904	0.1582
NM_182665	chr1(.):206725491-206767616	0.2275
NM_001185157	chr1(.):207065787-207082484	0.1576
NM_002644	chr1(.):207096866-207124811	0.1794
NM_001170631	chr1(.):207126311-207148970	0.1536
NM_152485	chr1(.):209950661-209962890	0.2206
NM_025228	chr1(.):209924393-209960668	0.2292
NM_001136224	chr1(.):211427707-211494725	0.172
NM_018254	chr1(.):211428288-211494725	0.1724
NM_001136225	chr1(.):211427707-211491655	0.1716
NM_021194	chr1(.):211743380-211757099	0.2423
NM_000120	chr1(.):226008001-226038262	0.1675
NM_020997	chr1(.):226068981-226081836	0.1543
NM_014698	chr1(.):226028232-226075420	0.1974
NM_001172425	chr1(.):226119297-226134083	0.2209
NM_013328	chr1(.):226102579-226116965	0.1857
NM_182972	chr1(.):234735014-234750271	0.2417
NR_033927	chr1(.):234760056-234775526	0.1476
NM_031844	chr1(.):245008601-245032827	0.2009
NM_198076	chr1(.):244993638-245013359	0.2022
NR_026778	chr1(.):244998939-245015243	0.1989
NM_020458	chr2(.):47163312-47308275	0.1298
NR_033872	chr2(.):70184394-70319147	0.1163
NM_001099289	chr2(.):109740996-110267207	0.0944
NM_001012514	chr2(.):231724620-231748963	0.0786
NM_145693	chr2(.):11881739-11972533	0.1296
NM_183360	chr2(.):25595111-25901503	0.1159
NM_170672	chr2(.):33656415-33794798	0.1198
NM_005813	chr2(.):37472645-37549222	0.1612
NM_019063	chr2(.):42391489-42564688	0.1157
NM_012249	chr2(.):46764866-46816827	0.1399
NM_014755	chr2(.):64853754-64886046	0.1472
NR_036586	chr2(.):65123973-65164581	0.159
NM_002398	chr2(.):66657531-66804891	0.1032
NM_004836	chr2(.):88851258-88932094	0.1358
NM_144563	chr2(.):88986175-89055452	0.122
NM_004027	chr2(.):99056320-99212496	0.1467
NM_001566	chr2(.):99056320-99203284	0.1484
NM_003581	chr2(.):106356519-106515730	0.1245
NM_001142807	chr2(.):111485149-111880799	0.1168
NM_004336	chr2(.):111390408-111440684	0.1389
NR_027020	chr2(.):132900163-133020542	0.1812
NM_002410	chr2(.):135006829-135211468	0.1245
NM_001077269	chr2(.):175419301-175552627	0.1255
NR_024415	chr2(.):192537797-192558248	0.1644
NM_001031716	chr2(.):192537860-192558248	0.1642
NM_018897	chr2(.):196597426-196938536	0.098
NM_004226	chr2(.):196993306-197041336	0.1508
NM_001228	chr2(.):202093165-202157434	0.1465
NM_003879	chr2(.):201975889-202034003	0.1414
NM_001127184	chr2(.):201975815-202011323	0.1536
NM_173822	chr2(.):201833440-201941392	0.1148
NM_033358	chr2(.):202093165-202151638	0.1488
NM_022730	chr2(.):232646161-232678434	0.0585
NM_003108	chr2(.):5827798-5846517	0.0971
NM_001037160	chr2(.):10191925-10225538	0.0949
NM_182626	chr2(.):10276508-10356856	0.0941
NM_001165931	chr2(.):10257694-10276546	0.1626
NM_001034	chr2(.):10257862-10276546	0.1621
NM_002997	chr2(.):20395557-20429927	0.1535
NM_001006946	chr2(.):20395557-20430194	0.1529
NM_004040	chr2(.):20641834-20654201	0.1366
NM_178553	chr2(.):27354714-27367332	0.1249
NM_001166239	chr2(.):27318461-27346773	0.1103
NM_001166240	chr2(.):27317220-27346995	0.1136
NM_013388	chr2(.):27348624-27362542	0.116
NM_001166241	chr2(.):27317220-27338970	0.1117
NM_032604	chr2(.):27341656-27358680	0.1339
NM_175769	chr2(.):27366944-27380819	0.1375
NM_080592	chr2(.):27429898-27445046	0.1524
NM_001170795	chr2(.):27430218-27445046	0.153
NM_021095	chr2(.):27417454-27440175	0.1283
NM_015376	chr2(.):33733941-33794798	0.1151
NM_001139488	chr2(.):33696320-33794798	0.1309
NM_012413	chr2(.):37566752-37605465	0.1799
NM_138370	chr2(.):42270160-42290668	0.0882
NM_006887	chr2(.):43444540-43458745	0.172
NR_027251	chr2(.):43449349-43460994	0.1339
NM_080653	chr2(.):46733985-46752096	0.0974
NM_173074	chr2(.):46803412-46849251	0.113
NM_014171	chr2(.):46839324-46857881	0.118
NM_001171508	chr2(.):47124008-47173994	0.1241
NR_033837	chr2(.):64407212-64437619	0.145
NR_034023	chr2(.):64829445-64848616	0.1228
NM_001193493	chr2(.):65210578-65256000	0.1285
NM_003038	chr2(.):65211494-65256000	0.1278
NM_015147	chr2(.):65278494-65319142	0.1263
NM_014882	chr2(.):68996932-69058957	0.1174
NM_001166277	chr2(.):68956912-69058957	0.1284
NM_006196	chr2(.):70309584-70321334	0.2095
NR_024444	chr2(.):70346167-70357448	0.149
NM_015425	chr2(.):86248450-86338278	0.1323
NR_026984	chr2(.):86242338-86255991	0.1062
NR_015424	chr2(.):89060418-89111109	0.1545
NR_026875	chr2(.):97158382-97178846	0.1355
NM_212481	chr2(.):97197463-97223371	0.1483
NR_031608	chr2(.):133009538-133019653	0.5056
NR_024275	chr2(.):135201959-135217192	0.1114
NM_004288	chr2(.):158266130-158305604	0.1601
NM_022168	chr2(.):163118588-163180039	0.1186
NM_012198	chr2(.):163195582-163224148	0.1215
NM_001172712	chr2(.):174766186-174835430	0.1275
NM_001017371	chr2(.):174766186-174833947	0.1279
NM_003387	chr2(.):175419301-175504307	0.1347
NM_002491	chr2(.):201931461-201955473	0.1127
NM_001127183	chr2(.):201978386-202033841	0.1436
NM_032974	chr2(.):202042620-202099110	0.1504
NM_001230	chr2(.):202042620-202091383	0.1454
NM_033356	chr2(.):202120222-202157434	0.1315
NM_001080125	chr2(.):202117753-202157434	0.1361
NM_006139	chr2(.):204566197-204607557	0.1569
NM_018000	chr2(.):216802313-216883346	0.116
NM_017431	chr2(.):219682105-219701512	0.0989
NM_025216	chr2(.):219740254-219763651	0.1719
NM_006522	chr2(.):219719545-219743954	0.0976
NM_001099285	chr2(.):232568234-232583250	0.0945
NM_002601	chr2(.):232592146-232650974	0.0597
NR_036052	chr2(.):232573023-232583105	0.0898
NR_031717	chr2(.):232751951-232762008	0.0478
NM_014674	chr3(.):5224358-5266650	0.1527
NM_001195099	chr3(.):15703743-15803058	0.1159
NM_001195098	chr3(.):15703743-15844691	0.1195
NM_015199	chr3(.):15703743-15906053	0.1186
NM_003571	chr3(.):133113789-133199056	0.1297
NM_207294	chr3(.):152012193-152188569	0.1242
NM_003471	chr3(.):155855750-156261927	0.1573
NM_021038	chr3(.):151980828-152188568	0.1293
NM_172159	chr3(.):156003775-156261927	0.164
NM_172160	chr3(.):155833336-156261927	0.1566
NM_207015	chr3(.):174572110-175528428	0.1431
NM_001135095	chr3(.):171753343-172123492	0.1799
NM_022763	chr3(.):171752417-172123492	0.18
NM_181361	chr3(.):178249223-178567217	0.1456
NM_001134382	chr3(.):12933718-13119617	0.1181
NM_024923	chr3(.):13352736-13466809	0.1134
NM_014869	chr3(.):12933718-13013960	0.1017
NM_003884	chr3(.):20076523-20200896	0.11
NM_182666	chr3(.):23842438-23937807	0.1173
NM_001024847	chr3(.):30642993-30740633	0.1292
NM_001123396	chr3(.):46390234-46405868	0.1423
NM_001123041	chr3(.):46390234-46407413	0.1417
NM_181042	chr3(.):52574367-52718739	0.1026
NM_018313	chr3(.):52574367-52724866	0.1045
NM_001128615	chr3(.):56756445-57118336	0.1078
NM_007114	chr3(.):69063977-69106484	0.1227
NM_014429	chr3(.):108672086-108841993	0.109
NM_002093	chr3(.):119535801-119818264	0.1075
NM_002213	chr3(.):124476794-124611144	0.116
NM_001080412	chr3(.):141038054-141173632	0.1704
NM_016275	chr3(.):150316065-150353234	0.1408
NM_001193283	chr3(.):156539147-156648045	0.1447
NM_001004316	chr3(.):156539095-156768918	0.1495
NM_001190242	chr3(.):159969773-160106554	0.1494
NM_001190241	chr3(.):159969773-160122320	0.1569
NM_024665	chr3(.):176733541-176920048	0.1867
NM_005832	chr3(.):178271617-178567217	0.1441
NM_130446	chr3(.):183200318-183278499	0.236
NM_181573	chr3(.):186502681-186529484	0.1947
NM_002916	chr3(.):186502681-186529290	0.196
NM_173216	chr3(.):186643314-186801341	0.1976
NM_003032	chr3(.):186734664-186801341	0.2077
NM_005524	chr3(.):193848933-193861396	0.2041
NM_018184	chr3(.):5158929-5227601	0.1122
NR_027694	chr3(.):20016452-20058765	0.0968
NM_001295	chr3(.):46238199-46254832	0.1804
NM_001837	chr3(.):46278871-46313197	0.1239
NM_001100168	chr3(.):46406632-46422697	0.1541
NM_003212	chr3(.):46614075-46628952	0.0941
NM_001174136	chr3(.):46611044-46628952	0.0931
NM_024512	chr3(.):46551877-46613011	0.1312
NM_031440	chr3(.):46534484-46547439	0.1335
NM_199074	chr3(.):49052907-49065926	0.187
NM_199073	chr3(.):49053617-49065926	0.1868
NM_017730	chr3(.):49062141-49136504	0.1157
NM_177939	chr3(.):49022340-49049581	0.1192
NM_018031	chr3(.):49039636-49058386	0.1485
NM_000884	chr3(.):49056761-49071875	0.1829
NM_018114	chr3(.):49047434-49063467	0.1721
NM_199070	chr3(.):49054073-49065926	0.1886
NM_001009996	chr3(.):49047434-49061017	0.1681
NR_029690	chr3(.):49053050-49063142	0.1851
NR_029948	chr3(.):49052580-49062667	0.1853
NM_001010983	chr3(.):52723503-52745048	0.1548
NM_206825	chr3(.):52714935-52733510	0.147
NR_003687	chr3(.):52719753-52729846	0.1448
NM_014041	chr3(.):52734856-52747197	0.162
NR_003057	chr3(.):52721751-52731828	0.1378
NM_152932	chr3(.):52723503-52742622	0.1506
NR_003047	chr3(.):52718255-52728331	0.1356
NM_001193533	chr3(.):52739795-52809965	0.123
NM_198195	chr3(.):69098880-69134524	0.1304
NM_006407	chr3(.):69129089-69160239	0.165
NM_198271	chr3(.):69151038-69176746	0.1131
NR_036087	chr3(.):69093108-69103186	0.1561
NM_006100	chr3(.):98446571-98518236	0.162
NM_145037	chr3(.):101493028-101552075	0.147
NM_001134456	chr3(.):101493285-101552075	0.1468
NM_001005474	chr3(.):101541833-101584869	0.1299
NM_022135	chr3(.):119355907-119384404	0.131
NM_005694	chr3(.):119383371-119401243	0.1479
NM_015900	chr3(.):119311721-119353658	0.1083
NM_020187	chr3(.):128992683-129029135	0.1427
NM_001006109	chr3(.):128992816-129029135	0.1426
NM_006026	chr3(.):129028613-129040120	0.1971
NR_026991	chr3(.):129030113-129048412	0.1478
NR_027898	chr3(.):129926662-129997649	0.0972
NM_001145417	chr3(.):135862759-135918310	0.1337
NM_018133	chr3(.):135862759-135919688	0.1336
NR_027037	chr3(.):151975404-151992415	0.146
NR_003284	chr3(.):156522059-156534810	0.1587
NR_034008	chr3(.):156802669-156823924	0.2644
NR_034007	chr3(.):156794455-156845791	0.2108
NM_020307	chr3(.):156860585-156883482	0.2096
NM_173084	chr3(.):160148290-160172626	0.1891
NR_029663	chr3(.):160117375-160127473	0.228
NM_005496	chr3(.):160113346-160157741	0.2063
NM_001002800	chr3(.):160112429-160157741	0.206
NR_029525	chr3(.):160117532-160127613	0.2268
NM_018657	chr3(.):169485852-169512504	0.1762
NM_032487	chr3(.):169479710-169492683	0.2512
NM_001172780	chr3(.):169508428-169535574	0.1733
NM_001080460	chr3(.):169534709-169560560	0.153
NR_001566	chr3(.):169477397-169487848	0.2413
NM_001185119	chr3(.):169487052-169512504	0.1788
NR_027622	chr3(.):169656771-169689522	0.2448
NM_182610	chr3(.):169624481-169661948	0.1837
NM_003262	chr3(.):169679579-169721161	0.1965
NM_001145098	chr3(.):170070472-170115950	0.1565
NM_001145097	chr3(.):170072410-170115950	0.1545
NR_002989	chr3(.):186499463-186509641	0.2995
NM_001967	chr3(.):186496360-186512685	0.2499
NR_031650	chr3(.):186499460-186509566	0.3002
NR_002588	chr3(.):186500401-186510538	0.2891
NR_002587	chr3(.):186497584-186507654	0.2832
NR_002586	chr3(.):186500087-186510222	0.2932
NM_022147	chr3(.):187081167-187094369	0.2107
NR_024480	chr3(.):194013988-194035593	0.1787
NM_001080513	chr3(.):194055493-194077057	0.136
NM_005781	chr3(.):195585235-195640880	0.1609
NM_001010938	chr3(.):195585235-195627432	0.1442
NM_198565	chr3(.):196361655-196393874	0.1865
NM_003215	chr4(.):48132799-48276814	0.1303
NM_201431	chr4(.):74433861-74491340	0.1383
NM_177532	chr4(.):74433861-74491134	0.1384
NM_020859	chr4(.):77351252-77709405	0.122
NM_144571	chr4(.):78629540-78745544	0.1239
NM_198281	chr4(.):90160428-90234161	0.1715
NM_001008388	chr4(.):103785134-103818963	0.1158
NM_018699	chr4(.):121610928-121849013	0.1133
NM_006527	chr4(.):1689526-1719030	0.1307
NM_015173	chr4(.):37887719-38145794	0.1142
NM_001098634	chr4(.):40420271-40636883	0.1183
NM_004310	chr4(.):40193526-40251281	0.1654
NM_025009	chr4(.):56810036-56904527	0.1059
NM_001136570	chr4(.):77167852-77209929	0.1099
NM_005935	chr4(.):87923152-88067191	0.1206
NM_001166693	chr4(.):87851153-88067206	0.1197
NM_024900	chr4(.):129725778-129790787	0.1329
NM_199320	chr4(.):129725778-129801379	0.1306
NM_002039	chr4(.):144252982-144400718	0.1336
NM_153343	chr4(.):185004858-185144114	0.0996
NM_002199	chr4(.):185303875-185400726	0.1661
NM_031953	chr4(.):186126283-186290120	0.1297
NM_001013622	chr4(.):1636607-1690718	0.0791
NM_001174070	chr4(.):1636607-1690988	0.0791
NM_001127266	chr4(.):1712678-1728084	0.1355
NM_006342	chr4(.):1718265-1751897	0.1084
NR_031688	chr4(.):9552788-9562937	0.1039
NM_182485	chr4(.):14999297-15076777	0.1046
NM_017581	chr4(.):40332468-40361973	0.099
NM_001076	chr4(.):69398132-69439240	0.1175
NM_001077	chr4(.):69397902-69439245	0.1176
NM_001076	chr4(.):69507314-69541374	0.1025
NM_031889	chr4(.):71489460-71517536	0.1261
NM_144646	chr4(.):71516257-71537348	0.1755
NM_020368	chr4(.):71549195-71561268	0.1501
NM_014961	chr4(.):71582695-71664274	0.1074
NM_001130709	chr4(.):71565653-71660614	0.1118
NM_017426	chr4(.):77030816-77074655	0.1118
NM_005506	chr4(.):77074893-77140035	0.1326
NM_020236	chr4(.):78778804-78878944	0.1217
NM_144645	chr4(.):87792357-87818575	0.0961
NM_181891	chr4(.):103712132-103753708	0.1414
NM_181890	chr4(.):103712132-103795032	0.1262
NM_181892	chr4(.):103712132-103753340	0.1414
NM_003340	chr4(.):103712132-103754105	0.1415
NM_181893	chr4(.):103712132-103795003	0.1262
NM_181889	chr4(.):103712132-103754307	0.1413
NM_025212	chr4(.):105388342-105417467	0.1409
NM_001104631	chr5(.):58259865-59194621	0.1032
NM_006203	chr5(.):58259865-58887324	0.1015
NM_001165899	chr5(.):58259865-59788925	0.0994
NM_001197218	chr5(.):58259865-59069438	0.1035
NM_002372	chr5(.):109020155-109208429	0.1299
NM_001131005	chr5(.):88009057-88204922	0.1368
NM_002397	chr5(.):88009057-88184283	0.141
NM_001193349	chr5(.):88009057-88124744	0.1401
NM_152756	chr5(.):38933021-39079501	0.113
NM_024669	chr5(.):55390506-55534186	0.1231
NR_015436	chr5(.):87831596-87985620	0.1074
NR_027435	chr5(.):90671163-90721532	0.1124
NM_005575	chr5(.):96266345-96370115	0.1186
NM_175920	chr5(.):96289155-96370115	0.1117
NM_152624	chr5(.):112307432-112361667	0.1242
NM_001077654	chr5(.):118599417-118735294	0.1331
NM_001038702	chr5(.):130594701-130735382	0.1274
NM_003060	chr5(.):131700400-131736306	0.1169
NM_001020825	chr5(.):142652495-142788254	0.1247
NM_001018076	chr5(.):142652495-142789045	0.1249
NM_001018075	chr5(.):142652495-142820077	0.1228
NM_138379	chr5(.):156341292-156395266	0.1156
NM_005990	chr5(.):171464073-171620346	0.1101
NM_022455	chr5(.):176555832-176732214	0.1109
NM_172349	chr5(.):176555079-176732214	0.1112
