REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM11.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
2_MACS_peak_6609_lociStitched	chr15	93443244	93449007	2	5747	19724.4438	74	1	CHD2,MIR3175	LOC100507217	MIR3175	MIR3175	2.1298	74	1
1_MACS_peak_2708_lociStitched	chr10	104401553	104406899	1	5347	21882.7818	75	1	TRIM8		TRIM8	TRIM8	1.2085	75	1
1_MACS_peak_1251_lociStitched	chr1	154971274	154977150	1	5877	17941.1908	76	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	MIR4258	1.555	76	1
2_MACS_peak_10692_lociStitched	chr2	111875069	111881101	2	6028	16568.6976	77	1	ACOXL,BCL2L11		BCL2L11	BCL2L11	0.4555	77	1
2_MACS_peak_1653_lociStitched	chr1	200986694	200992859	2	6084	15993.243	78	1	KIF21B		KIF21B	KIF21B	0.4064	78	1
2_MACS_peak_10881_lociStitched	chr2	158295709	158301507	2	5670	19092.814	79	1	CYTIP		CYTIP	CYTIP	0.6359	79	1
2_MACS_peak_15066_lociStitched	chr5	75837983	75844317	2	6096	15237.7038	80	1	IQGAP2		F2RL2	F2RL2	NONE	80	1
1_MACS_peak_9765_lociStitched	chr19	49375380	49379946	1	4567	25614.8034	81	1	PPP1R15A	NUCB1,HSD17B14,PLEKHA4,TULP2	PPP1R15A	PPP1R15A	1.9764	81	1
4_MACS_peak_1707_lociStitched	chr1	204376127	204381912	4	5436	20632.2025	82	1	PPP1R15B	PLEKHA6,LOC127841	PPP1R15B	PPP1R15B	1.2403	82	1
2_MACS_peak_14579_lociStitched	chr4	153453481	153459350	2	5567	19483.3193	83	1	DKFZP434I0714,FBXW7	MIR3140	FBXW7	MIR3140	0.2784	83	1
1_MACS_peak_1572_lociStitched	chr1	184019233	184022166	1	2934	31068.9757	84	1	TSEN15	GLT25D2	TSEN15	TSEN15	1.1065	84	1
2_MACS_peak_15250_lociStitched	chr5	108743971	108749451	2	5471	20084.2	85	1	PJA2		PJA2	PJA2	0.3454	85	1
2_MACS_peak_17483_lociStitched	chr7	104581180	104586681	2	5144	22202.036	86	1		LOC723809	LOC723809	LOC723809	0.0894	86	1
6_MACS_peak_779_lociStitched	chr1	73830477	73837301	6	5679	18426.1648	87	1			LRRIQ3	LRRIQ3	NONE	87	1
1_MACS_peak_5496_lociStitched	chr14	50358281	50361958	1	3678	28672.1429	88	1	ARF6	SDCCAG1	ARF6	ARF6	2.2849	88	1
5_MACS_peak_2385_lociStitched	chr10	63659076	63665371	5	6200	12753.0405	89	1	ARID5B		ARID5B	ARID5B	0.3449	89	1
1_MACS_peak_5491_lociStitched	chr14	50233517	50236339	1	2823	30674.5756	90	1	KLHDC2		KLHDC2	KLHDC2	1.4068	90	1
1_MACS_peak_18945_lociStitched	chr9	86320791	86324118	1	3328	29311.8681	91	1	UBQLN1		UBQLN1	UBQLN1	0.6759	91	1
3_MACS_peak_10405_lociStitched	chr2	70311991	70316916	3	4668	23907.4275	92	1	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	2.1612	92	1
3_MACS_peak_15569_lociStitched	chr5	150457445	150463516	3	5611	17644.1473	93	1	TNIP1		TNIP1	TNIP1	0.5408	93	1
1_MACS_peak_18654_lociStitched	chr9	20620192	20625206	1	5015	21798.8664	94	1	MLLT3	KIAA1797	MLLT3	MLLT3	0.4435	94	1
2_MACS_peak_14694_lociStitched	chr4	185200658	185206811	2	6135	12099.8745	95	1			ENPP6	ENPP6	NONE	95	1
1_MACS_peak_15677_lociStitched	chr5	172196341	172200113	1	3773	27377.176	96	1	DUSP1		DUSP1	DUSP1	2.912	96	1
2_MACS_peak_11311_lociStitched	chr2	232570591	232576048	2	5344	19128.4221	97	1	PTMA	MIR1244-1	PTMA	PTMA	1.4435	97	1
1_MACS_peak_8058_lociStitched	chr17	43660272	43663843	1	3572	27751.3123	98	1		MGC57346,LOC644172	LOC644172	MGC57346	0.1329	98	1
1_MACS_peak_15949_lociStitched	chr6	16758953	16763908	1	4956	21367.942	99	1	ATXN1		ATXN1	ATXN1	0.2122	99	1
3_MACS_peak_1285_lociStitched	chr1	155946021	155951817	3	5647	15990.5844	100	1	ARHGEF2	RXFP4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	0.6668	100	1
1_MACS_peak_3288_lociStitched	chr11	62647469	62650928	1	3460	27797.9076	101	1	SLC3A2	STX5,WDR74,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1,CHRM1	SLC3A2	WDR74	1.5336	101	1
1_MACS_peak_15190_lociStitched	chr5	95293535	95298516	1	4982	20587.4692	102	1	ELL2		ELL2	ELL2	0.4759	102	1
1_MACS_peak_2753_lociStitched	chr10	111967052	111972597	1	5546	16185.855	103	1	MXI1	MXI1	MXI1	MXI1	0.3	103	1
3_MACS_peak_2470_lociStitched	chr10	74031670	74036820	3	5073	19811.02	104	1	DDIT4		DDIT4	DDIT4	1.7455	104	1
1_MACS_peak_18756_lociStitched	chr9	35070478	35073624	1	3147	28229.058	105	1	VCP	C9orf131,FANCG,PIGO,STOML2,KIAA1539	VCP	FANCG	1.9867	105	1
6_MACS_peak_8414_lociStitched	chr17	74257702	74264573	6	5777	13223.2395	106	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	1.4313	106	1
2_MACS_peak_12113_lociStitched	chr21	44843182	44848349	2	5100	18831.6482	107	1	SIK1	C21orf125,C21orf84	SIK1	SIK1	1.6175	107	1
1_MACS_peak_1381_lociStitched	chr1	161013743	161018204	1	4462	22660.0956	108	1	USF1,ARHGAP30	KLHDC9,F11R,TSTD1,PVRL4	USF1	USF1	1.6209	108	1
2_MACS_peak_19392_lociStitched	chr9	134549071	134554938	2	5819	12126.5023	109	1	RAPGEF1		RAPGEF1	RAPGEF1	0.3411	109	1
1_MACS_peak_12790_lociStitched	chr3	15835485	15839859	1	4375	23088.5964	110	1	ANKRD28	ANKRD28	ANKRD28	ANKRD28	0.2744	110	1
1_MACS_peak_1027_lociStitched	chr1	143742355	143745847	1	3493	26726.7204	111	1	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	FLJ39739	0.6479	111	1
1_MACS_peak_18596_lociStitched	chr9	5626241	5630724	1	4484	22483.1416	112	1	KIAA1432	KIAA1432	KIAA1432	KIAA1432	0.2868	112	1
2_MACS_peak_17002_lociStitched	chr7	26003548	26009232	2	5603	14384.4988	113	1		MIR148A	MIR148A	MIR148A	1.302	113	1
3_MACS_peak_19190_lociStitched	chr9	117263862	117268774	3	4880	20074.8528	114	1	DFNB31		DFNB31	DFNB31	0.4872	114	1
2_MACS_peak_10082_lociStitched	chr2	30368437	30373360	2	4797	20528.91	115	1	YPEL5		YPEL5	YPEL5	0.9496	115	1
5_MACS_peak_5318_lociStitched	chr14	21731805	21738489	5	5532	14630.6076	116	1	HNRNPC	RPGRIP1	HNRNPC	HNRNPC	0.3028	116	1
1_MACS_peak_14093_lociStitched	chr4	40056138	40059958	1	3821	24983.564	117	1	N4BP2,LOC344967		N4BP2	N4BP2	0.3178	117	1
1_MACS_peak_14421_lociStitched	chr4	119754586	119758327	1	3742	25066.1964	118	1	SEC24D		SEC24D	SEC24D	0.3411	118	1
3_MACS_peak_12643_lociStitched	chr22	50353237	50358735	3	5064	17934.476	119	1	PIM3	CRELD2,ALG12	PIM3	PIM3	1.6055	119	1
3_MACS_peak_13547_lociStitched	chr3	141102559	141108583	3	5600	12974.4912	120	1	ZBTB38		ZBTB38	ZBTB38	0.4254	120	1
1_MACS_peak_16079_lociStitched	chr6	30581881	30586379	1	4499	21392.488	121	1	MRPS18B,PPP1R10	ABCF1,MIR877,ATAT1,C6orf136	PPP1R10	PPP1R10	0.8959	121	1
6_MACS_peak_5859_lociStitched	chr14	106037515	106044350	6	5774	10286.675	122	1		TMEM121	TMEM121	TMEM121	0.0584	122	1
1_MACS_peak_9367_lociStitched	chr19	18389287	18393633	1	4347	21773.46	123	1	MIR3188,JUND	PDE4C,LOC729966,KIAA1683,LSM4	JUND	JUND	1.9162	123	1
1_MACS_peak_1133_lociStitched	chr1	149856160	149860541	1	4382	21478.2906	124	1	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	HIST2H2BE	1.9118	124	1
1_MACS_peak_19092_lociStitched	chr9	102581107	102585385	1	4279	21956.835	125	1	NR4A3	NR4A3	NR4A3	NR4A3	0.5498	125	1
1_MACS_peak_1294_lociStitched	chr1	156073027	156077403	1	4377	21418.7696	126	1		ROBLD3,RAB25,LMNA,SEMA4A,UBQLN4,MEX3A	LMNA	LMNA	0.9957	126	1
3_MACS_peak_2197_lociStitched	chr10	17269126	17274190	3	4869	18296.232	127	1	VIM	TRDMT1	VIM	VIM	1.1209	127	1
1_MACS_peak_5108_lociStitched	chr13	50697106	50701827	1	4722	19247.9891	128	1	DLEU2	DLEU1,ST13P4	DLEU2	DLEU2	0.2488	128	1
1_MACS_peak_4187_lociStitched	chr12	46120199	46125176	1	4978	17406.0621	129	1	ARID2,LOC400027		ARID2	ARID2	0.1679	129	1
3_MACS_peak_8911_lociStitched	chr19	1248105	1253569	3	5438	13244.736	130	1	MIDN	STK11,ATP5D,CIRBP,C19orf24,EFNA2,C19orf26,C19orf23	MIDN	MIDN	1.2944	130	1
3_MACS_peak_5_lociStitched	chr1	875771	881089	3	5154	15943.364	131	1	SAMD11,NOC2L	KLHL17,PLEKHN1,FLJ39609,C1orf170	NOC2L	NOC2L	0.8305	131	1
1_MACS_peak_7889_lociStitched	chr17	36856732	36862233	1	5502	12454.264	132	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	0.4887	132	1
1_MACS_peak_19459_lociStitched	chr9	139376337	139379342	1	3006	26599.9595	133	1	C9orf163,SEC16A	INPP5E	C9orf163	C9orf163	2.1801	133	1
1_MACS_peak_19151_lociStitched	chr9	113017153	113021638	1	4486	20365.9365	134	1	TXN	C9orf152	TXN	TXN	1.075	134	1
1_MACS_peak_9678_lociStitched	chr19	45970266	45973864	1	3599	24352.7032	135	1	FOSB	PPM1N,VASP,ERCC1,RTN2	FOSB	FOSB	1.9002	135	1
1_MACS_peak_1296_lociStitched	chr1	156092476	156097306	1	4831	17779.713	136	1	LMNA	SEMA4A,MEX3A	LMNA	LMNA	0.9957	136	1
1_MACS_peak_1230_lociStitched	chr1	154297125	154302104	1	4980	16520.8199	137	1	AQP10,ATP8B2		ATP8B2	ATP8B2	0.8609	137	1
1_MACS_peak_17007_lociStitched	chr7	26237789	26242575	1	4787	17654.1182	138	1	CBX3,HNRNPA2B1	NFE2L3	HNRNPA2B1	HNRNPA2B1	1.0065	138	1
1_MACS_peak_692_lociStitched	chr1	59247283	59251527	1	4245	20830.8252	139	1	LOC100131060,JUN		JUN	JUN	1.6752	139	1
1_MACS_peak_12343_lociStitched	chr22	29662917	29666278	1	3362	24691.2504	140	1	EWSR1,RHBDD3	GAS2L1,RASL10A	EWSR1	EWSR1	0.6584	140	1
1_MACS_peak_20009_lociStitched	chrX	123093094	123097906	1	4813	17194.2384	141	1	STAG2		STAG2	STAG2	0.201	141	1
2_MACS_peak_240_lociStitched	chr1	22105822	22110477	2	4638	18163.3445	142	1	USP48	LDLRAD2	USP48	USP48	0.2244	142	1
2_MACS_peak_14843_lociStitched	chr5	32582464	32587469	2	4935	15935.92	143	1	SUB1		SUB1	SUB1	0.7713	143	1
1_MACS_peak_16317_lociStitched	chr6	43737257	43741376	1	4120	21127.9986	144	1	VEGFA		VEGFA	VEGFA	0.9006	144	1
2_MACS_peak_18936_lociStitched	chr9	82185054	82189015	2	3884	22133.6719	145	1	TLE4		TLE4	TLE4	0.2925	145	1
2_MACS_peak_15452_lociStitched	chr5	139014758	139019042	2	4251	20277.4572	146	1		CXXC5	CXXC5	CXXC5	0.8007	146	1
1_MACS_peak_1263_lociStitched	chr1	155176721	155179691	1	2971	25500.42	147	1	MTX1,THBS3	TRIM46,MIR92B,KRTCAP2,MUC1,GBAP1,GBA,FAM189B	MTX1	MTX1	1.7914	147	1
4_MACS_peak_11750_lociStitched	chr20	45984490	45989740	4	5167	13373.325	148	1	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.2417	148	1
2_MACS_peak_1621_lociStitched	chr1	197741597	197746639	2	4893	15764.3172	149	1	DENND1B		DENND1B	DENND1B	0.1858	149	1
1_MACS_peak_208_lociStitched	chr1	17764170	17768847	1	4678	17226.7941	150	1	RCC2		RCC2	RCC2	0.4997	150	1
1_MACS_peak_12043_lociStitched	chr21	38737714	38741343	1	3630	22800.6441	152	1	DYRK1A	DYRK1A	DYRK1A	DYRK1A	0.2309	152	1
1_MACS_peak_10173_lociStitched	chr2	43450489	43455358	1	4870	15569.1144	153	1	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	1.7867	153	1
1_MACS_peak_12105_lociStitched	chr21	44772671	44776740	1	4070	20635.1197	154	1			SIK1	SIK1	1.6175	154	1
5_MACS_peak_15145_lociStitched	chr5	88175733	88181330	5	5273	11443.6262	155	1	MEF2C		MEF2C	MEF2C	0.2989	155	1
3_MACS_peak_2747_lociStitched	chr10	106108392	106113429	3	4989	14122.2369	156	1		CCDC147,ITPRIP	CCDC147	ITPRIP	0.6678	156	1
2_MACS_peak_11161_lociStitched	chr2	208028600	208032334	2	3440	23248.2574	157	1	KLF7		KLF7	KLF7	0.3354	157	1
5_MACS_peak_14528_lociStitched	chr4	144276032	144281537	5	5294	10572.3525	158	1	GAB1		GAB1	GAB1	0.3159	158	1
1_MACS_peak_12890_lociStitched	chr3	39191920	39195696	1	3777	21681.0368	159	1	CSRNP1	TTC21A,GORASP1,XIRP1	CSRNP1	CSRNP1	1.2599	159	1
1_MACS_peak_14833_lociStitched	chr5	32172265	32175522	1	3258	23771.2145	160	1	GOLPH3		GOLPH3	GOLPH3	0.5348	160	1
1_MACS_peak_2074_lociStitched	chr1	245024632	245028760	1	4129	19782.6144	161	1	HNRNPU	FAM36A,NCRNA00201	HNRNPU	FAM36A	1.1395	161	1
1_MACS_peak_17040_lociStitched	chr7	30633302	30636573	1	3272	23518.1629	162	1	GARS		GARS	GARS	0.5603	162	1
2_MACS_peak_18801_lociStitched	chr9	37528060	37532320	2	4233	18949.758	164	1	FBXO10	POLR1E	POLR1E	POLR1E	0.1698	164	1
1_MACS_peak_20147_lociStitched	chrX	153235527	153239322	1	3796	21219.363	165	1	TMEM187,HCFC1	MIR3202-1,ARHGAP4,NAA10,RENBP,MIR3202-2,IRAK1,MIR718	TMEM187	TMEM187	1.4623	165	1
2_MACS_peak_14631_lociStitched	chr4	160023452	160028076	2	4297	18496	166	1		MIR3688	MIR3688	MIR3688	0.1183	166	1
2_MACS_peak_13281_lociStitched	chr3	104237583	104242527	2	4930	13516.896	167	1			MIR548A3	MIR548A3	NONE	167	1
1_MACS_peak_5494_lociStitched	chr14	50328058	50331125	1	3068	23840.7111	168	1		ARF6,SDCCAG1	SDCCAG1	ARF6	2.2849	168	1
2_MACS_peak_15424_lociStitched	chr5	137087449	137091213	2	3752	21053.934	169	1	HNRNPA0	NPY6R,KLHL3	HNRNPA0	HNRNPA0	1.7341	169	1
1_MACS_peak_14363_lociStitched	chr4	103746016	103750225	1	4210	18612.6189	170	1	UBE2D3	CISD2	UBE2D3	UBE2D3	0.558	170	1
1_MACS_peak_8065_lociStitched	chr17	44268521	44272366	1	3846	20503.4625	171	1	LOC644246,KIAA1267		KIAA1267	KIAA1267	0.3963	171	1
