REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
16_MACS_peak_33901_lociStitched	chr9	138864921	138925338	16	56788	78397.0992	4585.6503	91	NACC2	UBAC1	UBAC1	UBAC1	0.1451	91	1
18_MACS_peak_26761_lociStitched	chr4	3700319	3764886	18	59225	70261.8094	5494.6517	92		ADRA2C,LOC100133461	ADRA2C	LOC100133461	1.0960999999999999	92	1
10_MACS_peak_6741_lociStitched	chr11	61272473	61329285	10	54678	77718.816	5107.3988	93	LRRC10B,SYT7	C11orf66	LRRC10B	LRRC10B	0.9401999999999999	93	1
17_MACS_peak_398_lociStitched	chr1	3005450	3066197	17	56730	72671.6361	3887.808	94	PRDM16,MIR4251	FLJ42875	MIR4251	MIR4251	1.1162999999999998	94	1
18_MACS_peak_2117_lociStitched	chr1	17653912	17717231	18	58335	70391.7323	5521.4168	95	PADI4,PADI6	RCC2	PADI6	PADI6	0.7948000000000001	95	1
8_MACS_peak_217_lociStitched	chr1	2243737	2294416	8	48732	84882.2571	3861.7398	96	MORN1,LOC100129534	RER1,PEX10	LOC100129534	LOC100129534	1.6331	96	1
9_MACS_peak_1017_lociStitched	chr1	6180796	6234012	9	51710	80393.4112	4677.6864	97	CHD5	RNF207,RPL22	CHD5	CHD5	1.1232	97	1
11_MACS_peak_12491_lociStitched	chr17	724942	781506	11	55164	74540.0392	5294.3904	98	NXN	RNMTL1,GLOD4	GLOD4	RNMTL1	0.05539999999999999	98	1
12_MACS_peak_10657_lociStitched	chr16	1084611	1140595	12	53113	76574.9152	3661.3536	99	SSTR5,LOC146336,C1QTNF8		SSTR5	SSTR5	1.1357	99	1
15_MACS_peak_2043_lociStitched	chr1	17409080	17467816	15	56338	71904.6112	5315.608	100	PADI2	SDHB	PADI2	PADI2	1.0826	100	1
9_MACS_peak_19684_lociStitched	chr19	49519975	49574986	9	53533	75882.1734	5066.5131	101	CGB2,SNAR-G1,CGB5,LHB,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,C19orf73	CGB5	CGB5	1.3834000000000002	101	1
18_MACS_peak_2589_lociStitched	chr1	19009173	19069880	18	57374	66862.6898	5251.1555	102	PAX7		PAX7	PAX7	1.0202	102	1
4_MACS_peak_32597_lociStitched	chr9	129370708	129419084	4	47743	82568.1568	4179.6864	103	LMX1B		LMX1B	LMX1B	1.4023	103	1
15_MACS_peak_28127_lociStitched	chr5	176119087	176177217	15	55482	69610.675	4964.302	104		TSPAN17	TSPAN17	TSPAN17	0.1198	104	1
4_MACS_peak_22851_lociStitched	chr20	61590384	61640713	4	49770	79167.517	4569.8732	105	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	BHLHE23	1.2507	105	1
13_MACS_peak_140_lociStitched	chr1	1853431	1910422	13	52739	74059.8045	4667.5629	106	KIAA1751	CALML6,GABRD,GNB1,TMEM52	TMEM52	GABRD	1.5124	106	1
11_MACS_peak_438_lociStitched	chr1	3178178	3234963	11	54258	69618.41	4094.1985	107	PRDM16		MIR4251	MIR4251	1.1162999999999998	107	1
7_MACS_peak_26357_lociStitched	chr3	128168428	128216714	7	47279	81767.5124	4616.1416	108	DNAJB8,GATA2	LOC90246	DNAJB8	DNAJB8	1.2574	108	1
9_MACS_peak_2951_lociStitched	chr1	21879683	21933950	9	50598	76994.0196	5122.8048	109	ALPL,RAP1GAP		ALPL	ALPL	0.9431999999999999	109	1
14_MACS_peak_25420_lociStitched	chr22	45892440	45949455	14	54438	68275.4625	4538.394	110	FBLN1		FBLN1	FBLN1	1.0534	110	1
6_MACS_peak_31575_lociStitched	chr8	142358795	142412578	6	52463	70740.7799	4872.7398	111	GPR20	LOC731779,PTP4A3	GPR20	GPR20	1.4436	111	1
4_MACS_peak_15382_lociStitched	chr17	79112983	79159701	4	45841	80121.37	4288.7124	112	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	LOC388428	1.5394999999999999	112	1
31_MACS_peak_15166_lociStitched	chr17	77612268	77674066	31	54545	62768.2286	4443.2762	113		ENPP7	ENPP7	ENPP7	1.0198	113	1
12_MACS_peak_6911_lociStitched	chr11	64284917	64340868	12	52039	68221.0543	4817.3811	114	SLC22A11	SLC22A12	SLC22A11	SLC22A11	1.0634	114	1
12_MACS_peak_2085_lociStitched	chr1	17534602	17588702	12	52734	66721.53	4831.13	115	PADI1,PADI3	PADI4	PADI3	PADI3	1.0186000000000002	115	1
26_MACS_peak_14664_lociStitched	chr17	72587698	72651047	26	53891	65623.2291	6803.6826	116	C17orf77,CD300LD,CD300E	RAB37,CD300C	CD300E	CD300C	1.0257	116	1
21_MACS_peak_1769_lociStitched	chr1	11472688	11529825	21	52961	65496.1431	5010.9149	117		PTCHD2	PTCHD2	PTCHD2	0.5508	117	1
17_MACS_peak_28734_lociStitched	chr6	34041417	34098491	17	52087	66565.4062	4628.7014	118	GRM4		GRM4	GRM4	1.0516	118	1
25_MACS_peak_19303_lociStitched	chr19	46955740	47011692	25	51941	67013.7104	5567.224	119	PNMAL1,PNMAL2	CCDC8	PNMAL1	PNMAL1	1.0921999999999998	119	1
19_MACS_peak_16289_lociStitched	chr19	5731744	5788833	19	51934	67159.4996	7410.1522	120	TMEM146,PRR22,DUS3L	RPL36,NRTN,LONP1	PRR22	PRR22	0.77	120	1
6_MACS_peak_14086_lociStitched	chr17	48032919	48079330	6	45324	74596.4003	4353.3518	121	DLX4,DLX3		DLX4	DLX4	1.7291	121	1
19_MACS_peak_3075_lociStitched	chr1	22906803	22961902	19	50208	64945.1913	4474.0388	122	EPHA8	C1QA,C1QC,C1QB	C1QA	C1QB	0.8913	122	1
9_MACS_peak_23250_lociStitched	chr21	43763119	43809058	9	44166	77113.2054	6748.4391	123	TFF2,TFF1,TMPRSS3	UBASH3A,TFF3	TFF1	TFF3	1.9009000000000003	123	1
14_MACS_peak_16625_lociStitched	chr19	8172766	8224347	14	47429	68520.2004	6426.9926	124	FBN3	LASS4	FBN3	FBN3	0.9226	124	1
17_MACS_peak_21994_lociStitched	chr20	56117814	56171923	17	48999	63107.3267	5161.9986	125	PCK1	CTCFL,ZBP1	PCK1	PCK1	1.3125	125	1
20_MACS_peak_17157_lociStitched	chr19	14269047	14323278	20	50711	58520.6721	4484.9037	126	LPHN1	PRKACA,ASF1B	LPHN1	LPHN1	0.7843	126	1
5_MACS_peak_15813_lociStitched	chr19	1508316	1549465	5	40031	77240.7879	5402.8637	127	PLK5P,ADAMTSL5	REEP6,C19orf25,PCSK4,MEX3D,MBD3	PLK5P	PLK5P	2.0020000000000002	127	1
4_MACS_peak_26704_lociStitched	chr4	3458577	3499314	4	40052	75347.1552	3552.2664	128	DOK7	HGFAC,LRPAP1	DOK7	DOK7	1.7213	128	1
23_MACS_peak_27084_lociStitched	chr4	7459054	7513718	23	49885	58069.5672	3935.808	129	SORCS2,MIR4274	PSAPL1	MIR4274	PSAPL1	1.0914	129	1
3_MACS_peak_30136_lociStitched	chr7	150862097	150905932	3	43756	71683.3755	6277.172	130	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	ASB10	1.3354	130	1
5_MACS_peak_23560_lociStitched	chr21	46817416	46856489	5	38260	77466.1298	4430.8782	131	COL18A1,NCRNA00175	COL18A1	NCRNA00175	NCRNA00175	2.3989000000000003	131	1
11_MACS_peak_506_lociStitched	chr1	3489822	3536155	11	44947	66890.9521	3739.0731	132	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	MIR551A	1.5168	132	1
4_MACS_peak_24604_lociStitched	chr22	37469262	37513869	4	44469	67057.7031	4358.1039	133	TMPRSS6	KCTD17,IL2RB	TMPRSS6	TMPRSS6	1.4004999999999999	133	1
15_MACS_peak_18284_lociStitched	chr19	35977884	36028818	15	47890	60402.6306	4696.1148	134	GAPDHS,KRTDAP,DMKN,SBSN	FFAR2,TMEM147,ATP4A	DMKN	DMKN	1.2205	134	1
6_MACS_peak_10680_lociStitched	chr16	1204329	1248331	6	42897	66729.033	2846.9294	135	CACNA1H	TPSAB1,TPSG1,TPSB2	CACNA1H	TPSG1	1.9293	135	1
15_MACS_peak_10589_lociStitched	chr16	859041	907561	15	45322	63464.16	3988.344	136	PRR25,LMF1	MSLN,MIR662,CHTF18,MSLNL,RPUSD1,GNG13	PRR25	MSLNL	1.153	136	1
16_MACS_peak_6361_lociStitched	chr11	1715693	1766901	16	47742	59268.1392	4731.6192	137	KRTAP5-6,MOB2,LOC402778	FAM99A,FAM99B,CTSD	KRTAP5-6	FAM99A	1.758	137	1
5_MACS_peak_28490_lociStitched	chr6	30408710	30451299	5	41890	70655.151	5826.1752	138		HLA-E	HLA-E	HLA-E	0.023900000000000005	138	1
20_MACS_peak_14912_lociStitched	chr17	75878557	75931590	20	46948	61035.6797	5239.6604	139	FLJ45079		FLJ45079	FLJ45079	0.7741	139	1
9_MACS_peak_6400_lociStitched	chr11	1916997	1960800	9	41934	68223.1725	3701.3535	140	TNNT3	LSP1,MRPL23,MIR4298	TNNT3	TNNT3	1.5061	140	1
8_MACS_peak_22913_lociStitched	chr20	61936795	61983622	8	44325	64045.2879	3647.8233	141	COL20A1,CHRNA4	ARFGAP1,MIR4326	CHRNA4	CHRNA4	1.2351	141	1
3_MACS_peak_23781_lociStitched	chr22	20152002	20193497	3	40795	69097.474	3427.487	142		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	LOC150197	0.9928	142	1
