#29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_ROSE/29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam
#Using cutoff of 19861.1742 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	isSuperStretch
6_MACS_peak_32964_lociStitched	chr9	133769575	133829066	6	58794	102705.2624	5074.5823	63	1
17_MACS_peak_24764_lociStitched	chr22	40036256	40107248	17	66143	90614.1888	6034.32	64	1
9_MACS_peak_1047_lociStitched	chr1	6470625	6530859	9	58220	101861.7174	5415.0366	65	1
12_MACS_peak_71_lociStitched	chr1	1088861	1149934	12	58731	97722.9073	4672.0845	66	1
13_MACS_peak_469_lociStitched	chr1	3296781	3364326	13	64270	88328.5965	4505.2515	67	1
13_MACS_peak_33885_lociStitched	chr9	138625485	138690992	13	61640	92646.5501	4467.5774	68	1
19_MACS_peak_3006_lociStitched	chr1	22542473	22613471	19	66364	85112.4024	6538.9158	69	1
24_MACS_peak_16199_lociStitched	chr19	5293601	5365189	24	65726	86421.0336	8218.3024	70	1
9_MACS_peak_228_lociStitched	chr1	2347366	2411425	9	61939	89106.069	4554.5949	71	1
16_MACS_peak_33918_lociStitched	chr9	138932400	138998436	16	61508	87524.1144	4285.7364	72	1
12_MACS_peak_1676_lociStitched	chr1	10914134	10979169	12	63142	85716.13	5892.171	73	1
11_MACS_peak_10669_lociStitched	chr16	1142452	1202386	11	57470	92514.1224	4542.9972	74	1
8_MACS_peak_26662_lociStitched	chr4	1751863	1808646	8	54281	97093.2517	4764.0937	75	1
13_MACS_peak_25053_lociStitched	chr22	44657358	44724354	13	63372	82585.9692	5259.186	76	1
34_MACS_peak_1271_lociStitched	chr1	7477926	7552680	34	66741	74215.7712	5434.6158	77	1
6_MACS_peak_23760_lociStitched	chr22	19705622	19763017	6	55674	92176.37	4826.9195	78	1
13_MACS_peak_16312_lociStitched	chr19	5827980	5891112	13	61537	84666.3252	8383.9296	79	1
22_MACS_peak_26235_lociStitched	chr3	50445298	50515501	22	64380	77026.7316	6592.0617	80	1
7_MACS_peak_16103_lociStitched	chr19	4183720	4242125	7	57127	91765.936	8036.528	81	1
7_MACS_peak_22818_lociStitched	chr20	61316596	61372450	7	54952	91075.5324	4775.517	82	1
7_MACS_peak_22937_lociStitched	chr20	62065299	62122934	7	55707	89144.0545	4512.8205	83	1
21_MACS_peak_3160_lociStitched	chr1	23147237	23215960	21	63203	76474.9544	6384.3667	84	1
5_MACS_peak_22904_lociStitched	chr20	61850004	61901561	5	51168	92890.2469	4299.8538	85	1
7_MACS_peak_35_lociStitched	chr1	829524	879121	7	47756	97160.523	4642.2792	86	1
1_MACS_peak_19835_lociStitched	chr19	50594105	50643169	1	49065	104565.1968	14370.8456	87	1
22_MACS_peak_7449_lociStitched	chr11	69970494	70036994	22	59945	77073.5	5213.6	88	1
14_MACS_peak_1954_lociStitched	chr1	16426839	16489589	14	57704	80746.7	5691.425	89	1
16_MACS_peak_2176_lociStitched	chr1	17917113	17978335	16	59766	73815.3654	5265.092	90	1
16_MACS_peak_33901_lociStitched	chr9	138864921	138925338	16	56788	78397.0992	4585.6503	91	1
18_MACS_peak_26761_lociStitched	chr4	3700319	3764886	18	59225	70261.8094	5494.6517	92	1
10_MACS_peak_6741_lociStitched	chr11	61272473	61329285	10	54678	77718.816	5107.3988	93	1
17_MACS_peak_398_lociStitched	chr1	3005450	3066197	17	56730	72671.6361	3887.808	94	1
18_MACS_peak_2117_lociStitched	chr1	17653912	17717231	18	58335	70391.7323	5521.4168	95	1
8_MACS_peak_217_lociStitched	chr1	2243737	2294416	8	48732	84882.2571	3861.7398	96	1
9_MACS_peak_1017_lociStitched	chr1	6180796	6234012	9	51710	80393.4112	4677.6864	97	1
11_MACS_peak_12491_lociStitched	chr17	724942	781506	11	55164	74540.0392	5294.3904	98	1
12_MACS_peak_10657_lociStitched	chr16	1084611	1140595	12	53113	76574.9152	3661.3536	99	1
15_MACS_peak_2043_lociStitched	chr1	17409080	17467816	15	56338	71904.6112	5315.608	100	1
9_MACS_peak_19684_lociStitched	chr19	49519975	49574986	9	53533	75882.1734	5066.5131	101	1
18_MACS_peak_2589_lociStitched	chr1	19009173	19069880	18	57374	66862.6898	5251.1555	102	1
4_MACS_peak_32597_lociStitched	chr9	129370708	129419084	4	47743	82568.1568	4179.6864	103	1
15_MACS_peak_28127_lociStitched	chr5	176119087	176177217	15	55482	69610.675	4964.302	104	1
4_MACS_peak_22851_lociStitched	chr20	61590384	61640713	4	49770	79167.517	4569.8732	105	1
13_MACS_peak_140_lociStitched	chr1	1853431	1910422	13	52739	74059.8045	4667.5629	106	1
11_MACS_peak_438_lociStitched	chr1	3178178	3234963	11	54258	69618.41	4094.1985	107	1
7_MACS_peak_26357_lociStitched	chr3	128168428	128216714	7	47279	81767.5124	4616.1416	108	1
9_MACS_peak_2951_lociStitched	chr1	21879683	21933950	9	50598	76994.0196	5122.8048	109	1
14_MACS_peak_25420_lociStitched	chr22	45892440	45949455	14	54438	68275.4625	4538.394	110	1
6_MACS_peak_31575_lociStitched	chr8	142358795	142412578	6	52463	70740.7799	4872.7398	111	1
4_MACS_peak_15382_lociStitched	chr17	79112983	79159701	4	45841	80121.37	4288.7124	112	1
31_MACS_peak_15166_lociStitched	chr17	77612268	77674066	31	54545	62768.2286	4443.2762	113	1
12_MACS_peak_6911_lociStitched	chr11	64284917	64340868	12	52039	68221.0543	4817.3811	114	1
12_MACS_peak_2085_lociStitched	chr1	17534602	17588702	12	52734	66721.53	4831.13	115	1
26_MACS_peak_14664_lociStitched	chr17	72587698	72651047	26	53891	65623.2291	6803.6826	116	1
21_MACS_peak_1769_lociStitched	chr1	11472688	11529825	21	52961	65496.1431	5010.9149	117	1
17_MACS_peak_28734_lociStitched	chr6	34041417	34098491	17	52087	66565.4062	4628.7014	118	1
25_MACS_peak_19303_lociStitched	chr19	46955740	47011692	25	51941	67013.7104	5567.224	119	1
19_MACS_peak_16289_lociStitched	chr19	5731744	5788833	19	51934	67159.4996	7410.1522	120	1
6_MACS_peak_14086_lociStitched	chr17	48032919	48079330	6	45324	74596.4003	4353.3518	121	1
19_MACS_peak_3075_lociStitched	chr1	22906803	22961902	19	50208	64945.1913	4474.0388	122	1
9_MACS_peak_23250_lociStitched	chr21	43763119	43809058	9	44166	77113.2054	6748.4391	123	1
14_MACS_peak_16625_lociStitched	chr19	8172766	8224347	14	47429	68520.2004	6426.9926	124	1
17_MACS_peak_21994_lociStitched	chr20	56117814	56171923	17	48999	63107.3267	5161.9986	125	1
20_MACS_peak_17157_lociStitched	chr19	14269047	14323278	20	50711	58520.6721	4484.9037	126	1
5_MACS_peak_15813_lociStitched	chr19	1508316	1549465	5	40031	77240.7879	5402.8637	127	1
4_MACS_peak_26704_lociStitched	chr4	3458577	3499314	4	40052	75347.1552	3552.2664	128	1
23_MACS_peak_27084_lociStitched	chr4	7459054	7513718	23	49885	58069.5672	3935.808	129	1
3_MACS_peak_30136_lociStitched	chr7	150862097	150905932	3	43756	71683.3755	6277.172	130	1
5_MACS_peak_23560_lociStitched	chr21	46817416	46856489	5	38260	77466.1298	4430.8782	131	1
11_MACS_peak_506_lociStitched	chr1	3489822	3536155	11	44947	66890.9521	3739.0731	132	1
4_MACS_peak_24604_lociStitched	chr22	37469262	37513869	4	44469	67057.7031	4358.1039	133	1
15_MACS_peak_18284_lociStitched	chr19	35977884	36028818	15	47890	60402.6306	4696.1148	134	1
6_MACS_peak_10680_lociStitched	chr16	1204329	1248331	6	42897	66729.033	2846.9294	135	1
15_MACS_peak_10589_lociStitched	chr16	859041	907561	15	45322	63464.16	3988.344	136	1
16_MACS_peak_6361_lociStitched	chr11	1715693	1766901	16	47742	59268.1392	4731.6192	137	1
5_MACS_peak_28490_lociStitched	chr6	30408710	30451299	5	41890	70655.151	5826.1752	138	1
20_MACS_peak_14912_lociStitched	chr17	75878557	75931590	20	46948	61035.6797	5239.6604	139	1
9_MACS_peak_6400_lociStitched	chr11	1916997	1960800	9	41934	68223.1725	3701.3535	140	1
8_MACS_peak_22913_lociStitched	chr20	61936795	61983622	8	44325	64045.2879	3647.8233	141	1
3_MACS_peak_23781_lociStitched	chr22	20152002	20193497	3	40795	69097.474	3427.487	142	1
7_MACS_peak_8978_lociStitched	chr12	57577072	57619902	7	41812	68956.3	4835.507	143	1
7_MACS_peak_14590_lociStitched	chr17	72333754	72381577	7	46786	58999.2351	4227.5532	144	1
7_MACS_peak_23388_lociStitched	chr21	45760521	45803015	7	40888	70246.8314	5392.4886	145	1
7_MACS_peak_22930_lociStitched	chr20	62019371	62064075	7	42228	65643.3536	3182.9248	146	1
17_MACS_peak_24470_lociStitched	chr22	36941543	36993875	17	47046	58522.8756	4830.2436	147	1
13_MACS_peak_6945_lociStitched	chr11	64398758	64448603	13	45966	60167.8995	4700.3835	148	1
13_MACS_peak_25304_lociStitched	chr22	45320275	45370923	13	46580	58230.0056	4051.84	149	1
4_MACS_peak_20517_lociStitched	chr2	26776623	26820070	4	42851	64479.6927	4774.8253	150	1
28_MACS_peak_17395_lociStitched	chr19	15278801	15334193	28	45822	55835.136	5024.0544	151	1
5_MACS_peak_33951_lociStitched	chr9	139216955	139252375	5	35117	70765.618	2861.936	152	1
7_MACS_peak_14704_lociStitched	chr17	72908376	72953219	7	43532	59219.6658	4286.9908	153	1
7_MACS_peak_6967_lociStitched	chr11	64474361	64516452	7	40355	64462.3665	4672.101	154	1
4_MACS_peak_33936_lociStitched	chr9	139013608	139054601	4	40364	62821.7725	3066.2764	155	1
46_MACS_peak_31243_lociStitched	chr8	7568368	7627908	46	51049	39570.284	4054.674	156	1
11_MACS_peak_18941_lociStitched	chr19	42467679	42511274	11	41650	61342.5245	3788.4055	157	1
8_MACS_peak_14037_lociStitched	chr17	47508211	47552541	8	43418	57447.247	4158.154	158	1
7_MACS_peak_30139_lociStitched	chr7	150940805	150977793	7	35500	71216.6952	5603.682	159	1
7_MACS_peak_5513_lociStitched	chr10	102482435	102522315	7	38566	64968.508	3984.012	160	1
13_MACS_peak_33023_lociStitched	chr9	134679383	134725415	13	42703	58262.7024	4299.3888	161	1
5_MACS_peak_6240_lociStitched	chr11	1026031	1066061	5	38625	64396.261	3878.907	162	1
2_MACS_peak_30122_lociStitched	chr7	149498141	149531806	2	33547	71097.1135	4056.6325	163	1
4_MACS_peak_23784_lociStitched	chr22	20197425	20237426	4	39732	61805.5451	3392.0848	164	1
22_MACS_peak_15200_lociStitched	chr17	77685200	77734648	22	43414	55772.3992	4766.7872	165	1
9_MACS_peak_9198_lociStitched	chr13	113667018	113710913	9	41685	58314.5075	4130.5195	166	1
7_MACS_peak_15780_lociStitched	chr19	822562	861027	7	37563	65121.245	4531.177	167	1
21_MACS_peak_18341_lociStitched	chr19	36319624	36370363	21	44107	51875.5536	3856.164	168	1
14_MACS_peak_33719_lociStitched	chr9	138129838	138177066	14	44718	48923.4852	3707.398	169	1
10_MACS_peak_24978_lociStitched	chr22	44212841	44257707	10	42801	52600.8984	3643.1192	170	1
11_MACS_peak_32242_lociStitched	chr8	144927602	144971080	11	40597	57260.526	4234.7572	171	1
9_MACS_peak_32601_lociStitched	chr9	129427549	129468989	9	38784	59789.632	3969.952	172	1
10_MACS_peak_33940_lociStitched	chr9	139056752	139096657	10	37914	60053.0345	3028.7895	173	1
6_MACS_peak_10651_lociStitched	chr16	1044447	1082763	6	37637	59861.0868	2923.5108	174	1
20_MACS_peak_33859_lociStitched	chr9	138546253	138593498	20	41556	52829.359	3392.191	175	1
10_MACS_peak_23608_lociStitched	chr21	47357497	47396911	10	37805	60961.6338	4926.75	176	1
13_MACS_peak_15041_lociStitched	chr17	77015496	77057339	13	37497	59626.275	3862.1089	177	1
13_MACS_peak_22855_lociStitched	chr20	61646169	61687913	13	39487	55786.6816	3423.008	178	1
7_MACS_peak_33328_lociStitched	chr9	136491760	136533345	7	40244	53469.993	3039.8635	179	1
10_MACS_peak_29278_lociStitched	chr7	2532333	2573134	10	38909	55448.559	3341.6019	180	1
5_MACS_peak_16121_lociStitched	chr19	4508311	4542912	5	33928	64049.9111	4809.539	181	1
15_MACS_peak_20232_lociStitched	chr19	55673341	55717947	15	41061	51109.5548	3920.8674	182	1
6_MACS_peak_14045_lociStitched	chr17	47553773	47592167	6	37454	57199.3812	3705.021	183	1
7_MACS_peak_16325_lociStitched	chr19	5991490	6030577	7	38164	57160.8288	5026.5882	184	1
9_MACS_peak_16056_lociStitched	chr19	3708040	3746996	9	37038	59594.8888	5609.664	185	1
6_MACS_peak_9192_lociStitched	chr13	113627539	113665769	6	37405	56939.762	3585.974	186	1
10_MACS_peak_16558_lociStitched	chr19	7828002	7870570	10	40479	53039.728	5435.9336	187	1
7_MACS_peak_23266_lociStitched	chr21	43829517	43870245	7	39257	55438.9536	5608.2456	188	1
9_MACS_peak_26743_lociStitched	chr4	3626474	3666903	9	39699	52565.7858	3569.8807	189	1
17_MACS_peak_21841_lociStitched	chr20	48880561	48925055	17	41572	49237.0604	4124.5938	190	1
23_MACS_peak_27569_lociStitched	chr4	8876620	8922592	23	40723	48918.8052	3801.8844	191	1
4_MACS_peak_16099_lociStitched	chr19	4140379	4173672	4	32800	62837.2082	4534.5066	192	1
13_MACS_peak_32984_lociStitched	chr9	133934435	133974585	13	37203	54656.195	3212	193	1
12_MACS_peak_4492_lociStitched	chr1	156820755	156859116	12	37469	56628.5082	6210.6459	194	1
10_MACS_peak_1871_lociStitched	chr1	11911994	11953640	10	39009	50641.536	3893.901	195	1
21_MACS_peak_18892_lociStitched	chr19	42279658	42326962	21	41441	46343.7288	4990.572	196	1
8_MACS_peak_23644_lociStitched	chr21	47466806	47505850	8	36485	56051.5664	4997.632	197	1
5_MACS_peak_21020_lociStitched	chr2	220325928	220362830	5	34824	56806.9388	3490.9292	198	1
8_MACS_peak_12927_lociStitched	chr17	7675585	7716709	8	39367	48991.0212	3742.284	199	1
5_MACS_peak_24871_lociStitched	chr22	42918415	42956925	5	36993	55465.953	6138.494	200	1
4_MACS_peak_16110_lociStitched	chr19	4275859	4311006	4	34295	58333.4759	4625.3452	201	1
15_MACS_peak_33223_lociStitched	chr9	136027527	136070412	15	39145	48520.089	4164.1335	202	1
10_MACS_peak_10800_lociStitched	chr16	2853730	2892931	10	37048	51737.4798	3324.2448	203	1
8_MACS_peak_33282_lociStitched	chr9	136286600	136324484	8	35774	53628.5904	3348.9456	204	1
5_MACS_peak_10767_lociStitched	chr16	2325164	2361762	5	35130	54549.319	3509.7482	205	1
9_MACS_peak_53_lociStitched	chr1	977172	1016117	9	35325	53526.008	2870.2465	206	1
6_MACS_peak_16136_lociStitched	chr19	4732103	4768163	6	35537	54555.174	5308.032	207	1
12_MACS_peak_6282_lociStitched	chr11	1236684	1275934	12	37589	48195.075	2731.8	208	1
13_MACS_peak_19638_lociStitched	chr19	49173367	49214711	13	38002	46855.1552	3373.6704	209	1
14_MACS_peak_13184_lociStitched	chr17	19095784	19140457	14	40788	41318.0577	4645.992	210	1
6_MACS_peak_33195_lociStitched	chr9	135848140	135885569	6	36197	50016.3727	3409.7819	211	1
17_MACS_peak_25145_lociStitched	chr22	44964405	45008761	17	38397	45385.0592	3131.5336	212	1
10_MACS_peak_22894_lociStitched	chr20	61779430	61817409	10	36107	49570.1908	2856.0208	213	1
16_MACS_peak_13153_lociStitched	chr17	18971339	19014272	16	40996	40958.082	5001.6945	214	1
17_MACS_peak_19282_lociStitched	chr19	46900224	46942253	17	37957	46370.5957	3757.3926	215	1
5_MACS_peak_45_lociStitched	chr1	913435	947716	5	32769	55092.9951	3332.1132	216	1
15_MACS_peak_26973_lociStitched	chr4	7136511	7176216	15	37345	47026.602	3390.807	217	1
13_MACS_peak_15347_lociStitched	chr17	78478063	78517394	13	37104	46697.6963	3233.0082	218	1
8_MACS_peak_32870_lociStitched	chr9	133249141	133286485	8	36475	47695.7568	3032.3328	219	1
12_MACS_peak_3123_lociStitched	chr1	23033698	23076328	12	37614	45908.247	3926.223	220	1
8_MACS_peak_29840_lociStitched	chr7	100743449	100781647	8	35662	48683.351	3560.0536	221	1
7_MACS_peak_24649_lociStitched	chr22	37885447	37923957	7	37221	45645.903	3619.94	222	1
9_MACS_peak_25974_lociStitched	chr3	13668281	13707021	9	36677	46608.094	3649.308	223	1
2_MACS_peak_26444_lociStitched	chr3	184274174	184306195	2	31995	55601.2644	4588.6093	224	1
11_MACS_peak_6471_lociStitched	chr11	2304645	2343001	11	35832	47580.618	3129.8496	225	1
8_MACS_peak_21390_lociStitched	chr20	30426296	30463057	8	34468	50722.8278	3988.5685	226	1
16_MACS_peak_12551_lociStitched	chr17	1150411	1191506	16	36245	45434.632	3521.8415	227	1
14_MACS_peak_29730_lociStitched	chr7	100210472	100250463	14	35432	47269.362	3915.1189	228	1
8_MACS_peak_13325_lociStitched	chr17	26831477	26867727	8	34431	48944.75	3936.75	229	1
9_MACS_peak_26806_lociStitched	chr4	3851896	3889219	9	35424	46642.5531	3519.5589	230	1
11_MACS_peak_1854_lociStitched	chr1	11746524	11782898	11	34702	47944.5694	3524.6406	231	1
23_MACS_peak_30404_lociStitched	chr7	155313367	155354689	23	37170	44301.3162	4987.5654	232	1
11_MACS_peak_19396_lociStitched	chr19	47940014	47978957	11	36114	44558.5806	3341.3094	233	1
4_MACS_peak_33562_lociStitched	chr9	137682552	137717194	4	34111	47840.602	2941.1058	234	1
5_MACS_peak_22825_lociStitched	chr20	61374552	61408145	5	31977	51269.6366	2989.777	235	1
3_MACS_peak_28169_lociStitched	chr5	176266501	176297944	3	31339	52047.5979	2936.7762	236	1
2_MACS_peak_28541_lociStitched	chr6	31958520	31985355	2	26809	57832.1085	3024.3045	237	1
5_MACS_peak_19390_lociStitched	chr19	47902760	47936098	5	33198	49043.5318	3287.1268	238	1
15_MACS_peak_12846_lociStitched	chr17	7079980	7117351	15	34069	47752.6638	3561.4563	239	1
8_MACS_peak_24842_lociStitched	chr22	42795503	42831829	8	35192	45385.7044	3367.4202	240	1
11_MACS_peak_3893_lociStitched	chr1	32125613	32164650	11	36290	43252.996	3743.6483	241	1
10_MACS_peak_22253_lociStitched	chr20	57179851	57218426	10	36475	41672.5725	3174.7225	242	1
13_MACS_peak_6491_lociStitched	chr11	2370677	2409945	13	35626	43618.8944	3514.486	243	1
9_MACS_peak_6426_lociStitched	chr11	2101835	2138236	9	34813	44336.418	3163.2469	244	1
5_MACS_peak_10838_lociStitched	chr16	3075691	3108842	5	32287	48917.6156	3209.0168	245	1
10_MACS_peak_200_lociStitched	chr1	2080514	2117965	10	34669	43840.1406	2801.3348	246	1
9_MACS_peak_14810_lociStitched	chr17	74871625	74906592	9	34271	44436.0636	3049.1224	247	1
7_MACS_peak_16015_lociStitched	chr19	3323979	3359402	7	33545	47087.7939	4466.8403	248	1
1_MACS_peak_33950_lociStitched	chr9	139138348	139166985	1	28638	52643.3971	2448.4635	249	1
13_MACS_peak_10638_lociStitched	chr16	1006691	1043151	13	33311	44871.322	2461.05	250	1
11_MACS_peak_22285_lociStitched	chr20	57353232	57390460	11	33767	44115.18	2892.6156	251	1
17_MACS_peak_27004_lociStitched	chr4	7234819	7273958	17	35160	40724.1295	2876.7165	252	1
6_MACS_peak_13485_lociStitched	chr17	36716128	36747597	6	29730	50378.7221	2926.617	253	1
15_MACS_peak_98_lociStitched	chr1	1356205	1395305	15	33791	43334.53	2944.23	254	1
3_MACS_peak_15341_lociStitched	chr17	78431247	78461974	3	30335	47811.212	2445.8692	255	1
13_MACS_peak_14950_lociStitched	chr17	76290686	76329471	13	33547	43241.3965	3669.061	256	1
16_MACS_peak_2137_lociStitched	chr1	17821193	17860892	16	34762	40862.1807	3858.7428	257	1
9_MACS_peak_25069_lociStitched	chr22	44732701	44768105	9	33733	41624.4828	2687.1636	258	1
1_MACS_peak_4467_lociStitched	chr1	156388717	156415475	1	26759	54741.5164	4655.892	259	1
10_MACS_peak_33244_lociStitched	chr9	136092369	136128273	10	33447	42610.8672	3159.552	260	1
