REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
27_MACS_peak_6334_lociStitched	chr11	1591811	1714620	27	115675	178490.6006	11912.473	12	LOC338651,KRTAP5-5,FAM99A,MOB2,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,KRTAP5-4,FAM99B	KRTAP5-6	KRTAP5-5	KRTAP5-5	1.5866	12	1
6_MACS_peak_15376_lociStitched	chr17	78996811	79111660	6	112673	220360.7763	9693.2556	13	BAIAP2,MIR3065,FLJ90757,AATK,MIR657,MIR338,MIR1250	CHMP6,LOC388428	MIR657	LOC388428	1.5394999999999999	13	1
14_MACS_peak_15763_lociStitched	chr19	681206	794476	14	109212	204463.677	13343.206	14	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	PRTN3	1.8446	14	1
20_MACS_peak_15104_lociStitched	chr17	77348059	77455849	20	103612	147090.234	9496.299	15	RBFOX3		RBFOX3	RBFOX3	1.2745	15	1
19_MACS_peak_12532_lociStitched	chr17	1041222	1148820	19	102833	159535.5546	9974.3346	16	ABR	BHLHA9,TUSC5,ABR	ABR	TUSC5	1.1397	16	1
21_MACS_peak_12502_lociStitched	chr17	782538	882357	21	96632	122977.008	8664.2892	17	NXN	TIMM22,MIR3183	NXN	NXN	1.1531	17	1
12_MACS_peak_14074_lociStitched	chr17	47936879	48031747	12	92571	141998.4224	8908.1052	18		DLX4,TAC4,DLX3	TAC4	DLX4	1.7291	18	1
15_MACS_peak_491_lociStitched	chr1	3394486	3488304	15	90458	146149.6804	7336.5676	19	ARHGEF16,MEGF6,MIR551A		MIR551A	MIR551A	1.5168	19	1
18_MACS_peak_15263_lociStitched	chr17	77900052	77995436	18	90336	130084.6992	8584.56	20	TBC1D16	CCDC40	TBC1D16	TBC1D16	1.2217	20	1
17_MACS_peak_10686_lociStitched	chr16	1249341	1341214	17	89348	152601.053	7349.84	21	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSAB1	TPSAB1	1.4303	21	1
8_MACS_peak_22794_lociStitched	chr20	60985126	61072501	8	86616	159468.1125	7024.95	22	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	GATA5	1.7698	22	1
4_MACS_peak_23555_lociStitched	chr21	46708574	46794503	4	85350	182736.6114	11557.4505	23	LOC642852	COL18A1,POFUT2	LOC642852	COL18A1	1.5922	23	1
12_MACS_peak_25467_lociStitched	chr22	46288108	46374772	12	84692	131867.9424	7288.4424	24	WNT7B	LOC730668	WNT7B	WNT7B	1.4215	24	1
19_MACS_peak_8487_lociStitched	chr12	3321574	3409063	19	82652	109667.4615	7786.521	25	TSPAN9		TSPAN9	TSPAN9	0.8646	25	1
5_MACS_peak_6413_lociStitched	chr11	1982102	2064718	5	82323	151955.6088	7162.8072	26	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	H19	2.0573	26	1
8_MACS_peak_32973_lociStitched	chr9	133835373	133919464	8	82114	126422.4094	7627.0537	27	LAMC3	FIBCD1	LAMC3	FIBCD1	1.8206	27	1
16_MACS_peak_23407_lociStitched	chr21	45876191	45961304	16	81780	129431.3391	10485.9216	28	LRRC3,C21orf90,C21orf29,KRTAP10-1	KRTAP10-4,KRTAP10-2,KRTAP10-3,KRTAP10-5	C21orf90	C21orf90	1.3378999999999999	28	1
26_MACS_peak_33090_lociStitched	chr9	135314374	135401955	26	81604	97863.0094	8110.0006	29	C9orf171	TTF1	C9orf171	C9orf171	0.8529	29	1
22_MACS_peak_28543_lociStitched	chr6	31990999	32077865	22	81051	141218.0562	8877.7052	30	C4B,C4A,CYP21A2,TNXB	STK19,PPT2,TNXA,ATF6B,FKBPL,PRRT1,LOC100507547	TNXB	TNXA	1.9307999999999998	30	1
18_MACS_peak_33293_lociStitched	chr9	136344535	136427358	18	79638	116647.9132	6600.9931	31	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	TMEM8C	FAM163B	1.3644	31	1
8_MACS_peak_31558_lociStitched	chr8	142012565	142093603	8	79149	137091.9846	9878.5322	32		DENND3,PTK2	PTK2	PTK2	0.1061	32	1
6_MACS_peak_16128_lociStitched	chr19	4557677	4635255	6	76843	143309.8394	10744.553	33	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	PLIN5	1.9399000000000002	33	1
15_MACS_peak_14120_lociStitched	chr17	48634130	48714591	15	76237	112460.3397	7659.8872	34	CACNA1G,ABCC3	MYCBPAP,EPN3,SPATA20	CACNA1G	CACNA1G	1.3	34	1
25_MACS_peak_6751_lociStitched	chr11	61337328	61417871	25	75174	89974.5853	7498.5533	35	RPLP0P2,SYT7	DAGLA	RPLP0P2	DAGLA	1.3169	35	1
9_MACS_peak_16022_lociStitched	chr19	3360425	3435084	9	73994	115236.1665	8914.2846	36	NFIC	C19orf77	NFIC	NFIC	1.359	36	1
9_MACS_peak_23497_lociStitched	chr21	46404209	46480194	9	73383	143360.8995	9672.8905	37	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	NCRNA00162	1.9849999999999999	37	1
13_MACS_peak_23050_lociStitched	chr20	62790237	62866233	13	73383	109046.6604	6748.4448	38	MYT1	PCMTD2	MYT1	MYT1	1.313	38	1
8_MACS_peak_8920_lociStitched	chr12	54337320	54411904	8	73360	121460.044	7309.232	39	HOXC13,HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,HOTAIR	HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	MIR615	1.6529999999999998	39	1
16_MACS_peak_33335_lociStitched	chr9	136534539	136610971	16	72652	100179.4224	6053.4144	40	SARDH	DBH	SARDH	DBH	1.2735	40	1
19_MACS_peak_15016_lociStitched	chr17	76550709	76627323	19	71675	92396.484	6994.8582	41	DNAH17		DNAH17	DNAH17	0.8832000000000001	41	1
21_MACS_peak_31968_lociStitched	chr8	143630613	143708302	21	71391	87415.6628	6005.3597	42	ARC	PSCA,JRK	ARC	ARC	0.9611000000000001	42	1
14_MACS_peak_6440_lociStitched	chr11	2148950	2223108	14	71160	103205.6886	5858.482	43	IGF2AS,IGF2,INS-IGF2,MIR483,INS,TH		INS-IGF2	INS-IGF2	1.1654	43	1
11_MACS_peak_12597_lociStitched	chr17	1828828	1901071	11	71064	103538.6676	6436.8513	44	RTN4RL1	DPH1,OVCA2	RTN4RL1	RTN4RL1	1.3151	44	1
9_MACS_peak_6784_lociStitched	chr11	61441089	61514122	9	71017	103619.2204	6675.2162	45	DAGLA	C11orf9,FEN1,DKFZP434K028,MIR611,C11orf10	DAGLA	DKFZP434K028	1.3707	45	1
4_MACS_peak_22808_lociStitched	chr20	61141407	61213402	4	70944	123665.8115	5334.8295	46	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	MIR133A2	1.7333	46	1
8_MACS_peak_6379_lociStitched	chr11	1787038	1859973	8	70919	103385.3625	6476.628	47	SYT8	TNNI2,LSP1,LOC402778,CTSD,MOB2,MIR4298	SYT8	SYT8	1.3251	47	1
27_MACS_peak_15281_lociStitched	chr17	77998959	78076383	27	70862	94914.0816	6759.1152	48	CCDC40,GAA,TBC1D16	EIF4A3	CCDC40	CCDC40	1.1112	48	1
19_MACS_peak_27480_lociStitched	chr4	8586550	8660216	19	70164	87456.2752	5495.4836	49	GPR78,CPZ		CPZ	CPZ	1.2539	49	1
15_MACS_peak_32805_lociStitched	chr9	132910967	132983273	15	69899	101806.848	6348.4668	50	NCS1		NCS1	NCS1	1.2369999999999999	50	1
27_MACS_peak_10606_lociStitched	chr16	916389	993736	27	69425	92507.012	6218.6988	51	LMF1	SOX8	LMF1	SOX8	1.4581	51	1
15_MACS_peak_17786_lociStitched	chr19	18059401	18132400	15	68990	102986.9892	6555.3102	52	KCNN1,ARRDC2	CCDC124	ARRDC2	ARRDC2	1.1594	52	1
8_MACS_peak_428_lociStitched	chr1	3099642	3169118	8	68530	90575.8612	4640.9968	53	PRDM16		MIR4251	MIR4251	1.1162999999999998	53	1
34_MACS_peak_1271_lociStitched	chr1	7477926	7552680	34	66741	74215.7712	5434.6158	54	CAMTA1		VAMP3	VAMP3	NONE	54	1
19_MACS_peak_3006_lociStitched	chr1	22542473	22613471	19	66364	85112.4024	6538.9158	55			WNT4	WNT4	NONE	55	1
17_MACS_peak_24764_lociStitched	chr22	40036256	40107248	17	66143	90614.1888	6034.32	56	CACNA1I		CACNA1I	CACNA1I	0.9632	56	1
24_MACS_peak_16199_lociStitched	chr19	5293601	5365189	24	65726	86421.0336	8218.3024	57	PTPRS		PTPRS	PTPRS	1.041	57	1
12_MACS_peak_23207_lociStitched	chr21	43129660	43198413	12	65600	101761.3153	9089.1466	58	NCRNA00112,C21orf129,RIPK4	NCRNA00111	RIPK4	RIPK4	1.3855	58	1
6_MACS_peak_19510_lociStitched	chr19	48404352	48471539	6	64927	150754.1906	20720.4708	59	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3,BSPH1	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1	SNAR-C4	SNAR-C4	1.8125000000000002	59	1
22_MACS_peak_26235_lociStitched	chr3	50445298	50515501	22	64380	77026.7316	6592.0617	60	CACNA2D2	TMEM115	CACNA2D2	CACNA2D2	0.8958	60	1
13_MACS_peak_469_lociStitched	chr1	3296781	3364326	13	64270	88328.5965	4505.2515	61	PRDM16	ARHGEF16	ARHGEF16	ARHGEF16	1.1562	61	1
13_MACS_peak_25053_lociStitched	chr22	44657358	44724354	13	63372	82585.9692	5259.186	62	KIAA1644		KIAA1644	KIAA1644	0.9679000000000001	62	1
21_MACS_peak_3160_lociStitched	chr1	23147237	23215960	21	63203	76474.9544	6384.3667	63	EPHB2,MIR4253		MIR4253	MIR4253	0.9056	63	1
12_MACS_peak_1676_lociStitched	chr1	10914134	10979169	12	63142	85716.13	5892.171	64			CASZ1	CASZ1	1.4663	64	1
8_MACS_peak_27597_lociStitched	chr4	9211654	9274638	8	62495	221961.9144	19676.2016	65	USP17		USP17	USP17	3.2122	65	1
2_MACS_peak_15797_lociStitched	chr19	1282705	1345203	2	62044	154420.0584	7568.5078	66	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	EFNA2	2.6202	66	1
9_MACS_peak_228_lociStitched	chr1	2347366	2411425	9	61939	89106.069	4554.5949	67	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	MORN1	1.3140999999999998	67	1
3_MACS_peak_23565_lociStitched	chr21	46858031	46920069	3	61774	116432.9184	7698.9158	68	COL18A1	NCRNA00175,SLC19A1	COL18A1	NCRNA00175	2.3989000000000003	68	1
13_MACS_peak_33885_lociStitched	chr9	138625485	138690992	13	61640	92646.5501	4467.5774	69	KCNT1	SOHLH1	KCNT1	SOHLH1	1.2796999999999998	69	1
13_MACS_peak_16312_lociStitched	chr19	5827980	5891112	13	61537	84666.3252	8383.9296	70	NRTN,FUT6,FUT3,FUT5	VMAC,CAPS,PRR22,DUS3L,NDUFA11	FUT3	FUT3	1.2407	70	1
16_MACS_peak_33918_lociStitched	chr9	138932400	138998436	16	61508	87524.1144	4285.7364	71	NACC2	C9orf69	NACC2	NACC2	1.1405	71	1
22_MACS_peak_7449_lociStitched	chr11	69970494	70036994	22	59945	77073.5	5213.6	72	ANO1	FADD	FADD	FADD	0.19870000000000002	72	1
16_MACS_peak_2176_lociStitched	chr1	17917113	17978335	16	59766	73815.3654	5265.092	73	ARHGEF10L		ARHGEF10L	ARHGEF10L	0.9916	73	1
18_MACS_peak_26761_lociStitched	chr4	3700319	3764886	18	59225	70261.8094	5494.6517	74		ADRA2C,LOC100133461	ADRA2C	LOC100133461	1.0960999999999999	74	1
4_MACS_peak_23493_lociStitched	chr21	46300807	46359797	4	58880	136255.102	8093.428	75	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	ITGB2	2.2302	75	1
6_MACS_peak_32964_lociStitched	chr9	133769575	133829066	6	58794	102705.2624	5074.5823	76	FIBCD1	QRFP	FIBCD1	FIBCD1	1.8206	76	1
12_MACS_peak_71_lociStitched	chr1	1088861	1149934	12	58731	97722.9073	4672.0845	77	MIR200B,MIR200A,MIR429,TTLL10,TNFRSF18,TNFRSF4	B3GALT6,C1orf159,SDF4,FAM132A	TTLL10	TTLL10	1.4595	77	1
18_MACS_peak_2117_lociStitched	chr1	17653912	17717231	18	58335	70391.7323	5521.4168	78	PADI4,PADI6	RCC2	PADI6	PADI6	0.7948000000000001	78	1
9_MACS_peak_1047_lociStitched	chr1	6470625	6530859	9	58220	101861.7174	5415.0366	79	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	MIR4252	1.8314000000000001	79	1
14_MACS_peak_1954_lociStitched	chr1	16426839	16489589	14	57704	80746.7	5691.425	80	EPHA2	FAM131C,ARHGEF19	EPHA2	EPHA2	1.2443	80	1
11_MACS_peak_10669_lociStitched	chr16	1142452	1202386	11	57470	92514.1224	4542.9972	81	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	CACNA1H	1.5001	81	1
18_MACS_peak_2589_lociStitched	chr1	19009173	19069880	18	57374	66862.6898	5251.1555	82	PAX7		PAX7	PAX7	1.0202	82	1
7_MACS_peak_16103_lociStitched	chr19	4183720	4242125	7	57127	91765.936	8036.528	83	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	CREB3L3	1.5773000000000001	83	1
16_MACS_peak_33901_lociStitched	chr9	138864921	138925338	16	56788	78397.0992	4585.6503	84	NACC2	UBAC1	UBAC1	UBAC1	0.1451	84	1
17_MACS_peak_398_lociStitched	chr1	3005450	3066197	17	56730	72671.6361	3887.808	85	PRDM16,MIR4251	FLJ42875	MIR4251	MIR4251	1.1162999999999998	85	1
15_MACS_peak_2043_lociStitched	chr1	17409080	17467816	15	56338	71904.6112	5315.608	86	PADI2	SDHB	PADI2	PADI2	1.0826	86	1
7_MACS_peak_22937_lociStitched	chr20	62065299	62122934	7	55707	89144.0545	4512.8205	87	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	KCNQ2	1.4224	87	1
6_MACS_peak_23760_lociStitched	chr22	19705622	19763017	6	55674	92176.37	4826.9195	88	SEPT5-GP1BB,SEPT5,GP1BB,TBX1		TBX1	TBX1	1.2649	88	1
15_MACS_peak_28127_lociStitched	chr5	176119087	176177217	15	55482	69610.675	4964.302	89		TSPAN17	TSPAN17	TSPAN17	0.1198	89	1
1_MACS_peak_2009_lociStitched	chr1	17011981	17067214	1	55234	149493.6378	14183.8344	90	ESPNP	MST1P2,MST1P9	ESPNP	ESPNP	2.7625	90	1
11_MACS_peak_12491_lociStitched	chr17	724942	781506	11	55164	74540.0392	5294.3904	91	NXN	RNMTL1,GLOD4	GLOD4	RNMTL1	0.05539999999999999	91	1
7_MACS_peak_22818_lociStitched	chr20	61316596	61372450	7	54952	91075.5324	4775.517	92	NTSR1	SLCO4A1,LOC100127888	NTSR1	NTSR1	1.4534	92	1
10_MACS_peak_6741_lociStitched	chr11	61272473	61329285	10	54678	77718.816	5107.3988	93	LRRC10B,SYT7	C11orf66	LRRC10B	LRRC10B	0.9401999999999999	93	1
31_MACS_peak_15166_lociStitched	chr17	77612268	77674066	31	54545	62768.2286	4443.2762	94		ENPP7	ENPP7	ENPP7	1.0198	94	1
14_MACS_peak_25420_lociStitched	chr22	45892440	45949455	14	54438	68275.4625	4538.394	95	FBLN1		FBLN1	FBLN1	1.0534	95	1
8_MACS_peak_26662_lociStitched	chr4	1751863	1808646	8	54281	97093.2517	4764.0937	96	FGFR3	TACC3,SLBP,TMEM129,LETM1	FGFR3	FGFR3	1.0061	96	1
11_MACS_peak_438_lociStitched	chr1	3178178	3234963	11	54258	69618.41	4094.1985	97	PRDM16		MIR4251	MIR4251	1.1162999999999998	97	1
26_MACS_peak_14664_lociStitched	chr17	72587698	72651047	26	53891	65623.2291	6803.6826	98	C17orf77,CD300LD,CD300E	RAB37,CD300C	CD300E	CD300C	1.0257	98	1
9_MACS_peak_19684_lociStitched	chr19	49519975	49574986	9	53533	75882.1734	5066.5131	99	CGB2,SNAR-G1,CGB5,LHB,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,C19orf73	CGB5	CGB5	1.3834000000000002	99	1
12_MACS_peak_10657_lociStitched	chr16	1084611	1140595	12	53113	76574.9152	3661.3536	100	SSTR5,LOC146336,C1QTNF8		SSTR5	SSTR5	1.1357	100	1
21_MACS_peak_1769_lociStitched	chr1	11472688	11529825	21	52961	65496.1431	5010.9149	101		PTCHD2	PTCHD2	PTCHD2	0.5508	101	1
13_MACS_peak_140_lociStitched	chr1	1853431	1910422	13	52739	74059.8045	4667.5629	102	KIAA1751	CALML6,GABRD,GNB1,TMEM52	TMEM52	GABRD	1.5124	102	1
12_MACS_peak_2085_lociStitched	chr1	17534602	17588702	12	52734	66721.53	4831.13	103	PADI1,PADI3	PADI4	PADI3	PADI3	1.0186000000000002	103	1
6_MACS_peak_31575_lociStitched	chr8	142358795	142412578	6	52463	70740.7799	4872.7398	104	GPR20	LOC731779,PTP4A3	GPR20	GPR20	1.4436	104	1
17_MACS_peak_28734_lociStitched	chr6	34041417	34098491	17	52087	66565.4062	4628.7014	105	GRM4		GRM4	GRM4	1.0516	105	1
12_MACS_peak_6911_lociStitched	chr11	64284917	64340868	12	52039	68221.0543	4817.3811	106	SLC22A11	SLC22A12	SLC22A11	SLC22A11	1.0634	106	1
25_MACS_peak_19303_lociStitched	chr19	46955740	47011692	25	51941	67013.7104	5567.224	107	PNMAL1,PNMAL2	CCDC8	PNMAL1	PNMAL1	1.0921999999999998	107	1
19_MACS_peak_16289_lociStitched	chr19	5731744	5788833	19	51934	67159.4996	7410.1522	108	TMEM146,PRR22,DUS3L	RPL36,NRTN,LONP1	PRR22	PRR22	0.77	108	1
9_MACS_peak_1017_lociStitched	chr1	6180796	6234012	9	51710	80393.4112	4677.6864	109	CHD5	RNF207,RPL22	CHD5	CHD5	1.1232	109	1
5_MACS_peak_22904_lociStitched	chr20	61850004	61901561	5	51168	92890.2469	4299.8538	110	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	MIR3196	1.6357	110	1
46_MACS_peak_31243_lociStitched	chr8	7568368	7627908	46	51049	39570.284	4054.674	111	FAM90A14,FAM90A19,FAM90A8,FAM90A18,FAM90A9,FAM90A10		FAM90A8	FAM90A8	0.5654	111	1
20_MACS_peak_17157_lociStitched	chr19	14269047	14323278	20	50711	58520.6721	4484.9037	112	LPHN1	PRKACA,ASF1B	LPHN1	LPHN1	0.7843	112	1
9_MACS_peak_2951_lociStitched	chr1	21879683	21933950	9	50598	76994.0196	5122.8048	113	ALPL,RAP1GAP		ALPL	ALPL	0.9431999999999999	113	1
19_MACS_peak_3075_lociStitched	chr1	22906803	22961902	19	50208	64945.1913	4474.0388	114	EPHA8	C1QA,C1QC,C1QB	C1QA	C1QB	0.8913	114	1
23_MACS_peak_27084_lociStitched	chr4	7459054	7513718	23	49885	58069.5672	3935.808	115	SORCS2,MIR4274	PSAPL1	MIR4274	PSAPL1	1.0914	115	1
4_MACS_peak_22851_lociStitched	chr20	61590384	61640713	4	49770	79167.517	4569.8732	116	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	BHLHE23	1.2507	116	1
2_MACS_peak_16748_lociStitched	chr19	8850998	8900910	2	49604	213144.2048	23124.2296	117		OR2Z1,ACTL9,ZNF558	OR2Z1	ACTL9	0.3231	117	1
1_MACS_peak_19835_lociStitched	chr19	50594105	50643169	1	49065	104565.1968	14370.8456	118	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2	FLJ26850,SNAR-D,IZUMO2	SNAR-B1	SNAR-B1	2.1067	118	1
17_MACS_peak_21994_lociStitched	chr20	56117814	56171923	17	48999	63107.3267	5161.9986	119	PCK1	CTCFL,ZBP1	PCK1	PCK1	1.3125	119	1
8_MACS_peak_217_lociStitched	chr1	2243737	2294416	8	48732	84882.2571	3861.7398	120	MORN1,LOC100129534	RER1,PEX10	LOC100129534	LOC100129534	1.6331	120	1
15_MACS_peak_18284_lociStitched	chr19	35977884	36028818	15	47890	60402.6306	4696.1148	121	GAPDHS,KRTDAP,DMKN,SBSN	FFAR2,TMEM147,ATP4A	DMKN	DMKN	1.2205	121	1
7_MACS_peak_35_lociStitched	chr1	829524	879121	7	47756	97160.523	4642.2792	122	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	FLJ39609	2.1388000000000003	122	1
4_MACS_peak_32597_lociStitched	chr9	129370708	129419084	4	47743	82568.1568	4179.6864	123	LMX1B		LMX1B	LMX1B	1.4023	123	1
16_MACS_peak_6361_lociStitched	chr11	1715693	1766901	16	47742	59268.1392	4731.6192	124	KRTAP5-6,MOB2,LOC402778	FAM99A,FAM99B,CTSD	KRTAP5-6	FAM99A	1.758	124	1
14_MACS_peak_16625_lociStitched	chr19	8172766	8224347	14	47429	68520.2004	6426.9926	125	FBN3	LASS4	FBN3	FBN3	0.9226	125	1
7_MACS_peak_26357_lociStitched	chr3	128168428	128216714	7	47279	81767.5124	4616.1416	126	DNAJB8,GATA2	LOC90246	DNAJB8	DNAJB8	1.2574	126	1
17_MACS_peak_24470_lociStitched	chr22	36941543	36993875	17	47046	58522.8756	4830.2436	127	CACNG2	FOXRED2,EIF3D	EIF3D	NONE	NONE	127	1
20_MACS_peak_14912_lociStitched	chr17	75878557	75931590	20	46948	61035.6797	5239.6604	128	FLJ45079		FLJ45079	FLJ45079	0.7741	128	1
7_MACS_peak_14590_lociStitched	chr17	72333754	72381577	7	46786	58999.2351	4227.5532	129	KIF19,GPR142,BTBD17	GPRC5C	BTBD17	BTBD17	1.1612	129	1
13_MACS_peak_25304_lociStitched	chr22	45320275	45370923	13	46580	58230.0056	4051.84	130	PHF21B		PHF21B	PHF21B	0.9048	130	1
10_MACS_peak_27605_lociStitched	chr4	9324610	9370989	10	46011	161060.3533	13528.7543	131	USP17,USP17L6P		USP17L6P	USP17L6P	1.9425	131	1
13_MACS_peak_6945_lociStitched	chr11	64398758	64448603	13	45966	60167.8995	4700.3835	132	NRXN2	SLC22A12	NRXN2	NRXN2	1.0644	132	1
4_MACS_peak_15382_lociStitched	chr17	79112983	79159701	4	45841	80121.37	4288.7124	133	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	LOC388428	1.5394999999999999	133	1
28_MACS_peak_17395_lociStitched	chr19	15278801	15334193	28	45822	55835.136	5024.0544	134	NOTCH3	ILVBL,EPHX3	NOTCH3	NOTCH3	0.7649	134	1
6_MACS_peak_14086_lociStitched	chr17	48032919	48079330	6	45324	74596.4003	4353.3518	135	DLX4,DLX3		DLX4	DLX4	1.7291	135	1
15_MACS_peak_10589_lociStitched	chr16	859041	907561	15	45322	63464.16	3988.344	136	PRR25,LMF1	MSLN,MIR662,CHTF18,MSLNL,RPUSD1,GNG13	PRR25	MSLNL	1.153	136	1
11_MACS_peak_506_lociStitched	chr1	3489822	3536155	11	44947	66890.9521	3739.0731	137	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	MIR551A	1.5168	137	1
14_MACS_peak_33719_lociStitched	chr9	138129838	138177066	14	44718	48923.4852	3707.398	138			OLFM1	OLFM1	0.7998999999999999	138	1
4_MACS_peak_24604_lociStitched	chr22	37469262	37513869	4	44469	67057.7031	4358.1039	139	TMPRSS6	KCTD17,IL2RB	TMPRSS6	TMPRSS6	1.4004999999999999	139	1
8_MACS_peak_22913_lociStitched	chr20	61936795	61983622	8	44325	64045.2879	3647.8233	140	COL20A1,CHRNA4	ARFGAP1,MIR4326	CHRNA4	CHRNA4	1.2351	140	1
9_MACS_peak_23250_lociStitched	chr21	43763119	43809058	9	44166	77113.2054	6748.4391	141	TFF2,TFF1,TMPRSS3	UBASH3A,TFF3	TFF1	TFF3	1.9009000000000003	141	1
21_MACS_peak_18341_lociStitched	chr19	36319624	36370363	21	44107	51875.5536	3856.164	142	KIRREL2,APLP1,NPHS1	HCST,PRODH2,NFKBID,TYROBP	NPHS1	PRODH2	1.0121	142	1
