#29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_ROSE/29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam
#Using cutoff of 19861.1742 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	isStretch
8_MACS_peak_12927_lociStitched	chr17	7675585	7716709	8	39367	48991.0212	3742.284	176	1
7_MACS_peak_23266_lociStitched	chr21	43829517	43870245	7	39257	55438.9536	5608.2456	177	1
15_MACS_peak_33223_lociStitched	chr9	136027527	136070412	15	39145	48520.089	4164.1335	178	1
9_MACS_peak_4886_lociStitched	chr1	228744023	228784500	9	39036	40622.7172	18214.65	179	1
10_MACS_peak_1871_lociStitched	chr1	11911994	11953640	10	39009	50641.536	3893.901	180	1
10_MACS_peak_29278_lociStitched	chr7	2532333	2573134	10	38909	55448.559	3341.6019	181	1
9_MACS_peak_32601_lociStitched	chr9	129427549	129468989	9	38784	59789.632	3969.952	182	1
5_MACS_peak_6240_lociStitched	chr11	1026031	1066061	5	38625	64396.261	3878.907	183	1
7_MACS_peak_5513_lociStitched	chr10	102482435	102522315	7	38566	64968.508	3984.012	184	1
17_MACS_peak_25145_lociStitched	chr22	44964405	45008761	17	38397	45385.0592	3131.5336	185	1
5_MACS_peak_23560_lociStitched	chr21	46817416	46856489	5	38260	77466.1298	4430.8782	186	1
7_MACS_peak_16325_lociStitched	chr19	5991490	6030577	7	38164	57160.8288	5026.5882	187	1
13_MACS_peak_19638_lociStitched	chr19	49173367	49214711	13	38002	46855.1552	3373.6704	188	1
17_MACS_peak_19282_lociStitched	chr19	46900224	46942253	17	37957	46370.5957	3757.3926	189	1
10_MACS_peak_33940_lociStitched	chr9	139056752	139096657	10	37914	60053.0345	3028.7895	190	1
10_MACS_peak_23608_lociStitched	chr21	47357497	47396911	10	37805	60961.6338	4926.75	191	1
6_MACS_peak_10651_lociStitched	chr16	1044447	1082763	6	37637	59861.0868	2923.5108	192	1
12_MACS_peak_3123_lociStitched	chr1	23033698	23076328	12	37614	45908.247	3926.223	193	1
12_MACS_peak_6282_lociStitched	chr11	1236684	1275934	12	37589	48195.075	2731.8	194	1
7_MACS_peak_15780_lociStitched	chr19	822562	861027	7	37563	65121.245	4531.177	195	1
13_MACS_peak_15041_lociStitched	chr17	77015496	77057339	13	37497	59626.275	3862.1089	196	1
12_MACS_peak_4492_lociStitched	chr1	156820755	156859116	12	37469	56628.5082	6210.6459	197	1
6_MACS_peak_14045_lociStitched	chr17	47553773	47592167	6	37454	57199.3812	3705.021	198	1
6_MACS_peak_9192_lociStitched	chr13	113627539	113665769	6	37405	56939.762	3585.974	199	1
15_MACS_peak_26973_lociStitched	chr4	7136511	7176216	15	37345	47026.602	3390.807	200	1
7_MACS_peak_24649_lociStitched	chr22	37885447	37923957	7	37221	45645.903	3619.94	201	1
13_MACS_peak_32984_lociStitched	chr9	133934435	133974585	13	37203	54656.195	3212	202	1
23_MACS_peak_30404_lociStitched	chr7	155313367	155354689	23	37170	44301.3162	4987.5654	203	1
13_MACS_peak_15347_lociStitched	chr17	78478063	78517394	13	37104	46697.6963	3233.0082	204	1
10_MACS_peak_10800_lociStitched	chr16	2853730	2892931	10	37048	51737.4798	3324.2448	205	1
9_MACS_peak_16056_lociStitched	chr19	3708040	3746996	9	37038	59594.8888	5609.664	206	1
5_MACS_peak_24871_lociStitched	chr22	42918415	42956925	5	36993	55465.953	6138.494	207	1
9_MACS_peak_25974_lociStitched	chr3	13668281	13707021	9	36677	46608.094	3649.308	208	1
8_MACS_peak_23644_lociStitched	chr21	47466806	47505850	8	36485	56051.5664	4997.632	209	1
8_MACS_peak_32870_lociStitched	chr9	133249141	133286485	8	36475	47695.7568	3032.3328	210	1
10_MACS_peak_22253_lociStitched	chr20	57179851	57218426	10	36475	41672.5725	3174.7225	211	1
11_MACS_peak_3893_lociStitched	chr1	32125613	32164650	11	36290	43252.996	3743.6483	212	1
16_MACS_peak_12551_lociStitched	chr17	1150411	1191506	16	36245	45434.632	3521.8415	213	1
6_MACS_peak_33195_lociStitched	chr9	135848140	135885569	6	36197	50016.3727	3409.7819	214	1
11_MACS_peak_19396_lociStitched	chr19	47940014	47978957	11	36114	44558.5806	3341.3094	215	1
10_MACS_peak_22894_lociStitched	chr20	61779430	61817409	10	36107	49570.1908	2856.0208	216	1
11_MACS_peak_6471_lociStitched	chr11	2304645	2343001	11	35832	47580.618	3129.8496	217	1
8_MACS_peak_33282_lociStitched	chr9	136286600	136324484	8	35774	53628.5904	3348.9456	218	1
8_MACS_peak_29840_lociStitched	chr7	100743449	100781647	8	35662	48683.351	3560.0536	219	1
13_MACS_peak_6491_lociStitched	chr11	2370677	2409945	13	35626	43618.8944	3514.486	220	1
6_MACS_peak_16136_lociStitched	chr19	4732103	4768163	6	35537	54555.174	5308.032	221	1
7_MACS_peak_30139_lociStitched	chr7	150940805	150977793	7	35500	71216.6952	5603.682	222	1
14_MACS_peak_29730_lociStitched	chr7	100210472	100250463	14	35432	47269.362	3915.1189	223	1
9_MACS_peak_26806_lociStitched	chr4	3851896	3889219	9	35424	46642.5531	3519.5589	224	1
9_MACS_peak_53_lociStitched	chr1	977172	1016117	9	35325	53526.008	2870.2465	225	1
8_MACS_peak_24842_lociStitched	chr22	42795503	42831829	8	35192	45385.7044	3367.4202	226	1
17_MACS_peak_27004_lociStitched	chr4	7234819	7273958	17	35160	40724.1295	2876.7165	227	1
5_MACS_peak_10767_lociStitched	chr16	2325164	2361762	5	35130	54549.319	3509.7482	228	1
5_MACS_peak_33951_lociStitched	chr9	139216955	139252375	5	35117	70765.618	2861.936	229	1
5_MACS_peak_21020_lociStitched	chr2	220325928	220362830	5	34824	56806.9388	3490.9292	230	1
9_MACS_peak_6426_lociStitched	chr11	2101835	2138236	9	34813	44336.418	3163.2469	231	1
16_MACS_peak_2137_lociStitched	chr1	17821193	17860892	16	34762	40862.1807	3858.7428	232	1
11_MACS_peak_1854_lociStitched	chr1	11746524	11782898	11	34702	47944.5694	3524.6406	233	1
10_MACS_peak_200_lociStitched	chr1	2080514	2117965	10	34669	43840.1406	2801.3348	234	1
8_MACS_peak_21390_lociStitched	chr20	30426296	30463057	8	34468	50722.8278	3988.5685	235	1
8_MACS_peak_13325_lociStitched	chr17	26831477	26867727	8	34431	48944.75	3936.75	236	1
4_MACS_peak_16110_lociStitched	chr19	4275859	4311006	4	34295	58333.4759	4625.3452	237	1
9_MACS_peak_14810_lociStitched	chr17	74871625	74906592	9	34271	44436.0636	3049.1224	238	1
4_MACS_peak_33562_lociStitched	chr9	137682552	137717194	4	34111	47840.602	2941.1058	239	1
15_MACS_peak_12846_lociStitched	chr17	7079980	7117351	15	34069	47752.6638	3561.4563	240	1
14_MACS_peak_13170_lociStitched	chr17	19053130	19089440	14	33986	32472.033	3852.491	241	1
5_MACS_peak_16121_lociStitched	chr19	4508311	4542912	5	33928	64049.9111	4809.539	242	1
15_MACS_peak_98_lociStitched	chr1	1356205	1395305	15	33791	43334.53	2944.23	243	1
11_MACS_peak_22285_lociStitched	chr20	57353232	57390460	11	33767	44115.18	2892.6156	244	1
9_MACS_peak_25069_lociStitched	chr22	44732701	44768105	9	33733	41624.4828	2687.1636	245	1
12_MACS_peak_21867_lociStitched	chr20	48955783	48992211	12	33711	38355.0412	3533.516	246	1
18_MACS_peak_24534_lociStitched	chr22	37104169	37143143	18	33625	40969.4688	3402.4302	247	1
2_MACS_peak_30122_lociStitched	chr7	149498141	149531806	2	33547	71097.1135	4056.6325	248	1
13_MACS_peak_14950_lociStitched	chr17	76290686	76329471	13	33547	43241.3965	3669.061	249	1
7_MACS_peak_16015_lociStitched	chr19	3323979	3359402	7	33545	47087.7939	4466.8403	250	1
10_MACS_peak_33244_lociStitched	chr9	136092369	136128273	10	33447	42610.8672	3159.552	251	1
11_MACS_peak_14995_lociStitched	chr17	76477537	76512536	11	33351	42366.2895	2922.4165	252	1
13_MACS_peak_10638_lociStitched	chr16	1006691	1043151	13	33311	44871.322	2461.05	253	1
5_MACS_peak_19390_lociStitched	chr19	47902760	47936098	5	33198	49043.5318	3287.1268	254	1
17_MACS_peak_19555_lociStitched	chr19	48772061	48810474	17	33112	39634.5334	3526.3134	255	1
17_MACS_peak_3136_lociStitched	chr1	23079667	23117625	17	33049	40489.7986	3651.5596	256	1
17_MACS_peak_2868_lociStitched	chr1	20847895	20887246	17	32835	37151.2791	3675.3834	257	1
4_MACS_peak_16099_lociStitched	chr19	4140379	4173672	4	32800	62837.2082	4534.5066	258	1
5_MACS_peak_45_lociStitched	chr1	913435	947716	5	32769	55092.9951	3332.1132	259	1
13_MACS_peak_32539_lociStitched	chr9	127232033	127268424	13	32695	43527.2751	2798.4679	260	1
