REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
1_MACS_peak_2009_lociStitched	chr1	17011981	17067214	1	55234	149493.6378	14183.8344	26	ESPNP	MST1P2,MST1P9	ESPNP	26	1
9_MACS_peak_23497_lociStitched	chr21	46404209	46480194	9	73383	143360.8995	9672.8905	27	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	27	1
12_MACS_peak_14074_lociStitched	chr17	47936879	48031747	12	92571	141998.4224	8908.1052	28		DLX4,TAC4,DLX3	TAC4	28	1
6_MACS_peak_16128_lociStitched	chr19	4557677	4635255	6	76843	143309.8394	10744.553	29	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	29	1
22_MACS_peak_28543_lociStitched	chr6	31990999	32077865	22	81051	141218.0562	8877.7052	30	C4B,C4A,CYP21A2,TNXB	STK19,PPT2,TNXA,ATF6B,FKBPL,PRRT1,LOC100507547	TNXB	30	1
6_MACS_peak_19510_lociStitched	chr19	48404352	48471539	6	64927	150754.1906	20720.4708	31	SNAR-A13,SNAR-C5,SNAR-A2,SNAR-A7,SNAR-C2,SNAR-C4,SNAR-C3,BSPH1	SNAR-A12,SNAR-C1,ELSPBP1,SULT2A1	SNAR-C4	31	1
4_MACS_peak_23493_lociStitched	chr21	46300807	46359797	4	58880	136255.102	8093.428	32	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	32	1
8_MACS_peak_31558_lociStitched	chr8	142012565	142093603	8	79149	137091.9846	9878.5322	33		DENND3,PTK2	PTK2	33	1
12_MACS_peak_25467_lociStitched	chr22	46288108	46374772	12	84692	131867.9424	7288.4424	34	WNT7B	LOC730668	WNT7B	34	1
18_MACS_peak_15263_lociStitched	chr17	77900052	77995436	18	90336	130084.6992	8584.56	35	TBC1D16	CCDC40	TBC1D16	35	1
16_MACS_peak_23407_lociStitched	chr21	45876191	45961304	16	81780	129431.3391	10485.9216	36	LRRC3,C21orf90,C21orf29,KRTAP10-1	KRTAP10-4,KRTAP10-2,KRTAP10-3,KRTAP10-5	C21orf90	36	1
8_MACS_peak_32973_lociStitched	chr9	133835373	133919464	8	82114	126422.4094	7627.0537	37	LAMC3	FIBCD1	LAMC3	37	1
4_MACS_peak_22808_lociStitched	chr20	61141407	61213402	4	70944	123665.8115	5334.8295	38	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	38	1
21_MACS_peak_12502_lociStitched	chr17	782538	882357	21	96632	122977.008	8664.2892	39	NXN	TIMM22,MIR3183	NXN	39	1
8_MACS_peak_8920_lociStitched	chr12	54337320	54411904	8	73360	121460.044	7309.232	40	HOXC13,HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,HOTAIR	HOXC6,HOXC5,MIR615,HOXC4,FLJ12825	HOXC10	40	1
18_MACS_peak_33293_lociStitched	chr9	136344535	136427358	18	79638	116647.9132	6600.9931	41	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	TMEM8C	41	1
3_MACS_peak_23565_lociStitched	chr21	46858031	46920069	3	61774	116432.9184	7698.9158	42	COL18A1	NCRNA00175,SLC19A1	COL18A1	42	1
9_MACS_peak_16022_lociStitched	chr19	3360425	3435084	9	73994	115236.1665	8914.2846	43	NFIC	C19orf77	NFIC	43	1
15_MACS_peak_14120_lociStitched	chr17	48634130	48714591	15	76237	112460.3397	7659.8872	44	CACNA1G,ABCC3	MYCBPAP,EPN3,SPATA20	CACNA1G	44	1
13_MACS_peak_23050_lociStitched	chr20	62790237	62866233	13	73383	109046.6604	6748.4448	45	MYT1	PCMTD2	MYT1	45	1
19_MACS_peak_8487_lociStitched	chr12	3321574	3409063	19	82652	109667.4615	7786.521	46	TSPAN9		TSPAN9	46	1
6_MACS_peak_32964_lociStitched	chr9	133769575	133829066	6	58794	102705.2624	5074.5823	47	FIBCD1	QRFP	FIBCD1	47	1
14_MACS_peak_6440_lociStitched	chr11	2148950	2223108	14	71160	103205.6886	5858.482	48	IGF2AS,IGF2,INS-IGF2,MIR483,INS,TH		INS-IGF2	48	1
11_MACS_peak_12597_lociStitched	chr17	1828828	1901071	11	71064	103538.6676	6436.8513	49	RTN4RL1	DPH1,OVCA2	RTN4RL1	49	1
9_MACS_peak_6784_lociStitched	chr11	61441089	61514122	9	71017	103619.2204	6675.2162	50	DAGLA	C11orf9,FEN1,DKFZP434K028,MIR611,C11orf10	DAGLA	50	1
8_MACS_peak_6379_lociStitched	chr11	1787038	1859973	8	70919	103385.3625	6476.628	51	SYT8	TNNI2,LSP1,LOC402778,CTSD,MOB2,MIR4298	SYT8	51	1
9_MACS_peak_1047_lociStitched	chr1	6470625	6530859	9	58220	101861.7174	5415.0366	52	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	52	1
15_MACS_peak_17786_lociStitched	chr19	18059401	18132400	15	68990	102986.9892	6555.3102	53	KCNN1,ARRDC2	CCDC124	ARRDC2	53	1
15_MACS_peak_32805_lociStitched	chr9	132910967	132983273	15	69899	101806.848	6348.4668	54	NCS1		NCS1	54	1
16_MACS_peak_33335_lociStitched	chr9	136534539	136610971	16	72652	100179.4224	6053.4144	55	SARDH	DBH	SARDH	55	1
12_MACS_peak_71_lociStitched	chr1	1088861	1149934	12	58731	97722.9073	4672.0845	56	MIR200B,MIR200A,MIR429,TTLL10,TNFRSF18,TNFRSF4	B3GALT6,C1orf159,SDF4,FAM132A	TTLL10	56	1
12_MACS_peak_23207_lociStitched	chr21	43129660	43198413	12	65600	101761.3153	9089.1466	57	NCRNA00112,C21orf129,RIPK4	NCRNA00111	RIPK4	57	1
7_MACS_peak_35_lociStitched	chr1	829524	879121	7	47756	97160.523	4642.2792	58	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	58	1
8_MACS_peak_26662_lociStitched	chr4	1751863	1808646	8	54281	97093.2517	4764.0937	59	FGFR3	TACC3,SLBP,TMEM129,LETM1	FGFR3	59	1
1_MACS_peak_19835_lociStitched	chr19	50594105	50643169	1	49065	104565.1968	14370.8456	60	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2	FLJ26850,SNAR-D,IZUMO2	SNAR-B1	60	1
26_MACS_peak_33090_lociStitched	chr9	135314374	135401955	26	81604	97863.0094	8110.0006	61	C9orf171	TTF1	C9orf171	61	1
5_MACS_peak_22904_lociStitched	chr20	61850004	61901561	5	51168	92890.2469	4299.8538	62	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	62	1
13_MACS_peak_33885_lociStitched	chr9	138625485	138690992	13	61640	92646.5501	4467.5774	63	KCNT1	SOHLH1	KCNT1	63	1
27_MACS_peak_15281_lociStitched	chr17	77998959	78076383	27	70862	94914.0816	6759.1152	64	CCDC40,GAA,TBC1D16	EIF4A3	CCDC40	64	1
11_MACS_peak_10669_lociStitched	chr16	1142452	1202386	11	57470	92514.1224	4542.9972	65	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	65	1
6_MACS_peak_23760_lociStitched	chr22	19705622	19763017	6	55674	92176.37	4826.9195	66	SEPT5-GP1BB,SEPT5,GP1BB,TBX1		TBX1	66	1
7_MACS_peak_22818_lociStitched	chr20	61316596	61372450	7	54952	91075.5324	4775.517	67	NTSR1	SLCO4A1,LOC100127888	NTSR1	67	1
27_MACS_peak_10606_lociStitched	chr16	916389	993736	27	69425	92507.012	6218.6988	68	LMF1	SOX8	LMF1	68	1
8_MACS_peak_428_lociStitched	chr1	3099642	3169118	8	68530	90575.8612	4640.9968	69	PRDM16		MIR4251	69	1
19_MACS_peak_15016_lociStitched	chr17	76550709	76627323	19	71675	92396.484	6994.8582	70	DNAH17		DNAH17	70	1
7_MACS_peak_22937_lociStitched	chr20	62065299	62122934	7	55707	89144.0545	4512.8205	71	KCNQ2,EEF1A2	PPDPF,PTK6	KCNQ2	71	1
17_MACS_peak_24764_lociStitched	chr22	40036256	40107248	17	66143	90614.1888	6034.32	72	CACNA1I		CACNA1I	72	1
9_MACS_peak_228_lociStitched	chr1	2347366	2411425	9	61939	89106.069	4554.5949	73	PLCH2	RER1,MORN1,PEX10,PANK4	PLCH2	73	1
13_MACS_peak_469_lociStitched	chr1	3296781	3364326	13	64270	88328.5965	4505.2515	74	PRDM16	ARHGEF16	ARHGEF16	74	1
7_MACS_peak_16103_lociStitched	chr19	4183720	4242125	7	57127	91765.936	8036.528	75	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	75	1
16_MACS_peak_33918_lociStitched	chr9	138932400	138998436	16	61508	87524.1144	4285.7364	76	NACC2	C9orf69	NACC2	76	1
25_MACS_peak_6751_lociStitched	chr11	61337328	61417871	25	75174	89974.5853	7498.5533	77	RPLP0P2,SYT7	DAGLA	RPLP0P2	77	1
19_MACS_peak_27480_lociStitched	chr4	8586550	8660216	19	70164	87456.2752	5495.4836	78	GPR78,CPZ		CPZ	78	1
21_MACS_peak_31968_lociStitched	chr8	143630613	143708302	21	71391	87415.6628	6005.3597	79	ARC	PSCA,JRK	ARC	79	1
8_MACS_peak_217_lociStitched	chr1	2243737	2294416	8	48732	84882.2571	3861.7398	80	MORN1,LOC100129534	RER1,PEX10	LOC100129534	80	1
12_MACS_peak_1676_lociStitched	chr1	10914134	10979169	12	63142	85716.13	5892.171	81			CASZ1	81	1
19_MACS_peak_3006_lociStitched	chr1	22542473	22613471	19	66364	85112.4024	6538.9158	82			WNT4	82	1
4_MACS_peak_32597_lociStitched	chr9	129370708	129419084	4	47743	82568.1568	4179.6864	83	LMX1B		LMX1B	83	1
24_MACS_peak_16199_lociStitched	chr19	5293601	5365189	24	65726	86421.0336	8218.3024	84	PTPRS		PTPRS	84	1
13_MACS_peak_25053_lociStitched	chr22	44657358	44724354	13	63372	82585.9692	5259.186	85	KIAA1644		KIAA1644	85	1
7_MACS_peak_26357_lociStitched	chr3	128168428	128216714	7	47279	81767.5124	4616.1416	86	DNAJB8,GATA2	LOC90246	DNAJB8	86	1
13_MACS_peak_16312_lociStitched	chr19	5827980	5891112	13	61537	84666.3252	8383.9296	87	NRTN,FUT6,FUT3,FUT5	VMAC,CAPS,PRR22,DUS3L,NDUFA11	FUT3	87	1
4_MACS_peak_15382_lociStitched	chr17	79112983	79159701	4	45841	80121.37	4288.7124	88	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	88	1
9_MACS_peak_1017_lociStitched	chr1	6180796	6234012	9	51710	80393.4112	4677.6864	89	CHD5	RNF207,RPL22	CHD5	89	1
14_MACS_peak_1954_lociStitched	chr1	16426839	16489589	14	57704	80746.7	5691.425	90	EPHA2	FAM131C,ARHGEF19	EPHA2	90	1
4_MACS_peak_22851_lociStitched	chr20	61590384	61640713	4	49770	79167.517	4569.8732	91	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	91	1
16_MACS_peak_33901_lociStitched	chr9	138864921	138925338	16	56788	78397.0992	4585.6503	92	NACC2	UBAC1	UBAC1	92	1
5_MACS_peak_23560_lociStitched	chr21	46817416	46856489	5	38260	77466.1298	4430.8782	93	COL18A1,NCRNA00175	COL18A1	NCRNA00175	93	1
12_MACS_peak_10657_lociStitched	chr16	1084611	1140595	12	53113	76574.9152	3661.3536	94	SSTR5,LOC146336,C1QTNF8		SSTR5	94	1
10_MACS_peak_6741_lociStitched	chr11	61272473	61329285	10	54678	77718.816	5107.3988	95	LRRC10B,SYT7	C11orf66	LRRC10B	95	1
9_MACS_peak_2951_lociStitched	chr1	21879683	21933950	9	50598	76994.0196	5122.8048	96	ALPL,RAP1GAP		ALPL	96	1
22_MACS_peak_7449_lociStitched	chr11	69970494	70036994	22	59945	77073.5	5213.6	97	ANO1	FADD	FADD	97	1
5_MACS_peak_15813_lociStitched	chr19	1508316	1549465	5	40031	77240.7879	5402.8637	98	PLK5P,ADAMTSL5	REEP6,C19orf25,PCSK4,MEX3D,MBD3	PLK5P	98	1
4_MACS_peak_26704_lociStitched	chr4	3458577	3499314	4	40052	75347.1552	3552.2664	99	DOK7	HGFAC,LRPAP1	DOK7	99	1
9_MACS_peak_19684_lociStitched	chr19	49519975	49574986	9	53533	75882.1734	5066.5131	100	CGB2,SNAR-G1,CGB5,LHB,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,C19orf73	CGB5	100	1
22_MACS_peak_26235_lociStitched	chr3	50445298	50515501	22	64380	77026.7316	6592.0617	101	CACNA2D2	TMEM115	CACNA2D2	101	1
9_MACS_peak_23250_lociStitched	chr21	43763119	43809058	9	44166	77113.2054	6748.4391	102	TFF2,TFF1,TMPRSS3	UBASH3A,TFF3	TFF1	102	1
6_MACS_peak_14086_lociStitched	chr17	48032919	48079330	6	45324	74596.4003	4353.3518	103	DLX4,DLX3		DLX4	103	1
21_MACS_peak_3160_lociStitched	chr1	23147237	23215960	21	63203	76474.9544	6384.3667	104	EPHB2,MIR4253		MIR4253	104	1
13_MACS_peak_140_lociStitched	chr1	1853431	1910422	13	52739	74059.8045	4667.5629	105	KIAA1751	CALML6,GABRD,GNB1,TMEM52	TMEM52	105	1
11_MACS_peak_12491_lociStitched	chr17	724942	781506	11	55164	74540.0392	5294.3904	106	NXN	RNMTL1,GLOD4	GLOD4	106	1
17_MACS_peak_398_lociStitched	chr1	3005450	3066197	17	56730	72671.6361	3887.808	107	PRDM16,MIR4251	FLJ42875	MIR4251	107	1
34_MACS_peak_1271_lociStitched	chr1	7477926	7552680	34	66741	74215.7712	5434.6158	108	CAMTA1		VAMP3	108	1
16_MACS_peak_2176_lociStitched	chr1	17917113	17978335	16	59766	73815.3654	5265.092	109	ARHGEF10L		ARHGEF10L	109	1
5_MACS_peak_33951_lociStitched	chr9	139216955	139252375	5	35117	70765.618	2861.936	110	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	110	1
2_MACS_peak_30122_lociStitched	chr7	149498141	149531806	2	33547	71097.1135	4056.6325	111	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	111	1
15_MACS_peak_2043_lociStitched	chr1	17409080	17467816	15	56338	71904.6112	5315.608	112	PADI2	SDHB	PADI2	112	1
6_MACS_peak_31575_lociStitched	chr8	142358795	142412578	6	52463	70740.7799	4872.7398	113	GPR20	LOC731779,PTP4A3	GPR20	113	1
3_MACS_peak_23781_lociStitched	chr22	20152002	20193497	3	40795	69097.474	3427.487	114		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	114	1
7_MACS_peak_30139_lociStitched	chr7	150940805	150977793	7	35500	71216.6952	5603.682	115	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	115	1
11_MACS_peak_438_lociStitched	chr1	3178178	3234963	11	54258	69618.41	4094.1985	116	PRDM16		MIR4251	116	1
3_MACS_peak_30136_lociStitched	chr7	150862097	150905932	3	43756	71683.3755	6277.172	117	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	117	1
18_MACS_peak_2117_lociStitched	chr1	17653912	17717231	18	58335	70391.7323	5521.4168	118	PADI4,PADI6	RCC2	PADI6	118	1
7_MACS_peak_23388_lociStitched	chr21	45760521	45803015	7	40888	70246.8314	5392.4886	119	TRPM2	PFKL,C21orf2	TRPM2	119	1
5_MACS_peak_28490_lociStitched	chr6	30408710	30451299	5	41890	70655.151	5826.1752	120		HLA-E	HLA-E	120	1
18_MACS_peak_26761_lociStitched	chr4	3700319	3764886	18	59225	70261.8094	5494.6517	121		ADRA2C,LOC100133461	ADRA2C	121	1
15_MACS_peak_28127_lociStitched	chr5	176119087	176177217	15	55482	69610.675	4964.302	122		TSPAN17	TSPAN17	122	1
9_MACS_peak_6400_lociStitched	chr11	1916997	1960800	9	41934	68223.1725	3701.3535	123	TNNT3	LSP1,MRPL23,MIR4298	TNNT3	123	1
7_MACS_peak_8978_lociStitched	chr12	57577072	57619902	7	41812	68956.3	4835.507	124	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	MIR1228	124	1
6_MACS_peak_10680_lociStitched	chr16	1204329	1248331	6	42897	66729.033	2846.9294	125	CACNA1H	TPSAB1,TPSG1,TPSB2	CACNA1H	125	1
14_MACS_peak_25420_lociStitched	chr22	45892440	45949455	14	54438	68275.4625	4538.394	126	FBLN1		FBLN1	126	1
12_MACS_peak_6911_lociStitched	chr11	64284917	64340868	12	52039	68221.0543	4817.3811	127	SLC22A11	SLC22A12	SLC22A11	127	1
11_MACS_peak_506_lociStitched	chr1	3489822	3536155	11	44947	66890.9521	3739.0731	128	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	128	1
4_MACS_peak_24604_lociStitched	chr22	37469262	37513869	4	44469	67057.7031	4358.1039	129	TMPRSS6	KCTD17,IL2RB	TMPRSS6	129	1
7_MACS_peak_22930_lociStitched	chr20	62019371	62064075	7	42228	65643.3536	3182.9248	130	KCNQ2	CHRNA4,KCNQ2	CHRNA4	130	1
14_MACS_peak_16625_lociStitched	chr19	8172766	8224347	14	47429	68520.2004	6426.9926	131	FBN3	LASS4	FBN3	131	1
17_MACS_peak_28734_lociStitched	chr6	34041417	34098491	17	52087	66565.4062	4628.7014	132	GRM4		GRM4	132	1
12_MACS_peak_2085_lociStitched	chr1	17534602	17588702	12	52734	66721.53	4831.13	133	PADI1,PADI3	PADI4	PADI3	133	1
18_MACS_peak_2589_lociStitched	chr1	19009173	19069880	18	57374	66862.6898	5251.1555	134	PAX7		PAX7	134	1
25_MACS_peak_19303_lociStitched	chr19	46955740	47011692	25	51941	67013.7104	5567.224	135	PNMAL1,PNMAL2	CCDC8	PNMAL1	135	1
7_MACS_peak_5513_lociStitched	chr10	102482435	102522315	7	38566	64968.508	3984.012	136	PAX2		PAX2	136	1
7_MACS_peak_15780_lociStitched	chr19	822562	861027	7	37563	65121.245	4531.177	137	AZU1,PRTN3,ELANE,CFD	PTBP1,MIR3187,LPPR3,MED16	PRTN3	137	1
5_MACS_peak_6240_lociStitched	chr11	1026031	1066061	5	38625	64396.261	3878.907	138	MUC6	MUC2	MUC6	138	1
21_MACS_peak_1769_lociStitched	chr1	11472688	11529825	21	52961	65496.1431	5010.9149	139		PTCHD2	PTCHD2	139	1
19_MACS_peak_3075_lociStitched	chr1	22906803	22961902	19	50208	64945.1913	4474.0388	140	EPHA8	C1QA,C1QC,C1QB	C1QA	140	1
8_MACS_peak_22913_lociStitched	chr20	61936795	61983622	8	44325	64045.2879	3647.8233	141	COL20A1,CHRNA4	ARFGAP1,MIR4326	CHRNA4	141	1
7_MACS_peak_6967_lociStitched	chr11	64474361	64516452	7	40355	64462.3665	4672.101	142	NRXN2,RASGRP2,PYGM	SF1	NRXN2	142	1
4_MACS_peak_33936_lociStitched	chr9	139013608	139054601	4	40364	62821.7725	3066.2764	143		NACC2,C9orf69,LHX3	C9orf69	143	1
19_MACS_peak_16289_lociStitched	chr19	5731744	5788833	19	51934	67159.4996	7410.1522	144	TMEM146,PRR22,DUS3L	RPL36,NRTN,LONP1	PRR22	144	1
4_MACS_peak_20517_lociStitched	chr2	26776623	26820070	4	42851	64479.6927	4774.8253	145	C2orf70,OTOF,CIB4		C2orf70	145	1
15_MACS_peak_10589_lociStitched	chr16	859041	907561	15	45322	63464.16	3988.344	146	PRR25,LMF1	MSLN,MIR662,CHTF18,MSLNL,RPUSD1,GNG13	PRR25	146	1
5_MACS_peak_16121_lociStitched	chr19	4508311	4542912	5	33928	64049.9111	4809.539	147	PLIN4,PLIN5,LRG1,SEMA6B	HDGFRP2	PLIN4	147	1
26_MACS_peak_14664_lociStitched	chr17	72587698	72651047	26	53891	65623.2291	6803.6826	148	C17orf77,CD300LD,CD300E	RAB37,CD300C	CD300E	148	1
4_MACS_peak_23784_lociStitched	chr22	20197425	20237426	4	39732	61805.5451	3392.0848	149	RTN4R,MIR1286	LOC150197	MIR1286	149	1
31_MACS_peak_15166_lociStitched	chr17	77612268	77674066	31	54545	62768.2286	4443.2762	150		ENPP7	ENPP7	150	1
4_MACS_peak_16099_lociStitched	chr19	4140379	4173672	4	32800	62837.2082	4534.5066	151	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	151	1
17_MACS_peak_21994_lociStitched	chr20	56117814	56171923	17	48999	63107.3267	5161.9986	152	PCK1	CTCFL,ZBP1	PCK1	152	1
11_MACS_peak_18941_lociStitched	chr19	42467679	42511274	11	41650	61342.5245	3788.4055	153	ATP1A3,GRIK5	RABAC1	ATP1A3	153	1
10_MACS_peak_33940_lociStitched	chr9	139056752	139096657	10	37914	60053.0345	3028.7895	154	LHX3	C9orf69,QSOX2	LHX3	154	1
6_MACS_peak_10651_lociStitched	chr16	1044447	1082763	6	37637	59861.0868	2923.5108	155		SOX8,SSTR5,LMF1,LOC146336	SOX8	155	1
10_MACS_peak_23608_lociStitched	chr21	47357497	47396911	10	37805	60961.6338	4926.75	156	PCBP3	COL6A1	COL6A1	156	1
9_MACS_peak_32601_lociStitched	chr9	129427549	129468989	9	38784	59789.632	3969.952	157	LMX1B		LMX1B	157	1
20_MACS_peak_14912_lociStitched	chr17	75878557	75931590	20	46948	61035.6797	5239.6604	158	FLJ45079		FLJ45079	158	1
13_MACS_peak_15041_lociStitched	chr17	77015496	77057339	13	37497	59626.275	3862.1089	159	C1QTNF1	ENGASE,LGALS3BP,CANT1	C1QTNF1	159	1
15_MACS_peak_18284_lociStitched	chr19	35977884	36028818	15	47890	60402.6306	4696.1148	160	GAPDHS,KRTDAP,DMKN,SBSN	FFAR2,TMEM147,ATP4A	DMKN	160	1
13_MACS_peak_6945_lociStitched	chr11	64398758	64448603	13	45966	60167.8995	4700.3835	161	NRXN2	SLC22A12	NRXN2	161	1
7_MACS_peak_14704_lociStitched	chr17	72908376	72953219	7	43532	59219.6658	4286.9908	162	OTOP2,OTOP3,USH1G,C17orf28	CDR2L,FDXR,FADS6	OTOP3	162	1
2_MACS_peak_28541_lociStitched	chr6	31958520	31985355	2	26809	57832.1085	3024.3045	163	C4B,C4A,CYP21A2,STK19,TNXA,TNXB	CFB,SKIV2L,STK19,MIR1236,RDBP,DOM3Z	CYP21A2	163	1
7_MACS_peak_14590_lociStitched	chr17	72333754	72381577	7	46786	58999.2351	4227.5532	164	KIF19,GPR142,BTBD17	GPRC5C	BTBD17	164	1
