REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X08_0EWU_0229Kronos_MM1S.KB.6hr.2_H3K18Ac_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
1_MACS_peak_27152_lociStitched	chr6	106530472	106556477	1	26006	110601.8655	5211.402	29	PRDM1		PRDM1	PRDM1	3.1529	29	1
1_MACS_peak_26198_lociStitched	chr6	25402716	25415707	1	12992	107805.8135	2811.2524	30	LRRC16A		LRRC16A	LRRC16A	0.4458	30	1
4_MACS_peak_29571_lociStitched	chr7	150052558	150084926	4	25581	112886.6368	8312.1024	31	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	3.5194	31	1
4_MACS_peak_4686_lociStitched	chr10	125821816	125854980	4	31765	109159.306	5969.52	32	CHST15		CHST15	CHST15	1.1553	32	1
1_MACS_peak_6664_lociStitched	chr12	12865974	12881796	1	15823	106118.154	3257.7498	33	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	6.8186	33	1
3_MACS_peak_11143_lociStitched	chr16	12052031	12072074	3	14791	105919.2378	3611.7486	34	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	7.5942	34	1
4_MACS_peak_2689_lociStitched	chr1	206282002	206311340	4	21800	108101.7286	7099.796	35	C1orf186	CTSE	C1orf186	C1orf186	1.3118999999999998	35	1
3_MACS_peak_16217_lociStitched	chr2	65155656	65179029	3	19340	103348.3941	4976.1117	36	LOC400958	SLC1A4	LOC400958	LOC400958	1.7918	36	1
2_MACS_peak_343_lociStitched	chr1	24511940	24533858	2	18743	102135.6882	4028.5284	37	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	1.1079	37	1
2_MACS_peak_17663_lociStitched	chr2	201979788	201998180	2	16518	101722.4736	3742.772	38	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	1.7225	38	1
3_MACS_peak_25214_lociStitched	chr5	131744847	131774520	3	22508	103570.6392	5738.7582	39	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	2.2662	39	1
1_MACS_peak_23945_lociStitched	chr4	185200649	185211143	1	10495	100137.9456	2631.8952	40			ENPP6	NONE	NONE	40	1
3_MACS_peak_1545_lociStitched	chr1	118141856	118189275	3	40994	102496.1685	5315.6699	41	FAM46C		FAM46C	FAM46C	2.3217999999999996	41	1
2_MACS_peak_14337_lociStitched	chr19	2081551	2098398	2	15268	101900.7642	5222.57	42	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.7399	42	1
2_MACS_peak_13057_lociStitched	chr17	56404600	56423304	2	16732	101072.6752	4502.0528	43	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	4.3751	43	1
1_MACS_peak_14126_lociStitched	chr18	60821496	60832151	1	10656	98809.1425	2363.279	44	BCL2		BCL2	BCL2	0.7258	44	1
1_MACS_peak_17439_lociStitched	chr2	182168306	182180656	1	12351	98561.645	2563.86	45			ITGA4	ITGA4	0.18220000000000003	45	1
2_MACS_peak_9822_lociStitched	chr15	31546177	31562824	2	14133	98625.1515	3023.0952	46			KLF13	KLF13	1.298	46	1
2_MACS_peak_7852_lociStitched	chr12	109020210	109036346	2	14065	98542.552	3522.4888	47	SELPLG	TMEM119	SELPLG	SELPLG	4.853	47	1
2_MACS_peak_5732_lociStitched	chr11	72850624	72870171	2	19163	98456.2843	3962.1769	48	FCHSD2		FCHSD2	FCHSD2	0.05679999999999999	48	1
3_MACS_peak_4547_lociStitched	chr10	112112403	112129054	3	11629	97619.8177	3178.6759	49		SMNDC1	SMNDC1	SMNDC1	0.08410000000000001	49	1
1_MACS_peak_7163_lociStitched	chr12	53586987	53604457	1	17471	97809.289	3862.617	50	ITGB7,RARG	ZNF740,MFSD5,CSAD	ITGB7	ITGB7	3.6739	50	1
3_MACS_peak_19364_lociStitched	chr21	41318556	41345249	3	22025	97781.7976	7540.7725	51			PCP4	PCP4	0.2962	51	1
2_MACS_peak_12685_lociStitched	chr17	38459184	38484823	2	20686	94028.4686	4086.8566	52	CDC6,RARA	RARA,GJD3	RARA	RARA	1.5343	52	1
5_MACS_peak_30760_lociStitched	chr8	120912558	120951310	5	36840	95922.8256	6335.952	53	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.6569	53	1
3_MACS_peak_1877_lociStitched	chr1	154907845	154935745	3	20216	96960.87	7731.09	54	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	2.2831	54	1
1_MACS_peak_15627_lociStitched	chr2	20404556	20426545	1	21990	92305.4242	4169.1144	55	SDC1		SDC1	SDC1	2.5978	55	1
2_MACS_peak_1548_lociStitched	chr1	118194477	118219411	2	22099	90789.6808	2805.075	56		FAM46C	FAM46C	FAM46C	2.3217999999999996	56	1
3_MACS_peak_22173_lociStitched	chr3	183227750	183260906	3	28757	94093.4124	8902.386	57	KLHL6		KLHL6	KLHL6	1.3734	57	1
5_MACS_peak_24827_lociStitched	chr5	88594131	88620502	5	23755	89028.496	4757.3284	58			MEF2C	MEF2C	0.4508	58	1
5_MACS_peak_19446_lociStitched	chr21	45552626	45580934	5	19134	90664.8624	6590.1024	59	C21orf33	PWP2	C21orf33	C21orf33	1.0917999999999999	59	1
1_MACS_peak_18654_lociStitched	chr20	37498176	37506679	1	8504	85995.9408	2046.6721	60	PPP1R16B	FAM83D	FAM83D	FAM83D	0.016400000000000012	60	1
2_MACS_peak_503_lociStitched	chr1	31214003	31236397	2	20995	88449.5818	4837.104	61	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	2.3766000000000003	61	1
2_MACS_peak_5074_lociStitched	chr11	19449398	19467657	2	17809	86093.0109	3604.3266	62	NAV2		NAV2	NAV2	0.09590000000000001	62	1
2_MACS_peak_19656_lociStitched	chr22	24178835	24192282	2	13162	84967.5589	2774.1161	63	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	0.8907	63	1
1_MACS_peak_32683_lociStitched	chrX	19469950	19470965	1	1016	82236.721	173.0575	64	MAP3K15		MAP3K15	MAP3K15	0.47619999999999996	64	1
4_MACS_peak_19968_lociStitched	chr22	39822713	39846260	4	16153	85612.1826	3932.349	65	TAB1	MGAT3	MGAT3	MGAT3	0.3772000000000001	65	1
4_MACS_peak_14362_lociStitched	chr19	2606399	2628927	4	15643	86931.0464	5377.4336	66	GNG7		GNG7	GNG7	0.5511	66	1
1_MACS_peak_22790_lociStitched	chr4	40190936	40209684	1	18749	85384.0164	4463.8988	67	RHOH		RHOH	RHOH	1.2872	67	1
1_MACS_peak_23952_lociStitched	chr4	185301394	185308203	1	6810	82663.3027	1870.4323	68			IRF2	IRF2	1.9156000000000002	68	1
1_MACS_peak_24079_lociStitched	chr5	1311156	1320699	1	9544	82567.9446	2418.1962	69	CLPTM1L	TERT	TERT	NONE	NONE	69	1
1_MACS_peak_19392_lociStitched	chr21	43479838	43487172	1	7335	81986.0526	2544.898	70	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	UMODL1	1.0866	70	1
2_MACS_peak_11677_lociStitched	chr16	66548914	66560907	2	11499	80837.6172	2584.4915	71	TK2	CKLF,CMTM1	TK2	TK2	1.8437000000000001	71	1
5_MACS_peak_13146_lociStitched	chr17	62150031	62187309	5	34286	85243.6026	7030.6308	72	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.1422	72	1
4_MACS_peak_18535_lociStitched	chr20	32423906	32452547	4	22863	83454.1458	5590.7232	73	CHMP4B		CHMP4B	CHMP4B	1.7734	73	1
1_MACS_peak_28743_lociStitched	chr7	78113491	78128618	1	15128	79988.5506	3054.1413	74	MAGI2		RPL13AP17	RPL13AP17	NONE	74	1
1_MACS_peak_28513_lociStitched	chr7	55594724	55605404	1	10681	78838.692	2221.44	75	VOPP1		VOPP1	VOPP1	1.5334	75	1
2_MACS_peak_4950_lociStitched	chr11	10323589	10345155	2	20597	80501.5648	4472.7884	76	ADM	SBF2	ADM	ADM	4.0131	76	1
2_MACS_peak_11285_lociStitched	chr16	23342850	23354836	2	11884	78748.02	2780.752	77	SCNN1B		SCNN1B	SCNN1B	1.2186	77	1
1_MACS_peak_22086_lociStitched	chr3	178229278	178241579	1	12302	78828.4983	3130.6045	78		KCNMB2	KCNMB2	KCNMB2	0.04769999999999999	78	1
2_MACS_peak_9950_lociStitched	chr15	40386937	40409270	2	17528	79559.0792	4301.3358	79	BMF	BUB1B	BMF	BMF	2.5877	79	1
4_MACS_peak_23953_lociStitched	chr4	185317366	185350248	4	22758	81133.0468	5964.7948	80	IRF2		IRF2	IRF2	1.9156000000000002	80	1
5_MACS_peak_27033_lociStitched	chr6	90056089	90086260	5	24116	79775.1411	5466.9852	81	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.2891000000000001	81	1
1_MACS_peak_2760_lociStitched	chr1	209274318	209285662	1	11345	77190.248	3212.6208	82			LOC642587	LOC642587	NONE	82	1
2_MACS_peak_29690_lociStitched	chr8	2027403	2042367	2	14729	76748.8596	3272.6268	83	MYOM2		MYOM2	MYOM2	0.9856	83	1
2_MACS_peak_21580_lociStitched	chr3	133178636	133201120	2	19648	77160.5912	4438.3416	84	BFSP2		BFSP2	BFSP2	1.0276	84	1
6_MACS_peak_15066_lociStitched	chr19	42022224	42062902	6	28750	77955.3192	7155.2602	85		CEACAM21	CEACAM21	CEACAM21	0.021100000000000008	85	1
5_MACS_peak_26725_lociStitched	chr6	52392473	52424382	5	28326	76441.2004	5893.5923	86	TRAM2		TRAM2	TRAM2	1.2618999999999998	86	1
3_MACS_peak_1855_lociStitched	chr1	154370171	154394732	3	19452	77042.9448	6545.5065	87	IL6R		IL6R	IL6R	0.9407999999999999	87	1
4_MACS_peak_1732_lociStitched	chr1	149802955	149834106	4	17061	77983.4134	8080.5694	88	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AB	2.9025000000000003	88	1
1_MACS_peak_4555_lociStitched	chr10	112214528	112226179	1	11652	72015.9961	2500.3046	89		DUSP5	DUSP5	DUSP5	1.1204	89	1
2_MACS_peak_24125_lociStitched	chr5	6475337	6487852	2	11866	71394.3205	2538.042	90	UBE2QL1		UBE2QL1	UBE2QL1	1.4171	90	1
3_MACS_peak_1940_lociStitched	chr1	156115209	156136683	3	18881	74697.309	6010.5726	91	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	1.8	91	1
1_MACS_peak_18539_lociStitched	chr20	32460551	32473781	1	13231	71076.852	2463.426	92			CHMP4B	CHMP4B	1.7734	92	1
2_MACS_peak_6353_lociStitched	chr11	128585312	128610036	2	24718	72817.1248	4986.8308	93	FLI1		FLI1	FLI1	0.6965	93	1
1_MACS_peak_26030_lociStitched	chr6	11826998	11838118	1	11121	69854.728	2122.808	94		C6orf105	C6orf105	C6orf105	0.49129999999999996	94	1
7_MACS_peak_13944_lociStitched	chr18	46439433	46482984	7	37993	74942.5608	7451.5761	95	SMAD7		SMAD7	SMAD7	1.5746	95	1
10_MACS_peak_17705_lociStitched	chr2	204523795	204574128	10	28196	74200.9086	7635.5161	96	CD28		CD28	CD28	1.2909	96	1
2_MACS_peak_24832_lociStitched	chr5	88634416	88652656	2	13734	69155.136	2832.672	97			MEF2C	MEF2C	0.4508	97	1
4_MACS_peak_11126_lociStitched	chr16	11761456	11786380	4	21182	70382.8836	4448.934	98	SNN,TXNDC11		SNN	SNN	1.6255000000000002	98	1
4_MACS_peak_27008_lociStitched	chr6	88612317	88640483	4	23962	70544.5636	4619.224	99			SPACA1	SPACA1	NONE	99	1
3_MACS_peak_13379_lociStitched	chr17	75130794	75146973	3	15753	69506.6019	3643.5108	100	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	1.8437	100	1
4_MACS_peak_3749_lociStitched	chr10	45913574	45934602	4	15637	69234.69	3517.9844	101	ALOX5		ALOX5	ALOX5	0.8408	101	1
2_MACS_peak_22021_lociStitched	chr3	174863902	174877876	2	9132	68492.1636	3188.8668	102	NAALADL2		NAALADL2	NAALADL2	0.1467	102	1
1_MACS_peak_8825_lociStitched	chr13	114828905	114835159	1	6255	66492.528	1234.5396	103	RASA3		RASA3	RASA3	0.6364	103	1
1_MACS_peak_16798_lociStitched	chr2	112455454	112466752	1	11299	67764.2742	2533.0116	104			ANAPC1	ANAPC1	NONE	104	1
4_MACS_peak_2364_lociStitched	chr1	183856300	183885886	4	17757	71743.0914	6704.1876	105	RGL1		GLT25D2	GLT25D2	NONE	105	1
2_MACS_peak_22254_lociStitched	chr3	186702993	186720403	2	14466	68861.773	4869.577	106	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.7866	106	1
4_MACS_peak_20307_lociStitched	chr3	13035477	13061715	4	17879	68056.1244	5153.1432	107	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.3371	107	1
6_MACS_peak_9825_lociStitched	chr15	31628780	31660689	6	24572	68240.5874	5485.1571	108	KLF13		KLF13	KLF13	1.298	108	1
3_MACS_peak_27750_lociStitched	chr6	157976444	158000315	3	20728	64893.3135	2265.3579	109	ZDHHC14	MIR3692	MIR3692	NONE	NONE	109	1
9_MACS_peak_27560_lociStitched	chr6	138244518	138297694	9	33203	70740.0328	8561.336	110			TNFAIP3	TNFAIP3	1.2955	110	1
2_MACS_peak_21946_lociStitched	chr3	169656099	169668474	2	11967	65224.9125	3519.45	111	SAMD7,LOC100128164	SEC62	LOC100128164	LOC100128164	2.1451	111	1
3_MACS_peak_12577_lociStitched	chr17	34408589	34432875	3	23031	66247.3508	4750.3416	112	CCL4,CCL3	CCL18	CCL3	CCL3	3.3142	112	1
3_MACS_peak_22066_lociStitched	chr3	177055457	177080214	3	15860	67088.9943	5775.8081	113			TBL1XR1	TBL1XR1	0.3345	113	1
2_MACS_peak_6146_lociStitched	chr11	115089614	115102717	2	11505	63427.6921	2249.7851	114	CADM1		CADM1	CADM1	0.267	114	1
3_MACS_peak_6476_lociStitched	chr12	4216063	4230514	3	10175	63402.3174	2787.5979	115			CCND2	CCND2	0.44910000000000005	115	1
4_MACS_peak_20691_lociStitched	chr3	46317555	46347535	4	28898	64831.75	4988.672	116		CCR3,CCR2	CCR3	CCR2	1.4638	116	1
5_MACS_peak_7051_lociStitched	chr12	48196380	48220832	5	18409	63626.5492	4078.5936	117	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.2394999999999998	117	1
2_MACS_peak_22759_lociStitched	chr4	38306895	38322765	2	14628	62645.238	3156.543	118			KLF3	KLF3	NONE	118	1
1_MACS_peak_2362_lociStitched	chr1	183808608	183816104	1	7497	61315.7808	2219.5656	119	RGL1		APOBEC4	APOBEC4	0.0691	119	1
4_MACS_peak_3385_lociStitched	chr10	7510803	7536517	4	19162	62780.731	3967.6702	120			SFMBT2	SFMBT2	NONE	120	1
4_MACS_peak_6547_lociStitched	chr12	7045706	7072016	4	18997	63436.041	4720.014	121	ATN1,C12orf57,PTPN6	LRRC23,ENO2,MIR200C,MIR141,EMG1,SCARNA12,PHB2	PTPN6	PTPN6	2.1981	121	1
3_MACS_peak_2061_lociStitched	chr1	161144393	161163801	3	13898	64116.2688	5434.24	122	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	1.7678	122	1
5_MACS_peak_10727_lociStitched	chr15	89646670	89676555	5	18780	62940.7985	5295.622	123	ABHD2		ABHD2	ABHD2	0.4877	123	1
4_MACS_peak_20685_lociStitched	chr3	46245535	46263851	4	14388	61080.1968	3641.2208	124	CCR1	CCR3	CCR1	CCR1	2.6806	124	1
2_MACS_peak_25736_lociStitched	chr5	173695949	173710293	2	13439	59815.9144	2379.6696	125			HMP19	HMP19	NONE	125	1
2_MACS_peak_32065_lociStitched	chr9	112903445	112925611	2	21643	62120.215	4685.8924	126	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.5960000000000001	126	1
1_MACS_peak_11597_lociStitched	chr16	56943106	56953770	1	10665	59357.9568	2115.7376	127	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	1.757	127	1
4_MACS_peak_6094_lociStitched	chr11	111232608	111251864	4	16993	60544.7152	3337.0648	128	POU2AF1		POU2AF1	POU2AF1	1.5496	128	1
3_MACS_peak_24270_lociStitched	chr5	32570771	32592448	3	18478	61092.2891	4270.369	129	SUB1		SUB1	SUB1	1.3169	129	1
2_MACS_peak_10223_lociStitched	chr15	56656142	56667522	2	11258	58977.988	2215.686	130	TEX9		TEX9	TEX9	0.6077	130	1
1_MACS_peak_15913_lociStitched	chr2	42322950	42335485	1	12536	59083.7225	2617.308	131		PKDCC	PKDCC	NONE	NONE	131	1
2_MACS_peak_2034_lociStitched	chr1	160632955	160646554	2	9751	59793.4431	3565.6578	132		SLAMF1,CD48	SLAMF1	CD48	1.6795	132	1
1_MACS_peak_17674_lociStitched	chr2	202116007	202128666	1	12660	58447.8689	2441.9211	133	CASP8		CASP8	CASP8	1.0529	133	1
2_MACS_peak_27497_lociStitched	chr6	135190194	135204467	2	9284	58632.0567	2747.5525	134			ALDH8A1	ALDH8A1	NONE	134	1
1_MACS_peak_27156_lociStitched	chr6	106608792	106619033	1	10242	57847.3126	2009.2842	135			PRDM1	PRDM1	3.1529	135	1
4_MACS_peak_19723_lociStitched	chr22	29206904	29226139	4	17428	58824.477	3441.1415	136		CCDC117,XBP1	XBP1	XBP1	2.9603	136	1
2_MACS_peak_15004_lociStitched	chr19	39887899	39904073	2	16075	58210.226	3103.7906	137	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	ZFP36	3.6353	137	1
6_MACS_peak_10880_lociStitched	chr15	101661147	101692431	6	20851	59918.2452	4852.1484	138			CHSY1	CHSY1	0.3778	138	1
4_MACS_peak_16544_lociStitched	chr2	89046949	89066769	4	14402	58100.348	3111.74	139	RPIA,ANKRD36BP2		ANKRD36BP2	ANKRD36BP2	0.008500000000000008	139	1
3_MACS_peak_9453_lociStitched	chr14	81930626	81956072	3	20608	57202.608	2503.8864	140	SEL1L		SEL1L	SEL1L	0.8012	140	1
3_MACS_peak_10399_lociStitched	chr15	68568812	68599539	3	27584	59745.5788	5125.2636	141	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	1.4079	141	1
3_MACS_peak_32051_lociStitched	chr9	112665337	112683343	3	13507	57655.212	3131.2434	142	PALM2,PALM2-AKAP2		PALM2	PALM2	0.2895	142	1
1_MACS_peak_24819_lociStitched	chr5	88170881	88187043	1	16163	57213.48	2876.836	143	MEF2C		MEF2C	MEF2C	0.4508	143	1
2_MACS_peak_19882_lociStitched	chr22	37610397	37629164	2	16700	57809.8668	3569.4834	144	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	SSTR3	0.5204	144	1
3_MACS_peak_23015_lociStitched	chr4	74453812	74475873	3	17733	57680.6906	3598.1491	145	RASSF6		RASSF6	RASSF6	0.9933	145	1
1_MACS_peak_16479_lociStitched	chr2	86219199	86229233	1	10035	55818.1386	1735.882	146		LOC90784	LOC90784	LOC90784	0.035799999999999985	146	1
7_MACS_peak_10811_lociStitched	chr15	93346252	93389625	7	19854	60197.3867	6171.9779	147		ASB9P1,LOC100507217	ASB9P1	LOC100507217	0.5697000000000001	147	1
2_MACS_peak_22257_lociStitched	chr3	186779628	186792606	2	9645	57426.3522	3798.6606	148	ST6GAL1		ST6GAL1	ST6GAL1	0.7866	148	1
3_MACS_peak_7416_lociStitched	chr12	68751476	68770910	3	13415	57081.5448	3639.9882	149		MDM1	MDM1	NONE	NONE	149	1
4_MACS_peak_9967_lociStitched	chr15	40833504	40862540	4	19955	58571.4192	5229.3836	150	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.2705	150	1
4_MACS_peak_22029_lociStitched	chr3	175050574	175074622	4	20792	57883.536	5054.8896	151	NAALADL2		NAALADL2	NAALADL2	0.1467	151	1
2_MACS_peak_16305_lociStitched	chr2	70310135	70323548	2	8956	55571.4003	2751.0063	152	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	4.2479	152	1
2_MACS_peak_32929_lociStitched	chrX	48790358	48805051	2	12912	54303.8587	1620.6379	153	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	1.5518999999999998	153	1
3_MACS_peak_29152_lociStitched	chr7	114556693	114574678	3	13579	56854.182	4474.668	154	MDFIC		MDFIC	MDFIC	1.8122	154	1
5_MACS_peak_1923_lociStitched	chr1	155938795	155962256	5	18364	58077.7055	5783.1365	155	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	1.5393	155	1
2_MACS_peak_250_lociStitched	chr1	17221189	17233522	2	7516	56481.4401	4225.2858	156		CROCC	CROCC	NONE	NONE	156	1
3_MACS_peak_17160_lociStitched	chr2	158323526	158337964	3	9447	54250.785	2276.8726	157		CYTIP	CYTIP	CYTIP	1.2142000000000002	157	1
3_MACS_peak_2448_lociStitched	chr1	192498004	192521299	3	18514	56860.7655	5075.9805	158		RGS1	RGS1	RGS1	1.238	158	1
3_MACS_peak_18901_lociStitched	chr20	52194123	52216290	3	21723	55659.1203	4129.7121	159	ZNF217		ZNF217	ZNF217	0.8031	159	1
3_MACS_peak_20711_lociStitched	chr3	46577553	46592057	3	12773	53638.6928	2645.5296	160	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	0.9205000000000001	160	1
3_MACS_peak_19420_lociStitched	chr21	44724588	44747648	3	14819	54737.522	4023.97	161			SIK1	SIK1	NONE	161	1
2_MACS_peak_26232_lociStitched	chr6	26354994	26368111	2	13017	53311.4231	2772.9338	162	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	1.5707	162	1
1_MACS_peak_28176_lociStitched	chr7	26001980	26012278	1	10299	52445.6544	2233.6362	163		MIR148A	MIR148A	MIR148A	1.6266	163	1
2_MACS_peak_10234_lociStitched	chr15	58581879	58595860	2	12124	52623.0859	2448.0731	164			LIPC	LIPC	NONE	164	1
