REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X08_0EWU_0229Kronos_MM1S.KB.6hr.2_H3K18Ac_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
3_MACS_peak_19364_lociStitched	chr21	41318556	41345249	3	22025	97781.7976	7540.7725	49			PCP4	49	1
2_MACS_peak_6353_lociStitched	chr11	128585312	128610036	2	24718	72817.1248	4986.8308	50	FLI1		FLI1	50	1
2_MACS_peak_1548_lociStitched	chr1	118194477	118219411	2	22099	90789.6808	2805.075	51		FAM46C	FAM46C	51	1
2_MACS_peak_18008_lociStitched	chr2	232687115	232714641	2	27235	31572.322	3729.773	52		COPS7B,PDE6D,MIR1471	COPS7B	52	1
1_MACS_peak_15627_lociStitched	chr2	20404556	20426545	1	21990	92305.4242	4169.1144	53	SDC1		SDC1	53	1
6_MACS_peak_9825_lociStitched	chr15	31628780	31660689	6	24572	68240.5874	5485.1571	54	KLF13		KLF13	54	1
4_MACS_peak_18535_lociStitched	chr20	32423906	32452547	4	22863	83454.1458	5590.7232	55	CHMP4B		CHMP4B	55	1
4_MACS_peak_27008_lociStitched	chr6	88612317	88640483	4	23962	70544.5636	4619.224	56			SPACA1	56	1
3_MACS_peak_16217_lociStitched	chr2	65155656	65179029	3	19340	103348.3941	4976.1117	57	LOC400958	SLC1A4	LOC400958	57	1
4_MACS_peak_23953_lociStitched	chr4	185317366	185350248	4	22758	81133.0468	5964.7948	58	IRF2		IRF2	58	1
2_MACS_peak_12685_lociStitched	chr17	38459184	38484823	2	20686	94028.4686	4086.8566	59	CDC6,RARA	RARA,GJD3	RARA	59	1
2_MACS_peak_343_lociStitched	chr1	24511940	24533858	2	18743	102135.6882	4028.5284	60	LOC284632,IL28RA	IL22RA1	LOC284632	60	1
3_MACS_peak_1877_lociStitched	chr1	154907845	154935745	3	20216	96960.87	7731.09	61	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	61	1
2_MACS_peak_503_lociStitched	chr1	31214003	31236397	2	20995	88449.5818	4837.104	62	LAPTM5	LOC100129196,MATN1	LAPTM5	62	1
2_MACS_peak_5732_lociStitched	chr11	72850624	72870171	2	19163	98456.2843	3962.1769	63	FCHSD2		FCHSD2	63	1
3_MACS_peak_12577_lociStitched	chr17	34408589	34432875	3	23031	66247.3508	4750.3416	64	CCL4,CCL3	CCL18	CCL3	64	1
5_MACS_peak_17588_lociStitched	chr2	197023744	197053637	5	23914	53069.0429	4764.9442	65	STK17B		STK17B	65	1
1_MACS_peak_6664_lociStitched	chr12	12865974	12881796	1	15823	106118.154	3257.7498	66	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	66	1
2_MACS_peak_4950_lociStitched	chr11	10323589	10345155	2	20597	80501.5648	4472.7884	67	ADM	SBF2	ADM	67	1
1_MACS_peak_7163_lociStitched	chr12	53586987	53604457	1	17471	97809.289	3862.617	68	ITGB7,RARG	ZNF740,MFSD5,CSAD	ITGB7	68	1
5_MACS_peak_19446_lociStitched	chr21	45552626	45580934	5	19134	90664.8624	6590.1024	69	C21orf33	PWP2	C21orf33	69	1
2_MACS_peak_17663_lociStitched	chr2	201979788	201998180	2	16518	101722.4736	3742.772	70	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	70	1
2_MACS_peak_13057_lociStitched	chr17	56404600	56423304	2	16732	101072.6752	4502.0528	71	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	71	1
4_MACS_peak_11126_lociStitched	chr16	11761456	11786380	4	21182	70382.8836	4448.934	72	SNN,TXNDC11		SNN	72	1
3_MACS_peak_11143_lociStitched	chr16	12052031	12072074	3	14791	105919.2378	3611.7486	73	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	73	1
2_MACS_peak_13649_lociStitched	chr18	9101579	9126458	2	22597	54039.6759	4829.0139	74	NDUFV2	ANKRD12	NDUFV2	74	1
5_MACS_peak_12897_lociStitched	chr17	46527727	46562482	5	23657	38025.4455	5637.261	75		SKAP1,HOXB1	SKAP1	75	1
2_MACS_peak_13651_lociStitched	chr18	9133184	9157584	2	23201	44120.08	4326.12	76	NDUFV2,ANKRD12		ANKRD12	76	1
1_MACS_peak_22790_lociStitched	chr4	40190936	40209684	1	18749	85384.0164	4463.8988	77	RHOH		RHOH	77	1
2_MACS_peak_32065_lociStitched	chr9	112903445	112925611	2	21643	62120.215	4685.8924	78	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	78	1
2_MACS_peak_21580_lociStitched	chr3	133178636	133201120	2	19648	77160.5912	4438.3416	79	BFSP2		BFSP2	79	1
2_MACS_peak_14337_lociStitched	chr19	2081551	2098398	2	15268	101900.7642	5222.57	80	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	80	1
3_MACS_peak_27750_lociStitched	chr6	157976444	158000315	3	20728	64893.3135	2265.3579	81	ZDHHC14	MIR3692	MIR3692	81	1
1_MACS_peak_26198_lociStitched	chr6	25402716	25415707	1	12992	107805.8135	2811.2524	82	LRRC16A		LRRC16A	82	1
3_MACS_peak_18901_lociStitched	chr20	52194123	52216290	3	21723	55659.1203	4129.7121	83	ZNF217		ZNF217	83	1
2_MACS_peak_5074_lociStitched	chr11	19449398	19467657	2	17809	86093.0109	3604.3266	84	NAV2		NAV2	84	1
3_MACS_peak_1855_lociStitched	chr1	154370171	154394732	3	19452	77042.9448	6545.5065	85	IL6R		IL6R	85	1
6_MACS_peak_10880_lociStitched	chr15	101661147	101692431	6	20851	59918.2452	4852.1484	86			CHSY1	86	1
4_MACS_peak_22029_lociStitched	chr3	175050574	175074622	4	20792	57883.536	5054.8896	87	NAALADL2		NAALADL2	87	1
3_MACS_peak_9453_lociStitched	chr14	81930626	81956072	3	20608	57202.608	2503.8864	88	SEL1L		SEL1L	88	1
2_MACS_peak_9822_lociStitched	chr15	31546177	31562824	2	14133	98625.1515	3023.0952	89			KLF13	89	1
3_MACS_peak_1940_lociStitched	chr1	156115209	156136683	3	18881	74697.309	6010.5726	90	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	90	1
2_MACS_peak_7852_lociStitched	chr12	109020210	109036346	2	14065	98542.552	3522.4888	91	SELPLG	TMEM119	SELPLG	91	1
5_MACS_peak_7178_lociStitched	chr12	53845369	53871020	5	22582	24404.3614	4324.7586	92	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	92	1
4_MACS_peak_14705_lociStitched	chr19	16244065	16273199	4	21025	51412.7698	5232.4664	93	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	93	1
2_MACS_peak_9950_lociStitched	chr15	40386937	40409270	2	17528	79559.0792	4301.3358	94	BMF	BUB1B	BMF	94	1
4_MACS_peak_19968_lociStitched	chr22	39822713	39846260	4	16153	85612.1826	3932.349	95	TAB1	MGAT3	MGAT3	95	1
4_MACS_peak_9967_lociStitched	chr15	40833504	40862540	4	19955	58571.4192	5229.3836	96	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	96	1
7_MACS_peak_10811_lociStitched	chr15	93346252	93389625	7	19854	60197.3867	6171.9779	97		ASB9P1,LOC100507217	ASB9P1	97	1
3_MACS_peak_1953_lociStitched	chr1	156450438	156476244	3	20307	53710.0278	6557.3046	98	MEF2D		MEF2D	98	1
4_MACS_peak_3385_lociStitched	chr10	7510803	7536517	4	19162	62780.731	3967.6702	99			SFMBT2	99	1
1_MACS_peak_17439_lociStitched	chr2	182168306	182180656	1	12351	98561.645	2563.86	100			ITGA4	100	1
4_MACS_peak_14362_lociStitched	chr19	2606399	2628927	4	15643	86931.0464	5377.4336	101	GNG7		GNG7	101	1
4_MACS_peak_6547_lociStitched	chr12	7045706	7072016	4	18997	63436.041	4720.014	102	ATN1,C12orf57,PTPN6	LRRC23,ENO2,MIR200C,MIR141,EMG1,SCARNA12,PHB2	PTPN6	102	1
3_MACS_peak_30837_lociStitched	chr8	126285231	126308459	3	20476	47059.928	4111.356	103	NSMCE2		TRIB1	103	1
3_MACS_peak_26195_lociStitched	chr6	25365766	25390737	3	20394	48129.1054	4357.4395	104	LRRC16A		LRRC16A	104	1
5_MACS_peak_16536_lociStitched	chr2	88898290	88928511	5	21245	34098.3543	5098.2827	105	EIF2AK3		EIF2AK3	105	1
4_MACS_peak_20231_lociStitched	chr3	5222454	5248050	4	20780	40439.1204	4474.1808	106	ARL8B,EDEM1		EDEM1	106	1
5_MACS_peak_10727_lociStitched	chr15	89646670	89676555	5	18780	62940.7985	5295.622	107	ABHD2		ABHD2	107	1
4_MACS_peak_2364_lociStitched	chr1	183856300	183885886	4	17757	71743.0914	6704.1876	108	RGL1		GLT25D2	108	1
4_MACS_peak_1732_lociStitched	chr1	149802955	149834106	4	17061	77983.4134	8080.5694	109	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	109	1
5_MACS_peak_7051_lociStitched	chr12	48196380	48220832	5	18409	63626.5492	4078.5936	110	HDAC7	SLC48A1,RAPGEF3	HDAC7	110	1
4_MACS_peak_20307_lociStitched	chr3	13035477	13061715	4	17879	68056.1244	5153.1432	111	IQSEC1	IQSEC1	IQSEC1	111	1
3_MACS_peak_3410_lociStitched	chr10	11282742	11304890	3	20073	45086.6836	4250.2012	112	CELF2		CELF2	112	1
3_MACS_peak_4547_lociStitched	chr10	112112403	112129054	3	11629	97619.8177	3178.6759	113		SMNDC1	SMNDC1	113	1
3_MACS_peak_7632_lociStitched	chr12	92929583	92951340	3	19217	53709.3302	3818.3535	114			CLLU1OS	114	1
3_MACS_peak_24270_lociStitched	chr5	32570771	32592448	3	18478	61092.2891	4270.369	115	SUB1		SUB1	115	1
3_MACS_peak_20482_lociStitched	chr3	30680524	30703784	3	20195	41072.508	4040.262	116	TGFBR2		TGFBR2	116	1
1_MACS_peak_23945_lociStitched	chr4	185200649	185211143	1	10495	100137.9456	2631.8952	117			ENPP6	117	1
1_MACS_peak_14126_lociStitched	chr18	60821496	60832151	1	10656	98809.1425	2363.279	118	BCL2		BCL2	118	1
3_MACS_peak_10487_lociStitched	chr15	75062932	75083850	3	19470	47442.024	4095.7444	119	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	119	1
1_MACS_peak_28743_lociStitched	chr7	78113491	78128618	1	15128	79988.5506	3054.1413	120	MAGI2		RPL13AP17	120	1
2_MACS_peak_19623_lociStitched	chr22	23188532	23211073	2	18756	52540.8169	2472.7477	121		MIR650,IGLL5	IGLL5	121	1
5_MACS_peak_13282_lociStitched	chr17	72733058	72757044	5	20036	38025.0058	4377.445	122	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	122	1
3_MACS_peak_2448_lociStitched	chr1	192498004	192521299	3	18514	56860.7655	5075.9805	123		RGS1	RGS1	123	1
5_MACS_peak_1923_lociStitched	chr1	155938795	155962256	5	18364	58077.7055	5783.1365	124	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	124	1
6_MACS_peak_9706_lociStitched	chr15	20969174	20997878	6	19909	36749.7312	4012.8192	125		BCL8	BCL8	125	1
5_MACS_peak_16182_lociStitched	chr2	64430280	64456616	5	18721	52219.0208	4587.7312	126	LOC150992		LOC150992	126	1
1_MACS_peak_7850_lociStitched	chr12	108953270	108971535	1	18266	53474.4405	3642.041	127	ISCU,SART3	FICD,TMEM119	ISCU	127	1
1_MACS_peak_24818_lociStitched	chr5	88110771	88130368	1	19598	35889.9458	3599.9689	128	MEF2C		MEF2C	128	1
4_MACS_peak_5544_lociStitched	chr11	65254255	65278981	4	18304	53212.8246	4445.7348	129	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	129	1
3_MACS_peak_23015_lociStitched	chr4	74453812	74475873	3	17733	57680.6906	3598.1491	130	RASSF6		RASSF6	130	1
2_MACS_peak_19656_lociStitched	chr22	24178835	24192282	2	13162	84967.5589	2774.1161	131	DERL3	SMARCB1,SLC2A11,MIF	DERL3	131	1
4_MACS_peak_19723_lociStitched	chr22	29206904	29226139	4	17428	58824.477	3441.1415	132		CCDC117,XBP1	XBP1	132	1
2_MACS_peak_29690_lociStitched	chr8	2027403	2042367	2	14729	76748.8596	3272.6268	133	MYOM2		MYOM2	133	1
4_MACS_peak_6094_lociStitched	chr11	111232608	111251864	4	16993	60544.7152	3337.0648	134	POU2AF1		POU2AF1	134	1
2_MACS_peak_13430_lociStitched	chr17	76711164	76733967	2	18989	39902.9697	4243.6383	135	CYTH1		CYTH1	135	1
3_MACS_peak_13379_lociStitched	chr17	75130794	75146973	3	15753	69506.6019	3643.5108	136	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	136	1
5_MACS_peak_9717_lociStitched	chr15	21975607	22002883	5	19340	33314.9064	3957.7476	137		LOC646214,CXADRP2	CXADRP2	137	1
4_MACS_peak_3749_lociStitched	chr10	45913574	45934602	4	15637	69234.69	3517.9844	138	ALOX5		ALOX5	138	1
3_MACS_peak_22066_lociStitched	chr3	177055457	177080214	3	15860	67088.9943	5775.8081	139			TBL1XR1	139	1
2_MACS_peak_17867_lociStitched	chr2	219741214	219763498	2	18394	40380.8364	3884.1012	140	WNT10A	WNT6,PRKAG3	WNT10A	140	1
2_MACS_peak_19882_lociStitched	chr22	37610397	37629164	2	16700	57809.8668	3569.4834	141	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	141	1
4_MACS_peak_9749_lociStitched	chr15	23659455	23682867	4	18094	43686.792	3617.154	142			MKRN3	142	1
2_MACS_peak_24461_lociStitched	chr5	55436804	55454046	2	17202	52500.1658	3132.8714	143	ANKRD55		ANKRD55	143	1
3_MACS_peak_18239_lociStitched	chr20	5570414	5592543	3	18964	30148.5496	3930.1104	144	GPCPD1		GPCPD1	144	1
2_MACS_peak_21160_lociStitched	chr3	98479481	98496559	2	17043	53338.0096	3273.8526	145	ST3GAL6		ST3GAL6	145	1
4_MACS_peak_25089_lociStitched	chr5	118657685	118682227	4	17576	47604.1174	4231.0408	146	TNFAIP8	TNFAIP8	TNFAIP8	146	1
6_MACS_peak_18715_lociStitched	chr20	42564725	42593706	6	18401	34687.3589	4564.5075	147	TOX2		TOX2	147	1
2_MACS_peak_28511_lociStitched	chr7	55569065	55586212	2	17118	48978.6908	2656.0703	148	VOPP1		VOPP1	148	1
2_MACS_peak_15004_lociStitched	chr19	39887899	39904073	2	16075	58210.226	3103.7906	149	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	149	1
1_MACS_peak_24819_lociStitched	chr5	88170881	88187043	1	16163	57213.48	2876.836	150	MEF2C		MEF2C	150	1
6_MACS_peak_21827_lociStitched	chr3	156795270	156824457	6	17116	52028.7462	7171.2459	151	LOC100498859,LOC339894		LOC100498859	151	1
1_MACS_peak_22086_lociStitched	chr3	178229278	178241579	1	12302	78828.4983	3130.6045	152		KCNMB2	KCNMB2	152	1
2_MACS_peak_22254_lociStitched	chr3	186702993	186720403	2	14466	68861.773	4869.577	153	ST6GAL1	ST6GAL1	ST6GAL1	153	1
2_MACS_peak_11677_lociStitched	chr16	66548914	66560907	2	11499	80837.6172	2584.4915	154	TK2	CKLF,CMTM1	TK2	154	1
3_MACS_peak_25554_lociStitched	chr5	156339062	156362391	3	16543	49723.4306	3284.7232	155	LOC100286948,TIMD4		LOC100286948	155	1
2_MACS_peak_11285_lociStitched	chr16	23342850	23354836	2	11884	78748.02	2780.752	156	SCNN1B		SCNN1B	156	1
2_MACS_peak_24832_lociStitched	chr5	88634416	88652656	2	13734	69155.136	2832.672	157			MEF2C	157	1
6_MACS_peak_28314_lociStitched	chr7	38383461	38408450	6	17905	32840.5438	4987.8044	158			TARP	158	1
1_MACS_peak_18539_lociStitched	chr20	32460551	32473781	1	13231	71076.852	2463.426	159			CHMP4B	159	1
5_MACS_peak_9944_lociStitched	chr15	40330032	40358721	5	16989	43965.8925	4587.3711	160	SRP14	BMF	SRP14	160	1
2_MACS_peak_22759_lociStitched	chr4	38306895	38322765	2	14628	62645.238	3156.543	161			KLF3	161	1
2_MACS_peak_10618_lociStitched	chr15	81575921	81596705	2	15823	53764.0512	4208.76	162	IL16	STARD5	IL16	162	1
1_MACS_peak_27217_lociStitched	chr6	109212860	109228779	1	15920	51267.1395	2841.5415	163	ARMC2		ARMC2	163	1
7_MACS_peak_26398_lociStitched	chr6	31773697	31805296	7	17399	35359.281	5226.4746	164	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,LSM2,HSPA1L	C6orf26,C6orf27,VARS,NEU1,SLC44A4	HSPA1B	164	1
3_MACS_peak_11598_lociStitched	chr16	56963114	56985912	3	16576	44460.6596	4411.413	165	HERPUD1	CETP,NLRC5	HERPUD1	165	1
1_MACS_peak_18654_lociStitched	chr20	37498176	37506679	1	8504	85995.9408	2046.6721	166	PPP1R16B	FAM83D	FAM83D	166	1
1_MACS_peak_2760_lociStitched	chr1	209274318	209285662	1	11345	77190.248	3212.6208	167			LOC642587	167	1
1_MACS_peak_28513_lociStitched	chr7	55594724	55605404	1	10681	78838.692	2221.44	168	VOPP1		VOPP1	168	1
3_MACS_peak_20994_lociStitched	chr3	69128270	69146084	3	16922	37373.772	3571.707	169	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	169	1
4_MACS_peak_20685_lociStitched	chr3	46245535	46263851	4	14388	61080.1968	3641.2208	170	CCR1	CCR3	CCR1	170	1
1_MACS_peak_24079_lociStitched	chr5	1311156	1320699	1	9544	82567.9446	2418.1962	171	CLPTM1L	TERT	TERT	171	1
4_MACS_peak_16595_lociStitched	chr2	97190564	97212909	4	15352	53029.154	3550.6205	172	ARID5A	NEURL3	ARID5A	172	1
5_MACS_peak_13776_lociStitched	chr18	23745806	23772035	5	15831	47707.9281	3755.9928	173	PSMA8	TAF4B	PSMA8	173	1
4_MACS_peak_2639_lociStitched	chr1	204474593	204494764	4	15800	49370.5396	5266.6481	174	MDM4	PIK3C2B	MDM4	174	1
5_MACS_peak_1309_lociStitched	chr1	93408928	93429034	5	17346	24842.9736	1883.9322	175	FAM69A		FAM69A	175	1
2_MACS_peak_4552_lociStitched	chr10	112168436	112186483	2	16468	39226.9592	2853.2307	176			DUSP5	176	1
3_MACS_peak_2061_lociStitched	chr1	161144393	161163801	3	13898	64116.2688	5434.24	177	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	177	1
4_MACS_peak_16544_lociStitched	chr2	89046949	89066769	4	14402	58100.348	3111.74	178	RPIA,ANKRD36BP2		ANKRD36BP2	178	1
2_MACS_peak_24125_lociStitched	chr5	6475337	6487852	2	11866	71394.3205	2538.042	179	UBE2QL1		UBE2QL1	179	1
3_MACS_peak_19420_lociStitched	chr21	44724588	44747648	3	14819	54737.522	4023.97	180			SIK1	180	1
1_MACS_peak_4555_lociStitched	chr10	112214528	112226179	1	11652	72015.9961	2500.3046	181		DUSP5	DUSP5	181	1
2_MACS_peak_19116_lociStitched	chr21	19151637	19169203	2	15423	47152.4138	2810.56	182	C21orf91		C21orf91	182	1
3_MACS_peak_15728_lociStitched	chr2	27374570	27393373	3	16078	39446.8137	3119.4177	183	TCF23	ABHD1,C2orf28,CAD,CGREF1,PREB,C2orf53,SLC5A6	TCF23	183	1
4_MACS_peak_25491_lociStitched	chr5	150512800	150538180	4	16609	33590.43	4565.862	184	ANXA6		ANXA6	184	1
4_MACS_peak_29960_lociStitched	chr8	27231482	27253363	4	16217	36539.0819	3877.3132	185	PTK2B		PTK2B	185	1
2_MACS_peak_25736_lociStitched	chr5	173695949	173710293	2	13439	59815.9144	2379.6696	186			HMP19	186	1
3_MACS_peak_6390_lociStitched	chr11	130696673	130720180	3	15256	46405.1687	3876.3043	187			SNX19	187	1
5_MACS_peak_11268_lociStitched	chr16	22194923	22219023	5	16565	29428.51	4089.77	188	EEF2K		EEF2K	188	1
1_MACS_peak_12497_lociStitched	chr17	29634756	29649447	1	14692	49132.5804	2855.9304	189	NF1,EVI2B,EVI2A	OMG	EVI2B	189	1
2_MACS_peak_23080_lociStitched	chr4	77608325	77624972	2	16167	32380.0797	3269.4708	190	SHROOM3		ANKRD56	190	1
1_MACS_peak_15556_lociStitched	chr2	11883392	11898181	1	14790	47481.5634	2733.0072	191	LPIN1		LPIN1	191	1
