REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X08_0EWU_0229Kronos_MM1S.KB.6hr.2_H3K18Ac_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
3_MACS_peak_25976_lociStitched	chr6	7885879	7921536	3	34853	206500.3841	7698.3463	15	MUTED-TXNDC5,TXNDC5		TXNDC5	15	1
5_MACS_peak_13146_lociStitched	chr17	62150031	62187309	5	34286	85243.6026	7030.6308	16	ERN1	SNORD104,SNORA76	ERN1	16	1
9_MACS_peak_27560_lociStitched	chr6	138244518	138297694	9	33203	70740.0328	8561.336	17			TNFAIP3	17	1
2_MACS_peak_9670_lociStitched	chr14	106023385	106056887	2	32086	228513.7918	5397.1722	18		TMEM121	TMEM121	18	1
4_MACS_peak_4686_lociStitched	chr10	125821816	125854980	4	31765	109159.306	5969.52	19	CHST15		CHST15	19	1
4_MACS_peak_9676_lociStitched	chr14	106143799	106173281	4	29093	154255.7204	3467.0832	20			TMEM121	20	1
4_MACS_peak_20691_lociStitched	chr3	46317555	46347535	4	28898	64831.75	4988.672	21		CCR3,CCR2	CCR3	21	1
3_MACS_peak_22173_lociStitched	chr3	183227750	183260906	3	28757	94093.4124	8902.386	22	KLHL6		KLHL6	22	1
6_MACS_peak_15066_lociStitched	chr19	42022224	42062902	6	28750	77955.3192	7155.2602	23		CEACAM21	CEACAM21	23	1
6_MACS_peak_12291_lociStitched	chr17	16858797	16895686	6	28465	123519.1276	6640.02	24	TNFRSF13B		TNFRSF13B	24	1
5_MACS_peak_26725_lociStitched	chr6	52392473	52424382	5	28326	76441.2004	5893.5923	25	TRAM2		TRAM2	25	1
5_MACS_peak_28514_lociStitched	chr7	55614390	55643569	5	28286	53412.1595	5045.0491	26	VOPP1		VOPP1	26	1
10_MACS_peak_17705_lociStitched	chr2	204523795	204574128	10	28196	74200.9086	7635.5161	27	CD28		CD28	27	1
3_MACS_peak_25724_lociStitched	chr5	173309390	173344078	3	28119	46939.8016	5914.304	28	CPEB4		CPEB4	28	1
3_MACS_peak_19625_lociStitched	chr22	23217639	23247634	3	28071	158022.6585	4928.1785	29	IGLL5		IGLL5	29	1
3_MACS_peak_10399_lociStitched	chr15	68568812	68599539	3	27584	59745.5788	5125.2636	30	FEM1B,ITGA11	CLN6	FEM1B	30	1
3_MACS_peak_12583_lociStitched	chr17	34509013	34540328	3	27298	116566.956	7224.3705	31	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	31	1
2_MACS_peak_18008_lociStitched	chr2	232687115	232714641	2	27235	31572.322	3729.773	32		COPS7B,PDE6D,MIR1471	COPS7B	32	1
1_MACS_peak_27152_lociStitched	chr6	106530472	106556477	1	26006	110601.8655	5211.402	33	PRDM1		PRDM1	33	1
4_MACS_peak_29571_lociStitched	chr7	150052558	150084926	4	25581	112886.6368	8312.1024	34	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	34	1
1_MACS_peak_23230_lociStitched	chr4	90204731	90230270	1	25540	151109.1552	5766.7062	35	GPRIN3		GPRIN3	35	1
3_MACS_peak_21985_lociStitched	chr3	171801653	171827315	3	25055	117023.8524	6610.5312	36	FNDC3B		FNDC3B	36	1
4_MACS_peak_4568_lociStitched	chr10	112599770	112633348	4	24719	115118.8152	6084.3336	37	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	37	1
2_MACS_peak_6353_lociStitched	chr11	128585312	128610036	2	24718	72817.1248	4986.8308	38	FLI1		FLI1	38	1
6_MACS_peak_9825_lociStitched	chr15	31628780	31660689	6	24572	68240.5874	5485.1571	39	KLF13		KLF13	39	1
3_MACS_peak_22985_lociStitched	chr4	71523463	71555180	3	24548	115713.1311	5886.6752	40	UTP3,IGJ	ENAM,RUFY3	IGJ	40	1
5_MACS_peak_27033_lociStitched	chr6	90056089	90086260	5	24116	79775.1411	5466.9852	41	UBE2J1,RRAGD	GABRR2	UBE2J1	41	1
4_MACS_peak_27008_lociStitched	chr6	88612317	88640483	4	23962	70544.5636	4619.224	42			SPACA1	42	1
5_MACS_peak_17588_lociStitched	chr2	197023744	197053637	5	23914	53069.0429	4764.9442	43	STK17B		STK17B	43	1
5_MACS_peak_24827_lociStitched	chr5	88594131	88620502	5	23755	89028.496	4757.3284	44			MEF2C	44	1
5_MACS_peak_12897_lociStitched	chr17	46527727	46562482	5	23657	38025.4455	5637.261	45		SKAP1,HOXB1	SKAP1	45	1
2_MACS_peak_5100_lociStitched	chr11	22676868	22704028	2	23567	115826.536	4698.68	46	GAS2	FANCF	GAS2	46	1
3_MACS_peak_28996_lociStitched	chr7	102063575	102093220	3	23270	125143.403	5199.733	47	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	47	1
2_MACS_peak_13651_lociStitched	chr18	9133184	9157584	2	23201	44120.08	4326.12	48	NDUFV2,ANKRD12		ANKRD12	48	1
3_MACS_peak_12577_lociStitched	chr17	34408589	34432875	3	23031	66247.3508	4750.3416	49	CCL4,CCL3	CCL18	CCL3	49	1
4_MACS_peak_18535_lociStitched	chr20	32423906	32452547	4	22863	83454.1458	5590.7232	50	CHMP4B		CHMP4B	50	1
4_MACS_peak_23953_lociStitched	chr4	185317366	185350248	4	22758	81133.0468	5964.7948	51	IRF2		IRF2	51	1
2_MACS_peak_13649_lociStitched	chr18	9101579	9126458	2	22597	54039.6759	4829.0139	52	NDUFV2	ANKRD12	NDUFV2	52	1
5_MACS_peak_7178_lociStitched	chr12	53845369	53871020	5	22582	24404.3614	4324.7586	53	PCBP2	AMHR2,PRR13,TARBP2,MAP3K12,NPFF	PCBP2	53	1
3_MACS_peak_25214_lociStitched	chr5	131744847	131774520	3	22508	103570.6392	5738.7582	54	C5orf56	SLC22A5,MIR3936	C5orf56	54	1
2_MACS_peak_1548_lociStitched	chr1	118194477	118219411	2	22099	90789.6808	2805.075	55		FAM46C	FAM46C	55	1
3_MACS_peak_19364_lociStitched	chr21	41318556	41345249	3	22025	97781.7976	7540.7725	56			PCP4	56	1
1_MACS_peak_15627_lociStitched	chr2	20404556	20426545	1	21990	92305.4242	4169.1144	57	SDC1		SDC1	57	1
4_MACS_peak_2689_lociStitched	chr1	206282002	206311340	4	21800	108101.7286	7099.796	58	C1orf186	CTSE	C1orf186	58	1
1_MACS_peak_3405_lociStitched	chr10	11202249	11224033	1	21785	113246.3024	5106.1696	59	CELF2		CELF2	59	1
3_MACS_peak_18901_lociStitched	chr20	52194123	52216290	3	21723	55659.1203	4129.7121	60	ZNF217		ZNF217	60	1
2_MACS_peak_32065_lociStitched	chr9	112903445	112925611	2	21643	62120.215	4685.8924	61	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	61	1
2_MACS_peak_19629_lociStitched	chr22	23265085	23286843	2	21579	191777.1878	4556.1252	62		IGLL5	IGLL5	62	1
5_MACS_peak_16536_lociStitched	chr2	88898290	88928511	5	21245	34098.3543	5098.2827	63	EIF2AK3		EIF2AK3	63	1
4_MACS_peak_11126_lociStitched	chr16	11761456	11786380	4	21182	70382.8836	4448.934	64	SNN,TXNDC11		SNN	64	1
4_MACS_peak_14705_lociStitched	chr19	16244065	16273199	4	21025	51412.7698	5232.4664	65	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	65	1
2_MACS_peak_503_lociStitched	chr1	31214003	31236397	2	20995	88449.5818	4837.104	66	LAPTM5	LOC100129196,MATN1	LAPTM5	66	1
6_MACS_peak_10880_lociStitched	chr15	101661147	101692431	6	20851	59918.2452	4852.1484	67			CHSY1	67	1
4_MACS_peak_22029_lociStitched	chr3	175050574	175074622	4	20792	57883.536	5054.8896	68	NAALADL2		NAALADL2	68	1
4_MACS_peak_20231_lociStitched	chr3	5222454	5248050	4	20780	40439.1204	4474.1808	69	ARL8B,EDEM1		EDEM1	69	1
3_MACS_peak_27750_lociStitched	chr6	157976444	158000315	3	20728	64893.3135	2265.3579	70	ZDHHC14	MIR3692	MIR3692	70	1
5_MACS_peak_13643_lociStitched	chr18	9054061	9084925	5	20714	116456.0448	6036.9984	71		NDUFV2	NDUFV2	71	1
2_MACS_peak_12685_lociStitched	chr17	38459184	38484823	2	20686	94028.4686	4086.8566	72	CDC6,RARA	RARA,GJD3	RARA	72	1
3_MACS_peak_9453_lociStitched	chr14	81930626	81956072	3	20608	57202.608	2503.8864	73	SEL1L		SEL1L	73	1
2_MACS_peak_4950_lociStitched	chr11	10323589	10345155	2	20597	80501.5648	4472.7884	74	ADM	SBF2	ADM	74	1
3_MACS_peak_30837_lociStitched	chr8	126285231	126308459	3	20476	47059.928	4111.356	75	NSMCE2		TRIB1	75	1
3_MACS_peak_26195_lociStitched	chr6	25365766	25390737	3	20394	48129.1054	4357.4395	76	LRRC16A		LRRC16A	76	1
3_MACS_peak_1953_lociStitched	chr1	156450438	156476244	3	20307	53710.0278	6557.3046	77	MEF2D		MEF2D	77	1
3_MACS_peak_1877_lociStitched	chr1	154907845	154935745	3	20216	96960.87	7731.09	78	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	78	1
3_MACS_peak_20482_lociStitched	chr3	30680524	30703784	3	20195	41072.508	4040.262	79	TGFBR2		TGFBR2	79	1
3_MACS_peak_3410_lociStitched	chr10	11282742	11304890	3	20073	45086.6836	4250.2012	80	CELF2		CELF2	80	1
5_MACS_peak_13282_lociStitched	chr17	72733058	72757044	5	20036	38025.0058	4377.445	81	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	81	1
4_MACS_peak_9967_lociStitched	chr15	40833504	40862540	4	19955	58571.4192	5229.3836	82	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	82	1
6_MACS_peak_9706_lociStitched	chr15	20969174	20997878	6	19909	36749.7312	4012.8192	83		BCL8	BCL8	83	1
7_MACS_peak_10811_lociStitched	chr15	93346252	93389625	7	19854	60197.3867	6171.9779	84		ASB9P1,LOC100507217	ASB9P1	84	1
2_MACS_peak_21580_lociStitched	chr3	133178636	133201120	2	19648	77160.5912	4438.3416	85	BFSP2		BFSP2	85	1
1_MACS_peak_24818_lociStitched	chr5	88110771	88130368	1	19598	35889.9458	3599.9689	86	MEF2C		MEF2C	86	1
3_MACS_peak_10487_lociStitched	chr15	75062932	75083850	3	19470	47442.024	4095.7444	87	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1	CSK	87	1
3_MACS_peak_1855_lociStitched	chr1	154370171	154394732	3	19452	77042.9448	6545.5065	88	IL6R		IL6R	88	1
3_MACS_peak_16217_lociStitched	chr2	65155656	65179029	3	19340	103348.3941	4976.1117	89	LOC400958	SLC1A4	LOC400958	89	1
5_MACS_peak_9717_lociStitched	chr15	21975607	22002883	5	19340	33314.9064	3957.7476	90		LOC646214,CXADRP2	CXADRP2	90	1
3_MACS_peak_7632_lociStitched	chr12	92929583	92951340	3	19217	53709.3302	3818.3535	91			CLLU1OS	91	1
2_MACS_peak_5732_lociStitched	chr11	72850624	72870171	2	19163	98456.2843	3962.1769	92	FCHSD2		FCHSD2	92	1
4_MACS_peak_3385_lociStitched	chr10	7510803	7536517	4	19162	62780.731	3967.6702	93			SFMBT2	93	1
5_MACS_peak_19446_lociStitched	chr21	45552626	45580934	5	19134	90664.8624	6590.1024	94	C21orf33	PWP2	C21orf33	94	1
4_MACS_peak_6547_lociStitched	chr12	7045706	7072016	4	18997	63436.041	4720.014	95	ATN1,C12orf57,PTPN6	LRRC23,ENO2,MIR200C,MIR141,EMG1,SCARNA12,PHB2	PTPN6	95	1
2_MACS_peak_13430_lociStitched	chr17	76711164	76733967	2	18989	39902.9697	4243.6383	96	CYTH1		CYTH1	96	1
3_MACS_peak_18239_lociStitched	chr20	5570414	5592543	3	18964	30148.5496	3930.1104	97	GPCPD1		GPCPD1	97	1
2_MACS_peak_1762_lociStitched	chr1	150531781	150553921	2	18899	122885.856	6768.198	98	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	98	1
3_MACS_peak_1940_lociStitched	chr1	156115209	156136683	3	18881	74697.309	6010.5726	99	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	99	1
5_MACS_peak_10727_lociStitched	chr15	89646670	89676555	5	18780	62940.7985	5295.622	100	ABHD2		ABHD2	100	1
2_MACS_peak_19623_lociStitched	chr22	23188532	23211073	2	18756	52540.8169	2472.7477	101		MIR650,IGLL5	IGLL5	101	1
1_MACS_peak_22790_lociStitched	chr4	40190936	40209684	1	18749	85384.0164	4463.8988	102	RHOH		RHOH	102	1
2_MACS_peak_343_lociStitched	chr1	24511940	24533858	2	18743	102135.6882	4028.5284	103	LOC284632,IL28RA	IL22RA1	LOC284632	103	1
5_MACS_peak_16182_lociStitched	chr2	64430280	64456616	5	18721	52219.0208	4587.7312	104	LOC150992		LOC150992	104	1
3_MACS_peak_2448_lociStitched	chr1	192498004	192521299	3	18514	56860.7655	5075.9805	105		RGS1	RGS1	105	1
3_MACS_peak_24270_lociStitched	chr5	32570771	32592448	3	18478	61092.2891	4270.369	106	SUB1		SUB1	106	1
5_MACS_peak_7051_lociStitched	chr12	48196380	48220832	5	18409	63626.5492	4078.5936	107	HDAC7	SLC48A1,RAPGEF3	HDAC7	107	1
6_MACS_peak_18715_lociStitched	chr20	42564725	42593706	6	18401	34687.3589	4564.5075	108	TOX2		TOX2	108	1
2_MACS_peak_17867_lociStitched	chr2	219741214	219763498	2	18394	40380.8364	3884.1012	109	WNT10A	WNT6,PRKAG3	WNT10A	109	1
5_MACS_peak_1923_lociStitched	chr1	155938795	155962256	5	18364	58077.7055	5783.1365	110	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	110	1
4_MACS_peak_5544_lociStitched	chr11	65254255	65278981	4	18304	53212.8246	4445.7348	111	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	111	1
1_MACS_peak_7850_lociStitched	chr12	108953270	108971535	1	18266	53474.4405	3642.041	112	ISCU,SART3	FICD,TMEM119	ISCU	112	1
4_MACS_peak_9749_lociStitched	chr15	23659455	23682867	4	18094	43686.792	3617.154	113			MKRN3	113	1
6_MACS_peak_28314_lociStitched	chr7	38383461	38408450	6	17905	32840.5438	4987.8044	114			TARP	114	1
4_MACS_peak_20307_lociStitched	chr3	13035477	13061715	4	17879	68056.1244	5153.1432	115	IQSEC1	IQSEC1	IQSEC1	115	1
2_MACS_peak_5074_lociStitched	chr11	19449398	19467657	2	17809	86093.0109	3604.3266	116	NAV2		NAV2	116	1
4_MACS_peak_2364_lociStitched	chr1	183856300	183885886	4	17757	71743.0914	6704.1876	117	RGL1		GLT25D2	117	1
3_MACS_peak_23015_lociStitched	chr4	74453812	74475873	3	17733	57680.6906	3598.1491	118	RASSF6		RASSF6	118	1
4_MACS_peak_25089_lociStitched	chr5	118657685	118682227	4	17576	47604.1174	4231.0408	119	TNFAIP8	TNFAIP8	TNFAIP8	119	1
2_MACS_peak_9950_lociStitched	chr15	40386937	40409270	2	17528	79559.0792	4301.3358	120	BMF	BUB1B	BMF	120	1
1_MACS_peak_7163_lociStitched	chr12	53586987	53604457	1	17471	97809.289	3862.617	121	ITGB7,RARG	ZNF740,MFSD5,CSAD	ITGB7	121	1
4_MACS_peak_19723_lociStitched	chr22	29206904	29226139	4	17428	58824.477	3441.1415	122		CCDC117,XBP1	XBP1	122	1
7_MACS_peak_26398_lociStitched	chr6	31773697	31805296	7	17399	35359.281	5226.4746	123	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,LSM2,HSPA1L	C6orf26,C6orf27,VARS,NEU1,SLC44A4	HSPA1B	123	1
5_MACS_peak_1309_lociStitched	chr1	93408928	93429034	5	17346	24842.9736	1883.9322	124	FAM69A		FAM69A	124	1
2_MACS_peak_24461_lociStitched	chr5	55436804	55454046	2	17202	52500.1658	3132.8714	125	ANKRD55		ANKRD55	125	1
2_MACS_peak_28511_lociStitched	chr7	55569065	55586212	2	17118	48978.6908	2656.0703	126	VOPP1		VOPP1	126	1
6_MACS_peak_21827_lociStitched	chr3	156795270	156824457	6	17116	52028.7462	7171.2459	127	LOC100498859,LOC339894		LOC100498859	127	1
4_MACS_peak_1732_lociStitched	chr1	149802955	149834106	4	17061	77983.4134	8080.5694	128	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	128	1
2_MACS_peak_21160_lociStitched	chr3	98479481	98496559	2	17043	53338.0096	3273.8526	129	ST3GAL6		ST3GAL6	129	1
4_MACS_peak_6094_lociStitched	chr11	111232608	111251864	4	16993	60544.7152	3337.0648	130	POU2AF1		POU2AF1	130	1
5_MACS_peak_9944_lociStitched	chr15	40330032	40358721	5	16989	43965.8925	4587.3711	131	SRP14	BMF	SRP14	131	1
3_MACS_peak_20994_lociStitched	chr3	69128270	69146084	3	16922	37373.772	3571.707	132	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	132	1
1_MACS_peak_5538_lociStitched	chr11	65183167	65199976	1	16810	126353.253	4178.7174	133	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	133	1
2_MACS_peak_13057_lociStitched	chr17	56404600	56423304	2	16732	101072.6752	4502.0528	134	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	134	1
2_MACS_peak_19882_lociStitched	chr22	37610397	37629164	2	16700	57809.8668	3569.4834	135	RAC2	CYTH4,C1QTNF6,SSTR3	SSTR3	135	1
4_MACS_peak_25491_lociStitched	chr5	150512800	150538180	4	16609	33590.43	4565.862	136	ANXA6		ANXA6	136	1
4_MACS_peak_2452_lociStitched	chr1	192560982	192579524	4	16593	18834.9636	4618.8122	137		RGS1,RGS13	RGS1	137	1
3_MACS_peak_11598_lociStitched	chr16	56963114	56985912	3	16576	44460.6596	4411.413	138	HERPUD1	CETP,NLRC5	HERPUD1	138	1
5_MACS_peak_11268_lociStitched	chr16	22194923	22219023	5	16565	29428.51	4089.77	139	EEF2K		EEF2K	139	1
3_MACS_peak_25554_lociStitched	chr5	156339062	156362391	3	16543	49723.4306	3284.7232	140	LOC100286948,TIMD4		LOC100286948	140	1
2_MACS_peak_17663_lociStitched	chr2	201979788	201998180	2	16518	101722.4736	3742.772	141	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	141	1
5_MACS_peak_15995_lociStitched	chr2	46785448	46804562	5	16476	25987.3944	3377.4438	142	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	142	1
2_MACS_peak_4552_lociStitched	chr10	112168436	112186483	2	16468	39226.9592	2853.2307	143			DUSP5	143	1
4_MACS_peak_29960_lociStitched	chr8	27231482	27253363	4	16217	36539.0819	3877.3132	144	PTK2B		PTK2B	144	1
2_MACS_peak_23080_lociStitched	chr4	77608325	77624972	2	16167	32380.0797	3269.4708	145	SHROOM3		ANKRD56	145	1
1_MACS_peak_24819_lociStitched	chr5	88170881	88187043	1	16163	57213.48	2876.836	146	MEF2C		MEF2C	146	1
4_MACS_peak_19968_lociStitched	chr22	39822713	39846260	4	16153	85612.1826	3932.349	147	TAB1	MGAT3	MGAT3	147	1
3_MACS_peak_15728_lociStitched	chr2	27374570	27393373	3	16078	39446.8137	3119.4177	148	TCF23	ABHD1,C2orf28,CAD,CGREF1,PREB,C2orf53,SLC5A6	TCF23	148	1
2_MACS_peak_15004_lociStitched	chr19	39887899	39904073	2	16075	58210.226	3103.7906	149	MED29,ZFP36,PLEKHG2	SUPT5H,PAF1,RPS16	ZFP36	149	1
6_MACS_peak_9420_lociStitched	chr14	77487926	77510121	6	15994	31474.7295	1930.965	150	C14orf4		C14orf4	150	1
4_MACS_peak_6639_lociStitched	chr12	11901548	11920242	4	15929	35004.515	3262.103	151	ETV6		ETV6	151	1
1_MACS_peak_27217_lociStitched	chr6	109212860	109228779	1	15920	51267.1395	2841.5415	152	ARMC2		ARMC2	152	1
5_MACS_peak_23861_lociStitched	chr4	173896650	173920789	5	15866	25659.757	3560.5025	153	GALNTL6		GALNT7	153	1
3_MACS_peak_22066_lociStitched	chr3	177055457	177080214	3	15860	67088.9943	5775.8081	154			TBL1XR1	154	1
5_MACS_peak_13776_lociStitched	chr18	23745806	23772035	5	15831	47707.9281	3755.9928	155	PSMA8	TAF4B	PSMA8	155	1
1_MACS_peak_6664_lociStitched	chr12	12865974	12881796	1	15823	106118.154	3257.7498	156	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	156	1
2_MACS_peak_10618_lociStitched	chr15	81575921	81596705	2	15823	53764.0512	4208.76	157	IL16	STARD5	IL16	157	1
4_MACS_peak_2639_lociStitched	chr1	204474593	204494764	4	15800	49370.5396	5266.6481	158	MDM4	PIK3C2B	MDM4	158	1
3_MACS_peak_13379_lociStitched	chr17	75130794	75146973	3	15753	69506.6019	3643.5108	159	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	159	1
3_MACS_peak_18925_lociStitched	chr20	52545601	52567188	3	15737	37697.3781	3816.5816	160	BCAS1		SUMO1P1	160	1
4_MACS_peak_4160_lociStitched	chr10	81001241	81020718	4	15650	34378.8527	3170.8556	161	ZMIZ1		PPIF	161	1
4_MACS_peak_14362_lociStitched	chr19	2606399	2628927	4	15643	86931.0464	5377.4336	162	GNG7		GNG7	162	1
4_MACS_peak_3749_lociStitched	chr10	45913574	45934602	4	15637	69234.69	3517.9844	163	ALOX5		ALOX5	163	1
4_MACS_peak_17670_lociStitched	chr2	202081016	202102132	4	15580	25934.6712	3760.7596	164	CASP10,CASP8	CASP8	CASP8	164	1
3_MACS_peak_2248_lociStitched	chr1	174922506	174942364	3	15451	34870.648	4799.6786	165	RABGAP1L	CACYBP	CACYBP	165	1
2_MACS_peak_19116_lociStitched	chr21	19151637	19169203	2	15423	47152.4138	2810.56	166	C21orf91		C21orf91	166	1
2_MACS_peak_8056_lociStitched	chr12	123371154	123387399	2	15384	27033.3045	1876.2975	167	VPS37B		VPS37B	167	1
3_MACS_peak_18532_lociStitched	chr20	32398515	32418745	3	15369	36088.297	3882.137	168	CHMP4B		CHMP4B	168	1
3_MACS_peak_1124_lociStitched	chr1	75595748	75611541	3	15357	33414.8294	2060.9865	169	LHX8		LHX8	169	1
4_MACS_peak_16595_lociStitched	chr2	97190564	97212909	4	15352	53029.154	3550.6205	170	ARID5A	NEURL3	ARID5A	170	1
3_MACS_peak_13262_lociStitched	chr17	70581961	70602524	3	15339	39914.8393	3411.4017	171	LOC100499467,FLJ26484		LOC100499467	171	1
2_MACS_peak_14337_lociStitched	chr19	2081551	2098398	2	15268	101900.7642	5222.57	172	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	172	1
3_MACS_peak_6390_lociStitched	chr11	130696673	130720180	3	15256	46405.1687	3876.3043	173			SNX19	173	1
3_MACS_peak_18787_lociStitched	chr20	45172111	45191875	3	15184	33446.6172	3126.6648	174	C20orf123,SLC13A3	ZNF334	C20orf123	174	1
1_MACS_peak_19919_lociStitched	chr22	38781965	38797129	1	15165	29258.938	2509.642	175	LOC400927	KCNJ4	LOC400927	175	1
1_MACS_peak_28743_lociStitched	chr7	78113491	78128618	1	15128	79988.5506	3054.1413	176	MAGI2		RPL13AP17	176	1
4_MACS_peak_25818_lociStitched	chr5	180228412	180249549	4	15036	43404.8295	3673.6106	177	MGAT1	LOC729678,ZFP62	MGAT1	177	1
2_MACS_peak_6705_lociStitched	chr12	15101035	15116201	2	15028	27835.6764	3069.5984	178	ARHGDIB	PDE6H,ERP27	ARHGDIB	178	1
4_MACS_peak_5864_lociStitched	chr11	82764532	82790507	4	14970	46271.865	4537.8325	179	RAB30	SNORA70E	RAB30	179	1
4_MACS_peak_9574_lociStitched	chr14	95961245	95986170	4	14939	21884.15	2178.445	180		GLRX5,C14orf49,SCARNA13,SNHG10	SCARNA13	180	1
5_MACS_peak_20973_lociStitched	chr3	66530294	66552537	5	14935	22465.43	3463.2351	181	LRIG1		LRIG1	181	1
3_MACS_peak_30471_lociStitched	chr8	81046271	81061711	3	14878	27163.592	2668.032	182	TPD52		TPD52	182	1
2_MACS_peak_27629_lociStitched	chr6	143162743	143180127	2	14836	34768	1727.9696	183	HIVEP2		HIVEP2	183	1
3_MACS_peak_19420_lociStitched	chr21	44724588	44747648	3	14819	54737.522	4023.97	184			SIK1	184	1
4_MACS_peak_15630_lociStitched	chr2	20610680	20631342	4	14818	31563.2712	3132.3592	185		RHOB	RHOB	185	1
3_MACS_peak_11143_lociStitched	chr16	12052031	12072074	3	14791	105919.2378	3611.7486	186	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	186	1
1_MACS_peak_15556_lociStitched	chr2	11883392	11898181	1	14790	47481.5634	2733.0072	187	LPIN1		LPIN1	187	1
2_MACS_peak_29690_lociStitched	chr8	2027403	2042367	2	14729	76748.8596	3272.6268	188	MYOM2		MYOM2	188	1
1_MACS_peak_12497_lociStitched	chr17	29634756	29649447	1	14692	49132.5804	2855.9304	189	NF1,EVI2B,EVI2A	OMG	EVI2B	189	1
2_MACS_peak_6099_lociStitched	chr11	111279276	111294673	2	14683	33785.6371	2645.2046	190		POU2AF1	POU2AF1	190	1
