REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16.bam	42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
5_MACS_peak_12897_lociStitched	chr17	46527727	46562482	5	23657	38025.4455	5637.261
3_MACS_peak_25724_lociStitched	chr5	173309390	173344078	3	28119	46939.8016	5914.304
4_MACS_peak_4568_lociStitched	chr10	112599770	112633348	4	24719	115118.8152	6084.3336
2_MACS_peak_9670_lociStitched	chr14	106023385	106056887	2	32086	228513.7918	5397.1722
4_MACS_peak_4686_lociStitched	chr10	125821816	125854980	4	31765	109159.306	5969.5199999999995
3_MACS_peak_22173_lociStitched	chr3	183227750	183260906	3	28757	94093.4124	8902.386
4_MACS_peak_23953_lociStitched	chr4	185317366	185350248	4	22758	81133.0468	5964.794800000001
4_MACS_peak_29571_lociStitched	chr7	150052558	150084926	4	25581	112886.63680000001	8312.1024
6_MACS_peak_9825_lociStitched	chr15	31628780	31660689	6	24572	68240.58739999999	5485.1571
5_MACS_peak_26725_lociStitched	chr6	52392473	52424382	5	28326	76441.2004	5893.5923
3_MACS_peak_22985_lociStitched	chr4	71523463	71555180	3	24548	115713.1311	5886.6752
7_MACS_peak_26398_lociStitched	chr6	31773697	31805296	7	17399	35359.281	5226.4746
3_MACS_peak_12583_lociStitched	chr17	34509013	34540328	3	27298	116566.95599999999	7224.3705
6_MACS_peak_10880_lociStitched	chr15	101661147	101692431	6	20851	59918.2452	4852.1484
4_MACS_peak_1732_lociStitched	chr1	149802955	149834106	4	17061	77983.4134	8080.5694
5_MACS_peak_13643_lociStitched	chr18	9054061	9084925	5	20714	116456.0448	6036.9983999999995
3_MACS_peak_10399_lociStitched	chr15	68568812	68599539	3	27584	59745.578799999996	5125.2636
5_MACS_peak_16536_lociStitched	chr2	88898290	88928511	5	21245	34098.3543	5098.2827
5_MACS_peak_27033_lociStitched	chr6	90056089	90086260	5	24116	79775.1411	5466.9852
3_MACS_peak_19625_lociStitched	chr22	23217639	23247634	3	28071	158022.6585	4928.1785
4_MACS_peak_20691_lociStitched	chr3	46317555	46347535	4	28898	64831.75	4988.672
5_MACS_peak_17588_lociStitched	chr2	197023744	197053637	5	23914	53069.0429	4764.9442
5_MACS_peak_10727_lociStitched	chr15	89646670	89676555	5	18780	62940.798500000004	5295.622
3_MACS_peak_25214_lociStitched	chr5	131744847	131774520	3	22508	103570.6392	5738.758199999999
3_MACS_peak_28996_lociStitched	chr7	102063575	102093220	3	23270	125143.403	5199.733
4_MACS_peak_2364_lociStitched	chr1	183856300	183885886	4	17757	71743.0914	6704.1876
4_MACS_peak_9676_lociStitched	chr14	106143799	106173281	4	29093	154255.7204	3467.0832
7_MACS_peak_16307_lociStitched	chr2	70331555	70361035	7	14083	39854.012	4566.452
4_MACS_peak_2689_lociStitched	chr1	206282002	206311340	4	21800	108101.7286	7099.795999999999
6_MACS_peak_21827_lociStitched	chr3	156795270	156824457	6	17116	52028.7462	7171.2459
5_MACS_peak_28514_lociStitched	chr7	55614390	55643569	5	28286	53412.1595	5045.0491
4_MACS_peak_14705_lociStitched	chr19	16244065	16273199	4	21025	51412.769799999995	5232.4664
4_MACS_peak_9967_lociStitched	chr15	40833504	40862540	4	19955	58571.4192	5229.3836
6_MACS_peak_18715_lociStitched	chr20	42564725	42593706	6	18401	34687.3589	4564.5075
6_MACS_peak_9706_lociStitched	chr15	20969174	20997878	6	19909	36749.7312	4012.8192000000004
5_MACS_peak_9944_lociStitched	chr15	40330032	40358721	5	16989	43965.8925	4587.371099999999
4_MACS_peak_18535_lociStitched	chr20	32423906	32452547	4	22863	83454.1458	5590.7232
5_MACS_peak_19446_lociStitched	chr21	45552626	45580934	5	19134	90664.8624	6590.1024
4_MACS_peak_27008_lociStitched	chr6	88612317	88640483	4	23962	70544.5636	4619.224
3_MACS_peak_1877_lociStitched	chr1	154907845	154935745	3	20216	96960.87	7731.09
2_MACS_peak_18008_lociStitched	chr2	232687115	232714641	2	27235	31572.322	3729.773
8_MACS_peak_5489_lociStitched	chr11	63992709	64020110	8	14074	19509.512	4143.0312
5_MACS_peak_9717_lociStitched	chr15	21975607	22002883	5	19340	33314.9064	3957.7476
2_MACS_peak_5100_lociStitched	chr11	22676868	22704028	2	23567	115826.536	4698.679999999999
3_MACS_peak_19364_lociStitched	chr21	41318556	41345249	3	22025	97781.79759999999	7540.772499999999
5_MACS_peak_24827_lociStitched	chr5	88594131	88620502	5	23755	89028.496	4757.3284
5_MACS_peak_16182_lociStitched	chr2	64430280	64456616	5	18721	52219.0208	4587.7312
4_MACS_peak_6547_lociStitched	chr12	7045706	7072016	4	18997	63436.041	4720.014
4_MACS_peak_20307_lociStitched	chr3	13035477	13061715	4	17879	68056.1244	5153.1431999999995
5_MACS_peak_13776_lociStitched	chr18	23745806	23772035	5	15831	47707.9281	3755.9928
1_MACS_peak_27152_lociStitched	chr6	106530472	106556477	1	26006	110601.8655	5211.402
4_MACS_peak_5864_lociStitched	chr11	82764532	82790507	4	14970	46271.865000000005	4537.8324999999995
3_MACS_peak_1953_lociStitched	chr1	156450438	156476244	3	20307	53710.0278	6557.3045999999995
4_MACS_peak_3385_lociStitched	chr10	7510803	7536517	4	19162	62780.731	3967.6702
3_MACS_peak_21985_lociStitched	chr3	171801653	171827315	3	25055	117023.8524	6610.531199999999
5_MACS_peak_7178_lociStitched	chr12	53845369	53871020	5	22582	24404.3614	4324.7586
2_MACS_peak_12685_lociStitched	chr17	38459184	38484823	2	20686	94028.46860000001	4086.8565999999996
4_MACS_peak_20231_lociStitched	chr3	5222454	5248050	4	20780	40439.1204	4474.1808
1_MACS_peak_23230_lociStitched	chr4	90204731	90230270	1	25540	151109.1552	5766.7062
3_MACS_peak_9453_lociStitched	chr14	81930626	81956072	3	20608	57202.60800000001	2503.8864
5_MACS_peak_32391_lociStitched	chr9	134127113	134152507	5	13977	35244.332599999994	3844.6516
4_MACS_peak_25491_lociStitched	chr5	150512800	150538180	4	16609	33590.43	4565.862
6_MACS_peak_28314_lociStitched	chr7	38383461	38408450	6	17905	32840.5438	4987.8044
3_MACS_peak_26195_lociStitched	chr6	25365766	25390737	3	20394	48129.1054	4357.4394999999995
2_MACS_peak_1548_lociStitched	chr1	118194477	118219411	2	22099	90789.6808	2805.0750000000003
4_MACS_peak_9574_lociStitched	chr14	95961245	95986170	4	14939	21884.15	2178.445
4_MACS_peak_11126_lociStitched	chr16	11761456	11786380	4	21182	70382.8836	4448.934
6_MACS_peak_5801_lociStitched	chr11	77146705	77171586	6	13873	18695.5834	3821.7216
2_MACS_peak_13649_lociStitched	chr18	9101579	9126458	2	22597	54039.675899999995	4829.0139
3_MACS_peak_22066_lociStitched	chr3	177055457	177080214	3	15860	67088.9943	5775.8081
4_MACS_peak_5544_lociStitched	chr11	65254255	65278981	4	18304	53212.8246	4445.734799999999
2_MACS_peak_6353_lociStitched	chr11	128585312	128610036	2	24718	72817.12479999999	4986.8308
5_MACS_peak_1616_lociStitched	chr1	144685076	144709746	5	10208	16097.175	4652.762
3_MACS_peak_1855_lociStitched	chr1	154370171	154394732	3	19452	77042.9448	6545.5065
4_MACS_peak_25089_lociStitched	chr5	118657685	118682227	4	17576	47604.1174	4231.0408
5_MACS_peak_7051_lociStitched	chr12	48196380	48220832	5	18409	63626.5492	4078.5936
2_MACS_peak_13651_lociStitched	chr18	9133184	9157584	2	23201	44120.08	4326.12
3_MACS_peak_12577_lociStitched	chr17	34408589	34432875	3	23031	66247.3508	4750.3416
5_MACS_peak_1083_lociStitched	chr1	68208424	68232667	5	10267	18599.2296	3558.8724
5_MACS_peak_23861_lociStitched	chr4	173896650	173920789	5	15866	25659.756999999998	3560.5024999999996
5_MACS_peak_11268_lociStitched	chr16	22194923	22219023	5	16565	29428.510000000002	4089.7699999999995
4_MACS_peak_22029_lociStitched	chr3	175050574	175074622	4	20792	57883.536	5054.8895999999995
5_MACS_peak_13282_lociStitched	chr17	72733058	72757044	5	20036	38025.0058	4377.445
5_MACS_peak_5856_lociStitched	chr11	82666425	82690313	5	12543	26052.252800000002	3585.5888000000004
3_MACS_peak_27750_lociStitched	chr6	157976444	158000315	3	20728	64893.313500000004	2265.3579
4_MACS_peak_26216_lociStitched	chr6	26183568	26207333	4	14160	41120.5795	4116.098
5_MACS_peak_7711_lociStitched	chr12	96878400	96902132	5	13895	28829.6336	3652.3548
5_MACS_peak_720_lociStitched	chr1	42126948	42150497	5	9374	11753.3059	2896.527
4_MACS_peak_19968_lociStitched	chr22	39822713	39846260	4	16153	85612.1826	3932.349
6_MACS_peak_11367_lociStitched	chr16	29464463	29487984	6	10653	12978.887799999999	4650.101699999999
3_MACS_peak_6390_lociStitched	chr11	130696673	130720180	3	15256	46405.1687	3876.3043
4_MACS_peak_25770_lociStitched	chr5	176717300	176740800	4	13532	29896.7	4110.15
5_MACS_peak_1923_lociStitched	chr1	155938795	155962256	5	18364	58077.7055	5783.1365
4_MACS_peak_9749_lociStitched	chr15	23659455	23682867	4	18094	43686.792	3617.154
3_MACS_peak_16217_lociStitched	chr2	65155656	65179029	3	19340	103348.3941	4976.1117
3_MACS_peak_25554_lociStitched	chr5	156339062	156362391	3	16543	49723.43060000001	3284.7232000000004
3_MACS_peak_2448_lociStitched	chr1	192498004	192521299	3	18514	56860.7655	5075.980500000001
3_MACS_peak_20482_lociStitched	chr3	30680524	30703784	3	20195	41072.508	4040.2619999999997
3_MACS_peak_30837_lociStitched	chr8	126285231	126308459	3	20476	47059.92799999999	4111.356
5_MACS_peak_11792_lociStitched	chr16	70827287	70850501	5	9586	12106.100999999999	3238.3530000000005
3_MACS_peak_19420_lociStitched	chr21	44724588	44747648	3	14819	54737.522	4023.97
5_MACS_peak_6922_lociStitched	chr12	33037636	33060643	5	12988	17878.739700000002	3837.5676000000003
2_MACS_peak_13430_lociStitched	chr17	76711164	76733967	2	18989	39902.9697	4243.6383
3_MACS_peak_11598_lociStitched	chr16	56963114	56985912	3	16576	44460.6596	4411.4130000000005
4_MACS_peak_7019_lociStitched	chr12	46776205	46798971	4	13900	29472.8636	3278.3039999999996
2_MACS_peak_19623_lociStitched	chr22	23188532	23211073	2	18756	52540.816900000005	2472.7477000000003
4_MACS_peak_14362_lociStitched	chr19	2606399	2628927	4	15643	86931.0464	5377.4336
2_MACS_peak_21580_lociStitched	chr3	133178636	133201120	2	19648	77160.5912	4438.3416
2_MACS_peak_503_lociStitched	chr1	31214003	31236397	2	20995	88449.5818	4837.104
4_MACS_peak_16595_lociStitched	chr2	97190564	97212909	4	15352	53029.154	3550.6205000000004
5_MACS_peak_24812_lociStitched	chr5	87954465	87976803	5	11978	41242.6494	3319.4268
2_MACS_peak_9950_lociStitched	chr15	40386937	40409270	2	17528	79559.0792	4301.3358
2_MACS_peak_17867_lociStitched	chr2	219741214	219763498	2	18394	40380.8364	3884.1012
5_MACS_peak_20973_lociStitched	chr3	66530294	66552537	5	14935	22465.43	3463.2351000000003
6_MACS_peak_9420_lociStitched	chr14	77487926	77510121	6	15994	31474.729499999998	1930.965
3_MACS_peak_18901_lociStitched	chr20	52194123	52216290	3	21723	55659.120299999995	4129.7121
2_MACS_peak_32065_lociStitched	chr9	112903445	112925611	2	21643	62120.215000000004	4685.8924
3_MACS_peak_3410_lociStitched	chr10	11282742	11304890	3	20073	45086.6836	4250.2011999999995
2_MACS_peak_1762_lociStitched	chr1	150531781	150553921	2	18899	122885.856	6768.198
3_MACS_peak_18239_lociStitched	chr20	5570414	5592543	3	18964	30148.549600000002	3930.1104
4_MACS_peak_17552_lociStitched	chr2	192481680	192503783	4	11199	15182.5507	3571.8448
6_MACS_peak_11381_lociStitched	chr16	29815515	29837607	6	13548	29042.1432	3218.8044
3_MACS_peak_21528_lociStitched	chr3	129026516	129048605	3	14122	27690.7704	3783.8457000000003
3_MACS_peak_23015_lociStitched	chr4	74453812	74475873	3	17733	57680.690599999994	3598.1491
1_MACS_peak_15627_lociStitched	chr2	20404556	20426545	1	21990	92305.4242	4169.1143999999995
5_MACS_peak_10053_lociStitched	chr15	44954542	44976526	5	9546	18279.696	3710.8992000000003
4_MACS_peak_26259_lociStitched	chr6	27094260	27116234	4	13557	35272.6648	3509.2478
2_MACS_peak_343_lociStitched	chr1	24511940	24533858	2	18743	102135.6882	4028.5283999999997
4_MACS_peak_15382_lociStitched	chr19	56145680	56167579	4	9955	18213.3983	3107.4681
4_MACS_peak_29960_lociStitched	chr8	27231482	27253363	4	16217	36539.0819	3877.3132
4_MACS_peak_11735_lociStitched	chr16	68278124	68299971	4	14438	32027.702	3781.7157
1_MACS_peak_3405_lociStitched	chr10	11202249	11224033	1	21785	113246.3024	5106.1696
2_MACS_peak_19629_lociStitched	chr22	23265085	23286843	2	21579	191777.18779999999	4556.1252
3_MACS_peak_7632_lociStitched	chr12	92929583	92951340	3	19217	53709.3302	3818.3534999999997
3_MACS_peak_24270_lociStitched	chr5	32570771	32592448	3	18478	61092.289099999995	4270.369000000001
5_MACS_peak_5213_lociStitched	chr11	35127553	35149209	5	10354	11871.8192	2923.5600000000004
3_MACS_peak_18746_lociStitched	chr20	43587666	43609255	3	12677	26366.6457	3916.2446
3_MACS_peak_18925_lociStitched	chr20	52545601	52567188	3	15737	37697.3781	3816.5816000000004
2_MACS_peak_4950_lociStitched	chr11	10323589	10345155	2	20597	80501.56480000001	4472.7884
3_MACS_peak_2038_lociStitched	chr1	160694354	160715917	3	14153	51628.2909	5317.4358
3_MACS_peak_27214_lociStitched	chr6	109185904	109207392	3	14008	34041.289600000004	3429.4847999999997
3_MACS_peak_1940_lociStitched	chr1	156115209	156136683	3	18881	74697.309	6010.5725999999995
5_MACS_peak_21988_lociStitched	chr3	171850763	171872099	5	11326	13014.96	4320.54
4_MACS_peak_27499_lociStitched	chr6	135322806	135344122	4	12161	28265.016	3269.8744
4_MACS_peak_18751_lociStitched	chr20	43672522	43693816	4	12717	24945.921	3264.3702
6_MACS_peak_29974_lociStitched	chr8	27930169	27951460	6	13912	27071.506500000003	3581.1461999999997
3_MACS_peak_18458_lociStitched	chr20	25261528	25282752	3	13704	37687.4568	3240.9048000000003
5_MACS_peak_2715_lociStitched	chr1	206986556	207007704	5	11849	15913.869999999999	4764.6444
4_MACS_peak_23043_lociStitched	chr4	76022950	76044093	4	12035	45567.393599999996	3294.0794
4_MACS_peak_25818_lociStitched	chr5	180228412	180249549	4	15036	43404.8295	3673.6106000000004
4_MACS_peak_17670_lociStitched	chr2	202081016	202102132	4	15580	25934.6712	3760.7596000000003
5_MACS_peak_9535_lociStitched	chr14	93225380	93246412	5	8573	10246.7904	1705.6952
4_MACS_peak_3749_lociStitched	chr10	45913574	45934602	4	15637	69234.69	3517.9844000000003
4_MACS_peak_22602_lociStitched	chr4	15766942	15787918	4	9143	11060.6448	3444.2592000000004
3_MACS_peak_10487_lociStitched	chr15	75062932	75083850	3	19470	47442.024	4095.7444
3_MACS_peak_29116_lociStitched	chr7	110713435	110734277	3	11931	26565.2132	4283.031
2_MACS_peak_10618_lociStitched	chr15	81575921	81596705	2	15823	53764.0512	4208.76
4_MACS_peak_15630_lociStitched	chr2	20610680	20631342	4	14818	31563.271200000003	3132.3592000000003
3_MACS_peak_13262_lociStitched	chr17	70581961	70602524	3	15339	39914.8393	3411.4017
4_MACS_peak_13416_lociStitched	chr17	76163714	76184027	4	10645	17851.0644	3026.6369999999997
4_MACS_peak_17666_lociStitched	chr2	202039970	202060271	4	11604	18212.0271	3398.3874
3_MACS_peak_18532_lociStitched	chr20	32398515	32418745	3	15369	36088.297	3882.1369999999997
4_MACS_peak_2639_lociStitched	chr1	204474593	204494764	4	15800	49370.5396	5266.6481
4_MACS_peak_14129_lociStitched	chr18	60883070	60903220	4	7178	8936.525	2907.6450000000004
5_MACS_peak_11403_lociStitched	chr16	30203619	30223757	5	10439	12338.5526	4071.9035999999996
4_MACS_peak_9906_lociStitched	chr15	38360684	38380813	4	12593	47337.369300000006	3250.8335
5_MACS_peak_1309_lociStitched	chr1	93408928	93429034	5	17346	24842.9736	1883.9322000000002
4_MACS_peak_9125_lociStitched	chr14	52073851	52093919	4	10517	16214.944000000001	1629.5215999999998
4_MACS_peak_420_lociStitched	chr1	27147087	27167139	4	8021	10657.637999999999	2865.4308
3_MACS_peak_11143_lociStitched	chr16	12052031	12072074	3	14791	105919.2378	3611.7486
5_MACS_peak_24259_lociStitched	chr5	32275876	32295871	5	14164	16403.898	3461.1345
5_MACS_peak_8905_lociStitched	chr14	23279914	23299904	5	6677	7792.102	1453.273
4_MACS_peak_14622_lociStitched	chr19	12885537	12905527	4	11038	16091.95	2966.516
5_MACS_peak_2351_lociStitched	chr1	183557455	183577431	5	10073	22103.444	4498.595200000001
5_MACS_peak_4179_lociStitched	chr10	81946407	81966358	5	13871	25447.500500000002	3670.984
3_MACS_peak_26665_lociStitched	chr6	45382768	45402703	3	13657	43111.431	2890.575
3_MACS_peak_2248_lociStitched	chr1	174922506	174942364	3	15451	34870.648	4799.6786
5_MACS_peak_5549_lociStitched	chr11	65307011	65326869	5	7718	9416.6636	2760.262
4_MACS_peak_16544_lociStitched	chr2	89046949	89066769	4	14402	58100.348	3111.7400000000002
3_MACS_peak_18787_lociStitched	chr20	45172111	45191875	3	15184	33446.6172	3126.6648
3_MACS_peak_25220_lociStitched	chr5	131822968	131842637	3	13861	35803.4807	3776.448
4_MACS_peak_1803_lociStitched	chr1	151880893	151900526	4	9471	22248.1156	4209.3152
3_MACS_peak_28646_lociStitched	chr7	74057039	74076641	3	10998	19427.5422	2901.096
1_MACS_peak_24818_lociStitched	chr5	88110771	88130368	1	19598	35889.9458	3599.9689
4_MACS_peak_5521_lociStitched	chr11	64845508	64865096	4	7614	11039.7968	3290.784
3_MACS_peak_31807_lociStitched	chr9	93670873	93690432	3	14067	51238.7123	3137.2635999999998
2_MACS_peak_5732_lociStitched	chr11	72850624	72870171	2	19163	98456.2843	3962.1769
4_MACS_peak_4160_lociStitched	chr10	81001241	81020718	4	15650	34378.852699999996	3170.8556
3_MACS_peak_7416_lociStitched	chr12	68751476	68770910	3	13415	57081.544799999996	3639.9882
3_MACS_peak_2061_lociStitched	chr1	161144393	161163801	3	13898	64116.2688	5434.240000000001
3_MACS_peak_18293_lociStitched	chr20	9479527	9498874	3	12399	40953.7296	3058.7607
5_MACS_peak_33386_lociStitched	chrX	128902084	128921416	5	13310	23612.1048	2120.7204
4_MACS_peak_7858_lociStitched	chr12	109161689	109181019	4	10511	29128.376999999997	3295.7650000000003
4_MACS_peak_16275_lociStitched	chr2	68936201	68955501	4	10656	22745.050000000003	3145.9
4_MACS_peak_6094_lociStitched	chr11	111232608	111251864	4	16993	60544.7152	3337.0648
5_MACS_peak_30798_lociStitched	chr8	124541854	124561105	5	10147	15150.537	2941.5528
4_MACS_peak_19723_lociStitched	chr22	29206904	29226139	4	17428	58824.477	3441.1415
3_MACS_peak_17596_lociStitched	chr2	197088411	197107626	3	12655	23015.727	3135.8880000000004
5_MACS_peak_15995_lociStitched	chr2	46785448	46804562	5	16476	25987.394399999997	3377.4438
4_MACS_peak_24446_lociStitched	chr5	55272987	55292091	4	9020	19812.7584	3005.0591999999997
5_MACS_peak_5742_lociStitched	chr11	73069925	73089005	5	8824	9936.864000000001	2661.6600000000003
4_MACS_peak_11551_lociStitched	chr16	50713987	50733037	4	14338	32569.785	2811.78
5_MACS_peak_32178_lociStitched	chr9	123688790	123707820	5	13819	29644.934	2900.172
3_MACS_peak_15728_lociStitched	chr2	27374570	27393373	3	16078	39446.8137	3119.4177
3_MACS_peak_14530_lociStitched	chr19	10329219	10348020	3	11328	30102.2811	2904.7545
3_MACS_peak_32147_lociStitched	chr9	117655087	117673858	3	13263	22615.3008	3091.5837
2_MACS_peak_19882_lociStitched	chr22	37610397	37629164	2	16700	57809.8668	3569.4834
4_MACS_peak_16481_lociStitched	chr2	86289760	86308523	4	10404	13980.3113	2829.4604
1_MACS_peak_22790_lociStitched	chr4	40190936	40209684	1	18749	85384.0164	4463.8988
3_MACS_peak_27313_lociStitched	chr6	117858862	117877603	3	12530	27309.3852	2871.1212
2_MACS_peak_13057_lociStitched	chr17	56404600	56423304	2	16732	101072.67520000001	4502.0528
4_MACS_peak_6639_lociStitched	chr12	11901548	11920242	4	15929	35004.515	3262.1029999999996
4_MACS_peak_31044_lociStitched	chr8	145009228	145027905	4	12980	23473.2536	2441.0839
4_MACS_peak_20400_lociStitched	chr3	20080056	20098731	4	11940	17722.575	2872.2149999999997
3_MACS_peak_28389_lociStitched	chr7	44661750	44680408	3	13748	30229.691600000002	3457.3273999999997
4_MACS_peak_14298_lociStitched	chr19	1258454	1277079	4	10213	23648.162500000002	3609.525
4_MACS_peak_16188_lociStitched	chr2	64497832	64516443	4	9864	30549.9565	2631.5954
4_MACS_peak_2452_lociStitched	chr1	192560982	192579524	4	16593	18834.9636	4618.812199999999
4_MACS_peak_13891_lociStitched	chr18	42288769	42307248	4	12763	16638.4916	2862.3971
4_MACS_peak_21283_lociStitched	chr3	111838069	111856509	4	13197	18508.228	3147.7079999999996
3_MACS_peak_29575_lociStitched	chr7	150100543	150118956	3	10322	48153.6776	4564.5827
2_MACS_peak_17663_lociStitched	chr2	201979788	201998180	2	16518	101722.4736	3742.772
3_MACS_peak_16267_lociStitched	chr2	68637656	68656034	3	10565	18515.835000000003	3118.7466
4_MACS_peak_20685_lociStitched	chr3	46245535	46263851	4	14388	61080.1968	3641.2208
4_MACS_peak_30066_lociStitched	chr8	33410043	33428326	4	11320	29108.3643	2936.2498
3_MACS_peak_10508_lociStitched	chr15	75352736	75371004	3	12396	39869.91	3339.3903999999998
1_MACS_peak_7850_lociStitched	chr12	108953270	108971535	1	18266	53474.440500000004	3642.0409999999997
2_MACS_peak_5074_lociStitched	chr11	19449398	19467657	2	17809	86093.0109	3604.3266
2_MACS_peak_24832_lociStitched	chr5	88634416	88652656	2	13734	69155.136	2832.672
4_MACS_peak_4046_lociStitched	chr10	74006465	74024662	4	12440	29298.989700000002	2951.5534000000002
4_MACS_peak_19976_lociStitched	chr22	39911203	39929384	4	9555	20860.879399999998	3358.0307000000003
3_MACS_peak_21200_lociStitched	chr3	101495456	101513628	3	11073	25030.1128	3005.6488
4_MACS_peak_14656_lociStitched	chr19	13943831	13961992	4	11094	29177.4626	2544.3561
4_MACS_peak_13911_lociStitched	chr18	43634610	43652756	4	6841	9176.432200000001	2035.9812
3_MACS_peak_17756_lociStitched	chr2	207997086	208015216	3	10568	22700.573	2521.883
3_MACS_peak_13530_lociStitched	chr17	80405889	80423996	3	8138	22275.2314	2553.0869999999995
5_MACS_peak_20701_lociStitched	chr3	46421090	46439163	5	13952	19291.120199999998	2622.3923
3_MACS_peak_10191_lociStitched	chr15	52959351	52977415	3	11205	22021.8224	3020.3008
2_MACS_peak_4552_lociStitched	chr10	112168436	112186483	2	16468	39226.9592	2853.2306999999996
3_MACS_peak_32051_lociStitched	chr9	112665337	112683343	3	13507	57655.212	3131.2434
3_MACS_peak_29152_lociStitched	chr7	114556693	114574678	3	13579	56854.182	4474.668
3_MACS_peak_15914_lociStitched	chr2	42343250	42361215	3	14242	40502.092500000006	3127.7065000000002
3_MACS_peak_20994_lociStitched	chr3	69128270	69146084	3	16922	37373.772	3571.7070000000003
3_MACS_peak_18969_lociStitched	chr20	55957926	55975712	3	12032	22625.5706	2822.6382000000003
4_MACS_peak_11561_lociStitched	chr16	53085932	53103712	4	8060	10143.49	2823.464
3_MACS_peak_20358_lociStitched	chr3	15834943	15852663	3	14041	27997.600000000002	3198.46
4_MACS_peak_5442_lociStitched	chr11	62308154	62325840	4	10906	15726.3912	3188.7857999999997
4_MACS_peak_20377_lociStitched	chr3	17780740	17798396	4	9808	15215.9408	2554.8232
4_MACS_peak_11694_lociStitched	chr16	67191374	67209029	4	9458	15262.747500000001	2574.099
3_MACS_peak_668_lociStitched	chr1	40030210	40047851	3	13105	16593.1246	3200.0774
4_MACS_peak_26183_lociStitched	chr6	25162780	25180389	4	11853	23097.725300000002	2944.2248
2_MACS_peak_19116_lociStitched	chr21	19151637	19169203	2	15423	47152.413799999995	2810.56
5_MACS_peak_4486_lociStitched	chr10	105250032	105267567	5	10265	10913.784	2758.2554999999998
3_MACS_peak_32293_lociStitched	chr9	130532179	130549697	3	10191	18986.008400000002	2885.2146000000002
4_MACS_peak_19452_lociStitched	chr21	45626411	45643888	4	8313	8406.437	2534.165
1_MACS_peak_7163_lociStitched	chr12	53586987	53604457	1	17471	97809.289	3862.6169999999997
4_MACS_peak_322_lociStitched	chr1	23937208	23954677	4	10700	22388.2704	3230.0181000000002
4_MACS_peak_22023_lociStitched	chr3	174901574	174919025	4	9685	19337.453100000002	2863.7091
2_MACS_peak_22254_lociStitched	chr3	186702993	186720403	2	14466	68861.773	4869.577
2_MACS_peak_27629_lociStitched	chr6	143162743	143180127	2	14836	34768.0	1727.9696000000001
4_MACS_peak_4892_lociStitched	chr11	6624002	6641360	4	8079	10796.676	2994.2549999999997
4_MACS_peak_15721_lociStitched	chr2	27293459	27310798	4	12171	16607.2942	2632.0602
3_MACS_peak_314_lociStitched	chr1	23849906	23867233	3	12156	53018.887299999995	3444.6076000000003
3_MACS_peak_23558_lociStitched	chr4	129724081	129741384	3	8424	18050.489599999997	2630.056
3_MACS_peak_26282_lociStitched	chr6	27790834	27808124	3	9750	34177.143	3091.4519999999998
