#08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16_ROSE/08_0EWU_0229Kronos_MM1S-KB-6hr-2_H3K18Ac_hs-dm_i16_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X08_0EWU_0229Kronos_MM1S.KB.6hr.2_H3K18Ac_hs.dm_i16.bam
#Using cutoff of 16723.5007 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X08_0EWU_0229Kronos_MM1S.KB.6hr.2_H3K18Ac_hs.dm_i16.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	isStretch
4_MACS_peak_29571_lociStitched	chr7	150052558	150084926	4	25581	112886.6368	8312.1024	34	1
1_MACS_peak_23230_lociStitched	chr4	90204731	90230270	1	25540	151109.1552	5766.7062	35	1
3_MACS_peak_21985_lociStitched	chr3	171801653	171827315	3	25055	117023.8524	6610.5312	36	1
4_MACS_peak_4568_lociStitched	chr10	112599770	112633348	4	24719	115118.8152	6084.3336	37	1
2_MACS_peak_6353_lociStitched	chr11	128585312	128610036	2	24718	72817.1248	4986.8308	38	1
6_MACS_peak_9825_lociStitched	chr15	31628780	31660689	6	24572	68240.5874	5485.1571	39	1
3_MACS_peak_22985_lociStitched	chr4	71523463	71555180	3	24548	115713.1311	5886.6752	40	1
5_MACS_peak_27033_lociStitched	chr6	90056089	90086260	5	24116	79775.1411	5466.9852	41	1
4_MACS_peak_27008_lociStitched	chr6	88612317	88640483	4	23962	70544.5636	4619.224	42	1
5_MACS_peak_17588_lociStitched	chr2	197023744	197053637	5	23914	53069.0429	4764.9442	43	1
5_MACS_peak_24827_lociStitched	chr5	88594131	88620502	5	23755	89028.496	4757.3284	44	1
5_MACS_peak_12897_lociStitched	chr17	46527727	46562482	5	23657	38025.4455	5637.261	45	1
2_MACS_peak_5100_lociStitched	chr11	22676868	22704028	2	23567	115826.536	4698.68	46	1
3_MACS_peak_28996_lociStitched	chr7	102063575	102093220	3	23270	125143.403	5199.733	47	1
2_MACS_peak_13651_lociStitched	chr18	9133184	9157584	2	23201	44120.08	4326.12	48	1
3_MACS_peak_12577_lociStitched	chr17	34408589	34432875	3	23031	66247.3508	4750.3416	49	1
4_MACS_peak_18535_lociStitched	chr20	32423906	32452547	4	22863	83454.1458	5590.7232	50	1
4_MACS_peak_23953_lociStitched	chr4	185317366	185350248	4	22758	81133.0468	5964.7948	51	1
2_MACS_peak_13649_lociStitched	chr18	9101579	9126458	2	22597	54039.6759	4829.0139	52	1
5_MACS_peak_7178_lociStitched	chr12	53845369	53871020	5	22582	24404.3614	4324.7586	53	1
3_MACS_peak_25214_lociStitched	chr5	131744847	131774520	3	22508	103570.6392	5738.7582	54	1
2_MACS_peak_1548_lociStitched	chr1	118194477	118219411	2	22099	90789.6808	2805.075	55	1
3_MACS_peak_19364_lociStitched	chr21	41318556	41345249	3	22025	97781.7976	7540.7725	56	1
1_MACS_peak_15627_lociStitched	chr2	20404556	20426545	1	21990	92305.4242	4169.1144	57	1
4_MACS_peak_2689_lociStitched	chr1	206282002	206311340	4	21800	108101.7286	7099.796	58	1
1_MACS_peak_3405_lociStitched	chr10	11202249	11224033	1	21785	113246.3024	5106.1696	59	1
3_MACS_peak_18901_lociStitched	chr20	52194123	52216290	3	21723	55659.1203	4129.7121	60	1
2_MACS_peak_32065_lociStitched	chr9	112903445	112925611	2	21643	62120.215	4685.8924	61	1
2_MACS_peak_19629_lociStitched	chr22	23265085	23286843	2	21579	191777.1878	4556.1252	62	1
5_MACS_peak_16536_lociStitched	chr2	88898290	88928511	5	21245	34098.3543	5098.2827	63	1
4_MACS_peak_11126_lociStitched	chr16	11761456	11786380	4	21182	70382.8836	4448.934	64	1
4_MACS_peak_14705_lociStitched	chr19	16244065	16273199	4	21025	51412.7698	5232.4664	65	1
2_MACS_peak_503_lociStitched	chr1	31214003	31236397	2	20995	88449.5818	4837.104	66	1
6_MACS_peak_10880_lociStitched	chr15	101661147	101692431	6	20851	59918.2452	4852.1484	67	1
4_MACS_peak_22029_lociStitched	chr3	175050574	175074622	4	20792	57883.536	5054.8896	68	1
4_MACS_peak_20231_lociStitched	chr3	5222454	5248050	4	20780	40439.1204	4474.1808	69	1
3_MACS_peak_27750_lociStitched	chr6	157976444	158000315	3	20728	64893.3135	2265.3579	70	1
5_MACS_peak_13643_lociStitched	chr18	9054061	9084925	5	20714	116456.0448	6036.9984	71	1
2_MACS_peak_12685_lociStitched	chr17	38459184	38484823	2	20686	94028.4686	4086.8566	72	1
3_MACS_peak_9453_lociStitched	chr14	81930626	81956072	3	20608	57202.608	2503.8864	73	1
2_MACS_peak_4950_lociStitched	chr11	10323589	10345155	2	20597	80501.5648	4472.7884	74	1
3_MACS_peak_30837_lociStitched	chr8	126285231	126308459	3	20476	47059.928	4111.356	75	1
3_MACS_peak_26195_lociStitched	chr6	25365766	25390737	3	20394	48129.1054	4357.4395	76	1
3_MACS_peak_1953_lociStitched	chr1	156450438	156476244	3	20307	53710.0278	6557.3046	77	1
3_MACS_peak_1877_lociStitched	chr1	154907845	154935745	3	20216	96960.87	7731.09	78	1
3_MACS_peak_20482_lociStitched	chr3	30680524	30703784	3	20195	41072.508	4040.262	79	1
3_MACS_peak_3410_lociStitched	chr10	11282742	11304890	3	20073	45086.6836	4250.2012	80	1
5_MACS_peak_13282_lociStitched	chr17	72733058	72757044	5	20036	38025.0058	4377.445	81	1
4_MACS_peak_9967_lociStitched	chr15	40833504	40862540	4	19955	58571.4192	5229.3836	82	1
6_MACS_peak_9706_lociStitched	chr15	20969174	20997878	6	19909	36749.7312	4012.8192	83	1
7_MACS_peak_10811_lociStitched	chr15	93346252	93389625	7	19854	60197.3867	6171.9779	84	1
2_MACS_peak_21580_lociStitched	chr3	133178636	133201120	2	19648	77160.5912	4438.3416	85	1
1_MACS_peak_24818_lociStitched	chr5	88110771	88130368	1	19598	35889.9458	3599.9689	86	1
3_MACS_peak_10487_lociStitched	chr15	75062932	75083850	3	19470	47442.024	4095.7444	87	1
3_MACS_peak_1855_lociStitched	chr1	154370171	154394732	3	19452	77042.9448	6545.5065	88	1
3_MACS_peak_16217_lociStitched	chr2	65155656	65179029	3	19340	103348.3941	4976.1117	89	1
5_MACS_peak_9717_lociStitched	chr15	21975607	22002883	5	19340	33314.9064	3957.7476	90	1
3_MACS_peak_7632_lociStitched	chr12	92929583	92951340	3	19217	53709.3302	3818.3535	91	1
2_MACS_peak_5732_lociStitched	chr11	72850624	72870171	2	19163	98456.2843	3962.1769	92	1
4_MACS_peak_3385_lociStitched	chr10	7510803	7536517	4	19162	62780.731	3967.6702	93	1
5_MACS_peak_19446_lociStitched	chr21	45552626	45580934	5	19134	90664.8624	6590.1024	94	1
4_MACS_peak_6547_lociStitched	chr12	7045706	7072016	4	18997	63436.041	4720.014	95	1
2_MACS_peak_13430_lociStitched	chr17	76711164	76733967	2	18989	39902.9697	4243.6383	96	1
3_MACS_peak_18239_lociStitched	chr20	5570414	5592543	3	18964	30148.5496	3930.1104	97	1
2_MACS_peak_1762_lociStitched	chr1	150531781	150553921	2	18899	122885.856	6768.198	98	1
3_MACS_peak_1940_lociStitched	chr1	156115209	156136683	3	18881	74697.309	6010.5726	99	1
5_MACS_peak_10727_lociStitched	chr15	89646670	89676555	5	18780	62940.7985	5295.622	100	1
2_MACS_peak_19623_lociStitched	chr22	23188532	23211073	2	18756	52540.8169	2472.7477	101	1
1_MACS_peak_22790_lociStitched	chr4	40190936	40209684	1	18749	85384.0164	4463.8988	102	1
2_MACS_peak_343_lociStitched	chr1	24511940	24533858	2	18743	102135.6882	4028.5284	103	1
5_MACS_peak_16182_lociStitched	chr2	64430280	64456616	5	18721	52219.0208	4587.7312	104	1
3_MACS_peak_2448_lociStitched	chr1	192498004	192521299	3	18514	56860.7655	5075.9805	105	1
3_MACS_peak_24270_lociStitched	chr5	32570771	32592448	3	18478	61092.2891	4270.369	106	1
5_MACS_peak_7051_lociStitched	chr12	48196380	48220832	5	18409	63626.5492	4078.5936	107	1
6_MACS_peak_18715_lociStitched	chr20	42564725	42593706	6	18401	34687.3589	4564.5075	108	1
2_MACS_peak_17867_lociStitched	chr2	219741214	219763498	2	18394	40380.8364	3884.1012	109	1
5_MACS_peak_1923_lociStitched	chr1	155938795	155962256	5	18364	58077.7055	5783.1365	110	1
4_MACS_peak_5544_lociStitched	chr11	65254255	65278981	4	18304	53212.8246	4445.7348	111	1
1_MACS_peak_7850_lociStitched	chr12	108953270	108971535	1	18266	53474.4405	3642.041	112	1
4_MACS_peak_9749_lociStitched	chr15	23659455	23682867	4	18094	43686.792	3617.154	113	1
6_MACS_peak_28314_lociStitched	chr7	38383461	38408450	6	17905	32840.5438	4987.8044	114	1
4_MACS_peak_20307_lociStitched	chr3	13035477	13061715	4	17879	68056.1244	5153.1432	115	1
2_MACS_peak_5074_lociStitched	chr11	19449398	19467657	2	17809	86093.0109	3604.3266	116	1
4_MACS_peak_2364_lociStitched	chr1	183856300	183885886	4	17757	71743.0914	6704.1876	117	1
3_MACS_peak_23015_lociStitched	chr4	74453812	74475873	3	17733	57680.6906	3598.1491	118	1
4_MACS_peak_25089_lociStitched	chr5	118657685	118682227	4	17576	47604.1174	4231.0408	119	1
2_MACS_peak_9950_lociStitched	chr15	40386937	40409270	2	17528	79559.0792	4301.3358	120	1
1_MACS_peak_7163_lociStitched	chr12	53586987	53604457	1	17471	97809.289	3862.617	121	1
4_MACS_peak_19723_lociStitched	chr22	29206904	29226139	4	17428	58824.477	3441.1415	122	1
7_MACS_peak_26398_lociStitched	chr6	31773697	31805296	7	17399	35359.281	5226.4746	123	1
5_MACS_peak_1309_lociStitched	chr1	93408928	93429034	5	17346	24842.9736	1883.9322	124	1
2_MACS_peak_24461_lociStitched	chr5	55436804	55454046	2	17202	52500.1658	3132.8714	125	1
2_MACS_peak_28511_lociStitched	chr7	55569065	55586212	2	17118	48978.6908	2656.0703	126	1
6_MACS_peak_21827_lociStitched	chr3	156795270	156824457	6	17116	52028.7462	7171.2459	127	1
4_MACS_peak_1732_lociStitched	chr1	149802955	149834106	4	17061	77983.4134	8080.5694	128	1
2_MACS_peak_21160_lociStitched	chr3	98479481	98496559	2	17043	53338.0096	3273.8526	129	1
4_MACS_peak_6094_lociStitched	chr11	111232608	111251864	4	16993	60544.7152	3337.0648	130	1
5_MACS_peak_9944_lociStitched	chr15	40330032	40358721	5	16989	43965.8925	4587.3711	131	1
3_MACS_peak_20994_lociStitched	chr3	69128270	69146084	3	16922	37373.772	3571.707	132	1
1_MACS_peak_5538_lociStitched	chr11	65183167	65199976	1	16810	126353.253	4178.7174	133	1
2_MACS_peak_13057_lociStitched	chr17	56404600	56423304	2	16732	101072.6752	4502.0528	134	1
2_MACS_peak_19882_lociStitched	chr22	37610397	37629164	2	16700	57809.8668	3569.4834	135	1
4_MACS_peak_25491_lociStitched	chr5	150512800	150538180	4	16609	33590.43	4565.862	136	1
4_MACS_peak_2452_lociStitched	chr1	192560982	192579524	4	16593	18834.9636	4618.8122	137	1
3_MACS_peak_11598_lociStitched	chr16	56963114	56985912	3	16576	44460.6596	4411.413	138	1
5_MACS_peak_11268_lociStitched	chr16	22194923	22219023	5	16565	29428.51	4089.77	139	1
3_MACS_peak_25554_lociStitched	chr5	156339062	156362391	3	16543	49723.4306	3284.7232	140	1
2_MACS_peak_17663_lociStitched	chr2	201979788	201998180	2	16518	101722.4736	3742.772	141	1
5_MACS_peak_15995_lociStitched	chr2	46785448	46804562	5	16476	25987.3944	3377.4438	142	1
2_MACS_peak_4552_lociStitched	chr10	112168436	112186483	2	16468	39226.9592	2853.2307	143	1
4_MACS_peak_29960_lociStitched	chr8	27231482	27253363	4	16217	36539.0819	3877.3132	144	1
2_MACS_peak_23080_lociStitched	chr4	77608325	77624972	2	16167	32380.0797	3269.4708	145	1
1_MACS_peak_24819_lociStitched	chr5	88170881	88187043	1	16163	57213.48	2876.836	146	1
4_MACS_peak_19968_lociStitched	chr22	39822713	39846260	4	16153	85612.1826	3932.349	147	1
3_MACS_peak_15728_lociStitched	chr2	27374570	27393373	3	16078	39446.8137	3119.4177	148	1
2_MACS_peak_15004_lociStitched	chr19	39887899	39904073	2	16075	58210.226	3103.7906	149	1
6_MACS_peak_9420_lociStitched	chr14	77487926	77510121	6	15994	31474.7295	1930.965	150	1
4_MACS_peak_6639_lociStitched	chr12	11901548	11920242	4	15929	35004.515	3262.103	151	1
1_MACS_peak_27217_lociStitched	chr6	109212860	109228779	1	15920	51267.1395	2841.5415	152	1
5_MACS_peak_23861_lociStitched	chr4	173896650	173920789	5	15866	25659.757	3560.5025	153	1
3_MACS_peak_22066_lociStitched	chr3	177055457	177080214	3	15860	67088.9943	5775.8081	154	1
5_MACS_peak_13776_lociStitched	chr18	23745806	23772035	5	15831	47707.9281	3755.9928	155	1
1_MACS_peak_6664_lociStitched	chr12	12865974	12881796	1	15823	106118.154	3257.7498	156	1
2_MACS_peak_10618_lociStitched	chr15	81575921	81596705	2	15823	53764.0512	4208.76	157	1
4_MACS_peak_2639_lociStitched	chr1	204474593	204494764	4	15800	49370.5396	5266.6481	158	1
3_MACS_peak_13379_lociStitched	chr17	75130794	75146973	3	15753	69506.6019	3643.5108	159	1
3_MACS_peak_18925_lociStitched	chr20	52545601	52567188	3	15737	37697.3781	3816.5816	160	1
4_MACS_peak_4160_lociStitched	chr10	81001241	81020718	4	15650	34378.8527	3170.8556	161	1
4_MACS_peak_14362_lociStitched	chr19	2606399	2628927	4	15643	86931.0464	5377.4336	162	1
4_MACS_peak_3749_lociStitched	chr10	45913574	45934602	4	15637	69234.69	3517.9844	163	1
4_MACS_peak_17670_lociStitched	chr2	202081016	202102132	4	15580	25934.6712	3760.7596	164	1
3_MACS_peak_2248_lociStitched	chr1	174922506	174942364	3	15451	34870.648	4799.6786	165	1
2_MACS_peak_19116_lociStitched	chr21	19151637	19169203	2	15423	47152.4138	2810.56	166	1
2_MACS_peak_8056_lociStitched	chr12	123371154	123387399	2	15384	27033.3045	1876.2975	167	1
3_MACS_peak_18532_lociStitched	chr20	32398515	32418745	3	15369	36088.297	3882.137	168	1
3_MACS_peak_1124_lociStitched	chr1	75595748	75611541	3	15357	33414.8294	2060.9865	169	1
4_MACS_peak_16595_lociStitched	chr2	97190564	97212909	4	15352	53029.154	3550.6205	170	1
3_MACS_peak_13262_lociStitched	chr17	70581961	70602524	3	15339	39914.8393	3411.4017	171	1
2_MACS_peak_14337_lociStitched	chr19	2081551	2098398	2	15268	101900.7642	5222.57	172	1
3_MACS_peak_6390_lociStitched	chr11	130696673	130720180	3	15256	46405.1687	3876.3043	173	1
3_MACS_peak_18787_lociStitched	chr20	45172111	45191875	3	15184	33446.6172	3126.6648	174	1
1_MACS_peak_19919_lociStitched	chr22	38781965	38797129	1	15165	29258.938	2509.642	175	1
1_MACS_peak_28743_lociStitched	chr7	78113491	78128618	1	15128	79988.5506	3054.1413	176	1
4_MACS_peak_25818_lociStitched	chr5	180228412	180249549	4	15036	43404.8295	3673.6106	177	1
2_MACS_peak_6705_lociStitched	chr12	15101035	15116201	2	15028	27835.6764	3069.5984	178	1
4_MACS_peak_5864_lociStitched	chr11	82764532	82790507	4	14970	46271.865	4537.8325	179	1
4_MACS_peak_9574_lociStitched	chr14	95961245	95986170	4	14939	21884.15	2178.445	180	1
5_MACS_peak_20973_lociStitched	chr3	66530294	66552537	5	14935	22465.43	3463.2351	181	1
3_MACS_peak_30471_lociStitched	chr8	81046271	81061711	3	14878	27163.592	2668.032	182	1
2_MACS_peak_27629_lociStitched	chr6	143162743	143180127	2	14836	34768	1727.9696	183	1
3_MACS_peak_19420_lociStitched	chr21	44724588	44747648	3	14819	54737.522	4023.97	184	1
4_MACS_peak_15630_lociStitched	chr2	20610680	20631342	4	14818	31563.2712	3132.3592	185	1
3_MACS_peak_11143_lociStitched	chr16	12052031	12072074	3	14791	105919.2378	3611.7486	186	1
1_MACS_peak_15556_lociStitched	chr2	11883392	11898181	1	14790	47481.5634	2733.0072	187	1
2_MACS_peak_29690_lociStitched	chr8	2027403	2042367	2	14729	76748.8596	3272.6268	188	1
1_MACS_peak_12497_lociStitched	chr17	29634756	29649447	1	14692	49132.5804	2855.9304	189	1
2_MACS_peak_6099_lociStitched	chr11	111279276	111294673	2	14683	33785.6371	2645.2046	190	1
2_MACS_peak_22759_lociStitched	chr4	38306895	38322765	2	14628	62645.238	3156.543	191	1
1_MACS_peak_13151_lociStitched	chr17	62196759	62211357	1	14599	28718.6454	2723.9868	192	1
3_MACS_peak_16779_lociStitched	chr2	112186276	112201540	3	14512	11156.4576	2106.432	193	1
3_MACS_peak_31824_lociStitched	chr9	94180941	94196120	3	14474	37234.087	2692.7546	194	1
2_MACS_peak_22254_lociStitched	chr3	186702993	186720403	2	14466	68861.773	4869.577	195	1
4_MACS_peak_11735_lociStitched	chr16	68278124	68299971	4	14438	32027.702	3781.7157	196	1
2_MACS_peak_6799_lociStitched	chr12	26265811	26280508	2	14418	35618.1795	2667.5055	197	1
4_MACS_peak_16544_lociStitched	chr2	89046949	89066769	4	14402	58100.348	3111.74	198	1
4_MACS_peak_20685_lociStitched	chr3	46245535	46263851	4	14388	61080.1968	3641.2208	199	1
4_MACS_peak_11551_lociStitched	chr16	50713987	50733037	4	14338	32569.785	2811.78	200	1
3_MACS_peak_15914_lociStitched	chr2	42343250	42361215	3	14242	40502.0925	3127.7065	201	1
1_MACS_peak_1047_lociStitched	chr1	66736670	66750908	1	14239	38080.9548	2982.861	202	1
1_MACS_peak_19722_lociStitched	chr22	29185744	29199907	1	14164	50322.5553	2843.9304	203	1
5_MACS_peak_24259_lociStitched	chr5	32275876	32295871	5	14164	16403.898	3461.1345	204	1
4_MACS_peak_26216_lociStitched	chr6	26183568	26207333	4	14160	41120.5795	4116.098	205	1
3_MACS_peak_2038_lociStitched	chr1	160694354	160715917	3	14153	51628.2909	5317.4358	206	1
4_MACS_peak_13374_lociStitched	chr17	75078855	75093684	4	14152	32567.4498	2770.0572	207	1
2_MACS_peak_9822_lociStitched	chr15	31546177	31562824	2	14133	98625.1515	3023.0952	208	1
3_MACS_peak_21528_lociStitched	chr3	129026516	129048605	3	14122	27690.7704	3783.8457	209	1
7_MACS_peak_16307_lociStitched	chr2	70331555	70361035	7	14083	39854.012	4566.452	210	1
3_MACS_peak_30016_lociStitched	chr8	29463160	29478160	3	14074	33039	2241	211	1
8_MACS_peak_5489_lociStitched	chr11	63992709	64020110	8	14074	19509.512	4143.0312	212	1
3_MACS_peak_31807_lociStitched	chr9	93670873	93690432	3	14067	51238.7123	3137.2636	213	1
2_MACS_peak_7852_lociStitched	chr12	109020210	109036346	2	14065	98542.552	3522.4888	214	1
3_MACS_peak_3901_lociStitched	chr10	63797841	63815025	3	14062	45376.0704	3426.4896	215	1
3_MACS_peak_20358_lociStitched	chr3	15834943	15852663	3	14041	27997.6	3198.46	216	1
3_MACS_peak_27214_lociStitched	chr6	109185904	109207392	3	14008	34041.2896	3429.4848	217	1
5_MACS_peak_32391_lociStitched	chr9	134127113	134152507	5	13977	35244.3326	3844.6516	218	1
5_MACS_peak_20701_lociStitched	chr3	46421090	46439163	5	13952	19291.1202	2622.3923	219	1
4_MACS_peak_6675_lociStitched	chr12	13241733	13256081	4	13950	29099.1788	2622.8144	220	1
4_MACS_peak_13435_lociStitched	chr17	76763217	76779734	4	13915	27310.8595	2608.0343	221	1
6_MACS_peak_29974_lociStitched	chr8	27930169	27951460	6	13912	27071.5065	3581.1462	222	1
4_MACS_peak_7019_lociStitched	chr12	46776205	46798971	4	13900	29472.8636	3278.304	223	1
3_MACS_peak_2061_lociStitched	chr1	161144393	161163801	3	13898	64116.2688	5434.24	224	1
5_MACS_peak_7711_lociStitched	chr12	96878400	96902132	5	13895	28829.6336	3652.3548	225	1
3_MACS_peak_12903_lociStitched	chr17	46580918	46596308	3	13883	26823.231	2677.86	226	1
6_MACS_peak_5801_lociStitched	chr11	77146705	77171586	6	13873	18695.5834	3821.7216	227	1
5_MACS_peak_4179_lociStitched	chr10	81946407	81966358	5	13871	25447.5005	3670.984	228	1
3_MACS_peak_25220_lociStitched	chr5	131822968	131842637	3	13861	35803.4807	3776.448	229	1
2_MACS_peak_24268_lociStitched	chr5	32530033	32544300	2	13833	42860.9214	2980.3763	230	1
5_MACS_peak_32178_lociStitched	chr9	123688790	123707820	5	13819	29644.934	2900.172	231	1
3_MACS_peak_28389_lociStitched	chr7	44661750	44680408	3	13748	30229.6916	3457.3274	232	1
1_MACS_peak_2810_lociStitched	chr1	211742735	211756469	1	13735	22486.6782	3425.2596	233	1
2_MACS_peak_24832_lociStitched	chr5	88634416	88652656	2	13734	69155.136	2832.672	234	1
3_MACS_peak_18458_lociStitched	chr20	25261528	25282752	3	13704	37687.4568	3240.9048	235	1
3_MACS_peak_29420_lociStitched	chr7	136031535	136047403	3	13667	35039.7176	3632.1852	236	1
3_MACS_peak_26665_lociStitched	chr6	45382768	45402703	3	13657	43111.431	2890.575	237	1
3_MACS_peak_29152_lociStitched	chr7	114556693	114574678	3	13579	56854.182	4474.668	238	1
3_MACS_peak_32312_lociStitched	chr9	130828906	130845764	3	13573	26190.5888	2724.2528	239	1
4_MACS_peak_26259_lociStitched	chr6	27094260	27116234	4	13557	35272.6648	3509.2478	240	1
6_MACS_peak_11381_lociStitched	chr16	29815515	29837607	6	13548	29042.1432	3218.8044	241	1
4_MACS_peak_25770_lociStitched	chr5	176717300	176740800	4	13532	29896.7	4110.15	242	1
3_MACS_peak_32051_lociStitched	chr9	112665337	112683343	3	13507	57655.212	3131.2434	243	1
2_MACS_peak_25736_lociStitched	chr5	173695949	173710293	2	13439	59815.9144	2379.6696	244	1
1_MACS_peak_12660_lociStitched	chr17	37924919	37938336	1	13418	32883.7253	2844.404	245	1
3_MACS_peak_7416_lociStitched	chr12	68751476	68770910	3	13415	57081.5448	3639.9882	246	1
2_MACS_peak_2318_lociStitched	chr1	181095248	181111882	2	13393	40961.225	3847.4442	247	1
3_MACS_peak_22754_lociStitched	chr4	38122050	38136710	3	13379	35911.136	2364.658	248	1
5_MACS_peak_33386_lociStitched	chrX	128902084	128921416	5	13310	23612.1048	2120.7204	249	1
3_MACS_peak_32147_lociStitched	chr9	117655087	117673858	3	13263	22615.3008	3091.5837	250	1
1_MACS_peak_18539_lociStitched	chr20	32460551	32473781	1	13231	71076.852	2463.426	251	1
4_MACS_peak_21283_lociStitched	chr3	111838069	111856509	4	13197	18508.228	3147.708	252	1
2_MACS_peak_19656_lociStitched	chr22	24178835	24192282	2	13162	84967.5589	2774.1161	253	1
2_MACS_peak_28471_lociStitched	chr7	50343623	50357785	2	13157	30890.1544	2598.727	254	1
2_MACS_peak_19617_lociStitched	chr22	23087688	23101908	2	13152	31830.048	2296.53	255	1
2_MACS_peak_25217_lociStitched	chr5	131790170	131804390	2	13132	46856.322	2767.212	256	1
3_MACS_peak_668_lociStitched	chr1	40030210	40047851	3	13105	16593.1246	3200.0774	257	1
1_MACS_peak_7628_lociStitched	chr12	92853878	92866922	1	13045	47341.8936	2312.7012	258	1
2_MACS_peak_18552_lociStitched	chr20	32989181	33005973	2	13036	31647.8824	3195.5176	259	1
