REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
3_MACS_peak_205_lociStitched	chr1	17221287	17241638	3	9112	116784.2135	5539.5422	26		CROCC	CROCC	26	1
4_MACS_peak_5842_lociStitched	chr12	109009598	109036292	4	19890	115035.1236	5506.9722	27	SELPLG	TMEM119	SELPLG	27	1
4_MACS_peak_22138_lociStitched	chr7	102063624	102093328	4	19973	113490.0728	4817.9888	28	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	28	1
4_MACS_peak_15111_lociStitched	chr21	45552504	45580510	4	17816	115325.9074	7113.524	29	C21orf33	PWP2	C21orf33	29	1
2_MACS_peak_1519_lociStitched	chr1	156115330	156137180	2	21816	112289.335	6139.85	30	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	30	1
1_MACS_peak_20799_lociStitched	chr6	106530950	106556011	1	25062	107546.7754	4814.2181	31	PRDM1		PRDM1	31	1
1_MACS_peak_3385_lociStitched	chr10	112112747	112119216	1	6470	99314.6756	1932.2903	32		SMNDC1	SMNDC1	32	1
2_MACS_peak_22549_lociStitched	chr7	150063691	150084635	2	19747	102353.328	5321.8704	33	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	33	1
4_MACS_peak_17944_lociStitched	chr4	90205115	90240682	4	27545	100974.713	5662.2664	34	GPRIN3		GPRIN3	34	1
2_MACS_peak_11113_lociStitched	chr19	2081609	2098368	2	15170	99647.3381	5193.6141	35	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	35	1
6_MACS_peak_9731_lociStitched	chr17	34509755	34540081	6	25940	99147.8244	7460.196	36	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	36	1
3_MACS_peak_7293_lociStitched	chr14	106145151	106169317	3	19866	91707.5534	2890.2536	37			TMEM121	37	1
2_MACS_peak_5008_lociStitched	chr12	12866588	12881948	2	15239	90663.936	2466.816	38	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	38	1
8_MACS_peak_9737_lociStitched	chr17	34597816	34641502	8	34694	97472.2032	9361.9098	39	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	39	1
1_MACS_peak_9946_lociStitched	chr17	43298152	43308710	1	10559	90172.7106	2372.3826	40	FMNL1	LOC100133991,C17orf46	FMNL1	40	1
1_MACS_peak_6604_lociStitched	chr13	114556217	114568151	1	11935	88535.9592	3302.1378	41	GAS6	FLJ44054,GAS6	GAS6	41	1
3_MACS_peak_11733_lociStitched	chr19	39880550	39904130	3	18065	88498.098	4772.592	42	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	42	1
1_MACS_peak_20077_lociStitched	chr6	25402935	25415161	1	12227	86041.6976	2525.8916	43	LRRC16A		LRRC16A	43	1
2_MACS_peak_4276_lociStitched	chr11	70042319	70050921	2	2467	84196.376	1268.795	44	FADD		FADD	44	1
7_MACS_peak_14416_lociStitched	chr20	32398703	32452343	7	36799	92759.652	10062.864	45	CHMP4B		CHMP4B	45	1
3_MACS_peak_8475_lociStitched	chr16	12052292	12071975	3	13118	86024.5515	3997.6173	46	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	46	1
4_MACS_peak_10632_lociStitched	chr18	9055122	9085175	4	16718	86086.8185	4853.5595	47		NDUFV2	NDUFV2	47	1
2_MACS_peak_13145_lociStitched	chr2	112455670	112465597	2	9743	83544.6393	2323.9107	48			ANAPC1	48	1
2_MACS_peak_4866_lociStitched	chr12	4216212	4229820	2	6963	84097.44	2963.8224	49			CCND2	49	1
2_MACS_peak_4312_lociStitched	chr11	72850795	72869694	2	12393	84247.9622	3738.2222	50	FCHSD2		FCHSD2	50	1
3_MACS_peak_2347_lociStitched	chr1	234734083	234749852	3	13000	83594.6228	3958.019	51	IRF2BP2	NCRNA00184	IRF2BP2	51	1
1_MACS_peak_12211_lociStitched	chr2	11883630	11898209	1	14580	82447.1608	3141.7745	52	LPIN1		LPIN1	52	1
2_MACS_peak_203_lociStitched	chr1	17065686	17075620	2	4545	82277.3616	3274.2464	53		ESPNP,MST1P9	MST1P9	53	1
1_MACS_peak_202_lociStitched	chr1	16991287	16994678	1	3392	79263.9468	1891.1607	54		MST1P2,CROCCP2	MST1P2	54	1
1_MACS_peak_10951_lociStitched	chr18	60821961	60831205	1	9245	78488.0308	1824.7656	55	BCL2		BCL2	55	1
3_MACS_peak_10135_lociStitched	chr17	56405190	56430920	3	18819	81942.331	5318.391	56	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	56	1
2_MACS_peak_12748_lociStitched	chr2	70310274	70323273	2	8346	78303.3762	2523.1059	57	PCBP1,LOC400960	LOC100133985	PCBP1	57	1
5_MACS_peak_2017_lociStitched	chr1	206272162	206307576	5	19705	83516.8362	7890.2392	58	C1orf186	AVPR1B,CTSE	C1orf186	58	1
1_MACS_peak_15337_lociStitched	chr22	29185679	29199591	1	13913	77257.5096	2814.3976	59	XBP1	HSCB,CCDC117,CHEK2	XBP1	59	1
2_MACS_peak_16143_lociStitched	chr3	46578547	46589503	2	7025	76400.5704	2019.1908	60	LRRC2	RTP3,TDGF1	LRRC2	60	1
2_MACS_peak_4143_lociStitched	chr11	65254515	65278873	2	17611	79078.247	4803.3976	61	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	61	1
6_MACS_peak_12974_lociStitched	chr2	97190703	97220638	6	18515	79621.113	5373.3325	62	ARID5A	NEURL3	ARID5A	62	1
1_MACS_peak_14569_lociStitched	chr20	42695974	42700429	1	4456	75122.883	1152.063	63	TOX2		JPH2	63	1
1_MACS_peak_420_lociStitched	chr1	31213786	31233392	1	19607	77996.5892	4313.32	64	LAPTM5	LOC100129196,MATN1	LAPTM5	64	1
5_MACS_peak_10835_lociStitched	chr18	46440500	46480084	5	35587	80422.8128	6832.1984	65	SMAD7		SMAD7	65	1
2_MACS_peak_18564_lociStitched	chr5	6475635	6487512	2	10042	74973.5625	2343.3321	66	UBE2QL1		UBE2QL1	66	1
2_MACS_peak_14523_lociStitched	chr20	37491151	37505689	2	8720	74703.513	2791.296	67	PPP1R16B	FAM83D	FAM83D	67	1
1_MACS_peak_21771_lociStitched	chr7	55597709	55605991	1	8283	73155.7342	1692.8408	68	VOPP1		VOPP1	68	1
10_MACS_peak_20496_lociStitched	chr6	52392862	52442929	10	34292	79521.4161	8741.6982	69	TRAM2		TRAM2	69	1
4_MACS_peak_11486_lociStitched	chr19	16693888	16717013	4	14546	75040.625	4673.5625	70	MED26	CHERP,SLC35E1	SLC35E1	70	1
7_MACS_peak_4918_lociStitched	chr12	7045500	7085705	7	25806	77812.757	7679.155	71	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	71	1
10_MACS_peak_20826_lociStitched	chr6	108878247	108952046	10	59003	80573.7482	10612.2962	72	FOXO3		FOXO3	72	1
1_MACS_peak_2252_lociStitched	chr1	226839514	226852526	1	13013	72429.9968	3994.684	73	ITPKB		ITPKB	73	1
1_MACS_peak_13735_lociStitched	chr2	201980006	201994862	1	14857	71351.8824	3112.332	74	CFLAR	NDUFB3,FAM126B	CFLAR	74	1
2_MACS_peak_15043_lociStitched	chr21	41324613	41344376	2	19604	73229.8202	5442.7302	75			PCP4	75	1
2_MACS_peak_12251_lociStitched	chr2	20404090	20426296	2	21182	72247.221	4541.127	76	SDC1		SDC1	76	1
2_MACS_peak_1378_lociStitched	chr1	150532137	150553044	2	16424	73040.6952	5766.1506	77	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	77	1
4_MACS_peak_15841_lociStitched	chr3	13035675	13061367	4	16660	72261.3192	5138.4	78	IQSEC1	IQSEC1	IQSEC1	78	1
2_MACS_peak_8600_lociStitched	chr16	23344127	23354053	2	7440	68329.5914	2218.461	79	SCNN1B		SCNN1B	79	1
2_MACS_peak_10406_lociStitched	chr17	75131339	75145408	2	11664	68926.8448	2840.5311	80	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	80	1
2_MACS_peak_4608_lociStitched	chr11	115091070	115102375	2	8354	66191.9055	2052.988	81	CADM1		CADM1	81	1
6_MACS_peak_17171_lociStitched	chr3	183228354	183261440	6	22898	72560.9066	8876.9738	82	KLHL6		KLHL6	82	1
5_MACS_peak_9691_lociStitched	chr17	32690552	32719609	5	21787	68339.1583	5538.2642	83		CCL8,CCL13,CCL1	CCL1	83	1
4_MACS_peak_19303_lociStitched	chr5	131744862	131773925	4	20925	67818.5105	5298.1849	84	C5orf56	SLC22A5,MIR3936	C5orf56	84	1
8_MACS_peak_1503_lociStitched	chr1	155902658	155952041	8	31132	73146.0996	10691.4195	85	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4,SSR2	RXFP4	85	1
2_MACS_peak_4743_lociStitched	chr11	126056560	126069116	2	7388	64600.62	2437.1196	86		FAM118B,RPUSD4	RPUSD4	86	1
4_MACS_peak_1354_lociStitched	chr1	149802885	149834070	4	16423	69508.2465	7768.1835	87	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	87	1
1_MACS_peak_17635_lociStitched	chr4	40191197	40209691	1	18495	66043.9234	4314.6502	88	RHOH		RHOH	88	1
4_MACS_peak_3483_lociStitched	chr10	125822284	125854645	4	27270	67521.2265	5812.0356	89	CHST15		CHST15	89	1
2_MACS_peak_3801_lociStitched	chr11	22677205	22703790	2	21077	64795.6205	3708.6075	90	GAS2	FANCF	GAS2	90	1
1_MACS_peak_20263_lociStitched	chr6	32934808	32942916	1	8109	62512.68	1841.3268	91	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	91	1
1_MACS_peak_22173_lociStitched	chr7	104651338	104658078	1	6741	61970.93	1363.502	92	MLL5,LOC100216545		MLL5	92	1
4_MACS_peak_8863_lociStitched	chr16	56963511	56986023	4	20782	65377.0992	4880.6016	93	HERPUD1	CETP,NLRC5	HERPUD1	93	1
1_MACS_peak_21327_lociStitched	chr7	2393020	2395977	1	2958	59312.6888	701.9918	94	EIF3B	CHST12,SNX8	EIF3B	94	1
6_MACS_peak_7406_lociStitched	chr15	31616905	31660471	6	28473	65823.8694	7410.5766	95	KLF13		KLF13	95	1
3_MACS_peak_12542_lociStitched	chr2	47526802	47550728	3	11707	62784.2166	4641.644	96		EPCAM	EPCAM	96	1
1_MACS_peak_15063_lociStitched	chr21	43480537	43486404	1	5868	60005.3292	2246.4743	97	UMODL1	C21orf121,UMODL1,C21orf128	UMODL1	97	1
2_MACS_peak_8861_lociStitched	chr16	56943579	56952653	2	6904	58736.002	1685.9492	98	SLC12A3	HERPUD1,CETP	HERPUD1	98	1
2_MACS_peak_7404_lociStitched	chr15	31546827	31561017	2	9785	59403.597	2708.871	99			KLF13	99	1
2_MACS_peak_1452_lociStitched	chr1	154374322	154394887	2	16808	62217.351	5569.002	100	IL6R		IL6R	100	1
1_MACS_peak_19958_lociStitched	chr6	11827872	11836607	1	8736	58037.087	1954.893	101		C6orf105	C6orf105	101	1
6_MACS_peak_2545_lociStitched	chr10	11278958	11313069	6	24091	61430.4999	5778.4034	102	CELF2		CELF2	102	1
1_MACS_peak_3986_lociStitched	chr11	58339987	58348205	1	8219	56934.304	1520.33	103	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	103	1
2_MACS_peak_5840_lociStitched	chr12	108952818	108970621	2	14352	59097.0585	3866.8116	104	ISCU,SART3	FICD,TMEM119	ISCU	104	1
4_MACS_peak_11464_lociStitched	chr19	16243499	16273211	4	21384	60086.5776	4955.9616	105	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	105	1
3_MACS_peak_1530_lociStitched	chr1	156450597	156476022	3	20950	61744.6125	6859.665	106	MEF2D		MEF2D	106	1
3_MACS_peak_22166_lociStitched	chr7	104576402	104586846	3	8153	56889.5124	2179.6628	107		LOC723809	LOC723809	107	1
2_MACS_peak_8916_lociStitched	chr16	66549252	66560143	2	10017	56916.366	2348.0996	108	TK2	CKLF,CMTM1	TK2	108	1
5_MACS_peak_7843_lociStitched	chr15	68568808	68599511	5	26246	58691.8548	5587.946	109	FEM1B,ITGA11	CLN6	FEM1B	109	1
3_MACS_peak_3326_lociStitched	chr10	104531462	104543128	3	10732	55527.8268	2473.192	110	C10orf26		C10orf26	110	1
1_MACS_peak_10636_lociStitched	chr18	9101652	9122947	1	21296	56955.607	4022.6255	111	NDUFV2	ANKRD12	NDUFV2	111	1
1_MACS_peak_18432_lociStitched	chr4	185302170	185308494	1	6325	54369.3252	1511.436	112			IRF2	112	1
8_MACS_peak_8971_lociStitched	chr16	68269852	68320895	8	33346	60848.3603	8171.9843	113	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	113	1
1_MACS_peak_14003_lociStitched	chr2	232686851	232714980	1	28130	55132.84	3277.0285	114		COPS7B,PDE6D,MIR1471	COPS7B	114	1
2_MACS_peak_1340_lociStitched	chr1	149214230	149225668	2	5639	55561.2288	3922.0902	115			LOC388692	115	1
3_MACS_peak_4287_lociStitched	chr11	71413794	71426668	3	10959	54303.8194	2764.0478	116			FAM86C	116	1
2_MACS_peak_18424_lociStitched	chr4	185201333	185210995	2	8756	52930.3684	1872.4956	117			ENPP6	117	1
4_MACS_peak_12685_lociStitched	chr2	65157556	65178600	4	12419	55444.6268	4412.9268	118	LOC400958	SLC1A4	LOC400958	118	1
6_MACS_peak_10210_lociStitched	chr17	62150187	62186640	6	28318	56844.8082	5909.0313	119	ERN1	SNORD104,SNORA76	ERN1	119	1
1_MACS_peak_9801_lociStitched	chr17	37909501	37916805	1	7305	51382.9096	1662.3904	120		GRB7,C17orf37	GRB7	120	1
2_MACS_peak_9825_lociStitched	chr17	38465634	38483892	2	17460	52575.7368	3666.2064	121	RARA	CDC6,RARA,GJD3	RARA	121	1
2_MACS_peak_14423_lociStitched	chr20	32461921	32473630	2	8064	51435.2952	2547.8784	122			CHMP4B	122	1
3_MACS_peak_16796_lociStitched	chr3	133181748	133200298	3	13893	52336.97	3628.38	123	BFSP2		BFSP2	123	1
7_MACS_peak_15473_lociStitched	chr22	37611146	37642097	7	22662	54303.5295	5883.7851	124	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	124	1
3_MACS_peak_1989_lociStitched	chr1	204474545	204491932	3	12360	52713.9066	4364.137	125	MDM4	PIK3C2B	MDM4	125	1
4_MACS_peak_15786_lociStitched	chr3	5222462	5256700	4	24607	54222.7206	5923.174	126	ARL8B,EDEM1		EDEM1	126	1
2_MACS_peak_18671_lociStitched	chr5	32570958	32592304	2	15205	51352.0722	3771.8382	127	SUB1		SUB1	127	1
4_MACS_peak_9726_lociStitched	chr17	34408945	34432625	4	16949	52155.2	4676.8	128	CCL4,CCL3	CCL18	CCL3	128	1
4_MACS_peak_7350_lociStitched	chr15	23660118	23682841	4	13119	51024.4965	3592.5063	129			MKRN3	129	1
3_MACS_peak_10234_lociStitched	chr17	62970447	62986157	3	8256	49915.383	3022.604	130	AMZ2P1		AMZ2P1	130	1
1_MACS_peak_21530_lociStitched	chr7	26002454	26009714	1	7261	48760.338	1944.954	131		MIR148A	MIR148A	131	1
2_MACS_peak_17244_lociStitched	chr3	186780208	186792454	2	8646	50261.2578	3648.0834	132	ST6GAL1		ST6GAL1	132	1
1_MACS_peak_17283_lociStitched	chr3	193817688	193823006	1	5319	48546.9584	1997.4408	133		HES1	HES1	133	1
4_MACS_peak_7513_lociStitched	chr15	40834140	40862699	4	17009	51511.8683	5069.2225	134	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	134	1
3_MACS_peak_12469_lociStitched	chr2	42323613	42334568	3	9671	48622.672	2277.5445	135		PKDCC	PKDCC	135	1
2_MACS_peak_3391_lociStitched	chr10	112216440	112226137	2	7848	48351.1814	2067.4004	136		DUSP5	DUSP5	136	1
3_MACS_peak_2280_lociStitched	chr1	228666145	228678974	3	5877	48399.9683	2219.417	137	RNF187	HIST3H2BB,HIST3H2A	RNF187	137	1
2_MACS_peak_22254_lociStitched	chr7	114561626	114573736	2	9185	48369.762	2466.807	138	MDFIC		MDFIC	138	1
2_MACS_peak_14549_lociStitched	chr20	40710443	40724594	2	7761	47778.0213	2190.5748	139	PTPRT		CHD6	139	1
2_MACS_peak_7793_lociStitched	chr15	65173631	65189389	2	9303	48203.722	2633.1618	140		PLEKHO2,ANKDD1A	ANKDD1A	140	1
1_MACS_peak_2720_lociStitched	chr10	30989408	30996752	1	7345	46929.6288	1594.3824	141			LYZL2	141	1
6_MACS_peak_21772_lociStitched	chr7	55616398	55642892	6	23139	49745.1344	4615.2548	142	VOPP1		VOPP1	142	1
3_MACS_peak_14803_lociStitched	chr20	61273054	61291151	3	13682	47958.8597	2908.1879	143	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	143	1
5_MACS_peak_23410_lociStitched	chr8	120916818	120947677	5	20643	50216.8507	5264.5454	144	DEPDC6	DSCC1	DEPDC6	144	1
1_MACS_peak_14798_lociStitched	chr20	60911021	60916956	1	5936	45964.7945	1071.861	145	LAMA5	ADRM1,RPS21	LAMA5	145	1
5_MACS_peak_10361_lociStitched	chr17	73850533	73875683	5	13046	48579.74	3792.62	146	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	TRIM47	146	1
2_MACS_peak_9373_lociStitched	chr17	6915011	6926073	2	6798	46576.551	1866.1594	147	RNASEK,C17orf49,MIR195,MIR497	ALOX12,BCL6B,SLC16A13,SLC16A11	MIR195	147	1
1_MACS_peak_7298_lociStitched	chr14	106323777	106329598	1	5822	45301.3504	596.0704	148			KIAA0125	148	1
1_MACS_peak_22877_lociStitched	chr8	29629588	29634182	1	4595	45834.7974	1266.5658	149		C8orf75	C8orf75	149	1
1_MACS_peak_17083_lociStitched	chr3	174866136	174870230	1	4095	45704.1878	1151.6422	150	NAALADL2		NAALADL2	150	1
2_MACS_peak_10271_lociStitched	chr17	66230387	66245168	2	8279	47145.4776	2628.0618	151	AMZ2	LOC440461,ARSG,SLC16A6	AMZ2	151	1
1_MACS_peak_284_lociStitched	chr1	24512159	24519336	1	7178	45947.8717	1683.7242	152	IL28RA	LOC284632,IL22RA1	IL28RA	152	1
5_MACS_peak_3688_lociStitched	chr11	10314689	10345091	5	18830	49415.4108	5229.144	153	ADM,SBF2		ADM	153	1
1_MACS_peak_12485_lociStitched	chr2	43444278	43456943	1	12666	46459.0195	2331.6265	154	LOC100129726,ZFP36L2		ZFP36L2	154	1
2_MACS_peak_22551_lociStitched	chr7	150100998	150113927	2	6813	47318.8471	3246.4719	155	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	155	1
2_MACS_peak_2064_lociStitched	chr1	209275712	209283978	2	7584	45985.4112	2339.278	156			LOC642587	156	1
4_MACS_peak_15561_lociStitched	chr22	39823325	39845747	4	12377	47507.7336	4029.2334	157	TAB1	MGAT3	MGAT3	157	1
4_MACS_peak_8118_lociStitched	chr15	89646826	89674897	4	13625	47922.8112	4555.9233	158	ABHD2		ABHD2	158	1
2_MACS_peak_7708_lociStitched	chr15	56648184	56666188	2	11672	46131.6492	2794.2208	159	TEX9		TEX9	159	1
2_MACS_peak_11662_lociStitched	chr19	35695309	35706045	2	8023	45293.0368	2264.2224	160		FXYD5,LSR,FAM187B	FAM187B	160	1
1_MACS_peak_6611_lociStitched	chr13	114789310	114794555	1	5246	44020.236	1238.3445	161	RASA3		RASA3	161	1
1_MACS_peak_4872_lociStitched	chr12	4377526	4388357	1	10832	44649.7144	1931.1673	162	CCND2	C12orf5	CCND2	162	1
2_MACS_peak_5101_lociStitched	chr12	26265856	26280344	2	13871	44943.2248	2544.0928	163	BHLHE41		BHLHE41	163	1
2_MACS_peak_6623_lociStitched	chr13	115039471	115048792	2	8317	43497.3786	1487.6316	164	UPF3A	CDC16,ZNF828	UPF3A	164	1
1_MACS_peak_4789_lociStitched	chr11	129870975	129874568	1	3594	42679.4505	918.7301	165	NCRNA00167,PRDM10		PRDM10	165	1
1_MACS_peak_262_lociStitched	chr1	23850425	23858951	1	8527	43508.178	1748.6826	166	E2F2	ASAP3,ID3	E2F2	166	1
3_MACS_peak_1760_lociStitched	chr1	179048823	179061695	3	7726	45157.5504	3512.7688	167	TOR3A		TOR3A	167	1
2_MACS_peak_7908_lociStitched	chr15	74665537	74678736	2	6759	43939.471	2488.0115	168		CYP11A1,SEMA7A	CYP11A1	168	1
2_MACS_peak_20228_lociStitched	chr6	31694618	31709262	2	12146	44284.9204	2859.9732	169	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	169	1
2_MACS_peak_9363_lociStitched	chr17	6063517	6071059	2	6528	42573.0816	1658.4858	170			WSCD1	170	1
5_MACS_peak_11091_lociStitched	chr19	1647817	1672926	5	11119	45276.5488	4373.9878	171	TCF3	UQCR11	TCF3	171	1
2_MACS_peak_10489_lociStitched	chr17	78873549	78887011	2	7942	42604.5376	2209.1142	172	RPTOR		CHMP6	172	1
3_MACS_peak_7499_lociStitched	chr15	40386980	40408975	3	16399	44300.1295	4196.646	173	BMF	BUB1B	BMF	173	1
2_MACS_peak_24559_lociStitched	chr9	132645979	132657863	2	8348	42122.838	2069.0044	174	FNBP1	USP20,C9orf78	USP20	174	1
5_MACS_peak_7924_lociStitched	chr15	75065457	75093155	5	21819	44721.1908	4944.093	175	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	175	1
1_MACS_peak_20803_lociStitched	chr6	106610043	106617269	1	7227	41369.5726	1737.1304	176			PRDM1	176	1
2_MACS_peak_22626_lociStitched	chr8	1991048	2000524	2	7184	41229.1284	1780.5404	177	MYOM2		MYOM2	177	1
2_MACS_peak_15041_lociStitched	chr21	41295823	41309005	2	7755	42944.3196	3528.8214	178	PCP4		PCP4	178	1
3_MACS_peak_10592_lociStitched	chr18	3245818	3263137	3	7296	42275.679	2874.954	179	MYL12A,MYL12B	MYOM1	MYL12A	179	1
6_MACS_peak_6040_lociStitched	chr12	123355176	123387107	6	21827	42075.4787	2720.5212	180	VPS37B	HIP1R	VPS37B	180	1
3_MACS_peak_17239_lociStitched	chr3	186703270	186719955	3	12263	43386.0055	4101.173	181	ST6GAL1	ST6GAL1	ST6GAL1	181	1
6_MACS_peak_18433_lociStitched	chr4	185317570	185350078	6	19576	44516.4552	5272.7976	182	IRF2		IRF2	182	1
2_MACS_peak_16476_lociStitched	chr3	98479714	98495637	2	13626	41947.5512	2740.3483	183	ST3GAL6		ST3GAL6	183	1
2_MACS_peak_9340_lociStitched	chr17	4842031	4854569	2	10880	41500.78	2319.53	184	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	184	1
2_MACS_peak_14757_lociStitched	chr20	56047656	56058352	2	9530	41199.9224	2041.8664	185		CTCFL	CTCFL	185	1
7_MACS_peak_19714_lociStitched	chr5	173310005	173357116	7	30274	45725.9366	6925.317	186	CPEB4		CPEB4	186	1
2_MACS_peak_13747_lociStitched	chr2	202116234	202128316	2	10620	40843.201	2171.1354	187	CASP8		CASP8	187	1
