#14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23_ROSE/14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23_peaks_7KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam
#Using cutoff of 21564.0092 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	isSuper
3_MACS_peak_2347_lociStitched	chr1	234734083	234749852	3	13000	83594.6228	3958.019	51	1
1_MACS_peak_12211_lociStitched	chr2	11883630	11898209	1	14580	82447.1608	3141.7745	52	1
2_MACS_peak_203_lociStitched	chr1	17065686	17075620	2	4545	82277.3616	3274.2464	53	1
1_MACS_peak_202_lociStitched	chr1	16991287	16994678	1	3392	79263.9468	1891.1607	54	1
1_MACS_peak_10951_lociStitched	chr18	60821961	60831205	1	9245	78488.0308	1824.7656	55	1
3_MACS_peak_10135_lociStitched	chr17	56405190	56430920	3	18819	81942.331	5318.391	56	1
2_MACS_peak_12748_lociStitched	chr2	70310274	70323273	2	8346	78303.3762	2523.1059	57	1
5_MACS_peak_2017_lociStitched	chr1	206272162	206307576	5	19705	83516.8362	7890.2392	58	1
1_MACS_peak_15337_lociStitched	chr22	29185679	29199591	1	13913	77257.5096	2814.3976	59	1
2_MACS_peak_16143_lociStitched	chr3	46578547	46589503	2	7025	76400.5704	2019.1908	60	1
2_MACS_peak_4143_lociStitched	chr11	65254515	65278873	2	17611	79078.247	4803.3976	61	1
6_MACS_peak_12974_lociStitched	chr2	97190703	97220638	6	18515	79621.113	5373.3325	62	1
1_MACS_peak_14569_lociStitched	chr20	42695974	42700429	1	4456	75122.883	1152.063	63	1
1_MACS_peak_420_lociStitched	chr1	31213786	31233392	1	19607	77996.5892	4313.32	64	1
5_MACS_peak_10835_lociStitched	chr18	46440500	46480084	5	35587	80422.8128	6832.1984	65	1
2_MACS_peak_18564_lociStitched	chr5	6475635	6487512	2	10042	74973.5625	2343.3321	66	1
2_MACS_peak_14523_lociStitched	chr20	37491151	37505689	2	8720	74703.513	2791.296	67	1
1_MACS_peak_21771_lociStitched	chr7	55597709	55605991	1	8283	73155.7342	1692.8408	68	1
10_MACS_peak_20496_lociStitched	chr6	52392862	52442929	10	34292	79521.4161	8741.6982	69	1
4_MACS_peak_11486_lociStitched	chr19	16693888	16717013	4	14546	75040.625	4673.5625	70	1
7_MACS_peak_4918_lociStitched	chr12	7045500	7085705	7	25806	77812.757	7679.155	71	1
10_MACS_peak_20826_lociStitched	chr6	108878247	108952046	10	59003	80573.7482	10612.2962	72	1
1_MACS_peak_2252_lociStitched	chr1	226839514	226852526	1	13013	72429.9968	3994.684	73	1
1_MACS_peak_13735_lociStitched	chr2	201980006	201994862	1	14857	71351.8824	3112.332	74	1
2_MACS_peak_15043_lociStitched	chr21	41324613	41344376	2	19604	73229.8202	5442.7302	75	1
2_MACS_peak_12251_lociStitched	chr2	20404090	20426296	2	21182	72247.221	4541.127	76	1
2_MACS_peak_1378_lociStitched	chr1	150532137	150553044	2	16424	73040.6952	5766.1506	77	1
4_MACS_peak_15841_lociStitched	chr3	13035675	13061367	4	16660	72261.3192	5138.4	78	1
2_MACS_peak_8600_lociStitched	chr16	23344127	23354053	2	7440	68329.5914	2218.461	79	1
2_MACS_peak_10406_lociStitched	chr17	75131339	75145408	2	11664	68926.8448	2840.5311	80	1
2_MACS_peak_4608_lociStitched	chr11	115091070	115102375	2	8354	66191.9055	2052.988	81	1
6_MACS_peak_17171_lociStitched	chr3	183228354	183261440	6	22898	72560.9066	8876.9738	82	1
5_MACS_peak_9691_lociStitched	chr17	32690552	32719609	5	21787	68339.1583	5538.2642	83	1
4_MACS_peak_19303_lociStitched	chr5	131744862	131773925	4	20925	67818.5105	5298.1849	84	1
8_MACS_peak_1503_lociStitched	chr1	155902658	155952041	8	31132	73146.0996	10691.4195	85	1
2_MACS_peak_4743_lociStitched	chr11	126056560	126069116	2	7388	64600.62	2437.1196	86	1
4_MACS_peak_1354_lociStitched	chr1	149802885	149834070	4	16423	69508.2465	7768.1835	87	1
1_MACS_peak_17635_lociStitched	chr4	40191197	40209691	1	18495	66043.9234	4314.6502	88	1
4_MACS_peak_3483_lociStitched	chr10	125822284	125854645	4	27270	67521.2265	5812.0356	89	1
2_MACS_peak_3801_lociStitched	chr11	22677205	22703790	2	21077	64795.6205	3708.6075	90	1
1_MACS_peak_20263_lociStitched	chr6	32934808	32942916	1	8109	62512.68	1841.3268	91	1
1_MACS_peak_22173_lociStitched	chr7	104651338	104658078	1	6741	61970.93	1363.502	92	1
4_MACS_peak_8863_lociStitched	chr16	56963511	56986023	4	20782	65377.0992	4880.6016	93	1
1_MACS_peak_21327_lociStitched	chr7	2393020	2395977	1	2958	59312.6888	701.9918	94	1
6_MACS_peak_7406_lociStitched	chr15	31616905	31660471	6	28473	65823.8694	7410.5766	95	1
3_MACS_peak_12542_lociStitched	chr2	47526802	47550728	3	11707	62784.2166	4641.644	96	1
1_MACS_peak_15063_lociStitched	chr21	43480537	43486404	1	5868	60005.3292	2246.4743	97	1
2_MACS_peak_8861_lociStitched	chr16	56943579	56952653	2	6904	58736.002	1685.9492	98	1
2_MACS_peak_7404_lociStitched	chr15	31546827	31561017	2	9785	59403.597	2708.871	99	1
2_MACS_peak_1452_lociStitched	chr1	154374322	154394887	2	16808	62217.351	5569.002	100	1
1_MACS_peak_19958_lociStitched	chr6	11827872	11836607	1	8736	58037.087	1954.893	101	1
6_MACS_peak_2545_lociStitched	chr10	11278958	11313069	6	24091	61430.4999	5778.4034	102	1
1_MACS_peak_3986_lociStitched	chr11	58339987	58348205	1	8219	56934.304	1520.33	103	1
2_MACS_peak_5840_lociStitched	chr12	108952818	108970621	2	14352	59097.0585	3866.8116	104	1
4_MACS_peak_11464_lociStitched	chr19	16243499	16273211	4	21384	60086.5776	4955.9616	105	1
3_MACS_peak_1530_lociStitched	chr1	156450597	156476022	3	20950	61744.6125	6859.665	106	1
3_MACS_peak_22166_lociStitched	chr7	104576402	104586846	3	8153	56889.5124	2179.6628	107	1
2_MACS_peak_8916_lociStitched	chr16	66549252	66560143	2	10017	56916.366	2348.0996	108	1
5_MACS_peak_7843_lociStitched	chr15	68568808	68599511	5	26246	58691.8548	5587.946	109	1
3_MACS_peak_3326_lociStitched	chr10	104531462	104543128	3	10732	55527.8268	2473.192	110	1
1_MACS_peak_10636_lociStitched	chr18	9101652	9122947	1	21296	56955.607	4022.6255	111	1
1_MACS_peak_18432_lociStitched	chr4	185302170	185308494	1	6325	54369.3252	1511.436	112	1
8_MACS_peak_8971_lociStitched	chr16	68269852	68320895	8	33346	60848.3603	8171.9843	113	1
1_MACS_peak_14003_lociStitched	chr2	232686851	232714980	1	28130	55132.84	3277.0285	114	1
2_MACS_peak_1340_lociStitched	chr1	149214230	149225668	2	5639	55561.2288	3922.0902	115	1
3_MACS_peak_4287_lociStitched	chr11	71413794	71426668	3	10959	54303.8194	2764.0478	116	1
2_MACS_peak_18424_lociStitched	chr4	185201333	185210995	2	8756	52930.3684	1872.4956	117	1
4_MACS_peak_12685_lociStitched	chr2	65157556	65178600	4	12419	55444.6268	4412.9268	118	1
6_MACS_peak_10210_lociStitched	chr17	62150187	62186640	6	28318	56844.8082	5909.0313	119	1
1_MACS_peak_9801_lociStitched	chr17	37909501	37916805	1	7305	51382.9096	1662.3904	120	1
2_MACS_peak_9825_lociStitched	chr17	38465634	38483892	2	17460	52575.7368	3666.2064	121	1
2_MACS_peak_14423_lociStitched	chr20	32461921	32473630	2	8064	51435.2952	2547.8784	122	1
3_MACS_peak_16796_lociStitched	chr3	133181748	133200298	3	13893	52336.97	3628.38	123	1
7_MACS_peak_15473_lociStitched	chr22	37611146	37642097	7	22662	54303.5295	5883.7851	124	1
3_MACS_peak_1989_lociStitched	chr1	204474545	204491932	3	12360	52713.9066	4364.137	125	1
4_MACS_peak_15786_lociStitched	chr3	5222462	5256700	4	24607	54222.7206	5923.174	126	1
2_MACS_peak_18671_lociStitched	chr5	32570958	32592304	2	15205	51352.0722	3771.8382	127	1
4_MACS_peak_9726_lociStitched	chr17	34408945	34432625	4	16949	52155.2	4676.8	128	1
4_MACS_peak_7350_lociStitched	chr15	23660118	23682841	4	13119	51024.4965	3592.5063	129	1
3_MACS_peak_10234_lociStitched	chr17	62970447	62986157	3	8256	49915.383	3022.604	130	1
1_MACS_peak_21530_lociStitched	chr7	26002454	26009714	1	7261	48760.338	1944.954	131	1
2_MACS_peak_17244_lociStitched	chr3	186780208	186792454	2	8646	50261.2578	3648.0834	132	1
1_MACS_peak_17283_lociStitched	chr3	193817688	193823006	1	5319	48546.9584	1997.4408	133	1
4_MACS_peak_7513_lociStitched	chr15	40834140	40862699	4	17009	51511.8683	5069.2225	134	1
3_MACS_peak_12469_lociStitched	chr2	42323613	42334568	3	9671	48622.672	2277.5445	135	1
2_MACS_peak_3391_lociStitched	chr10	112216440	112226137	2	7848	48351.1814	2067.4004	136	1
3_MACS_peak_2280_lociStitched	chr1	228666145	228678974	3	5877	48399.9683	2219.417	137	1
2_MACS_peak_22254_lociStitched	chr7	114561626	114573736	2	9185	48369.762	2466.807	138	1
2_MACS_peak_14549_lociStitched	chr20	40710443	40724594	2	7761	47778.0213	2190.5748	139	1
2_MACS_peak_7793_lociStitched	chr15	65173631	65189389	2	9303	48203.722	2633.1618	140	1
1_MACS_peak_2720_lociStitched	chr10	30989408	30996752	1	7345	46929.6288	1594.3824	141	1
6_MACS_peak_21772_lociStitched	chr7	55616398	55642892	6	23139	49745.1344	4615.2548	142	1
3_MACS_peak_14803_lociStitched	chr20	61273054	61291151	3	13682	47958.8597	2908.1879	143	1
5_MACS_peak_23410_lociStitched	chr8	120916818	120947677	5	20643	50216.8507	5264.5454	144	1
1_MACS_peak_14798_lociStitched	chr20	60911021	60916956	1	5936	45964.7945	1071.861	145	1
5_MACS_peak_10361_lociStitched	chr17	73850533	73875683	5	13046	48579.74	3792.62	146	1
2_MACS_peak_9373_lociStitched	chr17	6915011	6926073	2	6798	46576.551	1866.1594	147	1
1_MACS_peak_7298_lociStitched	chr14	106323777	106329598	1	5822	45301.3504	596.0704	148	1
1_MACS_peak_22877_lociStitched	chr8	29629588	29634182	1	4595	45834.7974	1266.5658	149	1
1_MACS_peak_17083_lociStitched	chr3	174866136	174870230	1	4095	45704.1878	1151.6422	150	1
2_MACS_peak_10271_lociStitched	chr17	66230387	66245168	2	8279	47145.4776	2628.0618	151	1
1_MACS_peak_284_lociStitched	chr1	24512159	24519336	1	7178	45947.8717	1683.7242	152	1
5_MACS_peak_3688_lociStitched	chr11	10314689	10345091	5	18830	49415.4108	5229.144	153	1
1_MACS_peak_12485_lociStitched	chr2	43444278	43456943	1	12666	46459.0195	2331.6265	154	1
2_MACS_peak_22551_lociStitched	chr7	150100998	150113927	2	6813	47318.8471	3246.4719	155	1
2_MACS_peak_2064_lociStitched	chr1	209275712	209283978	2	7584	45985.4112	2339.278	156	1
4_MACS_peak_15561_lociStitched	chr22	39823325	39845747	4	12377	47507.7336	4029.2334	157	1
4_MACS_peak_8118_lociStitched	chr15	89646826	89674897	4	13625	47922.8112	4555.9233	158	1
2_MACS_peak_7708_lociStitched	chr15	56648184	56666188	2	11672	46131.6492	2794.2208	159	1
2_MACS_peak_11662_lociStitched	chr19	35695309	35706045	2	8023	45293.0368	2264.2224	160	1
1_MACS_peak_6611_lociStitched	chr13	114789310	114794555	1	5246	44020.236	1238.3445	161	1
1_MACS_peak_4872_lociStitched	chr12	4377526	4388357	1	10832	44649.7144	1931.1673	162	1
2_MACS_peak_5101_lociStitched	chr12	26265856	26280344	2	13871	44943.2248	2544.0928	163	1
2_MACS_peak_6623_lociStitched	chr13	115039471	115048792	2	8317	43497.3786	1487.6316	164	1
1_MACS_peak_4789_lociStitched	chr11	129870975	129874568	1	3594	42679.4505	918.7301	165	1
1_MACS_peak_262_lociStitched	chr1	23850425	23858951	1	8527	43508.178	1748.6826	166	1
3_MACS_peak_1760_lociStitched	chr1	179048823	179061695	3	7726	45157.5504	3512.7688	167	1
2_MACS_peak_7908_lociStitched	chr15	74665537	74678736	2	6759	43939.471	2488.0115	168	1
2_MACS_peak_20228_lociStitched	chr6	31694618	31709262	2	12146	44284.9204	2859.9732	169	1
2_MACS_peak_9363_lociStitched	chr17	6063517	6071059	2	6528	42573.0816	1658.4858	170	1
5_MACS_peak_11091_lociStitched	chr19	1647817	1672926	5	11119	45276.5488	4373.9878	171	1
2_MACS_peak_10489_lociStitched	chr17	78873549	78887011	2	7942	42604.5376	2209.1142	172	1
3_MACS_peak_7499_lociStitched	chr15	40386980	40408975	3	16399	44300.1295	4196.646	173	1
2_MACS_peak_24559_lociStitched	chr9	132645979	132657863	2	8348	42122.838	2069.0044	174	1
5_MACS_peak_7924_lociStitched	chr15	75065457	75093155	5	21819	44721.1908	4944.093	175	1
1_MACS_peak_20803_lociStitched	chr6	106610043	106617269	1	7227	41369.5726	1737.1304	176	1
2_MACS_peak_22626_lociStitched	chr8	1991048	2000524	2	7184	41229.1284	1780.5404	177	1
2_MACS_peak_15041_lociStitched	chr21	41295823	41309005	2	7755	42944.3196	3528.8214	178	1
3_MACS_peak_10592_lociStitched	chr18	3245818	3263137	3	7296	42275.679	2874.954	179	1
6_MACS_peak_6040_lociStitched	chr12	123355176	123387107	6	21827	42075.4787	2720.5212	180	1
3_MACS_peak_17239_lociStitched	chr3	186703270	186719955	3	12263	43386.0055	4101.173	181	1
6_MACS_peak_18433_lociStitched	chr4	185317570	185350078	6	19576	44516.4552	5272.7976	182	1
2_MACS_peak_16476_lociStitched	chr3	98479714	98495637	2	13626	41947.5512	2740.3483	183	1
2_MACS_peak_9340_lociStitched	chr17	4842031	4854569	2	10880	41500.78	2319.53	184	1
2_MACS_peak_14757_lociStitched	chr20	56047656	56058352	2	9530	41199.9224	2041.8664	185	1
7_MACS_peak_19714_lociStitched	chr5	173310005	173357116	7	30274	45725.9366	6925.317	186	1
2_MACS_peak_13747_lociStitched	chr2	202116234	202128316	2	10620	40843.201	2171.1354	187	1
2_MACS_peak_20456_lociStitched	chr6	45386654	45402203	2	9790	40676.184	2172.1953	188	1
1_MACS_peak_11908_lociStitched	chr19	47613775	47617827	1	4053	39023.1912	759.3448	189	1
1_MACS_peak_5495_lociStitched	chr12	62995186	62998397	1	3212	38842.1826	656.0073	190	1
2_MACS_peak_11156_lociStitched	chr19	3499574	3507565	2	4368	39887.0765	1908.2508	191	1
2_MACS_peak_16118_lociStitched	chr3	46246184	46257087	2	8530	40380.3508	2575.2886	192	1
1_MACS_peak_20717_lociStitched	chr6	90059007	90071263	1	12257	40279.344	2474.4864	193	1
4_MACS_peak_4769_lociStitched	chr11	128585252	128609797	4	19722	42565.939	4830.456	194	1
1_MACS_peak_4309_lociStitched	chr11	72523500	72527370	1	3871	38396.205	843.273	195	1
1_MACS_peak_14149_lociStitched	chr20	2081550	2084971	1	3422	38135.9396	690.6999	196	1
4_MACS_peak_2024_lociStitched	chr1	206728035	206754654	4	18256	44517.6156	7125.9063	197	1
3_MACS_peak_16752_lociStitched	chr3	129026493	129048528	3	14095	41278.1655	3926.637	198	1
1_MACS_peak_2612_lociStitched	chr10	15826414	15832952	1	6539	38302.873	1068.963	199	1
3_MACS_peak_21768_lociStitched	chr7	55569012	55585884	3	15448	40003.512	2819.3112	200	1
3_MACS_peak_21693_lociStitched	chr7	44661792	44680281	3	14952	40487.2122	3318.7755	201	1
4_MACS_peak_11938_lociStitched	chr19	48880463	48902443	4	12449	39950.848	2969.498	202	1
1_MACS_peak_12883_lociStitched	chr2	86261906	86266971	1	5066	38177.944	1303.2245	203	1
1_MACS_peak_14612_lociStitched	chr20	44599040	44601903	1	2864	37301.1681	572.6	204	1
1_MACS_peak_10637_lociStitched	chr18	9132369	9152856	1	20488	40000.8675	3482.79	205	1
3_MACS_peak_10402_lociStitched	chr17	75078918	75093182	3	13610	39267.3656	3021.1152	206	1
2_MACS_peak_20194_lociStitched	chr6	30582028	30595442	2	6467	38652.441	2433.2996	207	1
2_MACS_peak_2780_lociStitched	chr10	43890116	43905825	2	11803	38673.9871	2507.1564	208	1
1_MACS_peak_5711_lociStitched	chr12	94596487	94603621	1	7135	37715.3178	1573.7604	209	1
4_MACS_peak_21217_lociStitched	chr6	157976615	157999651	4	13672	37986.364	1868.2196	210	1
1_MACS_peak_9777_lociStitched	chr17	36856340	36863628	1	7289	37447.2016	1361.3984	211	1
1_MACS_peak_12421_lociStitched	chr2	37600534	37606447	1	5914	37406.8206	1359.3987	212	1
4_MACS_peak_19753_lociStitched	chr5	176717118	176740510	4	14157	40180.4384	4138.0448	213	1
1_MACS_peak_16997_lociStitched	chr3	160116030	160123725	1	7696	37572.3765	1535.922	214	1
5_MACS_peak_11097_lociStitched	chr19	1847043	1865727	5	11214	39572.712	3654.5904	215	1
1_MACS_peak_2413_lociStitched	chr1	244996457	245000830	1	4374	37042.8084	1134.7935	216	1
2_MACS_peak_22902_lociStitched	chr8	33410212	33425405	2	8298	38426.1356	2594.9644	217	1
5_MACS_peak_17064_lociStitched	chr3	171802018	171826944	5	16089	41626.42	5825.2062	218	1
1_MACS_peak_7941_lociStitched	chr15	75334305	75340981	1	6677	37508.4384	1711.0588	219	1
2_MACS_peak_2236_lociStitched	chr1	226308620	226316959	2	5939	38193.4539	2437.4897	220	1
3_MACS_peak_20400_lociStitched	chr6	42737867	42752257	3	8895	37690.288	1935.455	221	1
2_MACS_peak_8491_lociStitched	chr16	14492038	14502307	2	5818	37187.1297	1918.2492	222	1
1_MACS_peak_15517_lociStitched	chr22	38900118	38903541	1	3424	35901.4509	666.8004	223	1
2_MACS_peak_5792_lociStitched	chr12	104318617	104327169	2	7454	37166.1368	1932.752	224	1
3_MACS_peak_10448_lociStitched	chr17	76711075	76733809	3	18871	39209.3298	4055.7456	225	1
2_MACS_peak_15338_lociStitched	chr22	29207166	29221399	2	11414	37328.8891	2184.7655	226	1
1_MACS_peak_1497_lociStitched	chr1	155656834	155659828	1	2995	36145.065	1039.2174	227	1
1_MACS_peak_2416_lociStitched	chr1	245132454	245136152	1	3699	35973.0346	1009.9238	228	1
7_MACS_peak_10317_lociStitched	chr17	72733359	72781015	7	25141	42418.6056	7486.7576	229	1
4_MACS_peak_19034_lociStitched	chr5	87954665	87976825	4	9921	38372.256	3463.608	230	1
2_MACS_peak_9302_lociStitched	chr17	3459601	3466930	2	4875	36245.5695	1404.9693	231	1
1_MACS_peak_5376_lociStitched	chr12	53845927	53874834	1	28908	39839.6274	5070.2878	232	1
4_MACS_peak_2806_lociStitched	chr10	45913847	45931430	4	9502	37465.8564	2700.7488	233	1
3_MACS_peak_16228_lociStitched	chr3	50357895	50376402	3	7785	37900.4853	3140.6379	234	1
1_MACS_peak_19067_lociStitched	chr5	90674490	90681179	1	6690	36111.2354	1366.5627	235	1
1_MACS_peak_22131_lociStitched	chr7	101946343	101951532	1	5190	35757.399	1052.8481	236	1
2_MACS_peak_19042_lociStitched	chr5	88171090	88187010	2	13684	37305.336	2647.496	237	1
2_MACS_peak_19369_lociStitched	chr5	137666468	137675290	2	4718	36106.6816	1601.193	238	1
3_MACS_peak_22827_lociStitched	chr8	27208609	27239269	3	18447	40149.27	5705.826	239	1
4_MACS_peak_3085_lociStitched	chr10	81001324	81020582	4	14280	37751.4574	3333.5598	240	1
4_MACS_peak_15569_lociStitched	chr22	39909951	39929536	4	13009	38345.4715	3950.2945	241	1
2_MACS_peak_2301_lociStitched	chr1	230256918	230269965	2	6259	37110.8868	2801.1909	242	1
4_MACS_peak_19796_lociStitched	chr5	180228395	180249301	4	14574	37850.313	3579.1072	243	1
1_MACS_peak_17312_lociStitched	chr3	195632038	195637450	1	5413	35952.9984	1794.6192	244	1
2_MACS_peak_17289_lociStitched	chr3	194022864	194034067	2	5335	36569.9529	2525.1562	245	1
2_MACS_peak_20105_lociStitched	chr6	26358039	26367419	2	9249	35812.84	1796.27	246	1
3_MACS_peak_10541_lociStitched	chr17	80405722	80424033	3	8863	37636.4294	3620.0847	247	1
2_MACS_peak_5272_lociStitched	chr12	48201002	48214767	2	12968	36707.1255	2834.2135	248	1
1_MACS_peak_20856_lociStitched	chr6	109701469	109705376	1	3908	34603.1269	756.3952	249	1
2_MACS_peak_6814_lociStitched	chr14	50465385	50476655	2	7512	34889.666	1155.175	250	1
1_MACS_peak_12882_lociStitched	chr2	86220343	86228679	1	8337	35637.2336	1903.9424	251	1
1_MACS_peak_15345_lociStitched	chr22	29662336	29666435	1	4100	34525.4671	806.2733	252	1
5_MACS_peak_8585_lociStitched	chr16	22195230	22219278	5	15718	37998.2448	4381.5456	253	1
1_MACS_peak_9483_lociStitched	chr17	17138857	17141813	1	2957	34035.384	467.048	254	1
3_MACS_peak_15521_lociStitched	chr22	39095519	39106140	3	8703	35434.8423	1964.885	255	1
1_MACS_peak_14558_lociStitched	chr20	42307633	42312430	1	4798	34428.069	1002.0933	256	1
3_MACS_peak_849_lociStitched	chr1	66736688	66750362	3	10720	35977.6614	2573.4468	257	1
2_MACS_peak_10158_lociStitched	chr17	57695467	57700425	2	4250	34066.9138	796.2548	258	1
3_MACS_peak_17833_lociStitched	chr4	77117822	77136369	3	11666	36745.3164	3536.9129	259	1
