REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
1_MACS_peak_20799_lociStitched	chr6	106530950	106556011	1	25062	107546.7754	4814.2181	30	PRDM1		PRDM1	30	1
7_MACS_peak_19714_lociStitched	chr5	173310005	173357116	7	30274	45725.9366	6925.317	31	CPEB4		CPEB4	31	1
6_MACS_peak_9731_lociStitched	chr17	34509755	34540081	6	25940	99147.8244	7460.196	32	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	32	1
6_MACS_peak_7406_lociStitched	chr15	31616905	31660471	6	28473	65823.8694	7410.5766	33	KLF13		KLF13	33	1
6_MACS_peak_10210_lociStitched	chr17	62150187	62186640	6	28318	56844.8082	5909.0313	34	ERN1	SNORD104,SNORA76	ERN1	34	1
1_MACS_peak_14003_lociStitched	chr2	232686851	232714980	1	28130	55132.84	3277.0285	35		COPS7B,PDE6D,MIR1471	COPS7B	35	1
1_MACS_peak_5376_lociStitched	chr12	53845927	53874834	1	28908	39839.6274	5070.2878	36	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	36	1
4_MACS_peak_3483_lociStitched	chr10	125822284	125854645	4	27270	67521.2265	5812.0356	37	CHST15		CHST15	37	1
2_MACS_peak_1519_lociStitched	chr1	156115330	156137180	2	21816	112289.335	6139.85	38	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	38	1
7_MACS_peak_4918_lociStitched	chr12	7045500	7085705	7	25806	77812.757	7679.155	39	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	39	1
2_MACS_peak_15266_lociStitched	chr22	23269436	23285969	2	15892	136046.7504	3908.4012	40		IGLL5	IGLL5	40	1
5_MACS_peak_7843_lociStitched	chr15	68568808	68599511	5	26246	58691.8548	5587.946	42	FEM1B,ITGA11	CLN6	FEM1B	42	1
4_MACS_peak_5842_lociStitched	chr12	109009598	109036292	4	19890	115035.1236	5506.9722	43	SELPLG	TMEM119	SELPLG	43	1
4_MACS_peak_22138_lociStitched	chr7	102063624	102093328	4	19973	113490.0728	4817.9888	44	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	44	1
3_MACS_peak_15286_lociStitched	chr22	24176797	24200981	3	15877	122936.9456	4476.4584	45	SLC2A11,DERL3	SMARCB1,MIF	DERL3	45	1
4_MACS_peak_15111_lociStitched	chr21	45552504	45580510	4	17816	115325.9074	7113.524	46	C21orf33	PWP2	C21orf33	46	1
2_MACS_peak_22549_lociStitched	chr7	150063691	150084635	2	19747	102353.328	5321.8704	47	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	47	1
4_MACS_peak_15786_lociStitched	chr3	5222462	5256700	4	24607	54222.7206	5923.174	48	ARL8B,EDEM1		EDEM1	48	1
6_MACS_peak_2545_lociStitched	chr10	11278958	11313069	6	24091	61430.4999	5778.4034	49	CELF2		CELF2	49	1
7_MACS_peak_10317_lociStitched	chr17	72733359	72781015	7	25141	42418.6056	7486.7576	50	RAB37,SLC9A3R1,MIR3615,TMEM104,NAT9	CD300LF	SLC9A3R1	50	1
6_MACS_peak_17171_lociStitched	chr3	183228354	183261440	6	22898	72560.9066	8876.9738	51	KLHL6		KLHL6	51	1
3_MACS_peak_7293_lociStitched	chr14	106145151	106169317	3	19866	91707.5534	2890.2536	52			TMEM121	52	1
5_MACS_peak_9691_lociStitched	chr17	32690552	32719609	5	21787	68339.1583	5538.2642	53		CCL8,CCL13,CCL1	CCL1	53	1
6_MACS_peak_21772_lociStitched	chr7	55616398	55642892	6	23139	49745.1344	4615.2548	54	VOPP1		VOPP1	54	1
2_MACS_peak_12251_lociStitched	chr2	20404090	20426296	2	21182	72247.221	4541.127	56	SDC1		SDC1	56	1
7_MACS_peak_15473_lociStitched	chr22	37611146	37642097	7	22662	54303.5295	5883.7851	57	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	57	1
5_MACS_peak_2017_lociStitched	chr1	206272162	206307576	5	19705	83516.8362	7890.2392	58	C1orf186	AVPR1B,CTSE	C1orf186	58	1
2_MACS_peak_3801_lociStitched	chr11	22677205	22703790	2	21077	64795.6205	3708.6075	59	GAS2	FANCF	GAS2	59	1
4_MACS_peak_19303_lociStitched	chr5	131744862	131773925	4	20925	67818.5105	5298.1849	60	C5orf56	SLC22A5,MIR3936	C5orf56	60	1
1_MACS_peak_420_lociStitched	chr1	31213786	31233392	1	19607	77996.5892	4313.32	61	LAPTM5	LOC100129196,MATN1	LAPTM5	61	1
4_MACS_peak_11464_lociStitched	chr19	16243499	16273211	4	21384	60086.5776	4955.9616	62	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	62	1
3_MACS_peak_11733_lociStitched	chr19	39880550	39904130	3	18065	88498.098	4772.592	63	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	63	1
4_MACS_peak_8863_lociStitched	chr16	56963511	56986023	4	20782	65377.0992	4880.6016	64	HERPUD1	CETP,NLRC5	HERPUD1	64	1
1_MACS_peak_10636_lociStitched	chr18	9101652	9122947	1	21296	56955.607	4022.6255	65	NDUFV2	ANKRD12	NDUFV2	65	1
3_MACS_peak_10135_lociStitched	chr17	56405190	56430920	3	18819	81942.331	5318.391	66	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	66	1
3_MACS_peak_1530_lociStitched	chr1	156450597	156476022	3	20950	61744.6125	6859.665	67	MEF2D		MEF2D	67	1
2_MACS_peak_15043_lociStitched	chr21	41324613	41344376	2	19604	73229.8202	5442.7302	68			PCP4	68	1
5_MACS_peak_7924_lociStitched	chr15	75065457	75093155	5	21819	44721.1908	4944.093	69	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	69	1
6_MACS_peak_6040_lociStitched	chr12	123355176	123387107	6	21827	42075.4787	2720.5212	70	VPS37B	HIP1R	VPS37B	70	1
6_MACS_peak_12974_lociStitched	chr2	97190703	97220638	6	18515	79621.113	5373.3325	71	ARID5A	NEURL3	ARID5A	71	1
2_MACS_peak_11113_lociStitched	chr19	2081609	2098368	2	15170	99647.3381	5193.6141	72	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	72	1
5_MACS_peak_23410_lociStitched	chr8	120916818	120947677	5	20643	50216.8507	5264.5454	74	DEPDC6	DSCC1	DEPDC6	74	1
4_MACS_peak_10632_lociStitched	chr18	9055122	9085175	4	16718	86086.8185	4853.5595	75		NDUFV2	NDUFV2	75	1
2_MACS_peak_4143_lociStitched	chr11	65254515	65278873	2	17611	79078.247	4803.3976	76	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	76	1
2_MACS_peak_5008_lociStitched	chr12	12866588	12881948	2	15239	90663.936	2466.816	77	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	77	1
3_MACS_peak_205_lociStitched	chr1	17221287	17241638	3	9112	116784.2135	5539.5422	78		CROCC	CROCC	78	1
1_MACS_peak_17635_lociStitched	chr4	40191197	40209691	1	18495	66043.9234	4314.6502	79	RHOH		RHOH	79	1
1_MACS_peak_10637_lociStitched	chr18	9132369	9152856	1	20488	40000.8675	3482.79	80	NDUFV2,ANKRD12		ANKRD12	80	1
6_MACS_peak_23190_lociStitched	chr8	81048618	81084576	6	20795	28780.7832	5544.7236	81	TPD52		TPD52	81	1
4_MACS_peak_4769_lociStitched	chr11	128585252	128609797	4	19722	42565.939	4830.456	82	FLI1		FLI1	82	1
6_MACS_peak_18433_lociStitched	chr4	185317570	185350078	6	19576	44516.4552	5272.7976	83	IRF2		IRF2	83	1
2_MACS_peak_14705_lociStitched	chr20	52194788	52215815	2	19916	31763.3862	3080.4555	84	ZNF217		ZNF217	84	1
4_MACS_peak_15841_lociStitched	chr3	13035675	13061367	4	16660	72261.3192	5138.4	85	IQSEC1	IQSEC1	IQSEC1	85	1
5_MACS_peak_3688_lociStitched	chr11	10314689	10345091	5	18830	49415.4108	5229.144	86	ADM,SBF2		ADM	86	1
2_MACS_peak_1378_lociStitched	chr1	150532137	150553044	2	16424	73040.6952	5766.1506	87	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	87	1
1_MACS_peak_12211_lociStitched	chr2	11883630	11898209	1	14580	82447.1608	3141.7745	88	LPIN1		LPIN1	88	1
2_MACS_peak_19040_lociStitched	chr5	88111517	88130802	2	19283	31770.109	3286.164	89	MEF2C		MEF2C	89	1
3_MACS_peak_10448_lociStitched	chr17	76711075	76733809	3	18871	39209.3298	4055.7456	90	CYTH1		CYTH1	90	1
4_MACS_peak_1354_lociStitched	chr1	149802885	149834070	4	16423	69508.2465	7768.1835	91	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	91	1
9_MACS_peak_21080_lociStitched	chr6	138247146	138297449	9	19131	34281.4945	7706.4196	92			TNFAIP3	92	1
4_MACS_peak_16374_lociStitched	chr3	69128448	69155266	4	19151	30092.4778	4121.9266	93	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	93	1
3_MACS_peak_8475_lociStitched	chr16	12052292	12071975	3	13118	86024.5515	3997.6173	94	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	94	1
2_MACS_peak_1452_lociStitched	chr1	154374322	154394887	2	16808	62217.351	5569.002	95	IL6R		IL6R	95	1
2_MACS_peak_9825_lociStitched	chr17	38465634	38483892	2	17460	52575.7368	3666.2064	96	RARA	CDC6,RARA,GJD3	RARA	96	1
3_MACS_peak_22827_lociStitched	chr8	27208609	27239269	3	18447	40149.27	5705.826	97	PTK2B	TRIM35	PTK2B	97	1
4_MACS_peak_2024_lociStitched	chr1	206728035	206754654	4	18256	44517.6156	7125.9063	98	RASSF5	LGTN	RASSF5	98	1
1_MACS_peak_6604_lociStitched	chr13	114556217	114568151	1	11935	88535.9592	3302.1378	99	GAS6	FLJ44054,GAS6	GAS6	99	1
1_MACS_peak_20077_lociStitched	chr6	25402935	25415161	1	12227	86041.6976	2525.8916	100	LRRC16A		LRRC16A	100	1
3_MACS_peak_2347_lociStitched	chr1	234734083	234749852	3	13000	83594.6228	3958.019	101	IRF2BP2	NCRNA00184	IRF2BP2	101	1
1_MACS_peak_15337_lociStitched	chr22	29185679	29199591	1	13913	77257.5096	2814.3976	102	XBP1	HSCB,CCDC117,CHEK2	XBP1	102	1
4_MACS_peak_11486_lociStitched	chr19	16693888	16717013	4	14546	75040.625	4673.5625	103	MED26	CHERP,SLC35E1	SLC35E1	103	1
1_MACS_peak_13735_lociStitched	chr2	201980006	201994862	1	14857	71351.8824	3112.332	104	CFLAR	NDUFB3,FAM126B	CFLAR	104	1
2_MACS_peak_4312_lociStitched	chr11	72850795	72869694	2	12393	84247.9622	3738.2222	105	FCHSD2		FCHSD2	105	1
4_MACS_peak_9726_lociStitched	chr17	34408945	34432625	4	16949	52155.2	4676.8	106	CCL4,CCL3	CCL18	CCL3	106	1
3_MACS_peak_24314_lociStitched	chr9	112904331	112925108	3	18503	26791.9415	3903.9983	107	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	107	1
4_MACS_peak_7513_lociStitched	chr15	40834140	40862699	4	17009	51511.8683	5069.2225	108	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	108	1
1_MACS_peak_9946_lociStitched	chr17	43298152	43308710	1	10559	90172.7106	2372.3826	109	FMNL1	LOC100133991,C17orf46	FMNL1	109	1
3_MACS_peak_7499_lociStitched	chr15	40386980	40408975	3	16399	44300.1295	4196.646	112	BMF	BUB1B	BMF	112	1
4_MACS_peak_13670_lociStitched	chr2	197024431	197048660	4	17099	32869.0614	4038.9743	113	STK17B		STK17B	113	1
1_MACS_peak_2252_lociStitched	chr1	226839514	226852526	1	13013	72429.9968	3994.684	114	ITPKB		ITPKB	114	1
2_MACS_peak_13145_lociStitched	chr2	112455670	112465597	2	9743	83544.6393	2323.9107	115			ANAPC1	115	1
4_MACS_peak_14204_lociStitched	chr20	5570476	5592534	4	16966	27058.5486	3756.4774	116	GPCPD1		GPCPD1	116	1
2_MACS_peak_18671_lociStitched	chr5	32570958	32592304	2	15205	51352.0722	3771.8382	117	SUB1		SUB1	117	1
2_MACS_peak_5840_lociStitched	chr12	108952818	108970621	2	14352	59097.0585	3866.8116	118	ISCU,SART3	FICD,TMEM119	ISCU	118	1
5_MACS_peak_17064_lociStitched	chr3	171802018	171826944	5	16089	41626.42	5825.2062	119	FNDC3B		FNDC3B	119	1
2_MACS_peak_15259_lociStitched	chr22	23189932	23209969	2	16266	34567.8324	2003.7	120		MIR650,IGLL5	IGLL5	120	1
5_MACS_peak_24488_lociStitched	chr9	130532080	130566596	5	16155	32313.8792	5056.594	121	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C	CDK9	121	1
5_MACS_peak_8585_lociStitched	chr16	22195230	22219278	5	15718	37998.2448	4381.5456	123	EEF2K		EEF2K	123	1
3_MACS_peak_7096_lociStitched	chr14	81930690	81953247	3	16050	30012.0885	1928.6235	124	SEL1L		SEL1L	124	1
3_MACS_peak_21768_lociStitched	chr7	55569012	55585884	3	15448	40003.512	2819.3112	125	VOPP1		VOPP1	125	1
6_MACS_peak_8703_lociStitched	chr16	30193689	30223861	6	16105	32618.9492	6652.926	126	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	126	1
3_MACS_peak_19309_lociStitched	chr5	131813048	131837701	3	16204	27640.9436	4398.0952	127	IRF1	IL5	IRF1	127	1
7_MACS_peak_23467_lociStitched	chr8	126285477	126316096	7	15774	34709.6984	4467.3121	128	NSMCE2		TRIB1	128	1
2_MACS_peak_10406_lociStitched	chr17	75131339	75145408	2	11664	68926.8448	2840.5311	129	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	129	1
1_MACS_peak_10951_lociStitched	chr18	60821961	60831205	1	9245	78488.0308	1824.7656	130	BCL2		BCL2	130	1
2_MACS_peak_18564_lociStitched	chr5	6475635	6487512	2	10042	74973.5625	2343.3321	131	UBE2QL1		UBE2QL1	131	1
3_MACS_peak_16796_lociStitched	chr3	133181748	133200298	3	13893	52336.97	3628.38	132	BFSP2		BFSP2	132	1
3_MACS_peak_21693_lociStitched	chr7	44661792	44680281	3	14952	40487.2122	3318.7755	133	OGDH	DDX56,TMED4	OGDH	133	1
2_MACS_peak_4866_lociStitched	chr12	4216212	4229820	2	6963	84097.44	2963.8224	135			CCND2	135	1
5_MACS_peak_12928_lociStitched	chr2	88899144	88928377	5	15535	27487.7899	5077.7721	136	EIF2AK3		EIF2AK3	136	1
2_MACS_peak_12748_lociStitched	chr2	70310274	70323273	2	8346	78303.3762	2523.1059	137	PCBP1,LOC400960	LOC100133985	PCBP1	137	1
3_MACS_peak_14803_lociStitched	chr20	61273054	61291151	3	13682	47958.8597	2908.1879	138	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	138	1
4_MACS_peak_19796_lociStitched	chr5	180228395	180249301	4	14574	37850.313	3579.1072	139	MGAT1	LOC729678,ZFP62	MGAT1	139	1
2_MACS_peak_5101_lociStitched	chr12	26265856	26280344	2	13871	44943.2248	2544.0928	140	BHLHE41		BHLHE41	140	1
5_MACS_peak_13888_lociStitched	chr2	219743086	219763398	5	14688	34985.3888	3524.132	141	WNT10A	WNT6,PRKAG3	WNT10A	141	1
4_MACS_peak_8118_lociStitched	chr15	89646826	89674897	4	13625	47922.8112	4555.9233	142	ABHD2		ABHD2	142	1
3_MACS_peak_12542_lociStitched	chr2	47526802	47550728	3	11707	62784.2166	4641.644	143		EPCAM	EPCAM	143	1
5_MACS_peak_20072_lociStitched	chr6	25366235	25389793	5	14986	28745.4716	4139.1406	144	LRRC16A		LRRC16A	144	1
4_MACS_peak_7350_lociStitched	chr15	23660118	23682841	4	13119	51024.4965	3592.5063	145			MKRN3	145	1
3_MACS_peak_16752_lociStitched	chr3	129026493	129048528	3	14095	41278.1655	3926.637	146	C3orf47,H1FX	C3orf37	H1FX	146	1
4_MACS_peak_19753_lociStitched	chr5	176717118	176740510	4	14157	40180.4384	4138.0448	147	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	147	1
4_MACS_peak_3085_lociStitched	chr10	81001324	81020582	4	14280	37751.4574	3333.5598	148	ZMIZ1		PPIF	148	1
2_MACS_peak_14523_lociStitched	chr20	37491151	37505689	2	8720	74703.513	2791.296	149	PPP1R16B	FAM83D	FAM83D	149	1
4_MACS_peak_12685_lociStitched	chr2	65157556	65178600	4	12419	55444.6268	4412.9268	150	LOC400958	SLC1A4	LOC400958	150	1
2_MACS_peak_16476_lociStitched	chr3	98479714	98495637	2	13626	41947.5512	2740.3483	151	ST3GAL6		ST3GAL6	151	1
5_MACS_peak_10361_lociStitched	chr17	73850533	73875683	5	13046	48579.74	3792.62	153	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	TRIM47	153	1
5_MACS_peak_9952_lociStitched	chr17	43505020	43531598	5	14556	30027.8244	4119.59	154	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	154	1
5_MACS_peak_19541_lociStitched	chr5	150513116	150538125	5	14742	26434.513	4371.5732	155	ANXA6		ANXA6	155	1
1_MACS_peak_21771_lociStitched	chr7	55597709	55605991	1	8283	73155.7342	1692.8408	156	VOPP1		VOPP1	156	1
4_MACS_peak_3401_lociStitched	chr10	112611836	112632939	4	14611	25963.0209	3811.2018	157	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	157	1
4_MACS_peak_21217_lociStitched	chr6	157976615	157999651	4	13672	37986.364	1868.2196	158	ZDHHC14	MIR3692	MIR3692	158	1
5_MACS_peak_24574_lociStitched	chr9	134127041	134153118	5	14379	30374.4896	4281.8434	159	FAM78A	PPAPDC3	FAM78A	159	1
3_MACS_peak_1989_lociStitched	chr1	204474545	204491932	3	12360	52713.9066	4364.137	160	MDM4	PIK3C2B	MDM4	160	1
3_MACS_peak_10402_lociStitched	chr17	75078918	75093182	3	13610	39267.3656	3021.1152	161	C17orf86,SCARNA16	SEC14L1	SCARNA16	161	1
2_MACS_peak_16143_lociStitched	chr3	46578547	46589503	2	7025	76400.5704	2019.1908	162	LRRC2	RTP3,TDGF1	LRRC2	162	1
2_MACS_peak_19042_lociStitched	chr5	88171090	88187010	2	13684	37305.336	2647.496	163	MEF2C		MEF2C	163	1
1_MACS_peak_21956_lociStitched	chr7	78114164	78128047	1	13884	33855.0838	2408.7005	166	MAGI2		RPL13AP17	166	1
5_MACS_peak_23605_lociStitched	chr8	145001998	145027676	5	14292	28161.0626	3507.6148	167	PLEC,MIR661	GRINA,PARP10	PLEC	167	1
1_MACS_peak_12485_lociStitched	chr2	43444278	43456943	1	12666	46459.0195	2331.6265	168	LOC100129726,ZFP36L2		ZFP36L2	168	1
5_MACS_peak_20235_lociStitched	chr6	31783187	31804829	5	14301	26576.376	3510.3324	169	HSPA1A,HSPA1B,C6orf48,SNORD48	SNORD52,C6orf27,VARS,LSM2,HSPA1L,NEU1,SLC44A4	HSPA1B	169	1
2_MACS_peak_15513_lociStitched	chr22	38700830	38715120	2	14213	26056.386	2609.354	172	CSNK1E	TMEM184B	CSNK1E	172	1
4_MACS_peak_18798_lociStitched	chr5	55437022	55453653	4	13783	33343.4919	2893.794	173	ANKRD55		ANKRD55	173	1
3_MACS_peak_8107_lociStitched	chr15	89163705	89184539	3	13749	33759.4136	3579.2812	175	AEN,ISG20	MIR1179,MIR7-2	ISG20	175	1
4_MACS_peak_15561_lociStitched	chr22	39823325	39845747	4	12377	47507.7336	4029.2334	177	TAB1	MGAT3	MGAT3	177	1
1_MACS_peak_15516_lociStitched	chr22	38782066	38795659	1	13594	30438.8049	2055.2616	178	LOC400927	KCNJ4	LOC400927	178	1
4_MACS_peak_15569_lociStitched	chr22	39909951	39929536	4	13009	38345.4715	3950.2945	180	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	180	1
3_MACS_peak_3326_lociStitched	chr10	104531462	104543128	3	10732	55527.8268	2473.192	181	C10orf26		C10orf26	181	1
3_MACS_peak_4287_lociStitched	chr11	71413794	71426668	3	10959	54303.8194	2764.0478	182			FAM86C	182	1
2_MACS_peak_5272_lociStitched	chr12	48201002	48214767	2	12968	36707.1255	2834.2135	183	HDAC7	SLC48A1,RAPGEF3	HDAC7	183	1
5_MACS_peak_7065_lociStitched	chr14	77487929	77507809	5	13527	27474.16	1787.212	184	C14orf4		C14orf4	184	1
5_MACS_peak_8684_lociStitched	chr16	29815365	29833619	5	13186	33527.1218	3555.8792	185	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	PRRT2	185	1
4_MACS_peak_20091_lociStitched	chr6	26183616	26207198	4	13205	33842.5282	4275.4166	187	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	187	1
2_MACS_peak_20228_lociStitched	chr6	31694618	31709262	2	12146	44284.9204	2859.9732	188	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	188	1
2_MACS_peak_4608_lociStitched	chr11	115091070	115102375	2	8354	66191.9055	2052.988	189	CADM1		CADM1	189	1
5_MACS_peak_11119_lociStitched	chr19	2254580	2274390	5	13162	33821.613	4486.965	190	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	190	1
6_MACS_peak_4095_lociStitched	chr11	63992494	64020070	6	13539	27545.6664	4690.6776	191	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	191	1
3_MACS_peak_17239_lociStitched	chr3	186703270	186719955	3	12263	43386.0055	4101.173	193	ST6GAL1	ST6GAL1	ST6GAL1	193	1
4_MACS_peak_11938_lociStitched	chr19	48880463	48902443	4	12449	39950.848	2969.498	194	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	194	1
2_MACS_peak_7404_lociStitched	chr15	31546827	31561017	2	9785	59403.597	2708.871	195			KLF13	195	1
2_MACS_peak_7708_lociStitched	chr15	56648184	56666188	2	11672	46131.6492	2794.2208	196	TEX9		TEX9	196	1
