REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23.bam	38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
5_MACS_peak_10835_lociStitched	chr18	46440500	46480084	5	35587	80422.8128	6832.1984
3_MACS_peak_19920_lociStitched	chr6	7880073	7919627	3	36982	246377.9106	8927.337800000001
6_MACS_peak_10210_lociStitched	chr17	62150187	62186640	6	28318	56844.8082	5909.0313
9_MACS_peak_9084_lociStitched	chr16	78768478	78804917	9	24188	24596.325	3618.3927
6_MACS_peak_23190_lociStitched	chr8	81048618	81084576	6	20795	28780.7832	5544.7236
4_MACS_peak_17944_lociStitched	chr4	90205115	90240682	4	27545	100974.713	5662.2664
5_MACS_peak_2017_lociStitched	chr1	206272162	206307576	5	19705	83516.83619999999	7890.2392
5_MACS_peak_18530_lociStitched	chr5	1311809	1346330	5	25067	230403.5103	7194.1764
5_MACS_peak_24488_lociStitched	chr9	130532080	130566596	5	16155	32313.8792	5056.594
4_MACS_peak_15786_lociStitched	chr3	5222462	5256700	4	24607	54222.7206	5923.174
4_MACS_peak_11138_lociStitched	chr19	2594906	2629028	4	19113	215883.06960000002	8445.195
6_MACS_peak_2545_lociStitched	chr10	11278958	11313069	6	24091	61430.499899999995	5778.4034
6_MACS_peak_17171_lociStitched	chr3	183228354	183261440	6	22898	72560.90659999999	8876.9738
6_MACS_peak_8946_lociStitched	chr16	67554690	67587354	6	12632	23054.2512	5147.846399999999
6_MACS_peak_18433_lociStitched	chr4	185317570	185350078	6	19576	44516.4552	5272.797600000001
4_MACS_peak_3483_lociStitched	chr10	125822284	125854645	4	27270	67521.2265	5812.0356
6_MACS_peak_6040_lociStitched	chr12	123355176	123387107	6	21827	42075.4787	2720.5212
4_MACS_peak_9477_lociStitched	chr17	16864032	16895401	4	20790	147870.3291	5960.11
5_MACS_peak_15261_lociStitched	chr22	23217787	23249030	5	25856	158442.62589999998	4495.8677
4_MACS_peak_1354_lociStitched	chr1	149802885	149834070	4	16423	69508.2465	7768.183499999999
7_MACS_peak_15473_lociStitched	chr22	37611146	37642097	7	22662	54303.5295	5883.7851
5_MACS_peak_23410_lociStitched	chr8	120916818	120947677	5	20643	50216.850699999995	5264.5454
2_MACS_peak_5361_lociStitched	chr12	53573155	53603950	2	24771	151668.4545	6593.2095
5_MACS_peak_7843_lociStitched	chr15	68568808	68599511	5	26246	58691.8548	5587.946
3_MACS_peak_22827_lociStitched	chr8	27208609	27239269	3	18447	40149.270000000004	5705.826
7_MACS_peak_23467_lociStitched	chr8	126285477	126316096	7	15774	34709.6984	4467.3121
5_MACS_peak_3688_lociStitched	chr11	10314689	10345091	5	18830	49415.4108	5229.143999999999
6_MACS_peak_9731_lociStitched	chr17	34509755	34540081	6	25940	99147.8244	7460.196
6_MACS_peak_8703_lociStitched	chr16	30193689	30223861	6	16105	32618.9492	6652.926
4_MACS_peak_10632_lociStitched	chr18	9055122	9085175	4	16718	86086.81850000001	4853.5595
6_MACS_peak_12974_lociStitched	chr2	97190703	97220638	6	18515	79621.11300000001	5373.3324999999995
4_MACS_peak_11464_lociStitched	chr19	16243499	16273211	4	21384	60086.5776	4955.9616000000005
4_MACS_peak_22138_lociStitched	chr7	102063624	102093328	4	19973	113490.0728	4817.9888
5_MACS_peak_12928_lociStitched	chr2	88899144	88928377	5	15535	27487.7899	5077.7721
4_MACS_peak_19303_lociStitched	chr5	131744862	131773925	4	20925	67818.5105	5298.184899999999
5_MACS_peak_9691_lociStitched	chr17	32690552	32719609	5	21787	68339.15830000001	5538.2642
1_MACS_peak_5376_lociStitched	chr12	53845927	53874834	1	28908	39839.627400000005	5070.2878
6_MACS_peak_13741_lociStitched	chr2	202072938	202101822	6	15862	23023.436400000002	4762.9716
4_MACS_peak_7513_lociStitched	chr15	40834140	40862699	4	17009	51511.8683	5069.2225
5_MACS_peak_4205_lociStitched	chr11	66861615	66889899	5	11029	15850.3536	3753.2868000000003
1_MACS_peak_14003_lociStitched	chr2	232686851	232714980	1	28130	55132.84	3277.0285000000003
4_MACS_peak_8118_lociStitched	chr15	89646826	89674897	4	13625	47922.811200000004	4555.9233
5_MACS_peak_3245_lociStitched	chr10	99159255	99187268	5	9367	15634.055300000002	3650.0939
4_MACS_peak_15111_lociStitched	chr21	45552504	45580510	4	17816	115325.9074	7113.524
3_MACS_peak_7285_lociStitched	chr14	106024682	106052638	3	25474	129643.15440000001	4819.6144
5_MACS_peak_7924_lociStitched	chr15	75065457	75093155	5	21819	44721.190800000004	4944.093
6_MACS_peak_4095_lociStitched	chr11	63992494	64020070	6	13539	27545.666400000002	4690.6776
8_MACS_peak_16120_lociStitched	chr3	46320116	46347128	8	14345	25696.515600000002	4167.951599999999
4_MACS_peak_16374_lociStitched	chr3	69128448	69155266	4	19151	30092.477800000004	4121.9266
6_MACS_peak_18568_lociStitched	chr5	6711503	6738205	6	10716	23099.9002	3546.0256
4_MACS_peak_5842_lociStitched	chr12	109009598	109036292	4	19890	115035.1236	5506.9722
4_MACS_peak_2024_lociStitched	chr1	206728035	206754654	4	18256	44517.615600000005	7125.9063
2_MACS_peak_3801_lociStitched	chr11	22677205	22703790	2	21077	64795.6205	3708.6075000000005
5_MACS_peak_9952_lociStitched	chr17	43505020	43531598	5	14556	30027.824399999998	4119.59
6_MACS_peak_21772_lociStitched	chr7	55616398	55642892	6	23139	49745.134399999995	4615.2548
6_MACS_peak_11306_lociStitched	chr19	10513137	10539485	6	12858	17684.7776	3794.1119999999996
6_MACS_peak_5440_lociStitched	chr12	57093781	57120120	6	14926	23452.2456	4166.8298
2_MACS_peak_4138_lociStitched	chr11	65183276	65209397	2	19484	144540.5535	6498.9048
5_MACS_peak_24574_lociStitched	chr9	134127041	134153118	5	14379	30374.4896	4281.843400000001
4_MACS_peak_4895_lociStitched	chr12	6554994	6581021	4	10243	32104.304500000002	4338.7009
4_MACS_peak_1237_lociStitched	chr1	143442734	143468734	4	12687	35653.799999999996	9807.199999999999
5_MACS_peak_7315_lociStitched	chr15	20969858	20995842	5	11135	22598.2848	3403.904
5_MACS_peak_7324_lociStitched	chr15	21976484	22002461	5	12479	21054.3585	3675.7454999999995
5_MACS_peak_24749_lociStitched	chrX	10065117	10090937	5	12280	24552.237999999998	2241.176
5_MACS_peak_12750_lociStitched	chr2	70335042	70360818	5	9991	31534.3584	3572.5536
3_MACS_peak_10135_lociStitched	chr17	56405190	56430920	3	18819	81942.33099999999	5318.391
5_MACS_peak_12658_lociStitched	chr2	64430647	64456341	5	9769	25989.481000000003	4005.6946000000003
4_MACS_peak_15841_lociStitched	chr3	13035675	13061367	4	16660	72261.31920000001	5138.400000000001
5_MACS_peak_23605_lociStitched	chr8	145001998	145027676	5	14292	28161.0626	3507.6148
4_MACS_peak_14586_lociStitched	chr20	43583552	43609085	4	13432	21866.4612	4072.5135
4_MACS_peak_16508_lociStitched	chr3	101487744	101513170	4	11504	25802.304799999998	3928.317
3_MACS_peak_1530_lociStitched	chr1	156450597	156476022	3	20950	61744.6125	6859.665
4_MACS_peak_9405_lociStitched	chr17	7736909	7762294	4	12209	24874.7615	4282.4495
5_MACS_peak_10361_lociStitched	chr17	73850533	73875683	5	13046	48579.74	3792.62
5_MACS_peak_11091_lociStitched	chr19	1647817	1672926	5	11119	45276.5488	4373.9878
4_MACS_peak_11130_lociStitched	chr19	2455267	2480356	4	12225	31707.4782	4784.4723
1_MACS_peak_20799_lociStitched	chr6	106530950	106556011	1	25062	107546.77540000001	4814.2181
5_MACS_peak_19541_lociStitched	chr5	150513116	150538125	5	14742	26434.513	4371.573200000001
5_MACS_peak_17064_lociStitched	chr3	171802018	171826944	5	16089	41626.42	5825.2062
6_MACS_peak_21634_lociStitched	chr7	38383504	38408383	6	16556	21891.0321	4560.3207
4_MACS_peak_14487_lociStitched	chr20	35447892	35472768	4	7078	7149.3624	3256.2684
4_MACS_peak_4663_lociStitched	chr11	118954910	118979769	4	12530	30695.8932	4621.288100000001
5_MACS_peak_8933_lociStitched	chr16	67184303	67209142	5	9851	19434.0336	3507.2668
3_MACS_peak_19309_lociStitched	chr5	131813048	131837701	3	16204	27640.9436	4398.0952
4_MACS_peak_4769_lociStitched	chr11	128585252	128609797	4	19722	42565.939	4830.456
2_MACS_peak_4143_lociStitched	chr11	65254515	65278873	2	17611	79078.247	4803.397599999999
5_MACS_peak_8243_lociStitched	chr15	101782381	101806678	5	9156	15892.6677	3809.7696
4_MACS_peak_13670_lociStitched	chr2	197024431	197048660	4	17099	32869.0614	4038.9743
3_MACS_peak_15286_lociStitched	chr22	24176797	24200981	3	15877	122936.9456	4476.4583999999995
3_MACS_peak_7293_lociStitched	chr14	106145151	106169317	3	19866	91707.5534	2890.2536
5_MACS_peak_8585_lociStitched	chr16	22195230	22219278	5	15718	37998.2448	4381.5456
5_MACS_peak_13152_lociStitched	chr2	112687940	112711973	5	8407	10043.3907	3376.6365000000005
5_MACS_peak_11226_lociStitched	chr19	6765538	6789565	5	10491	17703.0936	5189.832
3_MACS_peak_12542_lociStitched	chr2	47526802	47550728	3	11707	62784.2166	4641.644
4_MACS_peak_3566_lociStitched	chr11	554348	578220	4	6715	18152.268799999998	2984.0
4_MACS_peak_2526_lociStitched	chr10	7511714	7535576	4	11613	32134.9554	3426.5832
4_MACS_peak_9726_lociStitched	chr17	34408945	34432625	4	16949	52155.200000000004	4676.8
3_MACS_peak_22628_lociStitched	chr8	2027255	2050915	3	18507	160204.226	4261.166
4_MACS_peak_20091_lociStitched	chr6	26183616	26207198	4	13205	33842.5282	4275.4166
3_MACS_peak_11733_lociStitched	chr19	39880550	39904130	3	18065	88498.098	4772.592
5_MACS_peak_20072_lociStitched	chr6	25366235	25389793	5	14986	28745.471599999997	4139.1406
4_MACS_peak_1163_lociStitched	chr1	115236722	115260142	4	9676	18726.631999999998	1482.4859999999999
4_MACS_peak_19753_lociStitched	chr5	176717118	176740510	4	14157	40180.4384	4138.0448
4_MACS_peak_11486_lociStitched	chr19	16693888	16717013	4	14546	75040.625	4673.5625
5_MACS_peak_9035_lociStitched	chr16	70827159	70850264	5	8752	15020.5605	3736.0785
5_MACS_peak_1483_lociStitched	chr1	155210100	155233155	5	8659	16511.990999999998	5392.5644999999995
4_MACS_peak_21217_lociStitched	chr6	157976615	157999651	4	13672	37986.364	1868.2196000000001
4_MACS_peak_4111_lociStitched	chr11	64611372	64634352	4	8751	22633.002	3688.29
3_MACS_peak_10448_lociStitched	chr17	76711075	76733809	3	18871	39209.3298	4055.7456
4_MACS_peak_7350_lociStitched	chr15	23660118	23682841	4	13119	51024.496499999994	3592.5063
4_MACS_peak_12962_lociStitched	chr2	96890274	96912988	4	9429	14203.064199999999	3420.7284000000004
3_MACS_peak_9948_lociStitched	chr17	43372983	43395666	3	10119	17334.3486	3710.9388
5_MACS_peak_12060_lociStitched	chr19	56145399	56168015	5	11017	29418.892799999998	3417.2776000000003
3_MACS_peak_7096_lociStitched	chr14	81930690	81953247	3	16050	30012.0885	1928.6235000000001
5_MACS_peak_4363_lociStitched	chr11	77148889	77171424	5	8081	12299.603	3513.2065000000002
4_MACS_peak_8863_lociStitched	chr16	56963511	56986023	4	20782	65377.099200000004	4880.6016
5_MACS_peak_5194_lociStitched	chr12	33037798	33060281	5	11938	17939.1857	3230.8071
4_MACS_peak_15561_lociStitched	chr22	39823325	39845747	4	12377	47507.73359999999	4029.2334
4_MACS_peak_1863_lociStitched	chr1	192498646	192521061	4	9026	30204.212499999998	4680.252
4_MACS_peak_23636_lociStitched	chr8	145732527	145754795	4	9612	27570.0108	3057.3964
4_MACS_peak_5954_lociStitched	chr12	117535772	117558036	4	6837	8108.5488000000005	1908.0248
4_MACS_peak_18465_lociStitched	chr4	186252623	186274867	4	9628	19717.081599999998	3018.5107999999996
2_MACS_peak_12251_lociStitched	chr2	20404090	20426296	2	21182	72247.22099999999	4541.1269999999995
4_MACS_peak_3578_lociStitched	chr11	789151	811343	4	10176	22722.3888	3113.5376
4_MACS_peak_19034_lociStitched	chr5	87954665	87976825	4	9921	38372.256	3463.6079999999997
4_MACS_peak_21598_lociStitched	chr7	34774114	34796267	4	6878	6599.3787	2707.0966
4_MACS_peak_10387_lociStitched	chr17	74476202	74498348	4	11547	32441.675400000004	3671.8068
4_MACS_peak_14204_lociStitched	chr20	5570476	5592534	4	16966	27058.5486	3756.4774
3_MACS_peak_16752_lociStitched	chr3	129026493	129048528	3	14095	41278.1655	3926.6369999999997
3_MACS_peak_7499_lociStitched	chr15	40386980	40408975	3	16399	44300.1295	4196.646
4_MACS_peak_11938_lociStitched	chr19	48880463	48902443	4	12449	39950.848000000005	2969.498
3_MACS_peak_16222_lociStitched	chr3	50263347	50285304	3	8873	14706.798599999998	3903.9546000000005
4_MACS_peak_8282_lociStitched	chr16	769871	791824	4	6907	11338.724499999998	2869.2571000000003
4_MACS_peak_23865_lociStitched	chr9	35095490	35117404	4	8909	15920.521	3521.5798000000004
4_MACS_peak_20350_lociStitched	chr6	37122310	37144192	4	11734	26538.4896	3179.4546000000005
2_MACS_peak_1519_lociStitched	chr1	156115330	156137180	2	21816	112289.335	6139.85
4_MACS_peak_11109_lociStitched	chr19	2040929	2062768	4	9248	25964.3871	4660.4426
4_MACS_peak_12726_lociStitched	chr2	68941479	68963214	4	7826	17164.1295	3851.442
4_MACS_peak_21311_lociStitched	chr7	1063337	1085072	4	6085	7972.398	2249.5724999999998
5_MACS_peak_20235_lociStitched	chr6	31783187	31804829	5	14301	26576.376	3510.3324000000002
3_MACS_peak_17042_lociStitched	chr3	169755050	169776644	3	11358	26808.951	4839.2154
3_MACS_peak_12571_lociStitched	chr2	54777323	54798811	3	10506	16045.089600000001	3296.2592
3_MACS_peak_12297_lociStitched	chr2	25624062	25645503	3	9155	31520.414099999998	3707.1489
2_MACS_peak_18671_lociStitched	chr5	32570958	32592304	2	15205	51352.0722	3771.8381999999997
4_MACS_peak_2306_lociStitched	chr1	230630876	230652193	4	6159	11645.4771	3845.5868
1_MACS_peak_10636_lociStitched	chr18	9101652	9122947	1	21296	56955.606999999996	4022.6255
1_MACS_peak_2539_lociStitched	chr10	11202613	11223905	1	21293	150547.2152	4786.4416
4_MACS_peak_3401_lociStitched	chr10	112611836	112632939	4	14611	25963.0209	3811.2018000000003
4_MACS_peak_12685_lociStitched	chr2	65157556	65178600	4	12419	55444.6268	4412.9268
2_MACS_peak_14705_lociStitched	chr20	52194788	52215815	2	19916	31763.386199999997	3080.4555
2_MACS_peak_22549_lociStitched	chr7	150063691	150084635	2	19747	102353.328	5321.8704
4_MACS_peak_14722_lociStitched	chr20	52545938	52566859	4	9106	13588.189499999999	3516.8201
2_MACS_peak_1378_lociStitched	chr1	150532137	150553044	2	16424	73040.6952	5766.1506
4_MACS_peak_19796_lociStitched	chr5	180228395	180249301	4	14574	37850.313	3579.1072
4_MACS_peak_21034_lociStitched	chr6	135322933	135343833	4	10809	32771.200000000004	2762.9800000000005
4_MACS_peak_4681_lociStitched	chr11	120195666	120216541	4	8511	13547.875	3404.7125
4_MACS_peak_16113_lociStitched	chr3	46132665	46153507	4	10942	20744.0426	3199.247
3_MACS_peak_8107_lociStitched	chr15	89163705	89184539	3	13749	33759.4136	3579.2812000000004
4_MACS_peak_12674_lociStitched	chr2	64862730	64883516	4	11167	28009.135	3219.7514
3_MACS_peak_24314_lociStitched	chr9	112904331	112925108	3	18503	26791.9415	3903.9983
4_MACS_peak_20230_lociStitched	chr6	31743761	31764537	4	8800	32146.7048	3251.444
3_MACS_peak_19210_lociStitched	chr5	118657929	118678692	3	13357	25521.8796	3845.3076
4_MACS_peak_23641_lociStitched	chr8	146010310	146031015	4	9173	15365.1805	3387.3379999999997
4_MACS_peak_7181_lociStitched	chr14	94425246	94445910	4	8787	11024.243999999999	1948.6152
4_MACS_peak_15964_lociStitched	chr3	30682863	30703460	4	14484	19766.9409	3458.2363
2_MACS_peak_1452_lociStitched	chr1	154374322	154394887	2	16808	62217.350999999995	5569.0019999999995
3_MACS_peak_3320_lociStitched	chr10	104401207	104421763	3	10598	26967.416400000002	3245.7924000000003
4_MACS_peak_1814_lociStitched	chr1	183865279	183885831	4	9905	25178.255200000003	4496.777599999999
3_MACS_peak_12985_lociStitched	chr2	97504427	97524952	3	6820	16017.71	3251.1600000000003
5_MACS_peak_351_lociStitched	chr1	27147097	27167587	5	9929	18066.033	3108.333
1_MACS_peak_10637_lociStitched	chr18	9132369	9152856	1	20488	40000.8675	3482.7900000000004
3_MACS_peak_20445_lociStitched	chr6	44213320	44233775	3	10699	22942.327999999998	3675.7635
3_MACS_peak_205_lociStitched	chr1	17221287	17241638	3	9112	116784.2135	5539.5422
5_MACS_peak_13888_lociStitched	chr2	219743086	219763398	5	14688	34985.3888	3524.1319999999996
4_MACS_peak_17521_lociStitched	chr4	15767423	15787718	4	6318	8176.8555	3050.3385
4_MACS_peak_24586_lociStitched	chr9	134595149	134615383	4	8984	18576.8354	3085.685
3_MACS_peak_8319_lociStitched	chr16	2254701	2274863	3	6637	15014.6414	3014.219
3_MACS_peak_20845_lociStitched	chr6	109186459	109206564	3	7157	12627.950499999999	2881.0465000000004
4_MACS_peak_9380_lociStitched	chr17	7136665	7156735	4	11304	31951.440000000002	3080.745
5_MACS_peak_18657_lociStitched	chr5	32276125	32296177	5	9845	14182.779600000002	3468.9959999999996
2_MACS_peak_15259_lociStitched	chr22	23189932	23209969	2	16266	34567.8324	2003.7
5_MACS_peak_7065_lociStitched	chr14	77487929	77507809	5	13527	27474.159999999996	1787.212
3_MACS_peak_21555_lociStitched	chr7	29706287	29726153	3	8356	13375.7778	2666.0172000000002
4_MACS_peak_19622_lociStitched	chr5	158758142	158777997	4	5417	6824.1635	2839.265
5_MACS_peak_11119_lociStitched	chr19	2254580	2274390	5	13162	33821.613	4486.965
3_MACS_peak_17796_lociStitched	chr4	74454372	74474177	3	7551	17771.0265	2550.884
5_MACS_peak_25130_lociStitched	chrX	70837530	70857332	5	6980	8893.0782	1510.8926000000001
3_MACS_peak_10437_lociStitched	chr17	76163869	76183649	3	10308	25715.978	2935.352
3_MACS_peak_25488_lociStitched	chrX	153232735	153252500	3	11109	33598.5235	1674.0955
2_MACS_peak_15043_lociStitched	chr21	41324613	41344376	2	19604	73229.8202	5442.7302
4_MACS_peak_5685_lociStitched	chr12	92931042	92950771	4	8997	13526.2024	2833.0844
4_MACS_peak_3102_lociStitched	chr10	81946648	81966337	4	12971	32628.6108	3496.7664
3_MACS_peak_8475_lociStitched	chr16	12052292	12071975	3	13118	86024.5515	3997.6173
4_MACS_peak_4888_lociStitched	chr12	6432252	6451932	4	7933	14037.744	3016.944
4_MACS_peak_13737_lociStitched	chr2	202040254	202059931	4	10943	13775.867699999999	3404.1209999999996
4_MACS_peak_4146_lociStitched	chr11	65306991	65326660	4	6469	10581.922	2968.0521000000003
4_MACS_peak_20279_lociStitched	chr6	33376982	33396649	4	9037	14504.4125	2995.2841
3_MACS_peak_244_lociStitched	chr1	22099672	22119319	3	6747	26794.578599999997	2917.5795
3_MACS_peak_21883_lociStitched	chr7	74057214	74076857	3	10428	26099.6541	2687.1624
1_MACS_peak_420_lociStitched	chr1	31213786	31233392	1	19607	77996.5892	4313.32
4_MACS_peak_15569_lociStitched	chr22	39909951	39929536	4	13009	38345.4715	3950.2945
3_MACS_peak_4413_lociStitched	chr11	82764926	82784477	3	10463	32149.6644	3785.0735999999997
4_MACS_peak_3380_lociStitched	chr10	111967037	111986579	4	10079	13630.545	3157.9872
4_MACS_peak_19953_lociStitched	chr6	11714086	11733599	4	9749	17912.934	2958.1708000000003
5_MACS_peak_1017_lociStitched	chr1	93409372	93428871	5	13176	14828.9895	1698.3628999999999
6_MACS_peak_18784_lociStitched	chr5	55272598	55292007	6	14217	24331.1224	3239.3621
4_MACS_peak_12814_lociStitched	chr2	74681422	74700821	4	8951	21560.0486	2948.648
4_MACS_peak_588_lociStitched	chr1	40839074	40858402	4	12944	26104.396800000002	3299.2895999999996
3_MACS_peak_10298_lociStitched	chr17	70582477	70601773	3	13193	28426.8672	3409.6032
2_MACS_peak_19040_lociStitched	chr5	88111517	88130802	2	19283	31770.109	3286.1639999999998
3_MACS_peak_11387_lociStitched	chr19	12898988	12918270	3	9830	19571.23	3252.8734
4_MACS_peak_3085_lociStitched	chr10	81001324	81020582	4	14280	37751.4574	3333.5598
4_MACS_peak_4121_lociStitched	chr11	64845501	64864708	4	9646	22940.840799999998	3259.4278999999997
4_MACS_peak_5850_lociStitched	chr12	109161889	109181093	4	9651	34674.7424	3351.098
4_MACS_peak_13852_lociStitched	chr2	216765032	216784236	4	8191	10479.6228	2844.1124
5_MACS_peak_25353_lociStitched	chrX	128902327	128921351	5	12813	24424.9136	2280.9776
4_MACS_peak_5434_lociStitched	chr12	57021798	57040819	4	13987	23395.829999999998	3469.4304
4_MACS_peak_3624_lociStitched	chr11	3874403	3893314	4	8075	18067.5694	3090.0573999999997
3_MACS_peak_11066_lociStitched	chr19	1086728	1105638	3	7179	12741.557999999999	3672.322
2_MACS_peak_4312_lociStitched	chr11	72850795	72869694	2	12393	84247.9622	3738.2222
4_MACS_peak_11076_lociStitched	chr19	1258500	1277369	4	10904	32822.6255	4194.5787
4_MACS_peak_15068_lociStitched	chr21	43638912	43657621	4	10036	34026.0583	4054.2403
5_MACS_peak_11097_lociStitched	chr19	1847043	1865727	5	11214	39572.712	3654.5904
3_MACS_peak_1612_lociStitched	chr1	161423695	161442337	3	10741	8176.3812	8073.8502
4_MACS_peak_9335_lociStitched	chr17	4692592	4711224	4	6907	10234.5576	2174.3544
3_MACS_peak_7915_lociStitched	chr15	74827407	74846018	3	10548	28813.5502	3109.8981
4_MACS_peak_16359_lociStitched	chr3	66533150	66551728	4	9534	10992.6026	2651.0806
5_MACS_peak_8823_lociStitched	chr16	50714147	50732704	5	9793	11915.4497	2974.6871
3_MACS_peak_16796_lociStitched	chr3	133181748	133200298	3	13893	52336.97	3628.38
3_MACS_peak_17833_lociStitched	chr4	77117822	77136369	3	11666	36745.3164	3536.9129000000003
3_MACS_peak_16228_lociStitched	chr3	50357895	50376402	3	7785	37900.4853	3140.6378999999997
3_MACS_peak_15053_lociStitched	chr21	43236762	43255261	3	6626	13210.1359	2869.1949
1_MACS_peak_17635_lociStitched	chr4	40191197	40209691	1	18495	66043.9234	4314.6502
3_MACS_peak_21693_lociStitched	chr7	44661792	44680281	3	14952	40487.2122	3318.7754999999997
3_MACS_peak_391_lociStitched	chr1	28558711	28577106	3	9864	22355.4435	3397.5565
4_MACS_peak_11285_lociStitched	chr19	9928587	9946973	4	8567	17023.5974	2645.7454
5_MACS_peak_3344_lociStitched	chr10	105249899	105268219	5	10798	19421.032	3156.536
3_MACS_peak_10541_lociStitched	chr17	80405722	80424033	3	8863	37636.4294	3620.0847
3_MACS_peak_24367_lociStitched	chr9	117263296	117281587	3	7811	11592.8358	2974.1166
5_MACS_peak_4983_lociStitched	chr12	11901807	11920089	5	10622	19952.9748	3208.491
3_MACS_peak_10511_lociStitched	chr17	79868301	79886564	3	8207	13191.3649	2381.4952
2_MACS_peak_9825_lociStitched	chr17	38465634	38483892	2	17460	52575.7368	3666.2064
5_MACS_peak_8684_lociStitched	chr16	29815365	29833619	5	13186	33527.1218	3555.8792
4_MACS_peak_530_lociStitched	chr1	38140924	38159159	4	9347	15016.522500000001	2866.542
3_MACS_peak_11297_lociStitched	chr19	10329685	10347894	3	9127	22870.504	3000.8432000000003
4_MACS_peak_14322_lociStitched	chr20	23329861	23348000	4	9495	27661.975	2967.5404
4_MACS_peak_23632_lociStitched	chr8	145687001	145705136	4	7484	7747.272000000001	2754.7065000000002
4_MACS_peak_4046_lociStitched	chr11	62308119	62326229	4	11302	19656.593999999997	3395.625
3_MACS_peak_14803_lociStitched	chr20	61273054	61291151	3	13682	47958.8597	2908.1879000000004
4_MACS_peak_12884_lociStitched	chr2	86290487	86308567	4	9122	13413.552	2717.424
3_MACS_peak_24654_lociStitched	chr9	139964367	139982431	3	5799	9993.0048	2126.1328
5_MACS_peak_7488_lociStitched	chr15	40063076	40081094	5	7537	6938.7318	2758.5558
2_MACS_peak_7708_lociStitched	chr15	56648184	56666188	2	11672	46131.6492	2794.2208
3_MACS_peak_4247_lociStitched	chr11	67760479	67778465	3	10508	30189.501	3284.2436000000002
4_MACS_peak_23994_lociStitched	chr9	71251262	71269237	4	8107	9010.8675	2820.2775
3_MACS_peak_8192_lociStitched	chr15	93346403	93364376	3	9266	33623.8884	2956.5585
3_MACS_peak_5544_lociStitched	chr12	68752108	68770060	3	8685	28335.4368	3145.1904
3_MACS_peak_19963_lociStitched	chr6	12044253	12062202	3	6483	11876.853299999999	2871.84
4_MACS_peak_13068_lociStitched	chr2	109221017	109238961	4	8776	13946.0768	2790.292
3_MACS_peak_15326_lociStitched	chr22	27053174	27071115	3	8191	18599.434699999998	3272.4384
3_MACS_peak_23508_lociStitched	chr8	131011742	131029678	3	5716	6171.7776	2157.7008
3_MACS_peak_3502_lociStitched	chr10	126420611	126438544	3	7555	11520.1592	2489.1004000000003
3_MACS_peak_2521_lociStitched	chr10	6954666	6972559	3	7443	35580.2305	2621.3244999999997
4_MACS_peak_12030_lociStitched	chr19	54872965	54890829	4	7220	8681.904	2152.612
