REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
5_MACS_peak_7843_lociStitched	chr15	68568808	68599511	5	26246	58691.8548	5587.946	26	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	1.5176	26	1
6_MACS_peak_9731_lociStitched	chr17	34509755	34540081	6	25940	99147.8244	7460.196	27	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	3.6716	27	1
5_MACS_peak_15261_lociStitched	chr22	23217787	23249030	5	25856	158442.6259	4495.8677	28	IGLL5		IGLL5	IGLL5	8.0933	28	1
7_MACS_peak_4918_lociStitched	chr12	7045500	7085705	7	25806	77812.757	7679.155	29	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	2.1647000000000003	29	1
3_MACS_peak_7285_lociStitched	chr14	106024682	106052638	3	25474	129643.1544	4819.6144	30		TMEM121	TMEM121	TMEM121	0.0953	30	1
7_MACS_peak_10317_lociStitched	chr17	72733359	72781015	7	25141	42418.6056	7486.7576	31	RAB37,SLC9A3R1,MIR3615,TMEM104,NAT9	CD300LF	SLC9A3R1	SLC9A3R1	0.8379	31	1
5_MACS_peak_18530_lociStitched	chr5	1311809	1346330	5	25067	230403.5103	7194.1764	32	CLPTM1L	TERT	CLPTM1L	CLPTM1L	5.8615	32	1
1_MACS_peak_20799_lociStitched	chr6	106530950	106556011	1	25062	107546.7754	4814.2181	33	PRDM1		PRDM1	PRDM1	3.0728	33	1
2_MACS_peak_5361_lociStitched	chr12	53573155	53603950	2	24771	151668.4545	6593.2095	34	ZNF740,CSAD,ITGB7	MFSD5,RARG	ITGB7	ITGB7	5.357799999999999	34	1
4_MACS_peak_15786_lociStitched	chr3	5222462	5256700	4	24607	54222.7206	5923.174	35	ARL8B,EDEM1		EDEM1	EDEM1	1.0722	35	1
5_MACS_peak_14348_lociStitched	chr20	25261611	25303060	5	24491	122274.55	6805.9258	36	PYGB,ABHD12		PYGB	PYGB	1.1388	36	1
9_MACS_peak_9084_lociStitched	chr16	78768478	78804917	9	24188	24596.325	3618.3927	37	WWOX		WWOX	WWOX	0.0092	37	1
6_MACS_peak_2545_lociStitched	chr10	11278958	11313069	6	24091	61430.4999	5778.4034	38	CELF2		CELF2	CELF2	1.1845999999999999	38	1
6_MACS_peak_21772_lociStitched	chr7	55616398	55642892	6	23139	49745.1344	4615.2548	39	VOPP1		VOPP1	VOPP1	1.3921000000000001	39	1
6_MACS_peak_17171_lociStitched	chr3	183228354	183261440	6	22898	72560.9066	8876.9738	40	KLHL6		KLHL6	KLHL6	1.1319000000000001	40	1
7_MACS_peak_15473_lociStitched	chr22	37611146	37642097	7	22662	54303.5295	5883.7851	41	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.0571	41	1
6_MACS_peak_6040_lociStitched	chr12	123355176	123387107	6	21827	42075.4787	2720.5212	42	VPS37B	HIP1R	VPS37B	VPS37B	0.9057	42	1
5_MACS_peak_7924_lociStitched	chr15	75065457	75093155	5	21819	44721.1908	4944.093	43	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.1755	43	1
2_MACS_peak_1519_lociStitched	chr1	156115330	156137180	2	21816	112289.335	6139.85	44	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.8695	44	1
5_MACS_peak_9691_lociStitched	chr17	32690552	32719609	5	21787	68339.1583	5538.2642	45		CCL8,CCL13,CCL1	CCL1	CCL1	0.6182	45	1
4_MACS_peak_11464_lociStitched	chr19	16243499	16273211	4	21384	60086.5776	4955.9616	46	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.5905	46	1
1_MACS_peak_10636_lociStitched	chr18	9101652	9122947	1	21296	56955.607	4022.6255	47	NDUFV2	ANKRD12	NDUFV2	NDUFV2	1.7973	47	1
1_MACS_peak_2539_lociStitched	chr10	11202613	11223905	1	21293	150547.2152	4786.4416	48	CELF2		CELF2	CELF2	1.1845999999999999	48	1
2_MACS_peak_12251_lociStitched	chr2	20404090	20426296	2	21182	72247.221	4541.127	49	SDC1		SDC1	SDC1	1.9753999999999998	49	1
2_MACS_peak_3801_lociStitched	chr11	22677205	22703790	2	21077	64795.6205	3708.6075	50	GAS2	FANCF	GAS2	FANCF	0.6919	50	1
3_MACS_peak_1530_lociStitched	chr1	156450597	156476022	3	20950	61744.6125	6859.665	51	MEF2D		MEF2D	MEF2D	1.1708	51	1
4_MACS_peak_19303_lociStitched	chr5	131744862	131773925	4	20925	67818.5105	5298.1849	52	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	1.4487	52	1
6_MACS_peak_23190_lociStitched	chr8	81048618	81084576	6	20795	28780.7832	5544.7236	53	TPD52		TPD52	TPD52	0.2424	53	1
4_MACS_peak_9477_lociStitched	chr17	16864032	16895401	4	20790	147870.3291	5960.11	54	TNFRSF13B		TNFRSF13B	TNFRSF13B	1.6505	54	1
4_MACS_peak_8863_lociStitched	chr16	56963511	56986023	4	20782	65377.0992	4880.6016	55	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	2.6638	55	1
5_MACS_peak_23410_lociStitched	chr8	120916818	120947677	5	20643	50216.8507	5264.5454	56	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.37360000000000004	56	1
1_MACS_peak_10637_lociStitched	chr18	9132369	9152856	1	20488	40000.8675	3482.79	57	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.24480000000000002	57	1
4_MACS_peak_22138_lociStitched	chr7	102063624	102093328	4	19973	113490.0728	4817.9888	58	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.8718	58	1
2_MACS_peak_14705_lociStitched	chr20	52194788	52215815	2	19916	31763.3862	3080.4555	59	ZNF217		ZNF217	ZNF217	0.5577	59	1
4_MACS_peak_5842_lociStitched	chr12	109009598	109036292	4	19890	115035.1236	5506.9722	60	SELPLG	TMEM119	SELPLG	SELPLG	4.7389	60	1
3_MACS_peak_7293_lociStitched	chr14	106145151	106169317	3	19866	91707.5534	2890.2536	61			TMEM121	TMEM121	0.0953	61	1
2_MACS_peak_22549_lociStitched	chr7	150063691	150084635	2	19747	102353.328	5321.8704	62	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	2.6293	62	1
4_MACS_peak_4769_lociStitched	chr11	128585252	128609797	4	19722	42565.939	4830.456	63	FLI1		FLI1	FLI1	0.4272	63	1
5_MACS_peak_2017_lociStitched	chr1	206272162	206307576	5	19705	83516.8362	7890.2392	64	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	1.0277	64	1
1_MACS_peak_420_lociStitched	chr1	31213786	31233392	1	19607	77996.5892	4313.32	65	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	2.1114	65	1
2_MACS_peak_15043_lociStitched	chr21	41324613	41344376	2	19604	73229.8202	5442.7302	66			PCP4	PCP4	0.20879999999999999	66	1
6_MACS_peak_18433_lociStitched	chr4	185317570	185350078	6	19576	44516.4552	5272.7976	67	IRF2		IRF2	IRF2	1.2163	67	1
2_MACS_peak_4138_lociStitched	chr11	65183276	65209397	2	19484	144540.5535	6498.9048	68	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	9.142	68	1
2_MACS_peak_19040_lociStitched	chr5	88111517	88130802	2	19283	31770.109	3286.164	69	MEF2C		MEF2C	MEF2C	0.35119999999999996	69	1
4_MACS_peak_16374_lociStitched	chr3	69128448	69155266	4	19151	30092.4778	4121.9266	70	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	0.8117000000000001	70	1
9_MACS_peak_21080_lociStitched	chr6	138247146	138297449	9	19131	34281.4945	7706.4196	71			TNFAIP3	TNFAIP3	0.7924	71	1
4_MACS_peak_11138_lociStitched	chr19	2594906	2629028	4	19113	215883.0696	8445.195	72	GNG7		GNG7	GNG7	1.0737999999999999	72	1
3_MACS_peak_10448_lociStitched	chr17	76711075	76733809	3	18871	39209.3298	4055.7456	73	CYTH1		CYTH1	CYTH1	0.6013999999999999	73	1
5_MACS_peak_3688_lociStitched	chr11	10314689	10345091	5	18830	49415.4108	5229.144	74	ADM,SBF2		ADM	ADM	2.577	74	1
3_MACS_peak_10135_lociStitched	chr17	56405190	56430920	3	18819	81942.331	5318.391	75	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	2.6395999999999997	75	1
6_MACS_peak_12974_lociStitched	chr2	97190703	97220638	6	18515	79621.113	5373.3325	76	ARID5A	NEURL3	ARID5A	ARID5A	1.8076999999999999	76	1
3_MACS_peak_22628_lociStitched	chr8	2027255	2050915	3	18507	160204.226	4261.166	77	MYOM2		MYOM2	MYOM2	1.8485	77	1
3_MACS_peak_24314_lociStitched	chr9	112904331	112925108	3	18503	26791.9415	3903.9983	78	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.24910000000000002	78	1
1_MACS_peak_17635_lociStitched	chr4	40191197	40209691	1	18495	66043.9234	4314.6502	79	RHOH		RHOH	RHOH	1.0574	79	1
3_MACS_peak_22827_lociStitched	chr8	27208609	27239269	3	18447	40149.27	5705.826	80	PTK2B	TRIM35	PTK2B	PTK2B	0.41459999999999997	80	1
4_MACS_peak_2024_lociStitched	chr1	206728035	206754654	4	18256	44517.6156	7125.9063	81	RASSF5	LGTN	RASSF5	RASSF5	0.41779999999999995	81	1
8_MACS_peak_7198_lociStitched	chr14	95946036	95985778	8	18243	24802.9822	3238.973	82		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	SCARNA13	0.2881	82	1
3_MACS_peak_11733_lociStitched	chr19	39880550	39904130	3	18065	88498.098	4772.592	83	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	5.0794999999999995	83	1
4_MACS_peak_15111_lociStitched	chr21	45552504	45580510	4	17816	115325.9074	7113.524	84	C21orf33	PWP2	C21orf33	C21orf33	1.7751000000000001	84	1
2_MACS_peak_4143_lociStitched	chr11	65254515	65278873	2	17611	79078.247	4803.3976	85	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	3.7896	85	1
2_MACS_peak_9825_lociStitched	chr17	38465634	38483892	2	17460	52575.7368	3666.2064	86	RARA	CDC6,RARA,GJD3	RARA	RARA	0.8712	86	1
4_MACS_peak_13670_lociStitched	chr2	197024431	197048660	4	17099	32869.0614	4038.9743	87	STK17B		STK17B	STK17B	0.39249999999999996	87	1
4_MACS_peak_7513_lociStitched	chr15	40834140	40862699	4	17009	51511.8683	5069.2225	88	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.1995	88	1
4_MACS_peak_14204_lociStitched	chr20	5570476	5592534	4	16966	27058.5486	3756.4774	89	GPCPD1		GPCPD1	GPCPD1	0.30219999999999997	89	1
4_MACS_peak_9726_lociStitched	chr17	34408945	34432625	4	16949	52155.2	4676.8	90	CCL4,CCL3	CCL18	CCL3	CCL3	3.0812	90	1
2_MACS_peak_1452_lociStitched	chr1	154374322	154394887	2	16808	62217.351	5569.002	91	IL6R		IL6R	IL6R	0.806	91	1
4_MACS_peak_10632_lociStitched	chr18	9055122	9085175	4	16718	86086.8185	4853.5595	92		NDUFV2	NDUFV2	NDUFV2	1.7973	92	1
4_MACS_peak_15841_lociStitched	chr3	13035675	13061367	4	16660	72261.3192	5138.4	93	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.3579	93	1
6_MACS_peak_21634_lociStitched	chr7	38383504	38408383	6	16556	21891.0321	4560.3207	94			TARP	TARP	NONE	94	1
2_MACS_peak_1378_lociStitched	chr1	150532137	150553044	2	16424	73040.6952	5766.1506	95	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	0.9612	95	1
4_MACS_peak_1354_lociStitched	chr1	149802885	149834070	4	16423	69508.2465	7768.1835	96	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AB	2.4402	96	1
3_MACS_peak_7499_lociStitched	chr15	40386980	40408975	3	16399	44300.1295	4196.646	97	BMF	BUB1B	BMF	BMF	1.3797	97	1
2_MACS_peak_15259_lociStitched	chr22	23189932	23209969	2	16266	34567.8324	2003.7	98		MIR650,IGLL5	IGLL5	IGLL5	8.0933	98	1
3_MACS_peak_19309_lociStitched	chr5	131813048	131837701	3	16204	27640.9436	4398.0952	99	IRF1	IL5	IRF1	IRF1	0.5199	99	1
5_MACS_peak_24488_lociStitched	chr9	130532080	130566596	5	16155	32313.8792	5056.594	100	CDK9,MIR2861,FPGS,SH2D3C	TOR2A,SH2D3C	CDK9	CDK9	0.4838	100	1
6_MACS_peak_8703_lociStitched	chr16	30193689	30223861	6	16105	32618.9492	6652.926	101	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	1.0667	101	1
5_MACS_peak_17064_lociStitched	chr3	171802018	171826944	5	16089	41626.42	5825.2062	102	FNDC3B		FNDC3B	FNDC3B	0.11000000000000001	102	1
3_MACS_peak_7096_lociStitched	chr14	81930690	81953247	3	16050	30012.0885	1928.6235	103	SEL1L		SEL1L	SEL1L	0.4597	103	1
2_MACS_peak_15266_lociStitched	chr22	23269436	23285969	2	15892	136046.7504	3908.4012	104		IGLL5	IGLL5	IGLL5	8.0933	104	1
3_MACS_peak_15286_lociStitched	chr22	24176797	24200981	3	15877	122936.9456	4476.4584	105	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	1.3451	105	1
6_MACS_peak_13741_lociStitched	chr2	202072938	202101822	6	15862	23023.4364	4762.9716	106	CASP10,CASP8	CASP8	CASP8	CASP8	0.7518	106	1
7_MACS_peak_23467_lociStitched	chr8	126285477	126316096	7	15774	34709.6984	4467.3121	107	NSMCE2		TRIB1	TRIB1	1.0371000000000001	107	1
5_MACS_peak_8585_lociStitched	chr16	22195230	22219278	5	15718	37998.2448	4381.5456	108	EEF2K		EEF2K	EEF2K	0.06540000000000001	108	1
5_MACS_peak_12928_lociStitched	chr2	88899144	88928377	5	15535	27487.7899	5077.7721	109	EIF2AK3		EIF2AK3	EIF2AK3	0.2801	109	1
3_MACS_peak_21768_lociStitched	chr7	55569012	55585884	3	15448	40003.512	2819.3112	110	VOPP1		VOPP1	VOPP1	1.3921000000000001	110	1
2_MACS_peak_5008_lociStitched	chr12	12866588	12881948	2	15239	90663.936	2466.816	111	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	5.8420000000000005	111	1
2_MACS_peak_18671_lociStitched	chr5	32570958	32592304	2	15205	51352.0722	3771.8382	112	SUB1		SUB1	SUB1	1.3415	112	1
2_MACS_peak_11113_lociStitched	chr19	2081609	2098368	2	15170	99647.3381	5193.6141	113	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	2.7016	113	1
5_MACS_peak_20072_lociStitched	chr6	25366235	25389793	5	14986	28745.4716	4139.1406	114	LRRC16A		LRRC16A	LRRC16A	0.3185	114	1
3_MACS_peak_21693_lociStitched	chr7	44661792	44680281	3	14952	40487.2122	3318.7755	115	OGDH	DDX56,TMED4	OGDH	TMED4	0.6927000000000001	115	1
6_MACS_peak_5440_lociStitched	chr12	57093781	57120120	6	14926	23452.2456	4166.8298	116	NACA	HSD17B6,PTGES3,PRIM1	NACA	PTGES3	0.927	116	1
1_MACS_peak_13735_lociStitched	chr2	201980006	201994862	1	14857	71351.8824	3112.332	117	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.2157	117	1
5_MACS_peak_19541_lociStitched	chr5	150513116	150538125	5	14742	26434.513	4371.5732	118	ANXA6		ANXA6	ANXA6	0.3493	118	1
5_MACS_peak_13888_lociStitched	chr2	219743086	219763398	5	14688	34985.3888	3524.132	119	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	1.3483	119	1
2_MACS_peak_5045_lociStitched	chr12	15100994	15116046	2	14660	20312.674	3031.4728	120	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	0.5920000000000001	120	1
4_MACS_peak_3401_lociStitched	chr10	112611836	112632939	4	14611	25963.0209	3811.2018	121	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	0.8595999999999999	121	1
1_MACS_peak_12211_lociStitched	chr2	11883630	11898209	1	14580	82447.1608	3141.7745	122	LPIN1		LPIN1	LPIN1	0.8746	122	1
4_MACS_peak_19796_lociStitched	chr5	180228395	180249301	4	14574	37850.313	3579.1072	123	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	1.062	123	1
5_MACS_peak_9952_lociStitched	chr17	43505020	43531598	5	14556	30027.8244	4119.59	124	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	SH3D20	0.5929	124	1
4_MACS_peak_11486_lociStitched	chr19	16693888	16717013	4	14546	75040.625	4673.5625	125	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.16160000000000002	125	1
4_MACS_peak_15964_lociStitched	chr3	30682863	30703460	4	14484	19766.9409	3458.2363	126	TGFBR2		TGFBR2	TGFBR2	0.18880000000000002	126	1
5_MACS_peak_24574_lociStitched	chr9	134127041	134153118	5	14379	30374.4896	4281.8434	127	FAM78A	PPAPDC3	FAM78A	FAM78A	0.7889999999999999	127	1
2_MACS_peak_5840_lociStitched	chr12	108952818	108970621	2	14352	59097.0585	3866.8116	128	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	3.225	128	1
8_MACS_peak_16120_lociStitched	chr3	46320116	46347128	8	14345	25696.5156	4167.9516	129		CCR3,CCR2	CCR3	CCR2	0.7015	129	1
5_MACS_peak_20235_lociStitched	chr6	31783187	31804829	5	14301	26576.376	3510.3324	130	HSPA1A,HSPA1B,C6orf48,SNORD48	SNORD52,C6orf27,VARS,LSM2,HSPA1L,NEU1,SLC44A4	HSPA1B	HSPA1B	1.1667	130	1
5_MACS_peak_23605_lociStitched	chr8	145001998	145027676	5	14292	28161.0626	3507.6148	131	PLEC,MIR661	GRINA,PARP10	PLEC	PARP10	0.4667	131	1
4_MACS_peak_3085_lociStitched	chr10	81001324	81020582	4	14280	37751.4574	3333.5598	132	ZMIZ1		PPIF	PPIF	NONE	132	1
6_MACS_peak_18784_lociStitched	chr5	55272598	55292007	6	14217	24331.1224	3239.3621	133	IL6ST		IL6ST	IL6ST	0.3084	133	1
2_MACS_peak_15513_lociStitched	chr22	38700830	38715120	2	14213	26056.386	2609.354	134	CSNK1E	TMEM184B	CSNK1E	CSNK1E	0.6631	134	1
4_MACS_peak_19753_lociStitched	chr5	176717118	176740510	4	14157	40180.4384	4138.0448	135	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	1.9779	135	1
3_MACS_peak_16752_lociStitched	chr3	129026493	129048528	3	14095	41278.1655	3926.637	136	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.7647	136	1
4_MACS_peak_5434_lociStitched	chr12	57021798	57040819	4	13987	23395.83	3469.4304	137	BAZ2A,ATP5B,SNORD59B,SNORD59A	PTGES3	BAZ2A	PTGES3	0.927	137	1
1_MACS_peak_15337_lociStitched	chr22	29185679	29199591	1	13913	77257.5096	2814.3976	138	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.6497	138	1
3_MACS_peak_16796_lociStitched	chr3	133181748	133200298	3	13893	52336.97	3628.38	139	BFSP2		BFSP2	BFSP2	0.6273	139	1
1_MACS_peak_21956_lociStitched	chr7	78114164	78128047	1	13884	33855.0838	2408.7005	140	MAGI2		RPL13AP17	RPL13AP17	NONE	140	1
2_MACS_peak_5101_lociStitched	chr12	26265856	26280344	2	13871	44943.2248	2544.0928	141	BHLHE41		BHLHE41	BHLHE41	2.2699000000000003	141	1
5_MACS_peak_17842_lociStitched	chr4	77608723	77624720	5	13841	18556.52	2468.3371	142	SHROOM3		ANKRD56	ANKRD56	NONE	142	1
4_MACS_peak_18798_lociStitched	chr5	55437022	55453653	4	13783	33343.4919	2893.794	143	ANKRD55		ANKRD55	ANKRD55	0.20650000000000002	143	1
3_MACS_peak_8107_lociStitched	chr15	89163705	89184539	3	13749	33759.4136	3579.2812	144	AEN,ISG20	MIR1179,MIR7-2	ISG20	ISG20	0.7313	144	1
2_MACS_peak_19042_lociStitched	chr5	88171090	88187010	2	13684	37305.336	2647.496	145	MEF2C		MEF2C	MEF2C	0.35119999999999996	145	1
3_MACS_peak_14803_lociStitched	chr20	61273054	61291151	3	13682	47958.8597	2908.1879	146	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	SLCO4A1	1.1332	146	1
4_MACS_peak_21217_lociStitched	chr6	157976615	157999651	4	13672	37986.364	1868.2196	147	ZDHHC14	MIR3692	MIR3692	MIR3692	0.0020999999999999977	147	1
2_MACS_peak_16476_lociStitched	chr3	98479714	98495637	2	13626	41947.5512	2740.3483	148	ST3GAL6		ST3GAL6	ST3GAL6	0.783	148	1
4_MACS_peak_8118_lociStitched	chr15	89646826	89674897	4	13625	47922.8112	4555.9233	149	ABHD2		ABHD2	ABHD2	0.37440000000000007	149	1
3_MACS_peak_10402_lociStitched	chr17	75078918	75093182	3	13610	39267.3656	3021.1152	150	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	2.4461	150	1
1_MACS_peak_15516_lociStitched	chr22	38782066	38795659	1	13594	30438.8049	2055.2616	151	LOC400927	KCNJ4	LOC400927	LOC400927	0.5188	151	1
6_MACS_peak_4095_lociStitched	chr11	63992494	64020070	6	13539	27545.6664	4690.6776	152	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	C11orf20	1.1887	152	1
5_MACS_peak_7065_lociStitched	chr14	77487929	77507809	5	13527	27474.16	1787.212	153	C14orf4		C14orf4	C14orf4	1.3300999999999998	153	1
4_MACS_peak_14586_lociStitched	chr20	43583552	43609085	4	13432	21866.4612	4072.5135	154	STK4,TOMM34	PABPC1L	STK4	STK4	0.22629999999999997	154	1
4_MACS_peak_24503_lociStitched	chr9	130828900	130845829	4	13367	24623.2305	3164.0301	155	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	LOC389791	0.9671	155	1
