#14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23_ROSE/14_0EX0_0229Kronos_MM1S-KB-1hr-2_H3K27Ac_hs-dm_i23_peaks_7KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam
#Using cutoff of 21564.0092 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	isSuperStretch
6_MACS_peak_7406_lociStitched	chr15	31616905	31660471	6	28473	65823.8694	7410.5766	33	1
6_MACS_peak_10210_lociStitched	chr17	62150187	62186640	6	28318	56844.8082	5909.0313	34	1
1_MACS_peak_14003_lociStitched	chr2	232686851	232714980	1	28130	55132.84	3277.0285	35	1
1_MACS_peak_5376_lociStitched	chr12	53845927	53874834	1	28908	39839.6274	5070.2878	36	1
4_MACS_peak_3483_lociStitched	chr10	125822284	125854645	4	27270	67521.2265	5812.0356	37	1
2_MACS_peak_1519_lociStitched	chr1	156115330	156137180	2	21816	112289.335	6139.85	38	1
7_MACS_peak_4918_lociStitched	chr12	7045500	7085705	7	25806	77812.757	7679.155	39	1
2_MACS_peak_15266_lociStitched	chr22	23269436	23285969	2	15892	136046.7504	3908.4012	40	1
5_MACS_peak_7843_lociStitched	chr15	68568808	68599511	5	26246	58691.8548	5587.946	42	1
4_MACS_peak_5842_lociStitched	chr12	109009598	109036292	4	19890	115035.1236	5506.9722	43	1
4_MACS_peak_22138_lociStitched	chr7	102063624	102093328	4	19973	113490.0728	4817.9888	44	1
3_MACS_peak_15286_lociStitched	chr22	24176797	24200981	3	15877	122936.9456	4476.4584	45	1
4_MACS_peak_15111_lociStitched	chr21	45552504	45580510	4	17816	115325.9074	7113.524	46	1
2_MACS_peak_22549_lociStitched	chr7	150063691	150084635	2	19747	102353.328	5321.8704	47	1
4_MACS_peak_15786_lociStitched	chr3	5222462	5256700	4	24607	54222.7206	5923.174	48	1
6_MACS_peak_2545_lociStitched	chr10	11278958	11313069	6	24091	61430.4999	5778.4034	49	1
7_MACS_peak_10317_lociStitched	chr17	72733359	72781015	7	25141	42418.6056	7486.7576	50	1
6_MACS_peak_17171_lociStitched	chr3	183228354	183261440	6	22898	72560.9066	8876.9738	51	1
3_MACS_peak_7293_lociStitched	chr14	106145151	106169317	3	19866	91707.5534	2890.2536	52	1
5_MACS_peak_9691_lociStitched	chr17	32690552	32719609	5	21787	68339.1583	5538.2642	53	1
6_MACS_peak_21772_lociStitched	chr7	55616398	55642892	6	23139	49745.1344	4615.2548	54	1
2_MACS_peak_12251_lociStitched	chr2	20404090	20426296	2	21182	72247.221	4541.127	56	1
7_MACS_peak_15473_lociStitched	chr22	37611146	37642097	7	22662	54303.5295	5883.7851	57	1
5_MACS_peak_2017_lociStitched	chr1	206272162	206307576	5	19705	83516.8362	7890.2392	58	1
2_MACS_peak_3801_lociStitched	chr11	22677205	22703790	2	21077	64795.6205	3708.6075	59	1
4_MACS_peak_19303_lociStitched	chr5	131744862	131773925	4	20925	67818.5105	5298.1849	60	1
1_MACS_peak_420_lociStitched	chr1	31213786	31233392	1	19607	77996.5892	4313.32	61	1
4_MACS_peak_11464_lociStitched	chr19	16243499	16273211	4	21384	60086.5776	4955.9616	62	1
3_MACS_peak_11733_lociStitched	chr19	39880550	39904130	3	18065	88498.098	4772.592	63	1
4_MACS_peak_8863_lociStitched	chr16	56963511	56986023	4	20782	65377.0992	4880.6016	64	1
1_MACS_peak_10636_lociStitched	chr18	9101652	9122947	1	21296	56955.607	4022.6255	65	1
3_MACS_peak_10135_lociStitched	chr17	56405190	56430920	3	18819	81942.331	5318.391	66	1
3_MACS_peak_1530_lociStitched	chr1	156450597	156476022	3	20950	61744.6125	6859.665	67	1
2_MACS_peak_15043_lociStitched	chr21	41324613	41344376	2	19604	73229.8202	5442.7302	68	1
5_MACS_peak_7924_lociStitched	chr15	75065457	75093155	5	21819	44721.1908	4944.093	69	1
6_MACS_peak_6040_lociStitched	chr12	123355176	123387107	6	21827	42075.4787	2720.5212	70	1
6_MACS_peak_12974_lociStitched	chr2	97190703	97220638	6	18515	79621.113	5373.3325	71	1
2_MACS_peak_11113_lociStitched	chr19	2081609	2098368	2	15170	99647.3381	5193.6141	72	1
5_MACS_peak_23410_lociStitched	chr8	120916818	120947677	5	20643	50216.8507	5264.5454	74	1
4_MACS_peak_10632_lociStitched	chr18	9055122	9085175	4	16718	86086.8185	4853.5595	75	1
2_MACS_peak_4143_lociStitched	chr11	65254515	65278873	2	17611	79078.247	4803.3976	76	1
2_MACS_peak_5008_lociStitched	chr12	12866588	12881948	2	15239	90663.936	2466.816	77	1
3_MACS_peak_205_lociStitched	chr1	17221287	17241638	3	9112	116784.2135	5539.5422	78	1
1_MACS_peak_17635_lociStitched	chr4	40191197	40209691	1	18495	66043.9234	4314.6502	79	1
1_MACS_peak_10637_lociStitched	chr18	9132369	9152856	1	20488	40000.8675	3482.79	80	1
6_MACS_peak_23190_lociStitched	chr8	81048618	81084576	6	20795	28780.7832	5544.7236	81	1
4_MACS_peak_4769_lociStitched	chr11	128585252	128609797	4	19722	42565.939	4830.456	82	1
6_MACS_peak_18433_lociStitched	chr4	185317570	185350078	6	19576	44516.4552	5272.7976	83	1
2_MACS_peak_14705_lociStitched	chr20	52194788	52215815	2	19916	31763.3862	3080.4555	84	1
4_MACS_peak_15841_lociStitched	chr3	13035675	13061367	4	16660	72261.3192	5138.4	85	1
5_MACS_peak_3688_lociStitched	chr11	10314689	10345091	5	18830	49415.4108	5229.144	86	1
2_MACS_peak_1378_lociStitched	chr1	150532137	150553044	2	16424	73040.6952	5766.1506	87	1
1_MACS_peak_12211_lociStitched	chr2	11883630	11898209	1	14580	82447.1608	3141.7745	88	1
2_MACS_peak_19040_lociStitched	chr5	88111517	88130802	2	19283	31770.109	3286.164	89	1
3_MACS_peak_10448_lociStitched	chr17	76711075	76733809	3	18871	39209.3298	4055.7456	90	1
4_MACS_peak_1354_lociStitched	chr1	149802885	149834070	4	16423	69508.2465	7768.1835	91	1
9_MACS_peak_21080_lociStitched	chr6	138247146	138297449	9	19131	34281.4945	7706.4196	92	1
4_MACS_peak_16374_lociStitched	chr3	69128448	69155266	4	19151	30092.4778	4121.9266	93	1
3_MACS_peak_8475_lociStitched	chr16	12052292	12071975	3	13118	86024.5515	3997.6173	94	1
2_MACS_peak_1452_lociStitched	chr1	154374322	154394887	2	16808	62217.351	5569.002	95	1
2_MACS_peak_9825_lociStitched	chr17	38465634	38483892	2	17460	52575.7368	3666.2064	96	1
3_MACS_peak_22827_lociStitched	chr8	27208609	27239269	3	18447	40149.27	5705.826	97	1
4_MACS_peak_2024_lociStitched	chr1	206728035	206754654	4	18256	44517.6156	7125.9063	98	1
1_MACS_peak_6604_lociStitched	chr13	114556217	114568151	1	11935	88535.9592	3302.1378	99	1
1_MACS_peak_20077_lociStitched	chr6	25402935	25415161	1	12227	86041.6976	2525.8916	100	1
3_MACS_peak_2347_lociStitched	chr1	234734083	234749852	3	13000	83594.6228	3958.019	101	1
1_MACS_peak_15337_lociStitched	chr22	29185679	29199591	1	13913	77257.5096	2814.3976	102	1
4_MACS_peak_11486_lociStitched	chr19	16693888	16717013	4	14546	75040.625	4673.5625	103	1
1_MACS_peak_13735_lociStitched	chr2	201980006	201994862	1	14857	71351.8824	3112.332	104	1
2_MACS_peak_4312_lociStitched	chr11	72850795	72869694	2	12393	84247.9622	3738.2222	105	1
4_MACS_peak_9726_lociStitched	chr17	34408945	34432625	4	16949	52155.2	4676.8	106	1
3_MACS_peak_24314_lociStitched	chr9	112904331	112925108	3	18503	26791.9415	3903.9983	107	1
4_MACS_peak_7513_lociStitched	chr15	40834140	40862699	4	17009	51511.8683	5069.2225	108	1
1_MACS_peak_9946_lociStitched	chr17	43298152	43308710	1	10559	90172.7106	2372.3826	109	1
3_MACS_peak_7499_lociStitched	chr15	40386980	40408975	3	16399	44300.1295	4196.646	112	1
4_MACS_peak_13670_lociStitched	chr2	197024431	197048660	4	17099	32869.0614	4038.9743	113	1
1_MACS_peak_2252_lociStitched	chr1	226839514	226852526	1	13013	72429.9968	3994.684	114	1
2_MACS_peak_13145_lociStitched	chr2	112455670	112465597	2	9743	83544.6393	2323.9107	115	1
4_MACS_peak_14204_lociStitched	chr20	5570476	5592534	4	16966	27058.5486	3756.4774	116	1
2_MACS_peak_18671_lociStitched	chr5	32570958	32592304	2	15205	51352.0722	3771.8382	117	1
2_MACS_peak_5840_lociStitched	chr12	108952818	108970621	2	14352	59097.0585	3866.8116	118	1
5_MACS_peak_17064_lociStitched	chr3	171802018	171826944	5	16089	41626.42	5825.2062	119	1
2_MACS_peak_15259_lociStitched	chr22	23189932	23209969	2	16266	34567.8324	2003.7	120	1
5_MACS_peak_24488_lociStitched	chr9	130532080	130566596	5	16155	32313.8792	5056.594	121	1
5_MACS_peak_8585_lociStitched	chr16	22195230	22219278	5	15718	37998.2448	4381.5456	123	1
3_MACS_peak_7096_lociStitched	chr14	81930690	81953247	3	16050	30012.0885	1928.6235	124	1
3_MACS_peak_21768_lociStitched	chr7	55569012	55585884	3	15448	40003.512	2819.3112	125	1
6_MACS_peak_8703_lociStitched	chr16	30193689	30223861	6	16105	32618.9492	6652.926	126	1
3_MACS_peak_19309_lociStitched	chr5	131813048	131837701	3	16204	27640.9436	4398.0952	127	1
7_MACS_peak_23467_lociStitched	chr8	126285477	126316096	7	15774	34709.6984	4467.3121	128	1
2_MACS_peak_10406_lociStitched	chr17	75131339	75145408	2	11664	68926.8448	2840.5311	129	1
1_MACS_peak_10951_lociStitched	chr18	60821961	60831205	1	9245	78488.0308	1824.7656	130	1
2_MACS_peak_18564_lociStitched	chr5	6475635	6487512	2	10042	74973.5625	2343.3321	131	1
3_MACS_peak_16796_lociStitched	chr3	133181748	133200298	3	13893	52336.97	3628.38	132	1
3_MACS_peak_21693_lociStitched	chr7	44661792	44680281	3	14952	40487.2122	3318.7755	133	1
2_MACS_peak_4866_lociStitched	chr12	4216212	4229820	2	6963	84097.44	2963.8224	135	1
5_MACS_peak_12928_lociStitched	chr2	88899144	88928377	5	15535	27487.7899	5077.7721	136	1
2_MACS_peak_12748_lociStitched	chr2	70310274	70323273	2	8346	78303.3762	2523.1059	137	1
3_MACS_peak_14803_lociStitched	chr20	61273054	61291151	3	13682	47958.8597	2908.1879	138	1
4_MACS_peak_19796_lociStitched	chr5	180228395	180249301	4	14574	37850.313	3579.1072	139	1
2_MACS_peak_5101_lociStitched	chr12	26265856	26280344	2	13871	44943.2248	2544.0928	140	1
5_MACS_peak_13888_lociStitched	chr2	219743086	219763398	5	14688	34985.3888	3524.132	141	1
4_MACS_peak_8118_lociStitched	chr15	89646826	89674897	4	13625	47922.8112	4555.9233	142	1
3_MACS_peak_12542_lociStitched	chr2	47526802	47550728	3	11707	62784.2166	4641.644	143	1
5_MACS_peak_20072_lociStitched	chr6	25366235	25389793	5	14986	28745.4716	4139.1406	144	1
4_MACS_peak_7350_lociStitched	chr15	23660118	23682841	4	13119	51024.4965	3592.5063	145	1
3_MACS_peak_16752_lociStitched	chr3	129026493	129048528	3	14095	41278.1655	3926.637	146	1
4_MACS_peak_19753_lociStitched	chr5	176717118	176740510	4	14157	40180.4384	4138.0448	147	1
4_MACS_peak_3085_lociStitched	chr10	81001324	81020582	4	14280	37751.4574	3333.5598	148	1
2_MACS_peak_14523_lociStitched	chr20	37491151	37505689	2	8720	74703.513	2791.296	149	1
4_MACS_peak_12685_lociStitched	chr2	65157556	65178600	4	12419	55444.6268	4412.9268	150	1
2_MACS_peak_16476_lociStitched	chr3	98479714	98495637	2	13626	41947.5512	2740.3483	151	1
5_MACS_peak_10361_lociStitched	chr17	73850533	73875683	5	13046	48579.74	3792.62	153	1
5_MACS_peak_9952_lociStitched	chr17	43505020	43531598	5	14556	30027.8244	4119.59	154	1
5_MACS_peak_19541_lociStitched	chr5	150513116	150538125	5	14742	26434.513	4371.5732	155	1
1_MACS_peak_21771_lociStitched	chr7	55597709	55605991	1	8283	73155.7342	1692.8408	156	1
4_MACS_peak_3401_lociStitched	chr10	112611836	112632939	4	14611	25963.0209	3811.2018	157	1
4_MACS_peak_21217_lociStitched	chr6	157976615	157999651	4	13672	37986.364	1868.2196	158	1
5_MACS_peak_24574_lociStitched	chr9	134127041	134153118	5	14379	30374.4896	4281.8434	159	1
3_MACS_peak_1989_lociStitched	chr1	204474545	204491932	3	12360	52713.9066	4364.137	160	1
3_MACS_peak_10402_lociStitched	chr17	75078918	75093182	3	13610	39267.3656	3021.1152	161	1
2_MACS_peak_16143_lociStitched	chr3	46578547	46589503	2	7025	76400.5704	2019.1908	162	1
2_MACS_peak_19042_lociStitched	chr5	88171090	88187010	2	13684	37305.336	2647.496	163	1
1_MACS_peak_21956_lociStitched	chr7	78114164	78128047	1	13884	33855.0838	2408.7005	166	1
5_MACS_peak_23605_lociStitched	chr8	145001998	145027676	5	14292	28161.0626	3507.6148	167	1
1_MACS_peak_12485_lociStitched	chr2	43444278	43456943	1	12666	46459.0195	2331.6265	168	1
5_MACS_peak_20235_lociStitched	chr6	31783187	31804829	5	14301	26576.376	3510.3324	169	1
2_MACS_peak_15513_lociStitched	chr22	38700830	38715120	2	14213	26056.386	2609.354	172	1
4_MACS_peak_18798_lociStitched	chr5	55437022	55453653	4	13783	33343.4919	2893.794	173	1
3_MACS_peak_8107_lociStitched	chr15	89163705	89184539	3	13749	33759.4136	3579.2812	175	1
4_MACS_peak_15561_lociStitched	chr22	39823325	39845747	4	12377	47507.7336	4029.2334	177	1
1_MACS_peak_15516_lociStitched	chr22	38782066	38795659	1	13594	30438.8049	2055.2616	178	1
4_MACS_peak_15569_lociStitched	chr22	39909951	39929536	4	13009	38345.4715	3950.2945	180	1
3_MACS_peak_3326_lociStitched	chr10	104531462	104543128	3	10732	55527.8268	2473.192	181	1
3_MACS_peak_4287_lociStitched	chr11	71413794	71426668	3	10959	54303.8194	2764.0478	182	1
2_MACS_peak_5272_lociStitched	chr12	48201002	48214767	2	12968	36707.1255	2834.2135	183	1
5_MACS_peak_7065_lociStitched	chr14	77487929	77507809	5	13527	27474.16	1787.212	184	1
5_MACS_peak_8684_lociStitched	chr16	29815365	29833619	5	13186	33527.1218	3555.8792	185	1
4_MACS_peak_20091_lociStitched	chr6	26183616	26207198	4	13205	33842.5282	4275.4166	187	1
2_MACS_peak_20228_lociStitched	chr6	31694618	31709262	2	12146	44284.9204	2859.9732	188	1
2_MACS_peak_4608_lociStitched	chr11	115091070	115102375	2	8354	66191.9055	2052.988	189	1
5_MACS_peak_11119_lociStitched	chr19	2254580	2274390	5	13162	33821.613	4486.965	190	1
6_MACS_peak_4095_lociStitched	chr11	63992494	64020070	6	13539	27545.6664	4690.6776	191	1
3_MACS_peak_17239_lociStitched	chr3	186703270	186719955	3	12263	43386.0055	4101.173	193	1
4_MACS_peak_11938_lociStitched	chr19	48880463	48902443	4	12449	39950.848	2969.498	194	1
2_MACS_peak_7404_lociStitched	chr15	31546827	31561017	2	9785	59403.597	2708.871	195	1
2_MACS_peak_7708_lociStitched	chr15	56648184	56666188	2	11672	46131.6492	2794.2208	196	1
1_MACS_peak_20717_lociStitched	chr6	90059007	90071263	1	12257	40279.344	2474.4864	197	1
4_MACS_peak_3102_lociStitched	chr10	81946648	81966337	4	12971	32628.6108	3496.7664	198	1
2_MACS_peak_8916_lociStitched	chr16	66549252	66560143	2	10017	56916.366	2348.0996	199	1
2_MACS_peak_8600_lociStitched	chr16	23344127	23354053	2	7440	68329.5914	2218.461	200	1
3_MACS_peak_10298_lociStitched	chr17	70582477	70601773	3	13193	28426.8672	3409.6032	202	1
3_MACS_peak_19210_lociStitched	chr5	118657929	118678692	3	13357	25521.8796	3845.3076	203	1
4_MACS_peak_14752_lociStitched	chr20	55957937	55975530	4	12483	35887.9607	2973.217	206	1
1_MACS_peak_347_lociStitched	chr1	27018319	27030613	1	12295	34434.2646	2011.2984	208	1
4_MACS_peak_588_lociStitched	chr1	40839074	40858402	4	12944	26104.3968	3299.2896	209	1
1_MACS_peak_20263_lociStitched	chr6	32934808	32942916	1	8109	62512.68	1841.3268	210	1
4_MACS_peak_1237_lociStitched	chr1	143442734	143468734	4	12687	35653.8	9807.2	211	1
2_MACS_peak_2780_lociStitched	chr10	43890116	43905825	2	11803	38673.9871	2507.1564	212	1
5_MACS_peak_25353_lociStitched	chrX	128902327	128921351	5	12813	24424.9136	2280.9776	213	1
4_MACS_peak_4663_lociStitched	chr11	118954910	118979769	4	12530	30695.8932	4621.2881	215	1
2_MACS_peak_4743_lociStitched	chr11	126056560	126069116	2	7388	64600.62	2437.1196	217	1
5_MACS_peak_11091_lociStitched	chr19	1647817	1672926	5	11119	45276.5488	4373.9878	218	1
2_MACS_peak_8025_lociStitched	chr15	81584979	81597584	2	12524	27999.4865	2913.0155	219	1
1_MACS_peak_19958_lociStitched	chr6	11827872	11836607	1	8736	58037.087	1954.893	220	1
1_MACS_peak_4872_lociStitched	chr12	4377526	4388357	1	10832	44649.7144	1931.1673	222	1
4_MACS_peak_10453_lociStitched	chr17	76763478	76779598	4	12493	26572.208	2592.096	223	1
4_MACS_peak_11130_lociStitched	chr19	2455267	2480356	4	12225	31707.4782	4784.4723	224	1
2_MACS_peak_19307_lociStitched	chr5	131789989	131804263	2	12129	30680.5356	3097.458	227	1
3_MACS_peak_17833_lociStitched	chr4	77117822	77136369	3	11666	36745.3164	3536.9129	228	1
2_MACS_peak_14581_lociStitched	chr20	43270374	43282168	2	11752	34066.969	2468.4842	229	1
2_MACS_peak_15338_lociStitched	chr22	29207166	29221399	2	11414	37328.8891	2184.7655	231	1
2_MACS_peak_15320_lociStitched	chr22	26974709	26992360	2	12161	28582.2643	3014.7908	233	1
1_MACS_peak_13588_lociStitched	chr2	182168457	182180054	1	11598	34242.4619	1922.7826	235	1
2_MACS_peak_9340_lociStitched	chr17	4842031	4854569	2	10880	41500.78	2319.53	236	1
5_MACS_peak_11097_lociStitched	chr19	1847043	1865727	5	11214	39572.712	3654.5904	237	1
5_MACS_peak_24749_lociStitched	chrX	10065117	10090937	5	12280	24552.238	2241.176	238	1
3_MACS_peak_4567_lociStitched	chr11	111237752	111251224	3	11652	33130.3424	2469.4176	239	1
1_MACS_peak_3986_lociStitched	chr11	58339987	58348205	1	8219	56934.304	1520.33	240	1
2_MACS_peak_3783_lociStitched	chr11	19451332	19465858	2	11480	33870.2742	2746.8666	243	1
1_MACS_peak_22173_lociStitched	chr7	104651338	104658078	1	6741	61970.93	1363.502	245	1
3_MACS_peak_12469_lociStitched	chr2	42323613	42334568	3	9671	48622.672	2277.5445	246	1
3_MACS_peak_22166_lociStitched	chr7	104576402	104586846	3	8153	56889.5124	2179.6628	247	1
4_MACS_peak_2526_lociStitched	chr10	7511714	7535576	4	11613	32134.9554	3426.5832	248	1
2_MACS_peak_13747_lociStitched	chr2	202116234	202128316	2	10620	40843.201	2171.1354	249	1
2_MACS_peak_18424_lociStitched	chr4	185201333	185210995	2	8756	52930.3684	1872.4956	250	1
4_MACS_peak_10387_lociStitched	chr17	74476202	74498348	4	11547	32441.6754	3671.8068	251	1
2_MACS_peak_1540_lociStitched	chr1	156709453	156722773	2	11553	30801.168	3564.432	252	1
1_MACS_peak_19824_lociStitched	chr6	389059	400871	1	11813	25734.8044	2329.3264	253	1
3_MACS_peak_25488_lociStitched	chrX	153232735	153252500	3	11109	33598.5235	1674.0955	254	1
2_MACS_peak_24137_lociStitched	chr9	94181110	94192729	2	11475	29150.9091	1876.4685	255	1
4_MACS_peak_20350_lociStitched	chr6	37122310	37144192	4	11734	26538.4896	3179.4546	256	1
4_MACS_peak_9380_lociStitched	chr17	7136665	7156735	4	11304	31951.44	3080.745	257	1
2_MACS_peak_7793_lociStitched	chr15	65173631	65189389	2	9303	48203.722	2633.1618	258	1
2_MACS_peak_22254_lociStitched	chr7	114561626	114573736	2	9185	48369.762	2466.807	259	1
2_MACS_peak_8861_lociStitched	chr16	56943579	56952653	2	6904	58736.002	1685.9492	260	1
4_MACS_peak_18667_lociStitched	chr5	32530429	32543914	4	11402	28264.56	2701.0455	262	1
3_MACS_peak_849_lociStitched	chr1	66736688	66750362	3	10720	35977.6614	2573.4468	263	1
3_MACS_peak_17613_lociStitched	chr4	38307328	38322285	3	11319	27773.6533	2312.3522	266	1
4_MACS_peak_16508_lociStitched	chr3	101487744	101513170	4	11504	25802.3048	3928.317	267	1
3_MACS_peak_7919_lociStitched	chr15	74906533	74924294	3	11386	26376.8611	3351.5007	269	1
1_MACS_peak_19465_lociStitched	chr5	142774893	142785945	1	11053	28835.7732	1456.6536	271	1
4_MACS_peak_21034_lociStitched	chr6	135322933	135343833	4	10809	32771.2	2762.98	272	1
3_MACS_peak_24997_lociStitched	chrX	48790606	48805630	3	10597	34038.3744	1810.392	273	1
4_MACS_peak_11076_lociStitched	chr19	1258500	1277369	4	10904	32822.6255	4194.5787	274	1
3_MACS_peak_17042_lociStitched	chr3	169755050	169776644	3	11358	26808.951	4839.2154	276	1
4_MACS_peak_12674_lociStitched	chr2	64862730	64883516	4	11167	28009.135	3219.7514	277	1
2_MACS_peak_17244_lociStitched	chr3	186780208	186792454	2	8646	50261.2578	3648.0834	278	1
2_MACS_peak_20456_lociStitched	chr6	45386654	45402203	2	9790	40676.184	2172.1953	279	1
5_MACS_peak_12060_lociStitched	chr19	56145399	56168015	5	11017	29418.8928	3417.2776	280	1
4_MACS_peak_11417_lociStitched	chr19	13943931	13959304	4	10473	33860.5698	2255.2191	281	1
2_MACS_peak_14423_lociStitched	chr20	32461921	32473630	2	8064	51435.2952	2547.8784	282	1
3_MACS_peak_14867_lociStitched	chr21	19152094	19167841	3	11006	26510.0745	2368.3488	284	1
2_MACS_peak_14757_lociStitched	chr20	56047656	56058352	2	9530	41199.9224	2041.8664	285	1
3_MACS_peak_10234_lociStitched	chr17	62970447	62986157	3	8256	49915.383	3022.604	286	1
2_MACS_peak_19386_lociStitched	chr5	138719960	138730324	2	10218	34668.6164	2470.7776	288	1
4_MACS_peak_19034_lociStitched	chr5	87954665	87976825	4	9921	38372.256	3463.608	290	1
1_MACS_peak_19504_lociStitched	chr5	148204798	148215757	1	10960	25057.7535	2619.201	291	1
3_MACS_peak_4413_lociStitched	chr11	82764926	82784477	3	10463	32149.6644	3785.0736	295	1
4_MACS_peak_15102_lociStitched	chr21	45194955	45210766	4	10756	28194.1752	4275.2944	296	1
3_MACS_peak_4247_lociStitched	chr11	67760479	67778465	3	10508	30189.501	3284.2436	297	1
2_MACS_peak_12533_lociStitched	chr2	47203648	47215367	2	9923	34762.0697	2146.9208	299	1
3_MACS_peak_7915_lociStitched	chr15	74827407	74846018	3	10548	28813.5502	3109.8981	300	1
1_MACS_peak_9801_lociStitched	chr17	37909501	37916805	1	7305	51382.9096	1662.3904	301	1
1_MACS_peak_13978_lociStitched	chr2	231729553	231739621	1	10069	32028.3216	1011.834	302	1
2_MACS_peak_10271_lociStitched	chr17	66230387	66245168	2	8279	47145.4776	2628.0618	304	1
3_MACS_peak_3320_lociStitched	chr10	104401207	104421763	3	10598	26967.4164	3245.7924	305	1
