GENE_ID	locusLine	bin_1_RPMI8226_jia.bam
NM_018067	chr1(.):36616802-36651441	0.6301
NM_014408	chr1(.):36597172-36620067	0.5114
NM_022756	chr1(.):37953175-37985364	0.1854
NM_025079	chr1(.):37935118-37954978	1.274
NM_001198979	chr1(.):40854016-40893998	0.1203
NM_001198978	chr1(.):40835304-40893998	0.5008
NM_001198980	chr1(.):40857471-40893998	0.0906
NM_022733	chr1(.):40834377-40893998	0.4933
NM_004073	chr1(.):45261035-45276667	1.5374
NM_001013632	chr1(.):45266585-45277957	1.9215
NM_001136537	chr1(.):45269153-45284801	1.4256
NR_001456	chr1(.):45238513-45248584	0.7902
NR_001457	chr1(.):45239061-45249130	0.7911
NM_153274	chr1(.):45244256-45258426	0.1049
NM_003738	chr1(.):45282937-45313616	0.0989
NM_001012	chr1(.):45236245-45249412	0.6228
NR_000024	chr1(.):45237163-45247261	0.7869
NR_000015	chr1(.):45236536-45246610	0.7886
NM_006004	chr1(.):46764379-46787447	0.7098
NM_006369	chr1(.):46739071-46774038	0.4875
NM_199044	chr1(.):46801389-46835690	0.2568
NM_001025199	chr1(.):111767332-111791062	0.052
NM_001025197	chr1(.):111765280-111791062	0.0663
NM_024901	chr1(.):111724800-111748281	0.8966
NM_017709	chr1(.):118143603-118176011	1.033
NM_001123068	chr1(.):143762143-143772881	0.1058
NR_027469	chr1(.):143713512-143749587	0.8649
NR_027468	chr1(.):143713512-143749457	0.8679
NM_207418	chr1(.):143891451-143918143	1.0344
NR_024584	chr1(.):144475745-144526969	0.4662
NM_032305	chr1(.):145451235-145475387	1.4078
NM_202004	chr1(.):145408190-145422545	0.1235
NM_006472	chr1(.):145433461-145447628	2.2224
NM_001039888	chr1(.):145465507-145480647	1.7511
NM_003846	chr1(.):145511164-145528732	0.6696
NM_005105	chr1(.):145502637-145516444	1.2002
NM_001184795	chr1(.):145511559-145528732	0.6817
NM_003637	chr1(.):145519989-145548868	0.1395
NR_002328	chr1(.):145504819-145521076	1.1302
NR_027468	chr1(.):147901021-147936980	0.6701
NM_001161334	chr1(.):149749244-149788928	0.3742
NM_001034077	chr1(.):149799220-149809616	2.5081
NM_001005464	chr1(.):149807258-149817765	3.8829
NM_001040874	chr1(.):149808784-149819318	3.9079
NM_001123375	chr1(.):149779779-149790236	1.0341
NM_000566	chr1(.):149749249-149769074	0.1527
NM_005850	chr1(.):149890210-149904702	0.7027
NM_016074	chr1(.):149866154-149877348	0.1864
NM_003528	chr1(.):149851009-149863232	2.8621
NM_003517	chr1(.):149853524-149863961	3.3188
NM_175065	chr1(.):149854018-149864466	3.2944
NM_014849	chr1(.):149869871-149894434	0.1668
NM_181873	chr1(.):149895542-149913266	0.7724
NM_001145862	chr1(.):149895542-149913791	0.7525
NR_036461	chr1(.):149816758-149827340	4.0009
NM_001040874	chr1(.):149817627-149828161	3.9488
NM_001005464	chr1(.):149819180-149829687	3.9268
NM_001034077	chr1(.):149827329-149837725	2.4844
NM_016274	chr1(.):150117169-150136825	1.8206
NM_030920	chr1(.):150185716-150213504	0.9203
NM_001136479	chr1(.):150185716-150212026	0.9596
NM_012113	chr1(.):150225217-150242480	0.5663
NM_024579	chr1(.):150240182-150258335	0.4846
NM_144697	chr1(.):150250228-150264501	0.1309
NM_004698	chr1(.):150288927-150330704	0.1944
NM_016022	chr1(.):150232798-150246532	0.6237
NM_019032	chr1(.):150516897-150538412	1.9907
NM_207046	chr1(.):150589598-150606609	0.6955
NR_036211	chr1(.):150519404-150529490	0.1956
NM_001197320	chr1(.):150542026-150557214	1.4469
NM_012432	chr1(.):150893814-150942220	0.187
NM_001163258	chr1(.):150964300-150985854	1.1019
NM_181746	chr1(.):150932648-150952440	0.843
NR_026977	chr1(.):150893824-150922797	0.2232
NM_003568	chr1(.):150949498-150973114	0.4986
NM_001163260	chr1(.):150964300-150984273	1.1685
NM_001040217	chr1(.):150964300-150984385	1.1633
NM_020239	chr1(.):151018446-151037125	0.6185
NM_138278	chr1(.):151004028-151025076	0.1434
NM_006818	chr1(.):151027150-151045973	1.0845
NM_017860	chr1(.):151015258-151028871	0.2018
NM_005620	chr1(.):151999981-152014511	1.5549
NM_002966	chr1(.):151950385-151971714	0.2104
NM_001008536	chr1(.):152051619-152066540	0.1075
NM_014437	chr1(.):153926587-153945188	1.993
NM_130898	chr1(.):153935396-153951832	2.2618
NM_181715	chr1(.):153915151-153936043	1.9697
NM_006694	chr1(.):153941744-153955451	1.1334
NM_002870	chr1(.):153949127-153963806	1.3026
NM_014856	chr1(.):153896976-153924154	0.8818
NM_001030	chr1(.):153958238-153969631	0.525
NM_006556	chr1(.):154892207-154914484	1.2081
NM_005227	chr1(.):155031212-155047029	0.5783
NM_001130041	chr1(.):154929773-154951959	2.2043
NM_001130040	chr1(.):154929773-154948223	2.3943
NM_201398	chr1(.):154950769-154970587	0.5027
NM_015872	chr1(.):154970111-154995999	3.7115
NM_207196	chr1(.):155018761-155040252	1.3584
NM_001184892	chr1(.):154950769-154966488	0.5399
NM_018655	chr1(.):154961061-154971791	0.5354
NM_001143687	chr1(.):155001281-155028406	0.9234
NR_024163	chr1(.):154942117-154956725	2.2271
NM_144622	chr1(.):154986002-155011257	0.6464
NM_138300	chr1(.):154924501-154939258	2.065
NR_036212	chr1(.):154943168-154953259	2.5307
NM_001018017	chr1(.):155153299-155167700	1.2432
NM_018973	chr1(.):155107366-155117883	1.7304
NM_153741	chr1(.):155107366-155117996	1.7149
NM_173852	chr1(.):155136883-155150804	0.6016
NM_004428	chr1(.):155095348-155112386	1.7113
NM_001122837	chr1(.):155103287-155116334	1.5116
NM_025058	chr1(.):155141359-155162445	0.6404
NR_027023	chr1(.):155526771-155538735	2.0159
NM_001198905	chr1(.):155624232-155663568	0.6662
NM_001198899	chr1(.):155624232-155654620	0.1326
NM_139118	chr1(.):155624232-155663823	0.6629
NM_139121	chr1(.):155624232-155663764	0.6638
NM_001198901	chr1(.):155624232-155663819	0.663
NM_139119	chr1(.):155624232-155663565	0.6663
NM_001198904	chr1(.):155624232-155663447	0.668
NM_004632	chr1(.):155653873-155713319	0.4987
NM_001198902	chr1(.):155624232-155663515	0.6671
NM_033657	chr1(.):155653873-155713317	0.4987
NM_006912	chr1(.):155862600-155886177	0.2445
NM_001162384	chr1(.):155911629-155953336	2.257
NM_181885	chr1(.):155906479-155917625	2.3979
NM_004723	chr1(.):155911629-155952966	2.2722
NM_014949	chr1(.):155877835-155909188	0.4216
NR_002974	chr1(.):155884699-155894833	0.1388
NR_003005	chr1(.):155890748-155900877	0.1347
NM_001093725	chr1(.):156036803-156056789	0.2074
NM_003145	chr1(.):155973838-155995758	0.5258
NM_198406	chr1(.):156208208-156222792	0.1887
NM_014655	chr1(.):156158729-156187587	0.7293
NM_007221	chr1(.):156177783-156214833	0.716
NM_022367	chr1(.):156118321-156152542	0.6827
NM_001193302	chr1(.):156118368-156152542	0.6834
NM_199173	chr1(.):156206950-156218112	0.1813
NM_024897	chr1(.):156208206-156222843	0.1884
NM_001193301	chr1(.):156114734-156152542	0.6815
NM_005920	chr1(.):156428518-156475529	1.6727
NM_004494	chr1(.):156706898-156726543	2.752
NM_001126051	chr1(.):156706898-156727024	2.6897
NM_001126050	chr1(.):156706898-156727240	2.6636
NM_030980	chr1(.):156687412-156702705	0.8477
NM_001878	chr1(.):156664407-156680375	0.1802
NM_001142560	chr1(.):156693262-156711752	1.0807
NM_145729	chr1(.):156702093-156715923	0.7069
NM_003564	chr1(.):159882902-159900284	1.2785
NM_012337	chr1(.):159837153-159874906	0.2923
NM_001146172	chr1(.):159916281-159929044	0.1171
NM_198053	chr1(.):167394876-167492847	0.2663
NM_003851	chr1(.):167505250-167528056	2.0788
NM_001146191	chr1(.):167686186-167766156	0.2647
NM_018417	chr1(.):167773624-167888453	0.11
NM_022100	chr1(.):174977093-174997591	0.2109
NM_022371	chr1(.):179046111-179070129	0.9972
NM_016545	chr1(.):181052637-181064979	1.8666
NM_021133	chr1(.):182537771-182561108	0.1745
NM_002928	chr1(.):182562757-182578548	0.9589
NM_001102450	chr1(.):182610791-182647067	0.1166
NR_036490	chr1(.):182579274-182590764	1.57
NM_001195216	chr1(.):197698138-197749623	0.4676
NM_005298	chr1(.):200837165-200848251	0.1418
NM_018265	chr1(.):200855638-200889864	0.7641
NM_001142569	chr1(.):200858998-200889864	0.6792
NM_017596	chr1(.):200933519-200997828	0.7598
NR_034150	chr1(.):203262885-203279453	1.7634
NM_006763	chr1(.):203269663-203283729	1.5221
NM_002023	chr1(.):203304751-203325289	0.1408
NM_030952	chr1(.):205266190-205295883	0.543
NM_212502	chr1(.):205468683-205506921	0.2785
NR_029893	chr1(.):205412429-205422526	0.2232
NM_001123168	chr1(.):206133910-206160074	1.0549
NM_001007544	chr1(.):206233871-206293647	0.4738
NM_148964	chr1(.):206312458-206337104	0.1097
NM_006893	chr1(.):206759973-206790904	0.1915
NM_182665	chr1(.):206725491-206767616	1.6838
NM_000228	chr1(.):209783217-209830820	0.779
NM_001127641	chr1(.):209783217-209830674	0.777
NM_001017402	chr1(.):209783217-209829679	0.7799
NR_036213	chr1(.):209791788-209801855	0.1322
NM_005525	chr1(.):209873190-209913295	0.0947
NM_015714	chr1(.):209843669-209854735	1.1883
NM_181755	chr1(.):209854549-209913295	0.1239
NM_001136224	chr1(.):211427707-211494725	0.4324
NM_018254	chr1(.):211428288-211494725	0.4355
NM_001136225	chr1(.):211427707-211491655	0.4496
NM_020997	chr1(.):226068981-226081836	1.7429
NM_014698	chr1(.):226028232-226075420	0.7901
NM_013328	chr1(.):226102579-226116965	0.8951
NR_002315	chr1(.):226245427-226264703	1.3132
NM_002107	chr1(.):226245420-226264703	1.3128
NM_181441	chr1(.):228289379-228302013	1.0706
NR_037415	chr1(.):228279963-228290042	0.2026
NM_001024227	chr1(.):228265850-228291913	1.2639
NM_001024226	chr1(.):228265360-228291913	1.2434
NM_024319	chr1(.):228283427-228296022	0.7623
NM_003493	chr1(.):228607545-228618026	0.1081
NM_033445	chr1(.):228640064-228650560	1.712
NM_016102	chr1(.):228590635-228609583	0.6387
NM_001010858	chr1(.):228670067-228688889	2.3922
NM_175055	chr1(.):228640807-228651259	1.7944
NM_005646	chr1(.):234522058-234619849	0.241
NM_182972	chr1(.):234735014-234750271	5.9603
NR_033927	chr1(.):234760056-234775526	0.1126
NM_031844	chr1(.):245008601-245032827	1.1063
NM_198076	chr1(.):244993638-245013359	1.1163
NR_026778	chr1(.):244998939-245015243	0.3971
NR_033872	chr2(.):70184394-70319147	0.3119
NM_001037131	chr2(.):236397735-237039120	0.1337
NM_145693	chr2(.):11881739-11972533	0.3635
NM_004027	chr2(.):99056320-99212496	0.3367
NM_001566	chr2(.):99056320-99203284	0.3535
NM_006164	chr2(.):178090032-178134859	0.5453
NM_001145413	chr2(.):178090032-178133617	0.558
NM_004226	chr2(.):196993306-197041336	0.3769
NM_001228	chr2(.):202093165-202157434	0.4995
NM_003879	chr2(.):201975889-202034003	0.8921
NM_001127184	chr2(.):201975815-202011323	1.3716
NM_173822	chr2(.):201833440-201941392	0.1137
NM_033358	chr2(.):202093165-202151638	0.5404
NR_037195	chr2(.):216471285-216713259	0.1571
NM_001137551	chr2(.):238595806-238695290	0.2871
NM_001137550	chr2(.):238531223-238695290	0.1999
NM_017844	chr2(.):241413838-241502405	0.1369
NM_001195381	chr2(.):241539824-241575676	0.0601
NM_002166	chr2(.):8817112-8829583	2.0418
NM_002997	chr2(.):20395557-20429927	1.5664
NM_001006946	chr2(.):20395557-20430194	1.5553
NM_006887	chr2(.):43444540-43458745	4.0038
NR_027251	chr2(.):43449349-43460994	3.1501
NM_181784	chr2(.):65532984-65664656	0.3648
NM_002664	chr2(.):68587321-68629585	0.5973
NM_173545	chr2(.):68689690-68812294	0.1182
NM_001024680	chr2(.):68684504-68699390	0.5595
NM_006196	chr2(.):70309584-70321334	2.488
NR_024444	chr2(.):70346167-70357448	0.2262
NM_020122	chr2(.):85193230-85291595	0.2792
NR_026984	chr2(.):86242338-86255991	0.0945
NR_026875	chr2(.):97158382-97178846	0.2116
NM_212481	chr2(.):97197463-97223371	1.0096
NM_001144013	chr2(.):107016135-107089801	0.0641
NR_037450	chr2(.):134879695-134889763	2.3783
NM_006186	chr2(.):157175943-157194287	0.5839
NM_001172712	chr2(.):174766186-174835430	0.4284
NM_001017371	chr2(.):174766186-174833947	0.4368
NR_036075	chr2(.):178115672-178125738	0.0805
NM_194247	chr2(.):178072421-178093685	0.5139
NM_002491	chr2(.):201931461-201955473	0.2792
NM_001127183	chr2(.):201978386-202033841	0.9308
NM_033356	chr2(.):202120222-202157434	0.5547
NM_001080125	chr2(.):202117753-202157434	0.5762
NM_006139	chr2(.):204566197-204607557	0.5363
NM_182642	chr2(.):219259813-219274148	1.6657
NM_198559	chr2(.):219216578-219237817	0.0634
NM_021198	chr2(.):219259477-219275664	1.482
NM_000578	chr2(.):219241751-219266617	0.897
NR_029500	chr2(.):219262368-219272445	1.6772
NM_007127	chr2(.):219278837-219319248	0.0567
NM_017431	chr2(.):219682105-219701512	0.0615
NM_025216	chr2(.):219740254-219763651	1.263
NM_006522	chr2(.):219719545-219743954	0.3662
NM_001099285	chr2(.):232568234-232583250	1.8114
NR_036052	chr2(.):232573023-232583105	1.4516
NM_004735	chr2(.):238595806-238679558	0.3307
NM_023083	chr2(.):241521132-241543526	0.5681
NM_001033575	chr2(.):241494470-241508431	1.8531
NM_018226	chr2(.):241503103-241523143	1.2805
NM_014674	chr3(.):5224358-5266650	0.9298
NM_005862	chr3(.):136050998-136476245	0.1347
NM_207294	chr3(.):152012193-152188569	0.1915
NM_021038	chr3(.):151980828-152188568	0.3308
NM_001134382	chr3(.):12933718-13119617	0.306
NM_024923	chr3(.):13352736-13466809	0.3997
NM_014869	chr3(.):12933718-13013960	0.0963
NM_182666	chr3(.):23842438-23937807	0.4186
NM_001123396	chr3(.):46390234-46405868	2.6615
NM_001123041	chr3(.):46390234-46407413	2.4367
NM_007114	chr3(.):69063977-69106484	0.1436
NM_032343	chr3(.):126418117-126684244	0.1661
NM_001080412	chr3(.):141038054-141173632	0.4617
NM_016275	chr3(.):150316065-150353234	0.9466
NM_005067	chr3(.):150453909-150486263	1.1336
NM_001190242	chr3(.):159969773-160106554	0.1007
NM_001190241	chr3(.):159969773-160122320	0.2635
NM_024665	chr3(.):176733541-176920048	0.6271
NM_006218	chr3(.):178861310-178957497	0.3459
NM_001007225	chr3(.):185356526-185547827	0.2186
NM_005524	chr3(.):193848933-193861396	1.9241
NM_001647	chr3(.):195290572-195316076	0.0988
NM_003670	chr3(.):5016096-5031865	1.775
NM_181472	chr3(.):32428162-32501333	0.4265
NM_001837	chr3(.):46278871-46313197	0.0729
NM_003965	chr3(.):46443720-46456014	0.1769
NM_001199149	chr3(.):46472495-46510161	0.0903
NM_002343	chr3(.):46472495-46511598	0.0909
NM_001100168	chr3(.):46406632-46422697	0.5116
NM_001130910	chr3(.):46444048-46456014	0.1789
NM_199074	chr3(.):49052907-49065926	1.7848
NM_199073	chr3(.):49053617-49065926	1.8812
NM_177939	chr3(.):49022340-49049581	0.5672
NM_018031	chr3(.):49039636-49058386	0.8266
NM_000884	chr3(.):49056761-49071875	1.4442
NM_018114	chr3(.):49047434-49063467	1.4506
NM_199070	chr3(.):49054073-49065926	1.9495
NM_001009996	chr3(.):49047434-49061017	1.6688
NR_029690	chr3(.):49053050-49063142	2.2483
NR_029948	chr3(.):49052580-49062667	2.2386
NM_198195	chr3(.):69098880-69134524	0.6163
NM_006407	chr3(.):69129089-69160239	1.0711
NM_198271	chr3(.):69151038-69176746	0.0624
NR_036087	chr3(.):69093108-69103186	0.4351
NM_001145417	chr3(.):135862759-135918310	0.569
NM_018133	chr3(.):135862759-135919688	0.5583
NM_014779	chr3(.):150121787-150182615	0.717
NM_032025	chr3(.):150259573-150308803	0.5792
NM_014445	chr3(.):150254779-150269428	1.5593
NR_027037	chr3(.):151975404-151992415	1.6521
NM_002886	chr3(.):152875028-152891263	1.5531
NR_034008	chr3(.):156802669-156823924	1.4835
NR_034007	chr3(.):156794455-156845791	0.7074
NM_020307	chr3(.):156860585-156883482	1.1896
NM_173084	chr3(.):160148290-160172626	0.3343
NR_029663	chr3(.):160117375-160127473	2.2532
NM_005496	chr3(.):160113346-160157741	0.6851
NM_001002800	chr3(.):160112429-160157741	0.674
NR_029525	chr3(.):160117532-160127613	2.1355
NM_001145098	chr3(.):170070472-170115950	0.5497
NM_001145097	chr3(.):170072410-170115950	0.5682
NM_006241	chr3(.):195236220-195275224	0.4731
NM_005781	chr3(.):195585235-195640880	0.6785
NM_001010938	chr3(.):195585235-195627432	0.2318
NM_198565	chr3(.):196361655-196393874	0.9683
NM_198281	chr4(.):90160428-90234161	0.4711
NM_001042424	chr4(.):1868122-1988934	0.2721
NM_001017405	chr4(.):1278671-1338925	0.1848
NM_133330	chr4(.):1889508-1988930	0.105
NM_012318	chr4(.):1808205-1862974	0.2634
NR_033182	chr4(.):1160639-1207634	0.4473
NM_001199021	chr4(.):1155720-1207750	0.4229
NM_016531	chr4(.):38660789-38708129	0.4549
NR_026804	chr4(.):38609321-38671249	0.3364
NM_198892	chr4(.):79692531-79838341	0.1619
NM_002199	chr4(.):185303875-185400726	0.6713
NR_033339	chr4(.):1238227-1251795	2.1769
NM_001012614	chr4(.):1200227-1247908	0.8782
NM_133334	chr4(.):1897352-1955545	0.086
NM_182485	chr4(.):14999297-15076777	0.3286
NM_031889	chr4(.):71489460-71517536	0.0561
NM_144646	chr4(.):71516257-71537348	0.8413
NM_020368	chr4(.):71549195-71561268	0.4615
NM_014961	chr4(.):71582695-71664274	0.0742
NM_001130709	chr4(.):71565653-71660614	0.1703
NM_017593	chr4(.):79692531-79805594	0.196
NM_001005217	chr4(.):190940522-190953412	0.4537
NM_001127388	chr4(.):191006865-191018476	0.8845
NM_001127389	chr4(.):191003565-191015176	1.3076
NM_001127389	chr4(.):191000272-191011883	1.3964
NM_001127388	chr4(.):190987092-190998703	1.3049
NM_001127389	chr4(.):190993678-191005289	1.3487
NM_001127389	chr4(.):190990385-191001996	1.3233
NM_033178	chr4(.):191000266-191011883	1.3975
NM_033178	chr4(.):191006859-191018476	0.8855
NM_001177376	chr4(.):190996978-191008583	1.3801
NM_012147	chr4(.):191006936-191018476	0.881
NM_012147	chr4(.):191003636-191015176	1.2979
NM_012147	chr4(.):191000343-191011883	1.3958
NM_012147	chr4(.):190993749-191005289	1.3478
NM_012147	chr4(.):190990456-191001996	1.3134
NM_012147	chr4(.):190983866-190995406	1.0105
NM_001104631	chr5(.):58259865-59194621	0.1279
NM_006203	chr5(.):58259865-58887324	0.1543
NM_001165899	chr5(.):58259865-59788925	0.104
NM_001197218	chr5(.):58259865-59069438	0.1369
NM_002372	chr5(.):109020155-109208429	0.2481
NM_015071	chr5(.):142145291-142613572	0.1966
NM_020928	chr5(.):60623099-60846999	0.2467
NM_015315	chr5(.):154087461-154202163	0.2923
NM_007118	chr5(.):14138828-14514458	0.2806
NM_152756	chr5(.):38933021-39079501	0.5532
NM_182977	chr5(.):43598228-43710668	0.391
NM_012343	chr5(.):43597790-43710668	0.3903
NM_003432	chr5(.):43116641-43180823	0.4962
NM_024669	chr5(.):55390506-55534186	0.6307
NM_022913	chr5(.):56464774-56565506	0.3174
NM_001127235	chr5(.):56466274-56565506	0.3208
NM_001197222	chr5(.):58259865-58340339	0.4734
NM_001197220	chr5(.):58259865-58576945	0.2312
NM_001197219	chr5(.):58259865-58657727	0.2004
NM_018695	chr5(.):65217383-65381850	0.2575
NR_015436	chr5(.):87831596-87985620	0.2667
NR_027435	chr5(.):90671163-90721532	0.4692
NM_005575	chr5(.):96266345-96370115	0.2883
NM_175920	chr5(.):96289155-96370115	0.0884
NM_003060	chr5(.):131700400-131736306	0.2447
NM_001020825	chr5(.):142652495-142788254	0.2972
NM_001018076	chr5(.):142652495-142789045	0.2959
NM_001018075	chr5(.):142652495-142820077	0.2567
NM_004045	chr5(.):151117382-151143210	0.8297
NM_001167579	chr5(.):176806431-176822514	0.1433
NM_002406	chr5(.):180212540-180235048	0.8003
NM_001114619	chr5(.):180212540-180235902	0.8167
NM_001114618	chr5(.):180212540-180241817	1.0965
NM_001114617	chr5(.):180212540-180242137	1.0857
NM_033120	chr5(.):1004167-1043925	0.5974
NM_001193376	chr5(.):1248286-1300162	0.1099
NM_030782	chr5(.):1312999-1350002	0.8428
NR_034127	chr5(.):43060288-43072073	2.1219
NM_001014279	chr5(.):43034181-43045447	3.6685
NR_034085	chr5(.):43011149-43023913	2.2621
NR_015447	chr5(.):43037235-43050370	3.1459
NR_034086	chr5(.):43009830-43023913	2.6227
NM_198566	chr5(.):43481802-43520273	0.9462
NM_022483	chr5(.):43439353-43488992	0.6241
NM_006451	chr5(.):43521369-43562195	0.7255
NM_183323	chr5(.):43521369-43562521	0.7217
NM_002184	chr5(.):55225924-55295821	0.4386
NM_005921	chr5(.):56105899-56196978	0.5062
NM_001127236	chr5(.):56504900-56565506	0.1129
NM_001197223	chr5(.):58259865-58300759	0.0882
NR_028474	chr5(.):65235632-65246401	0.0691
NM_152405	chr5(.):78526924-78628038	0.3191
NR_024384	chr5(.):87955262-87974146	1.6323
NR_024383	chr5(.):87955262-87979262	1.312
NR_030741	chr5(.):87957670-87967757	0.5299
NM_020801	chr5(.):90659540-90684149	0.8789
NM_005668	chr5(.):100137638-100243987	0.4244
NM_175052	chr5(.):100216014-100243970	1.2455
NR_036052	chr5(.):118305280-118315362	0.0806
NR_037500	chr5(.):131696181-131706291	0.4131
NM_002198	chr5(.):131812300-131831465	1.1165
NM_001013717	chr5(.):131741672-131803059	1.4611
NM_000879	chr5(.):131872135-131884214	0.084
NM_015288	chr5(.):133856797-133923918	0.5017
NM_016480	chr5(.):138672518-138710409	0.1825
NM_194296	chr5(.):138727455-138744776	1.2573
NM_152686	chr5(.):138740891-138780214	0.2892
NM_152685	chr5(.):138697884-138724039	0.1785
NM_001033112	chr5(.):138673133-138710409	0.1849
NM_001161546	chr5(.):138722634-138735885	2.7103
NM_016459	chr5(.):138718256-138730605	2.924
NM_006058	chr5(.):150404505-150465997	0.5321
NM_001193544	chr5(.):150475266-150526216	0.2856
