GENE_ID	locusLine	bin_1_KMS12_jia.bam
NM_032118	chr2(.):74643884-74657882	0.3474
NM_016170	chr2(.):74736595-74749275	0.0992
NM_001009812	chr2(.):74719643-74735443	0.8528
NM_032673	chr2(.):74727169-74739821	1.0777
NR_024606	chr2(.):74724743-74737192	1.1215
NM_021103	chr2(.):85127762-85138799	0.8876
NM_020122	chr2(.):85193230-85291595	0.2279
NM_006186	chr2(.):157175943-157194287	0.4335
NR_036075	chr2(.):178115672-178125738	0.0735
NM_194247	chr2(.):178072421-178093685	0.4939
NR_026966	chr2(.):178143235-178262419	0.0908
NM_002491	chr2(.):201931461-201955473	0.2695
NM_001127183	chr2(.):201978386-202033841	0.6913
NM_182642	chr2(.):219259813-219274148	1.4424
NM_198559	chr2(.):219216578-219237817	0.1517
NM_021198	chr2(.):219259477-219275664	1.2864
NM_000578	chr2(.):219241751-219266617	0.7622
NR_029500	chr2(.):219262368-219272445	1.4137
NM_007127	chr2(.):219278837-219319248	0.0569
NM_005544	chr2(.):227591032-227668506	0.8425
NM_014674	chr3(.):5224358-5266650	1.0794
NM_001195099	chr3(.):15703743-15803058	0.0869
NM_001195098	chr3(.):15703743-15844691	0.1781
NM_015199	chr3(.):15703743-15906053	0.1981
NM_002841	chr3(.):61542242-62285573	0.1431
NM_032682	chr3(.):70999735-71638140	0.1573
NM_005862	chr3(.):136050998-136476245	0.1273
NM_001161566	chr3(.):170775291-171183197	0.1919
NM_001135095	chr3(.):171753343-172123492	0.1805
NM_022763	chr3(.):171752417-172123492	0.1803
NM_001168272	chr3(.):4530031-4894524	0.1575
NM_182760	chr3(.):4397828-4513966	0.0808
NM_001134382	chr3(.):12933718-13119617	0.1712
NM_014869	chr3(.):12933718-13013960	0.0471
NM_003884	chr3(.):20076523-20200896	0.2314
NM_182666	chr3(.):23842438-23937807	0.3738
NM_001123396	chr3(.):46390234-46405868	1.4156
NM_001123041	chr3(.):46390234-46407413	1.298
NM_007114	chr3(.):69063977-69106484	0.131
NM_001080412	chr3(.):141038054-141173632	0.4259
NM_024665	chr3(.):176733541-176920048	0.1868
NM_005524	chr3(.):193848933-193861396	1.9205
NM_001647	chr3(.):195290572-195316076	0.0822
NM_003670	chr3(.):5016096-5031865	1.0887
NR_027694	chr3(.):20016452-20058765	0.0605
NM_003965	chr3(.):46443720-46456014	0.0678
NM_001100168	chr3(.):46406632-46422697	0.1778
NM_001130910	chr3(.):46444048-46456014	0.067
NM_199074	chr3(.):49052907-49065926	1.4878
NM_199073	chr3(.):49053617-49065926	1.568
NM_017730	chr3(.):49062141-49136504	0.2168
NM_177939	chr3(.):49022340-49049581	0.4068
NM_018031	chr3(.):49039636-49058386	0.8432
NM_000884	chr3(.):49056761-49071875	1.2255
NM_018114	chr3(.):49047434-49063467	1.1976
NM_199070	chr3(.):49054073-49065926	1.6233
NM_001009996	chr3(.):49047434-49061017	1.3766
NR_029690	chr3(.):49053050-49063142	1.8613
NR_029948	chr3(.):49052580-49062667	1.8598
NM_198195	chr3(.):69098880-69134524	0.373
NM_006407	chr3(.):69129089-69160239	0.5592
NM_198271	chr3(.):69151038-69176746	0.0633
NR_036087	chr3(.):69093108-69103186	0.2971
NM_198490	chr3(.):128801417-128845619	0.5989
NM_000174	chr3(.):128774644-128786253	0.0809
NM_020701	chr3(.):128841258-128885073	0.2326
NR_027622	chr3(.):169656771-169689522	0.7531
NM_182610	chr3(.):169624481-169661948	0.4946
NM_003262	chr3(.):169679579-169721161	0.2938
NM_001145098	chr3(.):170070472-170115950	0.5549
NM_001145097	chr3(.):170072410-170115950	0.554
NM_006241	chr3(.):195236220-195275224	0.4268
NM_005781	chr3(.):195585235-195640880	0.5002
NM_001010938	chr3(.):195585235-195627432	0.1248
NM_198565	chr3(.):196361655-196393874	0.4759
NM_144571	chr4(.):78629540-78745544	0.3209
NM_198281	chr4(.):90160428-90234161	0.7951
NM_001008388	chr4(.):103785134-103818963	0.8467
NM_001102406	chr4(.):113213498-113368764	0.1231
NM_001042424	chr4(.):1868122-1988934	0.1686
NM_133330	chr4(.):1889508-1988930	0.0659
NM_012318	chr4(.):1808205-1862974	0.1273
NM_001166693	chr4(.):87851153-88067206	0.2638
NM_005327	chr4(.):108905869-108961331	0.6079
NM_002039	chr4(.):144252982-144400718	0.5267
NM_020827	chr4(.):186075818-186130182	0.2458
NM_152775	chr4(.):186361337-186397913	0.3128
NM_031953	chr4(.):186126283-186290120	0.2813
NM_133334	chr4(.):1897352-1955545	0.0739
NM_031889	chr4(.):71489460-71517536	0.1003
NM_144646	chr4(.):71516257-71537348	0.8812
NM_020368	chr4(.):71549195-71561268	0.2869
NM_014961	chr4(.):71582695-71664274	0.1172
NM_001130709	chr4(.):71565653-71660614	0.4209
NM_020236	chr4(.):78778804-78878944	0.1152
NM_144645	chr4(.):87792357-87818575	0.0568
NM_183049	chr4(.):91754641-91765269	0.0728
NM_181891	chr4(.):103712132-103753708	0.584
NM_181890	chr4(.):103712132-103795032	0.6434
NM_181892	chr4(.):103712132-103753340	0.5886
NM_003340	chr4(.):103712132-103754105	0.5795
NM_181893	chr4(.):103712132-103795003	0.6436
NM_181889	chr4(.):103712132-103754307	0.5773
NM_018569	chr4(.):113147894-113196211	0.3326
NM_052864	chr4(.):113191781-113212059	1.2404
NR_028085	chr4(.):186315693-186352139	0.3915
NM_001114357	chr4(.):186345544-186375821	0.1915
NM_133433	chr5(.):36871860-37070921	0.2047
NR_015436	chr5(.):87831596-87985620	0.2508
NM_001077654	chr5(.):118599417-118735294	0.4871
NM_001020825	chr5(.):142652495-142788254	0.2648
NM_001018076	chr5(.):142652495-142789045	0.2636
NM_001018075	chr5(.):142652495-142820077	0.2262
NM_015621	chr5(.):150555612-150608654	0.4537
NM_001037332	chr5(.):156688186-156827606	0.2
NM_001037333	chr5(.):156688090-156827606	0.1999
NM_014376	chr5(.):156691361-156827606	0.2017
NM_002406	chr5(.):180212540-180235048	0.6413
NM_001114619	chr5(.):180212540-180235902	0.6877
NM_001114618	chr5(.):180212540-180241817	0.8859
NM_001114617	chr5(.):180212540-180242137	0.883
NM_001171805	chr5(.):6709717-6762161	0.4556
NM_001171806	chr5(.):6741100-6762161	0.0691
NM_006713	chr5(.):32580604-32609185	0.8492
NR_024384	chr5(.):87955262-87974146	1.7249
NR_024383	chr5(.):87955262-87979262	1.3717
NR_030741	chr5(.):87957670-87967757	1.7251
NM_014350	chr5(.):118686595-118735294	0.1554
NM_016480	chr5(.):138672518-138710409	0.1461
NM_194296	chr5(.):138727455-138744776	0.8126
NM_152686	chr5(.):138740891-138780214	0.2265
NM_152685	chr5(.):138697884-138724039	0.2257
NM_001033112	chr5(.):138673133-138710409	0.1478
NM_001161546	chr5(.):138722634-138735885	2.103
NM_016459	chr5(.):138718256-138730605	2.3808
NM_005859	chr5(.):139488707-139501321	1.0285
NM_001007189	chr5(.):139500520-139513391	0.0802
NM_000024	chr5(.):148201155-148213197	1.2403
NM_000405	chr5(.):150627612-150654953	0.81
NM_181774	chr5(.):150650925-150688334	0.0742
NM_030627	chr5(.):173310330-173392313	0.4112
NM_017675	chr5(.):175971342-176027769	0.1039
NM_014901	chr5(.):175948699-175969421	0.857
NM_001171976	chr5(.):175964511-176027769	0.3124
NR_031598	chr5(.):179220277-179230346	0.3988
NM_145867	chr5(.):179215985-179228513	0.3213
NM_003900	chr5(.):179242841-179270077	0.7628
NM_016175	chr5(.):179259265-179290840	0.1638
NM_054013	chr5(.):179219597-179234875	1.1953
NM_014275	chr5(.):179219597-179238952	1.084
NM_001142298	chr5(.):179228387-179270077	0.9208
NM_001142299	chr5(.):179229002-179270077	0.9332
NR_027183	chr5(.):180251958-180267726	0.7535
NM_152283	chr5(.):180269610-180293286	0.186
NM_004117	chr6(.):35536361-35661719	0.0711
NM_001145776	chr6(.):35536361-35661692	0.0711
NM_001145775	chr6(.):35536361-35701360	0.2404
NM_181356	chr6(.):44791469-45350670	0.0951
NM_003599	chr6(.):44792449-45350575	0.0952
NM_007124	chr6(.):144607872-145179170	0.1291
NM_020732	chr6(.):157094063-157536913	0.1945
NM_001195286	chr6(.):386738-416443	1.5912
NM_001168344	chr6(.):7102829-7257213	0.3143
NM_001003699	chr6(.):7103085-7257213	0.3147
NR_037616	chr6(.):7876482-8069647	0.4686
NM_001491	chr6(.):10550948-10634601	0.0609
NM_145649	chr6(.):10516567-10634601	0.2275
NM_172166	chr6(.):31702724-31735455	0.5513
NM_152735	chr6(.):33417355-33430320	0.232
NM_020750	chr6(.):43485067-43548812	0.1903
NM_004348	chr6(.):45384913-45523819	0.3552
NM_001024630	chr6(.):45291053-45523819	0.2753
NM_001123226	chr6(.):74166453-74216179	0.4504
NM_016021	chr6(.):90031343-90067619	0.67
NM_032131	chr6(.):109164618-109300352	0.2661
NM_017696	chr6(.):119129611-119257903	0.2722
NM_001122842	chr6(.):126107000-126257266	0.1262
NM_001040000	chr6(.):168222670-168370793	0.1863
NM_020185	chr6(.):287100-356355	3.0805
NM_001145549	chr6(.):7876482-7915310	1.4307
NM_030810	chr6(.):7876482-7916047	1.4774
NM_005319	chr6(.):26050967-26061699	1.5052
NM_003537	chr6(.):26026816-26037288	2.5406
NM_003544	chr6(.):26022123-26032480	2.4922
NM_021062	chr6(.):26038454-26048885	0.1324
NM_003531	chr6(.):26040638-26051097	0.1352
NM_005325	chr6(.):26012259-26023040	0.7146
NM_003538	chr6(.):26016906-26027278	1.2414
NM_003513	chr6(.):26028319-26038796	2.0885
NM_003529	chr6(.):26015717-26026186	0.9687
NM_003526	chr6(.):26118694-26129132	1.375
NM_021065	chr6(.):26194011-26204471	2.279
NM_003530	chr6(.):26192011-26204464	2.0286
NM_138720	chr6(.):26153348-26176576	1.3517
NM_003523	chr6(.):26179023-26189458	0.6027
NM_003539	chr6(.):26183937-26194304	0.9886
NM_003545	chr6(.):26199872-26210249	1.6472
NM_021063	chr6(.):26153348-26163871	1.5195
NM_005321	chr6(.):26151558-26162343	1.5051
NM_003512	chr6(.):26119372-26129918	1.3594
NM_005323	chr6(.):26102639-26113364	0.0752
NM_003522	chr6(.):26194786-26205216	2.2994
NM_003518	chr6(.):26211427-26221872	0.942
NM_021052	chr6(.):26212147-26222711	0.9328
NM_003543	chr6(.):26280353-26290727	0.8981
NM_003532	chr6(.):26220382-26230844	0.1221
NM_003524	chr6(.):26246878-26257303	1.1185
NM_003534	chr6(.):26266145-26276612	1.7088
NM_003547	chr6(.):26241838-26252205	0.9552
NM_003540	chr6(.):26235653-26246021	0.2052
NM_021018	chr6(.):26245369-26255835	1.1064
NM_005320	chr6(.):26229439-26240216	0.5819
NM_003525	chr6(.):26268203-26278640	1.7354
NM_001145008	chr6(.):26397464-26420444	0.2391
NM_001197240	chr6(.):26378328-26400100	0.1543
NM_001197247	chr6(.):26360397-26383540	0.7344
NM_001197238	chr6(.):26378323-26400100	0.1544
NM_007047	chr6(.):26360397-26383548	0.7354
NM_001197237	chr6(.):26378438-26400100	0.1549
NM_001197248	chr6(.):26360469-26383540	0.734
NM_001197246	chr6(.):26363405-26383540	0.5595
NR_026790	chr6(.):26516933-26532612	0.9815
NM_013375	chr6(.):26592179-26605277	0.4297
NM_001732	chr6(.):26496494-26515652	0.1904
NM_006353	chr6(.):26533571-26552164	1.0496
NM_021064	chr6(.):27095816-27106314	2.555
NM_080593	chr6(.):27101071-27119637	1.7731
NM_080596	chr6(.):27109907-27120346	1.3509
NR_036096	chr6(.):27110404-27120467	1.3465
NM_021058	chr6(.):27095094-27105575	2.5166
NM_003495	chr6(.):27102087-27112457	1.6569
NM_021066	chr6(.):27777079-27787518	2.3667
NM_003536	chr6(.):27772841-27783314	2.5304
NM_003509	chr6(.):27770976-27781445	2.082
NM_003519	chr6(.):27770256-27780709	1.857
NM_003521	chr6(.):27777821-27788267	2.2281
NM_003535	chr6(.):27853092-27863570	1.3387
NM_003527	chr6(.):27856202-27866669	1.4724
NM_003520	chr6(.):27801439-27811888	2.1412
NM_003511	chr6(.):27828106-27838576	0.0804
NM_003533	chr6(.):27834622-27845099	0.0526
NM_003510	chr6(.):27800657-27811117	2.1748
NM_003541	chr6(.):27793951-27804305	1.5349
NM_005322	chr6(.):27829569-27840359	0.0688
NM_033057	chr6(.):27873962-27885174	0.0802
NM_021968	chr6(.):27786902-27797258	0.476
NM_003514	chr6(.):27855476-27865963	1.4697
NM_003546	chr6(.):27835925-27846289	0.0517
NM_007109	chr6(.):31121302-31136992	0.4439
NM_001173531	chr6(.):31127113-31139615	0.3154
NR_026791	chr6(.):31160536-31176745	1.0992
NM_019052	chr6(.):31105215-31131015	0.2167
NM_001105563	chr6(.):31105215-31130566	0.2174
NR_026816	chr6(.):31136511-31150676	0.0848
NM_002701	chr6(.):31127113-31143451	0.257
NM_014069	chr6(.):31100310-31112127	0.0692
NM_004847	chr6(.):31577993-31589798	0.6845
NM_001623	chr6(.):31578032-31589798	0.6867
NM_032955	chr6(.):31578788-31589798	0.7296
NM_080702	chr6(.):31601804-31625477	0.4398
NM_001098534	chr6(.):31601804-31625170	0.444
NM_021246	chr6(.):31678132-31690581	0.0668
NM_138275	chr6(.):31686160-31697851	0.519
NR_033488	chr6(.):31649725-31675850	0.1995
NM_001320	chr6(.):31628656-31642843	0.872
NM_013974	chr6(.):31689816-31703039	0.5937
NM_025262	chr6(.):31639460-31653150	0.1152
NM_001288	chr6(.):31693357-31709341	1.4715
NM_019101	chr6(.):31618670-31630987	0.9705
NM_021184	chr6(.):31621074-31633549	0.9964
NM_001003693	chr6(.):31669683-31683372	0.3148
NM_021221	chr6(.):31633727-31645227	0.2351
NM_021160	chr6(.):31649725-31676137	0.198
NR_002971	chr6(.):31585855-31595987	0.6641
NR_024541	chr6(.):31674752-31686842	0.0694
NM_080686	chr6(.):31583449-31610554	0.3034
NM_025261	chr6(.):31681424-31694510	0.0656
NM_033177	chr6(.):31624005-31638179	0.9899
NM_001199240	chr6(.):31624005-31638407	0.975
NM_001199238	chr6(.):31624005-31638639	0.9602
NM_001199237	chr6(.):31624005-31639060	0.9346
NM_001039651	chr6(.):31725772-31737624	0.0563
NM_025258	chr6(.):31728370-31750108	0.1117
NR_002742	chr6(.):31799852-31809916	1.1558
NM_000434	chr6(.):31821828-31835709	0.3096
NM_021177	chr6(.):31760173-31779743	0.7009
NR_002745	chr6(.):31798039-31808103	1.4431
NM_001178045	chr6(.):31825969-31850448	0.2
NM_001040438	chr6(.):31797692-31812541	1.0229
NM_005345	chr6(.):31778290-31790719	0.5379
NM_005527	chr6(.):31772395-31787835	0.3619
NM_001178044	chr6(.):31825969-31851823	0.1917
NM_006295	chr6(.):31740296-31768712	0.5089
NM_005346	chr6(.):31790511-31803031	1.4395
NM_022107	chr6(.):32153542-32168300	1.4773
NM_138717	chr6(.):32116300-32136452	0.0986
NM_001136	chr6(.):32143745-32157023	0.5085
NM_004557	chr6(.):32157619-32196844	0.5562
NM_032741	chr6(.):32130982-32150888	0.3689
NM_002586	chr6(.):32147509-32162963	1.2192
NM_006913	chr6(.):32141161-32153570	0.5824
NR_003129	chr6(.):32141231-32153567	0.5857
NM_030651	chr6(.):32111139-32124720	0.1223
NM_005155	chr6(.):32116621-32136452	0.0992
NM_006411	chr6(.):32130982-32148916	0.3995
NR_037169	chr6(.):32115578-32127142	0.1266
NM_030652	chr6(.):32127404-32141062	0.0611
NM_002800	chr6(.):32816937-32832628	0.6243
NM_000544	chr6(.):32788186-32811547	0.2452
NM_018833	chr6(.):32784609-32811547	0.2281
NM_002120	chr6(.):32775539-32789825	0.1172
NM_000593	chr6(.):32807985-32826748	0.9304
NR_027771	chr6(.):32839254-32852851	0.0743
NM_004159	chr6(.):32803493-32817712	0.8127
NM_148919	chr6(.):32803493-32816816	0.859
NR_037178	chr6(.):32856952-32876535	0.2265
NR_037174	chr6(.):32806862-32819277	0.6856
NM_001164267	chr6(.):33241879-33262304	0.2581
NM_022551	chr6(.):33234851-33249281	0.5685
NM_172209	chr6(.):33262471-33287164	0.8032
NM_004761	chr6(.):33254430-33272176	0.5408
NM_172208	chr6(.):33266409-33287164	0.8546
NM_003782	chr6(.):33239916-33251602	0.3245
NR_024517	chr6(.):33281334-33295793	1.3371
NM_014260	chr6(.):33252377-33263711	0.3646
NM_005453	chr6(.):33277181-33290512	1.2374
NM_001145338	chr6(.):33277181-33290719	1.2931
NM_022553	chr6(.):33213048-33244662	0.4332
NM_001185181	chr6(.):33252411-33263709	0.3653
NM_006772	chr6(.):33382846-33426466	0.3481
NM_015921	chr6(.):33379318-33391065	0.6388
NR_001444	chr6(.):33327513-33339139	0.0759
NM_002263	chr6(.):33354312-33382699	0.4706
NM_002636	chr6(.):33373772-33389230	0.9003
NR_027117	chr6(.):35689538-35709724	1.0496
NM_207409	chr6(.):35739391-35752329	0.0535
NM_001010886	chr6(.):35743830-35760841	0.0835
NM_145028	chr6(.):35699858-35721685	0.15
NM_002754	chr6(.):36093261-36112842	0.7858
NM_000322	chr6(.):42659332-42695358	0.0784
NM_003192	chr6(.):42707233-42718884	1.2019
NR_037141	chr6(.):42690313-42700932	0.1058
NM_015349	chr6(.):42783793-42841296	0.0632
NM_019096	chr6(.):43583217-43601936	1.0348
NM_001003690	chr6(.):43592278-43613688	1.0793
NM_014628	chr6(.):43598576-43613688	0.3747
NM_006502	chr6(.):43538877-43593260	0.178
NM_001193341	chr6(.):43607766-43643748	0.0692
NM_001078177	chr6(.):44186362-44206888	0.5453
NM_178148	chr6(.):44216837-44230283	0.4386
NM_001078174	chr6(.):44182241-44206888	0.5608
NM_020745	chr6(.):44261462-44286063	0.1208
NM_182539	chr6(.):44242896-44270458	0.0484
NM_001137560	chr6(.):44233479-44252182	0.0714
NM_001078175	chr6(.):44186295-44206888	0.5513
NM_004556	chr6(.):44220902-44238525	0.7694
NM_007355	chr6(.):44209848-44226614	0.6894
NM_138441	chr6(.):74129855-74167043	0.3143
NM_001402	chr6(.):74220472-74235755	1.3015
NM_002043	chr6(.):89962238-90029967	0.0774
NM_182907	chr6(.):106541814-106562811	1.3904
NM_001198	chr6(.):106529194-106562814	1.798
NM_014034	chr6(.):119210240-119235335	1.007
NM_153255	chr6(.):119226761-119261327	0.1547
NM_012259	chr6(.):126065731-126087415	0.5585
NR_026773	chr6(.):168180218-168202539	0.0902
NR_027906	chr6(.):168219569-168232476	0.8386
NM_004289	chr7(.):26186846-26231756	0.7015
NM_001029835	chr7(.):45062232-45121069	0.3536
NM_001167935	chr7(.):45034786-45121069	0.5146
NR_030770	chr7(.):45034344-45121069	0.539
NM_030796	chr7(.):55533305-55645200	0.5038
NM_001145354	chr7(.):130789854-131186398	0.221
NM_001164458	chr7(.):149939300-150025758	0.2099
NM_006547	chr7(.):23344827-23514995	0.3603
NR_036554	chr7(.):29720687-29787019	0.4674
NR_003502	chr7(.):32762561-32774595	1.5886
NR_036680	chr7(.):32615552-32763780	0.0785
NM_003718	chr7(.):39984958-40141733	0.4144
NM_002541	chr7(.):44641120-44753669	0.4856
