REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM5_jia.bam
1_MACS_peak_669_lociStitched	chr1	66797296	66803761	1	6466	7598.3145
2_MACS_peak_9608_lociStitched	chr2	111874759	111881199	2	6327	6527.584000000001
2_MACS_peak_8295_lociStitched	chr19	16694004	16700357	2	6245	6847.263400000001
2_MACS_peak_12493_lociStitched	chr3	195630822	195637158	2	5892	8841.887999999999
2_MACS_peak_8196_lociStitched	chr19	12898969	12905258	2	6200	9164.3308
3_MACS_peak_15517_lociStitched	chr7	55634921	55641169	3	5882	5501.364
2_MACS_peak_14546_lociStitched	chr6	32935544	32941777	2	5986	8979.2598
3_MACS_peak_12811_lociStitched	chr4	78737230	78743452	3	6075	6283.5978000000005
2_MACS_peak_3405_lociStitched	chr11	128586036	128592216	2	6106	4546.626
1_MACS_peak_13933_lociStitched	chr5	142779465	142785642	1	6178	9330.3585
1_MACS_peak_16951_lociStitched	chr9	66454627	66460801	1	6175	13932.8658
1_MACS_peak_17097_lociStitched	chr9	98267792	98273917	1	6126	6491.887500000001
5_MACS_peak_7827_lociStitched	chr18	60982282	60988351	5	5718	4720.4682
1_MACS_peak_9779_lociStitched	chr2	158295373	158301442	1	6070	8059.6320000000005
1_MACS_peak_9994_lociStitched	chr2	201980340	201986396	1	6057	6361.8279999999995
3_MACS_peak_11930_lociStitched	chr3	107937697	107943740	3	5821	6742.779399999999
3_MACS_peak_9734_lociStitched	chr2	136889194	136895224	3	5538	4723.902
2_MACS_peak_13857_lociStitched	chr5	138723220	138729220	2	5773	5685.6
3_MACS_peak_1533_lociStitched	chr1	207994217	208000137	3	5431	5920.0
1_MACS_peak_15814_lociStitched	chr7	104581275	104587186	1	5912	12842.2386
5_MACS_peak_10714_lociStitched	chr21	19152274	19158181	5	5657	4274.8959
3_MACS_peak_15431_lociStitched	chr7	43685352	43691219	3	5777	4890.1445
1_MACS_peak_5501_lociStitched	chr15	45001924	45007781	1	5858	11392.4507
5_MACS_peak_774_lociStitched	chr1	92948180	92954005	5	5314	4576.12
1_MACS_peak_4280_lociStitched	chr12	122237558	122243353	1	5796	7254.1810000000005
2_MACS_peak_1461_lociStitched	chr1	203255153	203260946	2	5763	8205.7845
2_MACS_peak_5358_lociStitched	chr15	31616408	31622191	2	5737	10743.6574
4_MACS_peak_7087_lociStitched	chr17	38251835	38257596	4	5081	5005.1568
1_MACS_peak_13275_lociStitched	chr5	39072137	39077850	1	5714	6725.9149
3_MACS_peak_13870_lociStitched	chr5	139027421	139033128	3	5572	4518.8026
1_MACS_peak_14285_lociStitched	chr6	12008176	12013880	1	5705	7853.2672
2_MACS_peak_14899_lociStitched	chr6	108878405	108884105	2	5643	7168.320000000001
2_MACS_peak_13524_lociStitched	chr5	88025683	88031330	2	5626	3982.2644000000005
1_MACS_peak_17389_lociStitched	chr9	134549132	134554765	1	5634	5607.0882
2_MACS_peak_2011_lociStitched	chr10	63658919	63664538	2	5452	4882.3491
1_MACS_peak_3045_lociStitched	chr11	72979765	72985380	1	5616	5390.4
3_MACS_peak_10785_lociStitched	chr21	36257413	36263001	3	5447	5371.7444000000005
2_MACS_peak_5161_lociStitched	chr14	91879592	91885172	2	5390	5086.728
3_MACS_peak_13291_lociStitched	chr5	43038155	43043735	3	5345	5174.892
5_MACS_peak_6176_lociStitched	chr16	11771660	11777226	5	4346	3065.7527999999998
1_MACS_peak_5389_lociStitched	chr15	34625104	34630662	1	5559	6681.8276
3_MACS_peak_7302_lociStitched	chr17	55332927	55338464	3	5457	5718.6136
4_MACS_peak_8653_lociStitched	chr19	47216835	47222366	4	4751	4761.0848
1_MACS_peak_5361_lociStitched	chr15	31636633	31642151	1	5519	6773.345
1_MACS_peak_3002_lociStitched	chr11	69061186	69066675	1	5490	7752.663600000001
3_MACS_peak_2341_lociStitched	chr10	112112999	112118482	3	5228	5808.1419
3_MACS_peak_7913_lociStitched	chr19	1648178	1653625	3	5417	6457.9632
4_MACS_peak_14371_lociStitched	chr6	26195072	26200517	4	5049	3572.4645
4_MACS_peak_13882_lociStitched	chr5	139417493	139422920	4	5319	4261.8231
4_MACS_peak_3531_lociStitched	chr12	9880619	9886042	4	4951	3133.9516999999996
2_MACS_peak_10153_lociStitched	chr2	232570508	232575907	2	5111	7182.2897
4_MACS_peak_9050_lociStitched	chr2	30368446	30373839	4	4596	6134.537499999999
2_MACS_peak_2293_lociStitched	chr10	104401349	104406712	2	5318	5666.0095
3_MACS_peak_13248_lociStitched	chr5	32582358	32587717	3	5285	6459.2027
6_MACS_peak_9214_lociStitched	chr2	60776431	60781784	6	5070	3349.3721
3_MACS_peak_13654_lociStitched	chr5	109024293	109029644	3	5169	5819.7476
1_MACS_peak_17213_lociStitched	chr9	117263187	117268536	1	5350	6065.231099999999
3_MACS_peak_8552_lociStitched	chr19	42055250	42060562	3	4802	3955.3152
2_MACS_peak_3256_lociStitched	chr11	111246259	111251568	2	5025	5133.803
2_MACS_peak_16256_lociStitched	chr8	52809614	52814918	2	5152	5131.62
2_MACS_peak_13602_lociStitched	chr5	96267490	96272783	2	5291	5583.5857
2_MACS_peak_10694_lociStitched	chr21	9963775	9969046	2	4923	7229.7036
2_MACS_peak_1465_lociStitched	chr1	203273085	203278349	2	5188	6209.4144
6_MACS_peak_4563_lociStitched	chr13	50651571	50656833	6	4591	3196.1388
3_MACS_peak_13527_lociStitched	chr5	88118515	88123773	3	5159	4015.0087999999996
4_MACS_peak_4145_lociStitched	chr12	109025879	109031132	4	4842	3881.967
4_MACS_peak_852_lociStitched	chr1	111173531	111178783	4	4583	4104.9632
2_MACS_peak_14077_lociStitched	chr5	173168861	173174111	2	5205	5842.2
2_MACS_peak_15334_lociStitched	chr7	25986655	25991901	2	5177	5828.8306
3_MACS_peak_9864_lociStitched	chr2	175457695	175462933	3	5030	4541.8697999999995
3_MACS_peak_10997_lociStitched	chr22	23243494	23248716	3	4989	3344.691
2_MACS_peak_4547_lociStitched	chr13	49549163	49554384	2	5086	5740.4895
2_MACS_peak_13350_lociStitched	chr5	56109776	56114994	2	5108	7499.8314
2_MACS_peak_9483_lociStitched	chr2	89142350	89147555	2	5042	4357.626
1_MACS_peak_14066_lociStitched	chr5	172260525	172265709	1	5185	6527.174400000001
2_MACS_peak_5991_lociStitched	chr15	93424574	93429742	2	5117	10995.436800000001
3_MACS_peak_5338_lociStitched	chr15	27865659	27870821	3	4831	6289.3808
2_MACS_peak_5504_lociStitched	chr15	45018114	45023258	2	5119	8363.1152
3_MACS_peak_15346_lociStitched	chr7	26237329	26242468	3	5094	6400.1106
1_MACS_peak_13454_lociStitched	chr5	75141986	75147108	1	5123	5327.9044
5_MACS_peak_9449_lociStitched	chr2	87810150	87815263	5	4481	3139.382
2_MACS_peak_16763_lociStitched	chr9	5626466	5631577	2	4677	5974.759
1_MACS_peak_3693_lociStitched	chr12	46120340	46125431	1	5092	5608.245599999999
1_MACS_peak_13358_lociStitched	chr5	56468129	56473220	1	5092	8429.1687
1_MACS_peak_5697_lociStitched	chr15	69109264	69114352	1	5089	9121.7664
3_MACS_peak_13584_lociStitched	chr5	95293678	95298756	3	5045	7794.222199999999
4_MACS_peak_15772_lociStitched	chr7	101927776	101932844	4	4919	3784.2756
1_MACS_peak_8935_lociStitched	chr2	11886717	11891771	1	5055	4808.881
4_MACS_peak_6187_lociStitched	chr16	11832502	11837545	4	4522	4366.2294
1_MACS_peak_8224_lociStitched	chr19	13949423	13954446	1	5024	7387.8284
2_MACS_peak_8282_lociStitched	chr19	16434794	16439814	2	4901	9779.462
4_MACS_peak_9616_lociStitched	chr2	112193105	112198123	4	4200	3047.9332000000004
2_MACS_peak_8211_lociStitched	chr19	13261243	13266258	2	5006	4482.9085000000005
1_MACS_peak_13876_lociStitched	chr5	139046788	139051782	1	4995	5151.311000000001
4_MACS_peak_12692_lociStitched	chr4	40191697	40196668	4	4366	3078.5402999999997
3_MACS_peak_1051_lociStitched	chr1	150532577	150537546	3	4942	4314.5827
3_MACS_peak_3232_lociStitched	chr11	108091778	108096742	3	4676	5124.3372
2_MACS_peak_950_lociStitched	chr1	142886402	142891333	2	4562	6212.0738
2_MACS_peak_9330_lociStitched	chr2	70311836	70316759	2	4918	8237.6559
2_MACS_peak_9846_lociStitched	chr2	173418722	173423629	2	4779	3755.3271
1_MACS_peak_9065_lociStitched	chr2	33700222	33705120	1	4899	4165.749
2_MACS_peak_14763_lociStitched	chr6	74229174	74234054	2	4811	5346.04
2_MACS_peak_9122_lociStitched	chr2	43450547	43455423	2	4868	5309.964
1_MACS_peak_12613_lociStitched	chr4	15002848	15007707	1	4860	6865.767
3_MACS_peak_10139_lociStitched	chr2	231734675	231739532	3	4667	4034.7099
1_MACS_peak_5562_lociStitched	chr15	52968642	52973492	1	4851	11274.795
2_MACS_peak_13165_lociStitched	chr5	5751794	5756639	2	4798	3731.1345
3_MACS_peak_2907_lociStitched	chr11	65623847	65628685	3	4752	5206.6556
1_MACS_peak_14321_lociStitched	chr6	16759418	16764255	1	4838	5712.0133000000005
1_MACS_peak_15935_lociStitched	chr7	128577219	128582055	1	4837	4277.442
2_MACS_peak_14179_lociStitched	chr6	290185	295020	2	4835	6252.621999999999
4_MACS_peak_16549_lociStitched	chr8	124046533	124051359	4	4326	3488.7154
1_MACS_peak_3557_lociStitched	chr12	12875050	12879855	1	4806	5007.771
3_MACS_peak_13073_lociStitched	chr4	160023378	160028162	3	4549	4977.7519999999995
2_MACS_peak_1469_lociStitched	chr1	203293112	203297887	2	4726	4403.9825
5_MACS_peak_12316_lociStitched	chr3	171822189	171826962	5	4631	3326.781
3_MACS_peak_11255_lociStitched	chr22	41839933	41844705	3	4345	5031.5968
2_MACS_peak_10617_lociStitched	chr20	56253647	56258399	2	4520	3601.0656000000004
3_MACS_peak_13773_lociStitched	chr5	131744807	131749554	3	4409	4762.6651
1_MACS_peak_12471_lociStitched	chr3	193851419	193856158	1	4740	5354.1222
1_MACS_peak_11921_lociStitched	chr3	104237721	104242448	1	4728	4858.4106
1_MACS_peak_17364_lociStitched	chr9	132646907	132651626	1	4720	4807.2453
1_MACS_peak_1851_lociStitched	chr10	17268909	17273621	1	4713	5721.781599999999
2_MACS_peak_7055_lociStitched	chr17	36857346	36862057	2	4704	3800.3637
2_MACS_peak_14977_lociStitched	chr6	119668692	119673396	2	4612	4220.8992
2_MACS_peak_8269_lociStitched	chr19	16186169	16190868	2	4691	6411.7855
3_MACS_peak_11976_lociStitched	chr3	113463787	113468476	3	4470	6045.5277
2_MACS_peak_12445_lociStitched	chr3	186713441	186718124	2	4595	4020.3555
4_MACS_peak_4485_lociStitched	chr13	41555107	41559774	4	4253	2850.6036
2_MACS_peak_6439_lociStitched	chr16	56964505	56969168	2	4472	5358.2533
2_MACS_peak_5744_lociStitched	chr15	74916920	74921582	2	4663	3098.8313999999996
1_MACS_peak_5911_lociStitched	chr15	86232225	86236886	1	4662	3994.9431
3_MACS_peak_2043_lociStitched	chr10	70846746	70851405	3	4146	3679.2122999999997
1_MACS_peak_9447_lociStitched	chr2	87795741	87800398	1	4658	4159.6324
2_MACS_peak_7963_lociStitched	chr19	2618700	2623334	2	4550	4575.6116
2_MACS_peak_10288_lociStitched	chr20	10651021	10655654	2	4521	4119.6636
3_MACS_peak_13649_lociStitched	chr5	108743032	108747658	3	4327	6254.814600000001
3_MACS_peak_13458_lociStitched	chr5	75697129	75701749	3	4395	6032.334000000001
4_MACS_peak_4621_lociStitched	chr13	74705970	74710576	4	4002	3694.4726
4_MACS_peak_1867_lociStitched	chr10	22595709	22600312	4	4137	2730.0393
1_MACS_peak_1118_lociStitched	chr1	154297252	154301854	1	4603	5763.5448
1_MACS_peak_3058_lociStitched	chr11	73690391	73694988	1	4598	3896.8769
1_MACS_peak_13789_lociStitched	chr5	131799205	131803792	1	4588	3506.3028
2_MACS_peak_10606_lociStitched	chr20	55964339	55968891	2	4471	4366.7336000000005
4_MACS_peak_13048_lociStitched	chr4	153454917	153459468	4	4342	4668.4158
1_MACS_peak_15942_lociStitched	chr7	129588448	129592992	1	4545	7535.315200000001
1_MACS_peak_4673_lociStitched	chr13	97873647	97878168	1	4522	5110.0863
2_MACS_peak_13287_lociStitched	chr5	42991278	42995797	2	4503	5498.7192000000005
2_MACS_peak_17583_lociStitched	chrX	41190429	41194945	2	4050	3791.6336
2_MACS_peak_9077_lociStitched	chr2	37548372	37552885	2	4490	3992.1998000000003
1_MACS_peak_15054_lociStitched	chr6	143264878	143269386	1	4509	4511.6064
1_MACS_peak_5365_lociStitched	chr15	31656499	31660991	1	4493	3642.5627999999997
5_MACS_peak_746_lociStitched	chr1	87793302	87797792	5	4158	3542.161
2_MACS_peak_7077_lociStitched	chr17	38017268	38021748	2	4234	3111.36
4_MACS_peak_4697_lociStitched	chr13	111364333	111368809	4	4121	3774.6108000000004
3_MACS_peak_7518_lociStitched	chr17	75139771	75144226	3	4127	3623.2515000000003
2_MACS_peak_5005_lociStitched	chr14	69258895	69263341	2	4156	6193.7226
2_MACS_peak_17025_lociStitched	chr9	88965608	88970042	2	4058	3825.6552
3_MACS_peak_13997_lociStitched	chr5	154133797	154138217	3	3861	5079.906
4_MACS_peak_1477_lociStitched	chr1	204377288	204381702	4	3837	4542.005999999999
1_MACS_peak_11886_lociStitched	chr3	98488353	98492767	1	4415	4555.6894
3_MACS_peak_12351_lociStitched	chr3	177075111	177079514	3	4097	3350.683
2_MACS_peak_12521_lociStitched	chr3	197460198	197464592	2	4391	6088.7658
3_MACS_peak_14466_lociStitched	chr6	30582107	30586499	3	4142	4489.5024
3_MACS_peak_3110_lociStitched	chr11	78135456	78139842	3	3942	3012.3048
4_MACS_peak_1059_lociStitched	chr1	150581705	150586090	4	3720	3209.3815
2_MACS_peak_2911_lociStitched	chr11	65655373	65659754	2	4327	4939.577499999999
2_MACS_peak_12219_lociStitched	chr3	150477769	150482142	2	3989	6245.9559
4_MACS_peak_14181_lociStitched	chr6	295785	300152	4	4211	2918.9028
2_MACS_peak_16609_lociStitched	chr8	128747032	128751390	2	4237	3526.0578
2_MACS_peak_16746_lociStitched	chr9	3524764	3529122	2	4233	6678.1992
2_MACS_peak_12082_lociStitched	chr3	128837020	128841375	2	4348	4254.3994999999995
3_MACS_peak_13873_lociStitched	chr5	139038844	139043198	3	3879	2798.3158000000003
1_MACS_peak_12178_lociStitched	chr3	141205401	141209743	1	4343	5175.2298
2_MACS_peak_2018_lociStitched	chr10	63807651	63811976	2	4322	4217.3075
4_MACS_peak_3521_lociStitched	chr12	9800065	9804389	4	4096	2735.7948
1_MACS_peak_14098_lociStitched	chr5	173697099	173701418	1	4320	3395.5978
1_MACS_peak_14844_lociStitched	chr6	96024046	96028362	1	4317	4812.7716
2_MACS_peak_5356_lociStitched	chr15	31555522	31559835	2	3883	4264.2631
2_MACS_peak_5896_lociStitched	chr15	85290331	85294639	2	4277	5838.201599999999
3_MACS_peak_12221_lociStitched	chr3	151985820	151990128	3	3827	3807.4104
2_MACS_peak_5628_lociStitched	chr15	64384474	64388776	2	3870	4675.4136
1_MACS_peak_11064_lociStitched	chr22	29194363	29198665	1	4303	6348.4614
2_MACS_peak_12092_lociStitched	chr3	129032599	129036895	2	4218	5459.3568
3_MACS_peak_2895_lociStitched	chr11	65353769	65358037	3	4085	3928.2672
1_MACS_peak_5300_lociStitched	chr14	106165014	106169267	1	4254	3229.3028999999997
2_MACS_peak_13022_lociStitched	chr4	144277799	144282051	2	4074	3249.3784
2_MACS_peak_1139_lociStitched	chr1	154971510	154975761	2	3883	3740.0298000000003
2_MACS_peak_16470_lociStitched	chr8	102215055	102219303	2	4148	4412.3976
2_MACS_peak_4981_lociStitched	chr14	64968355	64972602	2	3790	6169.6169
4_MACS_peak_2188_lociStitched	chr10	92957880	92962115	4	3660	2684.143
4_MACS_peak_933_lociStitched	chr1	118299878	118304107	4	3964	2946.3442999999997
1_MACS_peak_12307_lociStitched	chr3	170072578	170076804	1	4227	6067.690799999999
1_MACS_peak_5984_lociStitched	chr15	93351222	93355443	1	4222	6873.8985
2_MACS_peak_1034_lociStitched	chr1	149856325	149860528	2	4041	4160.5497
3_MACS_peak_9473_lociStitched	chr2	89050726	89054926	3	3599	3207.96
1_MACS_peak_5537_lociStitched	chr15	50644454	50648647	1	4194	5739.7977
1_MACS_peak_7935_lociStitched	chr19	2082084	2086269	1	4186	3488.616
1_MACS_peak_15871_lociStitched	chr7	113723969	113728151	1	4183	7045.8336
2_MACS_peak_4014_lociStitched	chr12	89744482	89748660	2	4152	3288.0860000000002
1_MACS_peak_1919_lociStitched	chr10	31606957	31611131	1	4175	4143.5298
2_MACS_peak_5122_lociStitched	chr14	90082141	90086291	2	4109	4191.5
1_MACS_peak_16458_lociStitched	chr8	101319121	101323268	1	4148	3773.77
2_MACS_peak_14362_lociStitched	chr6	26122648	26126793	2	3959	3327.6059999999998
3_MACS_peak_11398_lociStitched	chr3	5227276	5231420	3	3617	3975.7536
3_MACS_peak_282_lociStitched	chr1	26436941	26441082	3	3723	3549.2511
5_MACS_peak_6202_lociStitched	chr16	12057370	12061509	5	3424	2154.3495
2_MACS_peak_13761_lociStitched	chr5	130714191	130718325	2	4047	3464.7054
1_MACS_peak_9774_lociStitched	chr2	157188113	157192246	1	4134	6999.6488
3_MACS_peak_15651_lociStitched	chr7	86846129	86850261	3	3878	4389.8368
3_MACS_peak_1411_lociStitched	chr1	197742549	197746680	3	3644	3622.4739
1_MACS_peak_13869_lociStitched	chr5	139015001	139019132	1	4132	6341.085
3_MACS_peak_12138_lociStitched	chr3	135913250	135917368	3	4033	5763.964599999999
3_MACS_peak_3713_lociStitched	chr12	48204267	48208382	3	3898	3479.6440000000002
1_MACS_peak_6987_lociStitched	chr17	29644543	29648655	1	4113	3325.7855999999997
2_MACS_peak_10866_lociStitched	chr21	44843953	44848064	2	3984	5685.9241
3_MACS_peak_9555_lociStitched	chr2	99102116	99106225	3	3602	2962.9999
2_MACS_peak_12916_lociStitched	chr4	103746158	103750264	2	4046	6137.2382
2_MACS_peak_5706_lociStitched	chr15	70387967	70392072	2	4100	5041.7609999999995
1_MACS_peak_17131_lociStitched	chr9	102581014	102585117	1	4104	6726.0479
2_MACS_peak_9620_lociStitched	chr2	112207815	112211917	2	3930	3634.372
1_MACS_peak_5996_lociStitched	chr15	94772287	94776388	1	4102	6377.465099999999
1_MACS_peak_13290_lociStitched	chr5	43017239	43021328	1	4090	4521.2073
1_MACS_peak_13783_lociStitched	chr5	131760512	131764599	1	4088	3062.7978
3_MACS_peak_17304_lociStitched	chr9	130665592	130669676	3	3890	2890.6552
1_MACS_peak_13311_lociStitched	chr5	49961133	49965211	1	4079	6894.6746
3_MACS_peak_16806_lociStitched	chr9	20620798	20624873	3	3869	3222.5099999999998
3_MACS_peak_15302_lociStitched	chr7	22484378	22488452	3	3854	3260.0148
1_MACS_peak_13269_lociStitched	chr5	36875132	36879205	1	4074	5166.6005
2_MACS_peak_7869_lociStitched	chr19	659755	663823	2	3980	3455.3592000000003
1_MACS_peak_16433_lociStitched	chr8	95958988	95963042	1	4055	3807.9222
2_MACS_peak_7307_lociStitched	chr17	55432558	55436610	2	3779	3165.0172000000002
3_MACS_peak_9119_lociStitched	chr2	43445265	43449316	3	3655	2891.1987
3_MACS_peak_14091_lociStitched	chr5	173321975	173326022	3	3784	2597.7693
1_MACS_peak_39_lociStitched	chr1	1709207	1713249	1	4043	4681.8486
2_MACS_peak_3403_lociStitched	chr11	128562518	128566549	2	4020	3143.7769000000003
1_MACS_peak_14258_lociStitched	chr6	7914979	7919007	1	4029	4864.6156
1_MACS_peak_11468_lociStitched	chr3	15835793	15839807	1	4015	4165.3278
4_MACS_peak_1176_lociStitched	chr1	156457212	156461223	4	3755	2163.9345
3_MACS_peak_218_lociStitched	chr1	22106330	22110336	3	3534	4276.805600000001
4_MACS_peak_1837_lociStitched	chr10	15828518	15832522	4	3574	2684.2816
2_MACS_peak_5738_lociStitched	chr15	74832491	74836495	2	3897	3564.7612
3_MACS_peak_12162_lociStitched	chr3	141085771	141089774	3	3837	4926.8924
2_MACS_peak_9893_lociStitched	chr2	182168636	182172637	2	3999	2791.8977999999997
2_MACS_peak_12484_lociStitched	chr3	195267016	195271017	2	3723	3420.4549
2_MACS_peak_8336_lociStitched	chr19	18389808	18393807	2	3814	7129.817099999999
1_MACS_peak_6356_lociStitched	chr16	30194057	30198053	1	3997	3807.7884
2_MACS_peak_7168_lociStitched	chr17	42295969	42299964	2	3979	4356.5475
1_MACS_peak_9440_lociStitched	chr2	87767728	87771722	1	3995	3298.6446
2_MACS_peak_8479_lociStitched	chr19	39339691	39343684	2	3520	5348.6235
1_MACS_peak_16465_lociStitched	chr8	101962088	101966076	1	3989	6704.6256
2_MACS_peak_2824_lociStitched	chr11	62606334	62610315	2	3686	5821.4163
1_MACS_peak_3320_lociStitched	chr11	118305981	118309962	1	3982	4903.7958
1_MACS_peak_15363_lociStitched	chr7	30065453	30069433	1	3981	4385.562000000001
2_MACS_peak_7426_lociStitched	chr17	66451840	66455816	2	3640	3086.9664
1_MACS_peak_12691_lociStitched	chr4	40056407	40060381	1	3975	5662.95
3_MACS_peak_7099_lociStitched	chr17	38476247	38480219	3	3674	3766.2504000000004
3_MACS_peak_3944_lociStitched	chr12	68381909	68385876	3	3803	2932.4064
1_MACS_peak_14816_lociStitched	chr6	89789024	89792986	1	3963	5502.0294
4_MACS_peak_57_lociStitched	chr1	2477131	2481091	4	3682	2910.6
2_MACS_peak_15247_lociStitched	chr7	7959439	7963394	2	3888	3092.0190000000002
1_MACS_peak_3030_lociStitched	chr11	72430317	72434270	1	3954	4158.9513
1_MACS_peak_6267_lociStitched	chr16	22200360	22204312	1	3953	4880.72
2_MACS_peak_13176_lociStitched	chr5	6712187	6716136	2	3732	3811.1798999999996
3_MACS_peak_3128_lociStitched	chr11	82866906	82870851	3	3386	5091.0225
1_MACS_peak_12348_lociStitched	chr3	176913263	176917206	1	3944	5317.5298
4_MACS_peak_14260_lociStitched	chr6	7960645	7964587	4	3036	2633.2560000000003
3_MACS_peak_3889_lociStitched	chr12	57913283	57917220	3	3744	3244.8754000000004
2_MACS_peak_334_lociStitched	chr1	28572777	28576707	2	3743	2802.0899999999997
1_MACS_peak_3295_lociStitched	chr11	115091400	115095329	1	3930	6800.7061
3_MACS_peak_6196_lociStitched	chr16	11889570	11893497	3	3846	4898.9325
