GENE_ID	locusLine	bin_1_U266_jia.bam
NM_017707	chr1(.):23750055-23815750	0.1314
NM_002167	chr1(.):23879408-23891322	1.4225
NR_027042	chr1(.):23948823-23972056	0.3836
NM_021258	chr1(.):24441260-24474611	0.1505
NR_027087	chr1(.):24521729-24543180	0.6405
NM_001199013	chr1(.):24678488-24745262	0.3973
NM_001199012	chr1(.):24678488-24746587	0.3913
NM_015627	chr1(.):25865075-25900377	0.6763
NR_026685	chr1(.):26432655-26457026	1.1755
NM_152835	chr1(.):26433267-26457026	1.2025
NM_032588	chr1(.):26372797-26399121	0.0683
NR_023345	chr1(.):26498981-26521375	0.1925
NM_024869	chr1(.):26480510-26494119	0.1418
NM_015871	chr1(.):26491387-26502364	0.2824
NM_006314	chr1(.):26498980-26521375	0.1925
NM_022778	chr1(.):26555692-26610299	0.2755
NM_001077262	chr1(.):26603772-26638195	0.8036
NM_001803	chr1(.):26639410-26652014	1.2427
NM_145345	chr1(.):26603772-26649756	0.9778
NM_001039775	chr1(.):26643349-26685621	0.4078
NM_017837	chr1(.):27109485-27129887	0.5419
NM_006015	chr1(.):27017521-27113601	0.6225
NM_018066	chr1(.):27200872-27221869	0.2419
NM_032283	chr1(.):27148200-27187211	0.435
NM_006142	chr1(.):27184632-27195947	0.9951
NM_014280	chr1(.):28521789-28564542	0.3159
NM_016311	chr1(.):28557610-28569611	0.9136
NM_001164721	chr1(.):28468676-28525447	0.2041
NM_001164722	chr1(.):28468676-28525437	0.2041
NM_031459	chr1(.):28581005-28614002	0.4671
NM_023923	chr1(.):28759660-28831881	0.149
NR_003109	chr1(.):28874528-28910057	0.396
NM_001269	chr1(.):28839744-28870708	0.3504
NM_003680	chr1(.):33235839-33288633	0.4643
NM_001198972	chr1(.):33226234-33245571	0.1252
NM_005202	chr1(.):36555843-36570850	0.1104
NM_018067	chr1(.):36616802-36651441	0.4817
NM_014408	chr1(.):36597172-36620067	0.4343
NM_022756	chr1(.):37953175-37985364	0.2217
NM_025079	chr1(.):37935118-37954978	1.0111
NM_002699	chr1(.):38504522-38517450	0.1321
NM_006802	chr1(.):38417651-38460761	0.1445
NM_004468	chr1(.):38457441-38476234	0.8583
NM_016037	chr1(.):38473383-38495497	0.5595
NR_002983	chr1(.):40028045-40038182	0.4982
NR_003929	chr1(.):39982951-40030370	0.3216
NM_001135653	chr1(.):40021484-40047521	0.682
NM_001195007	chr1(.):40199516-40234586	0.1642
NM_022120	chr1(.):40230196-40242020	1.0938
NM_017646	chr1(.):40301705-40354177	0.1929
NM_005376	chr1(.):40360283-40372687	1.1671
NM_001033081	chr1(.):40356095-40372687	1.0892
NM_012222	chr1(.):45789913-45811142	0.5617
NM_001048172	chr1(.):45789913-45810787	0.5682
NR_024270	chr1(.):45764581-45776291	0.8232
NM_032756	chr1(.):45787544-45799346	0.1924
NM_001048174	chr1(.):45789913-45810629	0.5716
NM_025077	chr1(.):45800341-45814650	0.898
NM_001262	chr1(.):51429366-51445306	2.2625
NM_078626	chr1(.):51430641-51445309	2.4524
NM_006769	chr1(.):87789150-87819607	0.5874
NM_004974	chr1(.):111140775-111153345	0.0835
NM_002232	chr1(.):111209309-111222655	1.3282
NM_017709	chr1(.):118143603-118176011	1.4124
NM_001123068	chr1(.):143762143-143772881	0.0611
NR_027469	chr1(.):143713512-143749587	0.4865
NR_027468	chr1(.):143713512-143749457	0.488
NM_207418	chr1(.):143891451-143918143	0.625
NM_001002811	chr1(.):144885590-144937032	0.8506
NM_032305	chr1(.):145451235-145475387	0.7843
NM_202004	chr1(.):145408190-145422545	0.1256
NM_006472	chr1(.):145433461-145447628	0.8412
NM_001039888	chr1(.):145465507-145480647	0.8371
NM_005105	chr1(.):145502637-145516444	0.8912
NR_027468	chr1(.):147901021-147936980	0.3895
NM_001161334	chr1(.):149749244-149788928	0.2878
NM_001034077	chr1(.):149799220-149809616	1.2606
NM_001005464	chr1(.):149807258-149817765	2.0246
NM_001040874	chr1(.):149808784-149819318	1.9878
NM_001123375	chr1(.):149779779-149790236	0.5784
NM_000566	chr1(.):149749249-149769074	0.2341
NM_005850	chr1(.):149890210-149904702	0.5906
NM_016074	chr1(.):149866154-149877348	0.4986
NM_003528	chr1(.):149851009-149863232	1.5913
NM_003517	chr1(.):149853524-149863961	1.8449
NM_175065	chr1(.):149854018-149864466	1.8379
NM_014849	chr1(.):149869871-149894434	0.2986
NM_181873	chr1(.):149895542-149913266	1.2594
NM_001145862	chr1(.):149895542-149913791	1.231
NR_036461	chr1(.):149816758-149827340	2.0149
NM_001040874	chr1(.):149817627-149828161	2.0187
NM_001005464	chr1(.):149819180-149829687	2.0466
NM_001034077	chr1(.):149827329-149837725	1.2657
NM_030920	chr1(.):150185716-150213504	0.7065
NM_001136479	chr1(.):150185716-150212026	0.7375
NM_012113	chr1(.):150225217-150242480	0.6439
NM_024579	chr1(.):150240182-150258335	0.8671
NM_144697	chr1(.):150250228-150264501	0.633
NM_016022	chr1(.):150232798-150246532	0.618
NM_019032	chr1(.):150516897-150538412	1.9844
NM_207046	chr1(.):150589598-150606609	0.6059
NM_025008	chr1(.):150516897-150536223	1.6443
NR_036211	chr1(.):150519404-150529490	0.4192
NM_001197320	chr1(.):150542026-150557214	2.1876
NM_012432	chr1(.):150893814-150942220	0.1935
NM_001163258	chr1(.):150964300-150985854	0.5774
NM_181746	chr1(.):150932648-150952440	0.8457
NR_026977	chr1(.):150893824-150922797	0.2423
NM_003568	chr1(.):150949498-150973114	0.6337
NM_001163260	chr1(.):150964300-150984273	0.612
NM_001040217	chr1(.):150964300-150984385	0.6094
NM_014437	chr1(.):153926587-153945188	1.7681
NM_130898	chr1(.):153935396-153951832	1.7421
NM_181715	chr1(.):153915151-153936043	1.5146
NM_006694	chr1(.):153941744-153955451	0.8769
NM_002870	chr1(.):153949127-153963806	1.0679
NM_014856	chr1(.):153896976-153924154	0.5629
NM_001030	chr1(.):153958238-153969631	0.7465
NM_001018837	chr1(.):154240038-154253355	0.5464
NM_001098616	chr1(.):154174182-154198273	0.9563
NM_001127320	chr1(.):154187654-154240980	0.4067
NM_001010979	chr1(.):154166847-154183809	0.3967
NR_030600	chr1(.):154161140-154171219	0.1465
NM_014847	chr1(.):154188324-154248329	0.459
NM_020452	chr1(.):154295275-154328780	0.6637
NM_001005855	chr1(.):154293035-154315322	0.8872
NM_080429	chr1(.):154288591-154302801	1.2402
NM_006556	chr1(.):154892207-154914484	1.0546
NM_005227	chr1(.):155031212-155047029	0.984
NM_001130041	chr1(.):154929773-154951959	1.7429
NM_001130040	chr1(.):154929773-154948223	1.864
NM_201398	chr1(.):154950769-154970587	0.3787
NM_015872	chr1(.):154970111-154995999	2.246
NM_207196	chr1(.):155018761-155040252	0.8588
NM_018655	chr1(.):154961061-154971791	0.4223
NM_001143687	chr1(.):155001281-155028406	0.3713
NR_024163	chr1(.):154942117-154956725	1.8455
NM_144622	chr1(.):154986002-155011257	0.3711
NM_138300	chr1(.):154924501-154939258	1.6144
NR_036212	chr1(.):154943168-154953259	2.0044
NM_001018017	chr1(.):155153299-155167700	0.7713
NM_198883	chr1(.):155173489-155188624	0.4504
NM_018973	chr1(.):155107366-155117883	1.4952
NM_153741	chr1(.):155107366-155117996	1.4801
NM_173852	chr1(.):155136883-155150804	0.6719
NM_004428	chr1(.):155095348-155112386	0.7962
NM_007112	chr1(.):155160378-155182690	0.7069
NM_001122837	chr1(.):155103287-155116334	1.2456
NM_025058	chr1(.):155141359-155162445	0.5288
NR_030281	chr1(.):155159967-155170063	0.9548
NM_001005742	chr1(.):155199238-155219653	0.6104
NM_003993	chr1(.):155227658-155248281	0.7799
NM_181871	chr1(.):155254083-155275792	0.1817
NM_198264	chr1(.):155211995-155230274	0.8561
NM_052837	chr1(.):155220771-155237195	0.651
NM_020897	chr1(.):155242373-155264638	0.4852
NM_001171812	chr1(.):155199238-155216066	0.7096
NM_000157	chr1(.):155199238-155216069	0.7094
NM_001135821	chr1(.):155273704-155295457	0.9855
NM_002004	chr1(.):155273538-155295457	0.979
NM_005698	chr1(.):155220769-155237195	0.6512
NM_000298	chr1(.):155254083-155276225	0.1828
NM_006912	chr1(.):155862600-155886177	0.2852
NM_001162384	chr1(.):155911629-155953336	1.5388
NM_181885	chr1(.):155906479-155917625	2.1767
NM_004723	chr1(.):155911629-155952966	1.5258
NM_014949	chr1(.):155877835-155909188	0.5055
NR_002974	chr1(.):155884699-155894833	0.1267
NR_003005	chr1(.):155890748-155900877	0.1673
NM_003145	chr1(.):155973838-155995758	0.3706
NM_014655	chr1(.):156158729-156187587	0.5237
NM_022367	chr1(.):156118321-156152542	0.4226
NM_001193302	chr1(.):156118368-156152542	0.4216
NM_001193301	chr1(.):156114734-156152542	0.4708
NM_005920	chr1(.):156428518-156475529	2.6248
NM_006365	chr1(.):156369054-156404184	0.1266
NM_198427	chr1(.):156606739-156628264	0.2804
NM_021817	chr1(.):156584085-156600517	0.2248
NM_021948	chr1(.):156606739-156634320	1.3505
NM_004494	chr1(.):156706898-156726543	2.2825
NM_001126051	chr1(.):156706898-156727024	2.2301
NM_001126050	chr1(.):156706898-156727240	2.2076
NM_030980	chr1(.):156687412-156702705	0.8446
NM_001878	chr1(.):156664407-156680375	0.141
NM_001142560	chr1(.):156693262-156711752	0.9699
NM_145729	chr1(.):156702093-156715923	0.8719
NM_006617	chr1(.):156633555-156652189	1.0415
NM_001012331	chr1(.):156825670-156856642	0.2098
NM_003975	chr1(.):156771034-156791640	0.5258
NM_001161444	chr1(.):156771848-156791640	0.4907
NM_014215	chr1(.):156805664-156833666	0.237
NM_001161443	chr1(.):156771034-156790939	0.5411
NM_001007792	chr1(.):156780541-156856642	0.2366
NM_001001734	chr1(.):160142200-160161767	0.1205
NM_003768	chr1(.):160170124-160190162	1.1912
NM_001778	chr1(.):160643535-160686585	1.0618
NM_003037	chr1(.):160574890-160622081	0.1629
NM_021181	chr1(.):160704076-160729601	0.2553
NM_001077470	chr1(.):161194455-161213000	0.3695
NM_001039711	chr1(.):161085768-161107478	0.8363
NM_016406	chr1(.):161118533-161133646	0.94
NM_004550	chr1(.):161164104-161189184	0.7956
NM_000309	chr1(.):161131180-161146010	0.9125
NM_001643	chr1(.):161187082-161198418	0.8568
NM_001185094	chr1(.):161082907-161095984	0.7475
NM_003779	chr1(.):161136100-161152314	1.5231
NM_012475	chr1(.):161124253-161140516	0.8573
NM_001039712	chr1(.):161085768-161107256	0.8429
NM_005600	chr1(.):161082861-161095984	0.745
NM_001185093	chr1(.):161082906-161095984	0.7475
NM_032174	chr1(.):161190832-161205407	0.4607
NM_001166159	chr1(.):161166936-161189184	0.8704
NM_005099	chr1(.):161154537-161173845	0.9041
NM_004106	chr1(.):161180086-161194038	0.7709
NM_001146191	chr1(.):167686186-167766156	0.168
NM_022100	chr1(.):174977093-174997591	0.2378
NR_033186	chr1(.):178506930-178523024	0.8402
NM_022371	chr1(.):179046111-179070129	1.5844
NM_001168239	chr1(.):179063461-179117224	0.1196
NM_015602	chr1(.):179846419-179894211	0.4223
NM_021133	chr1(.):182537771-182561108	0.1602
NM_002928	chr1(.):182562757-182578548	0.3979
NM_001102450	chr1(.):182610791-182647067	0.1158
NR_036490	chr1(.):182579274-182590764	1.4728
NM_005298	chr1(.):200837165-200848251	1.0166
NM_018265	chr1(.):200855638-200889864	0.6094
NM_001142569	chr1(.):200858998-200889864	0.3876
NM_017596	chr1(.):200933519-200997828	0.5777
NR_034150	chr1(.):203262885-203279453	1.8689
NM_003465	chr1(.):203180206-203203860	0.0809
NM_006763	chr1(.):203269663-203283729	1.6372
NM_002023	chr1(.):203304751-203325289	0.1271
NM_001123168	chr1(.):206133910-206160074	0.5731
NM_001004023	chr1(.):206803880-206827542	0.1267
NM_006893	chr1(.):206759973-206790904	0.2663
NM_182665	chr1(.):206725491-206767616	0.8991
NM_032960	chr1(.):206853288-206912626	0.6609
NM_153606	chr1(.):212792788-212805120	0.1344
NM_001030287	chr1(.):212733696-212799116	0.3509
NM_001674	chr1(.):212776993-212799116	0.8143
NM_020997	chr1(.):226068981-226081836	0.7384
NM_001172425	chr1(.):226119297-226134083	1.2069
NM_013328	chr1(.):226102579-226116965	0.5894
NM_003493	chr1(.):228607545-228618026	0.0659
NM_033445	chr1(.):228640064-228650560	1.1052
NM_016102	chr1(.):228590635-228609583	0.2676
NM_001010858	chr1(.):228670067-228688889	1.8193
NM_175055	chr1(.):228640807-228651259	1.1805
NR_002834	chr1(.):228775656-228793159	0.6926
NM_145257	chr1(.):229451751-229483688	0.5407
NM_006542	chr1(.):229435128-229446250	0.0705
NM_002245	chr1(.):233744749-233813258	1.4155
NM_005646	chr1(.):234522058-234619849	0.2029
NM_182972	chr1(.):234735014-234750271	3.8648
NR_033927	chr1(.):234760056-234775526	0.1006
NM_004837	chr1(.):235486868-235512844	0.7129
NM_001037277	chr1(.):235486752-235512844	0.7102
NM_031844	chr1(.):245008601-245032827	0.8908
NM_198076	chr1(.):244993638-245013359	1.0264
NR_026778	chr1(.):244998939-245015243	0.4291
NM_016002	chr1(.):246882377-246936440	0.186
NR_015422	chr1(.):246947918-246959788	0.7514
NM_015535	chr2(.):201165603-201351986	0.2314
NM_001100422	chr2(.):201165984-201351986	0.2318
NM_001100423	chr2(.):201166355-201351986	0.2322
NM_206943	chr2(.):33167368-33629575	0.1654
NM_014600	chr2(.):31451879-31496260	0.4778
NM_001083590	chr2(.):27250773-27269565	0.4929
NM_138394	chr2(.):38785327-38835178	0.8645
NR_033872	chr2(.):70184394-70319147	0.2819
NR_015395	chr2(.):112119590-112257692	0.9482
NR_024373	chr2(.):112181885-112257692	1.6132
NM_019850	chr2(.):233738395-233882951	0.0673
NM_001037131	chr2(.):236397735-237039120	0.0937
NM_012293	chr2(.):1630658-1753291	0.419
NM_024027	chr2(.):3637636-3697047	0.4951
NM_145693	chr2(.):11881739-11972533	0.6868
NR_027097	chr2(.):33147193-33176202	0.8603
NM_170672	chr2(.):33656415-33794798	0.4532
NM_005813	chr2(.):37472645-37549222	0.667
NM_006449	chr2(.):37865742-37904326	1.1377
NM_138801	chr2(.):38888051-38966909	0.7988
NM_005633	chr2(.):39203689-39352604	0.2209
NM_014755	chr2(.):64853754-64886046	0.5526
NR_036586	chr2(.):65123973-65164581	0.6445
NM_003896	chr2(.):86061270-86121157	0.9873
NR_024204	chr2(.):87749973-87826030	1.6372
NM_004836	chr2(.):88851258-88932094	0.4716
NM_004027	chr2(.):99056320-99212496	0.6133
NM_001566	chr2(.):99056320-99203284	0.6463
NM_001142807	chr2(.):111485149-111880799	0.1856
NM_005721	chr2(.):114642536-114721167	0.2785
NM_033394	chr2(.):159820145-160094170	0.2846
NM_006164	chr2(.):178090032-178134859	0.4362
NM_001145413	chr2(.):178090032-178133617	0.4471
NM_014905	chr2(.):191740546-191834776	0.2529
NM_004226	chr2(.):196993306-197041336	0.4197
NM_001228	chr2(.):202093165-202157434	0.4931
NM_003879	chr2(.):201975889-202034003	1.042
NM_001127184	chr2(.):201975815-202011323	1.5657
NM_173822	chr2(.):201833440-201941392	0.2542
NM_033358	chr2(.):202093165-202151638	0.5354
NM_001167608	chr2(.):227695670-227868923	0.1436
NM_001017915	chr2(.):233920035-234121549	0.3182
NM_017844	chr2(.):241413838-241502405	0.1835
NM_001195381	chr2(.):241539824-241575676	0.1764
NM_005301	chr2(.):241559661-241575676	0.2712
NM_001011	chr2(.):3617852-3633509	0.5264
NM_002936	chr2(.):3587690-3610940	0.3576
NM_018436	chr2(.):3700785-3755260	0.1348
NM_003108	chr2(.):5827798-5846517	1.4827
NM_003183	chr2(.):9624410-9700917	0.327
NM_001177718	chr2(.):10179371-10199963	0.7092
NM_001177716	chr2(.):10178955-10199963	0.6979
NM_001037160	chr2(.):10191925-10225538	0.138
NM_003597	chr2(.):10178681-10199963	0.6905
NM_182626	chr2(.):10276508-10356856	0.1168
NM_001165931	chr2(.):10257694-10276546	1.0459
NM_001034	chr2(.):10257862-10276546	1.054
NM_198256	chr2(.):11579500-11611297	0.3208
NM_033090	chr2(.):11677850-11737272	0.176
NM_014668	chr2(.):11669241-11787912	0.1399
NM_148903	chr2(.):11675079-11733355	0.1783
NM_002997	chr2(.):20395557-20429927	4.104
NM_001006946	chr2(.):20395557-20430194	4.0732
NM_007046	chr2(.):27296434-27314265	0.9514
NM_001166239	chr2(.):27318461-27346773	0.2056
NM_001166240	chr2(.):27317220-27346995	0.2261
NM_013388	chr2(.):27348624-27362542	0.4647
NM_006488	chr2(.):27304610-27328619	0.4928
NM_001035507	chr2(.):27269490-27287403	0.6561
NM_021831	chr2(.):27269490-27298490	0.7065
NM_001166241	chr2(.):27317220-27338970	0.1804
NM_032604	chr2(.):27341656-27358680	0.5215
NM_001134693	chr2(.):27288341-27299567	0.8567
NM_080592	chr2(.):27429898-27445046	1.0427
NM_001170795	chr2(.):27430218-27445046	1.0611
NM_003459	chr2(.):27472439-27490960	0.219
NM_004341	chr2(.):27435257-27471654	0.3983
NM_021095	chr2(.):27417454-27440175	0.5108
NM_005253	chr2(.):28610778-28642516	0.6187
NM_001145122	chr2(.):31390921-31445411	0.451
NM_015376	chr2(.):33733941-33794798	0.1339
NM_001139488	chr2(.):33696320-33794798	0.5893
NM_012413	chr2(.):37566752-37605465	3.1079
NM_024775	chr2(.):39000326-39014106	0.2968
NM_001031684	chr2(.):38965740-38983636	0.8681
NM_148962	chr2(.):42984638-42996401	0.1533
NM_012205	chr2(.):42989228-43024751	0.1564
NM_006887	chr2(.):43444540-43458745	2.299
NR_027251	chr2(.):43449349-43460994	1.7835
NR_034023	chr2(.):64829445-64848616	0.189
NM_001193493	chr2(.):65210578-65256000	0.3925
NM_003038	chr2(.):65211494-65256000	0.3988
NM_181784	chr2(.):65532984-65664656	0.3715
NM_006196	chr2(.):70309584-70321334	1.8898
NR_024444	chr2(.):70346167-70357448	0.8296
NM_003761	chr2(.):85799613-85814156	0.1886
NM_005911	chr2(.):85761287-85777403	1.0401
NM_000821	chr2(.):85771192-85793657	0.2431
NM_006634	chr2(.):85806530-85825511	0.3213
NM_001042437	chr2(.):86061271-86099793	0.8256
NM_015425	chr2(.):86248450-86338278	0.4743
NR_026984	chr2(.):86242338-86255991	1.2796
NR_026875	chr2(.):97158382-97178846	0.1553
NM_212481	chr2(.):97197463-97223371	0.6671
NM_002101	chr2(.):127408683-127459246	0.7596
NM_003467	chr2(.):136866918-136880725	1.1657
NM_001008540	chr2(.):136866918-136878813	1.344
NM_004288	chr2(.):158266130-158305604	0.6144
NM_001172712	chr2(.):174766186-174835430	0.3798
NM_001017371	chr2(.):174766186-174833947	0.3869
NR_036075	chr2(.):178115672-178125738	0.105
NM_139266	chr2(.):191835262-191883976	0.4163
NM_007315	chr2(.):191828761-191883976	0.3814
NM_002491	chr2(.):201931461-201955473	0.398
NM_001127183	chr2(.):201978386-202033841	1.0848
NM_032974	chr2(.):202042620-202099110	0.3508
NM_033356	chr2(.):202120222-202157434	0.4706
NM_001080125	chr2(.):202117753-202157434	0.4789
NM_006139	chr2(.):204566197-204607557	0.6256
NM_017431	chr2(.):219682105-219701512	0.0583
NM_025216	chr2(.):219740254-219763651	1.5392
NM_006522	chr2(.):219719545-219743954	0.2192
NM_005544	chr2(.):227591032-227668506	0.5336
NM_001099285	chr2(.):232568234-232583250	1.8252
NR_036052	chr2(.):232573023-232583105	1.481
NM_005383	chr2(.):233892381-233904767	0.0682
NM_023083	chr2(.):241521132-241543526	0.6499
NM_001033575	chr2(.):241494470-241508431	2.006
NM_018226	chr2(.):241503103-241523143	1.2744
NM_014674	chr3(.):5224358-5266650	0.615
NM_016128	chr3(.):128963452-129001616	0.6077
NM_003571	chr3(.):133113789-133199056	0.4249
NM_005862	chr3(.):136050998-136476245	0.1088
NM_207294	chr3(.):152012193-152188569	0.2174
NM_021038	chr3(.):151980828-152188568	0.283
NM_001135095	chr3(.):171753343-172123492	0.4707
NM_022763	chr3(.):171752417-172123492	0.4701
NM_001570	chr3(.):10201562-10290427	0.4014
NM_024923	chr3(.):13352736-13466809	0.9627
NM_015340	chr3(.):45425074-45595328	0.2292
NM_014016	chr3(.):45725753-45791900	0.2142
NM_001123396	chr3(.):46390234-46405868	2.0596
NM_001123041	chr3(.):46390234-46407413	1.889
NM_006254	chr3(.):53190222-53231733	0.5892
NM_007114	chr3(.):69063977-69106484	0.1238
NM_001126128	chr3(.):71815805-71839357	0.7286
NM_024628	chr3(.):124796479-124936609	0.2544
NM_001195483	chr3(.):124796481-124935243	0.2561
NM_001001487	chr3(.):130608433-130740555	0.1124
NM_001199181	chr3(.):130564368-130727046	0.1808
NM_001199180	chr3(.):130564368-130740555	0.1724
NM_001199179	chr3(.):130607834-130727046	0.1168
NM_001001485	chr3(.):130607858-130740555	0.1122
NM_001199184	chr3(.):130607904-130727046	0.1169
NM_014382	chr3(.):130608291-130727046	0.117
NM_001134422	chr3(.):133287433-133314118	0.6496
NM_001134423	chr3(.):133288300-133314118	0.6688
NM_001080412	chr3(.):141038054-141173632	0.8304
NM_016275	chr3(.):150316065-150353234	0.6398
NM_005067	chr3(.):150453909-150486263	0.9253
NM_001190242	chr3(.):159969773-160106554	0.0713
NM_001190241	chr3(.):159969773-160122320	0.1678
NM_024665	chr3(.):176733541-176920048	0.2889
NM_130446	chr3(.):183200318-183278499	1.1147
NM_014616	chr3(.):182506290-182644421	0.1962
NM_173216	chr3(.):186643314-186801341	1.1098
NM_003032	chr3(.):186734664-186801341	0.8727
NM_178496	chr3(.):192509604-192640950	0.7666
NM_001647	chr3(.):195290572-195316076	0.1304
NM_032773	chr3(.):197513144-197603456	0.184
NM_003670	chr3(.):5016096-5031865	1.9074
NM_000551	chr3(.):10178318-10198746	0.3209
NM_014760	chr3(.):10285176-10327906	0.2935
NM_014240	chr3(.):45631322-45727755	0.764
NR_033947	chr3(.):45714656-45735374	0.4872
NM_001295	chr3(.):46238199-46254832	0.7225
NM_001837	chr3(.):46278871-46313197	0.0615
NM_003965	chr3(.):46443720-46456014	0.097
NM_001100168	chr3(.):46406632-46422697	0.3869
NM_001130910	chr3(.):46444048-46456014	0.0982
NM_199074	chr3(.):49052907-49065926	1.6098
NM_199073	chr3(.):49053617-49065926	1.6906
NM_017730	chr3(.):49062141-49136504	0.2269
NM_177939	chr3(.):49022340-49049581	0.5162
NM_018031	chr3(.):49039636-49058386	0.9436
NM_000884	chr3(.):49056761-49071875	1.2785
NM_018114	chr3(.):49047434-49063467	1.3194
NM_199070	chr3(.):49054073-49065926	1.7455
NM_001009996	chr3(.):49047434-49061017	1.4901
NR_029690	chr3(.):49053050-49063142	2.0014
NR_029948	chr3(.):49052580-49062667	1.982
NM_052859	chr3(.):53117500-53169470	0.3683
NM_198195	chr3(.):69098880-69134524	0.4928
NM_006407	chr3(.):69129089-69160239	0.887
NM_198271	chr3(.):69151038-69176746	0.0851
NR_036087	chr3(.):69093108-69103186	0.3387
