GENE_ID	locusLine	bin_1_04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam
1_MACS_peak_91_lociStitched	chr1(.):6977970-6980091	0.9001
1_MACS_peak_92_lociStitched	chr1(.):7830704-7832305	0.7142
2_MACS_peak_93_lociStitched	chr1(.):8013628-8022540	0.3991
1_MACS_peak_95_lociStitched	chr1(.):8455072-8456188	0.5736
1_MACS_peak_96_lociStitched	chr1(.):8663733-8664587	0.5029
2_MACS_peak_97_lociStitched	chr1(.):8760828-8773520	0.3332
1_MACS_peak_99_lociStitched	chr1(.):8876210-8878703	1.2968
1_MACS_peak_100_lociStitched	chr1(.):8937126-8939926	2.8292
1_MACS_peak_101_lociStitched	chr1(.):9137917-9141780	1.1247
1_MACS_peak_102_lociStitched	chr1(.):9170727-9174046	0.8046
1_MACS_peak_103_lociStitched	chr1(.):9188485-9189207	0.5086
1_MACS_peak_104_lociStitched	chr1(.):9222073-9226139	2.9208
1_MACS_peak_105_lociStitched	chr1(.):9241280-9243311	1.2919
1_MACS_peak_106_lociStitched	chr1(.):9294424-9295817	0.949
1_MACS_peak_107_lociStitched	chr1(.):9340595-9341484	0.5364
1_MACS_peak_108_lociStitched	chr1(.):9473016-9474145	0.631
2_MACS_peak_109_lociStitched	chr1(.):9485070-9489858	0.875
1_MACS_peak_111_lociStitched	chr1(.):9599471-9600425	0.7754
1_MACS_peak_112_lociStitched	chr1(.):9648832-9650370	1.1162
1_MACS_peak_113_lociStitched	chr1(.):9748892-9749599	0.4216
1_MACS_peak_114_lociStitched	chr1(.):9776674-9778773	1.9668
1_MACS_peak_115_lociStitched	chr1(.):9846693-9848754	1.0918
1_MACS_peak_116_lociStitched	chr1(.):9882838-9884444	1.0169
2_MACS_peak_117_lociStitched	chr1(.):9969113-9971603	0.9855
2_MACS_peak_119_lociStitched	chr1(.):10002487-10011535	0.4044
1_MACS_peak_121_lociStitched	chr1(.):10050166-10051925	0.9534
1_MACS_peak_122_lociStitched	chr1(.):10092536-10094219	1.7507
1_MACS_peak_123_lociStitched	chr1(.):10228732-10231742	1.0776
1_MACS_peak_124_lociStitched	chr1(.):10249058-10250884	0.9413
2_MACS_peak_125_lociStitched	chr1(.):10260077-10271840	0.4175
1_MACS_peak_127_lociStitched	chr1(.):10310803-10314845	0.9869
1_MACS_peak_128_lociStitched	chr1(.):10458304-10460104	1.0529
1_MACS_peak_129_lociStitched	chr1(.):10489777-10491823	1.7893
1_MACS_peak_130_lociStitched	chr1(.):10516622-10518139	0.6997
2_MACS_peak_131_lociStitched	chr1(.):10531709-10535892	0.6316
1_MACS_peak_133_lociStitched	chr1(.):10999171-11001131	0.9612
1_MACS_peak_134_lociStitched	chr1(.):11071441-11073943	4.8099
1_MACS_peak_135_lociStitched	chr1(.):11118641-11121325	1.3775
1_MACS_peak_136_lociStitched	chr1(.):11158886-11160643	2.3551
1_MACS_peak_137_lociStitched	chr1(.):11321820-11323045	0.9327
1_MACS_peak_138_lociStitched	chr1(.):11332790-11334462	2.5792
1_MACS_peak_139_lociStitched	chr1(.):11538425-11540031	5.3096
1_MACS_peak_140_lociStitched	chr1(.):11582435-11583399	0.453
2_MACS_peak_141_lociStitched	chr1(.):11623233-11631918	1.0151
1_MACS_peak_143_lociStitched	chr1(.):11714032-11715133	0.5406
1_MACS_peak_144_lociStitched	chr1(.):11723912-11725163	0.6257
1_MACS_peak_145_lociStitched	chr1(.):11740345-11742145	1.426
1_MACS_peak_146_lociStitched	chr1(.):11795735-11798224	1.1823
1_MACS_peak_147_lociStitched	chr1(.):11843075-11845317	0.8116
1_MACS_peak_148_lociStitched	chr1(.):11864666-11867429	2.2272
1_MACS_peak_149_lociStitched	chr1(.):11967617-11970748	4.4135
3_MACS_peak_150_lociStitched	chr1(.):11984401-11995452	0.3117
1_MACS_peak_153_lociStitched	chr1(.):12039461-12041310	2.0632
1_MACS_peak_154_lociStitched	chr1(.):12078709-12080566	0.8663
2_MACS_peak_155_lociStitched	chr1(.):12106828-12113258	0.7477
1_MACS_peak_157_lociStitched	chr1(.):12139064-12139919	0.6775
3_MACS_peak_158_lociStitched	chr1(.):12220919-12234692	0.4334
1_MACS_peak_161_lociStitched	chr1(.):12289742-12291167	1.0703
1_MACS_peak_162_lociStitched	chr1(.):13824817-13825948	0.5328
1_MACS_peak_163_lociStitched	chr1(.):13968541-13969525	0.4537
1_MACS_peak_164_lociStitched	chr1(.):14025976-14027423	0.8912
1_MACS_peak_165_lociStitched	chr1(.):14056587-14058400	1.0117
1_MACS_peak_166_lociStitched	chr1(.):14074807-14077141	1.2473
1_MACS_peak_167_lociStitched	chr1(.):14155203-14156385	0.7359
3_MACS_peak_168_lociStitched	chr1(.):14237367-14254707	0.452
1_MACS_peak_171_lociStitched	chr1(.):14271856-14273665	0.6406
1_MACS_peak_172_lociStitched	chr1(.):14293386-14295309	0.672
2_MACS_peak_173_lociStitched	chr1(.):14336026-14344982	0.7351
1_MACS_peak_175_lociStitched	chr1(.):14361858-14367656	1.2997
2_MACS_peak_176_lociStitched	chr1(.):14501058-14508693	0.4031
1_MACS_peak_178_lociStitched	chr1(.):14695970-14697513	0.7807
1_MACS_peak_179_lociStitched	chr1(.):15150334-15151864	0.5966
1_MACS_peak_180_lociStitched	chr1(.):15161311-15164395	2.063
2_MACS_peak_181_lociStitched	chr1(.):15202820-15209266	0.3451
2_MACS_peak_183_lociStitched	chr1(.):15479863-15483757	0.4357
2_MACS_peak_185_lociStitched	chr1(.):15501840-15506502	0.5757
1_MACS_peak_187_lociStitched	chr1(.):15545968-15546764	0.5391
1_MACS_peak_188_lociStitched	chr1(.):15557515-15559082	0.4369
1_MACS_peak_189_lociStitched	chr1(.):15688308-15689809	0.6195
1_MACS_peak_190_lociStitched	chr1(.):15710466-15711282	0.4308
1_MACS_peak_191_lociStitched	chr1(.):15735399-15737609	1.0071
2_MACS_peak_192_lociStitched	chr1(.):15850207-15854340	0.7403
3_MACS_peak_194_lociStitched	chr1(.):15897375-15912179	0.6509
1_MACS_peak_197_lociStitched	chr1(.):15942819-15945345	1.2289
1_MACS_peak_198_lociStitched	chr1(.):16009816-16012116	1.4535
1_MACS_peak_199_lociStitched	chr1(.):16022994-16024705	1.2927
1_MACS_peak_200_lociStitched	chr1(.):16160310-16163441	4.0521
2_MACS_peak_201_lociStitched	chr1(.):16173077-16178954	1.3802
1_MACS_peak_203_lociStitched	chr1(.):16301724-16303129	0.7744
1_MACS_peak_204_lociStitched	chr1(.):16399837-16400893	0.5556
1_MACS_peak_205_lociStitched	chr1(.):16532704-16534311	0.7759
1_MACS_peak_206_lociStitched	chr1(.):16543178-16544267	0.4887
1_MACS_peak_207_lociStitched	chr1(.):16562719-16564396	0.8818
1_MACS_peak_208_lociStitched	chr1(.):16677811-16679779	1.2851
1_MACS_peak_209_lociStitched	chr1(.):16692766-16695226	2.0772
1_MACS_peak_210_lociStitched	chr1(.):16766582-16771406	0.8181
1_MACS_peak_211_lociStitched	chr1(.):16825063-16826234	0.7062
1_MACS_peak_213_lociStitched	chr1(.):16938813-16940953	1.5692
1_MACS_peak_214_lociStitched	chr1(.):16969599-16972452	4.0652
1_MACS_peak_215_lociStitched	chr1(.):16992020-16994587	21.1567
1_MACS_peak_216_lociStitched	chr1(.):17011970-17013104	0.6261
2_MACS_peak_217_lociStitched	chr1(.):17065868-17075604	5.7954
3_MACS_peak_219_lociStitched	chr1(.):17221233-17241655	3.8995
1_MACS_peak_222_lociStitched	chr1(.):17286815-17288134	0.7724
1_MACS_peak_223_lociStitched	chr1(.):17337645-17338354	0.4181
1_MACS_peak_224_lociStitched	chr1(.):17379425-17381015	0.9611
2_MACS_peak_225_lociStitched	chr1(.):17763553-17769043	0.9289
1_MACS_peak_227_lociStitched	chr1(.):17786653-17788417	0.6554
1_MACS_peak_228_lociStitched	chr1(.):19228237-19230176	3.2444
1_MACS_peak_229_lociStitched	chr1(.):19252296-19255149	1.9597
2_MACS_peak_230_lociStitched	chr1(.):19277083-19284103	0.5163
1_MACS_peak_232_lociStitched	chr1(.):19535589-19538111	1.3917
1_MACS_peak_233_lociStitched	chr1(.):19577238-19579354	3.054
1_MACS_peak_234_lociStitched	chr1(.):19637484-19639919	2.1306
2_MACS_peak_235_lociStitched	chr1(.):19810870-19822816	0.4174
1_MACS_peak_237_lociStitched	chr1(.):19922315-19924804	2.9616
1_MACS_peak_238_lociStitched	chr1(.):20084904-20085834	0.519
1_MACS_peak_239_lociStitched	chr1(.):20125387-20127525	1.4633
1_MACS_peak_240_lociStitched	chr1(.):20141472-20143160	0.5469
1_MACS_peak_241_lociStitched	chr1(.):20208441-20209892	1.1993
1_MACS_peak_242_lociStitched	chr1(.):20406687-20408552	0.5367
1_MACS_peak_243_lociStitched	chr1(.):20445701-20446810	0.4691
2_MACS_peak_244_lociStitched	chr1(.):20833715-20838953	0.4357
1_MACS_peak_246_lociStitched	chr1(.):20959632-20960842	0.9122
2_MACS_peak_247_lociStitched	chr1(.):20984542-20989003	0.9886
1_MACS_peak_249_lociStitched	chr1(.):21058587-21060667	0.8319
1_MACS_peak_250_lociStitched	chr1(.):21112023-21114749	1.8411
1_MACS_peak_251_lociStitched	chr1(.):21290692-21291940	0.6071
1_MACS_peak_252_lociStitched	chr1(.):21348475-21349721	1.1182
1_MACS_peak_253_lociStitched	chr1(.):21502046-21504110	1.1125
2_MACS_peak_254_lociStitched	chr1(.):21615534-21622626	3.0544
1_MACS_peak_256_lociStitched	chr1(.):21659988-21661798	1.4252
1_MACS_peak_257_lociStitched	chr1(.):21670918-21672808	0.8805
1_MACS_peak_258_lociStitched	chr1(.):21754708-21755602	0.5191
1_MACS_peak_259_lociStitched	chr1(.):21765887-21767259	0.6961
2_MACS_peak_260_lociStitched	chr1(.):22107323-22119612	1.5136
1_MACS_peak_262_lociStitched	chr1(.):22191178-22193900	2.436
1_MACS_peak_263_lociStitched	chr1(.):22263880-22264613	0.8611
2_MACS_peak_264_lociStitched	chr1(.):22345047-22353463	1.1757
1_MACS_peak_266_lociStitched	chr1(.):22365696-22367429	0.7322
1_MACS_peak_267_lociStitched	chr1(.):22378323-22380580	1.609
1_MACS_peak_268_lociStitched	chr1(.):22489144-22490514	0.7545
1_MACS_peak_269_lociStitched	chr1(.):22777913-22779401	1.1808
1_MACS_peak_270_lociStitched	chr1(.):22820188-22823831	0.8706
1_MACS_peak_271_lociStitched	chr1(.):22834164-22835806	0.5526
1_MACS_peak_272_lociStitched	chr1(.):23345217-23347154	0.6945
1_MACS_peak_273_lociStitched	chr1(.):23493879-23495663	0.4821
1_MACS_peak_274_lociStitched	chr1(.):23669463-23671873	3.3563
1_MACS_peak_275_lociStitched	chr1(.):23694082-23696531	0.8525
2_MACS_peak_276_lociStitched	chr1(.):23850312-23867218	1.6743
2_MACS_peak_278_lociStitched	chr1(.):23880270-23886572	0.7877
3_MACS_peak_280_lociStitched	chr1(.):23937205-23954652	0.4877
1_MACS_peak_283_lociStitched	chr1(.):24017577-24019485	2.0796
1_MACS_peak_284_lociStitched	chr1(.):24069094-24071034	1.4617
1_MACS_peak_285_lociStitched	chr1(.):24104068-24105833	1.0807
2_MACS_peak_286_lociStitched	chr1(.):24116894-24128167	0.3828
1_MACS_peak_288_lociStitched	chr1(.):24151198-24152724	1.166
1_MACS_peak_289_lociStitched	chr1(.):24181328-24182682	0.8205
1_MACS_peak_290_lociStitched	chr1(.):24193783-24195162	0.6531
1_MACS_peak_291_lociStitched	chr1(.):24284994-24287636	2.4397
1_MACS_peak_292_lociStitched	chr1(.):24305361-24307951	3.6903
2_MACS_peak_293_lociStitched	chr1(.):24468670-24478739	0.3566
3_MACS_peak_295_lociStitched	chr1(.):24512240-24533858	1.8568
1_MACS_peak_298_lociStitched	chr1(.):24645357-24650313	1.885
1_MACS_peak_299_lociStitched	chr1(.):24676979-24678385	0.5996
3_MACS_peak_300_lociStitched	chr1(.):24710104-24720297	0.7311
2_MACS_peak_303_lociStitched	chr1(.):24739440-24743757	0.5603
1_MACS_peak_305_lociStitched	chr1(.):24828058-24830534	1.0004
1_MACS_peak_306_lociStitched	chr1(.):24861212-24862334	0.7565
2_MACS_peak_307_lociStitched	chr1(.):24882157-24885430	0.8192
1_MACS_peak_309_lociStitched	chr1(.):24910166-24911266	0.4337
1_MACS_peak_310_lociStitched	chr1(.):24967945-24971224	2.8923
1_MACS_peak_311_lociStitched	chr1(.):25053157-25054959	0.7652
2_MACS_peak_312_lociStitched	chr1(.):25069747-25076415	1.1006
1_MACS_peak_314_lociStitched	chr1(.):25174376-25175739	0.5731
1_MACS_peak_315_lociStitched	chr1(.):25254444-25257557	1.6233
1_MACS_peak_316_lociStitched	chr1(.):25290847-25292797	1.3341
2_MACS_peak_317_lociStitched	chr1(.):25346966-25359227	1.6372
3_MACS_peak_319_lociStitched	chr1(.):25558201-25574911	0.6051
1_MACS_peak_322_lociStitched	chr1(.):25592673-25595030	1.346
1_MACS_peak_323_lociStitched	chr1(.):25663197-25665753	1.8065
1_MACS_peak_324_lociStitched	chr1(.):25756035-25758602	1.3794
2_MACS_peak_325_lociStitched	chr1(.):25869584-25879094	2.1
1_MACS_peak_327_lociStitched	chr1(.):25887845-25890810	1.2676
1_MACS_peak_328_lociStitched	chr1(.):25941903-25949090	1.6017
2_MACS_peak_329_lociStitched	chr1(.):25958475-25970569	1.3402
1_MACS_peak_331_lociStitched	chr1(.):26001343-26004098	1.5802
1_MACS_peak_332_lociStitched	chr1(.):26126803-26127469	0.5309
1_MACS_peak_333_lociStitched	chr1(.):26145511-26148144	1.3124
1_MACS_peak_334_lociStitched	chr1(.):26231147-26233318	1.2958
1_MACS_peak_335_lociStitched	chr1(.):26323305-26325462	0.6889
1_MACS_peak_336_lociStitched	chr1(.):26361331-26362904	0.5314
3_MACS_peak_337_lociStitched	chr1(.):26436744-26446878	0.715
2_MACS_peak_340_lociStitched	chr1(.):26495964-26504615	0.3004
1_MACS_peak_342_lociStitched	chr1(.):26559885-26561957	1.0344
2_MACS_peak_343_lociStitched	chr1(.):26605338-26614511	0.5466
2_MACS_peak_345_lociStitched	chr1(.):26632241-26642751	0.278
1_MACS_peak_347_lociStitched	chr1(.):26662546-26663835	0.6495
1_MACS_peak_348_lociStitched	chr1(.):26758043-26759609	1.0268
1_MACS_peak_349_lociStitched	chr1(.):26797975-26800317	3.3824
1_MACS_peak_350_lociStitched	chr1(.):26826115-26828600	3.8775
1_MACS_peak_351_lociStitched	chr1(.):26855880-26857222	0.6436
2_MACS_peak_352_lociStitched	chr1(.):26866038-26873242	0.73
1_MACS_peak_354_lociStitched	chr1(.):26946269-26948656	4.553
2_MACS_peak_355_lociStitched	chr1(.):27018275-27031307	1.6198
2_MACS_peak_357_lociStitched	chr1(.):27065620-27071981	0.7467
1_MACS_peak_359_lociStitched	chr1(.):27112793-27116024	2.5024
3_MACS_peak_360_lociStitched	chr1(.):27152491-27167309	0.5923
1_MACS_peak_363_lociStitched	chr1(.):27190313-27193206	3.4878
2_MACS_peak_364_lociStitched	chr1(.):27215617-27227781	0.4451
1_MACS_peak_366_lociStitched	chr1(.):27247672-27249256	1.2777
1_MACS_peak_367_lociStitched	chr1(.):27285958-27287439	0.9089
1_MACS_peak_368_lociStitched	chr1(.):27396303-27397912	0.5543
1_MACS_peak_369_lociStitched	chr1(.):27463094-27464279	0.5811
1_MACS_peak_370_lociStitched	chr1(.):27480879-27482469	1.1962
1_MACS_peak_371_lociStitched	chr1(.):27560121-27562402	0.6608
1_MACS_peak_372_lociStitched	chr1(.):27648230-27649790	1.2462
1_MACS_peak_373_lociStitched	chr1(.):27667787-27669187	0.7078
1_MACS_peak_374_lociStitched	chr1(.):27692782-27693877	0.6287
1_MACS_peak_375_lociStitched	chr1(.):27718079-27719873	0.7786
1_MACS_peak_376_lociStitched	chr1(.):27744384-27745528	0.6341
2_MACS_peak_377_lociStitched	chr1(.):27761426-27766172	0.6157
2_MACS_peak_379_lociStitched	chr1(.):27815448-27827179	1.104
1_MACS_peak_381_lociStitched	chr1(.):27929688-27930727	0.6506
1_MACS_peak_382_lociStitched	chr1(.):27985287-27987350	0.9554
1_MACS_peak_383_lociStitched	chr1(.):28051368-28053515	0.9903
1_MACS_peak_384_lociStitched	chr1(.):28098786-28100728	0.6356
1_MACS_peak_385_lociStitched	chr1(.):28156354-28158347	1.4112
1_MACS_peak_386_lociStitched	chr1(.):28240104-28242037	1.5327
1_MACS_peak_387_lociStitched	chr1(.):28285587-28287444	0.9544
2_MACS_peak_388_lociStitched	chr1(.):28352763-28362904	0.6774
1_MACS_peak_390_lociStitched	chr1(.):28390825-28391732	0.4298
1_MACS_peak_391_lociStitched	chr1(.):28413957-28416124	1.2012
1_MACS_peak_392_lociStitched	chr1(.):28473892-28475465	0.6381
4_MACS_peak_393_lociStitched	chr1(.):28558578-28587338	0.6863
1_MACS_peak_397_lociStitched	chr1(.):28654840-28656611	1.902
1_MACS_peak_398_lociStitched	chr1(.):28695407-28697198	1.6846
2_MACS_peak_399_lociStitched	chr1(.):28831485-28846134	1.148
1_MACS_peak_401_lociStitched	chr1(.):28878433-28881141	2.2254
2_MACS_peak_402_lociStitched	chr1(.):28905197-28914456	1.0363
1_MACS_peak_404_lociStitched	chr1(.):28924372-28929360	1.7752
2_MACS_peak_405_lociStitched	chr1(.):28968615-28976050	1.5099
2_MACS_peak_407_lociStitched	chr1(.):28994437-28996878	2.0748
1_MACS_peak_409_lociStitched	chr1(.):29062378-29064900	2.0755
1_MACS_peak_410_lociStitched	chr1(.):29101451-29102423	0.4916
2_MACS_peak_411_lociStitched	chr1(.):29210735-29214697	1.2124
1_MACS_peak_413_lociStitched	chr1(.):29240088-29242444	0.8494
2_MACS_peak_414_lociStitched	chr1(.):29252623-29255023	0.5261
1_MACS_peak_416_lociStitched	chr1(.):29506579-29509684	4.0089
1_MACS_peak_417_lociStitched	chr1(.):29556614-29558143	0.7151
1_MACS_peak_418_lociStitched	chr1(.):30901737-30903276	0.5885
1_MACS_peak_419_lociStitched	chr1(.):30996575-30997373	0.4713
1_MACS_peak_420_lociStitched	chr1(.):31191169-31192705	1.5853
2_MACS_peak_421_lociStitched	chr1(.):31213988-31233546	2.4538
1_MACS_peak_423_lociStitched	chr1(.):31255267-31256177	1.1889
1_MACS_peak_424_lociStitched	chr1(.):31537327-31539420	2.021
2_MACS_peak_425_lociStitched	chr1(.):31628045-31635924	0.1526
1_MACS_peak_427_lociStitched	chr1(.):31768662-31770764	1.416
1_MACS_peak_428_lociStitched	chr1(.):31867111-31868402	0.5194
2_MACS_peak_429_lociStitched	chr1(.):31885728-31897295	0.2501
1_MACS_peak_431_lociStitched	chr1(.):31913507-31915726	0.7924
3_MACS_peak_432_lociStitched	chr1(.):31943638-31951358	0.9241
1_MACS_peak_435_lociStitched	chr1(.):31971095-31972820	0.7775
1_MACS_peak_436_lociStitched	chr1(.):32014282-32015650	0.6281
1_MACS_peak_437_lociStitched	chr1(.):32070747-32072594	0.7635
1_MACS_peak_438_lociStitched	chr1(.):32109325-32111576	2.9404
1_MACS_peak_439_lociStitched	chr1(.):32135238-32136583	0.6321
1_MACS_peak_440_lociStitched	chr1(.):32209260-32211966	1.2355
1_MACS_peak_441_lociStitched	chr1(.):32253298-32255031	2.1623
1_MACS_peak_442_lociStitched	chr1(.):32402048-32404846	0.7666
1_MACS_peak_443_lociStitched	chr1(.):32420251-32422678	0.6913
2_MACS_peak_444_lociStitched	chr1(.):32446098-32452002	0.6452
2_MACS_peak_446_lociStitched	chr1(.):32470539-32480980	0.6752
2_MACS_peak_448_lociStitched	chr1(.):32531683-32539521	0.4294
1_MACS_peak_450_lociStitched	chr1(.):32572748-32575247	1.3463
1_MACS_peak_451_lociStitched	chr1(.):32644410-32646525	1.6701
1_MACS_peak_452_lociStitched	chr1(.):32670751-32672206	1.4945
1_MACS_peak_453_lociStitched	chr1(.):32687202-32688878	1.451
2_MACS_peak_454_lociStitched	chr1(.):32705686-32717035	0.5373
1_MACS_peak_456_lociStitched	chr1(.):32756875-32758703	1.1017
2_MACS_peak_457_lociStitched	chr1(.):32800433-32803982	0.6668
1_MACS_peak_459_lociStitched	chr1(.):32816358-32818249	1.2671
1_MACS_peak_460_lociStitched	chr1(.):32859160-32861105	1.1218
1_MACS_peak_461_lociStitched	chr1(.):32878984-32880050	0.7258
1_MACS_peak_462_lociStitched	chr1(.):32965543-32966769	1.0247
1_MACS_peak_463_lociStitched	chr1(.):32985926-32987076	0.6579
1_MACS_peak_464_lociStitched	chr1(.):33004551-33006151	0.8208
2_MACS_peak_465_lociStitched	chr1(.):33088247-33094908	1.2572
1_MACS_peak_467_lociStitched	chr1(.):33114878-33118080	4.1146
1_MACS_peak_468_lociStitched	chr1(.):33190306-33191847	0.6584
1_MACS_peak_469_lociStitched	chr1(.):33206706-33208566	0.8873
1_MACS_peak_470_lociStitched	chr1(.):33281837-33285589	2.8988
1_MACS_peak_471_lociStitched	chr1(.):33429108-33431227	0.8279
2_MACS_peak_472_lociStitched	chr1(.):33445485-33459391	0.5236
1_MACS_peak_474_lociStitched	chr1(.):33501426-33502962	1.2992
1_MACS_peak_475_lociStitched	chr1(.):33546034-33547449	0.6434
1_MACS_peak_476_lociStitched	chr1(.):33563841-33566148	1.5937
1_MACS_peak_477_lociStitched	chr1(.):33592145-33594246	1.2243
1_MACS_peak_478_lociStitched	chr1(.):33646563-33648074	0.6961
2_MACS_peak_479_lociStitched	chr1(.):33720743-33723358	0.7752
2_MACS_peak_481_lociStitched	chr1(.):33814314-33816480	1.0203
1_MACS_peak_483_lociStitched	chr1(.):33895700-33896763	0.5
1_MACS_peak_484_lociStitched	chr1(.):33925233-33927795	1.1195
1_MACS_peak_485_lociStitched	chr1(.):34514350-34516968	0.7215
1_MACS_peak_486_lociStitched	chr1(.):34825533-34828272	0.9796
2_MACS_peak_487_lociStitched	chr1(.):35324161-35332861	1.0571
1_MACS_peak_489_lociStitched	chr1(.):35449867-35451674	1.213
1_MACS_peak_490_lociStitched	chr1(.):35496130-35498056	2.2405
1_MACS_peak_491_lociStitched	chr1(.):35544275-35546074	1.4906
1_MACS_peak_492_lociStitched	chr1(.):35586145-35586879	0.4139
1_MACS_peak_493_lociStitched	chr1(.):35657108-35659541	1.9024
1_MACS_peak_494_lociStitched	chr1(.):35733660-35735365	1.7703
1_MACS_peak_495_lociStitched	chr1(.):35971716-35973661	0.5767
1_MACS_peak_496_lociStitched	chr1(.):36004066-36005636	0.6539
1_MACS_peak_497_lociStitched	chr1(.):36022075-36024385	2.2764
1_MACS_peak_498_lociStitched	chr1(.):36042705-36043826	0.7493
1_MACS_peak_499_lociStitched	chr1(.):36088541-36089787	0.6994
2_MACS_peak_500_lociStitched	chr1(.):36102965-36108236	0.8098
