REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
1_MACS_peak_2319_lociStitched	chr1	203288206	203298404	1	10199	175053.769	3872.1806	19		BTG2,LOC730227,FMOD	BTG2	LOC730227	7.1023	19	1
7_MACS_peak_24380_lociStitched	chr6	108878091	108960787	7	76772	182311.6016	11850.3368	20	FOXO3		FOXO3	FOXO3	1.6412	20	1
4_MACS_peak_25533_lociStitched	chr7	55569163	55605701	4	26283	176021.815	6456.2646	21	VOPP1		VOPP1	VOPP1	2.0974000000000004	21	1
3_MACS_peak_1613_lociStitched	chr1	150532171	150553199	3	18902	171737.7788	5753.2608	22	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.3668	22	1
1_MACS_peak_2984_lociStitched	chr10	11202468	11223902	1	21435	170522.4738	5289.9112	23	CELF2		CELF2	CELF2	0.7081000000000001	23	1
6_MACS_peak_11323_lociStitched	chr17	32688361	32719727	6	25152	170195.0526	6430.03	24	CCL1	CCL8,CCL13	CCL1	CCL1	1.4911	24	1
6_MACS_peak_16762_lociStitched	chr20	32398606	32452433	6	39602	167052.0945	9538.1444	25	CHMP4B		CHMP4B	CHMP4B	2.5751999999999997	25	1
2_MACS_peak_1717_lociStitched	chr1	154907906	154936167	2	25312	162390.5321	8085.4721	26	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	3.8572999999999995	26	1
2_MACS_peak_12977_lociStitched	chr19	2081383	2098380	2	15635	158717.986	4672.4753	27	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	4.3989	27	1
1_MACS_peak_24344_lociStitched	chr6	106530329	106556460	1	26132	158834.6704	5032.8306	28	PRDM1		PRDM1	PRDM1	4.5849	28	1
2_MACS_peak_6317_lociStitched	chr12	53582067	53607643	2	23357	154443.2336	5299.3472	29	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	5.7486	29	1
2_MACS_peak_15983_lociStitched	chr2	201979795	201998075	2	16565	152447.888	3952.136	30	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	2.6339	30	1
2_MACS_peak_26450_lociStitched	chr7	150062674	150084758	2	21783	153046.5368	5350.9532	31	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	4.0068	31	1
3_MACS_peak_11829_lociStitched	chr17	56404776	56431190	3	20243	151679.7536	5303.9312	32	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	5.915	32	1
2_MACS_peak_4483_lociStitched	chr11	22676612	22704067	2	23450	149171.2515	4148.4505	33	GAS2	FANCF	GAS2	GAS2	0.9218999999999999	33	1
3_MACS_peak_9985_lociStitched	chr16	12052337	12072051	3	14155	147332.579	3863.944	34	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	10.5937	34	1
3_MACS_peak_1419_lociStitched	chr1	118141992	118188232	3	38187	147690.56	5067.904	35	FAM46C		FAM46C	FAM46C	3.7309	35	1
3_MACS_peak_4114_lociStitched	chr10	125822014	125854871	3	31907	147876.2142	5513.4046	36	CHST15		CHST15	CHST15	1.597	36	1
3_MACS_peak_22586_lociStitched	chr5	131744658	131774500	3	23485	146207.8948	5544.6436	37	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	3.2124	37	1
2_MACS_peak_21513_lociStitched	chr4	185201000	185211115	2	9648	138674.627	2551.003	38			ENPP6	NONE	NONE	38	1
3_MACS_peak_12377_lociStitched	chr18	9054669	9074595	3	14631	138561.4188	3775.977	39		NDUFV2	NDUFV2	NDUFV2	2.6892	39	1
4_MACS_peak_14736_lociStitched	chr2	65156928	65178694	4	14643	136313.9282	4620.9218	40	LOC400958	SLC1A4	LOC400958	LOC400958	2.4126	40	1
1_MACS_peak_23483_lociStitched	chr6	25403001	25415269	1	12269	132978.986	2670.7436	41	LRRC16A		LRRC16A	LRRC16A	0.5042	41	1
1_MACS_peak_483_lociStitched	chr1	31213836	31233404	1	19569	134463.4688	4314.744	42	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	3.7175000000000002	42	1
3_MACS_peak_26546_lociStitched	chr8	2026989	2050913	3	19034	133641.8564	3775.2072	43	MYOM2		MYOM2	MYOM2	1.4683	43	1
1_MACS_peak_14227_lociStitched	chr2	20404903	20426494	1	21592	133540.335	4054.7898	44	SDC1		SDC1	SDC1	3.7832	44	1
3_MACS_peak_16875_lociStitched	chr20	37486910	37505944	3	10992	132128.3178	3251.0072	45	PPP1R16B	FAM83D	FAM83D	FAM83D	0.0816	45	1
1_MACS_peak_17492_lociStitched	chr21	41324453	41344310	1	19858	131858.4228	5720.8017	46			PCP4	PCP4	0.21300000000000002	46	1
2_MACS_peak_5058_lociStitched	chr11	72850923	72869793	2	13442	129451.974	3917.412	47	FCHSD2		FCHSD2	FCHSD2	0.11549999999999999	47	1
1_MACS_peak_21626_lociStitched	chr5	1311666	1320822	1	9157	125586.4428	1705.7628	48	CLPTM1L	TERT	TERT	NONE	NONE	48	1
5_MACS_peak_17563_lociStitched	chr21	45552555	45580790	5	19033	129751.119	6118.5245	49	C21orf33	PWP2	C21orf33	C21orf33	1.6898	49	1
2_MACS_peak_17765_lociStitched	chr22	24176924	24192286	2	13328	125942.2846	2697.5672	50	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	1.0573	50	1
2_MACS_peak_8766_lociStitched	chr15	31546356	31560805	2	10723	126136.8802	2892.6898	51			KLF13	KLF13	1.9993	51	1
1_MACS_peak_17514_lociStitched	chr21	43480430	43486435	1	6006	125127.386	2063.9185	52	UMODL1	C21orf121,UMODL1,ZNF295,C21orf128	UMODL1	UMODL1	1.5924	52	1
3_MACS_peak_329_lociStitched	chr1	24511911	24533738	3	16183	125703.8757	4297.7363	53	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.9638999999999999	53	1
6_MACS_peak_11374_lociStitched	chr17	34509765	34540161	6	25987	126596.3004	7094.4264	54	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	4.520700000000001	54	1
1_MACS_peak_3992_lociStitched	chr10	112112630	112119566	1	6937	121493.0568	2198.712	55		SMNDC1	SMNDC1	SMNDC1	0.1496	55	1
3_MACS_peak_19843_lociStitched	chr3	171801743	171827095	3	20887	125900.5672	6796.8712	56	FNDC3B		FNDC3B	FNDC3B	0.34299999999999997	56	1
1_MACS_peak_12793_lociStitched	chr18	60821885	60831365	1	9481	120331.536	2170.92	57	BCL2		BCL2	BCL2	0.8160999999999999	57	1
8_MACS_peak_11381_lociStitched	chr17	34597754	34641571	8	34701	126315.6476	8938.668	58	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	58	1
1_MACS_peak_20519_lociStitched	chr4	40190976	40209717	1	18742	120322.8423	4049.9301	59	RHOH		RHOH	RHOH	1.8789	59	1
1_MACS_peak_21520_lociStitched	chr4	185301930	185308183	1	6254	116076.3149	1578.8825	60			IRF2	IRF2	2.7134	60	1
3_MACS_peak_1422_lociStitched	chr1	118194891	118219254	3	20722	115743.7404	2606.841	61		FAM46C	FAM46C	FAM46C	3.7309	61	1
1_MACS_peak_15806_lociStitched	chr2	182168508	182180232	1	11725	115065.198	2300.2488	62			ITGA4	ITGA4	0.217	62	1
2_MACS_peak_11481_lociStitched	chr17	38465540	38484689	2	18969	115684.8537	3285.9684	63	RARA	CDC6,RARA,GJD3	RARA	RARA	1.9564	63	1
3_MACS_peak_4352_lociStitched	chr11	10323616	10345139	3	18602	116222.0477	3923.6429	64	ADM	SBF2	ADM	ADM	6.4046	64	1
4_MACS_peak_1586_lociStitched	chr1	149802980	149834095	4	18068	119400.701	7467.6	65	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	4.6266	65	1
4_MACS_peak_18075_lociStitched	chr22	39822848	39846481	4	15239	115248.6878	3856.9056	66	TAB1	MGAT3	MGAT3	MGAT3	0.6688999999999999	66	1
8_MACS_peak_19983_lociStitched	chr3	183219892	183261117	8	27418	119548.3775	10450.5375	67	KLHL6		KLHL6	KLHL6	1.7808000000000002	67	1
2_MACS_peak_10481_lociStitched	chr16	66549124	66560484	2	10548	111301.872	2494.656	68	TK2	CKLF,CMTM1	TK2	TK2	2.4640999999999997	68	1
5_MACS_peak_16688_lociStitched	chr20	25261477	25303016	5	24262	114460.7145	6031.4628	69	PYGB,ABHD12		PYGB	PYGB	1.0641999999999998	69	1
5_MACS_peak_23979_lociStitched	chr6	52389115	52424728	5	28560	113619.7152	6595.5276	70	TRAM2		TRAM2	TRAM2	1.8635000000000002	70	1
4_MACS_peak_12635_lociStitched	chr18	46440389	46480229	4	37541	113759.136	6844.512	71	SMAD7		SMAD7	SMAD7	2.579	71	1
1_MACS_peak_7827_lociStitched	chr13	114828910	114835029	1	6120	107881.6414	1233.5904	72	RASA3		RASA3	RASA3	1.0352999999999999	72	1
7_MACS_peak_5783_lociStitched	chr12	7045650	7085673	7	27357	112884.8715	6551.7651	73	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	3.6325	73	1
3_MACS_peak_11914_lociStitched	chr17	62150126	62187177	3	35637	111871.7894	6598.7831	74	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.6062	74	1
2_MACS_peak_2381_lociStitched	chr1	206282036	206295531	2	10857	108534.887	3622.058	75	C1orf186	CTSE	C1orf186	C1orf186	1.6602999999999999	75	1
2_MACS_peak_10116_lociStitched	chr16	23343656	23354224	2	8406	106608.9272	2172.7808	76	SCNN1B		SCNN1B	SCNN1B	1.5128000000000001	76	1
3_MACS_peak_1700_lociStitched	chr1	154370282	154394634	3	18225	108648.8832	5963.8048	77	IL6R		IL6R	IL6R	1.4226	77	1
1_MACS_peak_5617_lociStitched	chr11	128585179	128610102	1	24924	106695.363	4912.3233	78	FLI1		FLI1	FLI1	1.0084	78	1
2_MACS_peak_8882_lociStitched	chr15	40387129	40409001	2	16952	105727.0608	4273.7888	79	BMF	BUB1B	BMF	BMF	3.5202	79	1
4_MACS_peak_1775_lociStitched	chr1	156115320	156137232	4	21499	106877.9712	5804.4888	80	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.6868	80	1
6_MACS_peak_24238_lociStitched	chr6	90053883	90086258	6	23565	105351.4875	5850.1625	81	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.8503999999999998	81	1
4_MACS_peak_21521_lociStitched	chr4	185317518	185350159	4	21453	104676.4229	5349.8599	82	IRF2		IRF2	IRF2	2.7134	82	1
6_MACS_peak_17987_lociStitched	chr22	37611062	37642403	6	25649	104525.3691	5208.8742	83	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	2.0406	83	1
4_MACS_peak_18391_lociStitched	chr3	13035369	13061589	4	18071	104012.118	4853.322	84	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.5353	84	1
5_MACS_peak_27479_lociStitched	chr8	120915644	120948191	5	28705	104329.4085	5604.5934	85	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.754	85	1
2_MACS_peak_4462_lociStitched	chr11	19450042	19465834	2	13612	99631.728	3589.5216	86	NAV2		NAV2	NAV2	0.0936	86	1
3_MACS_peak_12137_lociStitched	chr17	75131403	75146901	3	14564	98433.9972	3070.1538	87	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	3.1008	87	1
3_MACS_peak_13625_lociStitched	chr19	39880583	39904015	3	18416	99682.0712	4372.4112	88	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	6.023499999999999	88	1
2_MACS_peak_21666_lociStitched	chr5	6475261	6487201	2	11075	97158.168	2029.8	89	UBE2QL1		UBE2QL1	UBE2QL1	1.9226999999999999	89	1
4_MACS_peak_11088_lociStitched	chr17	16858995	16883429	4	19358	98982.134	4173.3272	90	TNFRSF13B		TNFRSF13B	TNFRSF13B	2.3085000000000004	90	1
5_MACS_peak_8769_lociStitched	chr15	31628307	31660582	5	27157	99639.38	5448.02	91	KLF13		KLF13	KLF13	1.9993	91	1
3_MACS_peak_9276_lociStitched	chr15	68568572	68599548	3	28998	95821.1584	5250.432	92	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	2.4277	92	1
2_MACS_peak_16768_lociStitched	chr20	32461603	32473789	2	8932	92172.4668	2241.0054	93			CHMP4B	CHMP4B	2.5751999999999997	93	1
1_MACS_peak_2438_lociStitched	chr1	209275292	209283933	1	8642	90096.2506	2366.7699	94			LOC642587	LOC642587	NONE	94	1
2_MACS_peak_3998_lociStitched	chr10	112216110	112226066	2	8810	89947.482	2291.8712	95		DUSP5	DUSP5	DUSP5	1.6462999999999999	95	1
4_MACS_peak_3299_lociStitched	chr10	45913458	45934200	4	13341	90090.8028	3279.3102	96	ALOX5		ALOX5	ALOX5	1.0641	96	1
1_MACS_peak_14493_lociStitched	chr2	43444206	43457037	1	12832	89261.4177	2509.7436	97	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	6.1034999999999995	97	1
1_MACS_peak_25744_lociStitched	chr7	78113722	78128230	1	14509	89453.4264	2715.8976	98	MAGI2		RPL13AP17	RPL13AP17	NONE	98	1
1_MACS_peak_29150_lociStitched	chrX	19469841	19470796	1	956	85927.1755	128.0655	99	MAP3K15		MAP3K15	MAP3K15	0.49910000000000004	99	1
4_MACS_peak_19515_lociStitched	chr3	133179141	133200613	4	16323	89057.2672	3948.7008	100	BFSP2		BFSP2	BFSP2	1.0853	100	1
1_MACS_peak_7821_lociStitched	chr13	114555109	114568182	1	13074	87132.8523	3119.2178	101	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.6383999999999999	101	1
3_MACS_peak_6222_lociStitched	chr12	48196937	48214787	3	14975	87065.16	3127.32	102	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.8052000000000001	102	1
3_MACS_peak_20064_lociStitched	chr3	186703019	186719900	3	12873	88694.4621	4920.8115	103	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	1.0972	103	1
4_MACS_peak_22265_lociStitched	chr5	88595830	88617351	4	13078	86238.9512	3447.6642	104			MEF2C	MEF2C	0.6508	104	1
2_MACS_peak_15996_lociStitched	chr2	202115950	202128514	2	12299	83594.574	2498.9796	105	CASP8		CASP8	CASP8	1.524	105	1
1_MACS_peak_5724_lociStitched	chr12	4224236	4229946	1	5711	82430.131	1531.422	106			CCND2	CCND2	0.7552	106	1
2_MACS_peak_14814_lociStitched	chr2	70310216	70323345	2	8688	82851.8674	2348.7781	107	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	6.6178	107	1
2_MACS_peak_15261_lociStitched	chr2	112455752	112465718	2	9725	82413.837	2209.4622	108			ANAPC1	ANAPC1	NONE	108	1
1_MACS_peak_9124_lociStitched	chr15	56656088	56666490	1	10403	81141.8412	1950.375	109	TEX9		TEX9	TEX9	0.8427	109	1
2_MACS_peak_20069_lociStitched	chr3	186779536	186792502	2	10409	82706.2242	3815.8938	110	ST6GAL1		ST6GAL1	ST6GAL1	1.0972	110	1
3_MACS_peak_17092_lociStitched	chr20	52194024	52216108	3	21581	81578.296	3729.9876	111	ZNF217		ZNF217	ZNF217	1.3032	111	1
5_MACS_peak_13693_lociStitched	chr19	42027184	42062730	5	22714	84386.204	6647.102	112		CEACAM21	CEACAM21	NONE	NONE	112	1
3_MACS_peak_1850_lociStitched	chr1	160633708	160655702	3	13595	83302.275	5619.467	113	CD48	SLAMF1	SLAMF1	NONE	NONE	113	1
4_MACS_peak_1761_lociStitched	chr1	155931276	155954154	4	16815	82241.8344	5142.9744	114	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	2.289	114	1
2_MACS_peak_12381_lociStitched	chr18	9101621	9126880	2	23137	81796.2197	4776.4769	115	NDUFV2	ANKRD12	NDUFV2	NDUFV2	2.6892	115	1
2_MACS_peak_5434_lociStitched	chr11	115090307	115102449	2	9296	78869.5752	2238.9848	116	CADM1		CADM1	CADM1	0.2891	116	1
7_MACS_peak_10542_lociStitched	chr16	68278059	68320716	7	29476	83654.6427	7068.2649	117	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	SLC7A6	0.8327	117	1
3_MACS_peak_4012_lociStitched	chr10	112611788	112633066	3	16223	80432.9678	3893.874	118	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	3.2712	118	1
1_MACS_peak_19875_lociStitched	chr3	174865950	174871095	1	5146	77430.192	1495.6515	119	NAALADL2		NAALADL2	NAALADL2	0.06430000000000002	119	1
5_MACS_peak_9357_lociStitched	chr15	75063216	75093055	5	23346	81075.5469	5481.4243	120	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	2.2137000000000002	120	1
1_MACS_peak_23332_lociStitched	chr6	11827867	11836718	1	8852	77685.227	2106.538	121		C6orf105	C6orf105	C6orf105	0.41290000000000004	121	1
2_MACS_peak_29365_lociStitched	chrX	48790519	48805632	2	13835	77212.317	1760.6645	122	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	2.2614	122	1
3_MACS_peak_1874_lociStitched	chr1	161144107	161163247	3	12116	80286.558	4884.528	123	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	2.5578	123	1
1_MACS_peak_4701_lociStitched	chr11	58340092	58348107	1	8016	76983.2735	1731.24	124	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	1.2811	124	1
1_MACS_peak_22260_lociStitched	chr5	88170895	88187138	1	16244	78232.7852	3238.8542	125	MEF2C		MEF2C	MEF2C	0.6508	125	1
1_MACS_peak_23708_lociStitched	chr6	32934588	32943006	1	8419	76633.263	1778.7234	126	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	3.2832000000000003	126	1
2_MACS_peak_20693_lociStitched	chr4	71541667	71555344	2	10005	77057.5857	2346.9732	127	UTP3	ENAM,RUFY3,IGJ	UTP3	IGJ	2.3574	127	1
2_MACS_peak_18725_lociStitched	chr3	46245679	46257265	2	9685	76459.4898	2449.2804	128	CCR1	CCR3	CCR1	CCR1	3.5186	128	1
2_MACS_peak_242_lociStitched	chr1	17221342	17233202	2	7047	77896.48	4139.14	129		CROCC	CROCC	NONE	NONE	129	1
2_MACS_peak_19906_lociStitched	chr3	177068562	177079792	2	8753	76868.227	3214.026	130			TBL1XR1	TBL1XR1	0.4349	130	1
4_MACS_peak_8410_lociStitched	chr14	81930561	81956026	4	18837	75816.9445	2279.1175	131	SEL1L		SEL1L	SEL1L	1.0875	131	1
2_MACS_peak_2651_lociStitched	chr1	226839543	226852732	2	13009	77156.9689	3621.6994	132	ITPKB		ITPKB	ITPKB	0.8647999999999999	132	1
3_MACS_peak_28576_lociStitched	chr9	112903677	112925477	3	21628	78100.68	4671.74	133	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.7049	133	1
1_MACS_peak_17831_lociStitched	chr22	29185729	29199766	1	14038	75537.3081	2777.9223	134	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.543699999999999	134	1
4_MACS_peak_24856_lociStitched	chr6	157976427	158000075	4	16094	74299.6512	2078.6592	135	ZDHHC14	MIR3692	MIR3692	NONE	NONE	135	1
6_MACS_peak_9593_lociStitched	chr15	89646509	89676688	6	16615	76506.7829	4318.6149	136	ABHD2		ABHD2	ABHD2	0.6115	136	1
3_MACS_peak_1789_lociStitched	chr1	156450138	156475969	3	20671	78391.9188	6798.7192	137	MEF2D		MEF2D	MEF2D	1.5191	137	1
3_MACS_peak_14477_lociStitched	chr2	42323185	42334808	3	10790	73738.6366	2331.5738	138		PKDCC	PKDCC	NONE	NONE	138	1
1_MACS_peak_24348_lociStitched	chr6	106610055	106617385	1	7331	72926.903	1670.507	139			PRDM1	PRDM1	4.5849	139	1
1_MACS_peak_5383_lociStitched	chr11	111237801	111251596	1	13796	73888.779	2935.576	140	POU2AF1		POU2AF1	POU2AF1	1.938	140	1
1_MACS_peak_300_lociStitched	chr1	23849230	23858893	1	9664	72691.8501	1888.1502	141	E2F2	ASAP3,ID3	E2F2	E2F2	2.0593	141	1
1_MACS_peak_11615_lociStitched	chr17	43298033	43308624	1	10592	72857.6072	2285.5378	142	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	2.1821	142	1
1_MACS_peak_14973_lociStitched	chr2	86220234	86228775	1	8542	71909.2413	1721.0115	143		LOC90784	LOC90784	LOC90784	0.004699999999999996	143	1
2_MACS_peak_6895_lociStitched	chr12	108952822	108970688	2	14686	72736.0592	3582.133	144	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	4.0198	144	1
1_MACS_peak_2134_lociStitched	chr1	183808910	183815938	1	7029	71152.8776	2168.138	145	RGL1		APOBEC4	APOBEC4	NONE	145	1
2_MACS_peak_25236_lociStitched	chr7	26002348	26011622	2	8497	70634.4936	2072.739	146		MIR148A	MIR148A	MIR148A	2.011	146	1
1_MACS_peak_19899_lociStitched	chr3	176911739	176920855	1	9117	70906.0712	2359.2208	147	TBL1XR1		TBL1XR1	TBL1XR1	0.4349	147	1
3_MACS_peak_19916_lociStitched	chr3	178230191	178241410	3	10416	71235.0405	2736.3141	148		KCNMB2	KCNMB2	NONE	NONE	148	1
4_MACS_peak_2342_lociStitched	chr1	204474740	204494284	4	14019	73200.0976	4940.7232	149	MDM4	PIK3C2B	MDM4	MDM4	1.0525	149	1
2_MACS_peak_26092_lociStitched	chr7	114561651	114574037	2	10089	71666.6346	3541.1574	150	MDFIC		MDFIC	MDFIC	2.2499000000000002	150	1
3_MACS_peak_28563_lociStitched	chr9	112668834	112683223	3	8291	70458.6163	2548.2919	151	PALM2,PALM2-AKAP2		PALM2	PALM2	0.3341	151	1
1_MACS_peak_13003_lociStitched	chr19	2606694	2612001	1	5308	69069.0129	1293.8466	152	GNG7		GNG7	GNG7	0.777	152	1
3_MACS_peak_17832_lociStitched	chr22	29206889	29225841	3	12549	70378.252	3212.364	153		CCDC117,XBP1	XBP1	XBP1	4.543699999999999	153	1
3_MACS_peak_19141_lociStitched	chr3	98479488	98495976	3	16018	70177.8744	3063.4704	154	ST3GAL6		ST3GAL6	ST3GAL6	1.3652	154	1
3_MACS_peak_2136_lociStitched	chr1	183865465	183885886	3	11658	71561.3103	4702.9563	155	RGL1		GLT25D2	GLT25D2	NONE	155	1
5_MACS_peak_15073_lociStitched	chr2	97190807	97212975	5	18007	70416.652	3923.736	156	ARID5A	NEURL3	ARID5A	ARID5A	1.6865999999999999	156	1
2_MACS_peak_2755_lociStitched	chr1	234734107	234749828	2	11633	70431.6521	3971.1246	157	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	4.319100000000001	157	1
2_MACS_peak_23066_lociStitched	chr5	173696453	173709934	2	9269	68854.2075	2452.1939	158			HMP19	HMP19	NONE	158	1
1_MACS_peak_14176_lociStitched	chr2	11883645	11898084	1	14440	68950.5567	2724.6393	159	LPIN1		LPIN1	LPIN1	0.7179	159	1
4_MACS_peak_8898_lociStitched	chr15	40833912	40862813	4	18390	70920.1639	4713.7531	160	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.6451	160	1
1_MACS_peak_6743_lociStitched	chr12	94596091	94603840	1	7750	68000.5746	1794.6684	161	PLXNC1		PLXNC1	PLXNC1	0.9511000000000001	161	1
