REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
4_MACS_peak_25956_lociStitched	chr7	102063371	102093296	4	24418	190487.5875	4967.55	41	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	3.2345	41	1
3_MACS_peak_8640_lociStitched	chr14	106145083	106173116	3	24397	187223.9971	3235.0082	42			TMEM121	TMEM121	0.1006	42	1
8_MACS_peak_8530_lociStitched	chr14	95945995	95986243	8	24280	40726.9512	3207.7656	43		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	C14orf49	0.3237	43	1
5_MACS_peak_16688_lociStitched	chr20	25261477	25303016	5	24262	114460.7145	6031.4628	44	PYGB,ABHD12		PYGB	PYGB	1.0641999999999998	44	1
3_MACS_peak_2991_lociStitched	chr10	11278900	11304714	3	23894	64395.6044	4840.125	45	CELF2		CELF2	CELF2	1.3281	45	1
9_MACS_peak_24684_lociStitched	chr6	138246761	138297594	9	23877	71176.3666	8285.779	46			TNFAIP3	TNFAIP3	2.0534999999999997	46	1
4_MACS_peak_13343_lociStitched	chr19	16243643	16272960	4	23859	67989.0547	4778.671	47	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.8334	47	1
2_MACS_peak_12383_lociStitched	chr18	9132570	9157602	2	23800	69834.2736	4888.7496	48	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.41979999999999995	48	1
6_MACS_peak_24238_lociStitched	chr6	90053883	90086258	6	23565	105351.4875	5850.1625	49	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.8503999999999998	49	1
3_MACS_peak_22586_lociStitched	chr5	131744658	131774500	3	23485	146207.8948	5544.6436	50	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	3.2124	50	1
2_MACS_peak_4483_lociStitched	chr11	22676612	22704067	2	23450	149171.2515	4148.4505	51	GAS2	FANCF	GAS2	GAS2	0.9218999999999999	51	1
5_MACS_peak_6897_lociStitched	chr12	109009359	109036441	5	23448	177024.2012	5102.2488	52	SELPLG	TMEM119	SELPLG	SELPLG	7.3102	52	1
2_MACS_peak_6317_lociStitched	chr12	53582067	53607643	2	23357	154443.2336	5299.3472	53	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	5.7486	53	1
5_MACS_peak_9357_lociStitched	chr15	75063216	75093055	5	23346	81075.5469	5481.4243	54	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	2.2137000000000002	54	1
2_MACS_peak_12381_lociStitched	chr18	9101621	9126880	2	23137	81796.2197	4776.4769	55	NDUFV2	ANKRD12	NDUFV2	NDUFV2	2.6892	55	1
5_MACS_peak_13693_lociStitched	chr19	42027184	42062730	5	22714	84386.204	6647.102	56		CEACAM21	CEACAM21	NONE	NONE	56	1
2_MACS_peak_26450_lociStitched	chr7	150062674	150084758	2	21783	153046.5368	5350.9532	57	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	4.0068	57	1
2_MACS_peak_2317_lociStitched	chr1	203254961	203281721	2	21751	211883.004	7500.828	58	BTG2,LOC730227	FMOD	LOC730227	LOC730227	7.1023	58	1
3_MACS_peak_28576_lociStitched	chr9	112903677	112925477	3	21628	78100.68	4671.74	59	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.7049	59	1
1_MACS_peak_14227_lociStitched	chr2	20404903	20426494	1	21592	133540.335	4054.7898	60	SDC1		SDC1	SDC1	3.7832	60	1
3_MACS_peak_17092_lociStitched	chr20	52194024	52216108	3	21581	81578.296	3729.9876	61	ZNF217		ZNF217	ZNF217	1.3032	61	1
4_MACS_peak_1775_lociStitched	chr1	156115320	156137232	4	21499	106877.9712	5804.4888	62	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.6868	62	1
4_MACS_peak_21521_lociStitched	chr4	185317518	185350159	4	21453	104676.4229	5349.8599	63	IRF2		IRF2	IRF2	2.7134	63	1
1_MACS_peak_2984_lociStitched	chr10	11202468	11223902	1	21435	170522.4738	5289.9112	64	CELF2		CELF2	CELF2	1.3281	64	1
3_MACS_peak_10411_lociStitched	chr16	56963211	56985960	3	21065	67673.7252	4090.2702	65	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	2.8001	65	1
2_MACS_peak_22258_lociStitched	chr5	88110643	88132759	2	21027	51424.1232	3410.2872	66	MEF2C		MEF2C	MEF2C	0.6508	66	1
4_MACS_peak_26790_lociStitched	chr8	27216307	27241960	4	20992	68003.5377	4712.4561	67	PTK2B	TRIM35	PTK2B	PTK2B	0.6991	67	1
3_MACS_peak_19843_lociStitched	chr3	171801743	171827095	3	20887	125900.5672	6796.8712	68	FNDC3B		FNDC3B	FNDC3B	0.34299999999999997	68	1
8_MACS_peak_18727_lociStitched	chr3	46318253	46347332	8	20870	68402.5317	4946.3379	69		CCR3,CCR2	CCR3	CCR2	1.6666999999999998	69	1
3_MACS_peak_1422_lociStitched	chr1	118194891	118219254	3	20722	115743.7404	2606.841	70		FAM46C	FAM46C	FAM46C	3.7309	70	1
3_MACS_peak_1789_lociStitched	chr1	156450138	156475969	3	20671	78391.9188	6798.7192	71	MEF2D		MEF2D	MEF2D	1.5191	71	1
4_MACS_peak_12036_lociStitched	chr17	72733116	72757413	4	20389	53995.2231	3804.9102	72	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	1.1438	72	1
3_MACS_peak_11829_lociStitched	chr17	56404776	56431190	3	20243	151679.7536	5303.9312	73	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	5.915	73	1
1_MACS_peak_17492_lociStitched	chr21	41324453	41344310	1	19858	131858.4228	5720.8017	74			PCP4	PCP4	0.21300000000000002	74	1
1_MACS_peak_483_lociStitched	chr1	31213836	31233404	1	19569	134463.4688	4314.744	75	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	3.7175000000000002	75	1
4_MACS_peak_25369_lociStitched	chr7	38383546	38408541	4	19377	49722.5535	4781.5435	76			TARP	TARP	NONE	76	1
4_MACS_peak_11088_lociStitched	chr17	16858995	16883429	4	19358	98982.134	4173.3272	77	TNFRSF13B		TNFRSF13B	TNFRSF13B	2.3085000000000004	77	1
2_MACS_peak_16507_lociStitched	chr20	5570446	5592500	2	19338	45204.0838	3758.0016	78	GPCPD1		GPCPD1	GPCPD1	0.5253	78	1
4_MACS_peak_15915_lociStitched	chr2	197023792	197048827	4	19239	59207.775	4646.496	79	STK17B		STK17B	STK17B	0.6043999999999999	79	1
3_MACS_peak_26546_lociStitched	chr8	2026989	2050913	3	19034	133641.8564	3775.2072	80	MYOM2		MYOM2	MYOM2	1.4683	80	1
5_MACS_peak_17563_lociStitched	chr21	45552555	45580790	5	19033	129751.119	6118.5245	81	C21orf33	PWP2	C21orf33	C21orf33	1.6898	81	1
2_MACS_peak_11481_lociStitched	chr17	38465540	38484689	2	18969	115684.8537	3285.9684	82	RARA	CDC6,RARA,GJD3	RARA	RARA	1.9564	82	1
4_MACS_peak_15024_lociStitched	chr2	88898808	88928491	4	18923	44580.8977	4948.1561	83	EIF2AK3		EIF2AK3	EIF2AK3	0.47240000000000004	83	1
3_MACS_peak_1613_lociStitched	chr1	150532171	150553199	3	18902	171737.7788	5753.2608	84	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.3668	84	1
4_MACS_peak_8410_lociStitched	chr14	81930561	81956026	4	18837	75816.9445	2279.1175	85	SEL1L		SEL1L	SEL1L	1.0875	85	1
1_MACS_peak_20519_lociStitched	chr4	40190976	40209717	1	18742	120322.8423	4049.9301	86	RHOH		RHOH	RHOH	1.8789	86	1
3_MACS_peak_4352_lociStitched	chr11	10323616	10345139	3	18602	116222.0477	3923.6429	87	ADM	SBF2	ADM	ADM	6.4046	87	1
6_MACS_peak_15990_lociStitched	chr2	202072964	202102124	6	18509	38628.252	5275.044	88	CASP10,CASP8	CASP8	CASP8	CASP8	1.524	88	1
3_MACS_peak_13625_lociStitched	chr19	39880583	39904015	3	18416	99682.0712	4372.4112	89	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	6.023499999999999	89	1
4_MACS_peak_8898_lociStitched	chr15	40833912	40862813	4	18390	70920.1639	4713.7531	90	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.6451	90	1
5_MACS_peak_11366_lociStitched	chr17	34408937	34432627	5	18364	70482.488	4321.056	91	CCL4,CCL3	CCL18	CCL3	CCL3	4.1850000000000005	91	1
3_MACS_peak_1700_lociStitched	chr1	154370282	154394634	3	18225	108648.8832	5963.8048	92	IL6R		IL6R	IL6R	1.4226	92	1
4_MACS_peak_2390_lociStitched	chr1	206727852	206754654	4	18223	70368.651	6780.906	93	RASSF5	LGTN	RASSF5	RASSF5	0.6865	93	1
4_MACS_peak_18391_lociStitched	chr3	13035369	13061589	4	18071	104012.118	4853.322	94	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.5353	94	1
4_MACS_peak_1586_lociStitched	chr1	149802980	149834095	4	18068	119400.701	7467.6	95	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	4.6266	95	1
5_MACS_peak_15073_lociStitched	chr2	97190807	97212975	5	18007	70416.652	3923.736	96	ARID5A	NEURL3	ARID5A	ARID5A	1.6865999999999999	96	1
2_MACS_peak_17740_lociStitched	chr22	23268151	23286136	2	17974	217282.1805	3812.82	97		IGLL5	IGLL5	IGLL5	10.0081	97	1
6_MACS_peak_10227_lociStitched	chr16	30193874	30227398	6	17950	48562.8664	5886.8144	98	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	2.0111	98	1
3_MACS_peak_23480_lociStitched	chr6	25365817	25390371	3	17921	52221.4472	4292.0392	99	LRRC16A		LRRC16A	LRRC16A	0.5042	99	1
2_MACS_peak_19003_lociStitched	chr3	69128246	69146224	2	17822	56781.7152	3575.8242	100	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.7750000000000001	100	1
2_MACS_peak_17733_lociStitched	chr22	23189059	23210051	2	17615	62858.4448	2288.128	101		MIR650,IGLL5	IGLL5	IGLL5	10.0081	101	1
6_MACS_peak_10515_lociStitched	chr16	67570983	67601517	6	17394	59843.5866	4228.959	102	FAM65A,CTCF		CTCF	CTCF	0.32539999999999997	102	1
5_MACS_peak_1200_lociStitched	chr1	93408855	93428661	5	17130	33783.0942	1935.0462	103	FAM69A		FAM69A	FAM69A	0.3146	103	1
5_MACS_peak_10099_lociStitched	chr16	22194912	22219232	5	17057	43644.672	4243.84	104	EEF2K		EEF2K	EEF2K	0.038599999999999995	104	1
6_MACS_peak_14719_lociStitched	chr2	64862674	64895812	6	17025	52387.8642	5524.1046	105	SERTAD2	LOC339807	SERTAD2	SERTAD2	1.1433	105	1
2_MACS_peak_8882_lociStitched	chr15	40387129	40409001	2	16952	105727.0608	4273.7888	106	BMF	BUB1B	BMF	BMF	3.5202	106	1
6_MACS_peak_23679_lociStitched	chr6	31781534	31805538	6	16924	47729.5536	3958.2596	107	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	HSPA1B	1.8711000000000002	107	1
4_MACS_peak_1761_lociStitched	chr1	155931276	155954154	4	16815	82241.8344	5142.9744	108	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	2.289	108	1
4_MACS_peak_22589_lociStitched	chr5	131789744	131816129	4	16705	66798.9045	4406.295	109	C5orf56	IRF1	IRF1	IRF1	0.8472	109	1
4_MACS_peak_22854_lociStitched	chr5	150512928	150538132	4	16615	45359.6388	4413.2204	110	ANXA6		ANXA6	ANXA6	0.6192	110	1
6_MACS_peak_9593_lociStitched	chr15	89646509	89676688	6	16615	76506.7829	4318.6149	111	ABHD2		ABHD2	ABHD2	0.6115	111	1
3_MACS_peak_18545_lociStitched	chr3	30682661	30703503	3	16603	39464.327	3474.3614	112	TGFBR2		TGFBR2	TGFBR2	0.416	112	1
2_MACS_peak_15983_lociStitched	chr2	201979795	201998075	2	16565	152447.888	3952.136	113	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	2.6339	113	1
4_MACS_peak_19515_lociStitched	chr3	133179141	133200613	4	16323	89057.2672	3948.7008	114	BFSP2		BFSP2	BFSP2	1.0853	114	1
1_MACS_peak_22260_lociStitched	chr5	88170895	88187138	1	16244	78232.7852	3238.8542	115	MEF2C		MEF2C	MEF2C	0.6508	115	1
3_MACS_peak_4012_lociStitched	chr10	112611788	112633066	3	16223	80432.9678	3893.874	116	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	3.2712	116	1
3_MACS_peak_329_lociStitched	chr1	24511911	24533738	3	16183	125703.8757	4297.7363	117	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.9638999999999999	117	1
5_MACS_peak_6409_lociStitched	chr12	57093737	57120132	5	16116	23053.393	3753.369	118	NACA	HSD17B6,PTGES3,PRIM1	NACA	PTGES3	1.0282	118	1
4_MACS_peak_24856_lociStitched	chr6	157976427	158000075	4	16094	74299.6512	2078.6592	119	ZDHHC14	MIR3692	MIR3692	NONE	NONE	119	1
3_MACS_peak_23145_lociStitched	chr5	180227134	180249300	3	16087	64795.6512	3300.5174	120	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	1.4479	120	1
5_MACS_peak_8675_lociStitched	chr15	21976481	22002418	5	16027	34843.7658	3779.0209	121		LOC646214,CXADRP2	CXADRP2	LOC646214	0.039099999999999996	121	1
3_MACS_peak_19141_lociStitched	chr3	98479488	98495976	3	16018	70177.8744	3063.4704	122	ST3GAL6		ST3GAL6	ST3GAL6	1.3652	122	1
1_MACS_peak_5894_lociStitched	chr12	12866057	12882069	1	16013	176348.162	3202.4	123	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	11.4759	123	1
2_MACS_peak_1055_lociStitched	chr1	75596223	75612509	2	15841	49927.9902	2056.9218	124	LHX8		LHX8	LHX8	1.1027	124	1
3_MACS_peak_21957_lociStitched	chr5	55437042	55453692	3	15768	64958.31	2842.155	125	ANKRD55		ANKRD55	ANKRD55	0.4403	125	1
4_MACS_peak_16157_lociStitched	chr2	219742565	219763350	4	15728	53934.9965	3244.5385	126	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	2.1738999999999997	126	1
2_MACS_peak_12977_lociStitched	chr19	2081383	2098380	2	15635	158717.986	4672.4753	127	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	4.3989	127	1
6_MACS_peak_27543_lociStitched	chr8	126285286	126308122	6	15437	46443.8568	3836.448	128	NSMCE2		TRIB1	TRIB1	1.2514	128	1
1_MACS_peak_5932_lociStitched	chr12	15100994	15116294	1	15301	44096.13	3098.25	129	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	1.3679000000000001	129	1
5_MACS_peak_8667_lociStitched	chr15	20969938	20995773	5	15298	39005.683	3663.403	130		BCL8	BCL8	NONE	NONE	130	1
1_MACS_peak_4879_lociStitched	chr11	65263519	65278808	1	15290	66886.3172	3334.5309	131	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	3.4032	131	1
5_MACS_peak_28874_lociStitched	chr9	134127071	134153578	5	15275	53573.2977	4074.1259	132	FAM78A	PPAPDC3	FAM78A	FAM78A	1.5110999999999999	132	1
4_MACS_peak_18075_lociStitched	chr22	39822848	39846481	4	15239	115248.6878	3856.9056	133	TAB1	MGAT3	MGAT3	MGAT3	0.6688999999999999	133	1
1_MACS_peak_18029_lociStitched	chr22	38782028	38797226	1	15199	42575.6772	2667.249	134	LOC400927	KCNJ4	LOC400927	LOC400927	0.7351	134	1
6_MACS_peak_8875_lociStitched	chr15	40329651	40358396	6	15034	46377.183	4924.0185	135	SRP14	BMF	SRP14	BMF	3.5202	135	1
2_MACS_peak_17280_lociStitched	chr21	19152108	19169251	2	15021	53503.303	3025.7395	136	C21orf91		C21orf91	C21orf91	1.1659000000000002	136	1
4_MACS_peak_19463_lociStitched	chr3	129026464	129054624	4	15007	40195.584	3995.904	137	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.6062000000000003	137	1
3_MACS_peak_6222_lociStitched	chr12	48196937	48214787	3	14975	87065.16	3127.32	138	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.8052000000000001	138	1
4_MACS_peak_16950_lociStitched	chr20	43583355	43609218	4	14897	38287.5852	3933.7623	139	STK4,TOMM34	PABPC1L	STK4	STK4	0.5023	139	1
3_MACS_peak_7116_lociStitched	chr12	123371215	123387355	3	14877	36344.052	1596.246	140	VPS37B		VPS37B	VPS37B	1.1399	140	1
4_MACS_peak_23098_lociStitched	chr5	176717146	176740791	4	14766	48394.2215	3936.8925	141	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	2.1877999999999997	141	1
2_MACS_peak_6895_lociStitched	chr12	108952822	108970688	2	14686	72736.0592	3582.133	142	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	4.0198	142	1
4_MACS_peak_14736_lociStitched	chr2	65156928	65178694	4	14643	136313.9282	4620.9218	143	LOC400958	SLC1A4	LOC400958	LOC400958	2.4126	143	1
5_MACS_peak_8374_lociStitched	chr14	77487961	77508132	5	14638	47619.6968	1871.8688	144	C14orf4		C14orf4	C14orf4	2.0316	144	1
3_MACS_peak_12377_lociStitched	chr18	9054669	9074595	3	14631	138561.4188	3775.977	145		NDUFV2	NDUFV2	NDUFV2	2.6892	145	1
2_MACS_peak_11917_lociStitched	chr17	62195764	62210498	2	14594	41233.099	2843.662	146	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.6062	146	1
3_MACS_peak_12137_lociStitched	chr17	75131403	75146901	3	14564	98433.9972	3070.1538	147	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	3.1008	147	1
3_MACS_peak_20771_lociStitched	chr4	77608720	77624753	3	14552	38453.5472	3078.336	148	SHROOM3		ANKRD56	ANKRD56	NONE	148	1
4_MACS_peak_23504_lociStitched	chr6	26183622	26207333	4	14529	64764.2254	3653.8651	149	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H3D	2.9842	149	1
3_MACS_peak_25436_lociStitched	chr7	44661685	44680155	3	14519	38860.88	3174.993	150	OGDH	DDX56,TMED4	OGDH	TMED4	0.8696	150	1
1_MACS_peak_25744_lociStitched	chr7	78113722	78128230	1	14509	89453.4264	2715.8976	151	MAGI2		RPL13AP17	RPL13AP17	NONE	151	1
3_MACS_peak_27216_lociStitched	chr8	81046365	81061752	3	14475	34854.6324	2717.3442	152	TPD52		TPD52	TPD52	0.48179999999999995	152	1
1_MACS_peak_14176_lociStitched	chr2	11883645	11898084	1	14440	68950.5567	2724.6393	153	LPIN1		LPIN1	LPIN1	0.7179	153	1
1_MACS_peak_11287_lociStitched	chr17	29635069	29649505	1	14437	63164.718	2895.8616	154	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	2.3106	154	1
7_MACS_peak_4825_lociStitched	chr11	63992632	64020247	7	14411	28366.128	3830.2005	155	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	C11orf20	1.1998	155	1
2_MACS_peak_17153_lociStitched	chr20	55957819	55975863	2	14351	32154.408	2805.842	156	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	0.9335000000000001	156	1
