REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
5_MACS_peak_17735_lociStitched	chr22	23217679	23247213	5	26619	199100.5076	4492.1214	14	IGLL5		IGLL5	IGLL5	10.0081	14	1
1_MACS_peak_20902_lociStitched	chr4	90205172	90230109	1	24938	201386.2246	5361.455	15	GPRIN3		GPRIN3	GPRIN3	2.713	15	1
3_MACS_peak_4872_lociStitched	chr11	65183170	65212855	3	24922	200091.7425	6129.9525	16	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	NEAT1	12.0858	16	1
8_MACS_peak_11381_lociStitched	chr17	34597754	34641571	8	34701	126315.6476	8938.668	17	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	17	1
3_MACS_peak_11914_lociStitched	chr17	62150126	62187177	3	35637	111871.7894	6598.7831	18	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.6062	18	1
3_MACS_peak_4114_lociStitched	chr10	125822014	125854871	3	31907	147876.2142	5513.4046	19	CHST15		CHST15	CHST15	1.597	19	1
2_MACS_peak_2317_lociStitched	chr1	203254961	203281721	2	21751	211883.004	7500.828	20	BTG2,LOC730227	FMOD	LOC730227	LOC730227	7.1023	20	1
2_MACS_peak_17740_lociStitched	chr22	23268151	23286136	2	17974	217282.1805	3812.82	21		IGLL5	IGLL5	IGLL5	10.0081	21	1
4_MACS_peak_25956_lociStitched	chr7	102063371	102093296	4	24418	190487.5875	4967.55	22	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	3.2345	22	1
3_MACS_peak_8640_lociStitched	chr14	106145083	106173116	3	24397	187223.9971	3235.0082	23			TMEM121	TMEM121	0.1006	23	1
4_MACS_peak_25533_lociStitched	chr7	55569163	55605701	4	26283	176021.815	6456.2646	24	VOPP1		VOPP1	VOPP1	2.0974000000000004	24	1
6_MACS_peak_11323_lociStitched	chr17	32688361	32719727	6	25152	170195.0526	6430.03	25	CCL1	CCL8,CCL13	CCL1	CCL1	1.4911	25	1
5_MACS_peak_6897_lociStitched	chr12	109009359	109036441	5	23448	177024.2012	5102.2488	26	SELPLG	TMEM119	SELPLG	SELPLG	7.3102	26	1
1_MACS_peak_24344_lociStitched	chr6	106530329	106556460	1	26132	158834.6704	5032.8306	27	PRDM1		PRDM1	PRDM1	4.5849	27	1
2_MACS_peak_1717_lociStitched	chr1	154907906	154936167	2	25312	162390.5321	8085.4721	28	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	3.8572999999999995	28	1
8_MACS_peak_10663_lociStitched	chr16	78763280	78804943	8	33335	37475.8685	4216.2956	29	WWOX		WWOX	WWOX	0.017599999999999998	29	1
1_MACS_peak_2984_lociStitched	chr10	11202468	11223902	1	21435	170522.4738	5289.9112	30	CELF2		CELF2	CELF2	0.7081000000000001	30	1
5_MACS_peak_23979_lociStitched	chr6	52389115	52424728	5	28560	113619.7152	6595.5276	31	TRAM2		TRAM2	TRAM2	1.8635000000000002	31	1
2_MACS_peak_6317_lociStitched	chr12	53582067	53607643	2	23357	154443.2336	5299.3472	32	ZNF740,ITGB7,RARG	MFSD5,CSAD	ITGB7	ITGB7	5.7486	32	1
2_MACS_peak_4483_lociStitched	chr11	22676612	22704067	2	23450	149171.2515	4148.4505	33	GAS2	FANCF	GAS2	GAS2	0.9218999999999999	33	1
5_MACS_peak_27479_lociStitched	chr8	120915644	120948191	5	28705	104329.4085	5604.5934	34	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.754	34	1
8_MACS_peak_19983_lociStitched	chr3	183219892	183261117	8	27418	119548.3775	10450.5375	35	KLHL6		KLHL6	KLHL6	1.7808000000000002	35	1
3_MACS_peak_9276_lociStitched	chr15	68568572	68599548	3	28998	95821.1584	5250.432	36	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	2.4277	36	1
3_MACS_peak_22586_lociStitched	chr5	131744658	131774500	3	23485	146207.8948	5544.6436	37	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	3.2124	37	1
3_MACS_peak_1613_lociStitched	chr1	150532171	150553199	3	18902	171737.7788	5753.2608	38	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.3668	38	1
7_MACS_peak_5783_lociStitched	chr12	7045650	7085673	7	27357	112884.8715	6551.7651	39	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	3.6325	39	1
6_MACS_peak_11374_lociStitched	chr17	34509765	34540161	6	25987	126596.3004	7094.4264	40	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	4.520700000000001	40	1
7_MACS_peak_10542_lociStitched	chr16	68278059	68320716	7	29476	83654.6427	7068.2649	41	PLA2G15,SLC7A6	PRMT7,ESRP2,SLC7A6OS	SLC7A6	SLC7A6	0.8327	41	1
2_MACS_peak_26450_lociStitched	chr7	150062674	150084758	2	21783	153046.5368	5350.9532	42	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	4.0068	42	1
5_MACS_peak_23055_lociStitched	chr5	173310075	173344152	5	30239	63277.5813	5145.627	43	CPEB4		CPEB4	CPEB4	0.7847999999999999	43	1
1_MACS_peak_5894_lociStitched	chr12	12866057	12882069	1	16013	176348.162	3202.4	44	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	11.4759	44	1
3_MACS_peak_6333_lociStitched	chr12	53845164	53876054	3	30719	44262.281	5164.808	45	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	0.9994	45	1
5_MACS_peak_8769_lociStitched	chr15	31628307	31660582	5	27157	99639.38	5448.02	46	KLF13		KLF13	KLF13	1.9993	46	1
3_MACS_peak_11829_lociStitched	chr17	56404776	56431190	3	20243	151679.7536	5303.9312	47	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	MIR142	5.915	47	1
6_MACS_peak_17987_lociStitched	chr22	37611062	37642403	6	25649	104525.3691	5208.8742	48	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	2.0406	48	1
1_MACS_peak_14227_lociStitched	chr2	20404903	20426494	1	21592	133540.335	4054.7898	49	SDC1		SDC1	SDC1	3.7832	49	1
5_MACS_peak_16688_lociStitched	chr20	25261477	25303016	5	24262	114460.7145	6031.4628	50	PYGB,ABHD12		PYGB	PYGB	1.0641999999999998	50	1
1_MACS_peak_5617_lociStitched	chr11	128585179	128610102	1	24924	106695.363	4912.3233	51	FLI1		FLI1	FLI1	1.0084	51	1
1_MACS_peak_16283_lociStitched	chr2	232687087	232714984	1	27898	54376.8324	3252.7902	52		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.0762	52	1
2_MACS_peak_12977_lociStitched	chr19	2081383	2098380	2	15635	158717.986	4672.4753	53	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	4.3989	53	1
1_MACS_peak_2319_lociStitched	chr1	203288206	203298404	1	10199	175053.769	3872.1806	54		BTG2,LOC730227,FMOD	BTG2	LOC730227	7.1023	54	1
2_MACS_peak_15983_lociStitched	chr2	201979795	201998075	2	16565	152447.888	3952.136	55	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	2.6339	55	1
1_MACS_peak_483_lociStitched	chr1	31213836	31233404	1	19569	134463.4688	4314.744	56	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	3.7175000000000002	56	1
6_MACS_peak_24238_lociStitched	chr6	90053883	90086258	6	23565	105351.4875	5850.1625	57	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.8503999999999998	57	1
1_MACS_peak_17492_lociStitched	chr21	41324453	41344310	1	19858	131858.4228	5720.8017	58			PCP4	PCP4	0.21300000000000002	58	1
3_MACS_peak_19843_lociStitched	chr3	171801743	171827095	3	20887	125900.5672	6796.8712	59	FNDC3B		FNDC3B	FNDC3B	0.34299999999999997	59	1
3_MACS_peak_26546_lociStitched	chr8	2026989	2050913	3	19034	133641.8564	3775.2072	60	MYOM2		MYOM2	MYOM2	1.4683	60	1
4_MACS_peak_25537_lociStitched	chr7	55616347	55643009	4	25788	68028.093	4471.2174	61	VOPP1		VOPP1	VOPP1	2.0974000000000004	61	1
4_MACS_peak_18322_lociStitched	chr3	5222261	5256210	4	25493	70009.6278	5798.4892	62	ARL8B,EDEM1		EDEM1	EDEM1	1.3618999999999999	62	1
3_MACS_peak_1422_lociStitched	chr1	118194891	118219254	3	20722	115743.7404	2606.841	63		FAM46C	FAM46C	FAM46C	3.7309	63	1
5_MACS_peak_17563_lociStitched	chr21	45552555	45580790	5	19033	129751.119	6118.5245	64	C21orf33	PWP2	C21orf33	C21orf33	1.6898	64	1
5_MACS_peak_12182_lociStitched	chr17	76711115	76746236	5	24862	72180.6792	6086.4693	65	CYTH1		CYTH1	CYTH1	0.9152999999999999	65	1
4_MACS_peak_1775_lociStitched	chr1	156115320	156137232	4	21499	106877.9712	5804.4888	66	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.6868	66	1
3_MACS_peak_9985_lociStitched	chr16	12052337	12072051	3	14155	147332.579	3863.944	67	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	10.5937	67	1
4_MACS_peak_21521_lociStitched	chr4	185317518	185350159	4	21453	104676.4229	5349.8599	68	IRF2		IRF2	IRF2	2.7134	68	1
5_MACS_peak_9357_lociStitched	chr15	75063216	75093055	5	23346	81075.5469	5481.4243	69	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	2.2137000000000002	69	1
1_MACS_peak_20519_lociStitched	chr4	40190976	40209717	1	18742	120322.8423	4049.9301	70	RHOH		RHOH	RHOH	1.8789	70	1
2_MACS_peak_12381_lociStitched	chr18	9101621	9126880	2	23137	81796.2197	4776.4769	71	NDUFV2	ANKRD12	NDUFV2	NDUFV2	2.6892	71	1
2_MACS_peak_11481_lociStitched	chr17	38465540	38484689	2	18969	115684.8537	3285.9684	72	RARA	CDC6,RARA,GJD3	RARA	RARA	1.9564	72	1
2_MACS_peak_12383_lociStitched	chr18	9132570	9157602	2	23800	69834.2736	4888.7496	73	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.41979999999999995	73	1
4_MACS_peak_13343_lociStitched	chr19	16243643	16272960	4	23859	67989.0547	4778.671	74	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.8334	74	1
9_MACS_peak_24684_lociStitched	chr6	138246761	138297594	9	23877	71176.3666	8285.779	75			TNFAIP3	TNFAIP3	2.0534999999999997	75	1
5_MACS_peak_13693_lociStitched	chr19	42027184	42062730	5	22714	84386.204	6647.102	76		CEACAM21	CEACAM21	NONE	NONE	76	1
3_MACS_peak_12377_lociStitched	chr18	9054669	9074595	3	14631	138561.4188	3775.977	77		NDUFV2	NDUFV2	NDUFV2	2.6892	77	1
3_MACS_peak_2991_lociStitched	chr10	11278900	11304714	3	23894	64395.6044	4840.125	78	CELF2		CELF2	CELF2	0.7081000000000001	78	1
3_MACS_peak_4352_lociStitched	chr11	10323616	10345139	3	18602	116222.0477	3923.6429	79	ADM	SBF2	ADM	ADM	6.4046	79	1
4_MACS_peak_14736_lociStitched	chr2	65156928	65178694	4	14643	136313.9282	4620.9218	80	LOC400958	SLC1A4	LOC400958	LOC400958	2.4126	80	1
4_MACS_peak_1586_lociStitched	chr1	149802980	149834095	4	18068	119400.701	7467.6	81	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	4.6266	81	1
8_MACS_peak_8530_lociStitched	chr14	95945995	95986243	8	24280	40726.9512	3207.7656	82		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	C14orf49	0.3237	82	1
3_MACS_peak_329_lociStitched	chr1	24511911	24533738	3	16183	125703.8757	4297.7363	83	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	0.9638999999999999	83	1
3_MACS_peak_17092_lociStitched	chr20	52194024	52216108	3	21581	81578.296	3729.9876	84	ZNF217		ZNF217	ZNF217	1.3032	84	1
3_MACS_peak_28576_lociStitched	chr9	112903677	112925477	3	21628	78100.68	4671.74	85	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.7049	85	1
4_MACS_peak_11088_lociStitched	chr17	16858995	16883429	4	19358	98982.134	4173.3272	86	TNFRSF13B		TNFRSF13B	TNFRSF13B	2.3085000000000004	86	1
3_MACS_peak_1700_lociStitched	chr1	154370282	154394634	3	18225	108648.8832	5963.8048	87	IL6R		IL6R	IL6R	1.4226	87	1
4_MACS_peak_18391_lociStitched	chr3	13035369	13061589	4	18071	104012.118	4853.322	88	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.5353	88	1
2_MACS_peak_5058_lociStitched	chr11	72850923	72869793	2	13442	129451.974	3917.412	89	FCHSD2		FCHSD2	FCHSD2	0.11549999999999999	89	1
1_MACS_peak_23483_lociStitched	chr6	25403001	25415269	1	12269	132978.986	2670.7436	90	LRRC16A		LRRC16A	LRRC16A	0.5042	90	1
3_MACS_peak_13625_lociStitched	chr19	39880583	39904015	3	18416	99682.0712	4372.4112	91	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	6.023499999999999	91	1
3_MACS_peak_1789_lociStitched	chr1	156450138	156475969	3	20671	78391.9188	6798.7192	92	MEF2D		MEF2D	MEF2D	1.5191	92	1
2_MACS_peak_17765_lociStitched	chr22	24176924	24192286	2	13328	125942.2846	2697.5672	93	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	1.0573	93	1
2_MACS_peak_21513_lociStitched	chr4	185201000	185211115	2	9648	138674.627	2551.003	94			ENPP6	ENPP6	NONE	94	1
3_MACS_peak_10411_lociStitched	chr16	56963211	56985960	3	21065	67673.7252	4090.2702	95	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	2.8001	95	1
2_MACS_peak_8882_lociStitched	chr15	40387129	40409001	2	16952	105727.0608	4273.7888	96	BMF	BUB1B	BMF	BMF	3.5202	96	1
4_MACS_peak_26790_lociStitched	chr8	27216307	27241960	4	20992	68003.5377	4712.4561	97	PTK2B	TRIM35	PTK2B	PTK2B	0.6991	97	1
4_MACS_peak_18075_lociStitched	chr22	39822848	39846481	4	15239	115248.6878	3856.9056	98	TAB1	MGAT3	MGAT3	MGAT3	0.6688999999999999	98	1
8_MACS_peak_18727_lociStitched	chr3	46318253	46347332	8	20870	68402.5317	4946.3379	99		CCR3,CCR2	CCR3	CCR2	1.6666999999999998	99	1
3_MACS_peak_16875_lociStitched	chr20	37486910	37505944	3	10992	132128.3178	3251.0072	100	PPP1R16B	FAM83D	FAM83D	FAM83D	0.0816	100	1
2_MACS_peak_22258_lociStitched	chr5	88110643	88132759	2	21027	51424.1232	3410.2872	101	MEF2C		MEF2C	MEF2C	0.6508	101	1
2_MACS_peak_8766_lociStitched	chr15	31546356	31560805	2	10723	126136.8802	2892.6898	102			KLF13	KLF13	1.9993	102	1
4_MACS_peak_8410_lociStitched	chr14	81930561	81956026	4	18837	75816.9445	2279.1175	103	SEL1L		SEL1L	SEL1L	1.0875	103	1
4_MACS_peak_12036_lociStitched	chr17	72733116	72757413	4	20389	53995.2231	3804.9102	104	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	1.1438	104	1
1_MACS_peak_21626_lociStitched	chr5	1311666	1320822	1	9157	125586.4428	1705.7628	105	CLPTM1L	TERT	TERT	NONE	NONE	105	1
1_MACS_peak_15806_lociStitched	chr2	182168508	182180232	1	11725	115065.198	2300.2488	106			ITGA4	ITGA4	NONE	106	1
4_MACS_peak_8898_lociStitched	chr15	40833912	40862813	4	18390	70920.1639	4713.7531	107	RPUSD2,C15orf57	CASC5,MRPL42P5	C15orf57	C15orf57	1.6451	107	1
5_MACS_peak_11366_lociStitched	chr17	34408937	34432627	5	18364	70482.488	4321.056	108	CCL4,CCL3	CCL18	CCL3	CCL3	4.1850000000000005	108	1
4_MACS_peak_19515_lociStitched	chr3	133179141	133200613	4	16323	89057.2672	3948.7008	109	BFSP2		BFSP2	BFSP2	1.0853	109	1
4_MACS_peak_15915_lociStitched	chr2	197023792	197048827	4	19239	59207.775	4646.496	110	STK17B		STK17B	STK17B	0.6043999999999999	110	1
3_MACS_peak_12137_lociStitched	chr17	75131403	75146901	3	14564	98433.9972	3070.1538	111	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	3.1008	111	1
5_MACS_peak_15073_lociStitched	chr2	97190807	97212975	5	18007	70416.652	3923.736	112	ARID5A	NEURL3	ARID5A	ARID5A	1.6865999999999999	112	1
1_MACS_peak_12793_lociStitched	chr18	60821885	60831365	1	9481	120331.536	2170.92	113	BCL2		BCL2	BCL2	0.8160999999999999	113	1
4_MACS_peak_2390_lociStitched	chr1	206727852	206754654	4	18223	70368.651	6780.906	114	RASSF5	LGTN	RASSF5	RASSF5	0.6865	114	1
4_MACS_peak_1761_lociStitched	chr1	155931276	155954154	4	16815	82241.8344	5142.9744	115	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	2.289	115	1
4_MACS_peak_25369_lociStitched	chr7	38383546	38408541	4	19377	49722.5535	4781.5435	116			TARP	TARP	NONE	116	1
2_MACS_peak_16507_lociStitched	chr20	5570446	5592500	2	19338	45204.0838	3758.0016	117	GPCPD1		GPCPD1	GPCPD1	0.5253	117	1
2_MACS_peak_4462_lociStitched	chr11	19450042	19465834	2	13612	99631.728	3589.5216	118	NAV2		NAV2	NAV2	0.0936	118	1
3_MACS_peak_4012_lociStitched	chr10	112611788	112633066	3	16223	80432.9678	3893.874	120	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	3.2712	120	1
6_MACS_peak_9593_lociStitched	chr15	89646509	89676688	6	16615	76506.7829	4318.6149	121	ABHD2		ABHD2	ABHD2	0.6115	121	1
1_MACS_peak_22260_lociStitched	chr5	88170895	88187138	1	16244	78232.7852	3238.8542	122	MEF2C		MEF2C	MEF2C	0.6508	122	1
2_MACS_peak_10481_lociStitched	chr16	66549124	66560484	2	10548	111301.872	2494.656	123	TK2	CKLF,CMTM1	TK2	TK2	2.4640999999999997	123	1
2_MACS_peak_17733_lociStitched	chr22	23189059	23210051	2	17615	62858.4448	2288.128	124		MIR650,IGLL5	IGLL5	IGLL5	10.0081	124	1
1_MACS_peak_3992_lociStitched	chr10	112112630	112119566	1	6937	121493.0568	2198.712	125		SMNDC1	SMNDC1	SMNDC1	0.1496	125	1
3_MACS_peak_6222_lociStitched	chr12	48196937	48214787	3	14975	87065.16	3127.32	126	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.8052000000000001	126	1
4_MACS_peak_15024_lociStitched	chr2	88898808	88928491	4	18923	44580.8977	4948.1561	127	EIF2AK3		EIF2AK3	EIF2AK3	0.47240000000000004	127	1
1_MACS_peak_25744_lociStitched	chr7	78113722	78128230	1	14509	89453.4264	2715.8976	128	MAGI2		RPL13AP17	RPL13AP17	NONE	128	1
2_MACS_peak_2381_lociStitched	chr1	206282036	206295531	2	10857	108534.887	3622.058	129	C1orf186	CTSE	C1orf186	C1orf186	1.6602999999999999	129	1
2_MACS_peak_19003_lociStitched	chr3	69128246	69146224	2	17822	56781.7152	3575.8242	130	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.7750000000000001	130	1
4_MACS_peak_24856_lociStitched	chr6	157976427	158000075	4	16094	74299.6512	2078.6592	131	ZDHHC14	MIR3692	MIR3692	NONE	NONE	131	1
6_MACS_peak_10515_lociStitched	chr16	67570983	67601517	6	17394	59843.5866	4228.959	132	FAM65A,CTCF		CTCF	CTCF	0.32539999999999997	132	1
3_MACS_peak_23480_lociStitched	chr6	25365817	25390371	3	17921	52221.4472	4292.0392	133	LRRC16A		LRRC16A	LRRC16A	0.5042	133	1
4_MACS_peak_22589_lociStitched	chr5	131789744	131816129	4	16705	66798.9045	4406.295	134	C5orf56	IRF1	IRF1	IRF1	0.8472	134	1
6_MACS_peak_15990_lociStitched	chr2	202072964	202102124	6	18509	38628.252	5275.044	135	CASP10,CASP8	CASP8	CASP8	CASP8	1.524	135	1
3_MACS_peak_19141_lociStitched	chr3	98479488	98495976	3	16018	70177.8744	3063.4704	136	ST3GAL6		ST3GAL6	ST3GAL6	1.3652	136	1
6_MACS_peak_10227_lociStitched	chr16	30193874	30227398	6	17950	48562.8664	5886.8144	137	CORO1A,LOC606724,SLX1B,SLX1A-SULT1A3,SULT1A3,SULT1A4,BOLA2B,LOC388242	LOC613037	CORO1A	CORO1A	2.0111	137	1
4_MACS_peak_3299_lociStitched	chr10	45913458	45934200	4	13341	90090.8028	3279.3102	138	ALOX5		ALOX5	ALOX5	1.0641	138	1
3_MACS_peak_23145_lociStitched	chr5	180227134	180249300	3	16087	64795.6512	3300.5174	140	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	1.4479	140	1
1_MACS_peak_14493_lociStitched	chr2	43444206	43457037	1	12832	89261.4177	2509.7436	141	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	6.1034999999999995	141	1
2_MACS_peak_21666_lociStitched	chr5	6475261	6487201	2	11075	97158.168	2029.8	142	UBE2QL1		UBE2QL1	UBE2QL1	1.9226999999999999	142	1
1_MACS_peak_7821_lociStitched	chr13	114555109	114568182	1	13074	87132.8523	3119.2178	143	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.6383999999999999	143	1
6_MACS_peak_14719_lociStitched	chr2	64862674	64895812	6	17025	52387.8642	5524.1046	144	SERTAD2	LOC339807	SERTAD2	SERTAD2	1.1433	144	1
3_MACS_peak_21957_lociStitched	chr5	55437042	55453692	3	15768	64958.31	2842.155	145	ANKRD55		ANKRD55	ANKRD55	0.4403	145	1
4_MACS_peak_22265_lociStitched	chr5	88595830	88617351	4	13078	86238.9512	3447.6642	146			MEF2C	MEF2C	0.6508	146	1
2_MACS_peak_10116_lociStitched	chr16	23343656	23354224	2	8406	106608.9272	2172.7808	147	SCNN1B		SCNN1B	SCNN1B	1.5128000000000001	147	1
3_MACS_peak_20064_lociStitched	chr3	186703019	186719900	3	12873	88694.4621	4920.8115	148	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	1.0972	148	1
6_MACS_peak_23679_lociStitched	chr6	31781534	31805538	6	16924	47729.5536	3958.2596	149	HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,HSPA1L	C6orf27,VARS,LSM2,NEU1,SLC44A4	HSPA1B	HSPA1B	1.8711000000000002	149	1
2_MACS_peak_6895_lociStitched	chr12	108952822	108970688	2	14686	72736.0592	3582.133	150	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	4.0198	150	1
3_MACS_peak_1850_lociStitched	chr1	160633708	160655702	3	13595	83302.275	5619.467	151	CD48	SLAMF1	SLAMF1	NONE	NONE	151	1
1_MACS_peak_4879_lociStitched	chr11	65263519	65278808	1	15290	66886.3172	3334.5309	152	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	3.4032	152	1
2_MACS_peak_29365_lociStitched	chrX	48790519	48805632	2	13835	77212.317	1760.6645	153	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	2.2614	153	1
5_MACS_peak_10099_lociStitched	chr16	22194912	22219232	5	17057	43644.672	4243.84	154	EEF2K		EEF2K	EEF2K	0.038599999999999995	154	1
1_MACS_peak_17831_lociStitched	chr22	29185729	29199766	1	14038	75537.3081	2777.9223	155	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.543699999999999	155	1
5_MACS_peak_1200_lociStitched	chr1	93408855	93428661	5	17130	33783.0942	1935.0462	156	FAM69A		FAM69A	FAM69A	0.3146	156	1
4_MACS_peak_22854_lociStitched	chr5	150512928	150538132	4	16615	45359.6388	4413.2204	157	ANXA6		ANXA6	ANXA6	0.6192	157	1
1_MACS_peak_14176_lociStitched	chr2	11883645	11898084	1	14440	68950.5567	2724.6393	159	LPIN1		LPIN1	LPIN1	0.7179	159	1
1_MACS_peak_5383_lociStitched	chr11	111237801	111251596	1	13796	73888.779	2935.576	160	POU2AF1		POU2AF1	POU2AF1	1.938	160	1
2_MACS_peak_15996_lociStitched	chr2	202115950	202128514	2	12299	83594.574	2498.9796	161	CASP8		CASP8	CASP8	1.524	161	1
