#17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33_ROSE/17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33_peaks_5KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam
#Using cutoff of 23455.9689 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	isStretch
3_MACS_peak_4114_lociStitched	chr10	125822014	125854871	3	31907	147876.2142	5513.4046	16	1
3_MACS_peak_6333_lociStitched	chr12	53845164	53876054	3	30719	44262.281	5164.808	17	1
5_MACS_peak_23055_lociStitched	chr5	173310075	173344152	5	30239	63277.5813	5145.627	18	1
7_MACS_peak_10542_lociStitched	chr16	68278059	68320716	7	29476	83654.6427	7068.2649	19	1
3_MACS_peak_9276_lociStitched	chr15	68568572	68599548	3	28998	95821.1584	5250.432	20	1
5_MACS_peak_27479_lociStitched	chr8	120915644	120948191	5	28705	104329.4085	5604.5934	21	1
5_MACS_peak_23979_lociStitched	chr6	52389115	52424728	5	28560	113619.7152	6595.5276	22	1
3_MACS_peak_8632_lociStitched	chr14	106023355	106052918	3	28277	265330.8813	4993.1907	23	1
1_MACS_peak_16283_lociStitched	chr2	232687087	232714984	1	27898	54376.8324	3252.7902	24	1
8_MACS_peak_19983_lociStitched	chr3	183219892	183261117	8	27418	119548.3775	10450.5375	25	1
7_MACS_peak_5783_lociStitched	chr12	7045650	7085673	7	27357	112884.8715	6551.7651	26	1
5_MACS_peak_8769_lociStitched	chr15	31628307	31660582	5	27157	99639.38	5448.02	27	1
5_MACS_peak_17735_lociStitched	chr22	23217679	23247213	5	26619	199100.5076	4492.1214	28	1
4_MACS_peak_25533_lociStitched	chr7	55569163	55605701	4	26283	176021.815	6456.2646	29	1
1_MACS_peak_24344_lociStitched	chr6	106530329	106556460	1	26132	158834.6704	5032.8306	30	1
6_MACS_peak_11374_lociStitched	chr17	34509765	34540161	6	25987	126596.3004	7094.4264	31	1
4_MACS_peak_25537_lociStitched	chr7	55616347	55643009	4	25788	68028.093	4471.2174	32	1
6_MACS_peak_17987_lociStitched	chr22	37611062	37642403	6	25649	104525.3691	5208.8742	33	1
4_MACS_peak_18322_lociStitched	chr3	5222261	5256210	4	25493	70009.6278	5798.4892	34	1
2_MACS_peak_1717_lociStitched	chr1	154907906	154936167	2	25312	162390.5321	8085.4721	35	1
6_MACS_peak_11323_lociStitched	chr17	32688361	32719727	6	25152	170195.0526	6430.03	36	1
1_MACS_peak_20902_lociStitched	chr4	90205172	90230109	1	24938	201386.2246	5361.455	37	1
1_MACS_peak_5617_lociStitched	chr11	128585179	128610102	1	24924	106695.363	4912.3233	38	1
3_MACS_peak_4872_lociStitched	chr11	65183170	65212855	3	24922	200091.7425	6129.9525	39	1
5_MACS_peak_12182_lociStitched	chr17	76711115	76746236	5	24862	72180.6792	6086.4693	40	1
4_MACS_peak_25956_lociStitched	chr7	102063371	102093296	4	24418	190487.5875	4967.55	41	1
3_MACS_peak_8640_lociStitched	chr14	106145083	106173116	3	24397	187223.9971	3235.0082	42	1
8_MACS_peak_8530_lociStitched	chr14	95945995	95986243	8	24280	40726.9512	3207.7656	43	1
5_MACS_peak_16688_lociStitched	chr20	25261477	25303016	5	24262	114460.7145	6031.4628	44	1
3_MACS_peak_2991_lociStitched	chr10	11278900	11304714	3	23894	64395.6044	4840.125	45	1
9_MACS_peak_24684_lociStitched	chr6	138246761	138297594	9	23877	71176.3666	8285.779	46	1
4_MACS_peak_13343_lociStitched	chr19	16243643	16272960	4	23859	67989.0547	4778.671	47	1
2_MACS_peak_12383_lociStitched	chr18	9132570	9157602	2	23800	69834.2736	4888.7496	48	1
6_MACS_peak_24238_lociStitched	chr6	90053883	90086258	6	23565	105351.4875	5850.1625	49	1
3_MACS_peak_22586_lociStitched	chr5	131744658	131774500	3	23485	146207.8948	5544.6436	50	1
2_MACS_peak_4483_lociStitched	chr11	22676612	22704067	2	23450	149171.2515	4148.4505	51	1
5_MACS_peak_6897_lociStitched	chr12	109009359	109036441	5	23448	177024.2012	5102.2488	52	1
2_MACS_peak_6317_lociStitched	chr12	53582067	53607643	2	23357	154443.2336	5299.3472	53	1
5_MACS_peak_9357_lociStitched	chr15	75063216	75093055	5	23346	81075.5469	5481.4243	54	1
2_MACS_peak_12381_lociStitched	chr18	9101621	9126880	2	23137	81796.2197	4776.4769	55	1
5_MACS_peak_13693_lociStitched	chr19	42027184	42062730	5	22714	84386.204	6647.102	56	1
2_MACS_peak_26450_lociStitched	chr7	150062674	150084758	2	21783	153046.5368	5350.9532	57	1
2_MACS_peak_2317_lociStitched	chr1	203254961	203281721	2	21751	211883.004	7500.828	58	1
3_MACS_peak_28576_lociStitched	chr9	112903677	112925477	3	21628	78100.68	4671.74	59	1
1_MACS_peak_14227_lociStitched	chr2	20404903	20426494	1	21592	133540.335	4054.7898	60	1
3_MACS_peak_17092_lociStitched	chr20	52194024	52216108	3	21581	81578.296	3729.9876	61	1
4_MACS_peak_1775_lociStitched	chr1	156115320	156137232	4	21499	106877.9712	5804.4888	62	1
4_MACS_peak_21521_lociStitched	chr4	185317518	185350159	4	21453	104676.4229	5349.8599	63	1
1_MACS_peak_2984_lociStitched	chr10	11202468	11223902	1	21435	170522.4738	5289.9112	64	1
3_MACS_peak_10411_lociStitched	chr16	56963211	56985960	3	21065	67673.7252	4090.2702	65	1
2_MACS_peak_22258_lociStitched	chr5	88110643	88132759	2	21027	51424.1232	3410.2872	66	1
4_MACS_peak_26790_lociStitched	chr8	27216307	27241960	4	20992	68003.5377	4712.4561	67	1
3_MACS_peak_19843_lociStitched	chr3	171801743	171827095	3	20887	125900.5672	6796.8712	68	1
8_MACS_peak_18727_lociStitched	chr3	46318253	46347332	8	20870	68402.5317	4946.3379	69	1
3_MACS_peak_1422_lociStitched	chr1	118194891	118219254	3	20722	115743.7404	2606.841	70	1
3_MACS_peak_1789_lociStitched	chr1	156450138	156475969	3	20671	78391.9188	6798.7192	71	1
4_MACS_peak_12036_lociStitched	chr17	72733116	72757413	4	20389	53995.2231	3804.9102	72	1
3_MACS_peak_11829_lociStitched	chr17	56404776	56431190	3	20243	151679.7536	5303.9312	73	1
1_MACS_peak_17492_lociStitched	chr21	41324453	41344310	1	19858	131858.4228	5720.8017	74	1
1_MACS_peak_483_lociStitched	chr1	31213836	31233404	1	19569	134463.4688	4314.744	75	1
4_MACS_peak_25369_lociStitched	chr7	38383546	38408541	4	19377	49722.5535	4781.5435	76	1
4_MACS_peak_11088_lociStitched	chr17	16858995	16883429	4	19358	98982.134	4173.3272	77	1
2_MACS_peak_16507_lociStitched	chr20	5570446	5592500	2	19338	45204.0838	3758.0016	78	1
4_MACS_peak_15915_lociStitched	chr2	197023792	197048827	4	19239	59207.775	4646.496	79	1
3_MACS_peak_26546_lociStitched	chr8	2026989	2050913	3	19034	133641.8564	3775.2072	80	1
5_MACS_peak_17563_lociStitched	chr21	45552555	45580790	5	19033	129751.119	6118.5245	81	1
2_MACS_peak_11481_lociStitched	chr17	38465540	38484689	2	18969	115684.8537	3285.9684	82	1
4_MACS_peak_15024_lociStitched	chr2	88898808	88928491	4	18923	44580.8977	4948.1561	83	1
3_MACS_peak_1613_lociStitched	chr1	150532171	150553199	3	18902	171737.7788	5753.2608	84	1
4_MACS_peak_8410_lociStitched	chr14	81930561	81956026	4	18837	75816.9445	2279.1175	85	1
1_MACS_peak_20519_lociStitched	chr4	40190976	40209717	1	18742	120322.8423	4049.9301	86	1
3_MACS_peak_4352_lociStitched	chr11	10323616	10345139	3	18602	116222.0477	3923.6429	87	1
6_MACS_peak_15990_lociStitched	chr2	202072964	202102124	6	18509	38628.252	5275.044	88	1
3_MACS_peak_13625_lociStitched	chr19	39880583	39904015	3	18416	99682.0712	4372.4112	89	1
4_MACS_peak_8898_lociStitched	chr15	40833912	40862813	4	18390	70920.1639	4713.7531	90	1
5_MACS_peak_11366_lociStitched	chr17	34408937	34432627	5	18364	70482.488	4321.056	91	1
3_MACS_peak_1700_lociStitched	chr1	154370282	154394634	3	18225	108648.8832	5963.8048	92	1
4_MACS_peak_2390_lociStitched	chr1	206727852	206754654	4	18223	70368.651	6780.906	93	1
4_MACS_peak_18391_lociStitched	chr3	13035369	13061589	4	18071	104012.118	4853.322	94	1
4_MACS_peak_1586_lociStitched	chr1	149802980	149834095	4	18068	119400.701	7467.6	95	1
5_MACS_peak_15073_lociStitched	chr2	97190807	97212975	5	18007	70416.652	3923.736	96	1
2_MACS_peak_17740_lociStitched	chr22	23268151	23286136	2	17974	217282.1805	3812.82	97	1
6_MACS_peak_10227_lociStitched	chr16	30193874	30227398	6	17950	48562.8664	5886.8144	98	1
3_MACS_peak_23480_lociStitched	chr6	25365817	25390371	3	17921	52221.4472	4292.0392	99	1
2_MACS_peak_19003_lociStitched	chr3	69128246	69146224	2	17822	56781.7152	3575.8242	100	1
2_MACS_peak_17733_lociStitched	chr22	23189059	23210051	2	17615	62858.4448	2288.128	101	1
6_MACS_peak_10515_lociStitched	chr16	67570983	67601517	6	17394	59843.5866	4228.959	102	1
5_MACS_peak_1200_lociStitched	chr1	93408855	93428661	5	17130	33783.0942	1935.0462	103	1
5_MACS_peak_10099_lociStitched	chr16	22194912	22219232	5	17057	43644.672	4243.84	104	1
6_MACS_peak_14719_lociStitched	chr2	64862674	64895812	6	17025	52387.8642	5524.1046	105	1
2_MACS_peak_8882_lociStitched	chr15	40387129	40409001	2	16952	105727.0608	4273.7888	106	1
6_MACS_peak_23679_lociStitched	chr6	31781534	31805538	6	16924	47729.5536	3958.2596	107	1
4_MACS_peak_1761_lociStitched	chr1	155931276	155954154	4	16815	82241.8344	5142.9744	108	1
4_MACS_peak_22589_lociStitched	chr5	131789744	131816129	4	16705	66798.9045	4406.295	109	1
4_MACS_peak_22854_lociStitched	chr5	150512928	150538132	4	16615	45359.6388	4413.2204	110	1
6_MACS_peak_9593_lociStitched	chr15	89646509	89676688	6	16615	76506.7829	4318.6149	111	1
3_MACS_peak_18545_lociStitched	chr3	30682661	30703503	3	16603	39464.327	3474.3614	112	1
2_MACS_peak_15983_lociStitched	chr2	201979795	201998075	2	16565	152447.888	3952.136	113	1
4_MACS_peak_19515_lociStitched	chr3	133179141	133200613	4	16323	89057.2672	3948.7008	114	1
1_MACS_peak_22260_lociStitched	chr5	88170895	88187138	1	16244	78232.7852	3238.8542	115	1
3_MACS_peak_4012_lociStitched	chr10	112611788	112633066	3	16223	80432.9678	3893.874	116	1
3_MACS_peak_329_lociStitched	chr1	24511911	24533738	3	16183	125703.8757	4297.7363	117	1
5_MACS_peak_6409_lociStitched	chr12	57093737	57120132	5	16116	23053.393	3753.369	118	1
4_MACS_peak_24856_lociStitched	chr6	157976427	158000075	4	16094	74299.6512	2078.6592	119	1
3_MACS_peak_23145_lociStitched	chr5	180227134	180249300	3	16087	64795.6512	3300.5174	120	1
5_MACS_peak_8675_lociStitched	chr15	21976481	22002418	5	16027	34843.7658	3779.0209	121	1
3_MACS_peak_19141_lociStitched	chr3	98479488	98495976	3	16018	70177.8744	3063.4704	122	1
1_MACS_peak_5894_lociStitched	chr12	12866057	12882069	1	16013	176348.162	3202.4	123	1
2_MACS_peak_1055_lociStitched	chr1	75596223	75612509	2	15841	49927.9902	2056.9218	124	1
3_MACS_peak_21957_lociStitched	chr5	55437042	55453692	3	15768	64958.31	2842.155	125	1
4_MACS_peak_16157_lociStitched	chr2	219742565	219763350	4	15728	53934.9965	3244.5385	126	1
2_MACS_peak_12977_lociStitched	chr19	2081383	2098380	2	15635	158717.986	4672.4753	127	1
6_MACS_peak_27543_lociStitched	chr8	126285286	126308122	6	15437	46443.8568	3836.448	128	1
1_MACS_peak_5932_lociStitched	chr12	15100994	15116294	1	15301	44096.13	3098.25	129	1
5_MACS_peak_8667_lociStitched	chr15	20969938	20995773	5	15298	39005.683	3663.403	130	1
1_MACS_peak_4879_lociStitched	chr11	65263519	65278808	1	15290	66886.3172	3334.5309	131	1
5_MACS_peak_28874_lociStitched	chr9	134127071	134153578	5	15275	53573.2977	4074.1259	132	1
4_MACS_peak_18075_lociStitched	chr22	39822848	39846481	4	15239	115248.6878	3856.9056	133	1
1_MACS_peak_18029_lociStitched	chr22	38782028	38797226	1	15199	42575.6772	2667.249	134	1
6_MACS_peak_8875_lociStitched	chr15	40329651	40358396	6	15034	46377.183	4924.0185	135	1
2_MACS_peak_17280_lociStitched	chr21	19152108	19169251	2	15021	53503.303	3025.7395	136	1
4_MACS_peak_19463_lociStitched	chr3	129026464	129054624	4	15007	40195.584	3995.904	137	1
3_MACS_peak_6222_lociStitched	chr12	48196937	48214787	3	14975	87065.16	3127.32	138	1
4_MACS_peak_16950_lociStitched	chr20	43583355	43609218	4	14897	38287.5852	3933.7623	139	1
3_MACS_peak_7116_lociStitched	chr12	123371215	123387355	3	14877	36344.052	1596.246	140	1
4_MACS_peak_23098_lociStitched	chr5	176717146	176740791	4	14766	48394.2215	3936.8925	141	1
2_MACS_peak_6895_lociStitched	chr12	108952822	108970688	2	14686	72736.0592	3582.133	142	1
4_MACS_peak_14736_lociStitched	chr2	65156928	65178694	4	14643	136313.9282	4620.9218	143	1
5_MACS_peak_8374_lociStitched	chr14	77487961	77508132	5	14638	47619.6968	1871.8688	144	1
3_MACS_peak_12377_lociStitched	chr18	9054669	9074595	3	14631	138561.4188	3775.977	145	1
2_MACS_peak_11917_lociStitched	chr17	62195764	62210498	2	14594	41233.099	2843.662	146	1
3_MACS_peak_12137_lociStitched	chr17	75131403	75146901	3	14564	98433.9972	3070.1538	147	1
3_MACS_peak_20771_lociStitched	chr4	77608720	77624753	3	14552	38453.5472	3078.336	148	1
4_MACS_peak_23504_lociStitched	chr6	26183622	26207333	4	14529	64764.2254	3653.8651	149	1
3_MACS_peak_25436_lociStitched	chr7	44661685	44680155	3	14519	38860.88	3174.993	150	1
1_MACS_peak_25744_lociStitched	chr7	78113722	78128230	1	14509	89453.4264	2715.8976	151	1
3_MACS_peak_27216_lociStitched	chr8	81046365	81061752	3	14475	34854.6324	2717.3442	152	1
1_MACS_peak_14176_lociStitched	chr2	11883645	11898084	1	14440	68950.5567	2724.6393	153	1
1_MACS_peak_11287_lociStitched	chr17	29635069	29649505	1	14437	63164.718	2895.8616	154	1
7_MACS_peak_4825_lociStitched	chr11	63992632	64020247	7	14411	28366.128	3830.2005	155	1
2_MACS_peak_17153_lociStitched	chr20	55957819	55975863	2	14351	32154.408	2805.842	156	1
4_MACS_peak_673_lociStitched	chr1	40838978	40858483	4	14349	38563.3355	3780.069	157	1
3_MACS_peak_3646_lociStitched	chr10	81001341	81020519	3	14319	44627.206	3097.247	158	1
4_MACS_peak_23546_lociStitched	chr6	27094285	27116260	4	14286	58253.5275	3524.79	159	1
1_MACS_peak_12134_lociStitched	chr17	75078840	75093108	1	14269	49928.0124	2663.8356	160	1
2_MACS_peak_28798_lociStitched	chr9	130828748	130845873	2	14240	41692.525	2998.5875	161	1
4_MACS_peak_6403_lociStitched	chr12	57021985	57040884	4	14229	32143.4192	3318.6644	162	1
3_MACS_peak_22480_lociStitched	chr5	118657796	118678578	3	14206	59288.9678	3692.9614	163	1
6_MACS_peak_10206_lociStitched	chr16	29815516	29837407	6	14188	50614.1811	3150.1149	164	1
1_MACS_peak_18027_lociStitched	chr22	38700810	38714984	1	14175	34377.6196	2136.0218	165	1
3_MACS_peak_9985_lociStitched	chr16	12052337	12072051	3	14155	147332.579	3863.944	166	1
3_MACS_peak_12188_lociStitched	chr17	76763382	76779698	3	14144	41018.424	2793.2992	167	1
3_MACS_peak_20690_lociStitched	chr4	71519989	71535387	3	14051	51566.3622	2710.048	168	1
1_MACS_peak_17831_lociStitched	chr22	29185729	29199766	1	14038	75537.3081	2777.9223	169	1
4_MACS_peak_2342_lociStitched	chr1	204474740	204494284	4	14019	73200.0976	4940.7232	170	1
2_MACS_peak_6006_lociStitched	chr12	26265873	26280370	2	13960	51591.9236	2573.2175	171	1
2_MACS_peak_22760_lociStitched	chr5	142771332	142785985	2	13886	47833.2532	2181.8317	172	1
1_MACS_peak_11456_lociStitched	chr17	37924914	37938760	1	13847	46168.1024	2521.3566	173	1
2_MACS_peak_29365_lociStitched	chrX	48790519	48805632	2	13835	77212.317	1760.6645	174	1
1_MACS_peak_5383_lociStitched	chr11	111237801	111251596	1	13796	73888.779	2935.576	175	1
3_MACS_peak_28372_lociStitched	chr9	94181007	94196003	3	13669	48303.6156	2856.738	176	1
4_MACS_peak_18082_lociStitched	chr22	39910207	39929664	4	13650	38425.6293	3278.5045	177	1
4_MACS_peak_2967_lociStitched	chr10	7511582	7535741	4	13623	68536.6671	3582.7797	178	1
2_MACS_peak_4462_lociStitched	chr11	19450042	19465834	2	13612	99631.728	3589.5216	179	1
3_MACS_peak_1850_lociStitched	chr1	160633708	160655702	3	13595	83302.275	5619.467	180	1
3_MACS_peak_12016_lociStitched	chr17	70582359	70601748	3	13576	47460.3942	3173.9793	181	1
7_MACS_peak_21786_lociStitched	chr5	32276164	32296893	7	13476	20208.7021	3358.098	182	1
4_MACS_peak_3662_lociStitched	chr10	81946400	81966408	4	13451	40214.0792	3127.2504	183	1
2_MACS_peak_5058_lociStitched	chr11	72850923	72869793	2	13442	129451.974	3917.412	184	1
6_MACS_peak_26805_lociStitched	chr8	27930127	27951599	6	13436	36395.04	3407.6064	185	1
6_MACS_peak_14543_lociStitched	chr2	46785696	46804514	6	13427	35447.4666	3295.0318	186	1
4_MACS_peak_3299_lociStitched	chr10	45913458	45934200	4	13341	90090.8028	3279.3102	187	1
2_MACS_peak_17765_lociStitched	chr22	24176924	24192286	2	13328	125942.2846	2697.5672	188	1
4_MACS_peak_8467_lociStitched	chr14	91781662	91802214	4	13298	28799.5176	1580.4488	189	1
2_MACS_peak_23177_lociStitched	chr6	389082	404174	2	13178	35662.396	3114.9888	190	1
4_MACS_peak_22265_lociStitched	chr5	88595830	88617351	4	13078	86238.9512	3447.6642	191	1
1_MACS_peak_7821_lociStitched	chr13	114555109	114568182	1	13074	87132.8523	3119.2178	192	1
3_MACS_peak_29262_lociStitched	chrX	39953163	39969576	3	13066	32958.9453	1088.1819	193	1
4_MACS_peak_15986_lociStitched	chr2	202040103	202060142	4	13010	22371.5396	3045.928	194	1
2_MACS_peak_2651_lociStitched	chr1	226839543	226852732	2	13009	77156.9689	3621.6994	195	1
5_MACS_peak_29816_lociStitched	chrX	128902431	128921397	5	13001	33734.8242	1720.2162	196	1
1_MACS_peak_645_lociStitched	chr1	40030135	40043102	1	12968	25934	2610.2571	197	1
2_MACS_peak_4000_lociStitched	chr10	112255901	112273942	2	12947	42170.8375	3151.7627	198	1
5_MACS_peak_16027_lociStitched	chr2	204548198	204573787	5	12939	52774.7536	4613.6967	199	1
4_MACS_peak_12983_lociStitched	chr19	2254644	2274629	4	12917	43213.5655	4406.6925	200	1
1_MACS_peak_2478_lociStitched	chr1	211743600	211756514	1	12915	30393.099	3303.4012	201	1
3_MACS_peak_20064_lociStitched	chr3	186703019	186719900	3	12873	88694.4621	4920.8115	202	1
1_MACS_peak_14493_lociStitched	chr2	43444206	43457037	1	12832	89261.4177	2509.7436	203	1
4_MACS_peak_5177_lociStitched	chr11	82764955	82790106	4	12826	54716.0005	4688.1464	204	1
4_MACS_peak_24402_lociStitched	chr6	109214215	109228492	4	12807	36844.6539	2418.5238	205	1
3_MACS_peak_20493_lociStitched	chr4	38307125	38322570	3	12767	67398.891	3078.1885	206	1
2_MACS_peak_16782_lociStitched	chr20	32988867	33005831	2	12708	40674.5828	2622.6344	207	1
4_MACS_peak_21943_lociStitched	chr5	55272701	55292080	4	12657	30087.8354	3430.083	208	1
4_MACS_peak_1757_lociStitched	chr1	155900663	155919531	4	12650	30958.6144	3943.412	209	1
3_MACS_peak_17810_lociStitched	chr22	26974826	26992377	3	12636	45644.8857	3050.3638	210	1
2_MACS_peak_22593_lociStitched	chr5	131822535	131837720	2	12606	47191.943	2892.7425	211	1
4_MACS_peak_27713_lociStitched	chr8	145009636	145027958	4	12576	30912.8784	2312.2364	212	1
3_MACS_peak_17832_lociStitched	chr22	29206889	29225841	3	12549	70378.252	3212.364	213	1
2_MACS_peak_21797_lociStitched	chr5	32530179	32543944	2	12536	54852.1485	2730.976	214	1
4_MACS_peak_21627_lociStitched	chr5	1327869	1346220	4	12526	36830.457	2827.8891	215	1
4_MACS_peak_4989_lociStitched	chr11	67760487	67778519	4	12521	35759.2592	2825.6144	216	1
5_MACS_peak_16707_lociStitched	chr20	30146996	30162133	5	12501	20932.9573	2181.2417	217	1
4_MACS_peak_14316_lociStitched	chr2	27293226	27311006	4	12425	23039.324	2606.548	218	1
4_MACS_peak_10369_lociStitched	chr16	50713977	50732869	4	12424	31132.1268	2728.0048	219	1
2_MACS_peak_23672_lociStitched	chr6	31694666	31709396	2	12381	59345.697	2735.361	220	1
1_MACS_peak_21800_lociStitched	chr5	32580651	32593002	1	12352	59865.297	2472.6702	221	1
1_MACS_peak_12495_lociStitched	chr18	22928795	22941128	1	12334	25598.3748	1877.0826	222	1
4_MACS_peak_11011_lociStitched	chr17	7736885	7762350	4	12327	26150.0085	3374.1125	223	1
4_MACS_peak_16354_lociStitched	chr2	238599799	238613301	4	12313	20899.7458	1448.7646	224	1
4_MACS_peak_6114_lociStitched	chr12	33037801	33060523	4	12303	23169.6234	3817.296	225	1
2_MACS_peak_15996_lociStitched	chr2	202115950	202128514	2	12299	83594.574	2498.9796	226	1
6_MACS_peak_18985_lociStitched	chr3	66530822	66552361	6	12291	20976.8321	3125.3089	227	1
1_MACS_peak_23483_lociStitched	chr6	25403001	25415269	1	12269	132978.986	2670.7436	228	1
5_MACS_peak_10192_lociStitched	chr16	29463692	29487879	5	12234	20271.1247	4469.7576	229	1
5_MACS_peak_2044_lociStitched	chr1	174923031	174942217	5	12220	24784.4748	4132.6644	230	1
1_MACS_peak_398_lociStitched	chr1	27018395	27030574	1	12180	48187.4314	2109.4028	231	1
5_MACS_peak_5868_lociStitched	chr12	11901802	11920238	5	12138	40282.66	3342.4468	232	1
3_MACS_peak_5780_lociStitched	chr12	7022750	7038870	3	12132	25659.816	2743.624	233	1
3_MACS_peak_1874_lociStitched	chr1	161144107	161163247	3	12116	80286.558	4884.528	234	1
2_MACS_peak_3267_lociStitched	chr10	43890460	43906061	2	12087	35604.6022	2335.4697	235	1
2_MACS_peak_25503_lociStitched	chr7	50343624	50357535	2	12046	40944.2463	2508.1533	236	1
3_MACS_peak_10943_lociStitched	chr17	4837254	4854685	3	12041	53408.584	2815.1065	237	1
1_MACS_peak_16947_lociStitched	chr20	43270174	43282212	1	12039	51598.4794	2245.087	238	1
4_MACS_peak_29069_lociStitched	chrX	10073999	10090980	4	12032	45381.7225	1563.9501	239	1
6_MACS_peak_10498_lociStitched	chr16	67191582	67218746	6	12014	23695.1572	3830.124	240	1
4_MACS_peak_19669_lociStitched	chr3	151985324	152002004	4	11996	29685.396	2883.972	241	1
4_MACS_peak_28781_lociStitched	chr9	130532006	130550922	4	11927	34107.4396	2716.3376	242	1
1_MACS_peak_10674_lociStitched	chr16	79628832	79640739	1	11908	28988.7822	947.7972	243	1
3_MACS_peak_13365_lociStitched	chr19	16693489	16711615	3	11878	54071.6706	3117.672	244	1
3_MACS_peak_20718_lociStitched	chr4	74454135	74475387	3	11844	59169.8184	3192.0504	245	1
4_MACS_peak_24215_lociStitched	chr6	88625763	88640260	4	11759	43373.5743	2661.6492	246	1
4_MACS_peak_13869_lociStitched	chr19	48880438	48902353	4	11738	32320.242	3037.419	247	1
1_MACS_peak_15806_lociStitched	chr2	182168508	182180232	1	11725	115065.198	2300.2488	248	1
2_MACS_peak_12921_lociStitched	chr19	1015282	1030085	2	11690	33216.4517	2936.9152	249	1
3_MACS_peak_14480_lociStitched	chr2	42344044	42360964	3	11659	44085.06	2693.664	250	1
3_MACS_peak_2136_lociStitched	chr1	183865465	183885886	3	11658	71561.3103	4702.9563	251	1
2_MACS_peak_2755_lociStitched	chr1	234734107	234749828	2	11633	70431.6521	3971.1246	252	1
2_MACS_peak_17729_lociStitched	chr22	23088106	23102022	2	11600	36362.508	2418.6008	253	1
6_MACS_peak_14816_lociStitched	chr2	70335006	70360838	6	11599	49824.7616	3843.8016	254	1
3_MACS_peak_18479_lociStitched	chr3	20080074	20098151	3	11574	28039.2347	2859.7814	255	1
5_MACS_peak_22250_lociStitched	chr5	87954526	87976763	5	11560	68770.1462	3268.839	256	1
4_MACS_peak_13272_lociStitched	chr19	13043335	13057850	4	11501	22496.7985	2336.915	257	1
3_MACS_peak_16926_lociStitched	chr20	42569035	42585612	3	11496	41140.7986	2586.012	258	1
3_MACS_peak_19174_lociStitched	chr3	101495513	101513342	3	11475	33076.3608	3145.0356	259	1
