GENE_ID	locusLine	bin_1_06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13.bam
NM_006818	chr1(.):151027150-151045973	1.6581
NM_017860	chr1(.):151015258-151028871	0.3132
NM_144618	chr1(.):151038079-151096007	0.3933
NM_005620	chr1(.):151999981-152014511	1.4206
NM_002966	chr1(.):151950385-151971714	0.294
NM_001008536	chr1(.):152051619-152066540	0.1112
NM_014437	chr1(.):153926587-153945188	1.1212
NM_130898	chr1(.):153935396-153951832	1.2352
NM_181715	chr1(.):153915151-153936043	0.9024
NM_006694	chr1(.):153941744-153955451	0.4686
NM_002870	chr1(.):153949127-153963806	0.7019
NM_014856	chr1(.):153896976-153924154	0.4175
NM_001030	chr1(.):153958238-153969631	0.4851
NM_020452	chr1(.):154295275-154328780	1.1959
NM_001005855	chr1(.):154293035-154315322	1.6474
NM_080429	chr1(.):154288591-154302801	2.4868
NM_006556	chr1(.):154892207-154914484	1.8492
NM_001130041	chr1(.):154929773-154951959	1.6587
NM_001130040	chr1(.):154929773-154948223	1.8349
NM_201398	chr1(.):154950769-154970587	0.3414
NM_015872	chr1(.):154970111-154995999	0.9707
NM_001184892	chr1(.):154950769-154966488	0.3678
NM_018655	chr1(.):154961061-154971791	0.2418
NM_001143687	chr1(.):155001281-155028406	0.3438
NR_024163	chr1(.):154942117-154956725	1.8755
NM_144622	chr1(.):154986002-155011257	0.3661
NM_138300	chr1(.):154924501-154939258	2.1301
NR_036212	chr1(.):154943168-154953259	2.2246
NM_001162384	chr1(.):155911629-155953336	1.2486
NM_181885	chr1(.):155906479-155917625	1.0513
NM_004723	chr1(.):155911629-155952966	1.254
NM_014949	chr1(.):155877835-155909188	0.3857
NR_002974	chr1(.):155884699-155894833	0.118
NR_003005	chr1(.):155890748-155900877	0.1177
NM_020131	chr1(.):156000091-156028516	0.2772
NM_001093725	chr1(.):156036803-156056789	0.1291
NM_020387	chr1(.):156025965-156045295	0.1073
NM_001145264	chr1(.):156019516-156033301	0.4429
NM_003145	chr1(.):155973838-155995758	0.3962
NM_014655	chr1(.):156158729-156187587	0.5916
NM_007221	chr1(.):156177783-156214833	0.7728
NM_022367	chr1(.):156118321-156152542	2.322
NM_001193302	chr1(.):156118368-156152542	2.3242
NM_001193301	chr1(.):156114734-156152542	2.2522
NM_005920	chr1(.):156428518-156475529	0.998
NM_198427	chr1(.):156606739-156628264	0.1474
NM_021817	chr1(.):156584085-156600517	0.1116
NM_021948	chr1(.):156606739-156634320	0.7868
NM_004494	chr1(.):156706898-156726543	1.3444
NM_001126051	chr1(.):156706898-156727024	1.314
NM_001126050	chr1(.):156706898-156727240	1.3005
NM_030980	chr1(.):156687412-156702705	0.4254
NM_001878	chr1(.):156664407-156680375	0.1249
NM_001142560	chr1(.):156693262-156711752	0.785
NM_145729	chr1(.):156702093-156715923	0.7162
NM_006617	chr1(.):156633555-156652189	0.2049
NM_004833	chr1(.):159027274-159051647	0.9447
NM_001778	chr1(.):160643535-160686585	1.3137
NM_003037	chr1(.):160574890-160622081	0.2046
NM_021181	chr1(.):160704076-160729601	1.265
NM_152366	chr1(.):161063180-161075138	0.3418
NM_030916	chr1(.):161035780-161064385	0.5353
NM_007122	chr1(.):161004040-161020757	1.8122
NM_001113205	chr1(.):161002421-161013774	0.3117
NR_033385	chr1(.):161063150-161075138	0.341
NM_181720	chr1(.):161011731-161044760	1.3507
NM_016946	chr1(.):160960000-160996133	0.3318
NM_001077470	chr1(.):161194455-161213000	0.4337
NM_001039711	chr1(.):161085768-161107478	0.7407
NM_016406	chr1(.):161118533-161133646	1.2568
NM_004550	chr1(.):161164104-161189184	0.6913
NM_000309	chr1(.):161131180-161146010	0.5882
NM_001643	chr1(.):161187082-161198418	0.9115
NM_001185094	chr1(.):161082907-161095984	0.3554
NM_003779	chr1(.):161136100-161152314	1.3778
NM_012475	chr1(.):161124253-161140516	0.7527
NM_001039712	chr1(.):161085768-161107256	0.7477
NM_005600	chr1(.):161082861-161095984	0.3541
NM_001185093	chr1(.):161082906-161095984	0.3553
NM_032174	chr1(.):161190832-161205407	0.5437
NM_001166159	chr1(.):161166936-161189184	0.7348
NM_005099	chr1(.):161154537-161173845	1.2459
NM_004106	chr1(.):161180086-161194038	0.503
NM_181093	chr1(.):169816803-169868076	0.5042
NM_002021	chr1(.):171212662-171260113	0.5335
NM_022100	chr1(.):174977093-174997591	0.3432
NR_033186	chr1(.):178506930-178523024	0.3766
NM_022371	chr1(.):179046111-179070129	1.0076
NM_015602	chr1(.):179846419-179894211	0.5627
NM_016545	chr1(.):181052637-181064979	0.7607
NM_002922	chr1(.):192539856-192554159	1.8041
NM_001195216	chr1(.):197698138-197749623	0.6771
NM_005298	chr1(.):200837165-200848251	0.2043
NM_018265	chr1(.):200855638-200889864	0.9641
NM_001142569	chr1(.):200858998-200889864	0.9427
NR_034150	chr1(.):203262885-203279453	3.4772
NM_003465	chr1(.):203180206-203203860	0.1435
NM_006763	chr1(.):203269663-203283729	2.2714
NM_002023	chr1(.):203304751-203325289	0.202
NR_003019	chr1(.):203693708-203703833	0.1546
NM_001136190	chr1(.):203729283-203750480	1.4863
NM_001174108	chr1(.):203761650-203774590	0.4241
NM_002646	chr1(.):204386757-204464474	0.1922
NM_002393	chr1(.):204480510-204532248	0.8337
NM_014858	chr1(.):205192037-205247471	0.538
NM_030952	chr1(.):205266190-205295883	0.5237
NM_000707	chr1(.):206219282-206236482	0.2379
NM_001007544	chr1(.):206233871-206293647	1.4109
NM_148964	chr1(.):206312458-206337104	0.138
NM_006893	chr1(.):206759973-206790904	0.1697
NM_182665	chr1(.):206725491-206767616	1.1487
NM_001185157	chr1(.):207065787-207082484	0.1362
NM_002644	chr1(.):207096866-207124811	0.3405
NM_001170631	chr1(.):207126311-207148970	0.141
NM_001136224	chr1(.):211427707-211494725	0.4275
NM_018254	chr1(.):211428288-211494725	0.4307
NM_001136225	chr1(.):211427707-211491655	0.4423
NM_002296	chr1(.):225584203-225620784	0.4847
NM_194442	chr1(.):225584203-225621519	0.4758
NM_033445	chr1(.):228640064-228650560	0.1187
NM_001010858	chr1(.):228670067-228688889	0.8918
NM_175055	chr1(.):228640807-228651259	0.1144
NM_182972	chr1(.):234735014-234750271	3.0514
NR_033927	chr1(.):234760056-234775526	0.1106
NM_031844	chr1(.):245008601-245032827	0.8319
NM_198076	chr1(.):244993638-245013359	1.4168
NR_026778	chr1(.):244998939-245015243	0.3112
NM_020458	chr2(.):47163312-47308275	0.4769
NR_033872	chr2(.):70184394-70319147	0.5534
NR_015395	chr2(.):112119590-112257692	0.5197
NR_024373	chr2(.):112181885-112257692	0.8706
NM_001099289	chr2(.):109740996-110267207	0.2009
NM_001012514	chr2(.):231724620-231748963	1.1474
NM_145693	chr2(.):11881739-11972533	0.4991
NM_183360	chr2(.):25595111-25901503	0.2135
NM_170672	chr2(.):33656415-33794798	0.4497
NM_005813	chr2(.):37472645-37549222	0.8523
NM_019063	chr2(.):42391489-42564688	0.1043
NM_178313	chr2(.):54780530-54894445	0.3006
NM_003128	chr2(.):54678453-54903583	0.2401
NM_014755	chr2(.):64853754-64886046	0.8137
NR_036586	chr2(.):65123973-65164581	1.4378
NM_002398	chr2(.):66657531-66804891	0.188
NR_024204	chr2(.):87749973-87826030	0.6388
NM_144563	chr2(.):88986175-89055452	0.6334
NM_004027	chr2(.):99056320-99212496	0.9885
NM_001566	chr2(.):99056320-99203284	1.0452
NM_004336	chr2(.):111390408-111440684	0.5858
NM_001077269	chr2(.):175419301-175552627	0.4395
NR_024415	chr2(.):192537797-192558248	1.2454
NM_001031716	chr2(.):192537860-192558248	1.2489
NM_004226	chr2(.):196993306-197041336	0.4719
NM_001228	chr2(.):202093165-202157434	0.9877
NM_003879	chr2(.):201975889-202034003	1.8361
NM_001127184	chr2(.):201975815-202011323	2.8483
NM_173822	chr2(.):201833440-201941392	0.1239
NM_033358	chr2(.):202093165-202151638	1.0778
NM_003709	chr2(.):207940528-208035614	0.4793
NM_022730	chr2(.):232646161-232678434	0.0984
NM_001037160	chr2(.):10191925-10225538	0.0673
NM_182626	chr2(.):10276508-10356856	0.0698
NM_001165931	chr2(.):10257694-10276546	1.1954
NM_001034	chr2(.):10257862-10276546	1.2055
NM_002997	chr2(.):20395557-20429927	1.9183
NM_001006946	chr2(.):20395557-20430194	1.9035
NM_004040	chr2(.):20641834-20654201	0.5036
NM_178553	chr2(.):27354714-27367332	0.4837
NM_001166239	chr2(.):27318461-27346773	0.1126
NM_001166240	chr2(.):27317220-27346995	0.1209
NM_013388	chr2(.):27348624-27362542	0.4561
NM_001166241	chr2(.):27317220-27338970	0.107
NM_032604	chr2(.):27341656-27358680	0.4415
NM_175769	chr2(.):27366944-27380819	0.6
NM_080592	chr2(.):27429898-27445046	0.88
NM_001170795	chr2(.):27430218-27445046	0.8967
NM_021095	chr2(.):27417454-27440175	0.4546
NM_015376	chr2(.):33733941-33794798	0.1941
NM_001139488	chr2(.):33696320-33794798	0.6028
NM_012413	chr2(.):37566752-37605465	2.7517
NM_138370	chr2(.):42270160-42290668	0.101
NM_006887	chr2(.):43444540-43458745	2.5811
NR_027251	chr2(.):43449349-43460994	1.7295
NM_001171508	chr2(.):47124008-47173994	0.3836
NM_002354	chr2(.):47591286-47619167	0.062
NR_002229	chr2(.):54751358-54761978	0.5887
NR_033837	chr2(.):64407212-64437619	0.4953
NR_034023	chr2(.):64829445-64848616	0.223
NM_001193493	chr2(.):65210578-65256000	0.501
NM_003038	chr2(.):65211494-65256000	0.5091
NM_015147	chr2(.):65278494-65319142	0.263
NM_014882	chr2(.):68996932-69058957	0.2301
NM_001166277	chr2(.):68956912-69058957	0.4208
NM_006196	chr2(.):70309584-70321334	5.1951
NR_024444	chr2(.):70346167-70357448	1.2816
NM_015425	chr2(.):86248450-86338278	0.6079
NR_026984	chr2(.):86242338-86255991	0.1654
NR_015424	chr2(.):89060418-89111109	0.1549
NR_026875	chr2(.):97158382-97178846	0.2736
NM_212481	chr2(.):97197463-97223371	1.3288
NM_006186	chr2(.):157175943-157194287	0.3965
NM_004288	chr2(.):158266130-158305604	1.1695
NM_001172712	chr2(.):174766186-174835430	0.3287
NM_001017371	chr2(.):174766186-174833947	0.3331
NM_003387	chr2(.):175419301-175504307	0.6425
NM_002491	chr2(.):201931461-201955473	0.2552
NM_001127183	chr2(.):201978386-202033841	1.9197
NM_032974	chr2(.):202042620-202099110	0.6614
NM_001230	chr2(.):202042620-202091383	0.5351
NM_033356	chr2(.):202120222-202157434	1.0932
NM_001080125	chr2(.):202117753-202157434	1.0893
NM_006139	chr2(.):204566197-204607557	1.2206
NR_036227	chr2(.):207969710-207979797	0.0499
NM_017431	chr2(.):219682105-219701512	0.0709
NM_025216	chr2(.):219740254-219763651	1.2201
NM_006522	chr2(.):219719545-219743954	0.1216
NM_002601	chr2(.):232592146-232650974	0.0801
NR_031717	chr2(.):232751951-232762008	0.0317
NM_014674	chr3(.):5224358-5266650	0.9291
NM_003571	chr3(.):133113789-133199056	0.816
NM_207294	chr3(.):152012193-152188569	0.1347
NM_021038	chr3(.):151980828-152188568	0.217
NM_207015	chr3(.):174572110-175528428	0.2581
NM_001135095	chr3(.):171753343-172123492	0.3671
NM_022763	chr3(.):171752417-172123492	0.3672
NM_181361	chr3(.):178249223-178567217	0.1521
NM_001134382	chr3(.):12933718-13119617	0.4322
NM_024923	chr3(.):13352736-13466809	0.4173
NM_014869	chr3(.):12933718-13013960	0.0741
NM_144636	chr3(.):14148576-14171371	1.3037
NM_003884	chr3(.):20076523-20200896	0.2174
NM_001123396	chr3(.):46390234-46405868	0.8146
NM_001195442	chr3(.):46648924-46673033	0.1056
NM_007114	chr3(.):69063977-69106484	0.1465
NM_024548	chr3(.):101438493-101491181	0.3652
NM_014429	chr3(.):108672086-108841993	0.2002
NM_002213	chr3(.):124476794-124611144	0.4008
NM_001080412	chr3(.):141038054-141173632	2.392
NM_001190242	chr3(.):159969773-160106554	0.1029
NM_001190241	chr3(.):159969773-160122320	0.3003
NM_024665	chr3(.):176733541-176920048	0.4778
NM_005832	chr3(.):178271617-178567217	0.136
NM_130446	chr3(.):183200318-183278499	1.3925
NM_181573	chr3(.):186502681-186529484	0.619
NM_002916	chr3(.):186502681-186529290	0.6233
NM_173216	chr3(.):186643314-186801341	0.7988
NM_003032	chr3(.):186734664-186801341	0.8864
NM_005524	chr3(.):193848933-193861396	1.2938
NM_018184	chr3(.):5158929-5227601	0.1999
NM_024334	chr3(.):14161439-14190180	1.0355
NR_027694	chr3(.):20016452-20058765	0.0559
NM_001295	chr3(.):46238199-46254832	2.7134
NM_001837	chr3(.):46278871-46313197	0.139
NM_003965	chr3(.):46443720-46456014	0.2854
NM_001199149	chr3(.):46472495-46510161	0.18
NM_002343	chr3(.):46472495-46511598	0.1762
NM_001100168	chr3(.):46406632-46422697	0.4102
NM_001130910	chr3(.):46444048-46456014	0.2922
NM_003212	chr3(.):46614075-46628952	0.0697
NM_001174136	chr3(.):46611044-46628952	0.0717
NM_024512	chr3(.):46551877-46613011	1.1118
NM_031440	chr3(.):46534484-46547439	0.5276
NM_198195	chr3(.):69098880-69134524	0.5119
NM_006407	chr3(.):69129089-69160239	1.1746
NM_198271	chr3(.):69151038-69176746	0.2376
NR_036087	chr3(.):69093108-69103186	0.4326
NM_006100	chr3(.):98446571-98518236	1.0054
NM_145037	chr3(.):101493028-101552075	0.5386
NM_001134456	chr3(.):101493285-101552075	0.5407
NM_001005474	chr3(.):101541833-101584869	0.3703
NM_022135	chr3(.):119355907-119384404	0.973
NM_005694	chr3(.):119383371-119401243	0.4579
NM_015900	chr3(.):119311721-119353658	0.126
NR_033434	chr3(.):124444212-124473119	0.1255
NM_020187	chr3(.):128992683-129029135	0.5385
NM_001006109	chr3(.):128992816-129029135	0.54
NM_006026	chr3(.):129028613-129040120	2.0502
NR_026991	chr3(.):129030113-129048412	0.9576
NR_027898	chr3(.):129926662-129997649	0.0655
NR_027037	chr3(.):151975404-151992415	0.8726
NR_034008	chr3(.):156802669-156823924	2.0705
NR_034007	chr3(.):156794455-156845791	1.0041
NM_173084	chr3(.):160148290-160172626	0.3492
NR_029663	chr3(.):160117375-160127473	2.7668
NM_005496	chr3(.):160113346-160157741	0.846
NM_001002800	chr3(.):160112429-160157741	0.8311
NR_029525	chr3(.):160117532-160127613	2.5419
NM_018657	chr3(.):169485852-169512504	0.5522
NM_032487	chr3(.):169479710-169492683	1.6337
NM_001172780	chr3(.):169508428-169535574	0.2378
NM_001080460	chr3(.):169534709-169560560	0.1089
NR_001566	chr3(.):169477397-169487848	0.9168
NM_001185119	chr3(.):169487052-169512504	0.5734
NR_027622	chr3(.):169656771-169689522	1.5004
NM_182610	chr3(.):169624481-169661948	0.6062
NM_003262	chr3(.):169679579-169721161	0.3286
NR_002989	chr3(.):186499463-186509641	2.031
NM_001967	chr3(.):186496360-186512685	1.3078
NR_031650	chr3(.):186499460-186509566	2.0424
NR_002588	chr3(.):186500401-186510538	2.0042
NR_002587	chr3(.):186497584-186507654	2.0417
NR_002586	chr3(.):186500087-186510222	2.034
NR_024480	chr3(.):194013988-194035593	1.5392
NM_001080513	chr3(.):194055493-194077057	0.0899
NM_005781	chr3(.):195585235-195640880	0.5445
NM_001010938	chr3(.):195585235-195627432	0.1807
NM_198565	chr3(.):196361655-196393874	0.5462
NM_003215	chr4(.):48132799-48276814	0.3125
NM_201431	chr4(.):74433861-74491340	0.738
NM_177532	chr4(.):74433861-74491134	0.7405
NM_020859	chr4(.):77351252-77709405	0.1989
NM_198281	chr4(.):90160428-90234161	1.9121
NM_018699	chr4(.):121610928-121849013	0.3417
NM_001034845	chr4(.):172729574-173966558	0.0841
NM_021069	chr4(.):186501597-186882870	0.1403
NM_001145670	chr4(.):186501597-186738410	0.1723
NM_001145671	chr4(.):186501597-186737225	0.1718
NM_001145672	chr4(.):186501597-186737048	0.1718
NM_003603	chr4(.):186501597-186738392	0.1722
NM_001145673	chr4(.):186501597-186702066	0.1908
NM_006527	chr4(.):1689526-1719030	0.5781
NM_015173	chr4(.):37887719-38145794	0.4045
NM_001007075	chr4(.):39041450-39132853	0.1157
NM_004310	chr4(.):40193526-40251281	1.3099
NM_002039	chr4(.):144252982-144400718	0.4175
NM_153343	chr4(.):185004858-185144114	0.0651
NM_002199	chr4(.):185303875-185400726	1.5711
NM_001145674	chr4(.):186501597-186583123	0.3192
NM_031953	chr4(.):186126283-186290120	0.372
NM_001013622	chr4(.):1636607-1690718	0.0582
NM_001174070	chr4(.):1636607-1690988	0.0584
NM_001127266	chr4(.):1712678-1728084	1.3612
NM_006342	chr4(.):1718265-1751897	0.2231
NR_031688	chr4(.):9552788-9562937	0.1032
NM_024943	chr4(.):38963440-39039041	0.3523
NM_017581	chr4(.):40332468-40361973	0.052
NM_001076	chr4(.):69398132-69439240	0.4437
NM_001077	chr4(.):69397902-69439245	0.4418
NM_001076	chr4(.):69507314-69541374	0.1527
NM_031889	chr4(.):71489460-71517536	0.0867
NM_144646	chr4(.):71516257-71537348	0.8504
NM_020368	chr4(.):71549195-71561268	0.4914
NM_014961	chr4(.):71582695-71664274	0.0843
NM_001130709	chr4(.):71565653-71660614	0.1213
NM_025212	chr4(.):105388342-105417467	1.193
NM_002129	chr4(.):174247526-174260595	1.5706
NM_003864	chr4(.):174287092-174303683	0.3068
NM_001130688	chr4(.):174247526-174260509	1.581
NM_001130689	chr4(.):174247526-174259920	1.6541
NM_018409	chr4(.):186280031-186305152	0.2457
NM_181726	chr4(.):186312839-186326390	0.6098
NM_001114107	chr4(.):186416814-186461712	0.1258
NM_002372	chr5(.):109020155-109208429	0.3444
NM_001131005	chr5(.):88009057-88204922	0.6145
NM_002397	chr5(.):88009057-88184283	0.6082
NM_001193349	chr5(.):88009057-88124744	0.4666
NM_024669	chr5(.):55390506-55534186	0.4465
NR_015436	chr5(.):87831596-87985620	0.2671
NR_027435	chr5(.):90671163-90721532	0.6489
NM_152624	chr5(.):112307432-112361667	0.1666
NM_001077654	chr5(.):118599417-118735294	0.4309
NM_003060	chr5(.):131700400-131736306	0.1577
NM_001020825	chr5(.):142652495-142788254	0.3012
NM_001018076	chr5(.):142652495-142789045	0.3001
NM_001018075	chr5(.):142652495-142820077	0.2676
NM_138379	chr5(.):156341292-156395266	0.4558
NM_005990	chr5(.):171464073-171620346	0.2084
NM_022455	chr5(.):176555832-176732214	0.2268
NM_172349	chr5(.):176555079-176732214	0.2268
NM_002406	chr5(.):180212540-180235048	0.6529
NM_001114619	chr5(.):180212540-180235902	0.6578
NM_001114618	chr5(.):180212540-180241817	0.9559
NM_001114617	chr5(.):180212540-180242137	0.9478
NM_001193376	chr5(.):1248286-1300162	0.0753
NM_030782	chr5(.):1312999-1350002	2.3164
NM_001145161	chr5(.):6443735-6501834	1.1398
NM_006713	chr5(.):32580604-32609185	1.0709
NM_002184	chr5(.):55225924-55295821	0.4069
NR_036243	chr5(.):86405695-86415771	0.6183
NR_024384	chr5(.):87955262-87974146	1.7113
NR_024383	chr5(.):87955262-87979262	1.3914
NR_030741	chr5(.):87957670-87967757	0.3863
NM_020801	chr5(.):90659540-90684149	1.2454
NM_005668	chr5(.):100137638-100243987	0.3992
NM_175052	chr5(.):100216014-100243970	0.9703
NR_033175	chr5(.):109213882-109226200	0.0938
NM_005669	chr5(.):112207080-112263031	0.2725
NM_014350	chr5(.):118686595-118735294	0.1758
NM_000588	chr5(.):131391346-131403896	0.1662
NM_000758	chr5(.):131404484-131416859	0.1904
NR_037500	chr5(.):131696181-131706291	0.2462
NM_002198	chr5(.):131812300-131831465	0.5944
NM_001013717	chr5(.):131741672-131803059	1.6087
NM_000879	chr5(.):131872135-131884214	0.0636
NM_016480	chr5(.):138672518-138710409	0.1303
NM_194296	chr5(.):138727455-138744776	0.6921
NM_152686	chr5(.):138740891-138780214	0.5269
NM_152685	chr5(.):138697884-138724039	0.2508
NM_001033112	chr5(.):138673133-138710409	0.1305
NM_001161546	chr5(.):138722634-138735885	2.2962
NM_016459	chr5(.):138718256-138730605	2.6307
NM_016463	chr5(.):139023300-139067680	0.5804
NM_000024	chr5(.):148201155-148213197	1.3401
NM_006058	chr5(.):150404505-150465997	0.2904
NM_001155	chr5(.):150475266-150542443	0.4648
NM_001193544	chr5(.):150475266-150526216	0.3711
NR_028472	chr5(.):156346099-156357013	0.6705
NM_001171183	chr5(.):171616175-171635458	0.0745
NM_030627	chr5(.):173310330-173392313	0.5699
NM_001031677	chr5(.):176723198-176735744	1.73
NM_006480	chr5(.):176779843-176804599	0.3027
NM_006816	chr5(.):176753562-176783885	0.2807
NM_031300	chr5(.):176729205-176744292	1.4665
NM_001142935	chr5(.):176727500-176744292	1.7609
NM_013237	chr5(.):176725834-176738950	1.7566
NR_027183	chr5(.):180251958-180267726	1.1097
NM_152283	chr5(.):180269610-180293286	0.3432
NR_027908	chr6(.):33548882-33566115	0.4415
NR_028361	chr6(.):33546475-33561803	0.767
NM_181356	chr6(.):44791469-45350670	0.0899
NM_003599	chr6(.):44792449-45350575	0.0899
NM_012288	chr6(.):52357199-52446862	1.1305
NM_033515	chr6(.):129893239-130036370	0.3441
NM_001195286	chr6(.):386738-416443	0.6849
NM_001168344	chr6(.):7102829-7257213	0.3151
NM_001003699	chr6(.):7103085-7257213	0.3155
NR_037616	chr6(.):7876482-8069647	0.9965
NM_002114	chr6(.):12007723-12170232	0.3299
NM_001173977	chr6(.):25274655-25625758	0.5029
NM_014641	chr6(.):30662583-30690458	0.8527
NM_001090	chr6(.):30534169-30564309	0.1406
NM_172166	chr6(.):31702724-31735455	0.9251
NM_004348	chr6(.):45384913-45523819	0.2932
NM_001024630	chr6(.):45291053-45523819	0.229
NM_001123226	chr6(.):74166453-74216179	0.2662
NM_016021	chr6(.):90031343-90067619	0.8682
NM_001455	chr6(.):108877068-109010971	1.0712
NM_201559	chr6(.):108876025-109010971	1.064
NM_006734	chr6(.):143067603-143271338	0.2185
NM_024630	chr6(.):157797556-158099977	0.1484
NM_020185	chr6(.):287100-356355	2.3415
NM_001145549	chr6(.):7876482-7915310	3.2005
