#25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07_ROSE/25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X25_0F2B_0229Kronos_MM1S.KB.3hr.1_H3K27me3_hs.dm_i07.bam
#Using cutoff of 21334.4067 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X25_0F2B_0229Kronos_MM1S.KB.3hr.1_H3K27me3_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	isStretch
26_MACS_peak_3186_lociStitched	chr1	22542735	22625112	26	74542	107386.6572	7834.0527	37	1
18_MACS_peak_36241_lociStitched	chr9	132911687	132990696	18	73231	119730.2386	6936.9902	38	1
16_MACS_peak_25913_lociStitched	chr21	46404130	46479387	16	72489	167574.7619	9467.3306	39	1
18_MACS_peak_30349_lociStitched	chr4	8584677	8659479	18	70799	107146.3848	5482.9866	40	1
11_MACS_peak_25219_lociStitched	chr20	61141457	61213394	11	70635	154930.7169	6236.9379	41	1
24_MACS_peak_7601_lociStitched	chr11	64392849	64469921	24	70583	100825.5904	7260.1824	42	1
19_MACS_peak_13996_lociStitched	chr17	1828390	1900909	19	69577	112520.4804	6294.6492	43	1
21_MACS_peak_19596_lociStitched	chr19	18059483	18132201	21	69577	112560.1922	6682.7842	44	1
17_MACS_peak_34887_lociStitched	chr8	142359572	142433348	17	68939	107380.968	5629.1088	45	1
6_MACS_peak_433_lociStitched	chr1	3099829	3169479	6	68813	114497.635	4555.11	46	1
20_MACS_peak_37332_lociStitched	chr9	138853716	138924832	20	67084	112782.8644	5710.6148	47	1
16_MACS_peak_74_lociStitched	chr1	1052549	1123647	16	66932	141925.8276	5837.1458	48	1
6_MACS_peak_17838_lociStitched	chr19	4557534	4624386	6	66112	142434.8712	9292.428	49	1
32_MACS_peak_2161_lociStitched	chr1	17516313	17588712	32	64725	90455.3106	6747.5868	50	1
6_MACS_peak_13921_lociStitched	chr17	1041524	1107373	6	64323	123453.7052	6084.4476	51	1
20_MACS_peak_8135_lociStitched	chr11	69968015	70034853	20	62853	91808.6768	5193.3126	52	1
10_MACS_peak_248_lociStitched	chr1	2346548	2413172	10	62534	128291.1744	4816.9152	53	1
30_MACS_peak_29945_lociStitched	chr4	7468296	7538471	30	62019	85767.885	5073.6525	54	1
17_MACS_peak_30446_lociStitched	chr4	9211666	9274619	17	61701	222815.8482	19572.0877	55	1
5_MACS_peak_17485_lociStitched	chr19	1282653	1344852	5	61683	187256.3094	8483.9436	56	1
26_MACS_peak_36302_lociStitched	chr9	133249480	133315335	26	61206	93764.349	5222.3015	57	1
14_MACS_peak_18046_lociStitched	chr19	5827950	5891572	14	60984	98181.4704	8429.915	58	1
9_MACS_peak_11829_lociStitched	chr16	1020107	1082256	9	59654	119705.1889	4425.0088	59	1
12_MACS_peak_34857_lociStitched	chr8	141997258	142060888	12	59313	108597.321	8532.783	60	1
12_MACS_peak_175_lociStitched	chr1	1934475	1996276	12	59253	103423.9735	4659.7954	61	1
8_MACS_peak_1042_lociStitched	chr1	6180706	6241859	8	58044	107714.8942	5674.9984	62	1
11_MACS_peak_36767_lociStitched	chr9	136368120	136428599	11	57999	106799.8661	4620.5956	63	1
3_MACS_peak_25910_lociStitched	chr21	46300964	46359745	3	57851	165609.5894	7365.2593	64	1
10_MACS_peak_36382_lociStitched	chr9	133770297	133829783	10	57608	120131.977	5062.2586	65	1
14_MACS_peak_60_lociStitched	chr1	955488	1016209	14	57302	115254.5301	4960.9057	66	1
9_MACS_peak_7403_lociStitched	chr11	61441803	61500206	9	57102	95383.7796	5565.8059	67	1
11_MACS_peak_27081_lociStitched	chr22	37457242	37517402	11	57069	102837.504	5077.504	68	1
8_MACS_peak_11848_lociStitched	chr16	1144505	1202560	8	56722	120394.459	4145.127	69	1
8_MACS_peak_17503_lociStitched	chr19	1491119	1549559	8	56411	131191.956	7544.604	70	1
9_MACS_peak_7343_lociStitched	chr11	61271660	61329503	9	56090	95221.1466	5200.0857	71	1
14_MACS_peak_442_lociStitched	chr1	3177897	3236447	14	55852	93557.045	4121.92	72	1
17_MACS_peak_10129_lociStitched	chr13	113606847	113665411	17	55709	91008.456	5206.3396	73	1
5_MACS_peak_17816_lociStitched	chr19	4183345	4239330	5	55541	98320.857	8173.81	74	1
7_MACS_peak_25236_lociStitched	chr20	61315656	61372516	7	55483	111906.166	5253.864	75	1
6_MACS_peak_1070_lociStitched	chr1	6475009	6530977	6	55427	121831.1424	5266.5888	76	1
8_MACS_peak_25267_lociStitched	chr20	61584463	61640710	8	55279	104883.7809	5433.4602	77	1
25_MACS_peak_13928_lociStitched	chr17	1110524	1169196	25	54944	75088.4256	5538.6368	78	1
11_MACS_peak_1689_lociStitched	chr1	10697337	10753959	11	54898	116720.5908	4931.7762	79	1
10_MACS_peak_11838_lociStitched	chr16	1084784	1141294	10	54841	99039.426	3503.62	80	1
6_MACS_peak_29471_lociStitched	chr4	1751801	1808324	6	54708	126747.1752	4420.0986	81	1
7_MACS_peak_21631_lociStitched	chr19	49521215	49575243	7	53586	86007.1732	5051.618	82	1
3_MACS_peak_2092_lociStitched	chr1	17012068	17066058	3	53525	176385.33	13529.894	83	1
9_MACS_peak_2031_lociStitched	chr1	16426735	16484048	9	53367	86611.4056	4980.4997	84	1
15_MACS_peak_27949_lociStitched	chr22	45894250	45949784	15	52301	75842.7838	4426.0598	85	1
22_MACS_peak_1312_lociStitched	chr1	7491001	7547535	22	52092	66455.717	4217.4364	86	1
15_MACS_peak_26229_lociStitched	chr22	20240064	20296379	15	51784	86252.054	5203.506	87	1
4_MACS_peak_25316_lociStitched	chr20	61850595	61902260	4	51154	111327.742	4582.6855	88	1
13_MACS_peak_16223_lociStitched	chr17	72333067	72386044	13	51052	75296.2101	4450.068	89	1
9_MACS_peak_3130_lociStitched	chr1	21881473	21933819	9	50519	87224.1398	5318.3536	90	1
3_MACS_peak_18535_lociStitched	chr19	8848938	8900859	3	50461	218296.6524	24491.1357	91	1
1_MACS_peak_21806_lociStitched	chr19	50594104	50644373	1	50270	103096.6921	15673.8742	92	1
17_MACS_peak_18932_lociStitched	chr19	14269338	14324183	17	49788	71550.787	4596.011	93	1
5_MACS_peak_238_lociStitched	chr1	2244330	2294324	5	49447	115336.158	4064.5122	94	1
12_MACS_peak_27827_lociStitched	chr22	45319945	45371215	12	48302	67609.749	4281.045	95	1
12_MACS_peak_1707_lociStitched	chr1	10853343	10903312	12	48258	78496.3021	4297.334	96	1
5_MACS_peak_36006_lociStitched	chr9	129369656	129420445	5	48055	99226.4693	4713.2192	97	1
17_MACS_peak_18388_lociStitched	chr19	8172843	8224254	17	48002	76443.0159	6390.3873	98	1
10_MACS_peak_29134_lociStitched	chr3	128168746	128218310	10	47398	91554.6208	5065.4408	99	1
9_MACS_peak_35_lociStitched	chr1	829330	879347	9	47118	126002.8264	4581.5572	100	1
7_MACS_peak_17058_lociStitched	chr17	79112540	79161797	7	46319	99272.5578	4191.7707	101	1
11_MACS_peak_25243_lociStitched	chr20	61373914	61422325	11	46120	95635.9305	4105.2528	102	1
15_MACS_peak_24191_lociStitched	chr20	48880939	48932382	15	46083	67951.0587	4758.4775	103	1
21_MACS_peak_16695_lociStitched	chr17	76575475	76626748	21	46050	64060.4862	5004.2448	104	1
12_MACS_peak_16931_lociStitched	chr17	77941853	77989802	12	45798	72441.3492	4641.4632	105	1
10_MACS_peak_30463_lociStitched	chr4	9324618	9370956	10	45680	159203.4666	14601.1038	106	1
9_MACS_peak_500_lociStitched	chr1	3489473	3537151	9	45623	90001.7606	3833.3112	107	1
9_MACS_peak_22600_lociStitched	chr2	26775521	26822263	9	45543	79690.4358	5356.6332	108	1
24_MACS_peak_17184_lociStitched	chr17	81038896	81088673	24	45369	62992.7935	4051.8478	109	1
20_MACS_peak_27477_lociStitched	chr22	43788386	43839404	20	45227	68287.593	3923.2842	110	1
8_MACS_peak_25608_lociStitched	chr21	43130057	43177560	8	45139	75572.5227	6142.1379	111	1
6_MACS_peak_25850_lociStitched	chr21	45907751	45953714	6	45124	90560.8989	5979.7863	112	1
17_MACS_peak_22256_lociStitched	chr19	55668367	55718404	17	45106	64182.4599	4878.6075	113	1
18_MACS_peak_32853_lociStitched	chr7	100210339	100261036	18	44607	64496.7234	4780.7271	114	1
14_MACS_peak_1827_lociStitched	chr1	11480514	11529836	14	44604	63556.3292	4823.6916	115	1
14_MACS_peak_1719_lociStitched	chr1	10906568	10952600	14	44259	66654.336	4432.8816	116	1
14_MACS_peak_28942_lociStitched	chr3	50216400	50263312	14	44224	76203.8528	4325.2864	117	1
15_MACS_peak_31752_lociStitched	chr6	34067675	34115100	15	43860	68268.2875	4130.7175	118	1
9_MACS_peak_37177_lociStitched	chr9	138130547	138175973	9	43722	60920.8086	3247.959	119	1
13_MACS_peak_17916_lociStitched	chr19	5300752	5346825	13	43708	67561.4472	5137.1395	120	1
15_MACS_peak_25148_lociStitched	chr20	60469479	60517046	15	43459	65509.2724	3805.36	121	1
10_MACS_peak_29564_lociStitched	chr4	3701096	3747396	10	43389	63579.16	3319.71	122	1
4_MACS_peak_26203_lociStitched	chr22	19719566	19764307	4	43306	85714.8078	3619.5469	123	1
17_MACS_peak_28404_lociStitched	chr22	50477894	50526443	17	43231	65327.5344	4068.4062	124	1
10_MACS_peak_25331_lociStitched	chr20	61972206	62018129	10	43217	76310.2491	3210.0177	125	1
39_MACS_peak_34501_lociStitched	chr8	7577467	7627915	39	43217	37492.9536	3551.5392	126	1
18_MACS_peak_35584_lociStitched	chr8	144926815	144974105	18	43188	74344.609	4327.035	127	1
9_MACS_peak_16345_lociStitched	chr17	72909151	72953275	9	43026	71061.702	4152.0684	128	1
11_MACS_peak_3378_lociStitched	chr1	23167289	23211540	11	43004	57544.0004	4106.4928	129	1
16_MACS_peak_2746_lociStitched	chr1	19023716	19068805	16	42996	57925.8383	3877.654	130	1
5_MACS_peak_2134_lociStitched	chr1	17409198	17453855	5	42903	67476.727	4461.2343	131	1
14_MACS_peak_18294_lociStitched	chr19	7750469	7797786	14	42659	58398.6414	6411.4535	132	1
9_MACS_peak_20872_lociStitched	chr19	42467073	42510997	9	42641	72465.8152	4036.6156	133	1
10_MACS_peak_27326_lociStitched	chr22	42720571	42765365	10	42343	68579.614	3847.8046	134	1
17_MACS_peak_11340_lociStitched	chr15	74587445	74633501	17	42069	62134.1496	4518.0936	135	1
12_MACS_peak_17463_lociStitched	chr19	819348	863787	12	42029	80021.3073	5408.2263	136	1
10_MACS_peak_153_lociStitched	chr1	1867177	1910919	10	41920	68898.0242	3989.2704	137	1
13_MACS_peak_7353_lociStitched	chr11	61336096	61381844	13	41704	60799.092	4268.2884	138	1
19_MACS_peak_7063_lociStitched	chr11	2370962	2418284	19	41449	63293.175	4187.997	139	1
6_MACS_peak_2014_lociStitched	chr1	16338456	16381098	6	41442	86597.3736	3927.3282	140	1
9_MACS_peak_28972_lociStitched	chr3	50444632	50487694	9	41327	58676.2812	3707.6382	141	1
16_MACS_peak_24357_lociStitched	chr20	56126989	56171426	16	41245	61882.9662	4350.3823	142	1
2_MACS_peak_26224_lociStitched	chr22	20151970	20193241	2	41209	90445.3965	3817.5675	143	1
8_MACS_peak_33284_lociStitched	chr7	150862677	150905939	8	41174	77538.4826	6402.776	144	1
10_MACS_peak_7412_lociStitched	chr11	61501410	61544052	10	41173	71271.8388	4046.7258	145	1
2_MACS_peak_31571_lociStitched	chr6	31990202	32031261	2	40691	101025.6695	4799.7971	146	1
2_MACS_peak_29519_lociStitched	chr4	3458637	3499546	2	40579	99065.2344	3346.3562	147	1
11_MACS_peak_36793_lociStitched	chr9	136490515	136533432	11	40554	64933.421	3145.8161	148	1
22_MACS_peak_28995_lociStitched	chr3	50518546	50562752	22	40504	55602.3068	3713.304	149	1
19_MACS_peak_34959_lociStitched	chr8	142584841	142630453	19	40455	55956.8016	3503.0016	150	1
4_MACS_peak_15708_lociStitched	chr17	48633661	48674824	4	40344	68886.2805	3935.1828	151	1
7_MACS_peak_36011_lociStitched	chr9	129427504	129468972	7	40281	69993.8372	4034.8364	152	1
3_MACS_peak_26226_lociStitched	chr22	20197624	20238198	3	40218	79634.5898	3343.2976	153	1
8_MACS_peak_17794_lociStitched	chr19	3912115	3953417	8	40117	71762.225	5055.3648	154	1
11_MACS_peak_18317_lociStitched	chr19	7828374	7871332	11	40089	58929.7844	6018.4158	155	1
8_MACS_peak_11773_lociStitched	chr16	792115	834094	8	39913	73631.166	3274.362	156	1
4_MACS_peak_37372_lociStitched	chr9	139013464	139054566	4	39810	74423.3914	3390.915	157	1
9_MACS_peak_27281_lociStitched	chr22	40067975	40108193	9	39169	62478.663	3639.729	158	1
9_MACS_peak_32350_lociStitched	chr7	2531886	2573050	9	39106	72366.312	3478.358	159	1
9_MACS_peak_6816_lociStitched	chr11	1237747	1276876	9	38911	63690.2733	2938.5879	160	1
19_MACS_peak_18006_lociStitched	chr19	5722032	5767552	19	38848	53536.072	6208.928	161	1
8_MACS_peak_25817_lociStitched	chr21	45760761	45801393	8	38777	75128.568	5160.264	162	1
22_MACS_peak_16957_lociStitched	chr17	78029821	78074820	22	38656	59169.1851	4414.4019	163	1
13_MACS_peak_7626_lociStitched	chr11	64474408	64518385	13	38512	73489.9647	4578.0057	164	1
24_MACS_peak_37718_lociStitched	chrX	152789802	152835244	24	38106	50181.6006	2190.3044	165	1
11_MACS_peak_27355_lociStitched	chr22	42792554	42832666	11	38009	59365.76	3951.032	166	1
21_MACS_peak_29872_lociStitched	chr4	7275173	7317435	21	38008	52079.4626	3300.6622	167	1
13_MACS_peak_31514_lociStitched	chr6	30410051	30450367	13	37709	64880.5388	5567.6396	168	1
23_MACS_peak_2723_lociStitched	chr1	18978718	19022413	23	37700	47413.4445	3797.0955	169	1
16_MACS_peak_27670_lociStitched	chr22	44964947	45005948	16	37658	51554.6574	3173.4774	170	1
7_MACS_peak_27140_lociStitched	chr22	37885546	37923981	7	37639	52986.491	3824.2825	171	1
13_MACS_peak_346_lociStitched	chr1	2814670	2854366	13	37571	57138.4224	2481	172	1
11_MACS_peak_4123_lociStitched	chr1	32126144	32165414	11	37199	54396.804	3742.431	173	1
12_MACS_peak_5984_lociStitched	chr10	102482334	102521837	12	37088	71354.2689	3646.1269	174	1
9_MACS_peak_16852_lociStitched	chr17	77636279	77674354	9	37002	50788.2425	3152.61	175	1
4_MACS_peak_6781_lociStitched	chr11	1025510	1062752	4	36997	75712.986	2904.876	176	1
4_MACS_peak_18061_lociStitched	chr19	5990912	6028171	4	36980	59905.0202	5145.4679	177	1
8_MACS_peak_37376_lociStitched	chr9	139058678	139096676	8	36897	74092.3002	2971.4436	178	1
20_MACS_peak_24643_lociStitched	chr20	57179104	57220318	20	36856	48578.9418	3659.8032	179	1
13_MACS_peak_16917_lociStitched	chr17	77898608	77938155	13	36850	66150.2669	3120.2583	180	1
9_MACS_peak_4795_lociStitched	chr1	156640116	156679015	9	36818	77405.1201	5838.7399	181	1
8_MACS_peak_20258_lociStitched	chr19	36331577	36370639	8	36661	51468.0912	3343.7072	182	1
16_MACS_peak_1937_lociStitched	chr1	11912365	11953287	16	36564	57839.1548	3687.0722	183	1
9_MACS_peak_27515_lociStitched	chr22	44214457	44252231	9	36238	53831.7274	3052.1392	184	1
10_MACS_peak_37362_lociStitched	chr9	138962017	139000633	10	36237	70061.0088	2923.2312	185	1
12_MACS_peak_112_lociStitched	chr1	1355980	1396525	12	36144	59293.008	3000.33	186	1
12_MACS_peak_27396_lociStitched	chr22	42918253	42957614	12	36097	65347.1322	6931.4721	187	1
13_MACS_peak_36877_lociStitched	chr9	137096076	137135230	13	36068	59647.2036	3140.1508	188	1
9_MACS_peak_11971_lociStitched	chr16	2854723	2892271	9	36065	59723.8488	3443.1516	189	1
8_MACS_peak_25308_lociStitched	chr20	61779583	61816941	8	35743	58756.6624	2659.8896	190	1
10_MACS_peak_7040_lociStitched	chr11	2305536	2343142	10	35737	59048.9412	3121.298	191	1
10_MACS_peak_336_lociStitched	chr1	2776189	2812899	10	35681	54551.06	2558.687	192	1
2_MACS_peak_37386_lociStitched	chr9	139216996	139253174	2	35537	94695.915	2716.9678	193	1
11_MACS_peak_4809_lociStitched	chr1	156821288	156859212	11	35424	64986.5664	5222.1348	194	1
8_MACS_peak_27592_lociStitched	chr22	44692045	44729926	8	35326	54366.8112	3110.0301	195	1
12_MACS_peak_14837_lociStitched	chr17	26830948	26867499	12	35247	59771.8503	3892.6815	196	1
17_MACS_peak_213_lociStitched	chr1	2080489	2117779	17	35142	49659.093	3143.547	197	1
19_MACS_peak_29853_lociStitched	chr4	7234139	7274074	19	35132	45410.0885	2907.268	198	1
7_MACS_peak_4953_lociStitched	chr1	201321940	201358793	7	34791	59370.183	4757.7223	199	1
9_MACS_peak_35947_lociStitched	chr9	127232388	127269204	9	34727	56832.8592	3368.664	200	1
2_MACS_peak_17822_lociStitched	chr19	4275743	4310569	2	34679	65828.1052	4649.271	201	1
3_MACS_peak_27600_lociStitched	chr22	44732739	44767651	3	34543	50852.8192	3117.6416	202	1
16_MACS_peak_3341_lociStitched	chr1	23079240	23116756	16	34532	45413.118	3278.8984	203	1
8_MACS_peak_27584_lociStitched	chr22	44652844	44690154	8	34413	55323.268	2820.636	204	1
14_MACS_peak_36643_lociStitched	chr9	135848072	135884388	14	34384	56369.6952	3707.8636	205	1
15_MACS_peak_36976_lociStitched	chr9	137507237	137545920	15	34235	48094.5739	2908.9616	206	1
7_MACS_peak_37020_lociStitched	chr9	137681808	137716960	7	34202	55280.0352	2889.4944	207	1
4_MACS_peak_23154_lociStitched	chr2	220328557	220363041	4	34058	65874.7852	3396.674	208	1
7_MACS_peak_1400_lociStitched	chr1	7716116	7751653	7	34007	50490.9696	2558.664	209	1
6_MACS_peak_17849_lociStitched	chr19	4732803	4767415	6	33977	57545.9112	5063.7356	210	1
4_MACS_peak_9844_lociStitched	chr12	57585750	57620088	4	33745	69568.788	3828.687	211	1
17_MACS_peak_29836_lociStitched	chr4	7195134	7230918	17	33386	41716.9872	2787.5736	212	1
12_MACS_peak_36948_lociStitched	chr9	137423839	137459399	12	33100	47031.656	2844.8	213	1
9_MACS_peak_17744_lociStitched	chr19	3437087	3472525	9	32918	62193.69	3944.2494	214	1
3_MACS_peak_33257_lociStitched	chr7	149497423	149530851	3	32890	86317.7816	3994.646	215	1
3_MACS_peak_17832_lociStitched	chr19	4509880	4542774	3	32864	73179.2818	4411.0854	216	1
13_MACS_peak_27527_lociStitched	chr22	44271239	44306580	13	32762	43381.0775	3032.2578	217	1
10_MACS_peak_21573_lociStitched	chr19	49173287	49207995	10	32616	48650.2036	3328.4972	218	1
11_MACS_peak_27603_lociStitched	chr22	44775764	44809601	11	32589	48187.2717	2730.6459	219	1
5_MACS_peak_26083_lociStitched	chr21	47528581	47562926	5	32514	69167.3955	4090.4895	220	1
14_MACS_peak_3139_lociStitched	chr1	21935333	21972479	14	32442	44798.076	3781.4628	221	1
4_MACS_peak_12005_lociStitched	chr16	3075503	3108430	4	32321	59795.432	3240.0168	222	1
4_MACS_peak_17812_lociStitched	chr19	4140614	4173808	4	32288	66407.9164	4600.6884	223	1
7_MACS_peak_35292_lociStitched	chr8	143638826	143672632	7	32133	51679.2322	2795.7562	224	1
26_MACS_peak_1890_lociStitched	chr1	11664063	11703167	26	32025	41344.6592	3890.848	225	1
8_MACS_peak_31573_lociStitched	chr6	32032399	32067070	8	32013	54506.2791	3071.8506	226	1
18_MACS_peak_24684_lociStitched	chr20	57357272	57395146	18	31918	45066.2726	3219.29	227	1
5_MACS_peak_29232_lociStitched	chr3	184273091	184305984	5	31912	64628.1664	5295.773	228	1
13_MACS_peak_35720_lociStitched	chr9	34547334	34581016	13	31768	49010.6782	3401.882	229	1
12_MACS_peak_6520_lociStitched	chr10	134833185	134867660	12	31738	41114.885	2482.2	230	1
7_MACS_peak_25324_lociStitched	chr20	61937695	61970605	7	31595	55199.943	2747.985	231	1
3_MACS_peak_16719_lociStitched	chr17	77015739	77047649	3	31549	56250.948	3561.156	232	1
10_MACS_peak_17008_lociStitched	chr17	78394621	78427881	10	31511	52816.88	3073.224	233	1
13_MACS_peak_6591_lociStitched	chr10	135008596	135043077	13	31474	47925.1419	2165.4068	234	1
9_MACS_peak_3266_lociStitched	chr1	22870046	22903054	9	31393	47009.9936	2792.4768	235	1
11_MACS_peak_9201_lociStitched	chr12	1922590	1955583	11	31217	45517.1428	2942.9756	236	1
10_MACS_peak_48_lociStitched	chr1	913444	946962	10	31202	65634.9476	2869.1408	237	1
12_MACS_peak_19638_lociStitched	chr19	18345674	18380303	12	31038	45492.1173	3459.4371	238	1
8_MACS_peak_21268_lociStitched	chr19	47115041	47147156	8	30879	49453.8885	4316.256	239	1
10_MACS_peak_35299_lociStitched	chr8	143675350	143707109	10	30708	47816.3504	2391.4527	240	1
9_MACS_peak_22244_lociStitched	chr19	55631284	55662877	9	30675	42400.9653	2916.0339	241	1
4_MACS_peak_31134_lociStitched	chr5	176266839	176297897	4	30611	59066.1044	2844.9128	242	1
10_MACS_peak_191_lociStitched	chr1	2011662	2043627	10	30504	45332.763	2387.7855	243	1
18_MACS_peak_18673_lociStitched	chr19	11356264	11389779	18	30497	43596.312	3237.549	244	1
5_MACS_peak_17018_lociStitched	chr17	78430036	78461661	5	30495	57709.3	2881.0375	245	1
6_MACS_peak_15712_lociStitched	chr17	48676170	48707384	6	30433	54867.9692	2996.544	246	1
7_MACS_peak_6995_lociStitched	chr11	2106330	2137970	7	30400	45691.324	2597.644	247	1
11_MACS_peak_14640_lociStitched	chr17	18971750	19003967	11	30346	33544.3404	3901.4787	248	1
18_MACS_peak_2224_lociStitched	chr1	17656629	17691154	18	30340	40497.825	3272.97	249	1
14_MACS_peak_16622_lociStitched	chr17	76306077	76338911	14	30337	43705.3374	3555.9222	250	1
5_MACS_peak_15018_lociStitched	chr17	36715907	36747309	5	30320	55839.0364	3105.6578	251	1
7_MACS_peak_2831_lociStitched	chr1	19354448	19386533	7	30304	44851.6215	3109.0365	252	1
15_MACS_peak_36347_lociStitched	chr9	133390665	133424252	15	30211	42588.316	2777.6449	253	1
9_MACS_peak_25841_lociStitched	chr21	45874473	45906730	9	30165	46875.8724	4022.4479	254	1
15_MACS_peak_36552_lociStitched	chr9	135347039	135382277	15	30150	42077.6958	3298.2768	255	1
9_MACS_peak_29821_lociStitched	chr4	7145011	7175963	9	30028	44044.696	2677.348	256	1
5_MACS_peak_37464_lociStitched	chr9	139923475	139953772	5	29965	64481.1051	2753.9973	257	1
13_MACS_peak_35252_lociStitched	chr8	143529080	143563839	13	29947	45728.9404	2356.6602	258	1
18_MACS_peak_31091_lociStitched	chr5	176144658	176177329	18	29898	45474.7649	2656.1523	259	1
16_MACS_peak_34349_lociStitched	chr8	1890425	1924429	16	29871	41947.3344	3271.1848	260	1
