REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07.bam	39_0EXR_0229Kronos_MM1S-KB-3hr-1_Input_hs_i82.bam
9_MACS_peak_35947_lociStitched	chr9	127232388	127269204	9	34727	56832.859200000006	3368.6639999999998
10_MACS_peak_336_lociStitched	chr1	2776189	2812899	10	35681	54551.06	2558.687
12_MACS_peak_14837_lociStitched	chr17	26830948	26867499	12	35247	59771.8503	3892.6814999999997
14_MACS_peak_36643_lociStitched	chr9	135848072	135884388	14	34384	56369.6952	3707.8635999999997
2_MACS_peak_37386_lociStitched	chr9	139216996	139253174	2	35537	94695.91500000001	2716.9678
17_MACS_peak_29836_lociStitched	chr4	7195134	7230918	17	33386	41716.987199999996	2787.5735999999997
12_MACS_peak_36948_lociStitched	chr9	137423839	137459399	12	33100	47031.656	2844.8
7_MACS_peak_1400_lociStitched	chr1	7716116	7751653	7	34007	50490.969600000004	2558.6639999999998
9_MACS_peak_17744_lociStitched	chr19	3437087	3472525	9	32918	62193.689999999995	3944.2493999999997
13_MACS_peak_27527_lociStitched	chr22	44271239	44306580	13	32762	43381.0775	3032.2578
15_MACS_peak_36552_lociStitched	chr9	135347039	135382277	15	30150	42077.6958	3298.2768
7_MACS_peak_37020_lociStitched	chr9	137681808	137716960	7	34202	55280.0352	2889.4944
3_MACS_peak_27600_lociStitched	chr22	44732739	44767651	3	34543	50852.8192	3117.6416
18_MACS_peak_21486_lociStitched	chr19	48777805	48812716	18	28647	38674.40579999999	3662.1638999999996
24_MACS_peak_17621_lociStitched	chr19	3023341	3058232	24	27147	36544.8334	4068.2906
2_MACS_peak_17822_lociStitched	chr19	4275743	4310569	2	34679	65828.1052	4649.271000000001
13_MACS_peak_35252_lociStitched	chr8	143529080	143563839	13	29947	45728.94040000001	2356.6602
10_MACS_peak_21573_lociStitched	chr19	49173287	49207995	10	32616	48650.2036	3328.4972
8_MACS_peak_31573_lociStitched	chr6	32032399	32067070	8	32013	54506.2791	3071.8505999999998
12_MACS_peak_19638_lociStitched	chr19	18345674	18380303	12	31038	45492.117300000005	3459.4371
6_MACS_peak_17849_lociStitched	chr19	4732803	4767415	6	33977	57545.9112	5063.735600000001
18_MACS_peak_6692_lociStitched	chr11	304395	338946	18	29352	41965.6446	3413.6388
18_MACS_peak_2224_lociStitched	chr1	17656629	17691154	18	30340	40497.825000000004	3272.97
4_MACS_peak_23154_lociStitched	chr2	220328557	220363041	4	34058	65874.7852	3396.674
13_MACS_peak_6591_lociStitched	chr10	135008596	135043077	13	31474	47925.141899999995	2165.4067999999997
12_MACS_peak_6520_lociStitched	chr10	134833185	134867660	12	31738	41114.885	2482.2
5_MACS_peak_26083_lociStitched	chr21	47528581	47562926	5	32514	69167.3955	4090.4895
4_MACS_peak_9844_lociStitched	chr12	57585750	57620088	4	33745	69568.78799999999	3828.687
13_MACS_peak_17703_lociStitched	chr19	3250848	3285077	13	29853	45017.9808	4196.4754
20_MACS_peak_33443_lociStitched	chr7	154677801	154711836	20	28337	36621.66	4104.621
16_MACS_peak_34349_lociStitched	chr8	1890425	1924429	16	29871	41947.3344	3271.1848
11_MACS_peak_27603_lociStitched	chr22	44775764	44809601	11	32589	48187.2717	2730.6459
7_MACS_peak_35292_lociStitched	chr8	143638826	143672632	7	32133	51679.2322	2795.7562
13_MACS_peak_35720_lociStitched	chr9	34547334	34581016	13	31768	49010.6782	3401.882
15_MACS_peak_36347_lociStitched	chr9	133390665	133424252	15	30211	42588.316	2777.6449
10_MACS_peak_48_lociStitched	chr1	913444	946962	10	31202	65634.9476	2869.1407999999997
18_MACS_peak_18673_lociStitched	chr19	11356264	11389779	18	30497	43596.312	3237.549
3_MACS_peak_33257_lociStitched	chr7	149497423	149530851	3	32890	86317.78159999999	3994.6459999999997
16_MACS_peak_37151_lociStitched	chr9	138053109	138086370	16	29038	36454.056000000004	2371.5093
10_MACS_peak_17008_lociStitched	chr17	78394621	78427881	10	31511	52816.880000000005	3073.2239999999997
4_MACS_peak_17812_lociStitched	chr19	4140614	4173808	4	32288	66407.9164	4600.6884
9_MACS_peak_8126_lociStitched	chr11	69930076	69963221	9	29203	42246.617	2452.73
9_MACS_peak_3266_lociStitched	chr1	22870046	22903054	9	31393	47009.993599999994	2792.4768
11_MACS_peak_9201_lociStitched	chr12	1922590	1955583	11	31217	45517.1428	2942.9756
4_MACS_peak_12005_lociStitched	chr16	3075503	3108430	4	32321	59795.432	3240.0168
7_MACS_peak_25324_lociStitched	chr20	61937695	61970605	7	31595	55199.943	2747.985
3_MACS_peak_17832_lociStitched	chr19	4509880	4542774	3	32864	73179.2818	4411.0854
5_MACS_peak_29232_lociStitched	chr3	184273091	184305984	5	31912	64628.1664	5295.773
14_MACS_peak_16622_lociStitched	chr17	76306077	76338911	14	30337	43705.3374	3555.9222
18_MACS_peak_31091_lociStitched	chr5	176144658	176177329	18	29898	45474.764899999995	2656.1522999999997
12_MACS_peak_33022_lociStitched	chr7	100917650	100950104	12	29416	40077.4446	3222.6822
10_MACS_peak_1920_lociStitched	chr1	11745271	11777610	10	29250	49084.1342	3078.6728000000003
9_MACS_peak_25841_lociStitched	chr21	45874473	45906730	9	30165	46875.8724	4022.4479
19_MACS_peak_2193_lociStitched	chr1	17591989	17624235	19	26141	33935.6904	2905.3646
11_MACS_peak_14640_lociStitched	chr17	18971750	19003967	11	30346	33544.340399999994	3901.4787
15_MACS_peak_7558_lociStitched	chr11	64284584	64316754	15	29529	39331.041999999994	3136.5750000000003
8_MACS_peak_21268_lociStitched	chr19	47115041	47147156	8	30879	49453.8885	4316.255999999999
9_MACS_peak_32360_lociStitched	chr7	2655574	2687669	9	29080	51839.844	2683.142
7_MACS_peak_2831_lociStitched	chr1	19354448	19386533	7	30304	44851.621499999994	3109.0365
10_MACS_peak_191_lociStitched	chr1	2011662	2043627	10	30504	45332.763	2387.7855
3_MACS_peak_16719_lociStitched	chr17	77015739	77047649	3	31549	56250.948	3561.156
16_MACS_peak_16986_lociStitched	chr17	78137823	78169705	16	26297	36304.0334	2939.5204000000003
14_MACS_peak_21722_lociStitched	chr19	50010560	50042339	14	27223	37953.6597	2968.1585999999998
15_MACS_peak_14672_lociStitched	chr17	19100069	19131832	15	29646	32277.5606	3262.0601
10_MACS_peak_35299_lociStitched	chr8	143675350	143707109	10	30708	47816.3504	2391.4527000000003
12_MACS_peak_20860_lociStitched	chr19	42414304	42446029	12	29438	52460.46	3064.635
7_MACS_peak_6995_lociStitched	chr11	2106330	2137970	7	30400	45691.324	2597.6440000000002
5_MACS_peak_17018_lociStitched	chr17	78430036	78461661	5	30495	57709.3	2881.0375
12_MACS_peak_14655_lociStitched	chr17	19053127	19084746	12	29387	31973.132800000003	3316.8331
9_MACS_peak_22244_lociStitched	chr19	55631284	55662877	9	30675	42400.9653	2916.0339
7_MACS_peak_7855_lociStitched	chr11	68758130	68789629	7	29250	53327.807	2749.8627
7_MACS_peak_28935_lociStitched	chr3	50183640	50215063	7	28584	46754.2817	2978.9004
5_MACS_peak_15018_lociStitched	chr17	36715907	36747309	5	30320	55839.0364	3105.6578
11_MACS_peak_37422_lociStitched	chr9	139627661	139659052	11	29775	65173.9942	2850.3028000000004
6_MACS_peak_15712_lociStitched	chr17	48676170	48707384	6	30433	54867.9692	2996.544
14_MACS_peak_21874_lociStitched	chr19	50930983	50962193	14	27647	35882.136999999995	3214.6299999999997
13_MACS_peak_9318_lociStitched	chr12	3411237	3442411	13	26221	39756.2022	2599.9116
8_MACS_peak_27317_lociStitched	chr22	42685494	42716641	8	28720	44465.4572	2797.0006000000003
4_MACS_peak_31134_lociStitched	chr5	176266839	176297897	4	30611	59066.1044	2844.9128
6_MACS_peak_25662_lociStitched	chr21	43776609	43807660	6	29785	60372.459299999995	4778.7489000000005
17_MACS_peak_20822_lociStitched	chr19	42289683	42320646	17	26759	34768.3527	2997.2183999999997
6_MACS_peak_16667_lociStitched	chr17	76480931	76511891	6	29507	46907.496	2820.456
9_MACS_peak_29821_lociStitched	chr4	7145011	7175963	9	30028	44044.696	2677.348
20_MACS_peak_10368_lociStitched	chr14	101014068	101044901	20	26359	29615.0965	1285.7361
7_MACS_peak_6976_lociStitched	chr11	1937495	1968197	7	28933	61443.9126	2225.895
