REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X25_0F2B_0229Kronos_MM1S.KB.3hr.1_H3K27me3_hs.dm_i07.bam	X39_0EXR_0229Kronos_MM1S.KB.3hr.1_Input_hs_i82.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
11_MACS_peak_17451_lociStitched	chr19	681187	793343	11	109999	246070.264	13559.6604	11	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	11	1
14_MACS_peak_27115_lociStitched	chr22	37711613	37834515	14	120831	219466.1014	11479.0468	12	ELFN2	CYTH4,MFNG	ELFN2	12	1
14_MACS_peak_25986_lociStitched	chr21	46817035	46920113	14	98544	233719.0572	12091.0494	13	COL18A1,NCRNA00175	SLC19A1	COL18A1	13	1
22_MACS_peak_37310_lociStitched	chr9	138571972	138690630	22	112922	199131.8556	8068.744	14	KCNT1,SOHLH1	LCN9,GLT6D1	KCNT1	14	1
38_MACS_peak_2281_lociStitched	chr1	17883033	18007664	38	115943	163353.8517	10282.0575	15	ARHGEF10L		ARHGEF10L	15	1
11_MACS_peak_25342_lociStitched	chr20	62022602	62123326	11	96655	196391.6552	8037.7752	16	KCNQ2,EEF1A2	PPDPF,CHRNA4,PTK6	KCNQ2	16	1
13_MACS_peak_17731_lociStitched	chr19	3327330	3434808	13	104291	183744.3888	12725.3952	17	NFIC	C19orf77	NFIC	17	1
25_MACS_peak_36207_lociStitched	chr9	132424738	132541194	25	108300	173158.4264	10795.4712	18	PRRX2,PTGES	METTL11A,TOR1B,C9orf50,ASB6,TOR1A	PTGES	18	1
8_MACS_peak_25206_lociStitched	chr20	60984132	61072392	8	87125	205681.104	7475.622	19	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	19	1
8_MACS_peak_492_lociStitched	chr1	3394456	3488456	8	91301	195191	6269.8	20	ARHGEF16,MEGF6,MIR551A		MIR551A	20	1
3_MACS_peak_6983_lociStitched	chr11	1981793	2064917	3	82640	202913.9964	6425.4852	21	LOC100133545,H19,MIR675	TNNT3,MRPL23	H19	21	1
38_MACS_peak_6865_lociStitched	chr11	1588435	1700968	38	102322	171826.6377	11163.2736	22	LOC338651,KRTAP5-5,FAM99A,MOB2,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,KRTAP5-4	KRTAP5-6,FAM99B	KRTAP5-4	22	1
28_MACS_peak_401_lociStitched	chr1	2976043	3084048	28	102524	166792.1215	6771.9135	23	PRDM16,MIR4251,FLJ42875	ACTRT2	MIR4251	23	1
7_MACS_peak_25978_lociStitched	chr21	46709963	46795432	7	84290	202364.9513	11393.0177	24	LOC642852	COL18A1,POFUT2,NCRNA00175	LOC642852	24	1
7_MACS_peak_1700_lociStitched	chr1	10755013	10852198	7	96128	178694.0595	8416.221	25	CASZ1		CASZ1	25	1
24_MACS_peak_463_lociStitched	chr1	3262004	3363323	24	98306	165241.1571	7001.1429	26	PRDM16	ARHGEF16	ARHGEF16	26	1
23_MACS_peak_9771_lociStitched	chr12	54337741	54435765	23	93264	169855.9872	9841.6096	27	HOXC13,HOXC12,HOXC11,HOXC10,MIR196A2,HOXC9,HOXC8,HOXC6,HOXC5,HOXC4,MIR615,HOTAIR	HOXC4,FLJ12825,LOC100240735	MIR196A2	27	1
15_MACS_peak_36496_lociStitched	chr9	135020484	135116449	15	94164	166518.468	9193.447	28	NTNG2		NTNG2	28	1
17_MACS_peak_30446_lociStitched	chr4	9211666	9274619	17	61701	222815.8482	19572.0877	29	USP17		USP17	29	1
24_MACS_peak_25447_lociStitched	chr20	62777723	62880374	24	97345	153760.9329	9803.1705	30	MYT1	PCMTD2,NPBWR2	MYT1	30	1
19_MACS_peak_7006_lociStitched	chr11	2148733	2241909	19	88055	163216.3992	7593.844	31	IGF2AS,IGF2,INS-IGF2,MIR483,INS,TH		TH	31	1
12_MACS_peak_28007_lociStitched	chr22	46288242	46374645	12	84407	164701.3986	7214.6505	32	WNT7B	LOC730668	WNT7B	32	1
11_MACS_peak_25715_lociStitched	chr21	44150766	44231037	11	78547	172574.6229	11454.6717	33	PDE9A		WDR4	33	1
3_MACS_peak_18535_lociStitched	chr19	8848938	8900859	3	50461	218296.6524	24491.1357	34		OR2Z1,ACTL9,ZNF558	OR2Z1	34	1
5_MACS_peak_17485_lociStitched	chr19	1282653	1344852	5	61683	187256.3094	8483.9436	35	EFNA2	ATP5D,MIDN,CIRBP,C19orf24,MUM1,NDUFS7,C19orf26,C19orf23	EFNA2	35	1
7_MACS_peak_25701_lociStitched	chr21	44049799	44130966	7	78765	163356.7042	10770.8609	36	PDE9A		PDE9A	36	1
16_MACS_peak_25913_lociStitched	chr21	46404130	46479387	16	72489	167574.7619	9467.3306	37	NCRNA00163,NCRNA00162	C21orf70,ADARB1,C21orf67,C21orf122	NCRNA00162	37	1
18_MACS_peak_36394_lociStitched	chr9	133834567	133920651	18	80919	144862.1552	7429.0492	38	LAMC3	FIBCD1	LAMC3	38	1
11_MACS_peak_25219_lociStitched	chr20	61141457	61213394	11	70635	154930.7169	6236.9379	39	C20orf166,MIR1-1,MIR133A2,C20orf200		MIR133A2	39	1
23_MACS_peak_9295_lociStitched	chr12	3320245	3409278	23	84903	124307.8746	7363.0291	40	TSPAN9		TSPAN9	40	1
3_MACS_peak_25910_lociStitched	chr21	46300964	46359745	3	57851	165609.5894	7365.2593	41	ITGB2,C21orf67	C21orf70,PTTG1IP	ITGB2	41	1
3_MACS_peak_2092_lociStitched	chr1	17012068	17066058	3	53525	176385.33	13529.894	42	ESPNP	MST1P2,MST1P9	ESPNP	42	1
22_MACS_peak_15615_lociStitched	chr17	47508078	47591726	22	79040	125990.6176	8097.1264	43	NGFR	PHB	NGFR	43	1
16_MACS_peak_74_lociStitched	chr1	1052549	1123647	16	66932	141925.8276	5837.1458	44	MIR200B,MIR200A,MIR429,TTLL10	B3GALT6,C1orf159,TNFRSF18,TNFRSF4,SDF4	MIR200B	44	1
6_MACS_peak_17838_lociStitched	chr19	4557534	4624386	6	66112	142434.8712	9292.428	45	SEMA6B	TNFAIP8L1,PLIN4,PLIN5,LRG1,C19orf10	SEMA6B	45	1
18_MACS_peak_36241_lociStitched	chr9	132911687	132990696	18	73231	119730.2386	6936.9902	46	NCS1		NCS1	46	1
26_MACS_peak_3186_lociStitched	chr1	22542735	22625112	26	74542	107386.6572	7834.0527	47			WNT4	47	1
10_MACS_peak_248_lociStitched	chr1	2346548	2413172	10	62534	128291.1744	4816.9152	48	PLCH2	RER1,MORN1,PEX10,PANK4,HES5	PLCH2	48	1
6_MACS_peak_433_lociStitched	chr1	3099829	3169479	6	68813	114497.635	4555.11	49	PRDM16		MIR4251	49	1
10_MACS_peak_30463_lociStitched	chr4	9324618	9370956	10	45680	159203.4666	14601.1038	50	USP17,USP17L6P		USP17L6P	50	1
6_MACS_peak_13921_lociStitched	chr17	1041524	1107373	6	64323	123453.7052	6084.4476	51	ABR	ABR	ABR	51	1
19_MACS_peak_13996_lociStitched	chr17	1828390	1900909	19	69577	112520.4804	6294.6492	52	RTN4RL1	DPH1,OVCA2	RTN4RL1	52	1
21_MACS_peak_19596_lociStitched	chr19	18059483	18132201	21	69577	112560.1922	6682.7842	53	KCNN1,ARRDC2	CCDC124	ARRDC2	53	1
18_MACS_peak_30349_lociStitched	chr4	8584677	8659479	18	70799	107146.3848	5482.9866	54	GPR78,CPZ		CPZ	54	1
20_MACS_peak_37332_lociStitched	chr9	138853716	138924832	20	67084	112782.8644	5710.6148	55	NACC2	UBAC1	UBAC1	55	1
17_MACS_peak_34887_lociStitched	chr8	142359572	142433348	17	68939	107380.968	5629.1088	56	PTP4A3,GPR20	LOC731779	GPR20	56	1
8_MACS_peak_17503_lociStitched	chr19	1491119	1549559	8	56411	131191.956	7544.604	57	REEP6,PLK5P,ADAMTSL5	APC2,C19orf25,PCSK4,MEX3D,MBD3	PLK5P	57	1
24_MACS_peak_7601_lociStitched	chr11	64392849	64469921	24	70583	100825.5904	7260.1824	58	NRXN2	SLC22A12,RASGRP2	NRXN2	58	1
9_MACS_peak_11829_lociStitched	chr16	1020107	1082256	9	59654	119705.1889	4425.0088	59	SOX8,LMF1	SSTR5,LOC146336	SOX8	59	1
6_MACS_peak_29471_lociStitched	chr4	1751801	1808324	6	54708	126747.1752	4420.0986	60	FGFR3	TACC3,SLBP,TMEM129,LETM1	FGFR3	60	1
10_MACS_peak_36382_lociStitched	chr9	133770297	133829783	10	57608	120131.977	5062.2586	61	FIBCD1	QRFP	FIBCD1	61	1
8_MACS_peak_11848_lociStitched	chr16	1144505	1202560	8	56722	120394.459	4145.127	62	C1QTNF8	SSTR5,CACNA1H,LOC146336	C1QTNF8	62	1
6_MACS_peak_1070_lociStitched	chr1	6475009	6530977	6	55427	121831.1424	5266.5888	63	ESPN,HES2,MIR4252,TNFRSF25,PLEKHG5	ACOT7	MIR4252	63	1
14_MACS_peak_60_lociStitched	chr1	955488	1016209	14	57302	115254.5301	4960.9057	64	AGRN	ISG15,C1orf170,HES4,C1orf159	AGRN	64	1
11_MACS_peak_1689_lociStitched	chr1	10697337	10753959	11	54898	116720.5908	4931.7762	65	CASZ1		CASZ1	65	1
9_MACS_peak_35_lociStitched	chr1	829330	879347	9	47118	126002.8264	4581.5572	66	SAMD11,FLJ39609	KLHL17,PLEKHN1,FAM41C,NOC2L,C1orf170	FLJ39609	66	1
12_MACS_peak_34857_lociStitched	chr8	141997258	142060888	12	59313	108597.321	8532.783	67	PTK2		PTK2	67	1
11_MACS_peak_36767_lociStitched	chr9	136368120	136428599	11	57999	106799.8661	4620.5956	68	ADAMTSL2,TMEM8C	C9orf7,SLC2A6,FAM163B	ADAMTSL2	68	1
8_MACS_peak_1042_lociStitched	chr1	6180706	6241859	8	58044	107714.8942	5674.9984	69	CHD5	RNF207,RPL22	CHD5	69	1
7_MACS_peak_25236_lociStitched	chr20	61315656	61372516	7	55483	111906.166	5253.864	70	NTSR1	SLCO4A1,LOC100127888	NTSR1	70	1
12_MACS_peak_175_lociStitched	chr1	1934475	1996276	12	59253	103423.9735	4659.7954	71	GABRD,PRKCZ,KIAA1751	PRKCZ	GABRD	71	1
32_MACS_peak_2161_lociStitched	chr1	17516313	17588712	32	64725	90455.3106	6747.5868	72	PADI1,PADI3	PADI4	PADI1	72	1
20_MACS_peak_8135_lociStitched	chr11	69968015	70034853	20	62853	91808.6768	5193.3126	73	ANO1	FADD	FADD	73	1
5_MACS_peak_238_lociStitched	chr1	2244330	2294324	5	49447	115336.158	4064.5122	74	MORN1,LOC100129534	RER1,PEX10	LOC100129534	74	1
14_MACS_peak_18046_lociStitched	chr19	5827950	5891572	14	60984	98181.4704	8429.915	75	NRTN,FUT6,FUT3,FUT5,NDUFA11	VMAC,CAPS,PRR22,DUS3L,NDUFA11	FUT3	75	1
11_MACS_peak_27081_lociStitched	chr22	37457242	37517402	11	57069	102837.504	5077.504	76	KCTD17,TMPRSS6	MPST,TST,IL2RB	TMPRSS6	76	1
26_MACS_peak_36302_lociStitched	chr9	133249480	133315335	26	61206	93764.349	5222.3015	77		ASS1	ASS1	77	1
4_MACS_peak_25316_lociStitched	chr20	61850595	61902260	4	51154	111327.742	4582.6855	78	BIRC7,MIR3196,FLJ16779,NKAIN4	MIR124-3,ARFGAP1,MIR4326,COL20A1,YTHDF1	MIR3196	78	1
8_MACS_peak_25267_lociStitched	chr20	61584463	61640710	8	55279	104883.7809	5433.4602	79	SLC17A9,BHLHE23	C20orf11,LOC63930,LOC100144597,DIDO1,NCRNA00029	BHLHE23	79	1
30_MACS_peak_29945_lociStitched	chr4	7468296	7538471	30	62019	85767.885	5073.6525	80	SORCS2	MIR4274,PSAPL1	MIR4274	80	1
10_MACS_peak_11838_lociStitched	chr16	1084784	1141294	10	54841	99039.426	3503.62	81	SSTR5,LOC146336,C1QTNF8		SSTR5	81	1
9_MACS_peak_7403_lociStitched	chr11	61441803	61500206	9	57102	95383.7796	5565.8059	82	DAGLA	C11orf9,DKFZP434K028	DAGLA	82	1
9_MACS_peak_7343_lociStitched	chr11	61271660	61329503	9	56090	95221.1466	5200.0857	83	LRRC10B,SYT7	C11orf66	LRRC10B	83	1
5_MACS_peak_17816_lociStitched	chr19	4183345	4239330	5	55541	98320.857	8173.81	84	ANKRD24,EBI3	CREB3L3,CCDC94,SHD,SIRT6	EBI3	84	1
14_MACS_peak_442_lociStitched	chr1	3177897	3236447	14	55852	93557.045	4121.92	85	PRDM16		MIR4251	85	1
17_MACS_peak_10129_lociStitched	chr13	113606847	113665411	17	55709	91008.456	5206.3396	86	MCF2L,LOC100289410		MCF2L	86	1
5_MACS_peak_36006_lociStitched	chr9	129369656	129420445	5	48055	99226.4693	4713.2192	87	LMX1B		LMX1B	87	1
7_MACS_peak_17058_lociStitched	chr17	79112540	79161797	7	46319	99272.5578	4191.7707	88	LOC388428,AATK	MIR3065,MIR657,MIR338,MIR1250,AZI1	LOC388428	88	1
9_MACS_peak_2031_lociStitched	chr1	16426735	16484048	9	53367	86611.4056	4980.4997	89	EPHA2	FAM131C	EPHA2	89	1
7_MACS_peak_21631_lociStitched	chr19	49521215	49575243	7	53586	86007.1732	5051.618	90	CGB2,SNAR-G1,CGB5,CGB,SNAR-G2,CGB1,CGB8,CGB7,NTF4,KCNA7	RUVBL2,SNRNP70,LIN7B,PPFIA3,GYS1,LHB,C19orf73	CGB5	90	1
1_MACS_peak_21806_lociStitched	chr19	50594104	50644373	1	50270	103096.6921	15673.8742	91	SNAR-A6,SNAR-A4,SNAR-A8,SNAR-A11,SNAR-A14,SNAR-B1,SNAR-B2,SNAR-D	FLJ26850,IZUMO2	SNAR-B1	91	1
15_MACS_peak_26229_lociStitched	chr22	20240064	20296379	15	51784	86252.054	5203.506	92	RTN4R	LOC150197,MIR1286,DGCR6L	RTN4R	92	1
11_MACS_peak_25243_lociStitched	chr20	61373914	61422325	11	46120	95635.9305	4105.2528	93	NTSR1	C20orf20,OGFR,COL9A3	C20orf20	93	1
9_MACS_peak_3130_lociStitched	chr1	21881473	21933819	9	50519	87224.1398	5318.3536	94	ALPL,RAP1GAP		RAP1GAP	94	1
10_MACS_peak_29134_lociStitched	chr3	128168746	128218310	10	47398	91554.6208	5065.4408	95	DNAJB8,GATA2	LOC90246	DNAJB8	95	1
25_MACS_peak_13928_lociStitched	chr17	1110524	1169196	25	54944	75088.4256	5538.6368	96		BHLHA9,TUSC5,ABR	BHLHA9	96	1
2_MACS_peak_31571_lociStitched	chr6	31990202	32031261	2	40691	101025.6695	4799.7971	97	C4B,C4A,CYP21A2,TNXB	STK19,TNXA	STK19	97	1
2_MACS_peak_29519_lociStitched	chr4	3458637	3499546	2	40579	99065.2344	3346.3562	98	DOK7	HGFAC,LRPAP1	DOK7	98	1
9_MACS_peak_500_lociStitched	chr1	3489473	3537151	9	45623	90001.7606	3833.3112	99	MEGF6	TPRG1L,TP73,MIR551A,WDR8	MEGF6	99	1
15_MACS_peak_27949_lociStitched	chr22	45894250	45949784	15	52301	75842.7838	4426.0598	100	FBLN1		FBLN1	100	1
6_MACS_peak_25850_lociStitched	chr21	45907751	45953714	6	45124	90560.8989	5979.7863	101	C21orf90,C21orf29	LRRC3,KRTAP10-4,KRTAP10-1,KRTAP10-2,KRTAP10-3,KRTAP10-5	C21orf90	101	1
13_MACS_peak_16223_lociStitched	chr17	72333067	72386044	13	51052	75296.2101	4450.068	102	KIF19,GPR142,BTBD17	GPRC5C	BTBD17	102	1
12_MACS_peak_1707_lociStitched	chr1	10853343	10903312	12	48258	78496.3021	4297.334	103	CASZ1		CASZ1	103	1
2_MACS_peak_26224_lociStitched	chr22	20151970	20193241	2	41209	90445.3965	3817.5675	104		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	104	1
4_MACS_peak_26203_lociStitched	chr22	19719566	19764307	4	43306	85714.8078	3619.5469	105	TBX1	SEPT5,SEPT5-GP1BB,GP1BB	TBX1	105	1
22_MACS_peak_1312_lociStitched	chr1	7491001	7547535	22	52092	66455.717	4217.4364	106	CAMTA1		VAMP3	106	1
17_MACS_peak_18932_lociStitched	chr19	14269338	14324183	17	49788	71550.787	4596.011	107	LPHN1	PRKACA,ASF1B	LPHN1	107	1
2_MACS_peak_37386_lociStitched	chr9	139216996	139253174	2	35537	94695.915	2716.9678	108	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	108	1
17_MACS_peak_18388_lociStitched	chr19	8172843	8224254	17	48002	76443.0159	6390.3873	109	FBN3	LASS4	FBN3	109	1
6_MACS_peak_2014_lociStitched	chr1	16338456	16381098	6	41442	86597.3736	3927.3282	110	CLCNKA,CLCNKB,HSPB7	C1orf64,ZBTB17,FAM131C	CLCNKB	110	1
9_MACS_peak_22600_lociStitched	chr2	26775521	26822263	9	45543	79690.4358	5356.6332	111	C2orf70,OTOF,CIB4		C2orf70	111	1
12_MACS_peak_27827_lociStitched	chr22	45319945	45371215	12	48302	67609.749	4281.045	112	PHF21B		PHF21B	112	1
14_MACS_peak_28942_lociStitched	chr3	50216400	50263312	14	44224	76203.8528	4325.2864	113	SEMA3F,GNAT1,SLC38A3	GNAI2,SEMA3B	SLC38A3	113	1
8_MACS_peak_25608_lociStitched	chr21	43130057	43177560	8	45139	75572.5227	6142.1379	114	NCRNA00112,C21orf129,RIPK4	NCRNA00111	NCRNA00112	114	1
12_MACS_peak_16931_lociStitched	chr17	77941853	77989802	12	45798	72441.3492	4641.4632	115	TBC1D16	CCDC40	TBC1D16	115	1
10_MACS_peak_25331_lociStitched	chr20	61972206	62018129	10	43217	76310.2491	3210.0177	116	CHRNA4	COL20A1	CHRNA4	116	1
12_MACS_peak_17463_lociStitched	chr19	819348	863787	12	42029	80021.3073	5408.2263	117	AZU1,PRTN3,ELANE,CFD,LPPR3	PTBP1,MIR3187,MED16,C19orf22	PRTN3	117	1
3_MACS_peak_26226_lociStitched	chr22	20197624	20238198	3	40218	79634.5898	3343.2976	118	RTN4R,MIR1286	LOC150197	MIR1286	118	1
18_MACS_peak_35584_lociStitched	chr8	144926815	144974105	18	43188	74344.609	4327.035	119	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	119	1
15_MACS_peak_24191_lociStitched	chr20	48880939	48932382	15	46083	67951.0587	4758.4775	120	LOC284751		LOC284751	120	1
20_MACS_peak_27477_lociStitched	chr22	43788386	43839404	20	45227	68287.593	3923.2842	121	MPPED1	SCUBE1	MPPED1	121	1
9_MACS_peak_20872_lociStitched	chr19	42467073	42510997	9	42641	72465.8152	4036.6156	122	ATP1A3,GRIK5	RABAC1	ATP1A3	122	1
8_MACS_peak_33284_lociStitched	chr7	150862677	150905939	8	41174	77538.4826	6402.776	123	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	123	1
9_MACS_peak_16345_lociStitched	chr17	72909151	72953275	9	43026	71061.702	4152.0684	124	OTOP2,OTOP3,USH1G,C17orf28	CDR2L,FDXR,FADS6	OTOP3	124	1
21_MACS_peak_16695_lociStitched	chr17	76575475	76626748	21	46050	64060.4862	5004.2448	125		DNAH17	DNAH17	125	1
15_MACS_peak_31752_lociStitched	chr6	34067675	34115100	15	43860	68268.2875	4130.7175	126	GRM4		GRM4	126	1
14_MACS_peak_1719_lociStitched	chr1	10906568	10952600	14	44259	66654.336	4432.8816	127		CASZ1	CASZ1	127	1
3_MACS_peak_33257_lociStitched	chr7	149497423	149530851	3	32890	86317.7816	3994.646	128	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	128	1
24_MACS_peak_17184_lociStitched	chr17	81038896	81088673	24	45369	62992.7935	4051.8478	129	METRNL	B3GNTL1	METRNL	129	1
4_MACS_peak_37372_lociStitched	chr9	139013464	139054566	4	39810	74423.3914	3390.915	130		NACC2,C9orf69,LHX3	C9orf69	130	1
17_MACS_peak_22256_lociStitched	chr19	55668367	55718404	17	45106	64182.4599	4878.6075	131	TNNI3,C19orf51,SYT5,PTPRH	PPP1R12C,TNNT1,TMEM86B	SYT5	131	1
13_MACS_peak_17916_lociStitched	chr19	5300752	5346825	13	43708	67561.4472	5137.1395	132	PTPRS		PTPRS	132	1
8_MACS_peak_11773_lociStitched	chr16	792115	834094	8	39913	73631.166	3274.362	133	MSLN,MIR662,MSLNL	METRN,FAM173A,HAGHL,CHTF18,PRR25,FBXL16,CCDC78,NARFL,RPUSD1,GNG13	MSLN	133	1
18_MACS_peak_32853_lociStitched	chr7	100210339	100261036	18	44607	64496.7234	4780.7271	134	MOSPD3,TFR2,ACTL6B	FBXO24,PCOLCE,GNB2,POP7,SAP25,LRCH4,GIGYF1	TFR2	134	1
10_MACS_peak_7412_lociStitched	chr11	61501410	61544052	10	41173	71271.8388	4046.7258	135	DAGLA,C11orf9,DKFZP434K028	FEN1,MIR611,C11orf10,MIR1908,FADS1	C11orf9	135	1
10_MACS_peak_27326_lociStitched	chr22	42720571	42765365	10	42343	68579.614	3847.8046	136			LOC388906	136	1
5_MACS_peak_2134_lociStitched	chr1	17409198	17453855	5	42903	67476.727	4461.2343	137	PADI2	SDHB	PADI2	137	1
15_MACS_peak_25148_lociStitched	chr20	60469479	60517046	15	43459	65509.2724	3805.36	138	CDH4	MIR1257	MIR1257	138	1
14_MACS_peak_1827_lociStitched	chr1	11480514	11529836	14	44604	63556.3292	4823.6916	139		PTCHD2	PTCHD2	139	1
10_MACS_peak_153_lociStitched	chr1	1867177	1910919	10	41920	68898.0242	3989.2704	140	KIAA1751	CALML6,GABRD,GNB1,TMEM52	TMEM52	140	1
17_MACS_peak_28404_lociStitched	chr22	50477894	50526443	17	43231	65327.5344	4068.4062	141	TTLL8,MLC1	MOV10L1,IL17REL	TTLL8	141	1
10_MACS_peak_29564_lociStitched	chr4	3701096	3747396	10	43389	63579.16	3319.71	142		ADRA2C,LOC100133461	ADRA2C	142	1
8_MACS_peak_25817_lociStitched	chr21	45760761	45801393	8	38777	75128.568	5160.264	143	TRPM2	PFKL,C21orf2	TRPM2	143	1
4_MACS_peak_6781_lociStitched	chr11	1025510	1062752	4	36997	75712.986	2904.876	144	MUC6	MUC2	MUC6	144	1
9_MACS_peak_32350_lociStitched	chr7	2531886	2573050	9	39106	72366.312	3478.358	145	LFNG	IQCE,C7orf27	LFNG	145	1
8_MACS_peak_17794_lociStitched	chr19	3912115	3953417	8	40117	71762.225	5055.3648	146	ATCAY,ITGB1BP3	ZFR2,MIR637,DAPK3,SNORD37,EEF2	ITGB1BP3	146	1
7_MACS_peak_36011_lociStitched	chr9	129427504	129468972	7	40281	69993.8372	4034.8364	147	LMX1B		LMX1B	147	1
9_MACS_peak_37177_lociStitched	chr9	138130547	138175973	9	43722	60920.8086	3247.959	148			OLFM1	148	1
13_MACS_peak_7626_lociStitched	chr11	64474408	64518385	13	38512	73489.9647	4578.0057	149	NRXN2,RASGRP2,PYGM	SF1	NRXN2	149	1
4_MACS_peak_15708_lociStitched	chr17	48633661	48674824	4	40344	68886.2805	3935.1828	150	CACNA1G	MYCBPAP,EPN3,SPATA20,ABCC3	CACNA1G	150	1
9_MACS_peak_4795_lociStitched	chr1	156640116	156679015	9	36818	77405.1201	5838.7399	151	NES,CRABP2	BCAN,C1orf66,ISG20L2,MRPL24,HDGF	NES	151	1
8_MACS_peak_37376_lociStitched	chr9	139058678	139096676	8	36897	74092.3002	2971.4436	152	LHX3	C9orf69,QSOX2	LHX3	152	1
11_MACS_peak_36793_lociStitched	chr9	136490515	136533432	11	40554	64933.421	3145.8161	153	DBH,SARDH	FAM163B	DBH	153	1
17_MACS_peak_11340_lociStitched	chr15	74587445	74633501	17	42069	62134.1496	4518.0936	154	CCDC33,CYP11A1		CCDC33	154	1
19_MACS_peak_7063_lociStitched	chr11	2370962	2418284	19	41449	63293.175	4187.997	155	CD81	TSPAN32,TSSC4,KCNQ1,C11orf21,TRPM5	CD81	155	1
12_MACS_peak_5984_lociStitched	chr10	102482334	102521837	12	37088	71354.2689	3646.1269	156	PAX2		PAX2	156	1
16_MACS_peak_2746_lociStitched	chr1	19023716	19068805	16	42996	57925.8383	3877.654	157	PAX7		PAX7	157	1
11_MACS_peak_3378_lociStitched	chr1	23167289	23211540	11	43004	57544.0004	4106.4928	158	EPHB2,MIR4253		MIR4253	158	1
13_MACS_peak_7353_lociStitched	chr11	61336096	61381844	13	41704	60799.092	4268.2884	159	SYT7	RPLP0P2	SYT7	159	1
16_MACS_peak_24357_lociStitched	chr20	56126989	56171426	16	41245	61882.9662	4350.3823	160	PCK1	CTCFL,ZBP1	PCK1	160	1
10_MACS_peak_37362_lociStitched	chr9	138962017	139000633	10	36237	70061.0088	2923.2312	161	NACC2	C9orf69	NACC2	161	1
14_MACS_peak_18294_lociStitched	chr19	7750469	7797786	14	42659	58398.6414	6411.4535	162	FCER2,CLEC4G	STXBP2,RETN,C19orf59,TRAPPC5,CLEC4M,CD209	FCER2	162	1
9_MACS_peak_6816_lociStitched	chr11	1237747	1276876	9	38911	63690.2733	2938.5879	163	MUC5B		MUC5B	163	1
9_MACS_peak_28972_lociStitched	chr3	50444632	50487694	9	41327	58676.2812	3707.6382	164	CACNA2D2	TMEM115	TMEM115	164	1
9_MACS_peak_27281_lociStitched	chr22	40067975	40108193	9	39169	62478.663	3639.729	165	CACNA1I		CACNA1I	165	1
