GENE_ID	locusLine	bin_1_07_0EWT_0229Kronos_MM1S-KB-6hr-1_H3K18Ac_hs-dm_i14.bam
2_MACS_peak_34_lociStitched	chr1(.):1606383-1611069	1.4987
1_MACS_peak_36_lociStitched	chr1(.):1622654-1625706	3.4165
1_MACS_peak_37_lociStitched	chr1(.):1655060-1656782	1.3614
2_MACS_peak_38_lociStitched	chr1(.):1668809-1678946	1.3073
2_MACS_peak_40_lociStitched	chr1(.):1708869-1715217	2.6281
1_MACS_peak_42_lociStitched	chr1(.):1772973-1775227	0.5338
2_MACS_peak_43_lociStitched	chr1(.):1821011-1829622	0.5055
1_MACS_peak_45_lociStitched	chr1(.):1838135-1841397	1.0617
2_MACS_peak_46_lociStitched	chr1(.):2120521-2127283	0.3148
1_MACS_peak_48_lociStitched	chr1(.):2158356-2159420	0.9591
1_MACS_peak_49_lociStitched	chr1(.):2221222-2223189	0.7757
1_MACS_peak_50_lociStitched	chr1(.):2231210-2233479	1.6331
1_MACS_peak_51_lociStitched	chr1(.):2322178-2324148	0.8163
2_MACS_peak_52_lociStitched	chr1(.):2342851-2348069	0.9668
1_MACS_peak_54_lociStitched	chr1(.):2456714-2458515	0.8641
2_MACS_peak_55_lociStitched	chr1(.):2476829-2489274	1.6675
2_MACS_peak_57_lociStitched	chr1(.):2508663-2518865	0.5481
1_MACS_peak_59_lociStitched	chr1(.):2573634-2575078	1.7327
1_MACS_peak_60_lociStitched	chr1(.):3086922-3088124	0.6105
1_MACS_peak_61_lociStitched	chr1(.):3446781-3448051	0.5541
2_MACS_peak_62_lociStitched	chr1(.):3540474-3547706	0.3489
2_MACS_peak_64_lociStitched	chr1(.):3565816-3570069	0.8254
1_MACS_peak_66_lociStitched	chr1(.):3589159-3590431	0.6621
1_MACS_peak_67_lociStitched	chr1(.):3688352-3689088	0.4584
1_MACS_peak_68_lociStitched	chr1(.):3712418-3713764	0.6602
1_MACS_peak_69_lociStitched	chr1(.):3773133-3774994	0.7943
1_MACS_peak_70_lociStitched	chr1(.):3815998-3818423	3.7442
1_MACS_peak_71_lociStitched	chr1(.):3838171-3839202	0.6016
1_MACS_peak_72_lociStitched	chr1(.):4855952-4857221	0.6446
2_MACS_peak_73_lociStitched	chr1(.):4997742-5004959	0.192
1_MACS_peak_75_lociStitched	chr1(.):6051202-6055301	1.5068
1_MACS_peak_76_lociStitched	chr1(.):6083885-6087314	1.6559
2_MACS_peak_77_lociStitched	chr1(.):6258772-6266861	0.5893
1_MACS_peak_79_lociStitched	chr1(.):6294630-6296905	0.9448
1_MACS_peak_80_lociStitched	chr1(.):6418902-6420692	0.6852
1_MACS_peak_81_lociStitched	chr1(.):6452785-6454665	1.1378
1_MACS_peak_82_lociStitched	chr1(.):6474206-6475817	1.4586
1_MACS_peak_83_lociStitched	chr1(.):6549871-6551659	1.6296
1_MACS_peak_84_lociStitched	chr1(.):6613738-6615481	0.9748
1_MACS_peak_85_lociStitched	chr1(.):6639596-6640949	0.7923
1_MACS_peak_86_lociStitched	chr1(.):6660062-6664685	2.1453
1_MACS_peak_87_lociStitched	chr1(.):6672403-6675127	1.4029
1_MACS_peak_88_lociStitched	chr1(.):6684527-6686630	1.1506
1_MACS_peak_89_lociStitched	chr1(.):6733897-6734860	0.4031
1_MACS_peak_90_lociStitched	chr1(.):6761008-6762203	0.7928
1_MACS_peak_91_lociStitched	chr1(.):6843858-6845373	2.433
1_MACS_peak_92_lociStitched	chr1(.):6977791-6980094	1.2557
1_MACS_peak_93_lociStitched	chr1(.):7830942-7832207	0.7386
2_MACS_peak_94_lociStitched	chr1(.):8013686-8022761	0.398
1_MACS_peak_96_lociStitched	chr1(.):8085846-8086688	0.522
2_MACS_peak_97_lociStitched	chr1(.):8454892-8458435	0.5476
3_MACS_peak_99_lociStitched	chr1(.):8650275-8665309	0.4111
1_MACS_peak_102_lociStitched	chr1(.):8740510-8741666	0.5099
2_MACS_peak_103_lociStitched	chr1(.):8760716-8765704	0.7717
1_MACS_peak_105_lociStitched	chr1(.):8771775-8774135	1.2513
1_MACS_peak_106_lociStitched	chr1(.):8876077-8878748	1.4569
1_MACS_peak_107_lociStitched	chr1(.):8937083-8940129	1.9627
1_MACS_peak_108_lociStitched	chr1(.):9139877-9141471	0.489
1_MACS_peak_109_lociStitched	chr1(.):9188601-9189321	0.5675
1_MACS_peak_110_lociStitched	chr1(.):9222097-9226118	3.8195
1_MACS_peak_111_lociStitched	chr1(.):9240716-9243409	2.1968
1_MACS_peak_112_lociStitched	chr1(.):9294385-9295944	1.1177
1_MACS_peak_113_lociStitched	chr1(.):9335572-9336624	0.4742
2_MACS_peak_114_lociStitched	chr1(.):9485664-9489822	0.5672
1_MACS_peak_116_lociStitched	chr1(.):9599487-9600505	0.4912
1_MACS_peak_117_lociStitched	chr1(.):9614877-9616032	0.637
2_MACS_peak_118_lociStitched	chr1(.):9647997-9650278	0.6847
1_MACS_peak_120_lociStitched	chr1(.):9748795-9749554	0.5816
2_MACS_peak_121_lociStitched	chr1(.):9776621-9782272	1.6729
1_MACS_peak_123_lociStitched	chr1(.):9846664-9848744	1.3223
1_MACS_peak_124_lociStitched	chr1(.):9882817-9884475	1.1256
1_MACS_peak_125_lociStitched	chr1(.):9895908-9896926	0.4801
2_MACS_peak_126_lociStitched	chr1(.):9969082-9971792	0.8888
2_MACS_peak_128_lociStitched	chr1(.):10002271-10011605	0.4304
1_MACS_peak_130_lociStitched	chr1(.):10020832-10021602	0.3967
1_MACS_peak_131_lociStitched	chr1(.):10050038-10051976	0.9375
1_MACS_peak_132_lociStitched	chr1(.):10078281-10079858	0.7177
1_MACS_peak_133_lociStitched	chr1(.):10092255-10094103	1.4019
1_MACS_peak_134_lociStitched	chr1(.):10228349-10231776	1.6181
1_MACS_peak_135_lociStitched	chr1(.):10249061-10251009	0.9302
1_MACS_peak_136_lociStitched	chr1(.):10259880-10261888	1.0029
1_MACS_peak_137_lociStitched	chr1(.):10269349-10271893	1.4004
1_MACS_peak_138_lociStitched	chr1(.):10310429-10314822	0.7567
1_MACS_peak_139_lociStitched	chr1(.):10447509-10448603	0.489
1_MACS_peak_140_lociStitched	chr1(.):10458324-10459914	1.0362
1_MACS_peak_141_lociStitched	chr1(.):10489752-10491855	1.2277
1_MACS_peak_142_lociStitched	chr1(.):10504231-10505836	0.7978
1_MACS_peak_143_lociStitched	chr1(.):10515796-10518078	0.9715
2_MACS_peak_144_lociStitched	chr1(.):10531704-10535925	0.7271
1_MACS_peak_146_lociStitched	chr1(.):10554586-10555896	0.6022
1_MACS_peak_147_lociStitched	chr1(.):10999377-11001289	0.7535
1_MACS_peak_148_lociStitched	chr1(.):11071320-11073592	2.39
1_MACS_peak_149_lociStitched	chr1(.):11118789-11121356	0.7639
1_MACS_peak_150_lociStitched	chr1(.):11158782-11160674	1.2532
1_MACS_peak_151_lociStitched	chr1(.):11286760-11287794	0.4346
1_MACS_peak_152_lociStitched	chr1(.):11321780-11323529	0.7795
1_MACS_peak_153_lociStitched	chr1(.):11333167-11334316	2.3836
1_MACS_peak_154_lociStitched	chr1(.):11538586-11539962	2.6588
2_MACS_peak_155_lociStitched	chr1(.):11622935-11631941	1.4586
2_MACS_peak_157_lociStitched	chr1(.):11710550-11715051	0.3241
1_MACS_peak_159_lociStitched	chr1(.):11723918-11725349	0.7085
1_MACS_peak_160_lociStitched	chr1(.):11740300-11742318	1.2478
1_MACS_peak_161_lociStitched	chr1(.):11779123-11780260	0.4065
2_MACS_peak_162_lociStitched	chr1(.):11790183-11798143	0.6343
1_MACS_peak_164_lociStitched	chr1(.):11843033-11845881	1.5428
1_MACS_peak_165_lociStitched	chr1(.):11863128-11867445	1.6502
1_MACS_peak_166_lociStitched	chr1(.):11967483-11970710	2.7117
1_MACS_peak_167_lociStitched	chr1(.):11984661-11987526	0.8339
1_MACS_peak_168_lociStitched	chr1(.):11993899-11995561	1.2729
1_MACS_peak_169_lociStitched	chr1(.):12039368-12041271	1.3004
1_MACS_peak_170_lociStitched	chr1(.):12078804-12080443	0.9729
2_MACS_peak_171_lociStitched	chr1(.):12106752-12113405	0.8352
1_MACS_peak_173_lociStitched	chr1(.):12138704-12140008	0.6462
2_MACS_peak_174_lociStitched	chr1(.):12220906-12227933	1.0444
1_MACS_peak_176_lociStitched	chr1(.):12270057-12271613	0.5329
1_MACS_peak_177_lociStitched	chr1(.):12289774-12291593	0.9026
1_MACS_peak_178_lociStitched	chr1(.):12404876-12406063	0.4166
1_MACS_peak_179_lociStitched	chr1(.):12493706-12496942	0.7492
1_MACS_peak_180_lociStitched	chr1(.):12676752-12679838	0.702
1_MACS_peak_181_lociStitched	chr1(.):12896715-12897859	0.5279
1_MACS_peak_182_lociStitched	chr1(.):13824593-13825627	0.5227
1_MACS_peak_183_lociStitched	chr1(.):14025902-14027137	0.8046
1_MACS_peak_184_lociStitched	chr1(.):14056450-14058315	1.3644
1_MACS_peak_185_lociStitched	chr1(.):14074807-14076961	0.976
1_MACS_peak_186_lociStitched	chr1(.):14155208-14156403	1.044
1_MACS_peak_187_lociStitched	chr1(.):14237609-14239628	0.6653
2_MACS_peak_188_lociStitched	chr1(.):14246740-14254494	0.5136
1_MACS_peak_190_lociStitched	chr1(.):14292152-14295363	1.1026
4_MACS_peak_191_lociStitched	chr1(.):14329340-14345037	0.8118
1_MACS_peak_195_lociStitched	chr1(.):14361175-14368050	3.0262
2_MACS_peak_196_lociStitched	chr1(.):14437185-14441201	0.4901
1_MACS_peak_198_lociStitched	chr1(.):14463059-14464930	0.5432
2_MACS_peak_199_lociStitched	chr1(.):14500987-14509009	0.8218
1_MACS_peak_201_lociStitched	chr1(.):14687002-14688735	0.7973
1_MACS_peak_202_lociStitched	chr1(.):14695372-14697474	0.962
1_MACS_peak_203_lociStitched	chr1(.):15059011-15060927	0.7585
1_MACS_peak_204_lociStitched	chr1(.):15150402-15151890	0.6566
1_MACS_peak_205_lociStitched	chr1(.):15160855-15164838	3.6765
2_MACS_peak_206_lociStitched	chr1(.):15202410-15209477	0.5649
1_MACS_peak_208_lociStitched	chr1(.):15416586-15417583	0.5681
1_MACS_peak_209_lociStitched	chr1(.):15482218-15483715	0.71
3_MACS_peak_210_lociStitched	chr1(.):15500099-15506714	0.8553
1_MACS_peak_213_lociStitched	chr1(.):15545807-15546924	0.505
1_MACS_peak_214_lociStitched	chr1(.):15557395-15559161	0.5364
1_MACS_peak_215_lociStitched	chr1(.):15574894-15576051	0.6283
2_MACS_peak_216_lociStitched	chr1(.):15584121-15588741	0.4692
1_MACS_peak_218_lociStitched	chr1(.):15623370-15624380	0.641
1_MACS_peak_219_lociStitched	chr1(.):15688651-15689954	0.6775
1_MACS_peak_220_lociStitched	chr1(.):15735502-15737487	0.6943
2_MACS_peak_221_lociStitched	chr1(.):15850681-15854306	0.7511
3_MACS_peak_223_lociStitched	chr1(.):15897305-15912217	0.7047
1_MACS_peak_226_lociStitched	chr1(.):15942708-15945441	1.5283
1_MACS_peak_227_lociStitched	chr1(.):16009878-16012118	1.3435
1_MACS_peak_228_lociStitched	chr1(.):16022923-16024976	1.3251
1_MACS_peak_229_lociStitched	chr1(.):16149699-16150734	0.4218
1_MACS_peak_230_lociStitched	chr1(.):16160156-16163628	5.4727
2_MACS_peak_231_lociStitched	chr1(.):16173095-16178945	1.3673
1_MACS_peak_233_lociStitched	chr1(.):16301490-16303371	0.6793
2_MACS_peak_234_lociStitched	chr1(.):16399870-16406253	0.284
1_MACS_peak_236_lociStitched	chr1(.):16532346-16534252	0.7269
1_MACS_peak_237_lociStitched	chr1(.):16543225-16544711	0.4851
1_MACS_peak_238_lociStitched	chr1(.):16562557-16564425	1.2821
1_MACS_peak_239_lociStitched	chr1(.):16677673-16679889	1.4884
1_MACS_peak_240_lociStitched	chr1(.):16692740-16695422	1.7895
1_MACS_peak_241_lociStitched	chr1(.):16766689-16771341	1.3247
2_MACS_peak_242_lociStitched	chr1(.):16824894-16833267	0.2991
1_MACS_peak_245_lociStitched	chr1(.):16938657-16941004	2.1697
1_MACS_peak_246_lociStitched	chr1(.):16969860-16972642	5.7899
1_MACS_peak_247_lociStitched	chr1(.):16991922-16994779	10.5669
2_MACS_peak_248_lociStitched	chr1(.):17010019-17013114	0.4698
1_MACS_peak_250_lociStitched	chr1(.):17065769-17068517	10.839
1_MACS_peak_251_lociStitched	chr1(.):17074518-17075504	1.0055
3_MACS_peak_252_lociStitched	chr1(.):17215585-17233523	2.7021
1_MACS_peak_255_lociStitched	chr1(.):17239706-17241820	1.3502
1_MACS_peak_256_lociStitched	chr1(.):17286670-17288312	0.9279
1_MACS_peak_257_lociStitched	chr1(.):17379603-17381379	0.7411
2_MACS_peak_258_lociStitched	chr1(.):17763646-17768955	0.9117
1_MACS_peak_260_lociStitched	chr1(.):17787292-17788226	0.5396
1_MACS_peak_261_lociStitched	chr1(.):19228212-19230049	1.6297
1_MACS_peak_262_lociStitched	chr1(.):19252305-19255559	3.565
3_MACS_peak_263_lociStitched	chr1(.):19276509-19284116	0.5717
1_MACS_peak_266_lociStitched	chr1(.):19535496-19537959	1.1444
1_MACS_peak_267_lociStitched	chr1(.):19577421-19578971	3.4219
1_MACS_peak_268_lociStitched	chr1(.):19637650-19639787	1.8783
1_MACS_peak_269_lociStitched	chr1(.):19810915-19813421	1.4925
1_MACS_peak_270_lociStitched	chr1(.):19821717-19822802	0.5164
1_MACS_peak_271_lociStitched	chr1(.):19922405-19924331	1.8932
1_MACS_peak_272_lociStitched	chr1(.):20084766-20086739	0.7676
1_MACS_peak_273_lociStitched	chr1(.):20125280-20127648	1.8657
1_MACS_peak_274_lociStitched	chr1(.):20141747-20143310	0.5125
1_MACS_peak_275_lociStitched	chr1(.):20208152-20209922	1.1194
2_MACS_peak_276_lociStitched	chr1(.):20404363-20408537	0.6358
1_MACS_peak_278_lociStitched	chr1(.):20415665-20417290	0.8657
1_MACS_peak_279_lociStitched	chr1(.):20445359-20446981	0.6658
2_MACS_peak_280_lociStitched	chr1(.):20833816-20839329	0.4276
1_MACS_peak_282_lociStitched	chr1(.):20959515-20960896	0.8214
1_MACS_peak_283_lociStitched	chr1(.):20986976-20989031	1.1435
1_MACS_peak_284_lociStitched	chr1(.):21022712-21023837	0.7441
1_MACS_peak_285_lociStitched	chr1(.):21058739-21060539	0.6738
1_MACS_peak_286_lociStitched	chr1(.):21111998-21115023	1.885
1_MACS_peak_287_lociStitched	chr1(.):21290499-21291944	0.9113
1_MACS_peak_288_lociStitched	chr1(.):21348004-21349985	1.4185
2_MACS_peak_289_lociStitched	chr1(.):21501676-21503868	0.9503
1_MACS_peak_291_lociStitched	chr1(.):21615301-21622888	2.6218
1_MACS_peak_292_lociStitched	chr1(.):21659973-21661771	1.4041
1_MACS_peak_293_lociStitched	chr1(.):21670816-21673110	0.902
1_MACS_peak_294_lociStitched	chr1(.):21765832-21767327	0.7968
1_MACS_peak_295_lociStitched	chr1(.):22107388-22110729	2.9443
1_MACS_peak_296_lociStitched	chr1(.):22117339-22119499	1.6601
1_MACS_peak_297_lociStitched	chr1(.):22191288-22194456	1.6871
1_MACS_peak_298_lociStitched	chr1(.):22263800-22264765	0.8038
2_MACS_peak_299_lociStitched	chr1(.):22344981-22353560	1.2021
1_MACS_peak_301_lociStitched	chr1(.):22365555-22367417	1.1807
1_MACS_peak_302_lociStitched	chr1(.):22378335-22380589	1.2689
1_MACS_peak_303_lociStitched	chr1(.):22444905-22445762	0.5148
1_MACS_peak_304_lociStitched	chr1(.):22489215-22490553	0.7072
1_MACS_peak_305_lociStitched	chr1(.):22777542-22779613	1.2226
1_MACS_peak_306_lociStitched	chr1(.):22819681-22823941	1.3418
1_MACS_peak_307_lociStitched	chr1(.):22833944-22835785	0.6009
1_MACS_peak_308_lociStitched	chr1(.):23345199-23346988	0.7719
1_MACS_peak_309_lociStitched	chr1(.):23494669-23495480	0.573
1_MACS_peak_310_lociStitched	chr1(.):23669313-23671963	2.2119
1_MACS_peak_311_lociStitched	chr1(.):23693970-23696720	1.6348
1_MACS_peak_312_lociStitched	chr1(.):23810154-23811580	0.4798
3_MACS_peak_313_lociStitched	chr1(.):23850116-23867235	2.8765
2_MACS_peak_316_lociStitched	chr1(.):23880320-23886774	1.1111
1_MACS_peak_318_lociStitched	chr1(.):23902968-23904808	0.7568
1_MACS_peak_319_lociStitched	chr1(.):23917799-23921662	1.1938
4_MACS_peak_320_lociStitched	chr1(.):23936997-23954622	1.2425
1_MACS_peak_324_lociStitched	chr1(.):23960837-23962406	0.6843
1_MACS_peak_325_lociStitched	chr1(.):24017683-24019505	1.6656
1_MACS_peak_326_lociStitched	chr1(.):24069035-24071740	1.3992
1_MACS_peak_327_lociStitched	chr1(.):24104032-24105781	0.9164
1_MACS_peak_328_lociStitched	chr1(.):24116718-24118612	0.7718
1_MACS_peak_329_lociStitched	chr1(.):24125890-24128163	1.1277
1_MACS_peak_330_lociStitched	chr1(.):24150954-24153169	1.5279
1_MACS_peak_331_lociStitched	chr1(.):24181145-24182545	1.2899
1_MACS_peak_332_lociStitched	chr1(.):24193613-24195120	0.9221
1_MACS_peak_333_lociStitched	chr1(.):24236865-24238306	0.5432
1_MACS_peak_334_lociStitched	chr1(.):24246008-24247732	1.2623
3_MACS_peak_335_lociStitched	chr1(.):24281127-24291869	1.2124
1_MACS_peak_338_lociStitched	chr1(.):24305434-24307855	2.9031
1_MACS_peak_339_lociStitched	chr1(.):24468522-24470188	1.3178
1_MACS_peak_340_lociStitched	chr1(.):24476409-24479171	1.7384
3_MACS_peak_341_lociStitched	chr1(.):24512116-24534076	4.3817
1_MACS_peak_344_lociStitched	chr1(.):24645116-24650644	2.7626
1_MACS_peak_345_lociStitched	chr1(.):24676895-24678840	0.7179
2_MACS_peak_346_lociStitched	chr1(.):24709969-24720672	1.4619
2_MACS_peak_348_lociStitched	chr1(.):24739257-24743768	0.7418
1_MACS_peak_350_lociStitched	chr1(.):24807212-24808801	0.6589
1_MACS_peak_351_lociStitched	chr1(.):24827395-24830538	1.6565
1_MACS_peak_352_lociStitched	chr1(.):24861179-24862365	0.9348
1_MACS_peak_353_lociStitched	chr1(.):24910293-24911368	0.4414
1_MACS_peak_354_lociStitched	chr1(.):24967955-24971017	2.17
2_MACS_peak_355_lociStitched	chr1(.):25048641-25054957	0.4428
2_MACS_peak_357_lociStitched	chr1(.):25069714-25076527	1.7265
1_MACS_peak_359_lociStitched	chr1(.):25174290-25175711	0.6215
1_MACS_peak_360_lociStitched	chr1(.):25254409-25257793	2.2594
1_MACS_peak_361_lociStitched	chr1(.):25290805-25292823	1.461
3_MACS_peak_362_lociStitched	chr1(.):25346964-25364674	1.1288
4_MACS_peak_365_lociStitched	chr1(.):25558135-25574988	0.683
1_MACS_peak_369_lociStitched	chr1(.):25592609-25595255	2.4319
1_MACS_peak_370_lociStitched	chr1(.):25663162-25665865	2.725
1_MACS_peak_371_lociStitched	chr1(.):25755972-25758561	0.8402
2_MACS_peak_372_lociStitched	chr1(.):25798564-25800716	0.4723
2_MACS_peak_374_lociStitched	chr1(.):25869402-25878689	2.0104
1_MACS_peak_376_lociStitched	chr1(.):25887643-25890363	1.8315
3_MACS_peak_377_lociStitched	chr1(.):25942077-25947931	0.9401
1_MACS_peak_380_lociStitched	chr1(.):25958179-25959478	0.5856
1_MACS_peak_381_lociStitched	chr1(.):25967746-25970246	1.8061
1_MACS_peak_382_lociStitched	chr1(.):26001302-26003744	0.7186
2_MACS_peak_383_lociStitched	chr1(.):26125813-26127611	0.6841
1_MACS_peak_385_lociStitched	chr1(.):26145561-26148236	1.4574
1_MACS_peak_386_lociStitched	chr1(.):26185001-26186661	0.7578
1_MACS_peak_387_lociStitched	chr1(.):26201249-26202362	0.4586
1_MACS_peak_388_lociStitched	chr1(.):26231064-26233400	1.7743
1_MACS_peak_389_lociStitched	chr1(.):26323114-26325648	1.1
1_MACS_peak_390_lociStitched	chr1(.):26361578-26362985	0.7193
1_MACS_peak_391_lociStitched	chr1(.):26436743-26439677	2.2297
2_MACS_peak_392_lociStitched	chr1(.):26445813-26453935	0.4621
1_MACS_peak_394_lociStitched	chr1(.):26495991-26497174	0.8939
1_MACS_peak_395_lociStitched	chr1(.):26559748-26562123	1.2556
1_MACS_peak_396_lociStitched	chr1(.):26578346-26580143	0.5725
2_MACS_peak_397_lociStitched	chr1(.):26605234-26614587	0.5383
1_MACS_peak_399_lociStitched	chr1(.):26632090-26634931	1.4638
1_MACS_peak_400_lociStitched	chr1(.):26641457-26642862	0.4905
1_MACS_peak_401_lociStitched	chr1(.):26662355-26663707	0.5905
1_MACS_peak_402_lociStitched	chr1(.):26758005-26759551	0.6952
1_MACS_peak_403_lociStitched	chr1(.):26797779-26800607	2.7939
1_MACS_peak_404_lociStitched	chr1(.):26826115-26828796	3.3605
1_MACS_peak_405_lociStitched	chr1(.):26856182-26857254	0.6528
2_MACS_peak_406_lociStitched	chr1(.):26865881-26873130	1.1777
1_MACS_peak_408_lociStitched	chr1(.):26945910-26948719	4.4696
1_MACS_peak_409_lociStitched	chr1(.):27018179-27031125	2.4446
3_MACS_peak_410_lociStitched	chr1(.):27061593-27072435	0.9811
1_MACS_peak_413_lociStitched	chr1(.):27112533-27116190	4.6031
1_MACS_peak_414_lociStitched	chr1(.):27126180-27127644	0.6119
1_MACS_peak_415_lociStitched	chr1(.):27136456-27137318	0.3622
5_MACS_peak_416_lociStitched	chr1(.):27146990-27167162	0.5379
1_MACS_peak_421_lociStitched	chr1(.):27190340-27193169	3.7487
1_MACS_peak_422_lociStitched	chr1(.):27215683-27217562	1.1041
1_MACS_peak_423_lociStitched	chr1(.):27226079-27227817	1.162
1_MACS_peak_424_lociStitched	chr1(.):27247399-27249056	0.8941
1_MACS_peak_425_lociStitched	chr1(.):27285923-27287526	0.916
1_MACS_peak_426_lociStitched	chr1(.):27396507-27397924	0.6199
1_MACS_peak_427_lociStitched	chr1(.):27463123-27464271	0.5761
1_MACS_peak_428_lociStitched	chr1(.):27480773-27482464	1.0605
1_MACS_peak_429_lociStitched	chr1(.):27560127-27562540	0.6048
1_MACS_peak_430_lociStitched	chr1(.):27648239-27649700	0.913
2_MACS_peak_431_lociStitched	chr1(.):27667628-27676728	0.3704
1_MACS_peak_433_lociStitched	chr1(.):27692114-27693886	0.8848
1_MACS_peak_434_lociStitched	chr1(.):27717929-27719932	0.743
1_MACS_peak_435_lociStitched	chr1(.):27744172-27745724	0.8378
2_MACS_peak_436_lociStitched	chr1(.):27762089-27766313	0.8013
1_MACS_peak_438_lociStitched	chr1(.):27815518-27817762	3.1184
1_MACS_peak_439_lociStitched	chr1(.):27826245-27827344	0.5708
1_MACS_peak_440_lociStitched	chr1(.):27883179-27884689	0.6125
1_MACS_peak_441_lociStitched	chr1(.):27929433-27930430	0.3852
1_MACS_peak_442_lociStitched	chr1(.):27960280-27961339	0.4706
2_MACS_peak_443_lociStitched	chr1(.):27985173-27989895	0.7124
1_MACS_peak_445_lociStitched	chr1(.):27998130-27999628	0.8615
1_MACS_peak_446_lociStitched	chr1(.):28051553-28053699	0.7574
1_MACS_peak_447_lociStitched	chr1(.):28098685-28100686	0.7612
1_MACS_peak_448_lociStitched	chr1(.):28156320-28158317	1.4343
2_MACS_peak_449_lociStitched	chr1(.):28195113-28199733	0.3643
1_MACS_peak_451_lociStitched	chr1(.):28240163-28241912	1.4592
1_MACS_peak_452_lociStitched	chr1(.):28285524-28287463	1.207
2_MACS_peak_453_lociStitched	chr1(.):28352424-28363913	1.0072
2_MACS_peak_455_lociStitched	chr1(.):28389887-28396966	0.2943
1_MACS_peak_457_lociStitched	chr1(.):28413820-28416219	1.1101
1_MACS_peak_458_lociStitched	chr1(.):28473854-28475435	0.7028
2_MACS_peak_459_lociStitched	chr1(.):28495130-28500158	0.4393
2_MACS_peak_461_lociStitched	chr1(.):28558544-28563904	1.2705
1_MACS_peak_463_lociStitched	chr1(.):28570069-28577218	1.9249
1_MACS_peak_464_lociStitched	chr1(.):28584915-28587473	0.8396
1_MACS_peak_465_lociStitched	chr1(.):28654751-28656586	1.8481
1_MACS_peak_466_lociStitched	chr1(.):28695336-28697385	2.5752
1_MACS_peak_467_lociStitched	chr1(.):28743777-28744851	0.4479
1_MACS_peak_468_lociStitched	chr1(.):28763940-28765378	0.6251
2_MACS_peak_469_lociStitched	chr1(.):28827008-28837017	1.3615
1_MACS_peak_471_lociStitched	chr1(.):28844081-28846078	1.5782
1_MACS_peak_472_lociStitched	chr1(.):28878361-28880988	2.5349
2_MACS_peak_473_lociStitched	chr1(.):28906087-28914513	1.3282
1_MACS_peak_475_lociStitched	chr1(.):28924473-28929626	1.3914
1_MACS_peak_476_lociStitched	chr1(.):28957782-28959339	0.5422
2_MACS_peak_477_lociStitched	chr1(.):28968283-28976178	1.2598
2_MACS_peak_479_lociStitched	chr1(.):28994346-28996895	2.3487
1_MACS_peak_481_lociStitched	chr1(.):29062273-29064658	2.0103
1_MACS_peak_482_lociStitched	chr1(.):29101455-29102507	0.5111
2_MACS_peak_483_lociStitched	chr1(.):29210490-29214897	1.3553
1_MACS_peak_485_lociStitched	chr1(.):29240161-29242495	0.8861
1_MACS_peak_486_lociStitched	chr1(.):29252329-29255610	1.1101
1_MACS_peak_487_lociStitched	chr1(.):29506774-29509845	3.1767
1_MACS_peak_488_lociStitched	chr1(.):29556758-29558093	0.6141
1_MACS_peak_489_lociStitched	chr1(.):30347435-30350625	0.69
1_MACS_peak_490_lociStitched	chr1(.):30369981-30370672	0.5041
1_MACS_peak_491_lociStitched	chr1(.):30901359-30903346	0.6068
1_MACS_peak_492_lociStitched	chr1(.):30995747-30997340	0.512
