GENE_ID	locusLine	bin_1_36_0EXO_0229Kronos_MM1S-No-Treatment-2_Input_hs_i78.bam
NM_025058	chr1(.):155141359-155162445	0.2002
NR_030281	chr1(.):155159967-155170063	0.1647
NM_001005742	chr1(.):155199238-155219653	0.193
NM_001171812	chr1(.):155199238-155216066	0.2077
NM_000157	chr1(.):155199238-155216069	0.2077
NR_026549	chr1(.):156334002-156360011	0.1821
NM_001008800	chr1(.):156273751-156313206	0.1854
NM_144627	chr1(.):156302104-156321785	0.227
NM_006365	chr1(.):156369054-156404184	0.1879
NR_029691	chr1(.):156385132-156395221	0.2235
NM_198427	chr1(.):156606739-156628264	0.1861
NM_001105669	chr1(.):156544518-156561562	0.2093
NM_144772	chr1(.):156556557-156569091	0.2294
NM_015590	chr1(.):156559279-156576270	0.2498
NM_021817	chr1(.):156584085-156600517	0.193
NM_004494	chr1(.):156706898-156726543	0.2419
NM_001126051	chr1(.):156706898-156727024	0.2389
NM_001126050	chr1(.):156706898-156727240	0.2384
NM_030980	chr1(.):156687412-156702705	0.2455
NM_001878	chr1(.):156664407-156680375	0.1733
NM_001142560	chr1(.):156693262-156711752	0.257
NM_145729	chr1(.):156702093-156715923	0.213
NM_006617	chr1(.):156633555-156652189	0.1816
NM_001012331	chr1(.):156825670-156856642	0.166
NM_003975	chr1(.):156771034-156791640	0.1866
NM_001080471	chr1(.):156858522-156891226	0.1652
NM_014215	chr1(.):156805664-156833666	0.1678
NM_001161443	chr1(.):156771034-156790939	0.186
NM_001007792	chr1(.):156780541-156856642	0.1723
NR_030527	chr1(.):156900922-156911036	0.1446
NM_001766	chr1(.):158144736-158161216	0.1748
NR_033946	chr1(.):158096833-158115430	0.1547
NM_001001432	chr1(.):201323141-201351805	0.1399
NM_003281	chr1(.):201367894-201395874	0.1487
NM_005558	chr1(.):201344965-201373669	0.1333
NM_080588	chr1(.):202111142-202134119	0.2016
NR_002930	chr1(.):202132178-202163577	0.1663
NM_002832	chr1(.):202111142-202134751	0.1996
NM_001160331	chr1(.):204908353-204996950	0.1548
NM_005076	chr1(.):205007339-205052138	0.155
NR_002834	chr1(.):228775656-228793159	0.2394
NM_194248	chr2(.):26675070-26786566	0.1034
NM_052902	chr2(.):220457595-220486173	0.1033
NM_005876	chr2(.):220294699-220363354	0.1044
NM_001029881	chr2(.):26799072-26869211	0.1008
NM_001105519	chr2(.):26780480-26807395	0.1213
NM_032309	chr2(.):113337035-113351617	0.1486
NM_005415	chr2(.):113398526-113426400	0.1327
NR_033871	chr2(.):113394406-113406757	0.1549
NM_017431	chr2(.):219682105-219701512	0.0954
NM_025216	chr2(.):219740254-219763651	0.2281
NM_006522	chr2(.):219719545-219743954	0.117
NR_015390	chr2(.):219836005-219847644	0.109
NM_002181	chr2(.):219914141-219930238	0.1019
NM_057093	chr2(.):219849911-219863127	0.1133
NR_029867	chr2(.):219861366-219871430	0.1016
NM_152389	chr2(.):219893413-219911245	0.1227
NM_194302	chr2(.):219862575-219911245	0.1113
NM_003936	chr2(.):219819397-219831877	0.0899
NM_005209	chr2(.):219849911-219863121	0.1133
NM_017521	chr2(.):219840808-219855379	0.1022
NR_036081	chr2(.):219918409-219928472	0.0899
NM_012100	chr2(.):220233179-220257662	0.1163
NM_001173476	chr2(.):220320533-220336584	0.0997
NM_001927	chr2(.):220278098-220296461	0.0869
NM_013335	chr2(.):220358586-220376718	0.1308
NM_001005209	chr2(.):220403744-220420317	0.1187
NM_018674	chr2(.):220373891-220408494	0.1095
NM_015311	chr2(.):220410449-220441268	0.0932
NM_205847	chr2(.):220358616-220376718	0.1305
NM_024536	chr2(.):220398668-220413487	0.1206
NM_001173431	chr2(.):220414871-220441268	0.0932
NM_002191	chr2(.):220431953-220445427	0.088
NR_036082	chr2(.):220408794-220418869	0.096
NM_001195731	chr2(.):220398668-220412819	0.1203
NM_001173408	chr2(.):220421437-220441268	0.0945
NM_201574	chr2(.):220487291-220511702	0.1028
NM_003549	chr3(.):50325261-50341899	0.1717
NM_001165035	chr3(.):13605239-13684922	0.0734
NM_001998	chr3(.):13585624-13684922	0.0736
NR_027103	chr3(.):13687220-13793132	0.0893
NM_000094	chr3(.):48596505-48637593	0.1027
NM_004186	chr3(.):50187847-50231508	0.1117
NM_001174051	chr3(.):50395230-50545892	0.0929
NM_004443	chr3(.):184274586-184305196	0.1701
NR_002582	chr3(.):12876810-12886949	0.1599
NM_001007073	chr3(.):12871443-12888081	0.14
NM_004567	chr3(.):48550116-48599227	0.108
NR_031756	chr3(.):48611334-48621410	0.1211
NM_033199	chr3(.):48594150-48606201	0.1248
NM_001008269	chr3(.):48653274-48664189	0.1027
NM_022911	chr3(.):48658155-48677926	0.1245
NM_001040454	chr3(.):48658155-48676279	0.126
NM_003365	chr3(.):48631431-48652098	0.125
NM_001166425	chr3(.):50279325-50301786	0.1317
NM_006841	chr3(.):50237691-50263406	0.1131
NM_153215	chr3(.):50311517-50330545	0.1299
NM_006764	chr3(.):50320162-50335026	0.1376
NM_002070	chr3(.):50268646-50301786	0.1361
NM_004636	chr3(.):50300039-50319572	0.1122
NM_000172	chr3(.):50224042-50240129	0.1186
NM_153282	chr3(.):50332319-50346004	0.1367
NM_153281	chr3(.):50332319-50354812	0.119
NM_007275	chr3(.):50357340-50370668	0.1318
NM_012191	chr3(.):50328832-50341712	0.196
NM_003773	chr3(.):50350220-50365281	0.131
NM_006545	chr3(.):50379918-50393486	0.154
NM_007182	chr3(.):50362216-50383367	0.1319
NM_007022	chr3(.):50383296-50396496	0.1622
NM_007024	chr3(.):50387179-50401939	0.1581
NM_015896	chr3(.):50373536-50388156	0.1566
NM_170712	chr3(.):50362216-50380664	0.1309
NM_170713	chr3(.):50362216-50379895	0.1328
NM_016173	chr3(.):50601908-50627421	0.1302
NM_001171743	chr3(.):50590455-50610223	0.1254
NM_001171741	chr3(.):50590455-50613458	0.1201
NM_153330	chr3(.):128176281-128191091	0.1003
NR_026954	chr3(.):128221677-128234429	0.105
NM_032638	chr3(.):128193264-128217030	0.095
NM_001145662	chr3(.):128193264-128211764	0.0985
NM_001145661	chr3(.):128193264-128212373	0.097
NM_003741	chr3(.):184092860-184112617	0.1632
NM_001177597	chr3(.):184084772-184100932	0.181
NR_003055	chr3(.):184038483-184048559	0.1562
NM_001171087	chr3(.):184058975-184084391	0.1821
NM_006232	chr3(.):184076193-184091363	0.21
NM_144635	chr3(.):184050275-184069063	0.1723
NM_001171093	chr3(.):184048716-184069063	0.1736
NM_004532	chr3(.):195468637-195544148	0.155
NM_006527	chr4(.):1689526-1719030	0.1202
NM_000087	chr4(.):47932993-48019961	0.1057
NM_001163213	chr4(.):1790038-1815599	0.0743
NM_001127266	chr4(.):1712678-1728084	0.132
NM_006342	chr4(.):1718265-1751897	0.1069
NM_001528	chr4(.):3438725-3456213	0.077
NM_173660	chr4(.):3460032-3501209	0.0853
NM_002337	chr4(.):3509289-3539224	0.0776
NM_000683	chr4(.):3763295-3775253	0.0392
NR_034136	chr4(.):3670319-3684582	0.068
NM_001014448	chr4(.):8589386-8626488	0.0608
NM_080819	chr4(.):8577290-8594520	0.0706
NM_001105662	chr4(.):9240604-9252197	0.329
NM_001105662	chr4(.):9254849-9266442	0.2607
NM_001105662	chr4(.):9264344-9275937	0.2266
NM_001105662	chr4(.):9212130-9223723	0.2721
NM_001105662	chr4(.):9359854-9371447	0.2513
NR_027279	chr4(.):9364599-9375796	0.1905
NM_001105662	chr4(.):9326636-9338229	0.2841
NM_001105662	chr4(.):9336128-9347721	0.2431
NM_001105662	chr4(.):9350363-9361956	0.259
NM_001105662	chr4(.):9355108-9366701	0.2496
NM_207330	chr4(.):48013790-48044080	0.1117
NM_133369	chr5(.):176232559-176312899	0.0837
NM_002115	chr5(.):176302869-176331333	0.098
NM_002082	chr5(.):176848686-176874850	0.1801
NM_203352	chr5(.):176905394-176929602	0.1247
NM_030567	chr5(.):176868795-176888287	0.1657
NM_000505	chr5(.):176824138-176841577	0.1689
NM_080881	chr5(.):176878613-176904871	0.1208
NM_024872	chr5(.):176925750-176941858	0.1371
NM_016222	chr5(.):176933577-176948967	0.1346
NM_004395	chr5(.):176878613-176905694	0.1223
NM_001174102	chr5(.):176870325-176888283	0.1717
NM_001144876	chr5(.):176923905-176942427	0.1424
NM_004197	chr6(.):31976517-31986961	0.1079
NM_000841	chr6(.):33984627-34106443	0.0912
NM_005516	chr6(.):30452182-30466982	0.1443
NR_001284	chr6(.):31971196-31985800	0.1218
NR_026717	chr6(.):31933951-31954223	0.132
NM_005510	chr6(.):31932587-31945032	0.1487
NM_001002029	chr6(.):31944833-31975458	0.1182
NM_032470	chr6(.):31971196-31986050	0.1213
NM_006929	chr6(.):31921580-31942532	0.1557
NM_000500	chr6(.):31968347-31981684	0.1143
NM_007293	chr6(.):31944833-31975457	0.1182
NM_002904	chr6(.):31914863-31931864	0.1436
NM_004197	chr6(.):31934645-31954223	0.1331
NR_031601	chr6(.):31919615-31929717	0.1613
NM_001710	chr6(.):31908720-31924861	0.1274
NM_001002029	chr6(.):31977571-32008195	0.1163
NM_001136153	chr6(.):32078044-32101017	0.1428
NM_000500	chr6(.):32001081-32014419	0.1246
NM_022110	chr6(.):32091483-32103067	0.1739
NM_019105	chr6(.):32003931-32082151	0.1126
NM_032470	chr6(.):32003931-32018905	0.1261
NM_007293	chr6(.):31977571-32008194	0.1163
NM_138717	chr6(.):32116300-32136452	0.1187
NM_030651	chr6(.):32111139-32124720	0.1333
NM_005155	chr6(.):32116621-32136452	0.1165
NR_037169	chr6(.):32115578-32127142	0.1344
NM_001184698	chr6(.):33757448-33776793	0.1079
NM_001143944	chr6(.):33733989-33759719	0.1361
NM_181336	chr6(.):33733989-33761906	0.133
NR_031681	chr6(.):33962748-33972828	0.1158
NM_005586	chr6(.):41601194-41626982	0.0885
NM_001078177	chr6(.):44186362-44206888	0.1249
NM_178148	chr6(.):44216837-44230283	0.1768
NM_001078174	chr6(.):44182241-44206888	0.1214
NM_020745	chr6(.):44261462-44286063	0.1145
NM_182539	chr6(.):44242896-44270458	0.0944
NM_001137560	chr6(.):44233479-44252182	0.1196
NM_001078175	chr6(.):44186295-44206888	0.1249
NM_004556	chr6(.):44220902-44238525	0.1934
NM_007355	chr6(.):44209848-44226614	0.2013
NM_001134395	chr7(.):1031622-1182893	0.0757
NM_130843	chr7(.):157326749-158385482	0.1016
NM_001100390	chr7(.):2593631-2659368	0.0917
NM_133463	chr7(.):2714162-2760069	0.1009
NM_003088	chr7(.):5627453-5651286	0.093
NM_172084	chr7(.):44251748-44370230	0.0977
NM_004444	chr7(.):100395186-100430143	0.1039
NM_022742	chr7(.):128427098-128467183	0.1752
NM_001099220	chr7(.):149530508-149569568	0.1724
NM_001098834	chr7(.):150840675-150869867	0.1535
NM_182491	chr7(.):1187542-1204855	0.1054
NM_001080461	chr7(.):1267653-1281613	0.0384
NM_182924	chr7(.):1468994-1504109	0.0883
NM_002304	chr7(.):2552496-2573063	0.092
NM_152743	chr7(.):2572443-2600392	0.0923
NM_001166355	chr7(.):2547162-2573063	0.09
NM_001040168	chr7(.):2554478-2573810	0.0845
NM_001040167	chr7(.):2554478-2573063	0.0866
NM_025250	chr7(.):2666602-2709436	0.0743
NM_006555	chr7(.):44235577-44258893	0.1159
NM_000162	chr7(.):44178869-44234022	0.1118
NM_152755	chr7(.):99712264-99728128	0.1686
NM_203397	chr7(.):99719319-99731121	0.1721
NM_005641	chr7(.):99699692-99721995	0.1401
NM_001190415	chr7(.):99699692-99722481	0.14
NM_139315	chr7(.):99699692-99722021	0.1404
NM_018275	chr7(.):99747042-99761302	0.1083
NM_024070	chr7(.):99811870-99824111	0.1968
NM_012447	chr7(.):99770537-99817010	0.1453
NM_152742	chr7(.):99762228-99779990	0.1317
NM_001008395	chr7(.):99741529-99756833	0.1314
NM_024637	chr7(.):99751864-99771373	0.1194
NM_002319	chr7(.):100166633-100188776	0.1231
NM_016188	chr7(.):100235725-100259084	0.0944
NM_003227	chr7(.):100213038-100244173	0.105
NM_001040097	chr7(.):100204724-100218000	0.1432
NM_001040098	chr7(.):100205052-100218000	0.1448
NM_002593	chr7(.):100194881-100210798	0.1323
NM_033506	chr7(.):100178955-100203740	0.1351
NM_001163499	chr7(.):100182195-100203740	0.1378
NM_001040099	chr7(.):100205113-100218000	0.1441
NM_001168682	chr7(.):100164852-100176270	0.0962
NM_005837	chr7(.):100298675-100310123	0.1344
NM_000799	chr7(.):100313422-100326323	0.1222
NM_003386	chr7(.):100326248-100400419	0.0865
NM_022574	chr7(.):100272129-100291870	0.1027
NM_005273	chr7(.):100266362-100281792	0.1006
NM_020246	chr7(.):100445357-100469634	0.1008
NM_003302	chr7(.):100459949-100476076	0.1207
NM_015908	chr7(.):100467700-100491285	0.1258
NM_001164462	chr7(.):100607903-100667230	0.1167
NM_001165413	chr7(.):100765378-100787547	0.1162
NM_001040105	chr7(.):100658363-100707140	0.0946
NM_030961	chr7(.):100723785-100738889	0.1115
NM_001185080	chr7(.):100870372-100887101	0.0869
NM_016068	chr7(.):100877892-100893371	0.1203
NM_014343	chr7(.):100870372-100886227	0.0834
NM_006349	chr7(.):100855984-100872471	0.1185
NM_198571	chr7(.):100808773-100828557	0.12
NM_001084	chr7(.):100844257-100866011	0.1183
NM_003378	chr7(.):100800789-100813852	0.109
NM_178176	chr7(.):100834012-100849302	0.103
NM_001283	chr7(.):100792685-100809557	0.1115
NM_001130820	chr7(.):100951647-100970093	0.1144
NM_001458	chr7(.):128465482-128504328	0.1834
NM_001195150	chr7(.):128501463-128517101	0.2137
NM_001198909	chr7(.):128497856-128510903	0.2446
NM_198455	chr7(.):149468130-149536053	0.1455
NM_207336	chr7(.):149456452-149475295	0.145
NR_027040	chr7(.):149559782-149575951	0.1863
NM_001100592	chr7(.):149565056-149582738	0.1722
NM_001142459	chr7(.):150867784-150889478	0.1362
NM_080871	chr7(.):150867784-150889919	0.1368
NM_019015	chr7(.):150924584-150940905	0.1794
NM_003078	chr7(.):150931058-150979231	0.1654
NM_001003802	chr7(.):150931058-150978820	0.1658
NM_005692	chr7(.):150899922-150929317	0.1726
NM_001003801	chr7(.):150931058-150950749	0.1602
NR_030407	chr7(.):150930506-150940624	0.1523
NM_198285	chr7(.):151073206-151112124	0.1312
NM_016118	chr7(.):151033857-151080532	0.165
NR_034012	chr7(.):151101321-151115132	0.1495
NM_144727	chr7(.):151122055-151142099	0.16
NR_037468	chr7(.):151125574-151135725	0.1953
NM_000193	chr7(.):155590557-155609967	0.0893
NM_001172357	chr8(.):22014183-22026991	0.1429
NM_014629	chr8(.):1767148-1911807	0.0779
NM_182795	chr8(.):21877353-21899408	0.108
NM_005607	chr8(.):141663501-142016332	0.0949
NM_015201	chr8(.):145481055-145520120	0.0732
NM_001134374	chr8(.):145081581-145107015	0.1105
NM_014867	chr8(.):1917043-1960109	0.0777
NM_001136572	chr8(.):7416309-7445175	0.1016
NM_001136572	chr8(.):7408659-7422234	0.067
NM_003867	chr8(.):21895427-21911319	0.096
NM_025232	chr8(.):21990532-22004448	0.1549
NM_001114137	chr8(.):21906080-21945036	0.0939
NM_001114135	chr8(.):21910375-21945036	0.0918
NM_001978	chr8(.):21911685-21945036	0.091
NM_001114139	chr8(.):21907327-21945036	0.0949
NM_024815	chr8(.):21959382-21971932	0.1146
NM_018411	chr8(.):21966931-21993565	0.0979
NM_022749	chr8(.):21941713-21966891	0.1101
NM_139278	chr8(.):21999342-22019344	0.1117
NM_006129	chr8(.):22017652-22074840	0.1126
NM_032611	chr8(.):142427006-142446620	0.0602
NM_005293	chr8(.):142361586-142382365	0.0793
NR_024441	chr8(.):142345647-142359720	0.0966
NM_015193	chr8(.):143687409-143700833	0.0605
NM_182706	chr8(.):144868089-144902549	0.0865
NM_031308	chr8(.):144934911-144952434	0.105
NM_001136033	chr8(.):144893552-144916196	0.1168
NM_178564	chr8(.):144910754-144928146	0.1032
NM_078480	chr8(.):144893546-144916537	0.1169
NR_030633	chr8(.):144890126-144900212	0.1127
NM_201378	chr8(.):144984320-145052697	0.1079
NM_032789	chr8(.):145046319-145065635	0.138
NM_000445	chr8(.):144984320-145055913	0.111
NM_201381	chr8(.):144984320-145023905	0.1107
NM_201382	chr8(.):144984320-145023110	0.1121
NM_201383	chr8(.):144984320-145021692	0.1126
NM_001009184	chr8(.):145059225-145072583	0.1193
NM_201384	chr8(.):144984320-145018758	0.1138
NR_030383	chr8(.):145014358-145024447	0.1354
NM_001916	chr8(.):145144959-145157428	0.1315
NM_019037	chr8(.):145128521-145140551	0.1409
NM_030974	chr8(.):145148535-145164140	0.1392
NM_032272	chr8(.):145154304-145167515	0.1215
NM_017570	chr8(.):145101166-145120584	0.0807
NM_003801	chr8(.):145132523-145146119	0.136
NM_005526	chr8(.):145510269-145543385	0.1318
NM_012079	chr8(.):145533246-145555567	0.1106
NR_030635	chr8(.):145614363-145624445	0.0941
NM_031309	chr8(.):145549453-145564943	0.092
NM_024531	chr8(.):145577224-145589946	0.1207
NR_015428	chr8(.):145571885-145583505	0.1198
NM_012162	chr8(.):145574090-145587132	0.1146
NM_174922	chr8(.):145592730-145623453	0.1115
NM_139025	chr9(.):136282119-136329508	0.108
NR_024514	chr9(.):136274458-136329508	0.1104
NM_016734	chr9(.):36833530-37039476	0.1004
NM_004878	chr9(.):132495614-132520344	0.0995
NM_199350	chr9(.):132369503-132388055	0.1194
NM_006059	chr9(.):133879503-133973446	0.0938
NM_007313	chr9(.):133584267-133768062	0.0896
NM_005085	chr9(.):133995980-134114091	0.1168
NM_004269	chr9(.):134730498-134960253	0.0922
NM_000368	chr9(.):135761734-135825020	0.1003
NM_022779	chr9(.):135464675-135550788	0.0908
NM_152572	chr9(.):135595964-135759198	0.0929
NM_012087	chr9(.):135901061-135938890	0.0995
NM_002957	chr9(.):137213315-137337431	0.0668
NM_007101	chr9(.):136523683-136610077	0.0716
NM_001134707	chr9(.):136523683-136608479	0.0716
NM_000093	chr9(.):137528651-137741688	0.0694
NM_020822	chr9(.):138589030-138689993	0.058
NM_144653	chr9(.):138898202-138992131	0.0649
NM_017820	chr9(.):140196347-140322714	0.0939
NM_001173989	chr9(.):139697373-139733794	0.0931
NM_016219	chr9(.):139976416-140008639	0.1206
