GENE_ID	locusLine	bin_1_29_0F2F_0229Kronos_MM1S-KB-24hr-1_H3K27me3_hs-dm_i17.bam
1_MACS_peak_133_lociStitched	chr1(.):1630931-1631817	0.8943
2_MACS_peak_134_lociStitched	chr1(.):1842625-1844173	0.7357
4_MACS_peak_136_lociStitched	chr1(.):1845648-1851729	0.985
13_MACS_peak_140_lociStitched	chr1(.):1853431-1910422	1.2995
33_MACS_peak_153_lociStitched	chr1(.):1914207-2044853	1.2664
2_MACS_peak_186_lociStitched	chr1(.):2046305-2048802	0.9048
5_MACS_peak_188_lociStitched	chr1(.):2057689-2063720	0.876
7_MACS_peak_193_lociStitched	chr1(.):2065329-2078035	0.9968
10_MACS_peak_200_lociStitched	chr1(.):2080514-2117965	1.1706
7_MACS_peak_210_lociStitched	chr1(.):2129050-2158860	1.209
8_MACS_peak_217_lociStitched	chr1(.):2243737-2294416	1.6749
3_MACS_peak_225_lociStitched	chr1(.):2298440-2315688	1.5961
9_MACS_peak_228_lociStitched	chr1(.):2347366-2411425	1.391
8_MACS_peak_237_lociStitched	chr1(.):2414300-2435203	1.1371
6_MACS_peak_245_lociStitched	chr1(.):2458132-2473626	1.4434
1_MACS_peak_251_lociStitched	chr1(.):2484683-2485371	0.8057
7_MACS_peak_252_lociStitched	chr1(.):2497405-2515329	1.1428
7_MACS_peak_259_lociStitched	chr1(.):2518664-2531116	1.1643
5_MACS_peak_266_lociStitched	chr1(.):2532554-2546092	1.0152
1_MACS_peak_271_lociStitched	chr1(.):2547950-2548484	1.0439
1_MACS_peak_272_lociStitched	chr1(.):2552148-2558048	1.0846
3_MACS_peak_273_lociStitched	chr1(.):2559065-2565546	1.0817
1_MACS_peak_276_lociStitched	chr1(.):2566553-2566891	0.6769
1_MACS_peak_277_lociStitched	chr1(.):2567949-2569155	0.854
2_MACS_peak_278_lociStitched	chr1(.):2575370-2578100	0.8762
1_MACS_peak_280_lociStitched	chr1(.):2581144-2581962	0.7681
1_MACS_peak_290_lociStitched	chr1(.):2685470-2691966	1.3394
1_MACS_peak_291_lociStitched	chr1(.):2693174-2694006	0.622
1_MACS_peak_292_lociStitched	chr1(.):2695048-2695482	0.7545
3_MACS_peak_293_lociStitched	chr1(.):2700086-2702980	0.9153
4_MACS_peak_296_lociStitched	chr1(.):2704843-2708488	0.6889
1_MACS_peak_300_lociStitched	chr1(.):2713869-2714213	0.6008
3_MACS_peak_301_lociStitched	chr1(.):2715975-2734855	1.2061
6_MACS_peak_304_lociStitched	chr1(.):2736039-2743826	0.8811
8_MACS_peak_310_lociStitched	chr1(.):2744866-2759061	0.9205
3_MACS_peak_318_lociStitched	chr1(.):2760987-2767720	1.029
7_MACS_peak_321_lociStitched	chr1(.):2768983-2786436	1.0978
8_MACS_peak_328_lociStitched	chr1(.):2787646-2810848	1.165
1_MACS_peak_336_lociStitched	chr1(.):2812359-2812776	0.7192
9_MACS_peak_337_lociStitched	chr1(.):2816080-2831000	1.0121
5_MACS_peak_346_lociStitched	chr1(.):2833019-2854633	1.1793
1_MACS_peak_351_lociStitched	chr1(.):2857268-2857739	0.9035
3_MACS_peak_352_lociStitched	chr1(.):2862581-2869397	1.1833
2_MACS_peak_355_lociStitched	chr1(.):2877393-2880423	0.8593
6_MACS_peak_357_lociStitched	chr1(.):2883389-2890184	0.9153
3_MACS_peak_363_lociStitched	chr1(.):2895936-2902462	1.0653
4_MACS_peak_366_lociStitched	chr1(.):2903893-2909100	0.7855
5_MACS_peak_370_lociStitched	chr1(.):2915290-2923058	0.9128
4_MACS_peak_375_lociStitched	chr1(.):2925643-2941186	1.1409
1_MACS_peak_379_lociStitched	chr1(.):2943889-2950430	1.13
6_MACS_peak_380_lociStitched	chr1(.):2952078-2956968	0.8833
2_MACS_peak_386_lociStitched	chr1(.):2959520-2961221	0.7307
1_MACS_peak_388_lociStitched	chr1(.):2970719-2971565	0.9279
1_MACS_peak_389_lociStitched	chr1(.):2972567-2973081	0.7864
8_MACS_peak_390_lociStitched	chr1(.):2974453-3004399	1.1719
17_MACS_peak_398_lociStitched	chr1(.):3005450-3066197	1.1963
8_MACS_peak_415_lociStitched	chr1(.):3067684-3083879	1.1122
3_MACS_peak_423_lociStitched	chr1(.):3085158-3093046	1.2292
2_MACS_peak_426_lociStitched	chr1(.):3094125-3095981	0.8115
8_MACS_peak_428_lociStitched	chr1(.):3099642-3169118	1.3037
2_MACS_peak_436_lociStitched	chr1(.):3171797-3176689	0.9901
11_MACS_peak_438_lociStitched	chr1(.):3178178-3234963	1.226
1_MACS_peak_449_lociStitched	chr1(.):3236033-3236708	0.6202
6_MACS_peak_450_lociStitched	chr1(.):3238807-3252065	1.0802
2_MACS_peak_456_lociStitched	chr1(.):3254703-3259116	0.9686
2_MACS_peak_458_lociStitched	chr1(.):3260290-3261655	0.5569
8_MACS_peak_460_lociStitched	chr1(.):3264079-3292400	1.2692
1_MACS_peak_468_lociStitched	chr1(.):3294462-3294971	0.5432
13_MACS_peak_469_lociStitched	chr1(.):3296781-3364326	1.3077
9_MACS_peak_482_lociStitched	chr1(.):3365958-3393175	1.2922
15_MACS_peak_491_lociStitched	chr1(.):3394486-3488304	1.5578
11_MACS_peak_506_lociStitched	chr1(.):3489822-3536155	1.4437
1_MACS_peak_517_lociStitched	chr1(.):3567810-3568310	0.7797
5_MACS_peak_518_lociStitched	chr1(.):3666029-3690285	1.3379
1_MACS_peak_523_lociStitched	chr1(.):3716613-3718089	0.8515
1_MACS_peak_524_lociStitched	chr1(.):3720000-3721114	0.8072
1_MACS_peak_525_lociStitched	chr1(.):3832930-3833288	0.6454
2_MACS_peak_526_lociStitched	chr1(.):3834556-3836463	0.8304
3_MACS_peak_528_lociStitched	chr1(.):3840318-3842950	0.8671
8_MACS_peak_531_lociStitched	chr1(.):3996654-4010737	1.0211
3_MACS_peak_539_lociStitched	chr1(.):4012491-4020601	1.0533
3_MACS_peak_542_lociStitched	chr1(.):4022201-4024779	0.8225
1_MACS_peak_545_lociStitched	chr1(.):4030711-4031372	0.7281
10_MACS_peak_546_lociStitched	chr1(.):4035714-4049419	0.8479
10_MACS_peak_556_lociStitched	chr1(.):4052838-4064199	0.9248
2_MACS_peak_566_lociStitched	chr1(.):4070759-4072475	0.7404
4_MACS_peak_568_lociStitched	chr1(.):4075869-4083472	0.8387
1_MACS_peak_572_lociStitched	chr1(.):4100699-4101097	0.6841
2_MACS_peak_573_lociStitched	chr1(.):4107990-4109507	0.7904
9_MACS_peak_575_lociStitched	chr1(.):4110888-4123504	0.9154
5_MACS_peak_584_lociStitched	chr1(.):4131199-4135813	0.7552
1_MACS_peak_589_lociStitched	chr1(.):4137319-4138255	0.6364
9_MACS_peak_590_lociStitched	chr1(.):4141923-4150196	0.8418
1_MACS_peak_599_lociStitched	chr1(.):4151630-4152047	0.7931
2_MACS_peak_600_lociStitched	chr1(.):4154395-4156043	0.5149
3_MACS_peak_602_lociStitched	chr1(.):4164741-4170851	0.977
2_MACS_peak_605_lociStitched	chr1(.):4172193-4173440	0.753
1_MACS_peak_607_lociStitched	chr1(.):4175031-4175397	0.5188
6_MACS_peak_608_lociStitched	chr1(.):4176423-4195166	1.038
7_MACS_peak_614_lociStitched	chr1(.):4197155-4202621	0.7979
4_MACS_peak_621_lociStitched	chr1(.):4206800-4214862	0.9301
3_MACS_peak_625_lociStitched	chr1(.):4216334-4221618	0.8924
3_MACS_peak_628_lociStitched	chr1(.):4224205-4228747	0.8482
2_MACS_peak_631_lociStitched	chr1(.):4230885-4232762	0.8538
1_MACS_peak_633_lociStitched	chr1(.):4234309-4234644	0.6529
2_MACS_peak_634_lociStitched	chr1(.):4241313-4242589	0.7241
1_MACS_peak_636_lociStitched	chr1(.):4243836-4244178	0.7373
3_MACS_peak_637_lociStitched	chr1(.):4270911-4273342	0.6769
8_MACS_peak_640_lociStitched	chr1(.):4274488-4285622	0.8871
2_MACS_peak_648_lociStitched	chr1(.):4288500-4290035	0.6482
2_MACS_peak_650_lociStitched	chr1(.):4291478-4293308	0.6482
2_MACS_peak_652_lociStitched	chr1(.):4330228-4331567	0.7872
2_MACS_peak_654_lociStitched	chr1(.):4334445-4336047	0.7092
2_MACS_peak_656_lociStitched	chr1(.):4370183-4372023	0.7162
3_MACS_peak_658_lociStitched	chr1(.):4384894-4387157	0.5479
1_MACS_peak_661_lociStitched	chr1(.):4388976-4389346	0.8129
1_MACS_peak_662_lociStitched	chr1(.):4390464-4391064	0.7809
2_MACS_peak_663_lociStitched	chr1(.):4400551-4402050	0.6888
3_MACS_peak_665_lociStitched	chr1(.):4411007-4413477	0.7402
10_MACS_peak_668_lociStitched	chr1(.):4414484-4422415	0.7659
1_MACS_peak_678_lociStitched	chr1(.):4427067-4427711	0.7963
1_MACS_peak_679_lociStitched	chr1(.):4458026-4458744	0.7394
2_MACS_peak_680_lociStitched	chr1(.):4460139-4461299	0.6462
1_MACS_peak_682_lociStitched	chr1(.):4467674-4468522	0.8816
1_MACS_peak_683_lociStitched	chr1(.):4482706-4483340	0.728
1_MACS_peak_684_lociStitched	chr1(.):4494204-4494571	0.447
3_MACS_peak_685_lociStitched	chr1(.):4506766-4509840	0.634
1_MACS_peak_688_lociStitched	chr1(.):4511543-4512124	0.6232
1_MACS_peak_689_lociStitched	chr1(.):4515118-4515477	0.5379
3_MACS_peak_690_lociStitched	chr1(.):4519611-4521248	0.7673
1_MACS_peak_693_lociStitched	chr1(.):4540448-4541103	0.7817
2_MACS_peak_694_lociStitched	chr1(.):4545720-4547498	0.6209
3_MACS_peak_696_lociStitched	chr1(.):4557532-4559447	0.6773
2_MACS_peak_699_lociStitched	chr1(.):4561811-4564108	0.7214
1_MACS_peak_701_lociStitched	chr1(.):4569577-4569940	0.8212
5_MACS_peak_702_lociStitched	chr1(.):4575003-4579166	0.7701
1_MACS_peak_707_lociStitched	chr1(.):4584358-4584721	0.6897
3_MACS_peak_708_lociStitched	chr1(.):4586842-4589925	0.6684
1_MACS_peak_711_lociStitched	chr1(.):4622699-4623046	0.534
1_MACS_peak_712_lociStitched	chr1(.):4625347-4625704	0.8465
2_MACS_peak_713_lociStitched	chr1(.):4645257-4646983	0.7563
2_MACS_peak_715_lociStitched	chr1(.):4650310-4652467	0.7651
1_MACS_peak_717_lociStitched	chr1(.):4653577-4654232	0.7924
1_MACS_peak_718_lociStitched	chr1(.):4655303-4655962	0.7242
3_MACS_peak_719_lociStitched	chr1(.):4658551-4662170	0.9551
4_MACS_peak_722_lociStitched	chr1(.):4672001-4676152	0.8382
1_MACS_peak_726_lociStitched	chr1(.):4684292-4684846	0.8403
2_MACS_peak_727_lociStitched	chr1(.):4686634-4688814	0.7799
1_MACS_peak_729_lociStitched	chr1(.):4689983-4690327	0.6746
4_MACS_peak_730_lociStitched	chr1(.):4693299-4699043	1.0802
1_MACS_peak_734_lociStitched	chr1(.):4700988-4701346	0.7562
1_MACS_peak_735_lociStitched	chr1(.):4711393-4711704	0.5253
1_MACS_peak_736_lociStitched	chr1(.):4713171-4713895	0.8173
4_MACS_peak_737_lociStitched	chr1(.):4715897-4719970	0.8251
5_MACS_peak_741_lociStitched	chr1(.):4723726-4728782	0.8634
5_MACS_peak_746_lociStitched	chr1(.):4733000-4736758	0.6424
1_MACS_peak_751_lociStitched	chr1(.):4739953-4740309	0.4697
1_MACS_peak_752_lociStitched	chr1(.):4744703-4745033	0.7017
2_MACS_peak_753_lociStitched	chr1(.):4746187-4747166	0.6633
1_MACS_peak_755_lociStitched	chr1(.):4749472-4749915	0.6111
1_MACS_peak_756_lociStitched	chr1(.):4752695-4753377	0.8968
4_MACS_peak_757_lociStitched	chr1(.):4755339-4759517	0.6946
2_MACS_peak_761_lociStitched	chr1(.):4761470-4763208	0.7332
3_MACS_peak_763_lociStitched	chr1(.):4771130-4775765	0.8072
1_MACS_peak_766_lociStitched	chr1(.):4779237-4779778	0.951
8_MACS_peak_767_lociStitched	chr1(.):4787187-4796455	0.905
1_MACS_peak_775_lociStitched	chr1(.):4798831-4799120	0.6443
1_MACS_peak_776_lociStitched	chr1(.):4808066-4808564	0.7968
2_MACS_peak_777_lociStitched	chr1(.):4828398-4829513	0.6835
1_MACS_peak_779_lociStitched	chr1(.):4830702-4831038	0.4527
6_MACS_peak_780_lociStitched	chr1(.):4832584-4837348	0.7505
1_MACS_peak_786_lociStitched	chr1(.):4838679-4839009	0.657
1_MACS_peak_787_lociStitched	chr1(.):4841871-4842467	0.5439
1_MACS_peak_788_lociStitched	chr1(.):4844376-4844740	0.6991
1_MACS_peak_789_lociStitched	chr1(.):4846679-4847306	0.8289
1_MACS_peak_790_lociStitched	chr1(.):4848569-4848884	0.5283
1_MACS_peak_791_lociStitched	chr1(.):4891933-4892386	0.4419
1_MACS_peak_792_lociStitched	chr1(.):4925210-4925644	0.5739
1_MACS_peak_793_lociStitched	chr1(.):4955045-4955382	0.6331
1_MACS_peak_794_lociStitched	chr1(.):4956658-4956983	0.4557
1_MACS_peak_795_lociStitched	chr1(.):4973042-4973480	0.7084
1_MACS_peak_796_lociStitched	chr1(.):4989827-4990215	0.6394
1_MACS_peak_797_lociStitched	chr1(.):5018414-5018725	0.4628
1_MACS_peak_798_lociStitched	chr1(.):5021074-5021555	0.9769
1_MACS_peak_799_lociStitched	chr1(.):5031812-5032248	0.5333
3_MACS_peak_800_lociStitched	chr1(.):5033651-5037800	0.79
1_MACS_peak_803_lociStitched	chr1(.):5045792-5046695	1.0404
1_MACS_peak_804_lociStitched	chr1(.):5048038-5048570	0.6958
1_MACS_peak_805_lociStitched	chr1(.):5105000-5105411	0.7582
1_MACS_peak_806_lociStitched	chr1(.):5174710-5175057	0.5323
1_MACS_peak_807_lociStitched	chr1(.):5176474-5176878	0.5698
1_MACS_peak_808_lociStitched	chr1(.):5190823-5191163	0.696
1_MACS_peak_809_lociStitched	chr1(.):5194634-5195193	0.679
1_MACS_peak_810_lociStitched	chr1(.):5203080-5203427	0.4847
1_MACS_peak_811_lociStitched	chr1(.):5221735-5222173	0.6212
2_MACS_peak_812_lociStitched	chr1(.):5285315-5286759	0.776
2_MACS_peak_814_lociStitched	chr1(.):5298587-5300318	0.5767
1_MACS_peak_816_lociStitched	chr1(.):5325986-5327194	0.9235
1_MACS_peak_817_lociStitched	chr1(.):5332187-5332532	0.5965
2_MACS_peak_818_lociStitched	chr1(.):5334643-5335795	0.8543
1_MACS_peak_820_lociStitched	chr1(.):5337786-5338410	0.7803
3_MACS_peak_821_lociStitched	chr1(.):5354648-5358173	0.7799
1_MACS_peak_824_lociStitched	chr1(.):5367686-5369072	1.0086
2_MACS_peak_825_lociStitched	chr1(.):5370690-5372356	0.8075
1_MACS_peak_827_lociStitched	chr1(.):5373450-5374022	0.858
1_MACS_peak_828_lociStitched	chr1(.):5401280-5401976	0.6726
1_MACS_peak_829_lociStitched	chr1(.):5406726-5407209	0.9028
1_MACS_peak_830_lociStitched	chr1(.):5441983-5442412	0.7157
2_MACS_peak_831_lociStitched	chr1(.):5447164-5448253	0.5563
2_MACS_peak_833_lociStitched	chr1(.):5450359-5451997	0.6088
2_MACS_peak_835_lociStitched	chr1(.):5453139-5454293	0.6324
1_MACS_peak_837_lociStitched	chr1(.):5463602-5464048	0.8331
1_MACS_peak_838_lociStitched	chr1(.):5478334-5478695	0.5923
3_MACS_peak_839_lociStitched	chr1(.):5481525-5487785	0.9078
3_MACS_peak_842_lociStitched	chr1(.):5489170-5494213	0.9214
1_MACS_peak_845_lociStitched	chr1(.):5504512-5504920	0.7331
1_MACS_peak_846_lociStitched	chr1(.):5506058-5506415	0.5291
1_MACS_peak_847_lociStitched	chr1(.):5507610-5508330	0.6988
4_MACS_peak_848_lociStitched	chr1(.):5510278-5516482	0.8711
1_MACS_peak_852_lociStitched	chr1(.):5517734-5518094	0.6523
1_MACS_peak_853_lociStitched	chr1(.):5520003-5520506	0.7972
2_MACS_peak_854_lociStitched	chr1(.):5524192-5525682	0.6614
1_MACS_peak_856_lociStitched	chr1(.):5527154-5527657	0.5615
1_MACS_peak_857_lociStitched	chr1(.):5529451-5529785	0.5741
9_MACS_peak_858_lociStitched	chr1(.):5531201-5546644	0.9394
1_MACS_peak_867_lociStitched	chr1(.):5547835-5548257	0.8549
11_MACS_peak_868_lociStitched	chr1(.):5550486-5573810	0.9166
1_MACS_peak_879_lociStitched	chr1(.):5575295-5575873	0.7592
5_MACS_peak_880_lociStitched	chr1(.):5582235-5589240	0.9098
1_MACS_peak_885_lociStitched	chr1(.):5594224-5594675	0.5019
1_MACS_peak_886_lociStitched	chr1(.):5611086-5611409	0.5788
1_MACS_peak_887_lociStitched	chr1(.):5614590-5614924	0.5084
3_MACS_peak_888_lociStitched	chr1(.):5624095-5625556	0.7061
1_MACS_peak_891_lociStitched	chr1(.):5631400-5632291	0.9092
5_MACS_peak_892_lociStitched	chr1(.):5633368-5637167	0.6995
3_MACS_peak_897_lociStitched	chr1(.):5642881-5645521	0.8377
1_MACS_peak_900_lociStitched	chr1(.):5654045-5654412	0.6739
3_MACS_peak_901_lociStitched	chr1(.):5655739-5659947	0.8748
2_MACS_peak_904_lociStitched	chr1(.):5661461-5662899	0.7734
5_MACS_peak_906_lociStitched	chr1(.):5673956-5679095	0.8911
1_MACS_peak_911_lociStitched	chr1(.):5683160-5683795	0.7269
1_MACS_peak_912_lociStitched	chr1(.):5687075-5687461	0.6619
1_MACS_peak_913_lociStitched	chr1(.):5692404-5692977	0.8823
3_MACS_peak_914_lociStitched	chr1(.):5696893-5700212	0.7263
8_MACS_peak_917_lociStitched	chr1(.):5702283-5713555	0.8943
3_MACS_peak_925_lociStitched	chr1(.):5720258-5722707	0.8618
3_MACS_peak_933_lociStitched	chr1(.):5742922-5746654	0.7278
7_MACS_peak_936_lociStitched	chr1(.):5749749-5755131	0.8012
4_MACS_peak_943_lociStitched	chr1(.):5757514-5760968	0.7467
4_MACS_peak_947_lociStitched	chr1(.):5762951-5773934	0.9967
3_MACS_peak_951_lociStitched	chr1(.):5775785-5782853	0.9561
8_MACS_peak_954_lociStitched	chr1(.):5783900-5791428	0.7972
2_MACS_peak_962_lociStitched	chr1(.):5793338-5794194	0.7264
7_MACS_peak_964_lociStitched	chr1(.):5797063-5819771	1.1715
2_MACS_peak_971_lociStitched	chr1(.):5822010-5822750	0.6911
9_MACS_peak_973_lociStitched	chr1(.):5823833-5843492	0.9774
5_MACS_peak_982_lociStitched	chr1(.):5845689-5849241	0.8006
1_MACS_peak_987_lociStitched	chr1(.):5850451-5850842	0.7419
4_MACS_peak_988_lociStitched	chr1(.):5854965-5860342	1.0276
6_MACS_peak_992_lociStitched	chr1(.):5868475-5876680	0.8973
3_MACS_peak_998_lociStitched	chr1(.):5878076-5883257	1.0176
4_MACS_peak_1001_lociStitched	chr1(.):5886080-5889692	0.8428
1_MACS_peak_1005_lociStitched	chr1(.):5891272-5891576	0.8816
6_MACS_peak_1006_lociStitched	chr1(.):5892655-5913513	1.1383
3_MACS_peak_1012_lociStitched	chr1(.):6160405-6166601	0.9739
2_MACS_peak_1015_lociStitched	chr1(.):6168727-6175583	1.2273
9_MACS_peak_1017_lociStitched	chr1(.):6180796-6234012	1.5107
2_MACS_peak_1026_lociStitched	chr1(.):6236231-6241836	1.0156
2_MACS_peak_1028_lociStitched	chr1(.):6265694-6269873	1.0371
5_MACS_peak_1030_lociStitched	chr1(.):6271962-6276724	0.7709
7_MACS_peak_1035_lociStitched	chr1(.):6298796-6322632	1.415
5_MACS_peak_1042_lociStitched	chr1(.):6460500-6468727	0.8015
9_MACS_peak_1047_lociStitched	chr1(.):6470625-6530859	1.6911
7_MACS_peak_1056_lociStitched	chr1(.):6532745-6547911	1.1137
3_MACS_peak_1063_lociStitched	chr1(.):6554713-6573229	1.7894
10_MACS_peak_1066_lociStitched	chr1(.):6621814-6633520	0.8331
6_MACS_peak_1076_lociStitched	chr1(.):6766811-6779815	0.9964
1_MACS_peak_1082_lociStitched	chr1(.):6781347-6782060	0.8537
2_MACS_peak_1083_lociStitched	chr1(.):6783271-6787852	1.0782
3_MACS_peak_1085_lociStitched	chr1(.):6789633-6792450	0.8617
1_MACS_peak_1088_lociStitched	chr1(.):6793677-6795356	0.9293
3_MACS_peak_1089_lociStitched	chr1(.):6797091-6799909	0.7184
1_MACS_peak_1092_lociStitched	chr1(.):6801536-6801977	0.6341
3_MACS_peak_1093_lociStitched	chr1(.):6805898-6808368	0.7713
1_MACS_peak_1096_lociStitched	chr1(.):6812600-6813563	0.7923
1_MACS_peak_1097_lociStitched	chr1(.):6817361-6818517	0.9044
3_MACS_peak_1098_lociStitched	chr1(.):6819995-6822663	0.7004
1_MACS_peak_1101_lociStitched	chr1(.):7014304-7014674	0.8328
1_MACS_peak_1102_lociStitched	chr1(.):7015900-7016382	0.8121
2_MACS_peak_1103_lociStitched	chr1(.):7020567-7022367	0.7787
2_MACS_peak_1105_lociStitched	chr1(.):7023860-7027132	0.8035
2_MACS_peak_1107_lociStitched	chr1(.):7028255-7029222	0.5838
1_MACS_peak_1109_lociStitched	chr1(.):7031776-7032108	0.4562
3_MACS_peak_1110_lociStitched	chr1(.):7033746-7036462	0.766
1_MACS_peak_1113_lociStitched	chr1(.):7040316-7040689	0.6951
2_MACS_peak_1114_lociStitched	chr1(.):7044359-7046389	0.8979
2_MACS_peak_1116_lociStitched	chr1(.):7047491-7049399	0.8073
1_MACS_peak_1118_lociStitched	chr1(.):7063058-7063541	0.5574
2_MACS_peak_1119_lociStitched	chr1(.):7064968-7071675	1.0289
4_MACS_peak_1121_lociStitched	chr1(.):7078870-7082900	0.6925
1_MACS_peak_1125_lociStitched	chr1(.):7085869-7086545	0.6792
1_MACS_peak_1126_lociStitched	chr1(.):7094103-7095146	0.5986
16_MACS_peak_1127_lociStitched	chr1(.):7100621-7132288	0.9976
11_MACS_peak_1143_lociStitched	chr1(.):7142219-7162059	0.93
7_MACS_peak_1154_lociStitched	chr1(.):7166153-7173152	0.7346
9_MACS_peak_1161_lociStitched	chr1(.):7174673-7186226	0.7846
2_MACS_peak_1170_lociStitched	chr1(.):7187437-7188716	0.7074
1_MACS_peak_1172_lociStitched	chr1(.):7190042-7190537	0.767
2_MACS_peak_1173_lociStitched	chr1(.):7195013-7196991	0.7261
3_MACS_peak_1175_lociStitched	chr1(.):7203402-7206980	0.803
6_MACS_peak_1178_lociStitched	chr1(.):7208552-7218129	0.9444
5_MACS_peak_1184_lociStitched	chr1(.):7230567-7236658	0.8292
1_MACS_peak_1189_lociStitched	chr1(.):7239159-7239556	0.6051
7_MACS_peak_1190_lociStitched	chr1(.):7252105-7261320	0.8373
1_MACS_peak_1197_lociStitched	chr1(.):7264988-7265392	0.6335
2_MACS_peak_1198_lociStitched	chr1(.):7270171-7271644	0.7195
1_MACS_peak_1200_lociStitched	chr1(.):7274817-7275159	0.5274
1_MACS_peak_1201_lociStitched	chr1(.):7276203-7276842	0.7823
6_MACS_peak_1202_lociStitched	chr1(.):7278658-7299328	1.1302
10_MACS_peak_1208_lociStitched	chr1(.):7305863-7324878	0.9685
1_MACS_peak_1218_lociStitched	chr1(.):7340016-7340800	0.8094
3_MACS_peak_1219_lociStitched	chr1(.):7342278-7345281	0.8002
1_MACS_peak_1222_lociStitched	chr1(.):7347878-7349658	0.8342
3_MACS_peak_1223_lociStitched	chr1(.):7350887-7355755	0.973
1_MACS_peak_1226_lociStitched	chr1(.):7357718-7358059	0.5328
3_MACS_peak_1227_lociStitched	chr1(.):7359287-7362460	0.722
1_MACS_peak_1230_lociStitched	chr1(.):7371859-7372234	0.5537
7_MACS_peak_1231_lociStitched	chr1(.):7373288-7379795	0.7194
1_MACS_peak_1238_lociStitched	chr1(.):7385749-7386309	0.841
6_MACS_peak_1239_lociStitched	chr1(.):7389773-7398577	0.8371
7_MACS_peak_1245_lociStitched	chr1(.):7405699-7417273	1.0022
1_MACS_peak_1252_lociStitched	chr1(.):7420963-7421294	0.4113
1_MACS_peak_1253_lociStitched	chr1(.):7423706-7425243	0.8938
1_MACS_peak_1254_lociStitched	chr1(.):7426577-7426905	0.6296
6_MACS_peak_1255_lociStitched	chr1(.):7429606-7441302	0.9407
7_MACS_peak_1261_lociStitched	chr1(.):7443343-7452552	0.8749
3_MACS_peak_1268_lociStitched	chr1(.):7463608-7467151	0.8095
34_MACS_peak_1271_lociStitched	chr1(.):7477926-7552680	0.9928
3_MACS_peak_1305_lociStitched	chr1(.):7554256-7556553	0.8775
4_MACS_peak_1308_lociStitched	chr1(.):7560570-7563722	0.692
5_MACS_peak_1312_lociStitched	chr1(.):7566823-7576205	0.8559
1_MACS_peak_1317_lociStitched	chr1(.):7579109-7579524	0.572
7_MACS_peak_1318_lociStitched	chr1(.):7581395-7598151	1.0424
3_MACS_peak_1325_lociStitched	chr1(.):7601127-7604905	0.8021
1_MACS_peak_1328_lociStitched	chr1(.):7612476-7613297	0.9195
4_MACS_peak_1329_lociStitched	chr1(.):7616011-7627203	1.1466
3_MACS_peak_1333_lociStitched	chr1(.):7631384-7634942	0.7208
4_MACS_peak_1336_lociStitched	chr1(.):7637350-7641641	0.7883
8_MACS_peak_1340_lociStitched	chr1(.):7642749-7657345	0.9723
1_MACS_peak_1348_lociStitched	chr1(.):7659397-7659749	0.5726
