GENE_ID	locusLine	bin_1_10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19.bam
1_MACS_peak_457_lociStitched	chr1(.):31536464-31539444	1.807
1_MACS_peak_458_lociStitched	chr1(.):31628133-31628716	0.4811
1_MACS_peak_459_lociStitched	chr1(.):31634976-31636000	0.834
1_MACS_peak_460_lociStitched	chr1(.):31768829-31770766	1.0298
1_MACS_peak_461_lociStitched	chr1(.):31886028-31887083	0.8724
1_MACS_peak_462_lociStitched	chr1(.):31895730-31897366	0.6481
1_MACS_peak_463_lociStitched	chr1(.):31913316-31916172	1.1953
1_MACS_peak_464_lociStitched	chr1(.):31932944-31934427	0.4445
2_MACS_peak_465_lociStitched	chr1(.):31943449-31951423	1.1135
1_MACS_peak_467_lociStitched	chr1(.):31959414-31961045	0.7997
2_MACS_peak_468_lociStitched	chr1(.):31971416-31975686	0.6
1_MACS_peak_470_lociStitched	chr1(.):32109367-32111410	1.74
1_MACS_peak_471_lociStitched	chr1(.):32135260-32136343	0.5308
1_MACS_peak_472_lociStitched	chr1(.):32180076-32181631	0.6508
1_MACS_peak_473_lociStitched	chr1(.):32209326-32211901	1.707
1_MACS_peak_474_lociStitched	chr1(.):32253250-32255190	2.7986
1_MACS_peak_475_lociStitched	chr1(.):32402327-32404885	1.0135
1_MACS_peak_476_lociStitched	chr1(.):32420437-32422727	0.8957
2_MACS_peak_477_lociStitched	chr1(.):32445805-32453099	1.8574
2_MACS_peak_479_lociStitched	chr1(.):32470944-32480779	0.6673
2_MACS_peak_481_lociStitched	chr1(.):32531761-32539608	0.5915
1_MACS_peak_483_lociStitched	chr1(.):32572825-32575404	1.6339
1_MACS_peak_484_lociStitched	chr1(.):32644625-32646640	1.4193
2_MACS_peak_485_lociStitched	chr1(.):32665824-32672001	0.5377
1_MACS_peak_487_lociStitched	chr1(.):32687065-32689066	1.2104
1_MACS_peak_488_lociStitched	chr1(.):32705719-32706980	0.6508
1_MACS_peak_489_lociStitched	chr1(.):32713184-32717609	3.7283
1_MACS_peak_490_lociStitched	chr1(.):32756622-32758900	1.5432
