GENE_ID	locusLine	bin_1_23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05.bam
3_MACS_peak_187_lociStitched	chr1(.):2244608-2295099	1.8858
4_MACS_peak_190_lociStitched	chr1(.):2298823-2316866	1.6379
11_MACS_peak_194_lociStitched	chr1(.):2346642-2411017	1.5208
1_MACS_peak_205_lociStitched	chr1(.):2412447-2412846	0.5925
2_MACS_peak_206_lociStitched	chr1(.):2413973-2414818	0.633
1_MACS_peak_208_lociStitched	chr1(.):2415868-2436389	1.3596
5_MACS_peak_209_lociStitched	chr1(.):2458099-2475450	1.5397
2_MACS_peak_214_lociStitched	chr1(.):2483857-2485321	0.6701
7_MACS_peak_216_lociStitched	chr1(.):2496025-2515155	1.0596
4_MACS_peak_223_lociStitched	chr1(.):2518426-2531765	1.3092
1_MACS_peak_227_lociStitched	chr1(.):2532769-2544808	1.0984
3_MACS_peak_228_lociStitched	chr1(.):2552374-2557989	0.9336
4_MACS_peak_231_lociStitched	chr1(.):2559157-2566168	1.1549
1_MACS_peak_235_lociStitched	chr1(.):2567638-2570352	0.8643
2_MACS_peak_236_lociStitched	chr1(.):2574534-2577936	1.015
1_MACS_peak_238_lociStitched	chr1(.):2580437-2582639	0.7877
3_MACS_peak_244_lociStitched	chr1(.):2684206-2692107	1.2895
1_MACS_peak_247_lociStitched	chr1(.):2693182-2693968	0.6371
1_MACS_peak_248_lociStitched	chr1(.):2695801-2696410	0.6992
5_MACS_peak_249_lociStitched	chr1(.):2701398-2708248	0.7473
19_MACS_peak_254_lociStitched	chr1(.):2713876-2758695	1.0138
8_MACS_peak_273_lociStitched	chr1(.):2761251-2786922	0.9989
10_MACS_peak_281_lociStitched	chr1(.):2788851-2812727	1.1492
5_MACS_peak_291_lociStitched	chr1(.):2815635-2831713	1.0824
3_MACS_peak_296_lociStitched	chr1(.):2833279-2854082	1.2321
1_MACS_peak_299_lociStitched	chr1(.):2855892-2856356	0.6701
2_MACS_peak_300_lociStitched	chr1(.):2858376-2860910	0.6828
3_MACS_peak_302_lociStitched	chr1(.):2862350-2869908	1.1833
1_MACS_peak_305_lociStitched	chr1(.):2871244-2871712	0.7579
1_MACS_peak_306_lociStitched	chr1(.):2877365-2880153	0.9655
4_MACS_peak_307_lociStitched	chr1(.):2883432-2890616	0.8754
1_MACS_peak_311_lociStitched	chr1(.):2895840-2902212	1.1457
3_MACS_peak_312_lociStitched	chr1(.):2904084-2908311	0.7885
5_MACS_peak_315_lociStitched	chr1(.):2914502-2922307	0.8681
3_MACS_peak_320_lociStitched	chr1(.):2927362-2940851	1.2139
1_MACS_peak_323_lociStitched	chr1(.):2944032-2949993	1.4178
2_MACS_peak_324_lociStitched	chr1(.):2951341-2956059	0.863
3_MACS_peak_326_lociStitched	chr1(.):2957136-2960024	0.7548
1_MACS_peak_329_lociStitched	chr1(.):2965631-2966128	0.6491
2_MACS_peak_330_lociStitched	chr1(.):2969966-2972930	0.7393
25_MACS_peak_332_lociStitched	chr1(.):2974009-3083990	1.1791
1_MACS_peak_357_lociStitched	chr1(.):3085318-3092416	1.318
3_MACS_peak_358_lociStitched	chr1(.):3093689-3096341	0.7749
9_MACS_peak_361_lociStitched	chr1(.):3099178-3169546	1.2777
9_MACS_peak_370_lociStitched	chr1(.):3171756-3218765	1.2594
5_MACS_peak_379_lociStitched	chr1(.):3220113-3235972	1.1591
4_MACS_peak_384_lociStitched	chr1(.):3238560-3252076	1.1497
3_MACS_peak_388_lociStitched	chr1(.):3254436-3259178	0.856
3_MACS_peak_391_lociStitched	chr1(.):3262735-3287291	1.2519
2_MACS_peak_394_lociStitched	chr1(.):3288349-3294830	1.1911
16_MACS_peak_396_lociStitched	chr1(.):3297052-3361614	1.2334
10_MACS_peak_412_lociStitched	chr1(.):3364235-3403429	1.341
4_MACS_peak_422_lociStitched	chr1(.):3404590-3488387	1.7434
5_MACS_peak_426_lociStitched	chr1(.):3489498-3536814	1.58
1_MACS_peak_431_lociStitched	chr1(.):3567226-3568799	0.9295
1_MACS_peak_432_lociStitched	chr1(.):3663262-3663663	0.6228
6_MACS_peak_433_lociStitched	chr1(.):3665967-3691196	1.2888
1_MACS_peak_439_lociStitched	chr1(.):3716164-3718086	1.0143
2_MACS_peak_440_lociStitched	chr1(.):3720384-3721780	0.72
4_MACS_peak_442_lociStitched	chr1(.):3833119-3837892	0.6736
1_MACS_peak_446_lociStitched	chr1(.):3839799-3843399	0.9547
1_MACS_peak_447_lociStitched	chr1(.):3995307-3995999	0.841
5_MACS_peak_448_lociStitched	chr1(.):3997594-4010592	0.9677
4_MACS_peak_453_lociStitched	chr1(.):4014125-4021358	0.8974
1_MACS_peak_457_lociStitched	chr1(.):4023169-4024307	0.9069
3_MACS_peak_458_lociStitched	chr1(.):4035707-4040007	0.8679
4_MACS_peak_461_lociStitched	chr1(.):4041100-4048210	0.7667
8_MACS_peak_465_lociStitched	chr1(.):4052637-4064357	0.8351
1_MACS_peak_473_lociStitched	chr1(.):4070869-4071531	0.7852
1_MACS_peak_474_lociStitched	chr1(.):4077490-4083184	0.9927
2_MACS_peak_475_lociStitched	chr1(.):4107891-4109609	0.7645
1_MACS_peak_477_lociStitched	chr1(.):4110732-4111848	0.8577
3_MACS_peak_478_lociStitched	chr1(.):4114711-4123302	0.8365
2_MACS_peak_481_lociStitched	chr1(.):4131884-4134446	0.7043
2_MACS_peak_483_lociStitched	chr1(.):4136450-4138278	0.7822
1_MACS_peak_485_lociStitched	chr1(.):4145173-4145999	0.6192
2_MACS_peak_486_lociStitched	chr1(.):4147997-4150537	0.7466
1_MACS_peak_488_lociStitched	chr1(.):4152035-4152445	0.5821
1_MACS_peak_489_lociStitched	chr1(.):4155930-4156307	0.5415
3_MACS_peak_490_lociStitched	chr1(.):4166398-4172644	0.8503
3_MACS_peak_493_lociStitched	chr1(.):4176619-4182482	0.8109
2_MACS_peak_496_lociStitched	chr1(.):4183869-4185212	0.9177
5_MACS_peak_498_lociStitched	chr1(.):4186798-4195308	1.015
3_MACS_peak_503_lociStitched	chr1(.):4197674-4202594	0.762
4_MACS_peak_506_lociStitched	chr1(.):4207767-4214552	0.846
9_MACS_peak_510_lociStitched	chr1(.):4215954-4228335	0.7586
4_MACS_peak_519_lociStitched	chr1(.):4230225-4235015	0.7129
1_MACS_peak_523_lociStitched	chr1(.):4239314-4239709	0.6386
1_MACS_peak_524_lociStitched	chr1(.):4243865-4244262	0.5681
1_MACS_peak_525_lociStitched	chr1(.):4246518-4247059	0.655
5_MACS_peak_526_lociStitched	chr1(.):4269678-4275969	0.7056
3_MACS_peak_531_lociStitched	chr1(.):4277657-4281827	0.8421
1_MACS_peak_534_lociStitched	chr1(.):4283361-4283892	0.7206
1_MACS_peak_535_lociStitched	chr1(.):4284982-4285977	0.7903
2_MACS_peak_536_lociStitched	chr1(.):4291653-4293528	0.7151
1_MACS_peak_538_lociStitched	chr1(.):4328513-4329052	0.6857
1_MACS_peak_539_lociStitched	chr1(.):4360808-4361786	0.7319
1_MACS_peak_540_lociStitched	chr1(.):4368915-4369277	0.6629
1_MACS_peak_541_lociStitched	chr1(.):4384657-4385044	0.585
1_MACS_peak_542_lociStitched	chr1(.):4389154-4389606	0.7768
1_MACS_peak_543_lociStitched	chr1(.):4391391-4391848	0.45
3_MACS_peak_544_lociStitched	chr1(.):4409173-4412297	0.6325
1_MACS_peak_547_lociStitched	chr1(.):4413551-4414155	0.7018
2_MACS_peak_548_lociStitched	chr1(.):4417794-4419479	0.8027
1_MACS_peak_550_lociStitched	chr1(.):4420649-4422089	0.8795
1_MACS_peak_551_lociStitched	chr1(.):4425696-4426373	0.6733
3_MACS_peak_552_lociStitched	chr1(.):4458820-4461082	0.6728
1_MACS_peak_555_lociStitched	chr1(.):4467886-4469566	0.7822
1_MACS_peak_556_lociStitched	chr1(.):4494416-4495238	0.708
2_MACS_peak_557_lociStitched	chr1(.):4500083-4501756	0.6662
1_MACS_peak_559_lociStitched	chr1(.):4503214-4503870	0.6269
1_MACS_peak_560_lociStitched	chr1(.):4508012-4508497	0.8312
3_MACS_peak_561_lociStitched	chr1(.):4520087-4522888	0.8274
1_MACS_peak_564_lociStitched	chr1(.):4547056-4547607	0.7273
1_MACS_peak_565_lociStitched	chr1(.):4555071-4555553	0.7477
1_MACS_peak_566_lociStitched	chr1(.):4558757-4559156	0.442
1_MACS_peak_567_lociStitched	chr1(.):4562972-4563483	0.6808
2_MACS_peak_568_lociStitched	chr1(.):4564585-4565733	0.6289
1_MACS_peak_570_lociStitched	chr1(.):4571228-4571607	0.673
2_MACS_peak_571_lociStitched	chr1(.):4576253-4577919	0.7801
1_MACS_peak_573_lociStitched	chr1(.):4579224-4580178	0.7345
2_MACS_peak_574_lociStitched	chr1(.):4587751-4589927	0.6162
1_MACS_peak_576_lociStitched	chr1(.):4621049-4621483	0.5819
2_MACS_peak_577_lociStitched	chr1(.):4624373-4626025	0.4995
1_MACS_peak_579_lociStitched	chr1(.):4646032-4646604	0.7124
3_MACS_peak_580_lociStitched	chr1(.):4649709-4653874	0.7607
2_MACS_peak_583_lociStitched	chr1(.):4655662-4657051	0.7427
2_MACS_peak_585_lociStitched	chr1(.):4659231-4662397	0.8395
4_MACS_peak_587_lociStitched	chr1(.):4671130-4677553	0.8206
3_MACS_peak_591_lociStitched	chr1(.):4685714-4689161	0.7275
6_MACS_peak_594_lociStitched	chr1(.):4692992-4700073	0.8384
1_MACS_peak_600_lociStitched	chr1(.):4712816-4714047	0.8496
3_MACS_peak_601_lociStitched	chr1(.):4715726-4720376	0.7338
2_MACS_peak_604_lociStitched	chr1(.):4722865-4727870	0.7741
1_MACS_peak_606_lociStitched	chr1(.):4729727-4730234	0.5245
3_MACS_peak_607_lociStitched	chr1(.):4734527-4736842	0.7061
1_MACS_peak_610_lociStitched	chr1(.):4747983-4748445	0.5238
3_MACS_peak_611_lociStitched	chr1(.):4750216-4752560	0.6422
1_MACS_peak_614_lociStitched	chr1(.):4753824-4754186	0.5161
1_MACS_peak_615_lociStitched	chr1(.):4757633-4758176	0.745
1_MACS_peak_616_lociStitched	chr1(.):4765691-4766193	0.6809
2_MACS_peak_617_lociStitched	chr1(.):4770372-4774423	0.7874
2_MACS_peak_619_lociStitched	chr1(.):4779242-4780752	0.5835
1_MACS_peak_621_lociStitched	chr1(.):4783921-4784484	0.7907
7_MACS_peak_622_lociStitched	chr1(.):4787096-4796235	0.8013
1_MACS_peak_629_lociStitched	chr1(.):4798324-4798908	0.6354
1_MACS_peak_630_lociStitched	chr1(.):4806627-4808241	0.7236
1_MACS_peak_631_lociStitched	chr1(.):4812543-4812984	0.5763
1_MACS_peak_632_lociStitched	chr1(.):4819834-4820231	0.5156
1_MACS_peak_633_lociStitched	chr1(.):4827399-4827958	0.6355
1_MACS_peak_634_lociStitched	chr1(.):4830084-4830725	0.8601
2_MACS_peak_635_lociStitched	chr1(.):4832344-4834580	0.6815
3_MACS_peak_637_lociStitched	chr1(.):4836656-4839875	0.6829
1_MACS_peak_640_lociStitched	chr1(.):4841080-4842527	0.8312
2_MACS_peak_641_lociStitched	chr1(.):4844955-4847022	0.6605
1_MACS_peak_643_lociStitched	chr1(.):4848398-4849023	0.7513
1_MACS_peak_644_lociStitched	chr1(.):4859751-4860154	0.5925
1_MACS_peak_645_lociStitched	chr1(.):4931056-4931432	0.6336
1_MACS_peak_646_lociStitched	chr1(.):4955494-4956443	0.769
1_MACS_peak_647_lociStitched	chr1(.):4973559-4974094	0.7043
1_MACS_peak_648_lociStitched	chr1(.):5019164-5019579	0.6299
2_MACS_peak_649_lociStitched	chr1(.):5023133-5024961	0.6358
1_MACS_peak_651_lociStitched	chr1(.):5026831-5027301	0.6424
1_MACS_peak_652_lociStitched	chr1(.):5031757-5032161	0.6965
1_MACS_peak_653_lociStitched	chr1(.):5034271-5034788	0.7189
1_MACS_peak_654_lociStitched	chr1(.):5035906-5037470	0.8363
2_MACS_peak_655_lociStitched	chr1(.):5038636-5040218	0.6198
2_MACS_peak_657_lociStitched	chr1(.):5045969-5048075	0.6753
1_MACS_peak_659_lociStitched	chr1(.):5105486-5106069	0.5694
1_MACS_peak_660_lociStitched	chr1(.):5326228-5326725	0.5907
1_MACS_peak_661_lociStitched	chr1(.):5327919-5328326	0.5406
1_MACS_peak_662_lociStitched	chr1(.):5332299-5332779	0.6289
3_MACS_peak_663_lociStitched	chr1(.):5334576-5337984	0.7847
1_MACS_peak_666_lociStitched	chr1(.):5342155-5342540	0.5569
1_MACS_peak_667_lociStitched	chr1(.):5355614-5356017	0.5053
2_MACS_peak_668_lociStitched	chr1(.):5366858-5368803	0.6418
1_MACS_peak_670_lociStitched	chr1(.):5370609-5371446	0.7174
1_MACS_peak_671_lociStitched	chr1(.):5402959-5403351	0.5741
1_MACS_peak_672_lociStitched	chr1(.):5437635-5438018	0.5498
1_MACS_peak_673_lociStitched	chr1(.):5441924-5442400	0.6121
2_MACS_peak_674_lociStitched	chr1(.):5448063-5450109	0.7468
1_MACS_peak_676_lociStitched	chr1(.):5454139-5454559	0.7145
1_MACS_peak_677_lociStitched	chr1(.):5461429-5461844	0.6246
1_MACS_peak_678_lociStitched	chr1(.):5463853-5464236	0.5304
1_MACS_peak_679_lociStitched	chr1(.):5478247-5478777	0.614
9_MACS_peak_680_lociStitched	chr1(.):5482859-5495847	0.7979
1_MACS_peak_689_lociStitched	chr1(.):5503274-5504004	0.6287
1_MACS_peak_690_lociStitched	chr1(.):5506834-5507494	0.7733
2_MACS_peak_691_lociStitched	chr1(.):5508992-5512240	0.6968
1_MACS_peak_693_lociStitched	chr1(.):5515703-5516225	0.6163
3_MACS_peak_694_lociStitched	chr1(.):5517382-5520088	0.5441
2_MACS_peak_697_lociStitched	chr1(.):5523821-5525681	0.6552
2_MACS_peak_699_lociStitched	chr1(.):5532646-5534852	0.8858
5_MACS_peak_701_lociStitched	chr1(.):5536444-5546096	0.9837
6_MACS_peak_706_lociStitched	chr1(.):5550388-5558971	0.8051
6_MACS_peak_712_lociStitched	chr1(.):5560446-5574067	0.8995
1_MACS_peak_718_lociStitched	chr1(.):5576888-5577335	0.519
1_MACS_peak_719_lociStitched	chr1(.):5579704-5580432	0.6228
6_MACS_peak_720_lociStitched	chr1(.):5581840-5588935	0.7102
1_MACS_peak_726_lociStitched	chr1(.):5614813-5615237	0.6974
1_MACS_peak_727_lociStitched	chr1(.):5624685-5625216	0.695
1_MACS_peak_728_lociStitched	chr1(.):5631987-5632607	0.6931
1_MACS_peak_729_lociStitched	chr1(.):5636084-5636543	0.7122
1_MACS_peak_730_lociStitched	chr1(.):5637622-5638028	0.5872
2_MACS_peak_731_lociStitched	chr1(.):5642522-5645314	0.7017
2_MACS_peak_733_lociStitched	chr1(.):5652955-5654365	0.517
3_MACS_peak_735_lociStitched	chr1(.):5655472-5658339	0.7904
2_MACS_peak_738_lociStitched	chr1(.):5659529-5662032	0.7556
1_MACS_peak_740_lociStitched	chr1(.):5671238-5671828	0.5635
6_MACS_peak_741_lociStitched	chr1(.):5674139-5683437	0.791
1_MACS_peak_747_lociStitched	chr1(.):5691910-5692812	0.7389
2_MACS_peak_748_lociStitched	chr1(.):5699698-5701328	0.4999
2_MACS_peak_750_lociStitched	chr1(.):5703407-5707424	0.7257
1_MACS_peak_752_lociStitched	chr1(.):5709334-5713261	0.9595
4_MACS_peak_753_lociStitched	chr1(.):5718912-5723086	0.7386
1_MACS_peak_760_lociStitched	chr1(.):5741243-5741655	0.6162
3_MACS_peak_761_lociStitched	chr1(.):5742734-5746127	0.7498
5_MACS_peak_764_lociStitched	chr1(.):5747511-5754154	0.7271
2_MACS_peak_769_lociStitched	chr1(.):5757966-5759515	0.7208
3_MACS_peak_771_lociStitched	chr1(.):5763333-5768912	0.9137
3_MACS_peak_774_lociStitched	chr1(.):5770006-5773258	0.6987
2_MACS_peak_777_lociStitched	chr1(.):5776413-5782322	0.9247
1_MACS_peak_779_lociStitched	chr1(.):5784147-5784817	0.709
6_MACS_peak_780_lociStitched	chr1(.):5785979-5791908	0.7336
2_MACS_peak_786_lociStitched	chr1(.):5793680-5795461	0.8257
6_MACS_peak_788_lociStitched	chr1(.):5799159-5821175	1.1333
2_MACS_peak_794_lociStitched	chr1(.):5823602-5832028	1.0841
3_MACS_peak_796_lociStitched	chr1(.):5833361-5837997	0.8945
1_MACS_peak_799_lociStitched	chr1(.):5840057-5840474	0.7016
1_MACS_peak_800_lociStitched	chr1(.):5846671-5847305	0.7318
1_MACS_peak_801_lociStitched	chr1(.):5848534-5849308	0.6324
1_MACS_peak_802_lociStitched	chr1(.):5850604-5850983	0.5839
2_MACS_peak_803_lociStitched	chr1(.):5856504-5860203	0.9185
1_MACS_peak_805_lociStitched	chr1(.):5868078-5868781	0.7336
8_MACS_peak_806_lociStitched	chr1(.):5871512-5884052	0.7904
4_MACS_peak_814_lociStitched	chr1(.):5886474-5889816	0.845
4_MACS_peak_818_lociStitched	chr1(.):5892412-5913155	1.0102
1_MACS_peak_822_lociStitched	chr1(.):6162164-6166809	1.2785
3_MACS_peak_823_lociStitched	chr1(.):6168903-6175734	1.208
3_MACS_peak_826_lociStitched	chr1(.):6180792-6209377	1.497
3_MACS_peak_829_lociStitched	chr1(.):6210642-6234609	1.5842
2_MACS_peak_832_lociStitched	chr1(.):6235839-6242022	1.083
5_MACS_peak_834_lociStitched	chr1(.):6264531-6275288	0.8901
6_MACS_peak_839_lociStitched	chr1(.):6298589-6323213	1.5415
1_MACS_peak_845_lociStitched	chr1(.):6460211-6461853	0.7131
4_MACS_peak_846_lociStitched	chr1(.):6465325-6469561	0.6634
7_MACS_peak_850_lociStitched	chr1(.):6471225-6530345	1.8934
9_MACS_peak_857_lociStitched	chr1(.):6532216-6548769	1.1409
3_MACS_peak_866_lociStitched	chr1(.):6554366-6572668	1.9818
3_MACS_peak_869_lociStitched	chr1(.):6622072-6628211	0.9296
4_MACS_peak_872_lociStitched	chr1(.):6630542-6635714	0.6702
5_MACS_peak_876_lociStitched	chr1(.):6767398-6779810	0.9149
4_MACS_peak_881_lociStitched	chr1(.):6782345-6787455	0.8865
4_MACS_peak_885_lociStitched	chr1(.):6790399-6794327	0.7426
1_MACS_peak_889_lociStitched	chr1(.):6795735-6796143	0.5885
1_MACS_peak_890_lociStitched	chr1(.):6797247-6797971	0.8727
1_MACS_peak_891_lociStitched	chr1(.):6803553-6804020	0.7283
2_MACS_peak_892_lociStitched	chr1(.):6805870-6807663	0.5553
3_MACS_peak_894_lociStitched	chr1(.):6817754-6820941	0.8455
2_MACS_peak_897_lociStitched	chr1(.):6822004-6824354	0.695
1_MACS_peak_899_lociStitched	chr1(.):6830519-6830955	0.6164
1_MACS_peak_900_lociStitched	chr1(.):7014606-7014994	0.7016
2_MACS_peak_901_lociStitched	chr1(.):7019985-7022277	0.6564
3_MACS_peak_903_lociStitched	chr1(.):7023443-7026841	0.7642
1_MACS_peak_906_lociStitched	chr1(.):7027956-7028782	0.8468
2_MACS_peak_907_lociStitched	chr1(.):7030802-7032891	0.5105
1_MACS_peak_909_lociStitched	chr1(.):7035096-7035756	0.6769
2_MACS_peak_910_lociStitched	chr1(.):7045865-7048419	0.7765
1_MACS_peak_912_lociStitched	chr1(.):7055644-7056034	0.6194
1_MACS_peak_913_lociStitched	chr1(.):7059139-7059681	0.7244
1_MACS_peak_914_lociStitched	chr1(.):7062743-7063184	0.7493
1_MACS_peak_915_lociStitched	chr1(.):7067049-7072246	1.0235
2_MACS_peak_916_lociStitched	chr1(.):7079574-7081580	0.6899
13_MACS_peak_918_lociStitched	chr1(.):7100541-7125493	0.9535
1_MACS_peak_931_lociStitched	chr1(.):7127011-7131300	0.9408
1_MACS_peak_932_lociStitched	chr1(.):7141984-7142662	0.7329
4_MACS_peak_933_lociStitched	chr1(.):7144302-7151225	0.7823
4_MACS_peak_937_lociStitched	chr1(.):7152440-7161118	0.9036
2_MACS_peak_941_lociStitched	chr1(.):7165220-7168105	0.7826
2_MACS_peak_943_lociStitched	chr1(.):7170333-7173588	0.7938
3_MACS_peak_945_lociStitched	chr1(.):7174666-7178411	0.5786
3_MACS_peak_948_lociStitched	chr1(.):7179799-7184930	0.8438
2_MACS_peak_951_lociStitched	chr1(.):7186700-7188485	0.7152
1_MACS_peak_953_lociStitched	chr1(.):7204748-7206516	0.829
3_MACS_peak_954_lociStitched	chr1(.):7209238-7215724	0.8424
1_MACS_peak_957_lociStitched	chr1(.):7217956-7219054	0.6348
1_MACS_peak_958_lociStitched	chr1(.):7224464-7224904	0.7061
3_MACS_peak_959_lociStitched	chr1(.):7231594-7236146	0.8088
1_MACS_peak_962_lociStitched	chr1(.):7252166-7253041	0.805
3_MACS_peak_963_lociStitched	chr1(.):7254549-7259727	0.8401
1_MACS_peak_966_lociStitched	chr1(.):7268748-7269294	0.6207
2_MACS_peak_967_lociStitched	chr1(.):7274377-7275991	0.6687
1_MACS_peak_969_lociStitched	chr1(.):7277026-7277398	0.7291
5_MACS_peak_970_lociStitched	chr1(.):7279535-7298952	1.0653
12_MACS_peak_975_lociStitched	chr1(.):7306393-7325518	0.8086
1_MACS_peak_987_lociStitched	chr1(.):7339925-7340391	0.5991
1_MACS_peak_988_lociStitched	chr1(.):7344380-7344822	0.6764
4_MACS_peak_989_lociStitched	chr1(.):7348408-7355518	0.8183
2_MACS_peak_993_lociStitched	chr1(.):7359968-7362641	0.7231
1_MACS_peak_995_lociStitched	chr1(.):7373142-7373599	0.5715
5_MACS_peak_996_lociStitched	chr1(.):7391486-7397301	0.6957
1_MACS_peak_1001_lociStitched	chr1(.):7399193-7399601	0.7331
5_MACS_peak_1002_lociStitched	chr1(.):7406578-7416267	0.849
1_MACS_peak_1007_lociStitched	chr1(.):7418711-7419393	0.5798
1_MACS_peak_1008_lociStitched	chr1(.):7424544-7424939	0.5772
9_MACS_peak_1009_lociStitched	chr1(.):7429618-7441216	0.6942
4_MACS_peak_1018_lociStitched	chr1(.):7444758-7451690	0.7871
1_MACS_peak_1022_lociStitched	chr1(.):7463808-7464641	0.6469
1_MACS_peak_1023_lociStitched	chr1(.):7465730-7466145	0.6521
1_MACS_peak_1024_lociStitched	chr1(.):7467962-7468661	0.6908
1_MACS_peak_1025_lociStitched	chr1(.):7477597-7478313	0.7165
1_MACS_peak_1026_lociStitched	chr1(.):7480813-7481385	0.761
1_MACS_peak_1027_lociStitched	chr1(.):7484460-7487223	0.8581
1_MACS_peak_1028_lociStitched	chr1(.):7488356-7488893	0.6117
1_MACS_peak_1029_lociStitched	chr1(.):7491522-7493845	1.0103
2_MACS_peak_1030_lociStitched	chr1(.):7495563-7503711	1.0891
2_MACS_peak_1032_lociStitched	chr1(.):7505298-7507144	0.717
19_MACS_peak_1034_lociStitched	chr1(.):7508572-7545174	0.9802
3_MACS_peak_1053_lociStitched	chr1(.):7546633-7552596	0.8259
3_MACS_peak_1056_lociStitched	chr1(.):7553733-7557510	0.687
4_MACS_peak_1059_lociStitched	chr1(.):7560663-7564489	0.7365
3_MACS_peak_1063_lociStitched	chr1(.):7567557-7570811	0.797
3_MACS_peak_1066_lociStitched	chr1(.):7572310-7577222	0.8834
1_MACS_peak_1069_lociStitched	chr1(.):7579406-7580054	0.8053
11_MACS_peak_1070_lociStitched	chr1(.):7581535-7599832	0.9167
2_MACS_peak_1081_lociStitched	chr1(.):7600876-7603362	0.6381
1_MACS_peak_1083_lociStitched	chr1(.):7611992-7612460	0.5936
3_MACS_peak_1084_lociStitched	chr1(.):7614075-7626129	1.108
4_MACS_peak_1087_lociStitched	chr1(.):7632719-7636550	0.7518
1_MACS_peak_1091_lociStitched	chr1(.):7638123-7638678	0.7824
2_MACS_peak_1092_lociStitched	chr1(.):7639879-7642279	0.7434
6_MACS_peak_1094_lociStitched	chr1(.):7644076-7656574	0.8636
1_MACS_peak_1100_lociStitched	chr1(.):7660846-7661487	0.6985
1_MACS_peak_1101_lociStitched	chr1(.):7665067-7665821	0.8283
1_MACS_peak_1102_lociStitched	chr1(.):7681990-7683533	0.9491
3_MACS_peak_1103_lociStitched	chr1(.):7684877-7688038	0.738
2_MACS_peak_1106_lociStitched	chr1(.):7689929-7705774	1.2104
