REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
1_MACS_peak_22355_lociStitched	chr6	11826569	11838370	1	11802	89773.7473	2505.3523	113		C6orf105	C6orf105	113	1
1_MACS_peak_2381_lociStitched	chr1	209273116	209285919	1	12804	90902.5803	3662.9383	114			LOC642587	114	1
5_MACS_peak_14605_lociStitched	chr2	112186226	112242293	5	42404	95835.3231	9178.1679	115	LOC541471		LOC541471	115	1
4_MACS_peak_20620_lociStitched	chr4	185317572	185350150	4	24780	92319.5364	6082.3126	116	IRF2		IRF2	116	1
4_MACS_peak_2027_lociStitched	chr1	181095185	181129712	4	23107	93326.481	7993.0005	117		IER5	IER5	117	1
2_MACS_peak_21337_lociStitched	chr5	88633739	88653161	2	16533	88921.6848	4235.9382	118			MEF2C	118	1
2_MACS_peak_18927_lociStitched	chr3	169647360	169668630	2	19148	89897.655	5772.678	119	SAMD7,LOC100128164	SEC62	LOC100128164	119	1
4_MACS_peak_25329_lociStitched	chr7	150100700	150134446	4	20479	92302.0592	8358.8842	120	LOC728743,LOC285972	REPIN1,ZNF775,GIMAP8	LOC285972	120	1
2_MACS_peak_1713_lociStitched	chr1	156115317	156133458	2	18075	89723.5719	6062.7222	121	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	121	1
6_MACS_peak_17901_lociStitched	chr3	46388477	46439610	6	35775	92734.8088	9101.674	122	CCR2,CCR5	CCRL2	CCR5	122	1
4_MACS_peak_2062_lociStitched	chr1	183856233	183885903	4	22293	90870.309	7438.269	123	RGL1		GLT25D2	123	1
2_MACS_peak_6525_lociStitched	chr12	92851139	92867499	2	15825	86634.38	3731.716	124		CLLU1,CLLU1OS	CLLU1OS	124	1
3_MACS_peak_17913_lociStitched	chr3	46577145	46601156	3	17500	87313.6004	4482.8537	125	LRRC2	RTP3,TDGF1	LRRC2	125	1
4_MACS_peak_17885_lociStitched	chr3	46127073	46154239	4	25636	87482.6698	5286.5036	126			XCR1	126	1
1_MACS_peak_12997_lociStitched	chr19	35693648	35708254	1	14607	85192.4162	3046.8116	127		FXYD5,LSR,FAM187B	FAM187B	127	1
3_MACS_peak_2888_lociStitched	chr10	6953954	6973769	3	11822	85723.653	3984.7965	128			LOC439949	128	1
4_MACS_peak_12112_lociStitched	chr18	46439099	46483178	4	40750	90031.3575	8480.7996	129	SMAD7		SMAD7	129	1
3_MACS_peak_11633_lociStitched	chr17	75128687	75147623	3	18646	85456.2744	4124.2608	130	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	130	1
2_MACS_peak_1638_lociStitched	chr1	154374405	154394798	2	19273	87439.0661	6232.1008	131	IL6R		IL6R	131	1
2_MACS_peak_6519_lociStitched	chr12	92753302	92771129	2	17421	84680.0327	3738.3219	132		CLLU1	CLLU1	132	1
1_MACS_peak_7554_lociStitched	chr13	114555686	114568391	1	12706	83772.9585	3100.02	133	GAS6	FLJ44054,GAS6	GAS6	133	1
4_MACS_peak_13952_lociStitched	chr2	47522210	47550883	4	21411	85715.0662	5043.5807	134		EPCAM	EPCAM	134	1
5_MACS_peak_3886_lociStitched	chr10	112146345	112186579	5	32776	86680.1296	6099.4744	135			DUSP5	135	1
2_MACS_peak_9140_lociStitched	chr15	81575311	81597362	2	18611	83945.9519	5331.9318	136	IL16	STARD5	IL16	136	1
3_MACS_peak_15243_lociStitched	chr2	197023159	197053672	3	26155	84557.6256	6059.8818	137	STK17B		STK17B	137	1
1_MACS_peak_24651_lociStitched	chr7	78113449	78128722	1	15274	81527.274	3972.5073	138	MAGI2		RPL13AP17	138	1
4_MACS_peak_25651_lociStitched	chr8	27208517	27253616	4	31471	85909.0851	9073.9188	139	PTK2B	TRIM35	PTK2B	139	1
1_MACS_peak_21329_lociStitched	chr5	88170793	88187196	1	16404	79487.2977	4028.5768	140	MEF2C		MEF2C	140	1
2_MACS_peak_9024_lociStitched	chr15	75063283	75093124	2	24354	81104.8539	6099.5004	141	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	141	1
1_MACS_peak_18981_lociStitched	chr3	174863712	174873739	1	10028	78078.2436	3128.424	142	NAALADL2		NAALADL2	142	1
5_MACS_peak_26070_lociStitched	chr8	81046239	81084510	5	28019	82278.8229	7730.742	143	TPD52		TPD52	143	1
1_MACS_peak_7563_lociStitched	chr13	114828904	114835160	1	6257	76261.8912	1912.4592	144	RASA3		RASA3	144	1
4_MACS_peak_9362_lociStitched	chr15	101660638	101692646	4	25377	79344.6312	5399.7496	145			CHSY1	145	1
2_MACS_peak_25194_lociStitched	chr7	136031538	136048117	2	16357	78572.8547	4748.2256	146			LUZP6	146	1
1_MACS_peak_10023_lociStitched	chr16	56942577	56954913	1	12337	75802.2528	2705.2848	147	SLC12A3	HERPUD1,CETP	HERPUD1	147	1
4_MACS_peak_2640_lociStitched	chr1	230256346	230287763	4	18141	80304.9937	7235.3351	148	GALNT2		GALNT2	148	1
5_MACS_peak_17584_lociStitched	chr3	14712756	14742596	5	19868	77786.912	5051.912	149	C3orf19,C3orf20		C3orf20	149	1
2_MACS_peak_2350_lociStitched	chr1	207091292	207107186	2	11582	76645.6362	4380.3864	150	FAIM3,PIGR	IL24,FCAMR	FAIM3	150	1
2_MACS_peak_15478_lociStitched	chr2	219741108	219763541	2	20034	76521.2063	4405.8412	151	WNT10A	WNT6,PRKAG3	WNT10A	151	1
1_MACS_peak_19613_lociStitched	chr4	38306726	38322742	1	16017	75315.24	3478.6752	152			KLF3	152	1
1_MACS_peak_13874_lociStitched	chr2	43443573	43457137	1	13565	74846.152	3408.6332	153	LOC100129726,ZFP36L2		ZFP36L2	153	1
2_MACS_peak_9747_lociStitched	chr16	23402446	23420503	2	17076	74300.9436	3132.8895	154	COG7		COG7	154	1
4_MACS_peak_24700_lociStitched	chr7	90329825	90368180	4	22902	78574.053	7759.2165	155	CDK14		CDK14	155	1
5_MACS_peak_14402_lociStitched	chr2	89039364	89066916	5	20432	74966.2368	4339.44	156	RPIA,ANKRD36BP2		ANKRD36BP2	156	1
2_MACS_peak_27383_lociStitched	chr9	112665368	112684664	2	18879	74856.9024	4322.304	157	PALM2,PALM2-AKAP2		PALM2	157	1
2_MACS_peak_13070_lociStitched	chr19	39880767	39904003	2	18052	75437.9976	5044.5356	158	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	158	1
2_MACS_peak_18291_lociStitched	chr3	98472926	98497279	2	19838	75262.9465	4931.4825	159	ST3GAL6		ST3GAL6	159	1
5_MACS_peak_23205_lociStitched	chr6	90053749	90086268	5	24664	77196.8541	6890.7761	160	UBE2J1,RRAGD	GABRR2	UBE2J1	160	1
3_MACS_peak_19195_lociStitched	chr3	186702615	186720677	3	15559	75490.129	5337.321	161	ST6GAL1	ST6GAL1	ST6GAL1	161	1
2_MACS_peak_13858_lociStitched	chr2	42342979	42361418	2	18297	74087.902	4028.9215	162		EML4	EML4	162	1
3_MACS_peak_19023_lociStitched	chr3	177056369	177081249	3	16345	75428.696	5884.12	163			TBL1XR1	163	1
4_MACS_peak_14448_lociStitched	chr2	97189606	97220698	4	21151	75317.2608	5780.0028	164	ARID5A	NEURL3	ARID5A	164	1
3_MACS_peak_8791_lociStitched	chr15	56644744	56667431	3	16332	74159.2656	4802.8379	165	TEX9		TEX9	165	1
3_MACS_peak_1700_lociStitched	chr1	155938358	155962339	3	19317	75501.7804	6213.4771	166	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	166	1
3_MACS_peak_20877_lociStitched	chr5	32570498	32593038	3	20239	73823.008	4708.606	167	SUB1		SUB1	167	1
1_MACS_peak_16337_lociStitched	chr20	52194051	52216503	1	22453	72998.1876	4162.6008	168	ZNF217		ZNF217	168	1
4_MACS_peak_8559_lociStitched	chr15	40330037	40358849	4	22589	73917.186	5223.6156	169	SRP14	BMF	SRP14	169	1
3_MACS_peak_25709_lociStitched	chr8	29621824	29637244	3	11576	71406.936	2767.89	170		C8orf75	C8orf75	170	1
1_MACS_peak_15323_lociStitched	chr2	202115752	202129044	1	13293	72046.6276	3420.0316	171	CASP8		CASP8	171	1
3_MACS_peak_25422_lociStitched	chr8	2027473	2051002	3	17590	72728.139	4204.6323	172	MYOM2		MYOM2	172	1
1_MACS_peak_14346_lociStitched	chr2	86260166	86268039	1	7874	69986.2462	1885.5835	173	POLR1A	LOC90784	LOC90784	173	1
1_MACS_peak_22093_lociStitched	chr5	173696332	173711094	1	14763	71189.745	3166.449	174			HMP19	174	1
2_MACS_peak_8942_lociStitched	chr15	68568475	68599552	2	30402	74631.4155	6756.1398	175	FEM1B,ITGA11	CLN6	FEM1B	175	1
6_MACS_peak_15246_lociStitched	chr2	197065073	197115396	6	30016	75887.084	8242.9074	176	HECW2	STK17B	STK17B	176	1
2_MACS_peak_14200_lociStitched	chr2	70309982	70323560	2	9877	70521.4164	2987.16	177	PCBP1,LOC400960	LOC100133985	PCBP1	177	1
2_MACS_peak_23689_lociStitched	chr6	139631600	139649940	2	18128	70629.174	3370.892	178		TXLNB,CITED2	TXLNB	178	1
4_MACS_peak_16357_lociStitched	chr20	52530311	52567041	4	24539	73382.867	6269.811	179	BCAS1	SUMO1P1	SUMO1P1	179	1
3_MACS_peak_10915_lociStitched	chr17	34408725	34432963	3	21294	72161.3736	5429.312	180	CCL4,CCL3	CCL18	CCL3	180	1
1_MACS_peak_17022_lociStitched	chr22	27003306	27016202	1	12897	68615.7472	2791.984	181	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	181	1
3_MACS_peak_11874_lociStitched	chr18	9094917	9126518	3	24572	72337.8491	6851.0968	182	NDUFV2	ANKRD12	NDUFV2	182	1
1_MACS_peak_19015_lociStitched	chr3	176911206	176921427	1	10222	68286.501	3034.6149	183	TBL1XR1		TBL1XR1	183	1
1_MACS_peak_19788_lociStitched	chr4	69433730	69444720	1	10991	66430.154	2530.997	184	UGT2B15,UGT2B17		UGT2B17	184	1
3_MACS_peak_17497_lociStitched	chr3	5221770	5256417	3	26316	70860.0444	7019.4822	185	ARL8B,EDEM1		EDEM1	185	1
2_MACS_peak_16209_lociStitched	chr20	43672276	43694811	2	22275	67152.0465	3826.443	186	STK4	KCNS1,WFDC5	KCNS1	186	1
1_MACS_peak_20731_lociStitched	chr5	1311293	1320665	1	9373	65484.9756	2212.7292	187	CLPTM1L	TERT	TERT	187	1
2_MACS_peak_5260_lociStitched	chr11	115089250	115102807	2	13020	65958.8721	2724.957	188	CADM1		CADM1	188	1
4_MACS_peak_18987_lociStitched	chr3	175049666	175074652	4	23633	69568.5198	6411.4076	189	NAALADL2		NAALADL2	189	1
4_MACS_peak_1529_lociStitched	chr1	149802911	149834068	4	17578	71888.5461	9079.1498	190	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	190	1
1_MACS_peak_2060_lociStitched	chr1	183807272	183817031	1	9760	65924.9727	3121.9041	191	RGL1		APOBEC4	191	1
2_MACS_peak_12804_lociStitched	chr19	16693622	16707461	2	11694	65689.5813	3145.6047	192	MED26	CHERP,SLC35E1	SLC35E1	192	1
2_MACS_peak_23602_lociStitched	chr6	135190014	135204362	2	10330	64797.0028	2805.034	193			ALDH8A1	193	1
