REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
3_MACS_peak_10925_lociStitched	chr17	34596839	34645474	3	46419	237158.8505	12572.1475	14	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	TBC1D3C	0.008900000000000019	14	1
7_MACS_peak_10661_lociStitched	chr17	16846732	16895754	7	42635	192509.394	9789.6934	15	TNFRSF13B		TNFRSF13B	TNFRSF13B	2.4821999999999997	15	1
5_MACS_peak_14605_lociStitched	chr2	112186226	112242293	5	42404	95835.3231	9178.1679	16	LOC541471		LOC541471	LOC541471	0.7806	16	1
1_MACS_peak_10877_lociStitched	chr17	32688272	32729903	1	41632	286200.6357	9633.4134	17	CCL1	CCL8,CCL13	CCL1	CCL1	3.7781	17	1
4_MACS_peak_12112_lociStitched	chr18	46439099	46483178	4	40750	90031.3575	8480.7996	18	SMAD7		SMAD7	SMAD7	1.9135	18	1
7_MACS_peak_22961_lociStitched	chr6	52392472	52443046	7	40346	99150.327	9872.0448	19	TRAM2		TRAM2	TRAM2	1.3702	19	1
4_MACS_peak_18626_lociStitched	chr3	133177773	133227080	4	40233	186498.7968	9328.8844	20	BFSP2		BFSP2	BFSP2	1.9069000000000003	20	1
6_MACS_peak_21658_lociStitched	chr5	131789292	131842653	6	40179	151507.8873	11024.3826	21	C5orf56,IRF1	RAD50,IL5	IRF1	IRF1	1.0840999999999998	21	1
3_MACS_peak_15984_lociStitched	chr20	30271601	30312241	3	40109	148067.776	9339.072	22	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.1494999999999997	22	1
5_MACS_peak_17895_lociStitched	chr3	46317415	46365252	5	39769	117382.4306	8505.4186	23		CCR3,CCR2,CCR5	CCR2	CCR2	2.303	23	1
4_MACS_peak_22192_lociStitched	chr6	289904	338121	4	38432	163320.6224	16080.3695	24	DUSP22		DUSP22	DUSP22	2.1237	24	1
7_MACS_peak_10147_lociStitched	chr16	68269565	68321032	7	37747	113340.6274	9475.0747	25	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	1.2136	25	1
5_MACS_peak_8462_lociStitched	chr15	31616454	31660697	5	37378	102157.087	7937.1942	26	KLF13		KLF13	KLF13	1.5601	26	1
3_MACS_peak_11427_lociStitched	chr17	62149798	62187405	3	37018	99790.1745	7874.9058	27	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.3952	27	1
1_MACS_peak_26312_lociStitched	chr8	120915106	120951105	1	36000	149997.0333	7426.5937	28	DEPDC6	DSCC1	DEPDC6	DEPDC6	1.0571000000000002	28	1
6_MACS_peak_17901_lociStitched	chr3	46388477	46439610	6	35775	92734.8088	9101.674	29	CCR2,CCR5	CCRL2	CCR5	CCR5	0.9952000000000001	29	1
4_MACS_peak_19118_lociStitched	chr3	183220039	183261513	4	35643	148518.394	11554.6564	30	KLHL6		KLHL6	KLHL6	2.1848	30	1
4_MACS_peak_20020_lociStitched	chr4	90204439	90253354	4	35241	195787.179	10546.074	31	GPRIN3		GPRIN3	GPRIN3	2.3857	31	1
2_MACS_peak_10921_lociStitched	chr17	34508407	34544047	2	34911	216195.804	9886.536	32	CCL4L1,CCL3L1,CCL3L3	TBC1D3B,TBC1D3C	CCL3L1	CCL3L1	6.4912	32	1
1_MACS_peak_22315_lociStitched	chr6	7887588	7921791	1	34204	164324.8932	8916.7221	33	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.9874	33	1
1_MACS_peak_8327_lociStitched	chr14	106023124	106056535	1	33412	258530.9769	6057.4143	34		TMEM121	TMEM121	TMEM121	0.1033	34	1
7_MACS_peak_13132_lociStitched	chr19	42022229	42070730	7	32785	114404.1588	9069.687	35		CEACAM21	CEACAM21	CEACAM21	0.009999999999999995	35	1
5_MACS_peak_3886_lociStitched	chr10	112146345	112186579	5	32776	86680.1296	6099.4744	36			DUSP5	DUSP5	1.4989000000000001	36	1
5_MACS_peak_23354_lociStitched	chr6	109186260	109232635	5	32578	132414.5375	8732.4125	37	ARMC2		ARMC2	ARMC2	1.0322	37	1
3_MACS_peak_4004_lociStitched	chr10	125821669	125855029	3	32364	123765.6	7115.688	38	CHST15		CHST15	CHST15	1.3171000000000002	38	1
7_MACS_peak_2127_lociStitched	chr1	192475695	192521245	7	32099	104496.255	10918.335	39		RGS1	RGS1	RGS1	1.8725999999999998	39	1
4_MACS_peak_25651_lociStitched	chr8	27208517	27253616	4	31471	85909.0851	9073.9188	40	PTK2B	TRIM35	PTK2B	PTK2B	0.7314	40	1
4_MACS_peak_8332_lociStitched	chr14	106143777	106175999	4	31218	179785.8712	3792.5294	41			TMEM121	TMEM121	0.1033	41	1
3_MACS_peak_24459_lociStitched	chr7	55568606	55606328	3	30992	151238.8146	7008.7476	42	VOPP1		VOPP1	VOPP1	1.8200999999999998	42	1
3_MACS_peak_14382_lociStitched	chr2	87782386	87821835	3	30619	66372.9425	6619.5422	43	NCRNA00152		NCRNA00152	NCRNA00152	1.0675	43	1
2_MACS_peak_8942_lociStitched	chr15	68568475	68599552	2	30402	74631.4155	6756.1398	44	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	1.7666	44	1
9_MACS_peak_28036_lociStitched	chrX	37634647	37685574	9	30285	59548.9411	4140.3651	45	CYBB	DYNLT3	CYBB	CYBB	1.0592000000000001	45	1
3_MACS_peak_19797_lociStitched	chr4	71523614	71555458	3	30163	134480.3964	6798.694	46	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	2.6574	46	1
6_MACS_peak_15246_lociStitched	chr2	197065073	197115396	6	30016	75887.084	8242.9074	47	HECW2	STK17B	STK17B	STK17B	0.8242	47	1
5_MACS_peak_27482_lociStitched	chr9	123630341	123668201	5	29379	95062.674	6614.142	48	PHF19,TRAF1	LOC253039,PSMD5	PHF19	PHF19	1.0462	48	1
4_MACS_peak_3906_lociStitched	chr10	112596716	112633415	4	28976	189271.4226	7886.6151	49	RBM20,PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	5.189299999999999	49	1
3_MACS_peak_22082_lociStitched	chr5	173309919	173344077	3	28636	49932.1644	6732.5418	50	CPEB4		CPEB4	CPEB4	0.5756000000000001	50	1
2_MACS_peak_23183_lociStitched	chr6	88611485	88640577	2	28583	108888.4468	5949.314	51			SPACA1	SPACA1	NONE	51	1
4_MACS_peak_6529_lociStitched	chr12	92929335	92964767	4	28363	102529.5784	6849.0056	52			CLLU1OS	CLLU1OS	0.31429999999999997	52	1
1_MACS_peak_24462_lociStitched	chr7	55615820	55643863	1	28044	63144.4231	5524.471	53	VOPP1		VOPP1	VOPP1	1.8200999999999998	53	1
5_MACS_peak_26070_lociStitched	chr8	81046239	81084510	5	28019	82278.8229	7730.742	54	TPD52		TPD52	TPD52	0.6552	54	1
4_MACS_peak_6154_lociStitched	chr12	53845723	53874632	4	27991	35876.069	6096.9081	55	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	0.7708999999999999	55	1
4_MACS_peak_11870_lociStitched	chr18	9053773	9085567	4	27968	145594.2642	6520.9494	56		NDUFV2	NDUFV2	NDUFV2	2.1884	56	1
4_MACS_peak_2320_lociStitched	chr1	206271511	206311220	4	27929	161083.5294	11158.229	57	C1orf186	AVPR1B,CTSE	C1orf186	C1orf186	1.8389	57	1
2_MACS_peak_23826_lociStitched	chr6	157975471	158007580	2	27559	103875.8259	3554.4663	58	ZDHHC14	MIR3692	MIR3692	MIR3692	0.021900000000000003	58	1
4_MACS_peak_16345_lociStitched	chr20	52336307	52372852	4	27395	112850.96	6015.307	59			SUMO1P1	SUMO1P1	2.6595	59	1
2_MACS_peak_25327_lociStitched	chr7	150052910	150084976	2	27371	120343.698	8866.249	60	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	REPIN1	4.446400000000001	60	1
1_MACS_peak_18957_lociStitched	chr3	171801747	171828813	1	27067	127670.322	8320.0884	61	FNDC3B		FNDC3B	FNDC3B	0.379	61	1
3_MACS_peak_21655_lociStitched	chr5	131744670	131775215	3	26859	138176.4165	6756.554	62	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	3.2641	62	1
3_MACS_peak_17497_lociStitched	chr3	5221770	5256417	3	26316	70860.0444	7019.4822	63	ARL8B,EDEM1		EDEM1	EDEM1	1.3136	63	1
1_MACS_peak_23301_lociStitched	chr6	106530283	106556567	1	26285	102920.2588	6836.4684	64	PRDM1		PRDM1	PRDM1	2.8695	64	1
3_MACS_peak_15243_lociStitched	chr2	197023159	197053672	3	26155	84557.6256	6059.8818	65	STK17B		STK17B	STK17B	0.8242	65	1
2_MACS_peak_21335_lociStitched	chr5	88594049	88621288	2	25916	114855.9674	5695.6749	66			MEF2C	MEF2C	0.5811999999999999	66	1
4_MACS_peak_6901_lociStitched	chr12	123354777	123387459	4	25836	52588.6062	3385.8552	67	VPS37B	HIP1R	VPS37B	VPS37B	1.0945	67	1
4_MACS_peak_17885_lociStitched	chr3	46127073	46154239	4	25636	87482.6698	5286.5036	68			XCR1	XCR1	NONE	68	1
2_MACS_peak_2915_lociStitched	chr10	11282104	11313468	2	25604	68348.4288	6671.1228	69	CELF2		CELF2	CELF2	1.1314000000000002	69	1
1_MACS_peak_5445_lociStitched	chr11	128585190	128610652	1	25463	99780.4856	5779.874	70	FLI1		FLI1	FLI1	0.9101	70	1
4_MACS_peak_17177_lociStitched	chr22	37609340	37642346	4	25394	104850.1602	7208.5104	71	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.9529	71	1
4_MACS_peak_9362_lociStitched	chr15	101660638	101692646	4	25377	79344.6312	5399.7496	72			CHSY1	CHSY1	0.43589999999999995	72	1
3_MACS_peak_24856_lociStitched	chr7	102063365	102093384	3	25281	132005.5506	6126.8779	73	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.2393	73	1
3_MACS_peak_13623_lociStitched	chr2	20391273	20426627	3	24985	106040.7876	6445.0342	74	SDC1		SDC1	SDC1	2.8825	74	1
5_MACS_peak_8368_lociStitched	chr15	21975886	22004848	5	24926	38024.2098	4680.2592	75		LOC646214,CXADRP2	CXADRP2	LOC646214	0.0968	75	1
2_MACS_peak_4363_lociStitched	chr11	22676317	22704716	2	24810	117631.4979	5228.2559	76	GAS2	FANCF	GAS2	GAS2	0.7083999999999999	76	1
4_MACS_peak_20620_lociStitched	chr4	185317572	185350150	4	24780	92319.5364	6082.3126	77	IRF2		IRF2	IRF2	2.1485	77	1
2_MACS_peak_2894_lociStitched	chr10	7510727	7537616	2	24717	107383.9104	5251.4217	78			SFMBT2	SFMBT2	NONE	78	1
5_MACS_peak_23205_lociStitched	chr6	90053749	90086268	5	24664	77196.8541	6890.7761	79	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.2976999999999999	79	1
3_MACS_peak_11874_lociStitched	chr18	9094917	9126518	3	24572	72337.8491	6851.0968	80	NDUFV2	ANKRD12	NDUFV2	NDUFV2	2.1884	80	1
4_MACS_peak_16357_lociStitched	chr20	52530311	52567041	4	24539	73382.867	6269.811	81	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	2.6595	81	1
7_MACS_peak_10259_lociStitched	chr16	78768985	78805255	7	24470	28348.632	4461.21	82	WWOX		WWOX	WWOX	0.027500000000000004	82	1
2_MACS_peak_9024_lociStitched	chr15	75063283	75093124	2	24354	81104.8539	6099.5004	83	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	2.0157	83	1
4_MACS_peak_6039_lociStitched	chr12	48195986	48220916	4	24273	97254.423	5055.804	84	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.9450000000000003	84	1
3_MACS_peak_19951_lociStitched	chr4	84130532	84164362	3	24124	109758.052	6617.148	85		COQ2	COQ2	COQ2	0.31779999999999997	85	1
5_MACS_peak_21477_lociStitched	chr5	109247507	109282915	5	23819	57134.3488	5775.0448	86		LOC100289673	LOC100289673	NONE	NONE	86	1
4_MACS_peak_18987_lociStitched	chr3	175049666	175074652	4	23633	69568.5198	6411.4076	87	NAALADL2		NAALADL2	NAALADL2	0.17279999999999998	87	1
2_MACS_peak_11020_lociStitched	chr17	38459045	38484806	2	23625	151946.1063	5829.7143	88	CDC6,RARA	RARA,GJD3	RARA	RARA	2.5025	88	1
4_MACS_peak_12785_lociStitched	chr19	16243849	16272849	4	23562	65241.3	5043.1	89	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.7435	89	1
3_MACS_peak_1657_lociStitched	chr1	154907889	154936001	3	23385	133683.8048	9040.8192	90	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	3.547	90	1
3_MACS_peak_1443_lociStitched	chr1	145426791	145457959	3	23214	122780.1024	9447.0208	91	TXNIP,POLR3GL	HFE2,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	3.6841	91	1
4_MACS_peak_2027_lociStitched	chr1	181095185	181129712	4	23107	93326.481	7993.0005	92		IER5	IER5	IER5	0.9294000000000001	92	1
6_MACS_peak_5608_lociStitched	chr12	7045695	7080825	6	23067	68341.902	7036.539	93	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	2.2061	93	1
1_MACS_peak_2911_lociStitched	chr10	11201828	11224736	1	22909	142274.7156	7090.026	94	CELF2		CELF2	CELF2	1.1314000000000002	94	1
4_MACS_peak_24700_lociStitched	chr7	90329825	90368180	4	22902	78574.053	7759.2165	95	CDK14		CDK14	CDK14	0.12999999999999998	95	1
2_MACS_peak_452_lociStitched	chr1	31213470	31236577	2	22874	109894.5813	5376.9989	96	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	2.972	96	1
4_MACS_peak_11977_lociStitched	chr18	23739164	23772097	4	22786	98858.2794	5401.012	97	PSMA8	TAF4B	PSMA8	PSMA8	1.3352	97	1
4_MACS_peak_8559_lociStitched	chr15	40330037	40358849	4	22589	73917.186	5223.6156	98	SRP14	BMF	SRP14	BMF	3.5783	98	1
3_MACS_peak_6711_lociStitched	chr12	109008375	109036234	3	22537	132374.8244	6571.9381	99	SELPLG	TMEM119	SELPLG	SELPLG	5.356	99	1
3_MACS_peak_11546_lociStitched	chr17	72732825	72757130	3	22507	49832.5415	4564.479	100	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	0.7713	100	1
1_MACS_peak_16337_lociStitched	chr20	52194051	52216503	1	22453	72998.1876	4162.6008	101	ZNF217		ZNF217	ZNF217	1.0873	101	1
1_MACS_peak_16732_lociStitched	chr21	41323397	41345752	1	22356	114587.259	7495.6315	102			PCP4	PCP4	0.42160000000000003	102	1
4_MACS_peak_2062_lociStitched	chr1	183856233	183885903	4	22293	90870.309	7438.269	103	RGL1		GLT25D2	GLT25D2	NONE	103	1
2_MACS_peak_16209_lociStitched	chr20	43672276	43694811	2	22275	67152.0465	3826.443	104	STK4	KCNS1,WFDC5	KCNS1	KCNS1	0.1298	104	1
2_MACS_peak_16965_lociStitched	chr22	23262040	23286791	2	22267	221405.1203	5363.5417	105		IGLL5	IGLL5	IGLL5	7.8832	105	1
4_MACS_peak_12454_lociStitched	chr19	2594343	2629039	4	22253	121047.4048	8774.6184	106	GNG7		GNG7	GNG7	0.63	106	1
2_MACS_peak_308_lociStitched	chr1	24511736	24534778	2	22154	137496.2224	4700.568	107	LOC284632,IL28RA	IL22RA1	LOC284632	LOC284632	2.3266	107	1
1_MACS_peak_11877_lociStitched	chr18	9132797	9154919	1	22123	53048.556	4904.4474	108	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.2862	108	1
4_MACS_peak_14525_lociStitched	chr2	106324948	106353231	4	22100	46797.0518	4307.5009	109		NCK2	NCK2	NCK2	0.17370000000000002	109	1
4_MACS_peak_8074_lociStitched	chr14	77487892	77511096	4	22058	52257.7284	2438.7404	110	C14orf4		C14orf4	C14orf4	2.0491	110	1
3_MACS_peak_26372_lociStitched	chr8	126285286	126316046	3	22047	37702.532	5542.952	111	NSMCE2		TRIB1	TRIB1	0.9146	111	1
6_MACS_peak_8228_lociStitched	chr14	95945632	95986337	6	22030	39023.8835	3508.771	112		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	C14orf49	0.28090000000000004	112	1
5_MACS_peak_16180_lociStitched	chr20	42564695	42593837	5	22019	55457.226	4671.4626	113	TOX2		TOX2	TOX2	0.6893	113	1
2_MACS_peak_27392_lociStitched	chr9	112903522	112925612	2	21962	49108.279	5365.661	114	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.44619999999999993	114	1
6_MACS_peak_10124_lociStitched	chr16	67562376	67601716	6	21931	63368.872	6101.634	115	FAM65A,CTCF	ATP6V0D1,AGRP	FAM65A	FAM65A	1.1709	115	1
4_MACS_peak_8535_lociStitched	chr15	38455120	38486734	4	21844	54543.6342	4934.9454	116			SPRED1	SPRED1	NONE	116	1
2_MACS_peak_1725_lociStitched	chr1	156450479	156476395	2	21774	58938.1672	7466.3996	117	MEF2D		MEF2D	MEF2D	1.0477999999999998	117	1
1_MACS_peak_4237_lociStitched	chr11	10323486	10345098	1	21613	111332.0568	5351.1312	118	ADM	SBF2	ADM	ADM	5.2146	118	1
4_MACS_peak_13952_lociStitched	chr2	47522210	47550883	4	21411	85715.0662	5043.5807	119		EPCAM	EPCAM	NONE	NONE	119	1
5_MACS_peak_8359_lociStitched	chr15	20969445	20996830	5	21338	37933.702	4354.215	120		BCL8	BCL8	NONE	NONE	120	1
2_MACS_peak_9744_lociStitched	chr16	23341874	23366300	2	21295	115339.572	4636.0548	121	SCNN1B		SCNN1B	SCNN1B	1.8037	121	1
3_MACS_peak_10915_lociStitched	chr17	34408725	34432963	3	21294	72161.3736	5429.312	122	CCL4,CCL3	CCL18	CCL3	CCL3	2.6582	122	1
3_MACS_peak_3201_lociStitched	chr10	45913213	45935791	3	21198	113472.5124	4504.311	123	ALOX5		ALOX5	ALOX5	1.3696	123	1
4_MACS_peak_14448_lociStitched	chr2	97189606	97220698	4	21151	75317.2608	5780.0028	124	ARID5A	NEURL3	ARID5A	ARID5A	1.4709	124	1
1_MACS_peak_4914_lociStitched	chr11	72850745	72871854	1	21110	148085.9677	4772.7449	125	FCHSD2		FCHSD2	FCHSD2	0.0947	125	1
4_MACS_peak_10311_lociStitched	chr16	81841341	81871662	4	21049	50105.4525	2877.4629	126	PLCG2		PLCG2	PLCG2	0.27230000000000004	126	1
2_MACS_peak_19826_lociStitched	chr4	74453697	74476575	2	21016	65369.3094	4106.601	127	RASSF6		RASSF6	RASSF6	1.1281999999999999	127	1
5_MACS_peak_8107_lociStitched	chr14	81930593	81956211	5	20959	57753.2192	3222.7444	128	SEL1L		SEL1L	SEL1L	0.7809	128	1
4_MACS_peak_24181_lociStitched	chr7	25979851	26012371	4	20827	123634.536	6224.328	129	MIR148A		MIR148A	MIR148A	2.6481999999999997	129	1
4_MACS_peak_14091_lociStitched	chr2	64429702	64456494	4	20824	54623.5296	5138.7056	130	LOC150992		LOC150992	LOC150992	0.5545	130	1
5_MACS_peak_14396_lociStitched	chr2	88898877	88928608	5	20773	33257.0966	6195.9404	131	EIF2AK3		EIF2AK3	EIF2AK3	0.31170000000000003	131	1
6_MACS_peak_14106_lociStitched	chr2	64862651	64896354	6	20759	54319.1251	5938.4686	132	SERTAD2	LOC339807	SERTAD2	SERTAD2	1.199	132	1
4_MACS_peak_14121_lociStitched	chr2	65156240	65178655	4	20673	115098.7835	5171.1405	133	LOC400958	SLC1A4	LOC400958	LOC400958	2.0943	133	1
4_MACS_peak_18503_lociStitched	chr3	124487278	124513313	4	20655	54168.421	4402.5185	134	ITGB5	UMPS	UMPS	NONE	NONE	134	1
5_MACS_peak_9236_lociStitched	chr15	89646595	89675502	5	20626	66804.077	5252.4019	135	ABHD2		ABHD2	ABHD2	0.5291	135	1
4_MACS_peak_25329_lociStitched	chr7	150100700	150134446	4	20479	92302.0592	8358.8842	136	LOC728743,LOC285972	REPIN1,ZNF775,GIMAP8	LOC285972	REPIN1	4.446400000000001	136	1
5_MACS_peak_14402_lociStitched	chr2	89039364	89066916	5	20432	74966.2368	4339.44	137	RPIA,ANKRD36BP2		ANKRD36BP2	NONE	NONE	137	1
1_MACS_peak_6139_lociStitched	chr12	53585024	53605406	1	20383	98983.1448	5028.2394	138	ITGB7,RARG	ZNF740,MFSD5,CSAD	ITGB7	ITGB7	3.6547	138	1
4_MACS_peak_602_lociStitched	chr1	40029959	40065685	4	20383	33893.2562	5780.4668	139	PABPC4,SNORA55	PPIEL,HEYL	PABPC4	PABPC4	0.651	139	1
3_MACS_peak_2277_lociStitched	chr1	204474536	204501237	3	20349	114189.4966	7187.9092	140	MDM4	PIK3C2B	MDM4	MDM4	1.8897000000000002	140	1
3_MACS_peak_22487_lociStitched	chr6	25365851	25390466	3	20261	64451.916	5060.844	141	LRRC16A		LRRC16A	LRRC16A	0.5386	141	1
3_MACS_peak_17258_lociStitched	chr22	39822828	39847376	3	20248	99812.168	4693.5776	142	TAB1	MGAT3	MGAT3	MGAT3	0.548	142	1
3_MACS_peak_20877_lociStitched	chr5	32570498	32593038	3	20239	73823.008	4708.606	143	SUB1		SUB1	SUB1	1.5566	143	1
4_MACS_peak_16804_lociStitched	chr21	45552521	45581437	4	20090	108900.5476	6986.1056	144	C21orf33	PWP2	C21orf33	C21orf33	1.3034999999999999	144	1
1_MACS_peak_21328_lociStitched	chr5	88110666	88130720	1	20055	41784.5144	4237.4102	145	MEF2C		MEF2C	MEF2C	0.5811999999999999	145	1
2_MACS_peak_15478_lociStitched	chr2	219741108	219763541	2	20034	76521.2063	4405.8412	146	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	3.0773	146	1
3_MACS_peak_7575_lociStitched	chr13	115023341	115048589	3	20020	57176.6208	4559.7888	147	CDC16,UPF3A	ZNF828	UPF3A	UPF3A	0.7657	147	1
5_MACS_peak_11683_lociStitched	chr17	76753779	76779898	5	19942	56336.0711	5087.9812	148	CYTH1		CYTH1	CYTH1	0.8851	148	1
4_MACS_peak_21895_lociStitched	chr5	150512594	150538195	4	19926	43393.695	5148.3611	149	ANXA6		ANXA6	ANXA6	0.5656	149	1
5_MACS_peak_17584_lociStitched	chr3	14712756	14742596	5	19868	77786.912	5051.912	150	C3orf19,C3orf20		C3orf20	C3orf20	0.8861	150	1
2_MACS_peak_18291_lociStitched	chr3	98472926	98497279	2	19838	75262.9465	4931.4825	151	ST3GAL6		ST3GAL6	ST3GAL6	1.3469	151	1
3_MACS_peak_20814_lociStitched	chr5	15426502	15451487	3	19822	62270.1155	3837.696	152		FBXL7	FBXL7	NONE	NONE	152	1
6_MACS_peak_23400_lociStitched	chr6	113946299	113974158	6	19525	60880.2727	4944.9725	153			MARCKS	MARCKS	NONE	153	1
2_MACS_peak_4347_lociStitched	chr11	19449641	19472344	2	19440	122246.5738	4778.9815	154	NAV2		FLJ13439	FLJ13439	NONE	154	1
1_MACS_peak_19638_lociStitched	chr4	40190537	40209962	1	19426	100547.685	5359.3575	155	RHOH		RHOH	RHOH	1.5272999999999999	155	1
2_MACS_peak_17712_lociStitched	chr3	30682351	30703713	2	19370	43965.1322	4058.78	156	TGFBR2		TGFBR2	TGFBR2	0.4943	156	1
2_MACS_peak_8529_lociStitched	chr15	38360569	38382087	2	19369	95576.5006	4290.6892	157			TMCO5A	TMCO5A	NONE	157	1
5_MACS_peak_2294_lociStitched	chr1	205242255	205271173	5	19358	100758.9874	6648.2482	158	TMCC2	NUAK2	NUAK2	NUAK2	0.8170000000000001	158	1
3_MACS_peak_1700_lociStitched	chr1	155938358	155962339	3	19317	75501.7804	6213.4771	159	ARHGEF2	RXFP4,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	2.0699	159	1
4_MACS_peak_27672_lociStitched	chr9	134126728	134153509	4	19297	55591.9998	4949.1288	160	FAM78A	PPAPDC3	FAM78A	FAM78A	1.5548	160	1
2_MACS_peak_1638_lociStitched	chr1	154374405	154394798	2	19273	87439.0661	6232.1008	161	IL6R		IL6R	IL6R	1.1152	161	1
4_MACS_peak_17559_lociStitched	chr3	13035383	13062117	4	19172	93296.3132	5528.5912	162	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.48429999999999995	162	1
5_MACS_peak_18837_lociStitched	chr3	156795279	156824992	5	19171	67513.8786	8001.7109	163	LOC100498859,LOC339894		LOC100498859	LOC100498859	2.6381	163	1
2_MACS_peak_18927_lociStitched	chr3	169647360	169668630	2	19148	89897.655	5772.678	164	SAMD7,LOC100128164	SEC62	LOC100128164	LOC100128164	2.8193	164	1
