REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
3_MACS_peak_15243_lociStitched	chr2	197023159	197053672	3	26155	84557.6256	6059.8818	82	STK17B		STK17B	STK17B	0.8242	82	1
1_MACS_peak_16732_lociStitched	chr21	41323397	41345752	1	22356	114587.259	7495.6315	83			PCP4	PCP4	0.42160000000000003	83	1
4_MACS_peak_17885_lociStitched	chr3	46127073	46154239	4	25636	87482.6698	5286.5036	84			XCR1	XCR1	NONE	84	1
3_MACS_peak_22082_lociStitched	chr5	173309919	173344077	3	28636	49932.1644	6732.5418	85	CPEB4		CPEB4	CPEB4	0.5756000000000001	85	1
4_MACS_peak_6039_lociStitched	chr12	48195986	48220916	4	24273	97254.423	5055.804	86	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.9450000000000003	86	1
2_MACS_peak_9744_lociStitched	chr16	23341874	23366300	2	21295	115339.572	4636.0548	87	SCNN1B		SCNN1B	SCNN1B	1.8037	87	1
4_MACS_peak_20620_lociStitched	chr4	185317572	185350150	4	24780	92319.5364	6082.3126	88	IRF2		IRF2	IRF2	2.1485	88	1
3_MACS_peak_3201_lociStitched	chr10	45913213	45935791	3	21198	113472.5124	4504.311	89	ALOX5		ALOX5	ALOX5	1.3696	89	1
1_MACS_peak_4237_lociStitched	chr11	10323486	10345098	1	21613	111332.0568	5351.1312	90	ADM	SBF2	ADM	ADM	5.2146	90	1
2_MACS_peak_4347_lociStitched	chr11	19449641	19472344	2	19440	122246.5738	4778.9815	91	NAV2		FLJ13439	FLJ13439	NONE	91	1
4_MACS_peak_14121_lociStitched	chr2	65156240	65178655	4	20673	115098.7835	5171.1405	92	LOC400958	SLC1A4	LOC400958	LOC400958	2.0943	92	1
3_MACS_peak_17497_lociStitched	chr3	5221770	5256417	3	26316	70860.0444	7019.4822	93	ARL8B,EDEM1		EDEM1	EDEM1	1.3136	93	1
4_MACS_peak_9362_lociStitched	chr15	101660638	101692646	4	25377	79344.6312	5399.7496	94			CHSY1	CHSY1	NONE	94	1
4_MACS_peak_16137_lociStitched	chr20	37486570	37510861	4	16706	130309.0695	4275.216	95	PPP1R16B	FAM83D	FAM83D	FAM83D	0.006000000000000005	95	1
4_MACS_peak_11977_lociStitched	chr18	23739164	23772097	4	22786	98858.2794	5401.012	96	PSMA8	TAF4B	PSMA8	PSMA8	1.3352	96	1
4_MACS_peak_6154_lociStitched	chr12	53845723	53874632	4	27991	35876.069	6096.9081	97	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	0.7708999999999999	97	1
3_MACS_peak_11347_lociStitched	chr17	56404856	56430953	3	19148	119247.6318	5939.6772	98	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	5.001799999999999	98	1
3_MACS_peak_2277_lociStitched	chr1	204474536	204501237	3	20349	114189.4966	7187.9092	99	MDM4	PIK3C2B	MDM4	MDM4	1.8897000000000002	99	1
1_MACS_peak_4736_lociStitched	chr11	65183101	65199286	1	16186	129996.3015	4832.841	100	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.814500000000001	100	1
2_MACS_peak_9024_lociStitched	chr15	75063283	75093124	2	24354	81104.8539	6099.5004	101	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	2.0157	101	1
2_MACS_peak_2915_lociStitched	chr10	11282104	11313468	2	25604	68348.4288	6671.1228	102	CELF2		CELF2	CELF2	0.6128	102	1
4_MACS_peak_2027_lociStitched	chr1	181095185	181129712	4	23107	93326.481	7993.0005	103		IER5	IER5	IER5	0.9294000000000001	103	1
5_MACS_peak_23205_lociStitched	chr6	90053749	90086268	5	24664	77196.8541	6890.7761	104	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.2976999999999999	104	1
2_MACS_peak_17892_lociStitched	chr3	46244847	46265384	2	17754	120340.6589	4744.047	105	CCR1	CCR3	CCR1	CCR1	5.1234	105	1
4_MACS_peak_16804_lociStitched	chr21	45552521	45581437	4	20090	108900.5476	6986.1056	106	C21orf33	PWP2	C21orf33	C21orf33	1.3034999999999999	106	1
4_MACS_peak_16357_lociStitched	chr20	52530311	52567041	4	24539	73382.867	6269.811	107	BCAS1	SUMO1P1	SUMO1P1	SUMO1P1	2.6595	107	1
3_MACS_peak_11874_lociStitched	chr18	9094917	9126518	3	24572	72337.8491	6851.0968	108	NDUFV2	ANKRD12	NDUFV2	NDUFV2	2.1884	108	1
4_MACS_peak_6901_lociStitched	chr12	123354777	123387459	4	25836	52588.6062	3385.8552	109	VPS37B	HIP1R	VPS37B	VPS37B	1.0945	109	1
2_MACS_peak_1553_lociStitched	chr1	150532196	150553376	2	18183	116750.514	7273.212	110	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.0943999999999998	110	1
4_MACS_peak_2062_lociStitched	chr1	183856233	183885903	4	22293	90870.309	7438.269	111	RGL1		GLT25D2	GLT25D2	NONE	111	1
3_MACS_peak_17258_lociStitched	chr22	39822828	39847376	3	20248	99812.168	4693.5776	112	TAB1	MGAT3	MGAT3	MGAT3	0.548	112	1
2_MACS_peak_8564_lociStitched	chr15	40386097	40409338	2	18950	107498.9214	5133.9369	113	BMF	BUB1B	BMF	BMF	3.5783	113	1
1_MACS_peak_6139_lociStitched	chr12	53585024	53605406	1	20383	98983.1448	5028.2394	114	ITGB7,RARG	ZNF740,MFSD5,CSAD	ITGB7	ITGB7	3.6547	114	1
1_MACS_peak_10093_lociStitched	chr16	66548823	66562236	1	13414	128268.519	3460.554	115	TK2	CKLF,CMTM1	TK2	TK2	2.9066	115	1
4_MACS_peak_24700_lociStitched	chr7	90329825	90368180	4	22902	78574.053	7759.2165	116	CDK14		CDK14	CDK14	0.12999999999999998	116	1
4_MACS_peak_18987_lociStitched	chr3	175049666	175074652	4	23633	69568.5198	6411.4076	117	NAALADL2		NAALADL2	NAALADL2	0.17279999999999998	117	1
1_MACS_peak_22490_lociStitched	chr6	25401483	25415964	1	14482	122258.7387	3898.2852	118	LRRC16A		LRRC16A	LRRC16A	0.5386	118	1
4_MACS_peak_3882_lociStitched	chr10	112101331	112128981	4	16449	115701.425	5256.265	119		SMNDC1	SMNDC1	SMNDC1	0.09189999999999998	119	1
1_MACS_peak_19638_lociStitched	chr4	40190537	40209962	1	19426	100547.685	5359.3575	120	RHOH		RHOH	RHOH	1.5272999999999999	120	1
4_MACS_peak_13952_lociStitched	chr2	47522210	47550883	4	21411	85715.0662	5043.5807	121		EPCAM	EPCAM	NONE	NONE	121	1
5_MACS_peak_2294_lociStitched	chr1	205242255	205271173	5	19358	100758.9874	6648.2482	122	TMCC2	NUAK2	NUAK2	NUAK2	0.8170000000000001	122	1
4_MACS_peak_12785_lociStitched	chr19	16243849	16272849	4	23562	65241.3	5043.1	123	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.7435	123	1
3_MACS_peak_9612_lociStitched	chr16	12051755	12072379	3	17024	110686.9456	4405.2864	124	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	7.729	124	1
4_MACS_peak_8559_lociStitched	chr15	40330037	40358849	4	22589	73917.186	5223.6156	125	SRP14	BMF	SRP14	BMF	3.5783	125	1
1_MACS_peak_15126_lociStitched	chr2	182167403	182180980	1	13578	122603.0254	3739.1058	126			ITGA4	ITGA4	NONE	126	1
1_MACS_peak_16337_lociStitched	chr20	52194051	52216503	1	22453	72998.1876	4162.6008	127	ZNF217		ZNF217	ZNF217	1.0873	127	1
2_MACS_peak_8529_lociStitched	chr15	38360569	38382087	2	19369	95576.5006	4290.6892	128			TMCO5A	TMCO5A	NONE	128	1
4_MACS_peak_25329_lociStitched	chr7	150100700	150134446	4	20479	92302.0592	8358.8842	129	LOC728743,LOC285972	REPIN1,ZNF775,GIMAP8	LOC285972	REPIN1	4.446400000000001	129	1
6_MACS_peak_5608_lociStitched	chr12	7045695	7080825	6	23067	68341.902	7036.539	130	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	2.2061	130	1
5_MACS_peak_8368_lociStitched	chr15	21975886	22004848	5	24926	38024.2098	4680.2592	131		LOC646214,CXADRP2	CXADRP2	LOC646214	0.0968	131	1
5_MACS_peak_21477_lociStitched	chr5	109247507	109282915	5	23819	57134.3488	5775.0448	132		LOC100289673	LOC100289673	NONE	NONE	132	1
1_MACS_peak_5716_lociStitched	chr12	12865820	12881849	1	16030	110244.2562	3859.7832	133	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	7.0341	133	1
2_MACS_peak_16209_lociStitched	chr20	43672276	43694811	2	22275	67152.0465	3826.443	134	STK4	KCNS1,WFDC5	KCNS1	KCNS1	0.1298	134	1
3_MACS_peak_16341_lociStitched	chr20	52257542	52280650	3	18714	94969.2584	4251.872	135			ZNF217	ZNF217	1.0873	135	1
4_MACS_peak_17559_lociStitched	chr3	13035383	13062117	4	19172	93296.3132	5528.5912	136	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.48429999999999995	136	1
2_MACS_peak_12430_lociStitched	chr19	2081476	2098468	2	15448	111482.8128	6061.0464	137	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	3.0279000000000003	137	1
7_MACS_peak_10259_lociStitched	chr16	78768985	78805255	7	24470	28348.632	4461.21	138	WWOX		WWOX	WWOX	0.027500000000000004	138	1
4_MACS_peak_14448_lociStitched	chr2	97189606	97220698	4	21151	75317.2608	5780.0028	139	ARID5A	NEURL3	ARID5A	ARID5A	1.4709	139	1
2_MACS_peak_18927_lociStitched	chr3	169647360	169668630	2	19148	89897.655	5772.678	140	SAMD7,LOC100128164	SEC62	LOC100128164	LOC100128164	2.8193	140	1
3_MACS_peak_10915_lociStitched	chr17	34408725	34432963	3	21294	72161.3736	5429.312	141	CCL4,CCL3	CCL18	CCL3	CCL3	2.6582	141	1
2_MACS_peak_1638_lociStitched	chr1	154374405	154394798	2	19273	87439.0661	6232.1008	142	IL6R		IL6R	IL6R	1.1152	142	1
6_MACS_peak_10124_lociStitched	chr16	67562376	67601716	6	21931	63368.872	6101.634	143	FAM65A,CTCF	ATP6V0D1,AGRP	FAM65A	FAM65A	1.1709	143	1
5_MACS_peak_14402_lociStitched	chr2	89039364	89066916	5	20432	74966.2368	4339.44	144	RPIA,ANKRD36BP2		ANKRD36BP2	NONE	NONE	144	1
2_MACS_peak_15478_lociStitched	chr2	219741108	219763541	2	20034	76521.2063	4405.8412	145	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	3.0773	145	1
5_MACS_peak_17584_lociStitched	chr3	14712756	14742596	5	19868	77786.912	5051.912	146	C3orf19,C3orf20		C3orf20	C3orf20	0.8861	146	1
3_MACS_peak_11546_lociStitched	chr17	72732825	72757130	3	22507	49832.5415	4564.479	147	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	0.7713	147	1
3_MACS_peak_11633_lociStitched	chr17	75128687	75147623	3	18646	85456.2744	4124.2608	148	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	2.5069	148	1
3_MACS_peak_20877_lociStitched	chr5	32570498	32593038	3	20239	73823.008	4708.606	149	SUB1		SUB1	SUB1	1.5566	149	1
5_MACS_peak_16180_lociStitched	chr20	42564695	42593837	5	22019	55457.226	4671.4626	150	TOX2		TOX2	TOX2	0.6893	150	1
4_MACS_peak_8074_lociStitched	chr14	77487892	77511096	4	22058	52257.7284	2438.7404	151	C14orf4		C14orf4	C14orf4	2.0491	151	1
2_MACS_peak_19826_lociStitched	chr4	74453697	74476575	2	21016	65369.3094	4106.601	152	RASSF6		RASSF6	RASSF6	1.1281999999999999	152	1
1_MACS_peak_11877_lociStitched	chr18	9132797	9154919	1	22123	53048.556	4904.4474	153	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.2862	153	1
2_MACS_peak_1713_lociStitched	chr1	156115317	156133458	2	18075	89723.5719	6062.7222	154	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.2258999999999998	154	1
2_MACS_peak_1725_lociStitched	chr1	156450479	156476395	2	21774	58938.1672	7466.3996	155	MEF2D		MEF2D	MEF2D	1.0477999999999998	155	1
2_MACS_peak_18291_lociStitched	chr3	98472926	98497279	2	19838	75262.9465	4931.4825	156	ST3GAL6		ST3GAL6	ST3GAL6	1.3469	156	1
4_MACS_peak_8535_lociStitched	chr15	38455120	38486734	4	21844	54543.6342	4934.9454	157			SPRED1	SPRED1	NONE	157	1
2_MACS_peak_9140_lociStitched	chr15	81575311	81597362	2	18611	83945.9519	5331.9318	158	IL16	STARD5	IL16	STARD5	0.9529000000000001	158	1
5_MACS_peak_9236_lociStitched	chr15	89646595	89675502	5	20626	66804.077	5252.4019	159	ABHD2		ABHD2	ABHD2	0.5291	159	1
1_MACS_peak_14622_lociStitched	chr2	112455236	112468656	1	13421	106957.4	3003.396	160			ANAPC1	ANAPC1	NONE	160	1
2_MACS_peak_15311_lociStitched	chr2	201979844	201998136	2	16020	97168.9332	4722.9944	161	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	1.628	161	1
4_MACS_peak_14525_lociStitched	chr2	106324948	106353231	4	22100	46797.0518	4307.5009	162		NCK2	NCK2	NCK2	0.17370000000000002	162	1
2_MACS_peak_27392_lociStitched	chr9	112903522	112925612	2	21962	49108.279	5365.661	163	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.44619999999999993	163	1
