#10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_ROSE/10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam
#Using cutoff of 22673.2851 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	isSuper
2_MACS_peak_4363_lociStitched	chr11	22676317	22704716	2	24810	117631.4979	5228.2559	56	1
4_MACS_peak_12454_lociStitched	chr19	2594343	2629039	4	22253	121047.4048	8774.6184	57	1
2_MACS_peak_25327_lociStitched	chr7	150052910	150084976	2	27371	120343.698	8866.249	58	1
2_MACS_peak_9744_lociStitched	chr16	23341874	23366300	2	21295	115339.572	4636.0548	59	1
4_MACS_peak_3882_lociStitched	chr10	112101331	112128981	4	16449	115701.425	5256.265	60	1
4_MACS_peak_14121_lociStitched	chr2	65156240	65178655	4	20673	115098.7835	5171.1405	61	1
2_MACS_peak_1553_lociStitched	chr1	150532196	150553376	2	18183	116750.514	7273.212	62	1
2_MACS_peak_21335_lociStitched	chr5	88594049	88621288	2	25916	114855.9674	5695.6749	63	1
3_MACS_peak_3201_lociStitched	chr10	45913213	45935791	3	21198	113472.5124	4504.311	64	1
5_MACS_peak_17895_lociStitched	chr3	46317415	46365252	5	39769	117382.4306	8505.4186	65	1
1_MACS_peak_16732_lociStitched	chr21	41323397	41345752	1	22356	114587.259	7495.6315	66	1
3_MACS_peak_2277_lociStitched	chr1	204474536	204501237	3	20349	114189.4966	7187.9092	67	1
4_MACS_peak_16345_lociStitched	chr20	52336307	52372852	4	27395	112850.96	6015.307	68	1
1_MACS_peak_5716_lociStitched	chr12	12865820	12881849	1	16030	110244.2562	3859.7832	69	1
3_MACS_peak_9612_lociStitched	chr16	12051755	12072379	3	17024	110686.9456	4405.2864	70	1
1_MACS_peak_4237_lociStitched	chr11	10323486	10345098	1	21613	111332.0568	5351.1312	71	1
1_MACS_peak_20612_lociStitched	chr4	185200710	185211830	1	11121	108865.912	2964.592	72	1
2_MACS_peak_12430_lociStitched	chr19	2081476	2098468	2	15448	111482.8128	6061.0464	73	1
7_MACS_peak_13132_lociStitched	chr19	42022229	42070730	7	32785	114404.1588	9069.687	74	1
1_MACS_peak_16753_lociStitched	chr21	43478856	43487318	1	8463	108299.2146	3092.0148	75	1
2_MACS_peak_452_lociStitched	chr1	31213470	31236577	2	22874	109894.5813	5376.9989	76	1
1_MACS_peak_14622_lociStitched	chr2	112455236	112468656	1	13421	106957.4	3003.396	77	1
7_MACS_peak_10147_lociStitched	chr16	68269565	68321032	7	37747	113340.6274	9475.0747	78	1
3_MACS_peak_19951_lociStitched	chr4	84130532	84164362	3	24124	109758.052	6617.148	79	1
2_MACS_peak_23183_lociStitched	chr6	88611485	88640577	2	28583	108888.4468	5949.314	80	1
2_MACS_peak_8564_lociStitched	chr15	40386097	40409338	2	18950	107498.9214	5133.9369	81	1
2_MACS_peak_2894_lociStitched	chr10	7510727	7537616	2	24717	107383.9104	5251.4217	82	1
4_MACS_peak_16804_lociStitched	chr21	45552521	45581437	4	20090	108900.5476	6986.1056	83	1
2_MACS_peak_23826_lociStitched	chr6	157975471	158007580	2	27559	103875.8259	3554.4663	84	1
3_MACS_peak_13623_lociStitched	chr2	20391273	20426627	3	24985	106040.7876	6445.0342	85	1
4_MACS_peak_17177_lociStitched	chr22	37609340	37642346	4	25394	104850.1602	7208.5104	86	1
1_MACS_peak_3892_lociStitched	chr10	112213896	112226764	1	12869	99177.5364	2689.412	87	1
1_MACS_peak_23301_lociStitched	chr6	106530283	106556567	1	26285	102920.2588	6836.4684	88	1
4_MACS_peak_6529_lociStitched	chr12	92929335	92964767	4	28363	102529.5784	6849.0056	89	1
1_MACS_peak_20619_lociStitched	chr4	185300409	185308961	1	8553	98061.508	2505.736	90	1
1_MACS_peak_12258_lociStitched	chr18	60821579	60832183	1	10605	98652.1932	3217.2536	91	1
1_MACS_peak_19638_lociStitched	chr4	40190537	40209962	1	19426	100547.685	5359.3575	92	1
3_MACS_peak_17258_lociStitched	chr22	39822828	39847376	3	20248	99812.168	4693.5776	93	1
1_MACS_peak_14344_lociStitched	chr2	86218252	86230897	1	12646	97314.6555	2775.5775	94	1
5_MACS_peak_8462_lociStitched	chr15	31616454	31660697	5	37378	102157.087	7937.1942	95	1
5_MACS_peak_2294_lociStitched	chr1	205242255	205271173	5	19358	100758.9874	6648.2482	96	1
1_MACS_peak_5445_lociStitched	chr11	128585190	128610652	1	25463	99780.4856	5779.874	97	1
1_MACS_peak_6139_lociStitched	chr12	53585024	53605406	1	20383	98983.1448	5028.2394	98	1
1_MACS_peak_19042_lociStitched	chr3	178228487	178241795	1	13309	97941.5568	4218.636	99	1
7_MACS_peak_2127_lociStitched	chr1	192475695	192521245	7	32099	104496.255	10918.335	100	1
4_MACS_peak_11977_lociStitched	chr18	23739164	23772097	4	22786	98858.2794	5401.012	101	1
2_MACS_peak_15311_lociStitched	chr2	201979844	201998136	2	16020	97168.9332	4722.9944	102	1
4_MACS_peak_6039_lociStitched	chr12	48195986	48220916	4	24273	97254.423	5055.804	103	1
3_MACS_peak_11427_lociStitched	chr17	62149798	62187405	3	37018	99790.1745	7874.9058	104	1
2_MACS_peak_8529_lociStitched	chr15	38360569	38382087	2	19369	95576.5006	4290.6892	105	1
3_MACS_peak_16341_lociStitched	chr20	52257542	52280650	3	18714	94969.2584	4251.872	106	1
1_MACS_peak_13857_lociStitched	chr2	42322841	42336943	1	14103	92447.0712	3106.6706	107	1
7_MACS_peak_22961_lociStitched	chr6	52392472	52443046	7	40346	99150.327	9872.0448	108	1
5_MACS_peak_27482_lociStitched	chr9	123630341	123668201	5	29379	95062.674	6614.142	109	1
4_MACS_peak_1795_lociStitched	chr1	160633638	160655593	4	15125	94979.5255	6922.4115	110	1
2_MACS_peak_8460_lociStitched	chr15	31546203	31562988	2	15559	91056.9465	3101.868	111	1
4_MACS_peak_17559_lociStitched	chr3	13035383	13062117	4	19172	93296.3132	5528.5912	112	1
1_MACS_peak_22355_lociStitched	chr6	11826569	11838370	1	11802	89773.7473	2505.3523	113	1
1_MACS_peak_2381_lociStitched	chr1	209273116	209285919	1	12804	90902.5803	3662.9383	114	1
5_MACS_peak_14605_lociStitched	chr2	112186226	112242293	5	42404	95835.3231	9178.1679	115	1
4_MACS_peak_20620_lociStitched	chr4	185317572	185350150	4	24780	92319.5364	6082.3126	116	1
4_MACS_peak_2027_lociStitched	chr1	181095185	181129712	4	23107	93326.481	7993.0005	117	1
2_MACS_peak_21337_lociStitched	chr5	88633739	88653161	2	16533	88921.6848	4235.9382	118	1
2_MACS_peak_18927_lociStitched	chr3	169647360	169668630	2	19148	89897.655	5772.678	119	1
4_MACS_peak_25329_lociStitched	chr7	150100700	150134446	4	20479	92302.0592	8358.8842	120	1
2_MACS_peak_1713_lociStitched	chr1	156115317	156133458	2	18075	89723.5719	6062.7222	121	1
6_MACS_peak_17901_lociStitched	chr3	46388477	46439610	6	35775	92734.8088	9101.674	122	1
4_MACS_peak_2062_lociStitched	chr1	183856233	183885903	4	22293	90870.309	7438.269	123	1
2_MACS_peak_6525_lociStitched	chr12	92851139	92867499	2	15825	86634.38	3731.716	124	1
3_MACS_peak_17913_lociStitched	chr3	46577145	46601156	3	17500	87313.6004	4482.8537	125	1
4_MACS_peak_17885_lociStitched	chr3	46127073	46154239	4	25636	87482.6698	5286.5036	126	1
1_MACS_peak_12997_lociStitched	chr19	35693648	35708254	1	14607	85192.4162	3046.8116	127	1
3_MACS_peak_2888_lociStitched	chr10	6953954	6973769	3	11822	85723.653	3984.7965	128	1
4_MACS_peak_12112_lociStitched	chr18	46439099	46483178	4	40750	90031.3575	8480.7996	129	1
3_MACS_peak_11633_lociStitched	chr17	75128687	75147623	3	18646	85456.2744	4124.2608	130	1
2_MACS_peak_1638_lociStitched	chr1	154374405	154394798	2	19273	87439.0661	6232.1008	131	1
2_MACS_peak_6519_lociStitched	chr12	92753302	92771129	2	17421	84680.0327	3738.3219	132	1
1_MACS_peak_7554_lociStitched	chr13	114555686	114568391	1	12706	83772.9585	3100.02	133	1
4_MACS_peak_13952_lociStitched	chr2	47522210	47550883	4	21411	85715.0662	5043.5807	134	1
5_MACS_peak_3886_lociStitched	chr10	112146345	112186579	5	32776	86680.1296	6099.4744	135	1
2_MACS_peak_9140_lociStitched	chr15	81575311	81597362	2	18611	83945.9519	5331.9318	136	1
3_MACS_peak_15243_lociStitched	chr2	197023159	197053672	3	26155	84557.6256	6059.8818	137	1
1_MACS_peak_24651_lociStitched	chr7	78113449	78128722	1	15274	81527.274	3972.5073	138	1
4_MACS_peak_25651_lociStitched	chr8	27208517	27253616	4	31471	85909.0851	9073.9188	139	1
1_MACS_peak_21329_lociStitched	chr5	88170793	88187196	1	16404	79487.2977	4028.5768	140	1
2_MACS_peak_9024_lociStitched	chr15	75063283	75093124	2	24354	81104.8539	6099.5004	141	1
1_MACS_peak_18981_lociStitched	chr3	174863712	174873739	1	10028	78078.2436	3128.424	142	1
5_MACS_peak_26070_lociStitched	chr8	81046239	81084510	5	28019	82278.8229	7730.742	143	1
1_MACS_peak_7563_lociStitched	chr13	114828904	114835160	1	6257	76261.8912	1912.4592	144	1
4_MACS_peak_9362_lociStitched	chr15	101660638	101692646	4	25377	79344.6312	5399.7496	145	1
2_MACS_peak_25194_lociStitched	chr7	136031538	136048117	2	16357	78572.8547	4748.2256	146	1
1_MACS_peak_10023_lociStitched	chr16	56942577	56954913	1	12337	75802.2528	2705.2848	147	1
4_MACS_peak_2640_lociStitched	chr1	230256346	230287763	4	18141	80304.9937	7235.3351	148	1
5_MACS_peak_17584_lociStitched	chr3	14712756	14742596	5	19868	77786.912	5051.912	149	1
2_MACS_peak_2350_lociStitched	chr1	207091292	207107186	2	11582	76645.6362	4380.3864	150	1
2_MACS_peak_15478_lociStitched	chr2	219741108	219763541	2	20034	76521.2063	4405.8412	151	1
1_MACS_peak_19613_lociStitched	chr4	38306726	38322742	1	16017	75315.24	3478.6752	152	1
1_MACS_peak_13874_lociStitched	chr2	43443573	43457137	1	13565	74846.152	3408.6332	153	1
2_MACS_peak_9747_lociStitched	chr16	23402446	23420503	2	17076	74300.9436	3132.8895	154	1
4_MACS_peak_24700_lociStitched	chr7	90329825	90368180	4	22902	78574.053	7759.2165	155	1
5_MACS_peak_14402_lociStitched	chr2	89039364	89066916	5	20432	74966.2368	4339.44	156	1
2_MACS_peak_27383_lociStitched	chr9	112665368	112684664	2	18879	74856.9024	4322.304	157	1
2_MACS_peak_13070_lociStitched	chr19	39880767	39904003	2	18052	75437.9976	5044.5356	158	1
2_MACS_peak_18291_lociStitched	chr3	98472926	98497279	2	19838	75262.9465	4931.4825	159	1
5_MACS_peak_23205_lociStitched	chr6	90053749	90086268	5	24664	77196.8541	6890.7761	160	1
3_MACS_peak_19195_lociStitched	chr3	186702615	186720677	3	15559	75490.129	5337.321	161	1
2_MACS_peak_13858_lociStitched	chr2	42342979	42361418	2	18297	74087.902	4028.9215	162	1
3_MACS_peak_19023_lociStitched	chr3	177056369	177081249	3	16345	75428.696	5884.12	163	1
4_MACS_peak_14448_lociStitched	chr2	97189606	97220698	4	21151	75317.2608	5780.0028	164	1
3_MACS_peak_8791_lociStitched	chr15	56644744	56667431	3	16332	74159.2656	4802.8379	165	1
3_MACS_peak_1700_lociStitched	chr1	155938358	155962339	3	19317	75501.7804	6213.4771	166	1
3_MACS_peak_20877_lociStitched	chr5	32570498	32593038	3	20239	73823.008	4708.606	167	1
1_MACS_peak_16337_lociStitched	chr20	52194051	52216503	1	22453	72998.1876	4162.6008	168	1
4_MACS_peak_8559_lociStitched	chr15	40330037	40358849	4	22589	73917.186	5223.6156	169	1
3_MACS_peak_25709_lociStitched	chr8	29621824	29637244	3	11576	71406.936	2767.89	170	1
1_MACS_peak_15323_lociStitched	chr2	202115752	202129044	1	13293	72046.6276	3420.0316	171	1
3_MACS_peak_25422_lociStitched	chr8	2027473	2051002	3	17590	72728.139	4204.6323	172	1
1_MACS_peak_14346_lociStitched	chr2	86260166	86268039	1	7874	69986.2462	1885.5835	173	1
1_MACS_peak_22093_lociStitched	chr5	173696332	173711094	1	14763	71189.745	3166.449	174	1
2_MACS_peak_8942_lociStitched	chr15	68568475	68599552	2	30402	74631.4155	6756.1398	175	1
6_MACS_peak_15246_lociStitched	chr2	197065073	197115396	6	30016	75887.084	8242.9074	176	1
2_MACS_peak_14200_lociStitched	chr2	70309982	70323560	2	9877	70521.4164	2987.16	177	1
2_MACS_peak_23689_lociStitched	chr6	139631600	139649940	2	18128	70629.174	3370.892	178	1
4_MACS_peak_16357_lociStitched	chr20	52530311	52567041	4	24539	73382.867	6269.811	179	1
3_MACS_peak_10915_lociStitched	chr17	34408725	34432963	3	21294	72161.3736	5429.312	180	1
1_MACS_peak_17022_lociStitched	chr22	27003306	27016202	1	12897	68615.7472	2791.984	181	1
3_MACS_peak_11874_lociStitched	chr18	9094917	9126518	3	24572	72337.8491	6851.0968	182	1
1_MACS_peak_19015_lociStitched	chr3	176911206	176921427	1	10222	68286.501	3034.6149	183	1
1_MACS_peak_19788_lociStitched	chr4	69433730	69444720	1	10991	66430.154	2530.997	184	1
3_MACS_peak_17497_lociStitched	chr3	5221770	5256417	3	26316	70860.0444	7019.4822	185	1
2_MACS_peak_16209_lociStitched	chr20	43672276	43694811	2	22275	67152.0465	3826.443	186	1
1_MACS_peak_20731_lociStitched	chr5	1311293	1320665	1	9373	65484.9756	2212.7292	187	1
2_MACS_peak_5260_lociStitched	chr11	115089250	115102807	2	13020	65958.8721	2724.957	188	1
4_MACS_peak_18987_lociStitched	chr3	175049666	175074652	4	23633	69568.5198	6411.4076	189	1
4_MACS_peak_1529_lociStitched	chr1	149802911	149834068	4	17578	71888.5461	9079.1498	190	1
1_MACS_peak_2060_lociStitched	chr1	183807272	183817031	1	9760	65924.9727	3121.9041	191	1
2_MACS_peak_12804_lociStitched	chr19	16693622	16707461	2	11694	65689.5813	3145.6047	192	1
2_MACS_peak_23602_lociStitched	chr6	135190014	135204362	2	10330	64797.0028	2805.034	193	1
2_MACS_peak_2915_lociStitched	chr10	11282104	11313468	2	25604	68348.4288	6671.1228	194	1
5_MACS_peak_9236_lociStitched	chr15	89646595	89675502	5	20626	66804.077	5252.4019	195	1
2_MACS_peak_13575_lociStitched	chr2	11883400	11898195	2	14767	64910.1035	3462.03	196	1
2_MACS_peak_14907_lociStitched	chr2	158322694	158338041	2	10982	64264.0278	2829.9868	197	1
6_MACS_peak_5608_lociStitched	chr12	7045695	7080825	6	23067	68341.902	7036.539	198	1
3_MACS_peak_6358_lociStitched	chr12	68751348	68771035	3	17058	65293.9042	4012.2106	199	1
1_MACS_peak_21310_lociStitched	chr5	86407872	86421337	1	13466	64241.515	2967.686	200	1
2_MACS_peak_19826_lociStitched	chr4	74453697	74476575	2	21016	65369.3094	4106.601	201	1
2_MACS_peak_20758_lociStitched	chr5	6475600	6488412	2	11797	63894.7252	2799.422	202	1
3_MACS_peak_16338_lociStitched	chr20	52224560	52244825	3	13797	64108.3275	3293.0625	203	1
2_MACS_peak_4380_lociStitched	chr11	26097988	26113605	2	13517	63620.5346	2993.7789	204	1
4_MACS_peak_16673_lociStitched	chr21	36235938	36263151	4	17410	67488.24	6928.4298	205	1
2_MACS_peak_2695_lociStitched	chr1	234734120	234750564	2	12284	64980.1104	4594.4536	206	1
1_MACS_peak_21752_lociStitched	chr5	139046472	139052576	1	6105	61969.6392	1601.6896	207	1
2_MACS_peak_4889_lociStitched	chr11	71413957	71427678	2	12998	63665.44	3312.2494	208	1
4_MACS_peak_12785_lociStitched	chr19	16243849	16272849	4	23562	65241.3	5043.1	209	1
2_MACS_peak_9039_lociStitched	chr15	75351816	75371080	2	15385	63642.4768	3619.7056	210	1
3_MACS_peak_14382_lociStitched	chr2	87782386	87821835	3	30619	66372.9425	6619.5422	211	1
5_MACS_peak_18837_lociStitched	chr3	156795279	156824992	5	19171	67513.8786	8001.7109	212	1
1_MACS_peak_28190_lociStitched	chrX	48790292	48804619	1	14328	61359.6756	1904.0583	213	1
1_MACS_peak_3106_lociStitched	chr10	30988651	30997429	1	8779	61288.8738	1885.5144	214	1
3_MACS_peak_22487_lociStitched	chr6	25365851	25390466	3	20261	64451.916	5060.844	215	1
1_MACS_peak_21648_lociStitched	chr5	131434661	131444236	1	9576	61403.5175	2239.5925	216	1
2_MACS_peak_16528_lociStitched	chr21	19151489	19169169	2	16094	62896.6	3861.312	217	1
1_MACS_peak_3651_lociStitched	chr10	91803442	91814137	1	10696	61206.4155	2178.5715	218	1
3_MACS_peak_13665_lociStitched	chr2	25622768	25646566	3	16074	63159.892	4152.751	219	1
4_MACS_peak_19848_lociStitched	chr4	76022195	76044187	4	14471	62567.24	3842.0024	220	1
3_MACS_peak_20814_lociStitched	chr5	15426502	15451487	3	19822	62270.1155	3837.696	221	1
1_MACS_peak_21038_lociStitched	chr5	55436161	55454260	1	18100	62300.3778	3884.0454	222	1
3_MACS_peak_27169_lociStitched	chr9	93670825	93690416	3	16967	61680.3044	3612.5804	223	1
1_MACS_peak_25696_lociStitched	chr8	29408678	29420544	1	11867	60177.2324	2542.8838	224	1
1_MACS_peak_24462_lociStitched	chr7	55615820	55643863	1	28044	63144.4231	5524.471	225	1
1_MACS_peak_26299_lociStitched	chr8	118449952	118458487	1	8536	59737.3185	2208.0045	226	1
6_MACS_peak_10124_lociStitched	chr16	67562376	67601716	6	21931	63368.872	6101.634	227	1
1_MACS_peak_9038_lociStitched	chr15	75333933	75342678	1	8746	59403.9105	2364.648	228	1
3_MACS_peak_17035_lociStitched	chr22	29206692	29225761	3	18192	60469.7059	3651.7135	229	1
2_MACS_peak_13707_lociStitched	chr2	27374169	27393675	2	18971	60185.763	3596.9064	230	1
1_MACS_peak_10993_lociStitched	chr17	37909174	37916398	1	7225	58057.1208	1830.5616	231	1
1_MACS_peak_1993_lociStitched	chr1	178544304	178553822	1	9519	59026.8288	2942.0138	232	1
6_MACS_peak_23400_lociStitched	chr6	113946299	113974158	6	19525	60880.2727	4944.9725	233	1
2_MACS_peak_16730_lociStitched	chr21	41295602	41312143	2	14082	60291.945	4479.3028	234	1
3_MACS_peak_1820_lociStitched	chr1	161144659	161163948	3	15208	61028.4671	5221.5323	235	1
9_MACS_peak_28036_lociStitched	chrX	37634647	37685574	9	30285	59548.9411	4140.3651	236	1
1_MACS_peak_21113_lociStitched	chr5	61983693	61992318	1	8626	57213.9375	1819.0125	237	1
1_MACS_peak_10849_lociStitched	chr17	29634726	29650813	1	16088	59222.6818	3959.0107	238	1
1_MACS_peak_24887_lociStitched	chr7	104651268	104657583	1	6316	56967.615	1706.313	239	1
2_MACS_peak_3643_lociStitched	chr10	91644945	91655669	2	8102	57076.3452	2141.5828	240	1
3_MACS_peak_19089_lociStitched	chr3	181635645	181662346	3	18293	61145.29	6448.2915	241	1
5_MACS_peak_8107_lociStitched	chr14	81930593	81956211	5	20959	57753.2192	3222.7444	242	1
2_MACS_peak_19642_lociStitched	chr4	40301325	40319958	2	13978	58416.3183	3942.7428	243	1
1_MACS_peak_22695_lociStitched	chr6	32934551	32941959	1	7409	56888.9952	2561.6864	244	1
2_MACS_peak_6488_lociStitched	chr12	89737830	89749731	2	11476	56667.8016	2646.7824	245	1
3_MACS_peak_24981_lociStitched	chr7	114556318	114574606	3	13864	59205.5712	5378.5008	246	1
1_MACS_peak_16246_lociStitched	chr20	45978100	45987520	1	9421	55967.046	2209.932	247	1
3_MACS_peak_5545_lociStitched	chr12	4216154	4230709	3	11640	56965.359	3218.1105	248	1
1_MACS_peak_24883_lociStitched	chr7	104575348	104587491	1	12144	56021.7305	2461.3861	249	1
2_MACS_peak_11717_lociStitched	chr17	78873328	78887336	2	10624	55426.8544	2224.4704	250	1
1_MACS_peak_26476_lociStitched	chr8	137188203	137202095	1	13893	56432.0824	3306.296	251	1
1_MACS_peak_2586_lociStitched	chr1	226838325	226852599	1	14275	57695.508	4587.6636	252	1
1_MACS_peak_20876_lociStitched	chr5	32529699	32544408	1	14710	56341.3536	3243.3345	253	1
4_MACS_peak_1652_lociStitched	chr1	154821601	154851763	4	15713	59111.4876	6110.8212	254	1
1_MACS_peak_24100_lociStitched	chr7	20254597	20262975	1	8379	55215.209	2236.926	255	1
3_MACS_peak_7575_lociStitched	chr13	115023341	115048589	3	20020	57176.6208	4559.7888	256	1
2_MACS_peak_16353_lociStitched	chr20	52480899	52491335	2	9892	54959.1068	2395.062	257	1
2_MACS_peak_19200_lociStitched	chr3	186779567	186792583	2	10029	56865.6024	4379.884	258	1
1_MACS_peak_6647_lociStitched	chr12	102870333	102879572	1	9240	54550.7516	2178.5562	259	1
