#10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_ROSE/10_0EWW_0229Kronos_MM1S-KB-24hr-2_H3K18Ac_hs-dm_i19_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam
#Using cutoff of 22673.2851 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	isStretch
3_MACS_peak_22082_lociStitched	chr5	173309919	173344077	3	28636	49932.1644	6732.5418	50	1
2_MACS_peak_23183_lociStitched	chr6	88611485	88640577	2	28583	108888.4468	5949.314	51	1
4_MACS_peak_6529_lociStitched	chr12	92929335	92964767	4	28363	102529.5784	6849.0056	52	1
1_MACS_peak_24462_lociStitched	chr7	55615820	55643863	1	28044	63144.4231	5524.471	53	1
5_MACS_peak_26070_lociStitched	chr8	81046239	81084510	5	28019	82278.8229	7730.742	54	1
4_MACS_peak_6154_lociStitched	chr12	53845723	53874632	4	27991	35876.069	6096.9081	55	1
4_MACS_peak_11870_lociStitched	chr18	9053773	9085567	4	27968	145594.2642	6520.9494	56	1
4_MACS_peak_2320_lociStitched	chr1	206271511	206311220	4	27929	161083.5294	11158.229	57	1
2_MACS_peak_23826_lociStitched	chr6	157975471	158007580	2	27559	103875.8259	3554.4663	58	1
4_MACS_peak_16345_lociStitched	chr20	52336307	52372852	4	27395	112850.96	6015.307	59	1
2_MACS_peak_25327_lociStitched	chr7	150052910	150084976	2	27371	120343.698	8866.249	60	1
1_MACS_peak_18957_lociStitched	chr3	171801747	171828813	1	27067	127670.322	8320.0884	61	1
3_MACS_peak_21655_lociStitched	chr5	131744670	131775215	3	26859	138176.4165	6756.554	62	1
3_MACS_peak_17497_lociStitched	chr3	5221770	5256417	3	26316	70860.0444	7019.4822	63	1
1_MACS_peak_23301_lociStitched	chr6	106530283	106556567	1	26285	102920.2588	6836.4684	64	1
3_MACS_peak_15243_lociStitched	chr2	197023159	197053672	3	26155	84557.6256	6059.8818	65	1
2_MACS_peak_21335_lociStitched	chr5	88594049	88621288	2	25916	114855.9674	5695.6749	66	1
4_MACS_peak_6901_lociStitched	chr12	123354777	123387459	4	25836	52588.6062	3385.8552	67	1
4_MACS_peak_17885_lociStitched	chr3	46127073	46154239	4	25636	87482.6698	5286.5036	68	1
2_MACS_peak_2915_lociStitched	chr10	11282104	11313468	2	25604	68348.4288	6671.1228	69	1
1_MACS_peak_5445_lociStitched	chr11	128585190	128610652	1	25463	99780.4856	5779.874	70	1
4_MACS_peak_17177_lociStitched	chr22	37609340	37642346	4	25394	104850.1602	7208.5104	71	1
4_MACS_peak_9362_lociStitched	chr15	101660638	101692646	4	25377	79344.6312	5399.7496	72	1
3_MACS_peak_24856_lociStitched	chr7	102063365	102093384	3	25281	132005.5506	6126.8779	73	1
3_MACS_peak_13623_lociStitched	chr2	20391273	20426627	3	24985	106040.7876	6445.0342	74	1
5_MACS_peak_8368_lociStitched	chr15	21975886	22004848	5	24926	38024.2098	4680.2592	75	1
2_MACS_peak_4363_lociStitched	chr11	22676317	22704716	2	24810	117631.4979	5228.2559	76	1
4_MACS_peak_20620_lociStitched	chr4	185317572	185350150	4	24780	92319.5364	6082.3126	77	1
2_MACS_peak_2894_lociStitched	chr10	7510727	7537616	2	24717	107383.9104	5251.4217	78	1
5_MACS_peak_23205_lociStitched	chr6	90053749	90086268	5	24664	77196.8541	6890.7761	79	1
3_MACS_peak_11874_lociStitched	chr18	9094917	9126518	3	24572	72337.8491	6851.0968	80	1
4_MACS_peak_16357_lociStitched	chr20	52530311	52567041	4	24539	73382.867	6269.811	81	1
7_MACS_peak_10259_lociStitched	chr16	78768985	78805255	7	24470	28348.632	4461.21	82	1
2_MACS_peak_9024_lociStitched	chr15	75063283	75093124	2	24354	81104.8539	6099.5004	83	1
4_MACS_peak_6039_lociStitched	chr12	48195986	48220916	4	24273	97254.423	5055.804	84	1
3_MACS_peak_19951_lociStitched	chr4	84130532	84164362	3	24124	109758.052	6617.148	85	1
5_MACS_peak_21477_lociStitched	chr5	109247507	109282915	5	23819	57134.3488	5775.0448	86	1
4_MACS_peak_18987_lociStitched	chr3	175049666	175074652	4	23633	69568.5198	6411.4076	87	1
2_MACS_peak_11020_lociStitched	chr17	38459045	38484806	2	23625	151946.1063	5829.7143	88	1
4_MACS_peak_12785_lociStitched	chr19	16243849	16272849	4	23562	65241.3	5043.1	89	1
3_MACS_peak_1657_lociStitched	chr1	154907889	154936001	3	23385	133683.8048	9040.8192	90	1
3_MACS_peak_1443_lociStitched	chr1	145426791	145457959	3	23214	122780.1024	9447.0208	91	1
4_MACS_peak_2027_lociStitched	chr1	181095185	181129712	4	23107	93326.481	7993.0005	92	1
6_MACS_peak_5608_lociStitched	chr12	7045695	7080825	6	23067	68341.902	7036.539	93	1
1_MACS_peak_2911_lociStitched	chr10	11201828	11224736	1	22909	142274.7156	7090.026	94	1
4_MACS_peak_24700_lociStitched	chr7	90329825	90368180	4	22902	78574.053	7759.2165	95	1
2_MACS_peak_452_lociStitched	chr1	31213470	31236577	2	22874	109894.5813	5376.9989	96	1
4_MACS_peak_11977_lociStitched	chr18	23739164	23772097	4	22786	98858.2794	5401.012	97	1
4_MACS_peak_8559_lociStitched	chr15	40330037	40358849	4	22589	73917.186	5223.6156	98	1
3_MACS_peak_6711_lociStitched	chr12	109008375	109036234	3	22537	132374.8244	6571.9381	99	1
3_MACS_peak_11546_lociStitched	chr17	72732825	72757130	3	22507	49832.5415	4564.479	100	1
1_MACS_peak_16337_lociStitched	chr20	52194051	52216503	1	22453	72998.1876	4162.6008	101	1
1_MACS_peak_16732_lociStitched	chr21	41323397	41345752	1	22356	114587.259	7495.6315	102	1
4_MACS_peak_2062_lociStitched	chr1	183856233	183885903	4	22293	90870.309	7438.269	103	1
2_MACS_peak_16209_lociStitched	chr20	43672276	43694811	2	22275	67152.0465	3826.443	104	1
2_MACS_peak_16965_lociStitched	chr22	23262040	23286791	2	22267	221405.1203	5363.5417	105	1
4_MACS_peak_12454_lociStitched	chr19	2594343	2629039	4	22253	121047.4048	8774.6184	106	1
2_MACS_peak_308_lociStitched	chr1	24511736	24534778	2	22154	137496.2224	4700.568	107	1
1_MACS_peak_11877_lociStitched	chr18	9132797	9154919	1	22123	53048.556	4904.4474	108	1
4_MACS_peak_14525_lociStitched	chr2	106324948	106353231	4	22100	46797.0518	4307.5009	109	1
4_MACS_peak_8074_lociStitched	chr14	77487892	77511096	4	22058	52257.7284	2438.7404	110	1
3_MACS_peak_26372_lociStitched	chr8	126285286	126316046	3	22047	37702.532	5542.952	111	1
6_MACS_peak_8228_lociStitched	chr14	95945632	95986337	6	22030	39023.8835	3508.771	112	1
5_MACS_peak_16180_lociStitched	chr20	42564695	42593837	5	22019	55457.226	4671.4626	113	1
2_MACS_peak_27392_lociStitched	chr9	112903522	112925612	2	21962	49108.279	5365.661	114	1
6_MACS_peak_10124_lociStitched	chr16	67562376	67601716	6	21931	63368.872	6101.634	115	1
4_MACS_peak_8535_lociStitched	chr15	38455120	38486734	4	21844	54543.6342	4934.9454	116	1
2_MACS_peak_1725_lociStitched	chr1	156450479	156476395	2	21774	58938.1672	7466.3996	117	1
1_MACS_peak_4237_lociStitched	chr11	10323486	10345098	1	21613	111332.0568	5351.1312	118	1
4_MACS_peak_13952_lociStitched	chr2	47522210	47550883	4	21411	85715.0662	5043.5807	119	1
5_MACS_peak_8359_lociStitched	chr15	20969445	20996830	5	21338	37933.702	4354.215	120	1
2_MACS_peak_9744_lociStitched	chr16	23341874	23366300	2	21295	115339.572	4636.0548	121	1
3_MACS_peak_10915_lociStitched	chr17	34408725	34432963	3	21294	72161.3736	5429.312	122	1
3_MACS_peak_3201_lociStitched	chr10	45913213	45935791	3	21198	113472.5124	4504.311	123	1
4_MACS_peak_14448_lociStitched	chr2	97189606	97220698	4	21151	75317.2608	5780.0028	124	1
1_MACS_peak_4914_lociStitched	chr11	72850745	72871854	1	21110	148085.9677	4772.7449	125	1
4_MACS_peak_10311_lociStitched	chr16	81841341	81871662	4	21049	50105.4525	2877.4629	126	1
2_MACS_peak_19826_lociStitched	chr4	74453697	74476575	2	21016	65369.3094	4106.601	127	1
5_MACS_peak_8107_lociStitched	chr14	81930593	81956211	5	20959	57753.2192	3222.7444	128	1
4_MACS_peak_24181_lociStitched	chr7	25979851	26012371	4	20827	123634.536	6224.328	129	1
4_MACS_peak_14091_lociStitched	chr2	64429702	64456494	4	20824	54623.5296	5138.7056	130	1
5_MACS_peak_14396_lociStitched	chr2	88898877	88928608	5	20773	33257.0966	6195.9404	131	1
6_MACS_peak_14106_lociStitched	chr2	64862651	64896354	6	20759	54319.1251	5938.4686	132	1
4_MACS_peak_14121_lociStitched	chr2	65156240	65178655	4	20673	115098.7835	5171.1405	133	1
4_MACS_peak_18503_lociStitched	chr3	124487278	124513313	4	20655	54168.421	4402.5185	134	1
5_MACS_peak_9236_lociStitched	chr15	89646595	89675502	5	20626	66804.077	5252.4019	135	1
4_MACS_peak_25329_lociStitched	chr7	150100700	150134446	4	20479	92302.0592	8358.8842	136	1
5_MACS_peak_14402_lociStitched	chr2	89039364	89066916	5	20432	74966.2368	4339.44	137	1
1_MACS_peak_6139_lociStitched	chr12	53585024	53605406	1	20383	98983.1448	5028.2394	138	1
4_MACS_peak_602_lociStitched	chr1	40029959	40065685	4	20383	33893.2562	5780.4668	139	1
3_MACS_peak_2277_lociStitched	chr1	204474536	204501237	3	20349	114189.4966	7187.9092	140	1
3_MACS_peak_22487_lociStitched	chr6	25365851	25390466	3	20261	64451.916	5060.844	141	1
3_MACS_peak_17258_lociStitched	chr22	39822828	39847376	3	20248	99812.168	4693.5776	142	1
3_MACS_peak_20877_lociStitched	chr5	32570498	32593038	3	20239	73823.008	4708.606	143	1
4_MACS_peak_16804_lociStitched	chr21	45552521	45581437	4	20090	108900.5476	6986.1056	144	1
1_MACS_peak_21328_lociStitched	chr5	88110666	88130720	1	20055	41784.5144	4237.4102	145	1
2_MACS_peak_15478_lociStitched	chr2	219741108	219763541	2	20034	76521.2063	4405.8412	146	1
3_MACS_peak_7575_lociStitched	chr13	115023341	115048589	3	20020	57176.6208	4559.7888	147	1
5_MACS_peak_11683_lociStitched	chr17	76753779	76779898	5	19942	56336.0711	5087.9812	148	1
4_MACS_peak_21895_lociStitched	chr5	150512594	150538195	4	19926	43393.695	5148.3611	149	1
5_MACS_peak_17584_lociStitched	chr3	14712756	14742596	5	19868	77786.912	5051.912	150	1
2_MACS_peak_18291_lociStitched	chr3	98472926	98497279	2	19838	75262.9465	4931.4825	151	1
3_MACS_peak_20814_lociStitched	chr5	15426502	15451487	3	19822	62270.1155	3837.696	152	1
6_MACS_peak_23400_lociStitched	chr6	113946299	113974158	6	19525	60880.2727	4944.9725	153	1
2_MACS_peak_4347_lociStitched	chr11	19449641	19472344	2	19440	122246.5738	4778.9815	154	1
1_MACS_peak_19638_lociStitched	chr4	40190537	40209962	1	19426	100547.685	5359.3575	155	1
2_MACS_peak_17712_lociStitched	chr3	30682351	30703713	2	19370	43965.1322	4058.78	156	1
2_MACS_peak_8529_lociStitched	chr15	38360569	38382087	2	19369	95576.5006	4290.6892	157	1
5_MACS_peak_2294_lociStitched	chr1	205242255	205271173	5	19358	100758.9874	6648.2482	158	1
3_MACS_peak_1700_lociStitched	chr1	155938358	155962339	3	19317	75501.7804	6213.4771	159	1
4_MACS_peak_27672_lociStitched	chr9	134126728	134153509	4	19297	55591.9998	4949.1288	160	1
2_MACS_peak_1638_lociStitched	chr1	154374405	154394798	2	19273	87439.0661	6232.1008	161	1
4_MACS_peak_17559_lociStitched	chr3	13035383	13062117	4	19172	93296.3132	5528.5912	162	1
5_MACS_peak_18837_lociStitched	chr3	156795279	156824992	5	19171	67513.8786	8001.7109	163	1
2_MACS_peak_18927_lociStitched	chr3	169647360	169668630	2	19148	89897.655	5772.678	164	1
3_MACS_peak_11347_lociStitched	chr17	56404856	56430953	3	19148	119247.6318	5939.6772	165	1
2_MACS_peak_13707_lociStitched	chr2	27374169	27393675	2	18971	60185.763	3596.9064	166	1
2_MACS_peak_17615_lociStitched	chr3	15834585	15854086	2	18965	51511.8915	4032.8068	167	1
2_MACS_peak_8564_lociStitched	chr15	40386097	40409338	2	18950	107498.9214	5133.9369	168	1
2_MACS_peak_27383_lociStitched	chr9	112665368	112684664	2	18879	74856.9024	4322.304	169	1
3_MACS_peak_6708_lociStitched	chr12	108953743	108973076	3	18770	47290.4513	4127.5955	170	1
3_MACS_peak_16341_lociStitched	chr20	52257542	52280650	3	18714	94969.2584	4251.872	171	1
2_MACS_peak_28591_lociStitched	chrX	128901818	128921820	2	18657	45454.545	2642.2642	172	1
3_MACS_peak_11633_lociStitched	chr17	75128687	75147623	3	18646	85456.2744	4124.2608	173	1
2_MACS_peak_15791_lociStitched	chr20	5570215	5592502	2	18640	36552.9087	4798.3911	174	1
2_MACS_peak_9140_lociStitched	chr15	81575311	81597362	2	18611	83945.9519	5331.9318	175	1
3_MACS_peak_1138_lociStitched	chr1	93408468	93428888	3	18520	28340.918	2317.67	176	1
4_MACS_peak_8394_lociStitched	chr15	23659485	23682864	4	18489	34823.0205	3490.4847	177	1
2_MACS_peak_11680_lociStitched	chr17	76711094	76733817	2	18486	42851.0334	4910.4403	178	1
2_MACS_peak_2135_lociStitched	chr1	192560779	192579520	2	18476	34702.7097	4934.5053	179	1
2_MACS_peak_3541_lociStitched	chr10	81001113	81020668	2	18395	46771.649	3613.764	180	1
2_MACS_peak_13858_lociStitched	chr2	42342979	42361418	2	18297	74087.902	4028.9215	181	1
3_MACS_peak_19089_lociStitched	chr3	181635645	181662346	3	18293	61145.29	6448.2915	182	1
6_MACS_peak_22665_lociStitched	chr6	31773551	31804675	6	18275	33775.7648	5845.0872	183	1
3_MACS_peak_17035_lociStitched	chr22	29206692	29225761	3	18192	60469.7059	3651.7135	184	1
2_MACS_peak_1553_lociStitched	chr1	150532196	150553376	2	18183	116750.514	7273.212	185	1
5_MACS_peak_11616_lociStitched	chr17	74475080	74503231	5	18179	54328.6149	4501.3449	186	1
4_MACS_peak_2640_lociStitched	chr1	230256346	230287763	4	18141	80304.9937	7235.3351	187	1
2_MACS_peak_23689_lociStitched	chr6	139631600	139649940	2	18128	70629.174	3370.892	188	1
2_MACS_peak_16986_lociStitched	chr22	24176999	24201037	2	18113	167453.5156	4757.1202	189	1
1_MACS_peak_21038_lociStitched	chr5	55436161	55454260	1	18100	62300.3778	3884.0454	190	1
4_MACS_peak_21549_lociStitched	chr5	118657680	118680561	4	18088	53413.4064	4599.081	191	1
2_MACS_peak_1713_lociStitched	chr1	156115317	156133458	2	18075	89723.5719	6062.7222	192	1
2_MACS_peak_13070_lociStitched	chr19	39880767	39904003	2	18052	75437.9976	5044.5356	193	1
3_MACS_peak_18142_lociStitched	chr3	66530454	66552495	3	17992	28144.1529	3905.6652	194	1
5_MACS_peak_4847_lociStitched	chr11	67760439	67789241	5	17801	40751.9498	4769.6112	195	1
3_MACS_peak_27862_lociStitched	chrX	10064783	10091448	3	17788	46605.087	2935.8165	196	1
2_MACS_peak_17892_lociStitched	chr3	46244847	46265384	2	17754	120340.6589	4744.047	197	1
1_MACS_peak_18157_lociStitched	chr3	69128362	69145995	1	17634	45540.7491	3685.297	198	1
4_MACS_peak_5691_lociStitched	chr12	11901229	11920606	4	17625	43199.0838	3623.499	199	1
3_MACS_peak_25422_lociStitched	chr8	2027473	2051002	3	17590	72728.139	4204.6323	200	1
4_MACS_peak_1529_lociStitched	chr1	149802911	149834068	4	17578	71888.5461	9079.1498	201	1
5_MACS_peak_9727_lociStitched	chr16	22194935	22219059	5	17504	36695.0164	5015.3796	202	1
3_MACS_peak_17913_lociStitched	chr3	46577145	46601156	3	17500	87313.6004	4482.8537	203	1
4_MACS_peak_14095_lociStitched	chr2	64486066	64516195	4	17478	52225.6086	4754.3562	204	1
6_MACS_peak_14202_lociStitched	chr2	70330797	70361118	6	17451	55084.1607	5509.3257	205	1
2_MACS_peak_6519_lociStitched	chr12	92753302	92771129	2	17421	84680.0327	3738.3219	206	1
4_MACS_peak_16673_lociStitched	chr21	36235938	36263151	4	17410	67488.24	6928.4298	207	1
3_MACS_peak_11528_lociStitched	chr17	70581698	70602182	3	17305	46685.0844	3977.9928	208	1
4_MACS_peak_5219_lociStitched	chr11	111231784	111251784	4	17227	48634	4018	209	1
6_MACS_peak_14171_lociStitched	chr2	68936332	68965896	6	17168	35722.1812	5203.264	210	1
3_MACS_peak_19883_lociStitched	chr4	77602338	77624663	3	17115	31266.1625	3944.8275	211	1
2_MACS_peak_9747_lociStitched	chr16	23402446	23420503	2	17076	74300.9436	3132.8895	212	1
3_MACS_peak_6358_lociStitched	chr12	68751348	68771035	3	17058	65293.9042	4012.2106	213	1
3_MACS_peak_9612_lociStitched	chr16	12051755	12072379	3	17024	110686.9456	4405.2864	214	1
3_MACS_peak_21950_lociStitched	chr5	156339080	156362354	3	17013	46147.6872	3926.3238	215	1
3_MACS_peak_27169_lociStitched	chr9	93670825	93690416	3	16967	61680.3044	3612.5804	216	1
2_MACS_peak_980_lociStitched	chr1	75595724	75612770	2	16933	38774.5362	2872.251	217	1
2_MACS_peak_15362_lociStitched	chr2	204661302	204683976	2	16726	38752.1334	4065.4482	218	1
4_MACS_peak_16137_lociStitched	chr20	37486570	37510861	4	16706	130309.0695	4275.216	219	1
4_MACS_peak_3440_lociStitched	chr10	74005560	74025889	4	16687	49133.1601	3579.9369	220	1
3_MACS_peak_13094_lociStitched	chr19	40645338	40672035	3	16565	43713.6678	4506.4536	221	1
2_MACS_peak_21337_lociStitched	chr5	88633739	88653161	2	16533	88921.6848	4235.9382	222	1
2_MACS_peak_23722_lociStitched	chr6	143162657	143180334	2	16524	37082.8106	2177.8064	223	1
4_MACS_peak_25944_lociStitched	chr8	61811617	61840902	4	16513	40017.9525	5039.9485	224	1
4_MACS_peak_3882_lociStitched	chr10	112101331	112128981	4	16449	115701.425	5256.265	225	1
1_MACS_peak_21329_lociStitched	chr5	88170793	88187196	1	16404	79487.2977	4028.5768	226	1
2_MACS_peak_25194_lociStitched	chr7	136031538	136048117	2	16357	78572.8547	4748.2256	227	1
3_MACS_peak_19023_lociStitched	chr3	177056369	177081249	3	16345	75428.696	5884.12	228	1
3_MACS_peak_8791_lociStitched	chr15	56644744	56667431	3	16332	74159.2656	4802.8379	229	1
4_MACS_peak_15319_lociStitched	chr2	202081255	202102127	4	16307	35780.8696	4084.6504	230	1
4_MACS_peak_25203_lociStitched	chr7	137684173	137716711	4	16211	37324.3398	7106.2992	231	1
1_MACS_peak_4736_lociStitched	chr11	65183101	65199286	1	16186	129996.3015	4832.841	232	1
1_MACS_peak_5752_lociStitched	chr12	15100767	15116940	1	16174	35766.5895	3402.7992	233	1
2_MACS_peak_16528_lociStitched	chr21	19151489	19169169	2	16094	62896.6	3861.312	234	1
1_MACS_peak_10849_lociStitched	chr17	29634726	29650813	1	16088	59222.6818	3959.0107	235	1
3_MACS_peak_13665_lociStitched	chr2	25622768	25646566	3	16074	63159.892	4152.751	236	1
1_MACS_peak_5716_lociStitched	chr12	12865820	12881849	1	16030	110244.2562	3859.7832	237	1
2_MACS_peak_15311_lociStitched	chr2	201979844	201998136	2	16020	97168.9332	4722.9944	238	1
1_MACS_peak_19613_lociStitched	chr4	38306726	38322742	1	16017	75315.24	3478.6752	239	1
5_MACS_peak_9142_lociStitched	chr15	81607842	81626424	5	15960	28439.751	3593.7588	240	1
3_MACS_peak_1970_lociStitched	chr1	174922304	174942620	3	15954	41196.7848	4993.6728	241	1
2_MACS_peak_21307_lociStitched	chr5	86364864	86380844	2	15868	32723.844	3140.07	242	1
3_MACS_peak_5480_lociStitched	chr11	130696141	130720432	3	15866	46237.9185	4270.3578	243	1
2_MACS_peak_6525_lociStitched	chr12	92851139	92867499	2	15825	86634.38	3731.716	244	1
3_MACS_peak_5914_lociStitched	chr12	32608344	32625783	3	15777	45524.5095	3390.1416	245	1
2_MACS_peak_16238_lociStitched	chr20	45172089	45191653	2	15754	37032.6956	2848.5184	246	1
2_MACS_peak_27604_lociStitched	chr9	130828568	130846494	2	15732	39575.2302	3536.7998	247	1
4_MACS_peak_287_lociStitched	chr1	23936721	23963118	4	15719	42712.9857	4234.0788	248	1
4_MACS_peak_1652_lociStitched	chr1	154821601	154851763	4	15713	59111.4876	6110.8212	249	1
3_MACS_peak_16778_lociStitched	chr21	44724956	44747610	3	15702	47534.8882	4270.279	250	1
3_MACS_peak_9227_lociStitched	chr15	89163776	89185636	3	15675	28483.58	3958.846	251	1
3_MACS_peak_18615_lociStitched	chr3	132266607	132290013	3	15596	31197.8574	3506.2188	252	1
2_MACS_peak_8460_lociStitched	chr15	31546203	31562988	2	15559	91056.9465	3101.868	253	1
3_MACS_peak_19195_lociStitched	chr3	186702615	186720677	3	15559	75490.129	5337.321	254	1
4_MACS_peak_22350_lociStitched	chr6	11713462	11736117	4	15557	43271.05	3740.3405	255	1
6_MACS_peak_22945_lociStitched	chr6	52148512	52173848	6	15554	34223.8688	4646.6224	256	1
4_MACS_peak_22509_lociStitched	chr6	26183533	26207333	4	15546	42549.64	5338.34	257	1
1_MACS_peak_11668_lociStitched	chr17	76137273	76152811	1	15539	39076.5162	2810.8242	258	1
3_MACS_peak_17865_lociStitched	chr3	45592798	45618129	3	15529	33966.3379	4427.8588	259	1
