GENE_ID	locusLine	bin_1_EJM.jin.bam
NM_001130041	chr1(.):154929773-154951959	1.2062
NM_001130040	chr1(.):154929773-154948223	1.3352
NM_201398	chr1(.):154950769-154970587	0.3976
NM_015872	chr1(.):154970111-154995999	0.884
NM_018655	chr1(.):154961061-154971791	0.3189
NR_024163	chr1(.):154942117-154956725	1.321
NM_138300	chr1(.):154924501-154939258	1.7213
NR_036212	chr1(.):154943168-154953259	1.3965
NM_001162384	chr1(.):155911629-155953336	0.665
NM_181885	chr1(.):155906479-155917625	0.5637
NM_004723	chr1(.):155911629-155952966	0.6541
NM_014949	chr1(.):155877835-155909188	0.3589
NM_003145	chr1(.):155973838-155995758	0.2876
NM_005920	chr1(.):156428518-156475529	1.6519
NR_033186	chr1(.):178506930-178523024	0.6343
NM_022371	chr1(.):179046111-179070129	1.0771
NR_034150	chr1(.):203262885-203279453	2.3144
NM_006763	chr1(.):203269663-203283729	2.0523
NM_002023	chr1(.):203304751-203325289	0.1444
NM_001123168	chr1(.):206133910-206160074	0.7122
NM_006893	chr1(.):206759973-206790904	0.2207
NM_182665	chr1(.):206725491-206767616	1.119
NR_026817	chr1(.):207986723-208000941	1.6171
NR_029832	chr1(.):207970196-207980284	0.1638
NR_029518	chr1(.):207970787-207980868	0.2039
NM_002245	chr1(.):233744749-233813258	1.1069
NM_182972	chr1(.):234735014-234750271	2.4615
NR_033927	chr1(.):234760056-234775526	0.0582
NM_134421	chr2(.):10438825-10572743	0.6295
NM_002149	chr2(.):10438039-10572743	0.627
NM_014600	chr2(.):31451879-31496260	0.7967
NM_020458	chr2(.):47163312-47308275	0.4622
NR_033872	chr2(.):70184394-70319147	0.4611
NM_145693	chr2(.):11881739-11972533	0.7068
NM_170672	chr2(.):33656415-33794798	0.3684
NM_005813	chr2(.):37472645-37549222	0.2767
NM_001083953	chr2(.):43452974-43828113	0.4029
NM_022065	chr2(.):43452974-43828185	0.4029
NM_003400	chr2(.):61700068-61770418	0.3693
NR_036586	chr2(.):65123973-65164581	1.2219
NM_004836	chr2(.):88851258-88932094	0.5391
NM_144563	chr2(.):88986175-89055452	0.7152
NM_004027	chr2(.):99056320-99212496	0.534
NM_001566	chr2(.):99056320-99203284	0.564
NM_005721	chr2(.):114642536-114721167	0.3218
NM_183240	chr2(.):120184445-120201096	1.8507
NR_024415	chr2(.):192537797-192558248	1.0645
NM_001031716	chr2(.):192537860-192558248	1.0668
NM_003879	chr2(.):201975889-202034003	1.5269
NM_001127184	chr2(.):201975815-202011323	2.3318
NM_173822	chr2(.):201833440-201941392	0.2503
NM_001137551	chr2(.):238595806-238695290	0.4075
NM_001137550	chr2(.):238531223-238695290	0.2919
NM_001037160	chr2(.):10191925-10225538	0.1233
NM_182626	chr2(.):10276508-10356856	0.0984
NM_001165931	chr2(.):10257694-10276546	1.5445
NM_001034	chr2(.):10257862-10276546	1.5563
NM_002997	chr2(.):20395557-20429927	2.3647
NM_001006946	chr2(.):20395557-20430194	2.3472
NM_001145122	chr2(.):31390921-31445411	0.1923
NM_015376	chr2(.):33733941-33794798	0.201
NM_001139488	chr2(.):33696320-33794798	0.4815
NM_012413	chr2(.):37566752-37605465	1.3681
NM_006887	chr2(.):43444540-43458745	2.8519
NR_027251	chr2(.):43449349-43460994	2.3397
NM_001171508	chr2(.):47124008-47173994	0.4227
NM_017657	chr2(.):64746438-64825138	0.4131
NM_001193493	chr2(.):65210578-65256000	0.5422
NM_003038	chr2(.):65211494-65256000	0.5527
NM_006196	chr2(.):70309584-70321334	3.3552
NR_024444	chr2(.):70346167-70357448	1.2276
NM_003761	chr2(.):85799613-85814156	0.7335
NM_005911	chr2(.):85761287-85777403	1.4022
NM_000821	chr2(.):85771192-85793657	0.3667
NM_006634	chr2(.):85806530-85825511	0.6324
NM_015425	chr2(.):86248450-86338278	0.5261
NR_026984	chr2(.):86242338-86255991	0.3547
NR_015424	chr2(.):89060418-89111109	0.4395
NR_026875	chr2(.):97158382-97178846	0.3466
NM_212481	chr2(.):97197463-97223371	1.4498
NM_004288	chr2(.):158266130-158305604	0.6181
NM_001172712	chr2(.):174766186-174835430	0.3409
NM_001017371	chr2(.):174766186-174833947	0.3464
NM_002491	chr2(.):201931461-201955473	0.4229
NM_001127183	chr2(.):201978386-202033841	1.5931
NM_032974	chr2(.):202042620-202099110	0.3903
NM_006139	chr2(.):204566197-204607557	0.7535
NM_182642	chr2(.):219259813-219274148	1.7157
NM_198559	chr2(.):219216578-219237817	0.131
NM_021198	chr2(.):219259477-219275664	1.5332
NM_000578	chr2(.):219241751-219266617	0.976
NR_029500	chr2(.):219262368-219272445	1.6799
NM_007127	chr2(.):219278837-219319248	0.1164
NM_025216	chr2(.):219740254-219763651	1.7939
NM_006522	chr2(.):219719545-219743954	0.2097
NR_002908	chr2(.):232316154-232326234	0.1683
NM_005381	chr2(.):232314458-232334205	1.0075
NR_004398	chr2(.):232320078-232330153	1.6946
NR_024079	chr2(.):232368136-232384050	0.342
NR_002921	chr2(.):232315510-232325647	0.1632
NM_152614	chr2(.):232452574-232463994	0.1119
NM_001099285	chr2(.):232568234-232583250	3.3709
NR_036052	chr2(.):232573023-232583105	2.2869
NM_004735	chr2(.):238595806-238679558	0.472
NM_005862	chr3(.):136050998-136476245	0.1562
NM_001135095	chr3(.):171753343-172123492	0.287
NM_022763	chr3(.):171752417-172123492	0.287
NM_001134382	chr3(.):12933718-13119617	0.339
NM_024923	chr3(.):13352736-13466809	0.6161
NM_014869	chr3(.):12933718-13013960	0.1173
NM_144636	chr3(.):14148576-14171371	1.5422
NM_020754	chr3(.):119008219-119143323	0.3861
NM_002093	chr3(.):119535801-119818264	0.1206
NM_001001487	chr3(.):130608433-130740555	0.1714
NM_001199181	chr3(.):130564368-130727046	0.2979
NM_001199180	chr3(.):130564368-130740555	0.2828
NM_001199179	chr3(.):130607834-130727046	0.1789
NM_001001485	chr3(.):130607858-130740555	0.171
NM_001199184	chr3(.):130607904-130727046	0.179
NM_014382	chr3(.):130608291-130727046	0.1793
NM_001080412	chr3(.):141038054-141173632	1.7686
NM_173216	chr3(.):186643314-186801341	0.6033
NM_003032	chr3(.):186734664-186801341	0.67
NM_024334	chr3(.):14161439-14190180	1.0139
NM_001295	chr3(.):46238199-46254832	1.4511
NM_001837	chr3(.):46278871-46313197	0.0812
NM_199074	chr3(.):49052907-49065926	1.5957
NM_199073	chr3(.):49053617-49065926	1.6772
NM_177939	chr3(.):49022340-49049581	0.6161
NM_018031	chr3(.):49039636-49058386	0.9431
NM_000884	chr3(.):49056761-49071875	1.2849
NM_018114	chr3(.):49047434-49063467	1.2733
NM_199070	chr3(.):49054073-49065926	1.7337
NM_001009996	chr3(.):49047434-49061017	1.4464
NR_029690	chr3(.):49053050-49063142	1.947
NR_029948	chr3(.):49052580-49062667	1.9491
NM_003392	chr3(.):55494742-55526331	0.6944
NM_175862	chr3(.):121769220-121844983	0.3756
NM_006889	chr3(.):121791749-121844983	0.4886
NM_198490	chr3(.):128801417-128845619	1.1361
NM_000174	chr3(.):128774644-128786253	0.6388
NM_001127196	chr3(.):128881657-128907810	1.2906
NM_020701	chr3(.):128841258-128885073	0.4444
NM_020187	chr3(.):128992683-129029135	0.8154
NM_001006109	chr3(.):128992816-129029135	0.8168
NM_006026	chr3(.):129028613-129040120	2.6358
NR_026991	chr3(.):129030113-129048412	1.496
NM_001145417	chr3(.):135862759-135918310	0.6779
NM_018133	chr3(.):135862759-135919688	0.664
NM_173552	chr3(.):143685639-143716210	0.7303
NM_001134470	chr3(.):143687166-143716210	0.7652
NM_014779	chr3(.):150121787-150182615	0.3729
NM_002886	chr3(.):152875028-152891263	1.8092
NR_034008	chr3(.):156802669-156823924	2.3907
NR_034007	chr3(.):156794455-156845791	1.3207
NM_020307	chr3(.):156860585-156883482	0.8421
NM_025009	chr4(.):56810036-56904527	0.2827
NM_153343	chr4(.):185004858-185144114	0.0558
NM_002199	chr4(.):185303875-185400726	0.7776
NM_018986	chr4(.):8196059-8247830	0.5698
NM_053044	chr4(.):8266488-8313838	0.075
NM_002372	chr5(.):109020155-109208429	0.2708
NM_015071	chr5(.):142145291-142613572	0.3436
NM_015315	chr5(.):154087461-154202163	0.303
NM_005885	chr5(.):10348827-10440491	0.318
NM_182977	chr5(.):43598228-43710668	0.2152
NM_012343	chr5(.):43597790-43710668	0.2151
NM_024669	chr5(.):55390506-55534186	0.8104
NM_018924	chr5(.):140744961-140897546	0.2263
NM_018922	chr5(.):140724827-140897546	0.2131
NM_018915	chr5(.):140713353-140897546	0.2086
NM_018916	chr5(.):140718600-140897546	0.2119
NM_018912	chr5(.):140705251-140897546	0.2073
NM_003736	chr5(.):140762451-140897546	0.2482
NM_018923	chr5(.):140734702-140897546	0.2225
NM_018920	chr5(.):140757466-140897546	0.2405
NM_018918	chr5(.):140738897-140897546	0.2216
NM_018917	chr5(.):140729767-140897546	0.2184
NM_018919	chr5(.):140748650-140897546	0.2315
NM_001020825	chr5(.):142652495-142788254	0.3276
NM_001018076	chr5(.):142652495-142789045	0.326
NM_001018075	chr5(.):142652495-142820077	0.2751
NM_001167579	chr5(.):176806431-176822514	0.1402
NM_022455	chr5(.):176555832-176732214	0.323
NM_001190946	chr5(.):176941789-176986548	0.3196
NM_172349	chr5(.):176555079-176732214	0.3222
NM_002406	chr5(.):180212540-180235048	0.635
NM_001114619	chr5(.):180212540-180235902	0.6607
NM_001114618	chr5(.):180212540-180241817	0.9466
NM_001114617	chr5(.):180212540-180242137	0.9398
NM_001193376	chr5(.):1248286-1300162	0.2155
NM_030782	chr5(.):1312999-1350002	1.7377
NM_138809	chr5(.):10272706-10313168	0.3101
NM_022130	chr5(.):32119823-32179425	0.4888
NR_034127	chr5(.):43060288-43072073	1.8708
NM_001014279	chr5(.):43034181-43045447	2.3601
NR_034085	chr5(.):43011149-43023913	1.3305
NR_015447	chr5(.):43037235-43050370	2.0233
NM_006451	chr5(.):43521369-43562195	0.3413
NM_183323	chr5(.):43521369-43562521	0.3386
NM_002184	chr5(.):55225924-55295821	0.701
NR_036052	chr5(.):118305280-118315362	0.0586
NM_005573	chr5(.):126107314-126177712	0.3404
NM_001198557	chr5(.):126107844-126177712	0.3422
NM_016480	chr5(.):138672518-138710409	0.2223
NM_194296	chr5(.):138727455-138744776	0.6981
NM_152686	chr5(.):138740891-138780214	0.1555
NM_152685	chr5(.):138697884-138724039	0.2768
NM_001033112	chr5(.):138673133-138710409	0.2251
NM_001161546	chr5(.):138722634-138735885	1.9561
NM_016459	chr5(.):138718256-138730605	2.1865
NM_016463	chr5(.):139023300-139067680	0.7225
NM_032088	chr5(.):140766482-140897546	0.254
NM_032406	chr5(.):140859740-140872356	0.0465
NM_032407	chr5(.):140863807-140876444	0.0669
NM_018925	chr5(.):140772694-140897546	0.2613
NM_032092	chr5(.):140795536-140897546	0.2999
NM_003735	chr5(.):140805157-140897546	0.3283
NM_018921	chr5(.):140777519-140897546	0.2681
NM_018929	chr5(.):140863807-140897546	0.7397
NM_018913	chr5(.):140787742-140897546	0.2855
NM_002588	chr5(.):140850568-140897546	0.602
NM_018926	chr5(.):140782769-140897546	0.2736
NM_018928	chr5(.):140859740-140897546	0.6644
NM_018927	chr5(.):140792281-140897546	0.2955
NM_000024	chr5(.):148201155-148213197	1.5
NM_001195556	chr5(.):157207750-157291183	0.4362
NM_002187	chr5(.):158736790-158762481	0.388
NM_030627	chr5(.):173310330-173392313	0.9005
NM_002011	chr5(.):176508920-176530126	0.1368
NM_022963	chr5(.):176511550-176530126	0.1317
NM_001031677	chr5(.):176723198-176735744	1.7081
NM_006480	chr5(.):176779843-176804599	0.5632
NM_006816	chr5(.):176753562-176783885	0.3698
NM_031300	chr5(.):176729205-176744292	2.1387
NM_001142935	chr5(.):176727500-176744292	2.1987
NM_013237	chr5(.):176725834-176738950	2.2088
NM_002082	chr5(.):176848686-176874850	1.5674
NM_203352	chr5(.):176905394-176929602	0.3878
NM_030567	chr5(.):176868795-176888287	0.7481
NM_000505	chr5(.):176824138-176841577	0.9168
NM_080881	chr5(.):176878613-176904871	0.4528
NM_024872	chr5(.):176925750-176941858	1.9335
NM_016222	chr5(.):176933577-176948967	2.3563
NM_004395	chr5(.):176878613-176905694	0.4431
NM_001004105	chr5(.):176848686-176873354	1.5287
NM_001174102	chr5(.):176870325-176888283	0.794
NM_001029886	chr5(.):176822107-176832637	0.8947
NM_001144876	chr5(.):176923905-176942427	1.8267
NR_031598	chr5(.):179220277-179230346	0.469
NM_145867	chr5(.):179215985-179228513	0.396
NM_003900	chr5(.):179242841-179270077	1.0742
NM_016175	chr5(.):179259265-179290840	0.2318
NM_054013	chr5(.):179219597-179234875	0.661
NM_014275	chr5(.):179219597-179238952	0.5613
NM_001142298	chr5(.):179228387-179270077	0.8675
NM_001142299	chr5(.):179229002-179270077	0.8791
NR_027183	chr5(.):180251958-180267726	1.1629
NM_152283	chr5(.):180269610-180293286	0.3113
NM_006098	chr5(.):180658927-180675906	1.2285
NM_033342	chr5(.):180625119-180637177	0.2848
NR_002591	chr5(.):180665313-180675376	1.9772
NR_002592	chr5(.):180663817-180673889	1.7811
NM_032765	chr5(.):180678385-180693119	1.0851
NM_203297	chr5(.):180615923-180632930	0.5029
NM_203296	chr5(.):180615923-180636340	0.5237
NM_033549	chr5(.):180645305-180667808	0.7277
NM_004117	chr6(.):35536361-35661719	0.3678
NM_022758	chr6(.):34550065-34669625	0.7013
NM_001145776	chr6(.):35536361-35661692	0.3678
NM_001145775	chr6(.):35536361-35701360	0.4902
NR_037616	chr6(.):7876482-8069647	0.6351
NM_002114	chr6(.):12007723-12170232	0.4458
NM_018988	chr6(.):13358818-13492787	0.3007
NM_005124	chr6(.):17610268-17711818	0.3004
NM_001949	chr6(.):20397136-20498945	0.3284
NM_014641	chr6(.):30662583-30690458	1.251
NM_001090	chr6(.):30534169-30564309	0.4575
NM_172166	chr6(.):31702724-31735455	1.3643
NM_004197	chr6(.):31976517-31986961	1.6383
NM_145901	chr6(.):34199649-34219008	1.3752
NM_145903	chr6(.):34199576-34219008	1.3704
NM_145905	chr6(.):34201567-34219008	1.5085
NM_003017	chr6(.):36557089-36577244	1.5162
NR_036610	chr6(.):36557089-36577243	1.5161
NM_016021	chr6(.):90031343-90067619	0.8092
NM_020185	chr6(.):287100-356355	2.6229
NM_001145549	chr6(.):7876482-7915310	1.8311
NM_030810	chr6(.):7876482-7916047	1.8432
NM_032744	chr6(.):11708887-11784280	0.8197
NM_033069	chr6(.):13464508-13491415	0.5852
NM_001193267	chr6(.):13569791-13619785	0.6495
NM_012241	chr6(.):13569874-13619785	0.6506
NM_030939	chr6(.):24700089-24724403	0.9669
NM_005319	chr6(.):26050967-26061699	2.0007
NM_003537	chr6(.):26026816-26037288	3.0611
NM_003544	chr6(.):26022123-26032480	2.7713
NM_021062	chr6(.):26038454-26048885	0.5514
NM_003531	chr6(.):26040638-26051097	0.5573
NM_005325	chr6(.):26012259-26023040	1.883
NM_003538	chr6(.):26016906-26027278	2.9335
NM_003513	chr6(.):26028319-26038796	2.2289
NM_003529	chr6(.):26015717-26026186	2.1921
NM_003526	chr6(.):26118694-26129132	2.8425
NM_139006	chr6(.):26082508-26100469	0.254
NM_021065	chr6(.):26194011-26204471	3.5889
NM_003530	chr6(.):26192011-26204464	3.0478
NM_138720	chr6(.):26153348-26176576	1.6545
NM_003523	chr6(.):26179023-26189458	1.0147
NM_003539	chr6(.):26183937-26194304	1.1654
NM_003545	chr6(.):26199872-26210249	2.6985
NM_021063	chr6(.):26153348-26163871	2.3019
NM_005321	chr6(.):26151558-26162343	2.2355
NM_003512	chr6(.):26119372-26129918	2.8178
NM_003542	chr6(.):26099175-26109565	1.0109
NM_005323	chr6(.):26102639-26113364	0.9524
NM_003522	chr6(.):26194786-26205216	4.1305
NM_003518	chr6(.):26211427-26221872	1.7914
NM_021052	chr6(.):26212147-26222711	1.7819
NM_003543	chr6(.):26280353-26290727	2.1823
NM_003532	chr6(.):26220382-26230844	0.4642
NM_003524	chr6(.):26246878-26257303	2.572
NM_003534	chr6(.):26266145-26276612	2.5425
NM_003547	chr6(.):26241838-26252205	2.1538
NM_003540	chr6(.):26235653-26246021	0.6612
NM_021018	chr6(.):26245369-26255835	2.5417
NM_005320	chr6(.):26229439-26240216	1.6177
NM_003525	chr6(.):26268203-26278640	2.5619
NR_026790	chr6(.):26516933-26532612	1.2263
NM_001732	chr6(.):26496494-26515652	0.1474
NM_006353	chr6(.):26533571-26552164	1.696
NM_021064	chr6(.):27095816-27106314	4.2196
NM_080593	chr6(.):27101071-27119637	2.5953
NM_080596	chr6(.):27109907-27120346	2.2226
NR_036096	chr6(.):27110404-27120467	2.1954
NM_021058	chr6(.):27095094-27105575	4.3089
NM_003495	chr6(.):27102087-27112457	2.1063
NM_021066	chr6(.):27777079-27787518	1.4786
NM_003536	chr6(.):27772841-27783314	1.7393
NM_003509	chr6(.):27770976-27781445	1.2684
NM_003519	chr6(.):27770256-27780709	1.2096
NM_003521	chr6(.):27777821-27788267	1.4438
NM_003535	chr6(.):27853092-27863570	3.2977
NM_003527	chr6(.):27856202-27866669	3.5064
NM_003520	chr6(.):27801439-27811888	2.9599
NM_003511	chr6(.):27828106-27838576	2.0468
NM_003533	chr6(.):27834622-27845099	1.1094
NM_003510	chr6(.):27800657-27811117	2.9598
NM_003541	chr6(.):27793951-27804305	1.644
NM_005322	chr6(.):27829569-27840359	2.2187
NM_033057	chr6(.):27873962-27885174	0.0955
NM_021968	chr6(.):27786902-27797258	1.247
NM_003514	chr6(.):27855476-27865963	3.5009
NM_003546	chr6(.):27835925-27846289	0.6081
NM_005275	chr6(.):30504154-30530371	0.8567
NM_025263	chr6(.):30519485-30537473	1.1018
NM_003587	chr6(.):30615895-30645830	0.323
NM_001031722	chr6(.):30589662-30619598	0.5024
NR_033823	chr6(.):30589612-30619598	0.5017
NM_001161376	chr6(.):30609815-30625987	0.7141
NM_002714	chr6(.):30563181-30590020	0.9798
NM_014046	chr6(.):30580485-30599174	1.4045
NM_133471	chr6(.):30639165-30660672	1.544
NM_001134870	chr6(.):30639165-30660093	1.5839
NM_007243	chr6(.):30650825-30663769	1.609
NR_030615	chr6(.):30547108-30557194	0.1202
NM_005803	chr6(.):30690510-30715453	0.4841
NM_003897	chr6(.):30705975-30717327	0.6174
NM_178014	chr6(.):30683156-30698195	2.0683
NM_006674	chr6(.):31425956-31438586	0.3267
NR_002812	chr6(.):31434005-31445185	0.2393
NM_080598	chr6(.):31492995-31515225	0.9927
NM_138282	chr6(.):31507239-31519627	1.824
NM_001144961	chr6(.):31510352-31531606	0.5129
NM_001144963	chr6(.):31509627-31531606	0.7576
NR_003065	chr6(.):31503877-31513955	1.8294
NM_005931	chr6(.):31460854-31483901	0.8908
NR_003140	chr6(.):31499150-31509226	0.4662
NM_001011700	chr6(.):31491738-31503008	0.185
NM_004847	chr6(.):31577993-31589798	1.352
NM_001623	chr6(.):31578032-31589798	1.3561
NM_032955	chr6(.):31578788-31589798	1.442
NM_080702	chr6(.):31601804-31625477	0.671
NM_001098534	chr6(.):31601804-31625170	0.6765
NM_021246	chr6(.):31678132-31690581	0.2724
NM_138275	chr6(.):31686160-31697851	0.941
NR_033488	chr6(.):31649725-31675850	0.4862
NM_001320	chr6(.):31628656-31642843	1.4603
NM_013974	chr6(.):31689816-31703039	1.1988
NM_025262	chr6(.):31639460-31653150	0.3845
NM_001288	chr6(.):31693357-31709341	3.3498
NM_019101	chr6(.):31618670-31630987	1.5652
NM_021184	chr6(.):31621074-31633549	1.676
NM_001003693	chr6(.):31669683-31683372	0.7653
NM_021221	chr6(.):31633727-31645227	0.5408
NM_021160	chr6(.):31649725-31676137	0.4809
NR_002971	chr6(.):31585855-31595987	1.4576
NR_024541	chr6(.):31674752-31686842	0.2618
NM_080686	chr6(.):31583449-31610554	0.6616
NM_025261	chr6(.):31681424-31694510	0.2581
NM_033177	chr6(.):31624005-31638179	1.7266
NM_001199240	chr6(.):31624005-31638407	1.6992
NM_001199238	chr6(.):31624005-31638639	1.6723
NM_001199237	chr6(.):31624005-31639060	1.6318
NM_001039651	chr6(.):31725772-31737624	0.2848
NM_025258	chr6(.):31728370-31750108	0.5785
NR_002742	chr6(.):31799852-31809916	1.7209
NM_021177	chr6(.):31760173-31779743	1.3127
NR_002745	chr6(.):31798039-31808103	1.9299
NM_001040438	chr6(.):31797692-31812541	1.3932
NM_005345	chr6(.):31778290-31790719	1.2814
NM_005527	chr6(.):31772395-31787835	1.0548
NM_006295	chr6(.):31740296-31768712	1.2855
NM_005346	chr6(.):31790511-31803031	2.1347
NR_001284	chr6(.):31971196-31985800	1.1934
NR_026717	chr6(.):31933951-31954223	1.8134
NM_005510	chr6(.):31932587-31945032	1.5204
NM_001002029	chr6(.):31944833-31975458	0.7683
NM_032470	chr6(.):31971196-31986050	1.1944
NM_006929	chr6(.):31921580-31942532	1.2262
NM_000500	chr6(.):31968347-31981684	0.2613
NM_002904	chr6(.):31914863-31931864	0.491
NM_004197	chr6(.):31934645-31954223	1.8718
NR_031601	chr6(.):31919615-31929717	0.7111
NM_000063	chr6(.):31890265-31918449	0.2924
NM_001710	chr6(.):31908720-31924861	0.1951
NM_001002029	chr6(.):31977571-32008195	0.7267
NM_000500	chr6(.):32001081-32014419	0.2187
NM_032470	chr6(.):32003931-32018905	0.2189
NM_022107	chr6(.):32153542-32168300	2.0852
NM_138717	chr6(.):32116300-32136452	0.2723
NM_001136	chr6(.):32143745-32157023	1.1372
NM_004557	chr6(.):32157619-32196844	0.8095
NM_032741	chr6(.):32130982-32150888	0.8345
NM_002586	chr6(.):32147509-32162963	1.4281
NM_006913	chr6(.):32141161-32153570	1.2766
NR_003129	chr6(.):32141231-32153567	1.2833
NM_030651	chr6(.):32111139-32124720	0.3351
NM_005155	chr6(.):32116621-32136452	0.2753
NM_006411	chr6(.):32130982-32148916	0.8878
NR_037169	chr6(.):32115578-32127142	0.37
NM_030652	chr6(.):32127404-32141062	0.1557
NM_006120	chr6(.):32911390-32925899	0.3789
NM_002119	chr6(.):32966959-32982389	0.156
NM_002118	chr6(.):32897405-32913847	0.2843
NM_005104	chr6(.):32931436-32954282	2.6044
NM_001113182	chr6(.):32933664-32954282	2.8639
NM_001199455	chr6(.):32934371-32954282	2.9567
NM_001199456	chr6(.):32935860-32954282	3.0758
NM_001008703	chr6(.):34209156-34221904	0.7006
NR_027117	chr6(.):35689538-35709724	1.5387
NM_207409	chr6(.):35739391-35752329	0.164
NM_145028	chr6(.):35699858-35721685	0.3765
NM_007271	chr6(.):36456668-36520247	0.2518
NR_037491	chr6(.):36585212-36595289	0.2336
NM_020939	chr6(.):36703554-36812220	0.4024
NM_002648	chr6(.):37132921-37148204	2.2009
NM_001402	chr6(.):74220472-74235755	1.3223
NM_002043	chr6(.):89962238-90029967	0.1422
NM_001099286	chr6(.):136547167-136576449	0.2887
NM_001077441	chr6(.):136573000-136615989	0.4728
NM_006290	chr6(.):138183580-138209449	1.2699
NM_001259	chr7(.):92229234-92468231	0.4757
NM_001145306	chr7(.):92229234-92470941	0.4711
NM_030796	chr7(.):55533305-55645200	0.8828
NM_003496	chr7(.):98471112-98615864	0.3126
NM_001145354	chr7(.):130789854-131186398	0.2547
NM_022740	chr7(.):139241315-139482693	0.3757
NM_001164459	chr7(.):149939300-150005069	0.0824
NM_001164458	chr7(.):149939300-150025758	0.3008
NM_022748	chr7(.):47309751-47584199	0.3988
NM_006060	chr7(.):50339377-50477798	0.2854
NM_017984	chr7(.):99993494-100031302	0.8561
NM_017621	chr7(.):102091666-102110321	0.9514
NM_006989	chr7(.):102215092-102262205	0.828
