GENE_ID	locusLine	bin_1_40_0EXS_0229Kronos_MM1S-KB-3hr-2_Input_hs_i84.bam
2_MACS_peak_156_lociStitched	chr1(.):11862934-11867487	0.1877
1_MACS_peak_158_lociStitched	chr1(.):11967451-11970743	0.2444
2_MACS_peak_159_lociStitched	chr1(.):11984325-11995432	0.1314
1_MACS_peak_161_lociStitched	chr1(.):12039306-12041368	0.1377
1_MACS_peak_162_lociStitched	chr1(.):12078621-12080649	0.2102
2_MACS_peak_163_lociStitched	chr1(.):12105938-12113465	0.1578
1_MACS_peak_165_lociStitched	chr1(.):12138495-12140022	0.1712
2_MACS_peak_166_lociStitched	chr1(.):12220746-12227961	0.1396
1_MACS_peak_168_lociStitched	chr1(.):12269951-12271666	0.1801
1_MACS_peak_169_lociStitched	chr1(.):12289723-12291728	0.1276
1_MACS_peak_170_lociStitched	chr1(.):12493956-12496929	0.2155
1_MACS_peak_171_lociStitched	chr1(.):12508744-12510522	0.2068
1_MACS_peak_172_lociStitched	chr1(.):12677889-12679586	0.132
1_MACS_peak_173_lociStitched	chr1(.):12896640-12897560	0.0564
1_MACS_peak_174_lociStitched	chr1(.):13824588-13826017	0.1083
1_MACS_peak_175_lociStitched	chr1(.):13968397-13969507	0.102
1_MACS_peak_176_lociStitched	chr1(.):14025908-14027578	0.1439
1_MACS_peak_177_lociStitched	chr1(.):14056292-14058584	0.1761
1_MACS_peak_178_lociStitched	chr1(.):14074921-14077021	0.1587
1_MACS_peak_179_lociStitched	chr1(.):14155129-14156566	0.2263
3_MACS_peak_180_lociStitched	chr1(.):14237320-14255016	0.0994
1_MACS_peak_183_lociStitched	chr1(.):14271750-14273466	0.1473
1_MACS_peak_184_lociStitched	chr1(.):14292275-14295514	0.1243
3_MACS_peak_185_lociStitched	chr1(.):14329395-14344953	0.1565
1_MACS_peak_188_lociStitched	chr1(.):14361433-14367766	0.1725
1_MACS_peak_189_lociStitched	chr1(.):14463414-14465029	0.1886
2_MACS_peak_190_lociStitched	chr1(.):14500756-14508924	0.1498
2_MACS_peak_192_lociStitched	chr1(.):14686937-14697638	0.1069
1_MACS_peak_194_lociStitched	chr1(.):15059209-15060537	0.1208
1_MACS_peak_195_lociStitched	chr1(.):15150242-15151921	0.162
1_MACS_peak_196_lociStitched	chr1(.):15160285-15164887	0.187
2_MACS_peak_197_lociStitched	chr1(.):15202237-15209551	0.1463
2_MACS_peak_199_lociStitched	chr1(.):15479881-15483491	0.1309
3_MACS_peak_201_lociStitched	chr1(.):15499957-15506684	0.1666
1_MACS_peak_204_lociStitched	chr1(.):15545008-15546792	0.1727
1_MACS_peak_205_lociStitched	chr1(.):15557398-15559192	0.214
1_MACS_peak_206_lociStitched	chr1(.):15574764-15576143	0.1899
2_MACS_peak_207_lociStitched	chr1(.):15583824-15588924	0.1474
1_MACS_peak_209_lociStitched	chr1(.):15623327-15624469	0.2271
1_MACS_peak_210_lociStitched	chr1(.):15688239-15689991	0.0899
1_MACS_peak_211_lociStitched	chr1(.):15710425-15711555	0.1208
1_MACS_peak_212_lociStitched	chr1(.):15735324-15737479	0.091
2_MACS_peak_213_lociStitched	chr1(.):15850040-15854428	0.2222
3_MACS_peak_215_lociStitched	chr1(.):15896916-15912178	0.1576
1_MACS_peak_218_lociStitched	chr1(.):15942474-15945887	0.1953
1_MACS_peak_219_lociStitched	chr1(.):16009760-16012171	0.0973
1_MACS_peak_220_lociStitched	chr1(.):16023183-16024811	0.2304
1_MACS_peak_221_lociStitched	chr1(.):16160061-16163561	0.1422
2_MACS_peak_222_lociStitched	chr1(.):16172955-16178985	0.1552
1_MACS_peak_224_lociStitched	chr1(.):16212172-16213264	0.094
1_MACS_peak_225_lociStitched	chr1(.):16301482-16303376	0.1569
2_MACS_peak_226_lociStitched	chr1(.):16399817-16406202	0.14
1_MACS_peak_228_lociStitched	chr1(.):16532630-16534430	0.1215
1_MACS_peak_229_lociStitched	chr1(.):16562750-16564604	0.2639
1_MACS_peak_230_lociStitched	chr1(.):16677637-16679912	0.224
1_MACS_peak_231_lociStitched	chr1(.):16692764-16695412	0.2279
1_MACS_peak_232_lociStitched	chr1(.):16766404-16771505	0.2132
2_MACS_peak_233_lociStitched	chr1(.):16825018-16833376	0.1292
1_MACS_peak_236_lociStitched	chr1(.):16938843-16941318	0.7793
1_MACS_peak_237_lociStitched	chr1(.):16969592-16972445	0.8093
1_MACS_peak_238_lociStitched	chr1(.):16991956-16994907	0.5366
1_MACS_peak_239_lociStitched	chr1(.):17011844-17013223	0.2056
2_MACS_peak_240_lociStitched	chr1(.):17065542-17075562	0.3046
3_MACS_peak_242_lociStitched	chr1(.):17221178-17241782	0.2636
1_MACS_peak_245_lociStitched	chr1(.):17286651-17288168	0.1861
1_MACS_peak_246_lociStitched	chr1(.):17337589-17338673	0.0905
1_MACS_peak_247_lociStitched	chr1(.):17379419-17381249	0.2471
1_MACS_peak_248_lociStitched	chr1(.):17482077-17483595	0.151
1_MACS_peak_249_lociStitched	chr1(.):17719489-17720816	0.1213
1_MACS_peak_250_lociStitched	chr1(.):17763460-17768979	0.1408
1_MACS_peak_251_lociStitched	chr1(.):17786964-17788572	0.1319
1_MACS_peak_252_lociStitched	chr1(.):19228191-19230229	0.2313
1_MACS_peak_253_lociStitched	chr1(.):19252151-19255224	0.2266
1_MACS_peak_254_lociStitched	chr1(.):19276513-19279163	0.1895
1_MACS_peak_255_lociStitched	chr1(.):19535511-19538184	0.2317
1_MACS_peak_256_lociStitched	chr1(.):19577100-19579128	0.1912
1_MACS_peak_257_lociStitched	chr1(.):19637615-19640027	0.1759
1_MACS_peak_258_lociStitched	chr1(.):19810734-19813433	0.1502
1_MACS_peak_259_lociStitched	chr1(.):19821790-19823319	0.2051
1_MACS_peak_260_lociStitched	chr1(.):19922286-19924712	0.2174
1_MACS_peak_261_lociStitched	chr1(.):20084745-20086754	0.1988
1_MACS_peak_262_lociStitched	chr1(.):20125249-20127669	0.1518
1_MACS_peak_263_lociStitched	chr1(.):20141451-20143249	0.126
1_MACS_peak_264_lociStitched	chr1(.):20208422-20209963	0.165
2_MACS_peak_265_lociStitched	chr1(.):20404212-20408715	0.1447
1_MACS_peak_267_lociStitched	chr1(.):20415725-20417258	0.1801
1_MACS_peak_268_lociStitched	chr1(.):20446112-20446959	0.1082
1_MACS_peak_269_lociStitched	chr1(.):20833722-20835428	0.2263
1_MACS_peak_270_lociStitched	chr1(.):20959640-20961254	0.1448
1_MACS_peak_271_lociStitched	chr1(.):20986543-20989093	0.2823
1_MACS_peak_272_lociStitched	chr1(.):21022667-21023929	0.1624
1_MACS_peak_273_lociStitched	chr1(.):21058706-21060743	0.2317
1_MACS_peak_274_lociStitched	chr1(.):21111767-21114868	0.1622
1_MACS_peak_275_lociStitched	chr1(.):21290504-21292290	0.1996
1_MACS_peak_276_lociStitched	chr1(.):21347901-21350066	0.1966
1_MACS_peak_277_lociStitched	chr1(.):21501708-21504015	0.1511
1_MACS_peak_278_lociStitched	chr1(.):21615348-21623723	0.204
1_MACS_peak_279_lociStitched	chr1(.):21660001-21661999	0.2288
1_MACS_peak_280_lociStitched	chr1(.):21670937-21673140	0.1453
1_MACS_peak_281_lociStitched	chr1(.):21765780-21767683	0.1453
1_MACS_peak_282_lociStitched	chr1(.):22029809-22031507	0.1852
2_MACS_peak_283_lociStitched	chr1(.):22107364-22119535	0.1467
1_MACS_peak_285_lociStitched	chr1(.):22191051-22194675	0.2031
1_MACS_peak_286_lociStitched	chr1(.):22263876-22264734	0.1077
2_MACS_peak_287_lociStitched	chr1(.):22344783-22353585	0.1624
1_MACS_peak_289_lociStitched	chr1(.):22365560-22367564	0.2001
1_MACS_peak_290_lociStitched	chr1(.):22378258-22380686	0.1777
1_MACS_peak_291_lociStitched	chr1(.):22444589-22446473	0.1685
1_MACS_peak_292_lociStitched	chr1(.):22488974-22490660	0.1202
1_MACS_peak_293_lociStitched	chr1(.):22777579-22779717	0.1909
1_MACS_peak_294_lociStitched	chr1(.):22820086-22823903	0.1523
1_MACS_peak_295_lociStitched	chr1(.):22833844-22835947	0.1341
1_MACS_peak_296_lociStitched	chr1(.):23345217-23347195	0.178
1_MACS_peak_297_lociStitched	chr1(.):23503910-23504815	0.1022
1_MACS_peak_298_lociStitched	chr1(.):23667910-23672076	0.224
1_MACS_peak_299_lociStitched	chr1(.):23693906-23696586	0.2083
3_MACS_peak_300_lociStitched	chr1(.):23849828-23866973	0.1892
2_MACS_peak_303_lociStitched	chr1(.):23880504-23886881	0.141
1_MACS_peak_305_lociStitched	chr1(.):23918166-23921249	0.1601
4_MACS_peak_306_lociStitched	chr1(.):23937076-23954726	0.1678
1_MACS_peak_310_lociStitched	chr1(.):24017740-24019578	0.2108
1_MACS_peak_311_lociStitched	chr1(.):24068977-24071998	0.1932
1_MACS_peak_312_lociStitched	chr1(.):24104058-24105772	0.128
1_MACS_peak_313_lociStitched	chr1(.):24116873-24118630	0.2452
1_MACS_peak_314_lociStitched	chr1(.):24125760-24128323	0.1595
1_MACS_peak_315_lociStitched	chr1(.):24150868-24153007	0.2068
1_MACS_peak_316_lociStitched	chr1(.):24180941-24182756	0.2168
1_MACS_peak_317_lociStitched	chr1(.):24193690-24195278	0.2316
1_MACS_peak_318_lociStitched	chr1(.):24236799-24238096	0.1745
1_MACS_peak_319_lociStitched	chr1(.):24246000-24247578	0.0918
2_MACS_peak_320_lociStitched	chr1(.):24281003-24288013	0.1653
1_MACS_peak_322_lociStitched	chr1(.):24305469-24308026	0.1812
2_MACS_peak_323_lociStitched	chr1(.):24468649-24479062	0.1447
3_MACS_peak_325_lociStitched	chr1(.):24511753-24533976	0.1932
1_MACS_peak_328_lociStitched	chr1(.):24644764-24650688	0.2539
1_MACS_peak_329_lociStitched	chr1(.):24676786-24678363	0.1765
2_MACS_peak_330_lociStitched	chr1(.):24710002-24720717	0.1886
2_MACS_peak_332_lociStitched	chr1(.):24739236-24744096	0.2016
1_MACS_peak_334_lociStitched	chr1(.):24807129-24808931	0.1607
1_MACS_peak_335_lociStitched	chr1(.):24827356-24830525	0.1723
1_MACS_peak_336_lociStitched	chr1(.):24860980-24862489	0.1972
1_MACS_peak_337_lociStitched	chr1(.):24883712-24885349	0.1462
1_MACS_peak_338_lociStitched	chr1(.):24967918-24971481	0.1974
1_MACS_peak_339_lociStitched	chr1(.):25020086-25021579	0.1328
2_MACS_peak_340_lociStitched	chr1(.):25048434-25055044	0.1212
1_MACS_peak_342_lociStitched	chr1(.):25069390-25076564	0.1903
1_MACS_peak_343_lociStitched	chr1(.):25174288-25175684	0.104
1_MACS_peak_344_lociStitched	chr1(.):25254350-25257635	0.1324
1_MACS_peak_345_lociStitched	chr1(.):25290201-25293003	0.1668
4_MACS_peak_346_lociStitched	chr1(.):25347290-25364650	0.1413
4_MACS_peak_350_lociStitched	chr1(.):25558100-25575126	0.1748
1_MACS_peak_354_lociStitched	chr1(.):25592438-25595403	0.2276
1_MACS_peak_355_lociStitched	chr1(.):25663286-25666064	0.2569
1_MACS_peak_356_lociStitched	chr1(.):25755930-25758590	0.2023
1_MACS_peak_357_lociStitched	chr1(.):25798439-25801052	0.1625
2_MACS_peak_358_lociStitched	chr1(.):25869448-25878992	0.1817
1_MACS_peak_360_lociStitched	chr1(.):25887660-25890677	0.2682
1_MACS_peak_361_lociStitched	chr1(.):25926187-25926981	0.1139
2_MACS_peak_362_lociStitched	chr1(.):25941943-25948986	0.1589
1_MACS_peak_364_lociStitched	chr1(.):25957821-25959374	0.1822
1_MACS_peak_365_lociStitched	chr1(.):25967426-25970834	0.2158
1_MACS_peak_366_lociStitched	chr1(.):26000854-26003713	0.2207
1_MACS_peak_367_lociStitched	chr1(.):26126828-26127745	0.0981
1_MACS_peak_368_lociStitched	chr1(.):26145539-26148299	0.1871
1_MACS_peak_369_lociStitched	chr1(.):26185057-26186658	0.171
1_MACS_peak_370_lociStitched	chr1(.):26230881-26233457	0.1131
1_MACS_peak_371_lociStitched	chr1(.):26259736-26260961	0.0933
1_MACS_peak_372_lociStitched	chr1(.):26322990-26325569	0.2734
1_MACS_peak_373_lociStitched	chr1(.):26361643-26362931	0.246
3_MACS_peak_374_lociStitched	chr1(.):26436713-26454147	0.1295
2_MACS_peak_377_lociStitched	chr1(.):26495962-26504633	0.1307
2_MACS_peak_379_lociStitched	chr1(.):26559832-26564704	0.1799
1_MACS_peak_381_lociStitched	chr1(.):26578304-26581016	0.2061
3_MACS_peak_382_lociStitched	chr1(.):26601849-26614475	0.1405
3_MACS_peak_385_lociStitched	chr1(.):26632069-26644549	0.1411
1_MACS_peak_388_lociStitched	chr1(.):26662390-26663760	0.2349
1_MACS_peak_389_lociStitched	chr1(.):26704476-26705446	0.1153
1_MACS_peak_390_lociStitched	chr1(.):26757918-26759653	0.1913
1_MACS_peak_391_lociStitched	chr1(.):26797671-26800512	0.1777
1_MACS_peak_392_lociStitched	chr1(.):26826132-26828785	0.1171
1_MACS_peak_393_lociStitched	chr1(.):26855537-26857361	0.145
3_MACS_peak_394_lociStitched	chr1(.):26865744-26873428	0.181
1_MACS_peak_397_lociStitched	chr1(.):26945997-26948791	0.1945
1_MACS_peak_398_lociStitched	chr1(.):27018204-27031365	0.2067
3_MACS_peak_399_lociStitched	chr1(.):27059982-27072737	0.1802
1_MACS_peak_402_lociStitched	chr1(.):27112579-27116229	0.2465
1_MACS_peak_403_lociStitched	chr1(.):27126047-27127641	0.1824
1_MACS_peak_404_lociStitched	chr1(.):27136539-27137470	0.0953
5_MACS_peak_405_lociStitched	chr1(.):27146954-27167180	0.1572
1_MACS_peak_410_lociStitched	chr1(.):27190162-27193241	0.1856
1_MACS_peak_411_lociStitched	chr1(.):27215576-27217533	0.1619
1_MACS_peak_412_lociStitched	chr1(.):27225850-27227815	0.2138
1_MACS_peak_413_lociStitched	chr1(.):27247718-27249244	0.2786
1_MACS_peak_414_lociStitched	chr1(.):27285939-27287619	0.1074
1_MACS_peak_415_lociStitched	chr1(.):27396415-27398186	0.158
1_MACS_peak_416_lociStitched	chr1(.):27462742-27464597	0.1646
1_MACS_peak_417_lociStitched	chr1(.):27480794-27482552	0.1897
1_MACS_peak_418_lociStitched	chr1(.):27559985-27562902	0.1673
1_MACS_peak_419_lociStitched	chr1(.):27647956-27649938	0.2036
2_MACS_peak_420_lociStitched	chr1(.):27667521-27676810	0.1369
1_MACS_peak_422_lociStitched	chr1(.):27692674-27693980	0.1473
1_MACS_peak_423_lociStitched	chr1(.):27718067-27719939	0.1966
1_MACS_peak_424_lociStitched	chr1(.):27743991-27745922	0.1942
1_MACS_peak_425_lociStitched	chr1(.):27761307-27766435	0.1768
3_MACS_peak_426_lociStitched	chr1(.):27815396-27827466	0.1437
1_MACS_peak_429_lociStitched	chr1(.):27883115-27884694	0.1575
1_MACS_peak_430_lociStitched	chr1(.):27929637-27930942	0.0742
1_MACS_peak_431_lociStitched	chr1(.):27984986-27987592	0.2006
1_MACS_peak_432_lociStitched	chr1(.):27997993-27999762	0.1907
1_MACS_peak_433_lociStitched	chr1(.):28051498-28053639	0.1939
1_MACS_peak_434_lociStitched	chr1(.):28078665-28079774	0.1374
1_MACS_peak_435_lociStitched	chr1(.):28098657-28100715	0.2202
1_MACS_peak_436_lociStitched	chr1(.):28156250-28158343	0.2091
1_MACS_peak_437_lociStitched	chr1(.):28240034-28241968	0.2825
1_MACS_peak_438_lociStitched	chr1(.):28285475-28287563	0.1492
2_MACS_peak_439_lociStitched	chr1(.):28352972-28363009	0.1425
1_MACS_peak_441_lociStitched	chr1(.):28395979-28397463	0.1302
1_MACS_peak_442_lociStitched	chr1(.):28413998-28416288	0.2313
1_MACS_peak_443_lociStitched	chr1(.):28473906-28475580	0.1923
1_MACS_peak_444_lociStitched	chr1(.):28495066-28496901	0.2075
3_MACS_peak_445_lociStitched	chr1(.):28558647-28577270	0.1685
1_MACS_peak_448_lociStitched	chr1(.):28584932-28587427	0.1445
1_MACS_peak_449_lociStitched	chr1(.):28654547-28656757	0.2331
1_MACS_peak_450_lociStitched	chr1(.):28695252-28697415	0.1909
1_MACS_peak_451_lociStitched	chr1(.):28743796-28744920	0.1828
2_MACS_peak_452_lociStitched	chr1(.):28831387-28846160	0.2053
1_MACS_peak_454_lociStitched	chr1(.):28878377-28881299	0.2344
2_MACS_peak_455_lociStitched	chr1(.):28905727-28914549	0.1675
1_MACS_peak_457_lociStitched	chr1(.):28923856-28929651	0.1712
2_MACS_peak_458_lociStitched	chr1(.):28968556-28976249	0.1762
1_MACS_peak_460_lociStitched	chr1(.):28994249-28996941	0.1498
1_MACS_peak_461_lociStitched	chr1(.):29062326-29064749	0.2358
1_MACS_peak_462_lociStitched	chr1(.):29210514-29214892	0.175
1_MACS_peak_463_lociStitched	chr1(.):29239966-29242541	0.1728
1_MACS_peak_464_lociStitched	chr1(.):29252372-29255812	0.1869
1_MACS_peak_465_lociStitched	chr1(.):29506484-29509777	0.1804
1_MACS_peak_466_lociStitched	chr1(.):29528381-29530076	0.2391
1_MACS_peak_467_lociStitched	chr1(.):29556734-29557964	0.1935
1_MACS_peak_468_lociStitched	chr1(.):29675818-29677051	0.181
1_MACS_peak_469_lociStitched	chr1(.):30347364-30350677	0.1002
1_MACS_peak_470_lociStitched	chr1(.):30901892-30903102	0.1058
1_MACS_peak_471_lociStitched	chr1(.):30995695-30997207	0.1221
1_MACS_peak_472_lociStitched	chr1(.):31072755-31073991	0.1408
1_MACS_peak_473_lociStitched	chr1(.):31191452-31192936	0.2018
2_MACS_peak_474_lociStitched	chr1(.):31213879-31236471	0.2009
2_MACS_peak_476_lociStitched	chr1(.):31251761-31256225	0.1559
1_MACS_peak_478_lociStitched	chr1(.):31296778-31297765	0.1625
1_MACS_peak_479_lociStitched	chr1(.):31536584-31539401	0.1844
2_MACS_peak_480_lociStitched	chr1(.):31627992-31636164	0.0973
1_MACS_peak_482_lociStitched	chr1(.):31768592-31770803	0.2209
1_MACS_peak_483_lociStitched	chr1(.):31867005-31868597	0.1806
1_MACS_peak_484_lociStitched	chr1(.):31885712-31887040	0.0872
1_MACS_peak_485_lociStitched	chr1(.):31895367-31897387	0.29
1_MACS_peak_486_lociStitched	chr1(.):31913385-31916073	0.2159
1_MACS_peak_487_lociStitched	chr1(.):31932722-31934763	0.1388
2_MACS_peak_488_lociStitched	chr1(.):31943370-31951439	0.1679
1_MACS_peak_490_lociStitched	chr1(.):31971249-31973077	0.2024
1_MACS_peak_491_lociStitched	chr1(.):32014255-32015717	0.2162
1_MACS_peak_492_lociStitched	chr1(.):32070465-32072675	0.1946
