REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS.12.BM.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
1_MACS_peak_13135_lociStitched	chr18	60821228	60830754	1	9527	68806.298	35	1	BCL2		BCL2	BCL2	0.7597	35	1
3_MACS_peak_27228_lociStitched	chr8	128568047	128583806	3	15625	68669.8425	36	1			LOC727677	LOC727677	NONE	36	1
2_MACS_peak_25912_lociStitched	chr7	104649227	104656456	2	6747	68397.1835	37	1	MLL5,LOC100216545		LOC100216545	LOC100216545	5.2254	37	1
3_MACS_peak_23282_lociStitched	chr6	217156	231057	3	13718	68216.3773	38	1			DUSP22	DUSP22	5.4081	38	1
1_MACS_peak_22002_lociStitched	chr5	9945	11856	1	1912	67703.0991	39	1			PLEKHG4B	PLEKHG4B	NONE	39	1
1_MACS_peak_6597_lociStitched	chr12	105717678	105726537	1	8860	65847.1752	40	1	C12orf75		C12orf75	C12orf75	1.501	40	1
6_MACS_peak_7004_lociStitched	chr12	127478145	127496994	6	18471	64252.4712	41	1			LOC440117	LOC440117	NONE	41	1
3_MACS_peak_16731_lociStitched	chr2	201979555	201992854	3	13099	63815.2515	42	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.2898	42	1
3_MACS_peak_5848_lociStitched	chr12	26265719	26280534	3	14576	63394.8665	43	1	BHLHE41		BHLHE41	BHLHE41	3.6637	43	1
1_MACS_peak_8085_lociStitched	chr14	72982397	72991773	1	9377	63112.6688	44	1	RGS6		DPF3	DPF3	NONE	44	1
4_MACS_peak_8505_lociStitched	chr14	103363626	103370932	4	7185	62822.8328	45	1	TRAF3	AMN	AMN	AMN	0.23	45	1
2_MACS_peak_18383_lociStitched	chr21	44579851	44589058	2	9168	62072.6733	46	1		CRYAA	CRYAA	CRYAA	2.8974	46	1
5_MACS_peak_15986_lociStitched	chr2	87808940	87826590	5	17120	62060.93	47	1	NCRNA00152		NCRNA00152	NCRNA00152	1.6089	47	1
2_MACS_peak_2301_lociStitched	chr1	203288433	203297655	2	9196	61564.2276	48	1		BTG2,LOC730227,FMOD	BTG2	LOC730227	2.4647	48	1
1_MACS_peak_9818_lociStitched	chr16	2556411	2565440	1	9030	61327.6767	49	1	ATP6V0C	C16orf59,NTN3,TBC1D24,AMDHD2,PDPK1,CEMP1,MIR3178	ATP6V0C	ATP6V0C	3.048	49	1
1_MACS_peak_27208_lociStitched	chr8	126441165	126448607	1	7443	60990.911	50	1	TRIB1		TRIB1	TRIB1	3.6001	50	1
3_MACS_peak_3756_lociStitched	chr10	112618522	112633645	3	14817	60334.7208	51	1	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	LOC282997	3.9268	51	1
2_MACS_peak_26193_lociStitched	chr7	137664429	137675496	2	10964	60300.7629	52	1	CREB3L2		CREB3L2	CREB3L2	0.8104	52	1
4_MACS_peak_17540_lociStitched	chr20	32461403	32474882	4	13253	59690.4036	53	1			CHMP4B	CHMP4B	NONE	53	1
3_MACS_peak_19579_lociStitched	chr3	13046755	13059609	3	12408	59403.4756	54	1	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.5777	54	1
1_MACS_peak_27746_lociStitched	chr9	66454607	66459237	1	4631	59300.577	55	1		LOC442421	LOC442421	LOC442421	1.0671	55	1
1_MACS_peak_23823_lociStitched	chr6	32935471	32941330	1	5860	59207.5386	56	1	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	2.7071	56	1
6_MACS_peak_12027_lociStitched	chr17	47814684	47828647	6	12956	59148.6643	57	1	FAM117A	MYST2,SLC35B1	FAM117A	FAM117A	1.368	57	1
1_MACS_peak_25938_lociStitched	chr7	105696826	105705953	1	9128	58703.0386	58	1		SYPL1	SYPL1	SYPL1	0.5047	58	1
4_MACS_peak_26262_lociStitched	chr7	142498309	142510141	4	11548	58495.0416	59	1		PRSS1,TRY6,PRSS2,EPHB6	PRSS2	PRSS1	0.2538	59	1
3_MACS_peak_1648_lociStitched	chr1	150532053	150542746	3	10231	57389.331	60	1	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	1.2165	60	1
3_MACS_peak_25376_lociStitched	chr7	45031173	45041865	3	10615	57360.4416	61	1	CCM2	CCM2,MYO1G,SNORA9,C7orf40	CCM2	SNORA9	3.6537	61	1
1_MACS_peak_8723_lociStitched	chr15	31554032	31560994	1	6963	56345.5546	62	1			KLF13	KLF13	NONE	62	1
3_MACS_peak_4704_lociStitched	chr11	65257458	65269437	3	11917	56179.1142	63	1	MALAT1	MIR612,SCYL1	MALAT1	MALAT1	3.4333	63	1
3_MACS_peak_13943_lociStitched	chr19	16474680	16485296	3	10607	56163.948	64	1	EPS15L1	KLF2	KLF2	KLF2	0.6408	64	1
2_MACS_peak_25873_lociStitched	chr7	102080597	102088187	2	7506	55650.639	65	1	ORAI2	PRKRIP1,LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.6021	65	1
6_MACS_peak_15724_lociStitched	chr2	65157852	65175204	6	16322	55521.1944	66	1	LOC400958	SLC1A4	LOC400958	LOC400958	0.9308	66	1
7_MACS_peak_23596_lociStitched	chr6	26354247	26368144	7	13302	54690.2538	67	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	1.7774	67	1
7_MACS_peak_25463_lociStitched	chr7	55612926	55630704	7	17041	54462.903	68	1	VOPP1		VOPP1	VOPP1	2.3366	68	1
4_MACS_peak_19121_lociStitched	chr22	39831381	39845802	4	13904	53999.4345	69	1	TAB1	TAB1,MGAT3	MGAT3	TAB1	0.7335	69	1
7_MACS_peak_28986_lociStitched	chrX	48790098	48805507	7	14428	53926.8773	70	1	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	1.9861	70	1
1_MACS_peak_25370_lociStitched	chr7	44834630	44838574	1	3945	52663.0488	71	1	PPIA	ZMIZ2,H2AFV	PPIA	PPIA	3.5883	71	1
2_MACS_peak_27070_lociStitched	chr8	103540081	103550432	2	10342	52511.6581	72	1		ODF1	ODF1	ODF1	0.257	72	1
3_MACS_peak_20964_lociStitched	chr3	193797800	193807961	3	10036	52135.0749	73	1		HES1	HES1	HES1	3.7365	73	1
3_MACS_peak_12745_lociStitched	chr18	9060386	9070944	3	10538	51947.4716	74	1		NDUFV2	NDUFV2	NDUFV2	0.7423	74	1
1_MACS_peak_25772_lociStitched	chr7	98975535	98980404	1	4870	51940.5444	75	1	ARPC1B	BUD31,PDAP1	ARPC1B	ARPC1B	2.3824	75	1
1_MACS_peak_17304_lociStitched	chr20	4791261	4797133	1	5873	51899.672	76	1	RASSF2		RASSF2	RASSF2	1.2712	76	1
2_MACS_peak_25326_lociStitched	chr7	43685587	43692648	2	6995	51654.0394	77	1	C7orf44		STK17A	STK17A	NONE	77	1
5_MACS_peak_16169_lociStitched	chr2	112184914	112201605	5	15774	51645.2922	78	1	LOC541471		LOC541471	LOC541471	0.7865	78	1
3_MACS_peak_25175_lociStitched	chr7	26002366	26011333	3	8814	51629.2959	79	1		MIR148A	MIR148A	MIR148A	1.8151	79	1
4_MACS_peak_6623_lociStitched	chr12	109021939	109032424	4	10354	51525.387	80	1	SELPLG	TMEM119	SELPLG	SELPLG	2.6256	80	1
4_MACS_peak_25470_lociStitched	chr7	55631602	55642443	4	10620	51350.5647	81	1	VOPP1		VOPP1	VOPP1	2.3366	81	1
2_MACS_peak_15509_lociStitched	chr2	43417496	43426036	2	8279	51346.75	82	1		LOC100129726,ZFP36L2	ZFP36L2	ZFP36L2	7.0772	82	1
1_MACS_peak_12108_lociStitched	chr17	56407522	56417976	1	10455	51024.9286	83	1	MIR142	MPO,BZRAP1,SUPT4H1	MIR142	MIR142	2.6309	83	1
10_MACS_peak_3971_lociStitched	chr10	134218287	134237961	10	18635	50908.4424	84	1	PWWP2B	C10orf91	PWWP2B	C10orf91	2.0916	84	1
3_MACS_peak_5485_lociStitched	chr11	130045273	130053420	3	8082	50536.6557	85	1	ST14		ST14	ST14	1.0614	85	1
4_MACS_peak_19098_lociStitched	chr22	39482691	39496653	4	13345	50278.5582	86	1	APOBEC3G,APOBEC3H	APOBEC3F	APOBEC3H	APOBEC3H	1.3483	86	1
1_MACS_peak_13957_lociStitched	chr19	16694162	16701338	1	7177	50262.1392	87	1	MED26	CHERP,SLC35E1	SLC35E1	SLC35E1	0.2961	87	1
2_MACS_peak_3753_lociStitched	chr10	112599284	112607351	2	8050	50115.4308	88	1		PDCD4,LOC282997	LOC282997	LOC282997	3.9268	88	1
2_MACS_peak_25362_lociStitched	chr7	44787260	44792810	2	5524	50013.27	89	1	ZMIZ2	ZMIZ2,PPIA	ZMIZ2	PPIA	3.5883	89	1
6_MACS_peak_28478_lociStitched	chr9	134136712	134154776	6	17440	49450.2	90	1	FAM78A	PPAPDC3	FAM78A	FAM78A	2.5622	90	1
9_MACS_peak_20971_lociStitched	chr3	193847777	193860506	9	12153	49406.3406	91	1	HES1		HES1	HES1	3.7365	91	1
1_MACS_peak_17797_lociStitched	chr20	46038961	46048326	1	9366	49403.1845	92	1			ZMYND8	ZMYND8	0.3409	92	1
2_MACS_peak_24472_lociStitched	chr6	106609261	106618188	2	8923	49168.1306	93	1			PRDM1	PRDM1	0.9345	93	1
3_MACS_peak_22045_lociStitched	chr5	1311500	1319159	3	7501	49127.1237	94	1	CLPTM1L	TERT	TERT	TERT	0.1388	94	1
1_MACS_peak_2293_lociStitched	chr1	203255033	203261586	1	6554	48993.5045	95	1		BTG2,LOC730227	LOC730227	LOC730227	2.4647	95	1
3_MACS_peak_4046_lociStitched	chr11	266942	272586	3	5507	48988.7912	96	1		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5,IFITM3	NLRP6	IFITM1	1.8694	96	1
3_MACS_peak_8227_lociStitched	chr14	81421143	81429377	3	8084	48719.7546	97	1	TSHR	C14orf145	TSHR	TSHR	0.4173	97	1
4_MACS_peak_7582_lociStitched	chr13	115023093	115033823	4	10448	48662.696	98	1	CDC16	UPF3A,ZNF828	UPF3A	UPF3A	1.0384	98	1
2_MACS_peak_11463_lociStitched	chr17	27064139	27073091	2	8863	48586.98	99	1	NEK8,TRAF4	RPL23A,SNORD42B,SNORD4A,SNORD42A,SNORD4B,PROCA1,RAB34,TLCD1	TRAF4	SNORD4B	4.9054	99	1
4_MACS_peak_8180_lociStitched	chr14	75950761	75963858	4	12751	48423.5381	100	1		BATF	BATF	BATF	0.4262	100	1
2_MACS_peak_4720_lociStitched	chr11	65353256	65359053	2	5722	47962.0592	101	1	EHBP1L1	SSSCA1,FAM89B,PCNXL3,SIPA1,LTBP3,KCNK7,MAP3K11	KCNK7	KCNK7	3.1474	101	1
7_MACS_peak_17916_lociStitched	chr20	52195495	52211914	7	15740	47941.8381	102	1	ZNF217		ZNF217	ZNF217	1.0385	102	1
2_MACS_peak_6963_lociStitched	chr12	125398432	125406937	2	8497	47605.0365	103	1	UBC	SCARB1	UBC	UBC	2.8366	103	1
2_MACS_peak_3928_lociStitched	chr10	133870426	133884586	2	14135	47502.552	104	1		JAKMIP3	JAKMIP3	JAKMIP3	0.1979	104	1
3_MACS_peak_14473_lociStitched	chr19	39891466	39904305	3	12564	47284.7531	105	1	ZFP36,PLEKHG2	MED29,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	3.426	105	1
1_MACS_peak_26331_lociStitched	chr7	150100482	150106294	1	5813	46972.0028	106	1	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	REPIN1	4.661	106	1
3_MACS_peak_25426_lociStitched	chr7	50342790	50352338	3	9511	46873.9964	107	1	IKZF1		IKZF1	IKZF1	0.4972	107	1
5_MACS_peak_20628_lociStitched	chr3	141094113	141106913	5	12592	46689.28	108	1	ZBTB38		ZBTB38	ZBTB38	0.7179	108	1
1_MACS_peak_2417_lociStitched	chr1	207093631	207098427	1	4797	46254.0628	109	1	FAIM3	IL24,PIGR,FCAMR	FAIM3	FAIM3	1.7855	109	1
2_MACS_peak_26328_lociStitched	chr7	150069421	150079560	2	9911	46086.8245	110	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,ACTR3C,RARRES2	ZNF775	LOC728743	3.1185	110	1
4_MACS_peak_23658_lociStitched	chr6	27774374	27785954	4	11242	45998.076	111	1	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2BL,HIST1H2AJ	HIST1H4J,HIST1H2BN,HIST1H2AL,HIST1H4K,HIST1H2AK,HIST1H1B	HIST1H3H	HIST1H3H	3.6444	111	1
3_MACS_peak_24349_lociStitched	chr6	90059214	90070100	3	10671	45982.464	112	1	UBE2J1	GABRR2	UBE2J1	UBE2J1	1.1841	112	1
2_MACS_peak_5226_lociStitched	chr11	111283584	111291605	2	7900	45914.6103	113	1		POU2AF1	POU2AF1	POU2AF1	2.2723	113	1
2_MACS_peak_5443_lociStitched	chr11	126333423	126340247	2	6820	45711.2464	114	1	KIRREL3		ST3GAL4	ST3GAL4	NONE	114	1
2_MACS_peak_5452_lociStitched	chr11	128336973	128346375	2	9395	45434.2248	115	1	ETS1		ETS1	ETS1	0.6576	115	1
4_MACS_peak_17717_lociStitched	chr20	42375308	42383554	4	7841	45359.5968	116	1		GTSF1L	GTSF1L	GTSF1L	0.4118	116	1
1_MACS_peak_3719_lociStitched	chr10	112112845	112119771	1	6927	45264.1804	117	1		SMNDC1	SMNDC1	SMNDC1	0.301	117	1
5_MACS_peak_18768_lociStitched	chr22	27003003	27015203	5	12072	45258.34	118	1	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	CRYBB1	2.0657	118	1
3_MACS_peak_6549_lociStitched	chr12	104317834	104325748	3	7842	45234.0498	119	1	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	GNN	1.044	119	1
2_MACS_peak_16992_lociStitched	chr2	232570379	232575674	2	5125	45216.123	120	1	PTMA	MIR1244-1	PTMA	PTMA	3.24	120	1
2_MACS_peak_25382_lociStitched	chr7	45063420	45069297	2	5693	45157.1049	121	1	CCM2	MYO1G,SNORA9,C7orf40	CCM2	SNORA9	3.6537	121	1
1_MACS_peak_27974_lociStitched	chr9	95819775	95828140	1	8366	45085.677	122	1	SUSD3	C9orf89	SUSD3	SUSD3	1.4086	122	1
3_MACS_peak_7494_lociStitched	chr13	103243688	103250941	3	6998	44930.1591	123	1	TPP2		TPP2	TPP2	0.5604	123	1
3_MACS_peak_2345_lociStitched	chr1	205252747	205259418	3	6546	44550.2722	124	1		NUAK2	NUAK2	NUAK2	1.348	124	1
2_MACS_peak_6874_lociStitched	chr12	122237194	122243567	2	6314	44192.9312	125	1	SETD1B,LOC338799	RHOF	LOC338799	LOC338799	3.8171	125	1
1_MACS_peak_25179_lociStitched	chr7	26190703	26198927	1	8225	44122.5824	126	1	NFE2L3	CBX3,HNRNPA2B1	NFE2L3	HNRNPA2B1	1.4797	126	1
5_MACS_peak_28502_lociStitched	chr9	134599424	134611810	5	11659	44105.3074	127	1	RAPGEF1	RAPGEF1	RAPGEF1	RAPGEF1	0.842	127	1
2_MACS_peak_2379_lociStitched	chr1	206287267	206295240	2	7959	43444.0797	128	1	C1orf186	CTSE	C1orf186	C1orf186	0.7456	128	1
1_MACS_peak_24470_lociStitched	chr6	106588507	106595922	1	7416	43236.865	129	1		PRDM1	PRDM1	PRDM1	0.9345	129	1
1_MACS_peak_27260_lociStitched	chr8	134579701	134585520	1	5820	43201.4198	130	1	ST3GAL1		ST3GAL1	ST3GAL1	0.8606	130	1
1_MACS_peak_27416_lociStitched	chr8	146125348	146129398	1	4051	43042.995	131	1	ZNF250	COMMD5,ZNF16	ZNF250	ZNF250	2.4301	131	1
4_MACS_peak_1869_lociStitched	chr1	156465145	156476209	4	10652	42763.4664	132	1	MEF2D		MEF2D	MEF2D	1.2669	132	1
6_MACS_peak_8311_lociStitched	chr14	91831221	91843304	6	10827	42724.2797	133	1	CCDC88C		CCDC88C	CCDC88C	0.7953	133	1
2_MACS_peak_6805_lociStitched	chr12	120553540	120562336	2	8741	42181.218	134	1	RAB35		RAB35	RAB35	1.2316	134	1
2_MACS_peak_27257_lociStitched	chr8	134509127	134514652	2	5380	42165.695	135	1	ST3GAL1		ST3GAL1	ST3GAL1	0.8606	135	1
1_MACS_peak_25804_lociStitched	chr7	100025345	100029259	1	3915	42067.672	136	1	MEPCE,ZCWPW1	C7orf47,C7orf61,TSC22D4	MEPCE	MEPCE	4.0442	136	1
3_MACS_peak_23537_lociStitched	chr6	25403393	25415139	3	11662	41914.4264	137	1	LRRC16A		LRRC16A	LRRC16A	0.2748	137	1
2_MACS_peak_24167_lociStitched	chr6	52355015	52366005	2	10975	41733.426	138	1	EFHC1,TRAM2		EFHC1	EFHC1	0.6461	138	1
2_MACS_peak_26139_lociStitched	chr7	130790059	130796426	2	6328	41616.6221	139	1	MKLN1,FLJ43663		FLJ43663	FLJ43663	0.5994	139	1
6_MACS_peak_26985_lociStitched	chr8	95952988	95963899	6	10530	41395.2429	140	1	TP53INP1	CCNE2	TP53INP1	TP53INP1	1.4053	140	1
1_MACS_peak_26261_lociStitched	chr7	142493821	142497639	1	3819	41344.3584	141	1		PRSS1,TRY6,PRSS2	PRSS2	PRSS1	0.2538	141	1
1_MACS_peak_5991_lociStitched	chr12	48200401	48209676	1	9276	41082.685	142	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.3542	142	1
1_MACS_peak_12014_lociStitched	chr17	47463339	47468783	1	5445	40903.494	143	1		ZNF652,PHB	PHB	ZNF652	0.5249	143	1
4_MACS_peak_23390_lociStitched	chr6	7958018	7968968	4	10699	40624.5	144	1	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	TXNDC5	2.7812	144	1
5_MACS_peak_483_lociStitched	chr1	23937054	23948893	5	10855	40579.3564	145	1		MDS2	MDS2	MDS2	0.4237	145	1
1_MACS_peak_11889_lociStitched	chr17	43298321	43307351	1	9031	40354.167	146	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.4756	146	1
4_MACS_peak_2582_lociStitched	chr1	226308046	226316984	4	8552	40331.8312	147	1			ACBD3	ACBD3	NONE	147	1
2_MACS_peak_5219_lociStitched	chr11	111236864	111246087	2	9129	40238.1044	148	1	POU2AF1		POU2AF1	POU2AF1	2.2723	148	1
1_MACS_peak_13810_lociStitched	chr19	12898759	12906212	1	7454	40005.4681	149	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	JUNB	3.5924	149	1
2_MACS_peak_1623_lociStitched	chr1	149818560	149826275	2	7657	39901.98	150	1	HIST2H2AA4,HIST2H3A,HIST2H2BC	HIST2H4B,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2BC	4.0174	150	1
10_MACS_peak_19493_lociStitched	chr3	5227714	5241402	10	12194	39288.6664	151	1	EDEM1		EDEM1	EDEM1	1.0418	151	1
3_MACS_peak_4059_lociStitched	chr11	326083	334571	3	8392	39257.8488	152	1		NLRP6,ATHL1,IFITM2,IFITM1,B4GALNT4,IFITM5,IFITM3	IFITM3	IFITM1	1.8694	152	1
2_MACS_peak_25908_lociStitched	chr7	104581880	104587178	2	5280	39245.4648	153	1		LOC723809	LOC723809	LOC723809	0.2048	153	1
9_MACS_peak_276_lociStitched	chr1	13813235	13829457	9	14915	38835.468	154	1	LRRC38		LRRC38	LRRC38	1.1577	154	1
4_MACS_peak_5212_lociStitched	chr11	111044453	111051858	4	7200	38813.3075	155	1			C11orf53	C11orf53	NONE	155	1
3_MACS_peak_19073_lociStitched	chr22	39376661	39384281	3	7421	38746.938	156	1	APOBEC3A,APOBEC3B	APOBEC3C,APOBEC3D	APOBEC3B	APOBEC3B	2.5024	156	1
2_MACS_peak_5973_lociStitched	chr12	46660143	46665283	2	5095	38677.986	157	1	SLC38A1		SLC38A1	SLC38A1	0.5657	157	1
1_MACS_peak_25687_lociStitched	chr7	86845043	86850782	1	5740	38677.4166	158	1	C7orf23		C7orf23	C7orf23	1.3055	158	1
2_MACS_peak_11648_lociStitched	chr17	36856441	36863447	2	6936	38520.3892	159	1	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	1.2853	159	1
1_MACS_peak_27051_lociStitched	chr8	101962196	101966306	1	4111	38497.137	160	1	YWHAZ		YWHAZ	YWHAZ	1.0153	160	1
5_MACS_peak_23990_lociStitched	chr6	37121043	37130750	5	9410	38400.892	161	1		PIM1	PIM1	PIM1	2.2491	161	1
2_MACS_peak_18443_lociStitched	chr21	45659984	45666010	2	6009	38292.217	162	1	ICOSLG	AIRE,DNMT3L	ICOSLG	ICOSLG	1.6435	162	1
4_MACS_peak_24884_lociStitched	chr6	157976885	157986352	4	9168	38119.8222	163	1	ZDHHC14	MIR3692	MIR3692	MIR3692	0.2031	163	1
2_MACS_peak_420_lociStitched	chr1	21615688	21624015	2	8220	37951.1352	164	1	ECE1	ECE1	ECE1	ECE1	0.4814	164	1
3_MACS_peak_11595_lociStitched	chr17	34415156	34423618	3	7779	37893.6822	165	1	CCL3	CCL18,CCL4	CCL3	CCL3	3.3861	165	1
3_MACS_peak_4909_lociStitched	chr11	69452532	69463056	3	10488	37562.2608	166	1	CCND1	ORAOV1	CCND1	CCND1	1.8063	166	1
3_MACS_peak_5272_lociStitched	chr11	115088496	115096911	3	8065	37550.2545	167	1	CADM1		CADM1	CADM1	0.367	167	1
3_MACS_peak_1383_lociStitched	chr1	111172821	111181788	3	8900	37503.5808	168	1		KCNA2,KCNA3	KCNA2	KCNA3	0.7777	168	1
1_MACS_peak_6238_lociStitched	chr12	57913084	57917511	1	4428	37459.5032	169	1	MBD6,DDIT3	MARS,KIF5A,ARHGAP9,DCTN2	DDIT3	DDIT3	2.8512	169	1
3_MACS_peak_19107_lociStitched	chr22	39539743	39549548	3	9229	37411.958	170	1	CBX7	APOBEC3H	CBX7	CBX7	1.3885	170	1
