REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS.12.BM.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
3_MACS_peak_16731_lociStitched	chr2	201979555	201992854	3	13099	63815.2515	48	1	CFLAR	NDUFB3,FAM126B	CFLAR	48	1
6_MACS_peak_12027_lociStitched	chr17	47814684	47828647	6	12956	59148.6643	49	1	FAM117A	MYST2,SLC35B1	FAM117A	49	1
8_MACS_peak_3860_lociStitched	chr10	125821711	125835058	8	12754	26815.4577	50	1	CHST15		CHST15	50	1
4_MACS_peak_8180_lociStitched	chr14	75950761	75963858	4	12751	48423.5381	51	1		BATF	BATF	51	1
2_MACS_peak_7567_lociStitched	chr13	114905293	114918090	2	12686	78484.001	52	1		RASA3	RASA3	52	1
5_MACS_peak_20628_lociStitched	chr3	141094113	141106913	5	12592	46689.28	53	1	ZBTB38		ZBTB38	53	1
8_MACS_peak_1472_lociStitched	chr1	118147619	118160816	8	12581	34700.1918	54	1	FAM46C		FAM46C	54	1
3_MACS_peak_14473_lociStitched	chr19	39891466	39904305	3	12564	47284.7531	55	1	ZFP36,PLEKHG2	MED29,SUPT5H,PAF1,RPS16	ZFP36	55	1
3_MACS_peak_19579_lociStitched	chr3	13046755	13059609	3	12408	59403.4756	56	1	IQSEC1	IQSEC1	IQSEC1	56	1
4_MACS_peak_14242_lociStitched	chr19	29089331	29102154	4	12240	36812.2684	57	1			LOC148145	57	1
10_MACS_peak_19493_lociStitched	chr3	5227714	5241402	10	12194	39288.6664	58	1	EDEM1		EDEM1	58	1
9_MACS_peak_20971_lociStitched	chr3	193847777	193860506	9	12153	49406.3406	59	1	HES1		HES1	59	1
5_MACS_peak_18768_lociStitched	chr22	27003003	27015203	5	12072	45258.34	60	1	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	60	1
3_MACS_peak_4704_lociStitched	chr11	65257458	65269437	3	11917	56179.1142	61	1	MALAT1	MIR612,SCYL1	MALAT1	61	1
5_MACS_peak_26332_lociStitched	chr7	150123534	150135652	5	11814	75979.86	62	1	LOC285972	ZNF775,LOC728743,GIMAP8	LOC285972	62	1
3_MACS_peak_23537_lociStitched	chr6	25403393	25415139	3	11662	41914.4264	63	1	LRRC16A		LRRC16A	63	1
5_MACS_peak_28502_lociStitched	chr9	134599424	134611810	5	11659	44105.3074	64	1	RAPGEF1	RAPGEF1	RAPGEF1	64	1
4_MACS_peak_26262_lociStitched	chr7	142498309	142510141	4	11548	58495.0416	65	1		PRSS1,TRY6,PRSS2,EPHB6	PRSS2	65	1
6_MACS_peak_11893_lociStitched	chr17	43382967	43395376	6	11540	34856.881	66	1	MAP3K14	LOC100133991,C17orf46	MAP3K14	66	1
2_MACS_peak_27209_lociStitched	chr8	126517680	126529205	2	11494	24978.1325	67	1			TRIB1	67	1
3_MACS_peak_20968_lociStitched	chr3	193812555	193823915	3	11346	79648.368	68	1		HES1	HES1	68	1
4_MACS_peak_10467_lociStitched	chr16	56944280	56955757	4	11332	36997.2572	69	1	SLC12A3	HERPUD1,CETP	HERPUD1	69	1
6_MACS_peak_10373_lociStitched	chr16	34785550	34797835	6	11300	23334.129	70	1		LOC100130700	LOC100130700	70	1
5_MACS_peak_10789_lociStitched	chr16	81847141	81858580	5	11281	29125.9818	71	1	PLCG2		PLCG2	71	1
4_MACS_peak_23658_lociStitched	chr6	27774374	27785954	4	11242	45998.076	72	1	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2BL,HIST1H2AJ	HIST1H4J,HIST1H2BN,HIST1H2AL,HIST1H4K,HIST1H2AK,HIST1H1B	HIST1H3H	72	1
6_MACS_peak_21602_lociStitched	chr4	90214245	90225660	6	11040	22997.8005	73	1	GPRIN3		GPRIN3	73	1
2_MACS_peak_24167_lociStitched	chr6	52355015	52366005	2	10975	41733.426	74	1	EFHC1,TRAM2		EFHC1	74	1
2_MACS_peak_26193_lociStitched	chr7	137664429	137675496	2	10964	60300.7629	75	1	CREB3L2		CREB3L2	75	1
5_MACS_peak_3208_lociStitched	chr10	54008763	54020079	5	10883	21721.062	76	1	PRKG1		DKK1	76	1
5_MACS_peak_483_lociStitched	chr1	23937054	23948893	5	10855	40579.3564	77	1		MDS2	MDS2	77	1
1_MACS_peak_15500_lociStitched	chr2	43353970	43364796	1	10827	71547.9514	78	1			ZFP36L2	78	1
6_MACS_peak_8311_lociStitched	chr14	91831221	91843304	6	10827	42724.2797	79	1	CCDC88C		CCDC88C	79	1
6_MACS_peak_13681_lociStitched	chr19	10520783	10532467	6	10819	35975.036	80	1	PDE4A	PDE4A,TYK2,MIR1181,CDC37	PDE4A	80	1
4_MACS_peak_23390_lociStitched	chr6	7958018	7968968	4	10699	40624.5	81	1	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	81	1
3_MACS_peak_24349_lociStitched	chr6	90059214	90070100	3	10671	45982.464	82	1	UBE2J1	GABRR2	UBE2J1	82	1
4_MACS_peak_1869_lociStitched	chr1	156465145	156476209	4	10652	42763.4664	83	1	MEF2D		MEF2D	83	1
4_MACS_peak_25470_lociStitched	chr7	55631602	55642443	4	10620	51350.5647	84	1	VOPP1		VOPP1	84	1
3_MACS_peak_25376_lociStitched	chr7	45031173	45041865	3	10615	57360.4416	85	1	CCM2	CCM2,MYO1G,SNORA9,C7orf40	CCM2	85	1
3_MACS_peak_13943_lociStitched	chr19	16474680	16485296	3	10607	56163.948	86	1	EPS15L1	KLF2	KLF2	86	1
5_MACS_peak_10183_lociStitched	chr16	27234884	27246350	5	10556	30569.5026	87	1	NSMCE1	JMJD5,FLJ21408	JMJD5	87	1
3_MACS_peak_12745_lociStitched	chr18	9060386	9070944	3	10538	51947.4716	88	1		NDUFV2	NDUFV2	88	1
2_MACS_peak_1480_lociStitched	chr1	118171025	118181573	2	10535	33971.9436	89	1		FAM46C	FAM46C	89	1
6_MACS_peak_26985_lociStitched	chr8	95952988	95963899	6	10530	41395.2429	90	1	TP53INP1	CCNE2	TP53INP1	90	1
4_MACS_peak_14230_lociStitched	chr19	29031337	29041991	4	10516	30670.7352	91	1			LOC148145	91	1
3_MACS_peak_4909_lociStitched	chr11	69452532	69463056	3	10488	37562.2608	92	1	CCND1	ORAOV1	CCND1	92	1
1_MACS_peak_12108_lociStitched	chr17	56407522	56417976	1	10455	51024.9286	93	1	MIR142	MPO,BZRAP1,SUPT4H1	MIR142	93	1
4_MACS_peak_7582_lociStitched	chr13	115023093	115033823	4	10448	48662.696	94	1	CDC16	UPF3A,ZNF828	UPF3A	94	1
4_MACS_peak_6623_lociStitched	chr12	109021939	109032424	4	10354	51525.387	95	1	SELPLG	TMEM119	SELPLG	95	1
2_MACS_peak_27070_lociStitched	chr8	103540081	103550432	2	10342	52511.6581	96	1		ODF1	ODF1	96	1
5_MACS_peak_26195_lociStitched	chr7	137676273	137688031	5	10337	32359.1918	97	1	CREB3L2		CREB3L2	97	1
5_MACS_peak_10007_lociStitched	chr16	11827142	11838108	5	10336	27682.5704	98	1	TXNDC11		TXNDC11	98	1
8_MACS_peak_24452_lociStitched	chr6	106530622	106541510	8	10274	28098.6616	99	1	PRDM1	PRDM1	PRDM1	99	1
3_MACS_peak_1648_lociStitched	chr1	150532053	150542746	3	10231	57389.331	100	1	ADAMTSL4	MIR4257,MCL1	MIR4257	100	1
5_MACS_peak_1140_lociStitched	chr1	66740763	66751666	5	10171	23690.0384	101	1	PDE4B	PDE4B	PDE4B	101	1
3_MACS_peak_20964_lociStitched	chr3	193797800	193807961	3	10036	52135.0749	102	1		HES1	HES1	102	1
5_MACS_peak_27587_lociStitched	chr9	33158126	33168898	5	9938	28115.9972	103	1	B4GALT1		B4GALT1	103	1
2_MACS_peak_26328_lociStitched	chr7	150069421	150079560	2	9911	46086.8245	104	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,ACTR3C,RARRES2	ZNF775	104	1
4_MACS_peak_6995_lociStitched	chr12	127431264	127441401	4	9811	24315.6219	105	1			LOC440117	105	1
1_MACS_peak_13135_lociStitched	chr18	60821228	60830754	1	9527	68806.298	106	1	BCL2		BCL2	106	1
3_MACS_peak_25426_lociStitched	chr7	50342790	50352338	3	9511	46873.9964	107	1	IKZF1		IKZF1	107	1
4_MACS_peak_2248_lociStitched	chr1	200855657	200865398	4	9466	26637.7386	108	1	C1orf106	GPR25	C1orf106	108	1
5_MACS_peak_29379_lociStitched	chrX	128905928	128916210	5	9460	22764.348	109	1	SASH3	XPNPEP2	SASH3	109	1
3_MACS_peak_28150_lociStitched	chr9	112903245	112912712	3	9443	33138.2868	110	1	PALM2-AKAP2,AKAP2		AKAP2	110	1
5_MACS_peak_23990_lociStitched	chr6	37121043	37130750	5	9410	38400.892	111	1		PIM1	PIM1	111	1
2_MACS_peak_5452_lociStitched	chr11	128336973	128346375	2	9395	45434.2248	112	1	ETS1		ETS1	112	1
1_MACS_peak_16122_lociStitched	chr2	106411349	106420737	1	9389	23447.4688	113	1	NCK2	NCK2	NCK2	113	1
5_MACS_peak_8585_lociStitched	chr14	106145334	106155217	5	9389	139257.3998	114	1			TMEM121	114	1
1_MACS_peak_8085_lociStitched	chr14	72982397	72991773	1	9377	63112.6688	115	1	RGS6		DPF3	115	1
3_MACS_peak_13191_lociStitched	chr18	74806240	74815990	3	9370	29491.8	116	1	MBP		MBP	116	1
1_MACS_peak_17797_lociStitched	chr20	46038961	46048326	1	9366	49403.1845	117	1			ZMYND8	117	1
7_MACS_peak_14216_lociStitched	chr19	28991498	29001358	7	9278	15747.406	118	1			LOC148145	118	1
1_MACS_peak_5991_lociStitched	chr12	48200401	48209676	1	9276	41082.685	119	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	119	1
3_MACS_peak_19107_lociStitched	chr22	39539743	39549548	3	9229	37411.958	120	1	CBX7	APOBEC3H	CBX7	120	1
2_MACS_peak_23278_lociStitched	chr6	182980	192215	2	9222	32413.003	121	1			DUSP22	121	1
4_MACS_peak_23286_lociStitched	chr6	251424	260696	4	9219	30053.3336	122	1		DUSP22	DUSP22	122	1
5_MACS_peak_19349_lociStitched	chr22	49760847	49770290	5	9204	19225.0037	123	1			C22orf34	123	1
2_MACS_peak_2301_lociStitched	chr1	203288433	203297655	2	9196	61564.2276	124	1		BTG2,LOC730227,FMOD	BTG2	124	1
5_MACS_peak_22169_lociStitched	chr5	32534490	32544096	5	9188	24080.3208	125	1		SUB1	SUB1	125	1
2_MACS_peak_19315_lociStitched	chr22	46981461	46990651	2	9170	29629.479	126	1		GRAMD4,CELSR1	GRAMD4	126	1
2_MACS_peak_18383_lociStitched	chr21	44579851	44589058	2	9168	62072.6733	127	1		CRYAA	CRYAA	127	1
4_MACS_peak_24884_lociStitched	chr6	157976885	157986352	4	9168	38119.8222	128	1	ZDHHC14	MIR3692	MIR3692	128	1
6_MACS_peak_2382_lociStitched	chr1	206297406	206307184	6	9159	19903.119	129	1		CTSE,C1orf186	C1orf186	129	1
3_MACS_peak_18415_lociStitched	chr21	45195406	45204758	3	9157	27606.1688	130	1	CSTB	RRP1,LOC284837	CSTB	130	1
2_MACS_peak_5219_lociStitched	chr11	111236864	111246087	2	9129	40238.1044	131	1	POU2AF1		POU2AF1	131	1
1_MACS_peak_25938_lociStitched	chr7	105696826	105705953	1	9128	58703.0386	132	1		SYPL1	SYPL1	132	1
3_MACS_peak_4717_lociStitched	chr11	65335954	65345292	3	9117	35573.111	133	1	SSSCA1,FAM89B,EHBP1L1	SCYL1,PCNXL3,LTBP3,KCNK7,MAP3K11	FAM89B	133	1
1_MACS_peak_11889_lociStitched	chr17	43298321	43307351	1	9031	40354.167	134	1	FMNL1	LOC100133991,C17orf46	FMNL1	134	1
1_MACS_peak_9818_lociStitched	chr16	2556411	2565440	1	9030	61327.6767	135	1	ATP6V0C	C16orf59,NTN3,TBC1D24,AMDHD2,PDPK1,CEMP1,MIR3178	ATP6V0C	135	1
3_MACS_peak_26583_lociStitched	chr8	27217647	27226721	3	9011	23701.288	136	1	PTK2B	TRIM35	PTK2B	136	1
4_MACS_peak_15452_lociStitched	chr2	37579319	37588696	4	8974	24969.0756	137	1	QPCT	PRKD3	QPCT	137	1
5_MACS_peak_9579_lociStitched	chr15	89652536	89662536	5	8962	36530	138	1	ABHD2		ABHD2	138	1
2_MACS_peak_24472_lociStitched	chr6	106609261	106618188	2	8923	49168.1306	139	1			PRDM1	139	1
2_MACS_peak_4554_lociStitched	chr11	62305401	62314329	2	8911	14674.9536	140	1	AHNAK	EEF1G,TUT1	AHNAK	140	1
3_MACS_peak_1383_lociStitched	chr1	111172821	111181788	3	8900	37503.5808	141	1		KCNA2,KCNA3	KCNA2	141	1
1_MACS_peak_8517_lociStitched	chr14	103571363	103580241	1	8879	32682.5814	142	1	C14orf73	TNFAIP2,CDC42BPB	C14orf73	142	1
2_MACS_peak_11463_lociStitched	chr17	27064139	27073091	2	8863	48586.98	143	1	NEK8,TRAF4	RPL23A,SNORD42B,SNORD4A,SNORD42A,SNORD4B,PROCA1,RAB34,TLCD1	TRAF4	143	1
1_MACS_peak_6597_lociStitched	chr12	105717678	105726537	1	8860	65847.1752	144	1	C12orf75		C12orf75	144	1
3_MACS_peak_12713_lociStitched	chr18	2634832	2643779	3	8855	27277.6136	145	1		SMCHD1,LOC645158	LOC645158	145	1
3_MACS_peak_25175_lociStitched	chr7	26002366	26011333	3	8814	51629.2959	146	1		MIR148A	MIR148A	146	1
5_MACS_peak_14644_lociStitched	chr19	45249815	45258879	5	8812	25923.04	147	1	BCL3	CEACAM16,CBLC	BCL3	147	1
3_MACS_peak_8608_lociStitched	chr14	106347374	106356325	3	8748	26849.4196	148	1		KIAA0125	KIAA0125	148	1
2_MACS_peak_6805_lociStitched	chr12	120553540	120562336	2	8741	42181.218	149	1	RAB35		RAB35	149	1
4_MACS_peak_18130_lociStitched	chr20	62470952	62480076	4	8728	22851.9704	150	1		C20orf135,TPD52L2,DNAJC5,ZBTB46	C20orf135	150	1
4_MACS_peak_21825_lociStitched	chr4	144276266	144285166	4	8713	21680.4	151	1	GAB1		GAB1	151	1
5_MACS_peak_21921_lociStitched	chr4	185201008	185210596	5	8709	28038.1884	152	1			ENPP6	152	1
2_MACS_peak_27354_lociStitched	chr8	145009634	145018338	2	8696	17659.5456	153	1	PLEC	GRINA,MIR661,PARP10	PLEC	153	1
1_MACS_peak_10205_lociStitched	chr16	27457343	27466004	1	8662	33185.4876	154	1	IL21R,LOC283888		LOC283888	154	1
1_MACS_peak_17759_lociStitched	chr20	43593757	43602411	1	8655	34971.6794	155	1	STK4	TOMM34	STK4	155	1
2_MACS_peak_24506_lociStitched	chr6	109191740	109200685	2	8623	26207.9555	156	1	ARMC2		ARMC2	156	1
4_MACS_peak_17373_lociStitched	chr20	17824461	17833402	4	8609	31492.8843	157	1			SNORD17	157	1
3_MACS_peak_14187_lociStitched	chr19	28890940	28899813	3	8578	26323.5291	158	1			LOC148145	158	1
3_MACS_peak_11084_lociStitched	chr17	4272920	4281511	3	8564	23023.0209	159	1		UBE2G1	UBE2G1	159	1
5_MACS_peak_9047_lociStitched	chr15	56656674	56665912	5	8560	22164.7334	160	1	TEX9		TEX9	160	1
4_MACS_peak_2582_lociStitched	chr1	226308046	226316984	4	8552	40331.8312	161	1			ACBD3	161	1
4_MACS_peak_18762_lociStitched	chr22	26984624	26993694	4	8549	30318.289	162	1	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	162	1
6_MACS_peak_6516_lociStitched	chr12	102323304	102332224	6	8544	20191.312	163	1			DRAM1	163	1
3_MACS_peak_19102_lociStitched	chr22	39506183	39515167	3	8514	28260.9688	164	1		APOBEC3G,APOBEC3H,CBX7	APOBEC3H	164	1
3_MACS_peak_13187_lociStitched	chr18	74772424	74781266	3	8505	26951.3002	165	1	MBP	MBP	MBP	165	1
2_MACS_peak_6963_lociStitched	chr12	125398432	125406937	2	8497	47605.0365	166	1	UBC	SCARB1	UBC	166	1
5_MACS_peak_19186_lociStitched	chr22	42142237	42150906	5	8491	27459.9244	167	1	MEI1	CCDC134	CCDC134	167	1
3_MACS_peak_27198_lociStitched	chr8	126159693	126168387	3	8481	29720.439	168	1	NSMCE2		NSMCE2	168	1
3_MACS_peak_4059_lociStitched	chr11	326083	334571	3	8392	39257.8488	169	1		NLRP6,ATHL1,IFITM2,IFITM1,B4GALNT4,IFITM5,IFITM3	IFITM3	169	1
1_MACS_peak_27974_lociStitched	chr9	95819775	95828140	1	8366	45085.677	170	1	SUSD3	C9orf89	SUSD3	170	1
6_MACS_peak_13716_lociStitched	chr19	11198668	11207580	6	8359	22110.672	171	1	LDLR		LDLR	171	1
6_MACS_peak_6763_lociStitched	chr12	117237489	117246397	6	8349	26922.6484	172	1	RNFT2		RNFT2	172	1
5_MACS_peak_24145_lociStitched	chr6	45386156	45394727	5	8334	34056.8685	173	1	RUNX2	SUPT3H	RUNX2	173	1
2_MACS_peak_6455_lociStitched	chr12	94596097	94604417	2	8296	35151.168	174	1	PLXNC1		PLXNC1	174	1
2_MACS_peak_15509_lociStitched	chr2	43417496	43426036	2	8279	51346.75	175	1		LOC100129726,ZFP36L2	ZFP36L2	175	1
2_MACS_peak_26749_lociStitched	chr8	48509429	48517740	2	8269	27205.2274	176	1	KIAA0146		CEBPD	176	1
3_MACS_peak_10180_lociStitched	chr16	27208929	27217370	3	8258	36314.0261	177	1	JMJD5		JMJD5	177	1
4_MACS_peak_24770_lociStitched	chr6	144668328	144676697	4	8232	20314.9106	178	1	UTRN		UTRN	178	1
5_MACS_peak_1405_lociStitched	chr1	112138743	112147725	5	8226	24590.0214	179	1	LOC100129269	RAP1A,ADORA3	LOC100129269	179	1
1_MACS_peak_25179_lociStitched	chr7	26190703	26198927	1	8225	44122.5824	180	1	NFE2L3	CBX3,HNRNPA2B1	NFE2L3	180	1
2_MACS_peak_5507_lociStitched	chr11	131791624	131799854	2	8221	31431.193	181	1	NTM		NTM	181	1
2_MACS_peak_6716_lociStitched	chr12	113506956	113515628	2	8221	33075.8752	182	1	DTX1		DTX1	182	1
2_MACS_peak_420_lociStitched	chr1	21615688	21624015	2	8220	37951.1352	183	1	ECE1	ECE1	ECE1	183	1
5_MACS_peak_19340_lociStitched	chr22	49747205	49755947	5	8160	20750.8854	184	1			C22orf34	184	1
3_MACS_peak_8227_lociStitched	chr14	81421143	81429377	3	8084	48719.7546	185	1	TSHR	C14orf145	TSHR	185	1
3_MACS_peak_5485_lociStitched	chr11	130045273	130053420	3	8082	50536.6557	186	1	ST14		ST14	186	1
5_MACS_peak_9338_lociStitched	chr15	75067921	75076458	5	8073	22789.5215	187	1	CSK	CYP1A2,LMAN1L,CPLX3	CSK	187	1
3_MACS_peak_5272_lociStitched	chr11	115088496	115096911	3	8065	37550.2545	188	1	CADM1		CADM1	188	1
6_MACS_peak_5258_lociStitched	chr11	115058036	115066899	6	8064	17903.26	189	1	CADM1		CADM1	189	1
2_MACS_peak_3753_lociStitched	chr10	112599284	112607351	2	8050	50115.4308	190	1		PDCD4,LOC282997	LOC282997	190	1
2_MACS_peak_25141_lociStitched	chr7	23507224	23515355	2	8005	35561.7416	191	1	IGF2BP3	RPS2P32	IGF2BP3	191	1
7_MACS_peak_13050_lociStitched	chr18	52983721	52992225	7	7970	20375.584	192	1	TCF4		TCF4	192	1
3_MACS_peak_3930_lociStitched	chr10	133885457	133893933	3	7965	30953.5044	193	1		JAKMIP3	JAKMIP3	193	1
2_MACS_peak_2379_lociStitched	chr1	206287267	206295240	2	7959	43444.0797	194	1	C1orf186	CTSE	C1orf186	194	1
1_MACS_peak_25423_lociStitched	chr7	50301667	50309610	1	7944	29985.6193	195	1		IKZF1	IKZF1	195	1
4_MACS_peak_25274_lociStitched	chr7	35764034	35772563	4	7941	32312.1165	196	1		HERPUD2	HERPUD2	196	1
3_MACS_peak_13584_lociStitched	chr19	7407904	7416008	3	7931	32928.9832	197	1		ARHGEF18	ARHGEF18	197	1
3_MACS_peak_23366_lociStitched	chr6	7140670	7148910	3	7930	26248.52	198	1	RREB1		RREB1	198	1
2_MACS_peak_10628_lociStitched	chr16	68500419	68508353	2	7925	28658.4014	199	1		SMPD3	SMPD3	199	1
2_MACS_peak_5226_lociStitched	chr11	111283584	111291605	2	7900	45914.6103	200	1		POU2AF1	POU2AF1	200	1
4_MACS_peak_19060_lociStitched	chr22	39264446	39272580	4	7897	35873.3802	201	1	CBX6	NPTXR	CBX6	201	1
3_MACS_peak_1785_lociStitched	chr1	154908092	154916520	3	7880	31110.2764	202	1	PMVK	CKS1B,MIR4258,FLAD1,LENEP,PBXIP1,PYGO2,SHC1	PMVK	202	1
3_MACS_peak_6549_lociStitched	chr12	104317834	104325748	3	7842	45234.0498	203	1	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	203	1
4_MACS_peak_17717_lociStitched	chr20	42375308	42383554	4	7841	45359.5968	204	1		GTSF1L	GTSF1L	204	1
2_MACS_peak_13347_lociStitched	chr19	2082977	2090824	2	7835	25567.0954	205	1	MOBKL2A	IZUMO4,MKNK2	MOBKL2A	205	1
