REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS.12.BM.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
3_MACS_peak_25460_lociStitched	chr7	55593828	55607663	3	13167	114599.4555	35	1	VOPP1		VOPP1	VOPP1	2.3366	35	1
3_MACS_peak_5848_lociStitched	chr12	26265719	26280534	3	14576	63394.8665	36	1	BHLHE41		BHLHE41	BHLHE41	3.6637	36	1
9_MACS_peak_276_lociStitched	chr1	13813235	13829457	9	14915	38835.468	37	1	LRRC38		LRRC38	LRRC38	1.1577	37	1
4_MACS_peak_15504_lociStitched	chr2	43394793	43409023	4	14102	82277.86	38	1		LOC100129726,ZFP36L2	ZFP36L2	ZFP36L2	7.0772	38	1
7_MACS_peak_28986_lociStitched	chrX	48790098	48805507	7	14428	53926.8773	39	1	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	1.9861	39	1
2_MACS_peak_26383_lociStitched	chr7	154873362	154887420	2	13756	77513.0004	40	1	HTR5A		HTR5A	HTR5A	2.4726	40	1
3_MACS_peak_5765_lociStitched	chr12	12866017	12880217	3	13875	72065	41	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	4.828	41	1
2_MACS_peak_3928_lociStitched	chr10	133870426	133884586	2	14135	47502.552	42	1		JAKMIP3	JAKMIP3	JAKMIP3	0.1979	42	1
3_MACS_peak_23282_lociStitched	chr6	217156	231057	3	13718	68216.3773	43	1			DUSP22	DUSP22	5.4081	43	1
4_MACS_peak_19121_lociStitched	chr22	39831381	39845802	4	13904	53999.4345	44	1	TAB1	TAB1,MGAT3	MGAT3	TAB1	0.7335	44	1
4_MACS_peak_17540_lociStitched	chr20	32461403	32474882	4	13253	59690.4036	45	1			CHMP4B	CHMP4B	NONE	45	1
7_MACS_peak_23596_lociStitched	chr6	26354247	26368144	7	13302	54690.2538	46	1	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	1.7774	46	1
3_MACS_peak_16731_lociStitched	chr2	201979555	201992854	3	13099	63815.2515	47	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	1.2898	47	1
4_MACS_peak_19098_lociStitched	chr22	39482691	39496653	4	13345	50278.5582	48	1	APOBEC3G,APOBEC3H	APOBEC3F	APOBEC3H	APOBEC3H	1.3483	48	1
2_MACS_peak_7567_lociStitched	chr13	114905293	114918090	2	12686	78484.001	49	1		RASA3	RASA3	RASA3	0.5985	49	1
6_MACS_peak_12027_lociStitched	chr17	47814684	47828647	6	12956	59148.6643	50	1	FAM117A	MYST2,SLC35B1	FAM117A	FAM117A	1.368	50	1
5_MACS_peak_8585_lociStitched	chr14	106145334	106155217	5	9389	139257.3998	51	1			TMEM121	TMEM121	1.2826	51	1
4_MACS_peak_8180_lociStitched	chr14	75950761	75963858	4	12751	48423.5381	52	1		BATF	BATF	BATF	0.4262	52	1
3_MACS_peak_19579_lociStitched	chr3	13046755	13059609	3	12408	59403.4756	53	1	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.5777	53	1
5_MACS_peak_20628_lociStitched	chr3	141094113	141106913	5	12592	46689.28	54	1	ZBTB38		ZBTB38	ZBTB38	0.7179	54	1
3_MACS_peak_14473_lociStitched	chr19	39891466	39904305	3	12564	47284.7531	55	1	ZFP36,PLEKHG2	MED29,SUPT5H,PAF1,RPS16	ZFP36	ZFP36	3.426	55	1
8_MACS_peak_3860_lociStitched	chr10	125821711	125835058	8	12754	26815.4577	56	1	CHST15		CHST15	CHST15	0.608	56	1
5_MACS_peak_26332_lociStitched	chr7	150123534	150135652	5	11814	75979.86	57	1	LOC285972	ZNF775,LOC728743,GIMAP8	LOC285972	LOC728743	3.1185	57	1
8_MACS_peak_1472_lociStitched	chr1	118147619	118160816	8	12581	34700.1918	58	1	FAM46C		FAM46C	FAM46C	1.8321	58	1
9_MACS_peak_20971_lociStitched	chr3	193847777	193860506	9	12153	49406.3406	59	1	HES1		HES1	HES1	3.7365	59	1
3_MACS_peak_20968_lociStitched	chr3	193812555	193823915	3	11346	79648.368	60	1		HES1	HES1	HES1	3.7365	60	1
3_MACS_peak_4704_lociStitched	chr11	65257458	65269437	3	11917	56179.1142	61	1	MALAT1	MIR612,SCYL1	MALAT1	MALAT1	3.4333	61	1
4_MACS_peak_14242_lociStitched	chr19	29089331	29102154	4	12240	36812.2684	62	1			LOC148145	LOC148145	NONE	62	1
10_MACS_peak_19493_lociStitched	chr3	5227714	5241402	10	12194	39288.6664	63	1	EDEM1		EDEM1	EDEM1	1.0418	63	1
5_MACS_peak_18768_lociStitched	chr22	27003003	27015203	5	12072	45258.34	64	1	CRYBB1	CRYBA4,MIAT,TPST2	CRYBB1	CRYBB1	2.0657	64	1
4_MACS_peak_26262_lociStitched	chr7	142498309	142510141	4	11548	58495.0416	65	1		PRSS1,TRY6,PRSS2,EPHB6	PRSS2	PRSS1	0.2538	65	1
5_MACS_peak_28502_lociStitched	chr9	134599424	134611810	5	11659	44105.3074	66	1	RAPGEF1	RAPGEF1	RAPGEF1	RAPGEF1	0.842	66	1
3_MACS_peak_23537_lociStitched	chr6	25403393	25415139	3	11662	41914.4264	67	1	LRRC16A		LRRC16A	LRRC16A	0.2748	67	1
1_MACS_peak_15500_lociStitched	chr2	43353970	43364796	1	10827	71547.9514	68	1			ZFP36L2	ZFP36L2	7.0772	68	1
6_MACS_peak_11893_lociStitched	chr17	43382967	43395376	6	11540	34856.881	69	1	MAP3K14	LOC100133991,C17orf46	MAP3K14	MAP3K14	0.7115	69	1
2_MACS_peak_26193_lociStitched	chr7	137664429	137675496	2	10964	60300.7629	70	1	CREB3L2		CREB3L2	CREB3L2	0.8104	70	1
4_MACS_peak_23658_lociStitched	chr6	27774374	27785954	4	11242	45998.076	71	1	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2BL,HIST1H2AJ	HIST1H4J,HIST1H2BN,HIST1H2AL,HIST1H4K,HIST1H2AK,HIST1H1B	HIST1H3H	HIST1H3H	3.6444	71	1
4_MACS_peak_10467_lociStitched	chr16	56944280	56955757	4	11332	36997.2572	73	1	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	1.2856	73	1
5_MACS_peak_10789_lociStitched	chr16	81847141	81858580	5	11281	29125.9818	74	1	PLCG2		PLCG2	PLCG2	0.5522	74	1
2_MACS_peak_24167_lociStitched	chr6	52355015	52366005	2	10975	41733.426	76	1	EFHC1,TRAM2		EFHC1	EFHC1	0.6461	76	1
3_MACS_peak_25376_lociStitched	chr7	45031173	45041865	3	10615	57360.4416	77	1	CCM2	CCM2,MYO1G,SNORA9,C7orf40	CCM2	SNORA9	3.6537	77	1
3_MACS_peak_13943_lociStitched	chr19	16474680	16485296	3	10607	56163.948	78	1	EPS15L1	KLF2	KLF2	KLF2	0.6408	78	1
6_MACS_peak_8311_lociStitched	chr14	91831221	91843304	6	10827	42724.2797	79	1	CCDC88C		CCDC88C	CCDC88C	0.7953	79	1
5_MACS_peak_483_lociStitched	chr1	23937054	23948893	5	10855	40579.3564	80	1		MDS2	MDS2	MDS2	0.4237	80	1
4_MACS_peak_25470_lociStitched	chr7	55631602	55642443	4	10620	51350.5647	81	1	VOPP1		VOPP1	VOPP1	2.3366	81	1
3_MACS_peak_24349_lociStitched	chr6	90059214	90070100	3	10671	45982.464	83	1	UBE2J1	GABRR2	UBE2J1	UBE2J1	1.1841	83	1
3_MACS_peak_12745_lociStitched	chr18	9060386	9070944	3	10538	51947.4716	84	1		NDUFV2	NDUFV2	NDUFV2	0.7423	84	1
6_MACS_peak_13681_lociStitched	chr19	10520783	10532467	6	10819	35975.036	85	1	PDE4A	PDE4A,TYK2,MIR1181,CDC37	PDE4A	MIR1181	1.2902	85	1
4_MACS_peak_23390_lociStitched	chr6	7958018	7968968	4	10699	40624.5	86	1	MUTED-TXNDC5	PIP5K1P1,TXNDC5	PIP5K1P1	TXNDC5	2.7812	86	1
4_MACS_peak_1869_lociStitched	chr1	156465145	156476209	4	10652	42763.4664	87	1	MEF2D		MEF2D	MEF2D	1.2669	87	1
1_MACS_peak_12108_lociStitched	chr17	56407522	56417976	1	10455	51024.9286	88	1	MIR142	MPO,BZRAP1,SUPT4H1	MIR142	MIR142	2.6309	88	1
4_MACS_peak_7582_lociStitched	chr13	115023093	115033823	4	10448	48662.696	90	1	CDC16	UPF3A,ZNF828	UPF3A	UPF3A	1.0384	90	1
3_MACS_peak_1648_lociStitched	chr1	150532053	150542746	3	10231	57389.331	91	1	ADAMTSL4	MIR4257,MCL1	MIR4257	MCL1	1.2165	91	1
2_MACS_peak_27070_lociStitched	chr8	103540081	103550432	2	10342	52511.6581	92	1		ODF1	ODF1	ODF1	0.257	92	1
4_MACS_peak_6623_lociStitched	chr12	109021939	109032424	4	10354	51525.387	93	1	SELPLG	TMEM119	SELPLG	SELPLG	2.6256	93	1
6_MACS_peak_26985_lociStitched	chr8	95952988	95963899	6	10530	41395.2429	94	1	TP53INP1	CCNE2	TP53INP1	TP53INP1	1.4053	94	1
3_MACS_peak_4909_lociStitched	chr11	69452532	69463056	3	10488	37562.2608	95	1	CCND1	ORAOV1	CCND1	CCND1	1.8063	95	1
2_MACS_peak_1480_lociStitched	chr1	118171025	118181573	2	10535	33971.9436	96	1		FAM46C	FAM46C	FAM46C	1.8321	96	1
5_MACS_peak_10183_lociStitched	chr16	27234884	27246350	5	10556	30569.5026	97	1	NSMCE1	JMJD5,FLJ21408	JMJD5	JMJD5	1.6374	97	1
4_MACS_peak_14230_lociStitched	chr19	29031337	29041991	4	10516	30670.7352	98	1			LOC148145	LOC148145	NONE	98	1
3_MACS_peak_20964_lociStitched	chr3	193797800	193807961	3	10036	52135.0749	99	1		HES1	HES1	HES1	3.7365	99	1
1_MACS_peak_13135_lociStitched	chr18	60821228	60830754	1	9527	68806.298	100	1	BCL2		BCL2	BCL2	0.7597	100	1
5_MACS_peak_26195_lociStitched	chr7	137676273	137688031	5	10337	32359.1918	101	1	CREB3L2		CREB3L2	CREB3L2	0.8104	101	1
5_MACS_peak_10007_lociStitched	chr16	11827142	11838108	5	10336	27682.5704	102	1	TXNDC11		TXNDC11	TXNDC11	0.7193	102	1
8_MACS_peak_24452_lociStitched	chr6	106530622	106541510	8	10274	28098.6616	103	1	PRDM1	PRDM1	PRDM1	PRDM1	1.4378	103	1
2_MACS_peak_26328_lociStitched	chr7	150069421	150079560	2	9911	46086.8245	104	1	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,ACTR3C,RARRES2	ZNF775	LOC728743	3.1185	104	1
1_MACS_peak_8085_lociStitched	chr14	72982397	72991773	1	9377	63112.6688	106	1	RGS6		DPF3	DPF3	NONE	106	1
5_MACS_peak_27587_lociStitched	chr9	33158126	33168898	5	9938	28115.9972	107	1	B4GALT1		B4GALT1	B4GALT1	1.0823	107	1
2_MACS_peak_2301_lociStitched	chr1	203288433	203297655	2	9196	61564.2276	108	1		BTG2,LOC730227,FMOD	BTG2	LOC730227	2.4647	108	1
2_MACS_peak_18383_lociStitched	chr21	44579851	44589058	2	9168	62072.6733	109	1		CRYAA	CRYAA	CRYAA	2.8974	109	1
3_MACS_peak_25426_lociStitched	chr7	50342790	50352338	3	9511	46873.9964	110	1	IKZF1		IKZF1	IKZF1	0.4972	110	1
1_MACS_peak_25938_lociStitched	chr7	105696826	105705953	1	9128	58703.0386	112	1		SYPL1	SYPL1	SYPL1	0.5047	112	1
1_MACS_peak_17797_lociStitched	chr20	46038961	46048326	1	9366	49403.1845	113	1			ZMYND8	ZMYND8	0.3409	113	1
1_MACS_peak_9818_lociStitched	chr16	2556411	2565440	1	9030	61327.6767	114	1	ATP6V0C	C16orf59,NTN3,TBC1D24,AMDHD2,PDPK1,CEMP1,MIR3178	ATP6V0C	ATP6V0C	3.048	114	1
1_MACS_peak_6597_lociStitched	chr12	105717678	105726537	1	8860	65847.1752	115	1	C12orf75		C12orf75	C12orf75	1.501	115	1
2_MACS_peak_5452_lociStitched	chr11	128336973	128346375	2	9395	45434.2248	116	1	ETS1		ETS1	ETS1	0.6576	116	1
1_MACS_peak_8592_lociStitched	chr14	106161533	106168269	1	6737	105981.5296	117	1			TMEM121	TMEM121	1.2826	117	1
5_MACS_peak_23990_lociStitched	chr6	37121043	37130750	5	9410	38400.892	118	1		PIM1	PIM1	PIM1	2.2491	118	1
3_MACS_peak_28150_lociStitched	chr9	112903245	112912712	3	9443	33138.2868	119	1	PALM2-AKAP2,AKAP2		AKAP2	AKAP2	0.5109	119	1
1_MACS_peak_5991_lociStitched	chr12	48200401	48209676	1	9276	41082.685	120	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.3542	120	1
4_MACS_peak_2248_lociStitched	chr1	200855657	200865398	4	9466	26637.7386	121	1	C1orf106	GPR25	C1orf106	GPR25	1.1289	121	1
3_MACS_peak_13191_lociStitched	chr18	74806240	74815990	3	9370	29491.8	123	1	MBP		MBP	MBP	0.6478	123	1
3_MACS_peak_19107_lociStitched	chr22	39539743	39549548	3	9229	37411.958	124	1	CBX7	APOBEC3H	CBX7	CBX7	1.3885	124	1
2_MACS_peak_5219_lociStitched	chr11	111236864	111246087	2	9129	40238.1044	126	1	POU2AF1		POU2AF1	POU2AF1	2.2723	126	1
4_MACS_peak_24884_lociStitched	chr6	157976885	157986352	4	9168	38119.8222	127	1	ZDHHC14	MIR3692	MIR3692	MIR3692	0.2031	127	1
2_MACS_peak_24472_lociStitched	chr6	106609261	106618188	2	8923	49168.1306	128	1			PRDM1	PRDM1	1.4378	128	1
2_MACS_peak_23278_lociStitched	chr6	182980	192215	2	9222	32413.003	129	1			DUSP22	DUSP22	5.4081	129	1
3_MACS_peak_25175_lociStitched	chr7	26002366	26011333	3	8814	51629.2959	130	1		MIR148A	MIR148A	MIR148A	1.8151	130	1
2_MACS_peak_11463_lociStitched	chr17	27064139	27073091	2	8863	48586.98	131	1	NEK8,TRAF4	RPL23A,SNORD42B,SNORD4A,SNORD42A,SNORD4B,PROCA1,RAB34,TLCD1	TRAF4	SNORD4B	4.9054	131	1
4_MACS_peak_23286_lociStitched	chr6	251424	260696	4	9219	30053.3336	132	1		DUSP22	DUSP22	DUSP22	5.4081	132	1
1_MACS_peak_11889_lociStitched	chr17	43298321	43307351	1	9031	40354.167	133	1	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	1.4756	133	1
3_MACS_peak_4717_lociStitched	chr11	65335954	65345292	3	9117	35573.111	134	1	SSSCA1,FAM89B,EHBP1L1	SCYL1,PCNXL3,LTBP3,KCNK7,MAP3K11	FAM89B	KCNK7	3.1474	134	1
2_MACS_peak_19315_lociStitched	chr22	46981461	46990651	2	9170	29629.479	135	1		GRAMD4,CELSR1	GRAMD4	CELSR1	0.3023	135	1
3_MACS_peak_18415_lociStitched	chr21	45195406	45204758	3	9157	27606.1688	136	1	CSTB	RRP1,LOC284837	CSTB	CSTB	1.4517	136	1
5_MACS_peak_9579_lociStitched	chr15	89652536	89662536	5	8962	36530	140	1	ABHD2		ABHD2	ABHD2	0.6766	140	1
3_MACS_peak_1383_lociStitched	chr1	111172821	111181788	3	8900	37503.5808	142	1		KCNA2,KCNA3	KCNA2	KCNA3	0.7777	142	1
2_MACS_peak_6805_lociStitched	chr12	120553540	120562336	2	8741	42181.218	143	1	RAB35		RAB35	RAB35	1.2316	143	1
1_MACS_peak_8517_lociStitched	chr14	103571363	103580241	1	8879	32682.5814	145	1	C14orf73	TNFAIP2,CDC42BPB	C14orf73	C14orf73	2.4151	145	1
2_MACS_peak_6963_lociStitched	chr12	125398432	125406937	2	8497	47605.0365	147	1	UBC	SCARB1	UBC	UBC	2.8366	147	1
3_MACS_peak_12713_lociStitched	chr18	2634832	2643779	3	8855	27277.6136	148	1		SMCHD1,LOC645158	LOC645158	LOC645158	2.2692	148	1
5_MACS_peak_14644_lociStitched	chr19	45249815	45258879	5	8812	25923.04	149	1	BCL3	CEACAM16,CBLC	BCL3	BCL3	1.3353	149	1
4_MACS_peak_2582_lociStitched	chr1	226308046	226316984	4	8552	40331.8312	151	1			ACBD3	ACBD3	NONE	151	1
1_MACS_peak_17759_lociStitched	chr20	43593757	43602411	1	8655	34971.6794	152	1	STK4	TOMM34	STK4	STK4	0.5208	152	1
2_MACS_peak_15509_lociStitched	chr2	43417496	43426036	2	8279	51346.75	153	1		LOC100129726,ZFP36L2	ZFP36L2	ZFP36L2	7.0772	153	1
1_MACS_peak_10205_lociStitched	chr16	27457343	27466004	1	8662	33185.4876	154	1	IL21R,LOC283888		LOC283888	LOC283888	2.2813	154	1
3_MACS_peak_8608_lociStitched	chr14	106347374	106356325	3	8748	26849.4196	155	1		KIAA0125	KIAA0125	KIAA0125	0.01	155	1
5_MACS_peak_21921_lociStitched	chr4	185201008	185210596	5	8709	28038.1884	156	1			ENPP6	ENPP6	NONE	156	1
1_MACS_peak_27974_lociStitched	chr9	95819775	95828140	1	8366	45085.677	157	1	SUSD3	C9orf89	SUSD3	SUSD3	1.4086	157	1
4_MACS_peak_17373_lociStitched	chr20	17824461	17833402	4	8609	31492.8843	158	1			SNORD17	SNORD17	0.7323	158	1
2_MACS_peak_24506_lociStitched	chr6	109191740	109200685	2	8623	26207.9555	161	1	ARMC2		ARMC2	ARMC2	0.8267	161	1
3_MACS_peak_4059_lociStitched	chr11	326083	334571	3	8392	39257.8488	162	1		NLRP6,ATHL1,IFITM2,IFITM1,B4GALNT4,IFITM5,IFITM3	IFITM3	IFITM1	1.8694	162	1
4_MACS_peak_18762_lociStitched	chr22	26984624	26993694	4	8549	30318.289	163	1	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	CRYBB1	2.0657	163	1
3_MACS_peak_14187_lociStitched	chr19	28890940	28899813	3	8578	26323.5291	165	1			LOC148145	LOC148145	NONE	165	1
3_MACS_peak_5485_lociStitched	chr11	130045273	130053420	3	8082	50536.6557	166	1	ST14		ST14	ST14	1.0614	166	1
1_MACS_peak_25179_lociStitched	chr7	26190703	26198927	1	8225	44122.5824	167	1	NFE2L3	CBX3,HNRNPA2B1	NFE2L3	HNRNPA2B1	1.4797	167	1
3_MACS_peak_19102_lociStitched	chr22	39506183	39515167	3	8514	28260.9688	168	1		APOBEC3G,APOBEC3H,CBX7	APOBEC3H	APOBEC3G	2.8208	168	1
2_MACS_peak_3753_lociStitched	chr10	112599284	112607351	2	8050	50115.4308	169	1		PDCD4,LOC282997	LOC282997	LOC282997	3.9268	169	1
3_MACS_peak_8227_lociStitched	chr14	81421143	81429377	3	8084	48719.7546	170	1	TSHR	C14orf145	TSHR	TSHR	0.4173	170	1
3_MACS_peak_27198_lociStitched	chr8	126159693	126168387	3	8481	29720.439	171	1	NSMCE2		NSMCE2	NSMCE2	0.4171	171	1
3_MACS_peak_13187_lociStitched	chr18	74772424	74781266	3	8505	26951.3002	173	1	MBP	MBP	MBP	MBP	0.6478	173	1
5_MACS_peak_19186_lociStitched	chr22	42142237	42150906	5	8491	27459.9244	175	1	MEI1	CCDC134	CCDC134	CCDC134	0.4529	175	1
5_MACS_peak_24145_lociStitched	chr6	45386156	45394727	5	8334	34056.8685	177	1	RUNX2	SUPT3H	RUNX2	RUNX2	0.2815	177	1
2_MACS_peak_6455_lociStitched	chr12	94596097	94604417	2	8296	35151.168	178	1	PLXNC1		PLXNC1	PLXNC1	0.575	178	1
3_MACS_peak_10180_lociStitched	chr16	27208929	27217370	3	8258	36314.0261	179	1	JMJD5		JMJD5	JMJD5	1.6374	179	1
2_MACS_peak_420_lociStitched	chr1	21615688	21624015	2	8220	37951.1352	180	1	ECE1	ECE1	ECE1	ECE1	0.4814	180	1
6_MACS_peak_6763_lociStitched	chr12	117237489	117246397	6	8349	26922.6484	181	1	RNFT2		RNFT2	RNFT2	0.5378	181	1
2_MACS_peak_6716_lociStitched	chr12	113506956	113515628	2	8221	33075.8752	182	1	DTX1		DTX1	DTX1	1.2765	182	1
2_MACS_peak_5507_lociStitched	chr11	131791624	131799854	2	8221	31431.193	184	1	NTM		NTM	NTM	0.1495	184	1
1_MACS_peak_27208_lociStitched	chr8	126441165	126448607	1	7443	60990.911	185	1	TRIB1		TRIB1	TRIB1	3.6001	185	1
2_MACS_peak_5226_lociStitched	chr11	111283584	111291605	2	7900	45914.6103	186	1		POU2AF1	POU2AF1	POU2AF1	2.2723	186	1
2_MACS_peak_2379_lociStitched	chr1	206287267	206295240	2	7959	43444.0797	187	1	C1orf186	CTSE	C1orf186	C1orf186	0.7456	187	1
2_MACS_peak_26749_lociStitched	chr8	48509429	48517740	2	8269	27205.2274	188	1	KIAA0146		CEBPD	CEBPD	NONE	188	1
3_MACS_peak_5272_lociStitched	chr11	115088496	115096911	3	8065	37550.2545	189	1	CADM1		CADM1	CADM1	0.367	189	1
4_MACS_peak_17717_lociStitched	chr20	42375308	42383554	4	7841	45359.5968	190	1		GTSF1L	GTSF1L	GTSF1L	0.4118	190	1
3_MACS_peak_6549_lociStitched	chr12	104317834	104325748	3	7842	45234.0498	191	1	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	GNN	1.044	191	1
2_MACS_peak_25873_lociStitched	chr7	102080597	102088187	2	7506	55650.639	193	1	ORAI2	PRKRIP1,LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	2.6021	193	1
2_MACS_peak_25141_lociStitched	chr7	23507224	23515355	2	8005	35561.7416	194	1	IGF2BP3	RPS2P32	IGF2BP3	RPS2P32	0.3622	194	1
4_MACS_peak_8505_lociStitched	chr14	103363626	103370932	4	7185	62822.8328	196	1	TRAF3	AMN	AMN	AMN	0.23	196	1
4_MACS_peak_19060_lociStitched	chr22	39264446	39272580	4	7897	35873.3802	198	1	CBX6	NPTXR	CBX6	CBX6	2.1196	198	1
3_MACS_peak_13584_lociStitched	chr19	7407904	7416008	3	7931	32928.9832	199	1		ARHGEF18	ARHGEF18	ARHGEF18	0.1051	199	1
3_MACS_peak_3930_lociStitched	chr10	133885457	133893933	3	7965	30953.5044	200	1		JAKMIP3	JAKMIP3	JAKMIP3	0.1979	200	1
