#KMS-12-BM Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/KMS-12-BM.H3K27ac_ROSE/KMS-12-BM_0KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by KMS.12.BM.jin.bam
#Using cutoff of 25841.2518 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS.12.BM.jin.bam	enhancerRank	isStretch
5_MACS_peak_19091_lociStitched	chr22	39456613	39474687	5	17463	70481.3704	19	1
6_MACS_peak_28478_lociStitched	chr9	134136712	134154776	6	17440	49450.2	20	1
5_MACS_peak_15986_lociStitched	chr2	87808940	87826590	5	17120	62060.93	21	1
7_MACS_peak_25463_lociStitched	chr7	55612926	55630704	7	17041	54462.903	22	1
4_MACS_peak_1483_lociStitched	chr1	118193495	118210891	4	16937	112945.2696	23	1
5_MACS_peak_27214_lociStitched	chr8	126646355	126663400	5	16534	96193.4575	24	1
6_MACS_peak_15724_lociStitched	chr2	65157852	65175204	6	16322	55521.1944	25	1
3_MACS_peak_28352_lociStitched	chr9	130665285	130681730	3	16079	99962.577	26	1
5_MACS_peak_16169_lociStitched	chr2	112184914	112201605	5	15774	51645.2922	27	1
7_MACS_peak_17916_lociStitched	chr20	52195495	52211914	7	15740	47941.8381	28	1
3_MACS_peak_27228_lociStitched	chr8	128568047	128583806	3	15625	68669.8425	29	1
4_MACS_peak_18705_lociStitched	chr22	24178999	24194940	4	15549	107670.2963	30	1
4_MACS_peak_15514_lociStitched	chr2	43443770	43459057	4	15066	102017.7945	31	1
9_MACS_peak_276_lociStitched	chr1	13813235	13829457	9	14915	38835.468	32	1
3_MACS_peak_3756_lociStitched	chr10	112618522	112633645	3	14817	60334.7208	33	1
2_MACS_peak_4693_lociStitched	chr11	65183445	65198344	2	14693	156817.9346	34	1
3_MACS_peak_5848_lociStitched	chr12	26265719	26280534	3	14576	63394.8665	35	1
7_MACS_peak_28986_lociStitched	chrX	48790098	48805507	7	14428	53926.8773	36	1
2_MACS_peak_27212_lociStitched	chr8	126610654	126625277	2	14391	135767.2435	37	1
2_MACS_peak_3928_lociStitched	chr10	133870426	133884586	2	14135	47502.552	38	1
4_MACS_peak_15504_lociStitched	chr2	43394793	43409023	4	14102	82277.86	39	1
4_MACS_peak_19121_lociStitched	chr22	39831381	39845802	4	13904	53999.4345	40	1
3_MACS_peak_5765_lociStitched	chr12	12866017	12880217	3	13875	72065	41	1
2_MACS_peak_26383_lociStitched	chr7	154873362	154887420	2	13756	77513.0004	42	1
3_MACS_peak_23282_lociStitched	chr6	217156	231057	3	13718	68216.3773	43	1
4_MACS_peak_19098_lociStitched	chr22	39482691	39496653	4	13345	50278.5582	44	1
7_MACS_peak_23596_lociStitched	chr6	26354247	26368144	7	13302	54690.2538	45	1
4_MACS_peak_17540_lociStitched	chr20	32461403	32474882	4	13253	59690.4036	46	1
3_MACS_peak_25460_lociStitched	chr7	55593828	55607663	3	13167	114599.4555	47	1
3_MACS_peak_16731_lociStitched	chr2	201979555	201992854	3	13099	63815.2515	48	1
6_MACS_peak_12027_lociStitched	chr17	47814684	47828647	6	12956	59148.6643	49	1
8_MACS_peak_3860_lociStitched	chr10	125821711	125835058	8	12754	26815.4577	50	1
4_MACS_peak_8180_lociStitched	chr14	75950761	75963858	4	12751	48423.5381	51	1
2_MACS_peak_7567_lociStitched	chr13	114905293	114918090	2	12686	78484.001	52	1
5_MACS_peak_20628_lociStitched	chr3	141094113	141106913	5	12592	46689.28	53	1
8_MACS_peak_1472_lociStitched	chr1	118147619	118160816	8	12581	34700.1918	54	1
3_MACS_peak_14473_lociStitched	chr19	39891466	39904305	3	12564	47284.7531	55	1
3_MACS_peak_19579_lociStitched	chr3	13046755	13059609	3	12408	59403.4756	56	1
4_MACS_peak_14242_lociStitched	chr19	29089331	29102154	4	12240	36812.2684	57	1
10_MACS_peak_19493_lociStitched	chr3	5227714	5241402	10	12194	39288.6664	58	1
9_MACS_peak_20971_lociStitched	chr3	193847777	193860506	9	12153	49406.3406	59	1
5_MACS_peak_18768_lociStitched	chr22	27003003	27015203	5	12072	45258.34	60	1
3_MACS_peak_4704_lociStitched	chr11	65257458	65269437	3	11917	56179.1142	61	1
5_MACS_peak_26332_lociStitched	chr7	150123534	150135652	5	11814	75979.86	62	1
3_MACS_peak_23537_lociStitched	chr6	25403393	25415139	3	11662	41914.4264	63	1
5_MACS_peak_28502_lociStitched	chr9	134599424	134611810	5	11659	44105.3074	64	1
4_MACS_peak_26262_lociStitched	chr7	142498309	142510141	4	11548	58495.0416	65	1
6_MACS_peak_11893_lociStitched	chr17	43382967	43395376	6	11540	34856.881	66	1
2_MACS_peak_27209_lociStitched	chr8	126517680	126529205	2	11494	24978.1325	67	1
3_MACS_peak_20968_lociStitched	chr3	193812555	193823915	3	11346	79648.368	68	1
4_MACS_peak_10467_lociStitched	chr16	56944280	56955757	4	11332	36997.2572	69	1
6_MACS_peak_10373_lociStitched	chr16	34785550	34797835	6	11300	23334.129	70	1
5_MACS_peak_10789_lociStitched	chr16	81847141	81858580	5	11281	29125.9818	71	1
4_MACS_peak_23658_lociStitched	chr6	27774374	27785954	4	11242	45998.076	72	1
6_MACS_peak_21602_lociStitched	chr4	90214245	90225660	6	11040	22997.8005	73	1
2_MACS_peak_24167_lociStitched	chr6	52355015	52366005	2	10975	41733.426	74	1
2_MACS_peak_26193_lociStitched	chr7	137664429	137675496	2	10964	60300.7629	75	1
5_MACS_peak_3208_lociStitched	chr10	54008763	54020079	5	10883	21721.062	76	1
5_MACS_peak_483_lociStitched	chr1	23937054	23948893	5	10855	40579.3564	77	1
1_MACS_peak_15500_lociStitched	chr2	43353970	43364796	1	10827	71547.9514	78	1
6_MACS_peak_8311_lociStitched	chr14	91831221	91843304	6	10827	42724.2797	79	1
6_MACS_peak_13681_lociStitched	chr19	10520783	10532467	6	10819	35975.036	80	1
4_MACS_peak_23390_lociStitched	chr6	7958018	7968968	4	10699	40624.5	81	1
3_MACS_peak_24349_lociStitched	chr6	90059214	90070100	3	10671	45982.464	82	1
4_MACS_peak_1869_lociStitched	chr1	156465145	156476209	4	10652	42763.4664	83	1
4_MACS_peak_25470_lociStitched	chr7	55631602	55642443	4	10620	51350.5647	84	1
3_MACS_peak_25376_lociStitched	chr7	45031173	45041865	3	10615	57360.4416	85	1
3_MACS_peak_13943_lociStitched	chr19	16474680	16485296	3	10607	56163.948	86	1
5_MACS_peak_10183_lociStitched	chr16	27234884	27246350	5	10556	30569.5026	87	1
3_MACS_peak_12745_lociStitched	chr18	9060386	9070944	3	10538	51947.4716	88	1
2_MACS_peak_1480_lociStitched	chr1	118171025	118181573	2	10535	33971.9436	89	1
6_MACS_peak_26985_lociStitched	chr8	95952988	95963899	6	10530	41395.2429	90	1
4_MACS_peak_14230_lociStitched	chr19	29031337	29041991	4	10516	30670.7352	91	1
3_MACS_peak_4909_lociStitched	chr11	69452532	69463056	3	10488	37562.2608	92	1
1_MACS_peak_12108_lociStitched	chr17	56407522	56417976	1	10455	51024.9286	93	1
4_MACS_peak_7582_lociStitched	chr13	115023093	115033823	4	10448	48662.696	94	1
4_MACS_peak_6623_lociStitched	chr12	109021939	109032424	4	10354	51525.387	95	1
2_MACS_peak_27070_lociStitched	chr8	103540081	103550432	2	10342	52511.6581	96	1
5_MACS_peak_26195_lociStitched	chr7	137676273	137688031	5	10337	32359.1918	97	1
5_MACS_peak_10007_lociStitched	chr16	11827142	11838108	5	10336	27682.5704	98	1
8_MACS_peak_24452_lociStitched	chr6	106530622	106541510	8	10274	28098.6616	99	1
3_MACS_peak_1648_lociStitched	chr1	150532053	150542746	3	10231	57389.331	100	1
5_MACS_peak_1140_lociStitched	chr1	66740763	66751666	5	10171	23690.0384	101	1
3_MACS_peak_20964_lociStitched	chr3	193797800	193807961	3	10036	52135.0749	102	1
5_MACS_peak_27587_lociStitched	chr9	33158126	33168898	5	9938	28115.9972	103	1
2_MACS_peak_26328_lociStitched	chr7	150069421	150079560	2	9911	46086.8245	104	1
4_MACS_peak_6995_lociStitched	chr12	127431264	127441401	4	9811	24315.6219	105	1
1_MACS_peak_13135_lociStitched	chr18	60821228	60830754	1	9527	68806.298	106	1
3_MACS_peak_25426_lociStitched	chr7	50342790	50352338	3	9511	46873.9964	107	1
4_MACS_peak_2248_lociStitched	chr1	200855657	200865398	4	9466	26637.7386	108	1
5_MACS_peak_29379_lociStitched	chrX	128905928	128916210	5	9460	22764.348	109	1
3_MACS_peak_28150_lociStitched	chr9	112903245	112912712	3	9443	33138.2868	110	1
5_MACS_peak_23990_lociStitched	chr6	37121043	37130750	5	9410	38400.892	111	1
2_MACS_peak_5452_lociStitched	chr11	128336973	128346375	2	9395	45434.2248	112	1
1_MACS_peak_16122_lociStitched	chr2	106411349	106420737	1	9389	23447.4688	113	1
5_MACS_peak_8585_lociStitched	chr14	106145334	106155217	5	9389	139257.3998	114	1
1_MACS_peak_8085_lociStitched	chr14	72982397	72991773	1	9377	63112.6688	115	1
3_MACS_peak_13191_lociStitched	chr18	74806240	74815990	3	9370	29491.8	116	1
1_MACS_peak_17797_lociStitched	chr20	46038961	46048326	1	9366	49403.1845	117	1
7_MACS_peak_14216_lociStitched	chr19	28991498	29001358	7	9278	15747.406	118	1
1_MACS_peak_5991_lociStitched	chr12	48200401	48209676	1	9276	41082.685	119	1
3_MACS_peak_19107_lociStitched	chr22	39539743	39549548	3	9229	37411.958	120	1
2_MACS_peak_23278_lociStitched	chr6	182980	192215	2	9222	32413.003	121	1
4_MACS_peak_23286_lociStitched	chr6	251424	260696	4	9219	30053.3336	122	1
5_MACS_peak_19349_lociStitched	chr22	49760847	49770290	5	9204	19225.0037	123	1
2_MACS_peak_2301_lociStitched	chr1	203288433	203297655	2	9196	61564.2276	124	1
5_MACS_peak_22169_lociStitched	chr5	32534490	32544096	5	9188	24080.3208	125	1
2_MACS_peak_19315_lociStitched	chr22	46981461	46990651	2	9170	29629.479	126	1
2_MACS_peak_18383_lociStitched	chr21	44579851	44589058	2	9168	62072.6733	127	1
4_MACS_peak_24884_lociStitched	chr6	157976885	157986352	4	9168	38119.8222	128	1
6_MACS_peak_2382_lociStitched	chr1	206297406	206307184	6	9159	19903.119	129	1
3_MACS_peak_18415_lociStitched	chr21	45195406	45204758	3	9157	27606.1688	130	1
2_MACS_peak_5219_lociStitched	chr11	111236864	111246087	2	9129	40238.1044	131	1
1_MACS_peak_25938_lociStitched	chr7	105696826	105705953	1	9128	58703.0386	132	1
3_MACS_peak_4717_lociStitched	chr11	65335954	65345292	3	9117	35573.111	133	1
1_MACS_peak_11889_lociStitched	chr17	43298321	43307351	1	9031	40354.167	134	1
1_MACS_peak_9818_lociStitched	chr16	2556411	2565440	1	9030	61327.6767	135	1
3_MACS_peak_26583_lociStitched	chr8	27217647	27226721	3	9011	23701.288	136	1
4_MACS_peak_15452_lociStitched	chr2	37579319	37588696	4	8974	24969.0756	137	1
5_MACS_peak_9579_lociStitched	chr15	89652536	89662536	5	8962	36530	138	1
2_MACS_peak_24472_lociStitched	chr6	106609261	106618188	2	8923	49168.1306	139	1
2_MACS_peak_4554_lociStitched	chr11	62305401	62314329	2	8911	14674.9536	140	1
3_MACS_peak_1383_lociStitched	chr1	111172821	111181788	3	8900	37503.5808	141	1
1_MACS_peak_8517_lociStitched	chr14	103571363	103580241	1	8879	32682.5814	142	1
2_MACS_peak_11463_lociStitched	chr17	27064139	27073091	2	8863	48586.98	143	1
1_MACS_peak_6597_lociStitched	chr12	105717678	105726537	1	8860	65847.1752	144	1
3_MACS_peak_12713_lociStitched	chr18	2634832	2643779	3	8855	27277.6136	145	1
3_MACS_peak_25175_lociStitched	chr7	26002366	26011333	3	8814	51629.2959	146	1
5_MACS_peak_14644_lociStitched	chr19	45249815	45258879	5	8812	25923.04	147	1
3_MACS_peak_8608_lociStitched	chr14	106347374	106356325	3	8748	26849.4196	148	1
2_MACS_peak_6805_lociStitched	chr12	120553540	120562336	2	8741	42181.218	149	1
4_MACS_peak_18130_lociStitched	chr20	62470952	62480076	4	8728	22851.9704	150	1
4_MACS_peak_21825_lociStitched	chr4	144276266	144285166	4	8713	21680.4	151	1
5_MACS_peak_21921_lociStitched	chr4	185201008	185210596	5	8709	28038.1884	152	1
2_MACS_peak_27354_lociStitched	chr8	145009634	145018338	2	8696	17659.5456	153	1
1_MACS_peak_10205_lociStitched	chr16	27457343	27466004	1	8662	33185.4876	154	1
1_MACS_peak_17759_lociStitched	chr20	43593757	43602411	1	8655	34971.6794	155	1
2_MACS_peak_24506_lociStitched	chr6	109191740	109200685	2	8623	26207.9555	156	1
4_MACS_peak_17373_lociStitched	chr20	17824461	17833402	4	8609	31492.8843	157	1
3_MACS_peak_14187_lociStitched	chr19	28890940	28899813	3	8578	26323.5291	158	1
3_MACS_peak_11084_lociStitched	chr17	4272920	4281511	3	8564	23023.0209	159	1
5_MACS_peak_9047_lociStitched	chr15	56656674	56665912	5	8560	22164.7334	160	1
4_MACS_peak_2582_lociStitched	chr1	226308046	226316984	4	8552	40331.8312	161	1
4_MACS_peak_18762_lociStitched	chr22	26984624	26993694	4	8549	30318.289	162	1
6_MACS_peak_6516_lociStitched	chr12	102323304	102332224	6	8544	20191.312	163	1
3_MACS_peak_19102_lociStitched	chr22	39506183	39515167	3	8514	28260.9688	164	1
3_MACS_peak_13187_lociStitched	chr18	74772424	74781266	3	8505	26951.3002	165	1
2_MACS_peak_6963_lociStitched	chr12	125398432	125406937	2	8497	47605.0365	166	1
5_MACS_peak_19186_lociStitched	chr22	42142237	42150906	5	8491	27459.9244	167	1
3_MACS_peak_27198_lociStitched	chr8	126159693	126168387	3	8481	29720.439	168	1
3_MACS_peak_4059_lociStitched	chr11	326083	334571	3	8392	39257.8488	169	1
1_MACS_peak_27974_lociStitched	chr9	95819775	95828140	1	8366	45085.677	170	1
6_MACS_peak_13716_lociStitched	chr19	11198668	11207580	6	8359	22110.672	171	1
6_MACS_peak_6763_lociStitched	chr12	117237489	117246397	6	8349	26922.6484	172	1
5_MACS_peak_24145_lociStitched	chr6	45386156	45394727	5	8334	34056.8685	173	1
2_MACS_peak_6455_lociStitched	chr12	94596097	94604417	2	8296	35151.168	174	1
2_MACS_peak_15509_lociStitched	chr2	43417496	43426036	2	8279	51346.75	175	1
2_MACS_peak_26749_lociStitched	chr8	48509429	48517740	2	8269	27205.2274	176	1
3_MACS_peak_10180_lociStitched	chr16	27208929	27217370	3	8258	36314.0261	177	1
4_MACS_peak_24770_lociStitched	chr6	144668328	144676697	4	8232	20314.9106	178	1
5_MACS_peak_1405_lociStitched	chr1	112138743	112147725	5	8226	24590.0214	179	1
1_MACS_peak_25179_lociStitched	chr7	26190703	26198927	1	8225	44122.5824	180	1
2_MACS_peak_5507_lociStitched	chr11	131791624	131799854	2	8221	31431.193	181	1
2_MACS_peak_6716_lociStitched	chr12	113506956	113515628	2	8221	33075.8752	182	1
2_MACS_peak_420_lociStitched	chr1	21615688	21624015	2	8220	37951.1352	183	1
5_MACS_peak_19340_lociStitched	chr22	49747205	49755947	5	8160	20750.8854	184	1
3_MACS_peak_8227_lociStitched	chr14	81421143	81429377	3	8084	48719.7546	185	1
3_MACS_peak_5485_lociStitched	chr11	130045273	130053420	3	8082	50536.6557	186	1
5_MACS_peak_9338_lociStitched	chr15	75067921	75076458	5	8073	22789.5215	187	1
3_MACS_peak_5272_lociStitched	chr11	115088496	115096911	3	8065	37550.2545	188	1
6_MACS_peak_5258_lociStitched	chr11	115058036	115066899	6	8064	17903.26	189	1
2_MACS_peak_3753_lociStitched	chr10	112599284	112607351	2	8050	50115.4308	190	1
2_MACS_peak_25141_lociStitched	chr7	23507224	23515355	2	8005	35561.7416	191	1
7_MACS_peak_13050_lociStitched	chr18	52983721	52992225	7	7970	20375.584	192	1
3_MACS_peak_3930_lociStitched	chr10	133885457	133893933	3	7965	30953.5044	193	1
2_MACS_peak_2379_lociStitched	chr1	206287267	206295240	2	7959	43444.0797	194	1
1_MACS_peak_25423_lociStitched	chr7	50301667	50309610	1	7944	29985.6193	195	1
4_MACS_peak_25274_lociStitched	chr7	35764034	35772563	4	7941	32312.1165	196	1
3_MACS_peak_13584_lociStitched	chr19	7407904	7416008	3	7931	32928.9832	197	1
3_MACS_peak_23366_lociStitched	chr6	7140670	7148910	3	7930	26248.52	198	1
2_MACS_peak_10628_lociStitched	chr16	68500419	68508353	2	7925	28658.4014	199	1
2_MACS_peak_5226_lociStitched	chr11	111283584	111291605	2	7900	45914.6103	200	1
4_MACS_peak_19060_lociStitched	chr22	39264446	39272580	4	7897	35873.3802	201	1
3_MACS_peak_1785_lociStitched	chr1	154908092	154916520	3	7880	31110.2764	202	1
3_MACS_peak_6549_lociStitched	chr12	104317834	104325748	3	7842	45234.0498	203	1
4_MACS_peak_17717_lociStitched	chr20	42375308	42383554	4	7841	45359.5968	204	1
2_MACS_peak_13347_lociStitched	chr19	2082977	2090824	2	7835	25567.0954	205	1
3_MACS_peak_10794_lociStitched	chr16	81864321	81872390	3	7833	21081.8763	206	1
4_MACS_peak_14225_lociStitched	chr19	29006445	29014549	4	7816	16383.0464	207	1
2_MACS_peak_5369_lociStitched	chr11	119185702	119193548	2	7810	33970.0416	208	1
5_MACS_peak_2294_lociStitched	chr1	203263497	203271994	5	7810	20767.5177	209	1
2_MACS_peak_17795_lociStitched	chr20	45980328	45988180	2	7801	28961.3168	210	1
4_MACS_peak_16684_lociStitched	chr2	197034872	197042900	4	7794	19931.1156	211	1
3_MACS_peak_23635_lociStitched	chr6	27094371	27102603	3	7784	28396.284	212	1
3_MACS_peak_11595_lociStitched	chr17	34415156	34423618	3	7779	37893.6822	213	1
4_MACS_peak_2240_lociStitched	chr1	200829897	200837908	4	7743	31638.6434	214	1
2_MACS_peak_24131_lociStitched	chr6	44184596	44192388	2	7741	26555.136	215	1
4_MACS_peak_17945_lociStitched	chr20	52545297	52553673	4	7735	21913.2912	216	1
1_MACS_peak_7846_lociStitched	chr14	50527249	50534938	1	7690	30566.0817	217	1
3_MACS_peak_23294_lociStitched	chr6	335072	342847	3	7672	33792.4825	218	1
3_MACS_peak_23615_lociStitched	chr6	26532666	26540406	3	7661	27330.714	219	1
2_MACS_peak_1623_lociStitched	chr1	149818560	149826275	2	7657	39901.98	220	1
1_MACS_peak_18966_lociStitched	chr22	37613789	37621438	1	7650	25518.5938	221	1
1_MACS_peak_26991_lociStitched	chr8	95969691	95977331	1	7641	27104.428	222	1
3_MACS_peak_19300_lociStitched	chr22	46757370	46765195	3	7600	23208.95	223	1
4_MACS_peak_531_lociStitched	chr1	25068716	25076898	4	7599	24692.4578	224	1
4_MACS_peak_9937_lociStitched	chr16	8158221	8166308	4	7597	32284.9214	225	1
8_MACS_peak_20942_lociStitched	chr3	192609257	192618495	8	7595	17962.3672	226	1
4_MACS_peak_27938_lociStitched	chr9	93682413	93690166	4	7575	23576.873	227	1
4_MACS_peak_23570_lociStitched	chr6	26193709	26201661	4	7554	36270.6624	228	1
2_MACS_peak_14749_lociStitched	chr19	47728673	47736307	2	7553	34914.8624	229	1
2_MACS_peak_25928_lociStitched	chr7	105446071	105453798	2	7553	32325.1318	230	1
3_MACS_peak_17999_lociStitched	chr20	56251976	56259654	3	7542	34833.5504	231	1
4_MACS_peak_6986_lociStitched	chr12	127409832	127417555	4	7537	19050.3241	232	1
6_MACS_peak_14201_lociStitched	chr19	28952775	28961351	6	7524	12590.4256	233	1
2_MACS_peak_15641_lociStitched	chr2	60776217	60784082	2	7512	23328.3765	234	1
2_MACS_peak_25873_lociStitched	chr7	102080597	102088187	2	7506	55650.639	235	1
2_MACS_peak_23772_lociStitched	chr6	31702009	31709543	2	7504	34644.3456	236	1
3_MACS_peak_22045_lociStitched	chr5	1311500	1319159	3	7501	49127.1237	237	1
1_MACS_peak_19283_lociStitched	chr22	46448010	46455507	1	7498	29757.0924	238	1
4_MACS_peak_1146_lociStitched	chr1	66795834	66803524	4	7488	22563.998	239	1
6_MACS_peak_3739_lociStitched	chr10	112256387	112264630	6	7481	17231.1672	240	1
4_MACS_peak_872_lociStitched	chr1	40846207	40854008	4	7470	19744.331	241	1
1_MACS_peak_13810_lociStitched	chr19	12898759	12906212	1	7454	40005.4681	242	1
2_MACS_peak_2423_lociStitched	chr1	207993568	208001213	2	7450	30544.833	243	1
1_MACS_peak_27208_lociStitched	chr8	126441165	126448607	1	7443	60990.911	244	1
6_MACS_peak_1895_lociStitched	chr1	158978151	158986024	6	7441	17271.7874	245	1
2_MACS_peak_6547_lociStitched	chr12	104293706	104301394	2	7428	27958.1808	246	1
3_MACS_peak_16192_lociStitched	chr2	112458214	112465764	3	7425	22482.39	247	1
3_MACS_peak_19073_lociStitched	chr22	39376661	39384281	3	7421	38746.938	248	1
1_MACS_peak_24470_lociStitched	chr6	106588507	106595922	1	7416	43236.865	249	1
3_MACS_peak_4479_lociStitched	chr11	58340225	58347744	3	7404	35996.4606	250	1
3_MACS_peak_5321_lociStitched	chr11	117877381	117884846	3	7401	27800.4065	251	1
5_MACS_peak_22827_lociStitched	chr5	139012109	139019897	5	7340	25794.6348	252	1
2_MACS_peak_5851_lociStitched	chr12	26305680	26313295	2	7334	33623.271	253	1
6_MACS_peak_14490_lociStitched	chr19	40454839	40462834	6	7302	19967.5125	254	1
6_MACS_peak_2996_lociStitched	chr10	22598614	22606550	6	7294	16599.7312	255	1
1_MACS_peak_18113_lociStitched	chr20	62357911	62365202	1	7292	28180.4441	256	1
2_MACS_peak_19856_lociStitched	chr3	45729671	45737063	2	7281	21913.584	257	1
3_MACS_peak_2716_lociStitched	chr1	234741821	234749285	3	7275	31375.6704	258	1
2_MACS_peak_3827_lociStitched	chr10	121461372	121468686	2	7267	29173.3518	259	1
1_MACS_peak_407_lociStitched	chr1	20914732	20921972	1	7241	27260.772	260	1
3_MACS_peak_12938_lociStitched	chr18	42300402	42307753	3	7241	17569.6251	261	1
4_MACS_peak_23900_lociStitched	chr6	34621016	34628581	4	7241	32142.172	262	1
3_MACS_peak_9218_lociStitched	chr15	67372528	67379778	3	7211	20387.725	263	1
6_MACS_peak_8657_lociStitched	chr15	23388215	23395633	6	7208	16279.5428	264	1
1_MACS_peak_1868_lociStitched	chr1	156457426	156464629	1	7204	14559.4239	265	1
4_MACS_peak_5212_lociStitched	chr11	111044453	111051858	4	7200	38813.3075	266	1
7_MACS_peak_15551_lociStitched	chr2	46794382	46802737	7	7200	16908.849	267	1
5_MACS_peak_24508_lociStitched	chr6	109201325	109208925	5	7188	19975.84	268	1
4_MACS_peak_8505_lociStitched	chr14	103363626	103370932	4	7185	62822.8328	269	1
1_MACS_peak_13957_lociStitched	chr19	16694162	16701338	1	7177	50262.1392	270	1
5_MACS_peak_25198_lociStitched	chr7	28189040	28197091	5	7169	19733.001	271	1
3_MACS_peak_15602_lociStitched	chr2	54794915	54802292	3	7160	16371.7761	272	1
5_MACS_peak_21571_lociStitched	chr4	87855315	87862673	5	7137	16814.5016	273	1
3_MACS_peak_23297_lociStitched	chr6	388071	395225	3	7123	34610.3366	274	1
4_MACS_peak_17499_lociStitched	chr20	31256712	31264219	4	7123	23857.246	275	1
4_MACS_peak_27611_lociStitched	chr9	33452347	33459654	4	7117	18431.9075	276	1
2_MACS_peak_10020_lociStitched	chr16	12055531	12063112	2	7102	27417.4446	277	1
4_MACS_peak_19284_lociStitched	chr22	46461665	46469307	4	7101	32070.4172	278	1
5_MACS_peak_3966_lociStitched	chr10	134209460	134216846	5	7082	10980.0276	279	1
5_MACS_peak_5588_lociStitched	chr12	4932983	4940202	5	7077	20193.7087	280	1
3_MACS_peak_28881_lociStitched	chrX	39953881	39960997	3	7071	16427.286	281	1
5_MACS_peak_5549_lociStitched	chr12	1638417	1645981	5	7059	12765.7628	282	1
5_MACS_peak_10867_lociStitched	chr16	87807330	87814743	5	7052	17671.1094	283	1
2_MACS_peak_1621_lociStitched	chr1	149810818	149817870	2	7038	35678.1836	284	1
3_MACS_peak_16384_lociStitched	chr2	136888460	136895981	3	7021	19748.6418	285	1
3_MACS_peak_18666_lociStitched	chr22	23219757	23227372	3	7017	20309.9665	286	1
2_MACS_peak_7201_lociStitched	chr13	30944045	30951095	2	7007	15817.38	287	1
2_MACS_peak_23352_lociStitched	chr6	5865267	5872597	2	7004	18578.618	288	1
1_MACS_peak_19056_lociStitched	chr22	39146470	39153471	1	7002	23672.4813	289	1
3_MACS_peak_7494_lociStitched	chr13	103243688	103250941	3	6998	44930.1591	290	1
3_MACS_peak_9997_lociStitched	chr16	11711589	11719112	3	6998	25317.9042	291	1
2_MACS_peak_25326_lociStitched	chr7	43685587	43692648	2	6995	51654.0394	292	1
5_MACS_peak_3551_lociStitched	chr10	98044652	98051774	5	6987	20701.5174	293	1
3_MACS_peak_13838_lociStitched	chr19	13260635	13267644	3	6985	23485.0563	294	1
6_MACS_peak_29158_lociStitched	chrX	70837402	70844766	6	6975	17341.4836	295	1
2_MACS_peak_28497_lociStitched	chr9	134548847	134555896	2	6969	34772.717	296	1
2_MACS_peak_4731_lociStitched	chr11	65554360	65561345	2	6964	29026.866	297	1
3_MACS_peak_19845_lociStitched	chr3	45604584	45612125	3	6964	23368.0508	298	1
1_MACS_peak_8723_lociStitched	chr15	31554032	31560994	1	6963	56345.5546	299	1
1_MACS_peak_8793_lociStitched	chr15	40336406	40343365	1	6960	28257.0195	300	1
1_MACS_peak_4850_lociStitched	chr11	67411923	67418870	1	6948	21647.5467	301	1
1_MACS_peak_27581_lociStitched	chr9	33134984	33141921	1	6938	21499.1504	302	1
2_MACS_peak_11648_lociStitched	chr17	36856441	36863447	2	6936	38520.3892	303	1
